Id,ItemCategory,IconRUID,NameKey,DescriptionKey,SaveToOutgameDB,MaxStackCount,funcUseItem
M4002,2,1e5248c1cfeb4b649ff6d77427812073,ItemNameM4002,ItemDescM4002,True,9999,
M4003,2,78237010b9d24c918bbc1a5163ad23d3,ItemNameM4003,ItemDescM4003,True,9999,
S1001,4,7c41e149b8ef4c9abb3d55145897bb1a,ItemNameS1001,ItemDescS1001,,8,"AddSubscription, IngreBox1"
S1002,4,7c41e149b8ef4c9abb3d55145897bb1a,ItemNameS1002,ItemDescS1002,,4,"AddSubscription, IngreBox2"
S1003,4,7c41e149b8ef4c9abb3d55145897bb1a,ItemNameS1003,ItemDescS1003,,2,"AddSubscription, IngreBox3"
S2001,4,ddf2c2e9e7cc482cbbb3e6cf812798b0,ItemNameS2001,ItemDescS2001,,8,"AddSubscription, IngreBox4"
S2002,4,ddf2c2e9e7cc482cbbb3e6cf812798b0,ItemNameS2002,ItemDescS2002,,4,"AddSubscription, IngreBox5"
S2003,4,ddf2c2e9e7cc482cbbb3e6cf812798b0,ItemNameS2003,ItemDescS2003,,2,"AddSubscription, IngreBox6"
S3001,4,0c1f80c3c66045b688ef7bafcb9c324a,ItemNameS3001,ItemDescS3001,,8,"AddSubscription, IngreBox7"
S3002,4,0c1f80c3c66045b688ef7bafcb9c324a,ItemNameS3002,ItemDescS3002,,4,"AddSubscription, IngreBox8"
S3003,4,0c1f80c3c66045b688ef7bafcb9c324a,ItemNameS3003,ItemDescS3003,,2,"AddSubscription, IngreBox9"
P0001,3,2bb5dc7e514a470cb54ff02b76483958,ItemNameP0001,ItemDescP0001,,1,"OpenPackage, G1002,3000,M4001,5,M4002,25,M4003,25"
P0002,3,25cf8518a55f460eafe5091f76fc3e1e,ItemNameP0002,ItemDescP0002,,1,"OpenPackage, G1002,7000,M4001,10,M4002,50,M4003,50"
P1001,3,e374b3283ec845da8dbfcfd7aab9143e,ItemNameP1001,ItemDescP1001,,1,"OpenPackage, M4001,3,G1002,200"
P1002,3,71a8cc0561d542c0a1adec0668573571,ItemNameP1002,ItemDescP1002,,1,"OpenPackage, M4002,10,G1002,500"
P1003,3,f1a83bffcae5401d9fb13b19201aa2cd,ItemNameP1003,ItemDescP1003,,1,"OpenPackage, M4003,10,G1002,500"
P1004,3,53092b3000064927b967a64fd447367f,ItemNameP1004,ItemDescP1004,,1,"OpenPackage, M4001,5,M4002,10,M4003,10,G1002,1000"
P1005,3,e374b3283ec845da8dbfcfd7aab9143e,ItemNameP1005,ItemDescP1005,,1,"OpenPackage, M4001,3,G1002,200"
P1006,3,71a8cc0561d542c0a1adec0668573571,ItemNameP1006,ItemDescP1006,,1,"OpenPackage, M4002,10,G1002,500"
P1007,3,f1a83bffcae5401d9fb13b19201aa2cd,ItemNameP1007,ItemDescP1007,,1,"OpenPackage, M4003,10,G1002,500"
P1008,3,53092b3000064927b967a64fd447367f,ItemNameP1008,ItemDescP1008,,1,"OpenPackage, M4001,5,M4002,10,M4003,10,G1002,1000"
P5001,3,b03fb38d01d6425cb9464e7201ae0b12,ItemNameP5001,ItemDescP5001,,1,"OpenPackage, G0004,1000,G0005,10000,G0001,60000,B0003,20"
P5002,3,b03fb38d01d6425cb9464e7201ae0b12,ItemNameP5002,ItemDescP5002,,1,"OpenPackage, G0004,1000,G0005,1500,G0001,5000,B0001,10"
P5003,3,b03fb38d01d6425cb9464e7201ae0b12,ItemNameP5003,ItemDescP5003,,1,"OpenPackage, G0004,1000,G0005,2000,G0001,10000,B0002,5"
P5004,3,b03fb38d01d6425cb9464e7201ae0b12,ItemNameP5004,ItemDescP5004,,1,"OpenPackage, G0004,1000,G0005,3000,G0001,15000,B0002,10"
P5005,3,b03fb38d01d6425cb9464e7201ae0b12,ItemNameP5005,ItemDescP5005,,1,"OpenPackage, G0004,1000,G0005,4000,G0001,20000,B0002,15"
P5006,3,b03fb38d01d6425cb9464e7201ae0b12,ItemNameP5006,ItemDescP5006,,1,"OpenPackage, G0004,1000,G0005,5000,G0001,30000,B0003,5"
P5007,3,b03fb38d01d6425cb9464e7201ae0b12,ItemNameP5007,ItemDescP5007,,1,"OpenPackage, G0004,1000,G0005,6000,G0001,40000,B0003,10"
P5008,3,b03fb38d01d6425cb9464e7201ae0b12,ItemNameP5008,ItemDescP5008,,1,"OpenPackage, G0004,1000,G0005,7500,G0001,50000,B0003,15"
P5011,3,53092b3000064927b967a64fd447367f,ItemNameP5011,ItemDescP5011,,1,"OpenPackage, M4001,9,M4002,30,M4003,30"
P5021,3,53092b3000064927b967a64fd447367f,ItemNameP5021,ItemDescP5021,,1,"OpenPackage, M4001,2,M4002,4,M4003,4"
P5031,3,53092b3000064927b967a64fd447367f,ItemNameP5031,ItemDescP5031,,1,"OpenPackage, M4001,3,M4002,6,M4003,6"
P5041,3,53092b3000064927b967a64fd447367f,ItemNameP5041,ItemDescP5041,,1,"OpenPackage, M4001,4,M4002,8,M4003,8"
P5051,3,53092b3000064927b967a64fd447367f,ItemNameP5051,ItemDescP5051,,1,"OpenPackage, M4001,5,M4002,10,M4003,10"
P5061,3,53092b3000064927b967a64fd447367f,ItemNameP5061,ItemDescP5061,,1,"OpenPackage, M4001,6,M4002,15,M4003,15"
P5071,3,53092b3000064927b967a64fd447367f,ItemNameP5071,ItemDescP5071,,1,"OpenPackage, M4001,7,M4002,20,M4003,20"
P5081,3,53092b3000064927b967a64fd447367f,ItemNameP5081,ItemDescP5081,,1,"OpenPackage, M4001,8,M4002,25,M4003,25"
K0001,5,e6d93de8652549c68927a0f5d370f1e5,ItemNameK0001,ItemDescK0001,,1,"AddBunSkin, 1"
K0002,5,d99bba38be714a0a96aa1915f78cd691,ItemNameK0002,ItemDescK0002,,1,"AddBunSkin, 2"
K0003,5,b532cf02f02d4c5c84011c1f5988c4cd,ItemNameK0003,ItemDescK0003,,1,"AddBunSkin, 3"
K0004,5,f5b5811af91d4708bbca767fe9f3a7e8,ItemNameK0004,ItemDescK0004,,1,"AddBunSkin, 4"
K0005,5,8127644a26e2420d944f515f4e5d723a,ItemNameK0005,ItemDescK0005,,1,"AddBunSkin, 5"
K0006,5,a4d13beb0f8c420f84fc1fec8f7e8dde,ItemNameK0006,ItemDescK0006,,1,"AddBunSkin, 6"
K0007,5,4cac20e30ee04d1198188f483f7e71f1,ItemNameK0007,ItemDescK0007,,1,"AddBunSkin, 7"
K0008,5,f3cadeffb4a64167ac801011cc6b047b,ItemNameK0008,ItemDescK0008,,1,"AddBunSkin, 8"
K0009,5,031dd54a42124da1805f572cbd0381c2,ItemNameK0009,ItemDescK0009,,1,"AddBunSkin, 9"
K0010,5,f7840cfef96a4835b6ed343c99016a44,ItemNameK0010,ItemDescK0010,,1,"AddBunSkin, 10"
K0011,5,29212317d148462486cfffbc177463e1,ItemNameK0011,ItemDescK0011,,1,"AddBunSkin, 11"
K0012,5,ee3fcdcc8acf4882921141624209bf0c,ItemNameK0012,ItemDescK0012,,1,"AddBunSkin, 12"
K0013,5,1df0998e90184d2b8ccea22519af64a3,ItemNameK0013,ItemDescK0013,,1,"AddBunSkin, 13"
K0014,5,997e28667a3144ce92b9062b6c1e910d,ItemNameK0014,ItemDescK0014,,1,"AddBunSkin, 14"
D1001,3,11018217aca84c53bce5df36bef1698a,ItemNameD1001,ItemDescD1001,,1,"OpenPackage, G1002,400"
D1002,3,6746e44d4b9c45ee81f030ba601c6a9e,ItemNameD1002,ItemDescD1002,,1,"OpenPackage, G1002,1200"
D1003,3,0a04bdb4824149e7ad6a83d0464b5193,ItemNameD1003,ItemDescD1003,,1,"OpenPackage, G1002,2400"
D1004,3,3def4c19024043259b91e9b8666d662f,ItemNameD1004,ItemDescD1004,,1,"OpenPackage, G1002,7200"
D1005,3,94234a14c1d74de093f651e3b7fa7b4b,ItemNameD1005,ItemDescD1005,,1,"OpenPackage, G1002,15000"
D1006,3,e1956e780ac3496a912c33322e95739f,ItemNameD1006,ItemDescD1006,,1,"OpenPackage, G1002,30000"
D2001,3,11018217aca84c53bce5df36bef1698a,ItemNameD2001,ItemDescD2001,,1,"OpenPackage, G1002,200"
D2002,3,6746e44d4b9c45ee81f030ba601c6a9e,ItemNameD2002,ItemDescD2002,,1,"OpenPackage, G1002,600"
D2003,3,0a04bdb4824149e7ad6a83d0464b5193,ItemNameD2003,ItemDescD2003,,1,"OpenPackage, G1002,1200"
D2004,3,3def4c19024043259b91e9b8666d662f,ItemNameD2004,ItemDescD2004,,1,"OpenPackage, G1002,3600"
D2005,3,94234a14c1d74de093f651e3b7fa7b4b,ItemNameD2005,ItemDescD2005,,1,"OpenPackage, G1002,7500"
D2006,3,e1956e780ac3496a912c33322e95739f,ItemNameD2006,ItemDescD2006,,1,"OpenPackage, G1002,15000"
