DialogId,LineId,PortraitType,PortraitArgs,CustomAvatarId,AvatarReactionType,MSWAvatarFaceAccRUID,EffectRUID,EffectSoundRUID,IsPhoneCall,UseMaterialId,NameKey,ContentKey,ChildIds,ChildContentKeys,SoundRuid
Test2,Test2_3_2,Sprite,6225cbf5e8bf4f4f908fc009ba4b17e6,,,,,,,,DialogName4,DialogContentsTest2_3_2,StartPlayPopup,,
Test3,Test3_1,Sprite,41a46f9a8bd04979ae141fdb67401b59,,,,,,,GrayScaleMaterial,DialogName5,DialogContentsTest3_1,Test3_2,,
Test3,Test3_2,MSWAvatar,,,Smile,,,,,GrayScaleMaterial,DialogName3,DialogContentsTest3_2,Test3_3,,
Intro1,Intro1_1,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsIntro1_1,Intro1_2,,
Intro1,Intro1_2,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsIntro1_2,Intro1_3,,
Intro1,Intro1_3,CustomAvatar,,10001,,,,,,,DialogName6,DialogContentsIntro1_3,Intro1_4,,
Intro1,Intro1_4,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsIntro1_4,Intro1_5,,
Intro1,Intro1_5,CustomAvatar,,10001,Smile,,,,,,DialogName6,DialogContentsIntro1_5,Intro1_6,,
Intro1,Intro1_6,MSWAvatar,,,Bewildered,,,,,,DialogName3,DialogContentsIntro1_6,Intro1_7,,
Intro1,Intro1_7,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsIntro1_7,Intro1_8,,
Intro1,Intro1_8,MSWAvatar,,,Angry,,,,,,DialogName3,DialogContentsIntro1_8,Intro1_9,,
Intro1,Intro1_9,MSWAvatar,,,Angry,,,,,,DialogName3,DialogContentsIntro1_9,Intro1_10,,
Intro1,Intro1_10,CustomAvatar,,10001,,,,,,,DialogName6,DialogContentsIntro1_10,Intro1_11,,
Intro1,Intro1_11,MSWAvatar,,,Angry,,,,,,DialogName3,DialogContentsIntro1_11,PlayCutSceneIntro,,
Intro2,Intro2_1,MSWAvatar,,,Pain,,,,,,DialogName3,DialogContentsIntro2_1,Intro2_2,,
Intro2,Intro2_2,CustomAvatar,,10001,Hum,,,,,,DialogName6,DialogContentsIntro2_2,Intro2_3,,
Intro2,Intro2_3,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsIntro2_3,Intro2_4,,
Intro2,Intro2_4,MSWAvatar,,,Pain,,,,,,DialogName3,DialogContentsIntro2_4,Intro2_5,,
Intro2,Intro2_5,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsIntro2_5,Intro2_6,,
Intro2,Intro2_6,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsIntro2_6,Intro2_7,,
Intro2,Intro2_7,MSWAvatar,,,Shine,9fafd3a2b5db46d8b47a660db7bcd304,ff69b13fc3ec4471a419bc3ea20f0bac,dbb1aa83b0ef4ee38356ba227bd1c616,,,DialogName3,DialogContentsIntro2_7,Intro2_8,,
Intro2,Intro2_8,CustomAvatar,,10001,Bewildered,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName6,DialogContentsIntro2_8,Intro2_9,,
Intro2,Intro2_9,MSWAvatar,,,Cheers,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsIntro2_9,StartPlayPopup,,
Stage010,Stage010_1,Sprite,6225cbf5e8bf4f4f908fc009ba4b17e6,,,,,,,,DialogName5,DialogContentsStage010_1,Stage010_2,,
Stage010,Stage010_2,MSWAvatar,,,Angry,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage010_2,Stage010_3,,
Stage010,Stage010_3,Sprite,6225cbf5e8bf4f4f908fc009ba4b17e6,,,,,,,,DialogName5,DialogContentsStage010_3,Stage010_4,,
Stage010,Stage010_4,MSWAvatar,,,Troubled,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage010_4,Stage010_5,,
Stage010,Stage010_5,Sprite,71b6c0cc74f243d9bdf86bb0b2b773d8,,,,,,,,DialogName5,DialogContentsStage010_5,Stage010_6,,
Stage010,Stage010_6,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage010_6,Stage010_7,,
Stage010,Stage010_7,Sprite,6cd4e9047c6a4c998b84e10013a4fdda,,,,,,,,DialogName5,DialogContentsStage010_7,Stage010_8,,
Stage010,Stage010_8,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage010_8,Stage010_9,,
Stage010,Stage010_9,MSWAvatar,,,Stunned,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage010_9,Stage010_10,,
Stage010,Stage010_10,Sprite,71b6c0cc74f243d9bdf86bb0b2b773d8,,,,,,,,DialogName5,DialogContentsStage010_10,Stage010_11,,
Stage010,Stage010_11,MSWAvatar,,,Pain,,,,,,DialogName3,DialogContentsStage010_11,Stage010_12,,
Stage010,Stage010_12,Sprite,6cd4e9047c6a4c998b84e10013a4fdda,,,,,,,,DialogName5,DialogContentsStage010_12,Stage010_13,,
Stage010,Stage010_13,MSWAvatar,,,Cheers,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage010_13,,,
Stage011,Stage011_1,CustomAvatar,,10001,Smile,,,,,,DialogName6,DialogContentsStage011_1,Stage011_2,,
Stage011,Stage011_2,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsStage011_2,Stage011_3,,
Stage011,Stage011_3,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage011_3,Stage011_4,,
Stage011,Stage011_4,MSWAvatar,,,Shine,,,,,,DialogName3,DialogContentsStage011_4,Stage011_5,,
Stage011,Stage011_5,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage011_5,Stage011_6,,
Stage011,Stage011_6,MSWAvatar,,,Oops,,,,,,DialogName3,DialogContentsStage011_6,Stage011_7,,
Stage011,Stage011_7,MSWAvatar,,,Oops,,,,,,DialogName3,DialogContentsStage011_7,Stage011_8,,
Stage011,Stage011_8,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage011_8,Stage011_9,,
Stage011,Stage011_9,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsStage011_9,Stage011_10,,
Stage011,Stage011_10,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage011_10,Stage011_11,,
Stage011,Stage011_11,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsStage011_11,Stage011_12,,
Stage011,Stage011_12,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage011_12,Stage011_13,,
Stage011,Stage011_13,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsStage011_13,Stage011_14,,
Stage011,Stage011_14,MSWAvatar,,,Angry,,,,,,DialogName3,DialogContentsStage011_14,Stage011_15,,
Stage011,Stage011_15,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsStage011_15,Stage011_16,,
Stage011,Stage011_16,MSWAvatar,,,Angry,,,,,,DialogName3,DialogContentsStage011_16,Stage011_17,,
Stage011,Stage011_17,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsStage011_17,Stage011_18,,
Stage011,Stage011_18,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsStage011_18,Stage011_19,,
Stage011,Stage011_19,MSWAvatar,,,Angry,,,,,,DialogName3,DialogContentsStage011_19,,,
Stage012,Stage012_1,CustomAvatar,,10001,Wink,,,,,,DialogName6,DialogContentsStage012_1,Stage012_2,,
Stage012,Stage012_2,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_2,Stage012_3,,
Stage012,Stage012_3,CustomAvatar,,10001,Bewildered,,,,,,DialogName6,DialogContentsStage012_3,Stage012_4,,
Stage012,Stage012_4,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_4,Stage012_5,,
Stage012,Stage012_5,Sprite,941e4b0eecd04bdeab3d83fb9041b4b3,,,,,,,,DialogName7,DialogContentsStage012_5,Stage012_6,,
Stage012,Stage012_6,Sprite,88501525816146bca46296097f1c7618,,,,,,,,DialogName7,DialogContentsStage012_6,Stage012_7,,
Stage012,Stage012_7,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage012_7,Stage012_8,,
Stage012,Stage012_8,MSWAvatar,,,Shine,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_8,Stage012_9,,
Stage012,Stage012_9,MSWAvatar,,,Shine,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_9,Stage012_10,,
Stage012,Stage012_10,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsStage012_10,Stage012_11,,
Stage012,Stage012_11,Sprite,941e4b0eecd04bdeab3d83fb9041b4b3,,,,,,,,DialogName7,DialogContentsStage012_11,Stage012_12,,
Stage012,Stage012_12,MSWAvatar,,,Angry,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_12,Stage012_13,,
Stage012,Stage012_13,Sprite,6cd4e9047c6a4c998b84e10013a4fdda,,,,,,,,DialogName5,DialogContentsStage012_13,Stage012_14,,
Stage012,Stage012_14,MSWAvatar,,,Bewildered,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_14,Stage012_15,,
Stage012,Stage012_15,Sprite,6225cbf5e8bf4f4f908fc009ba4b17e6,,,,,,,,DialogName5,DialogContentsStage012_15,Stage012_16,,
Stage012,Stage012_16,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_16,Stage012_17,,
Stage012,Stage012_17,MSWAvatar,,,Glitter,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_17,Stage012_18,,
Stage012,Stage012_18,MSWAvatar,,,Glitter,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_18,Stage012_19,,
Stage012,Stage012_19,MSWAvatar,,,Glitter,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_19,Stage012_20,,
Stage012,Stage012_20,MSWAvatar,,,Glitter,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_20,Stage012_21,,
Stage012,Stage012_21,Sprite,6225cbf5e8bf4f4f908fc009ba4b17e6,,,,,,,,DialogName5,DialogContentsStage012_21,Stage012_22,,
Stage012,Stage012_22,MSWAvatar,,,Bewildered,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage012_22,Stage012_23,,
Stage012,Stage012_23,Sprite,6cd4e9047c6a4c998b84e10013a4fdda,,,,,,,,DialogName5,DialogContentsStage012_23,,,
Stage020,Stage020_1,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage020_1,Stage020_2,,
Stage020,Stage020_2,MSWAvatar,,,Pain,,,,,,DialogName3,DialogContentsStage020_2,Stage020_3,,
Stage020,Stage020_3,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsStage020_3,Stage020_4,,
Stage020,Stage020_4,MSWAvatar,,,Pain,,,,,,DialogName3,DialogContentsStage020_4,Stage020_5,,
Stage020,Stage020_5,CustomAvatar,,10001,Bewildered,,,,,,DialogName6,DialogContentsStage020_5,Stage020_6,,
Stage020,Stage020_6,MSWAvatar,,,Pain,,,,,,DialogName3,DialogContentsStage020_6,Stage020_7,,
Stage020,Stage020_7,CustomAvatar,,10001,Wink,,,,,,DialogName6,DialogContentsStage020_7,Stage020_8,,
Stage020,Stage020_8,MSWAvatar,,,Angry,,,,,,DialogName3,DialogContentsStage020_8,Stage020_9,,
Stage020,Stage020_9,Sprite,ac5ee159ee234ed8923967235baafd4f,,,,,,,,DialogName8,DialogContentsStage020_9,Stage020_10,,
Stage020,Stage020_10,MSWAvatar,,,Angry,9fafd3a2b5db46d8b47a660db7bcd304,ff69b13fc3ec4471a419bc3ea20f0bac,dbb1aa83b0ef4ee38356ba227bd1c616,,,DialogName3,DialogContentsStage020_10,Stage020_11,,
Stage020,Stage020_11,Sprite,ac5ee159ee234ed8923967235baafd4f,,,,,,,,DialogName8,DialogContentsStage020_11,Stage020_12,,
Stage020,Stage020_12,MSWAvatar,,,Hum,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage020_12,Stage020_13,,
Stage020,Stage020_13,Sprite,ac5ee159ee234ed8923967235baafd4f,,,,,,,,DialogName8,DialogContentsStage020_13,Stage020_14,,
Stage020,Stage020_14,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage020_14,Stage020_15,,
Stage020,Stage020_15,Sprite,ac5ee159ee234ed8923967235baafd4f,,,,,,,,DialogName8,DialogContentsStage020_15,Stage020_16,,
Stage020,Stage020_16,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage020_16,Stage020_17,,
Stage020,Stage020_17,Sprite,79173667584f41ecb7c07a5c89666e34,,,,,,,,DialogName8,DialogContentsStage020_17,Stage020_18,,
Stage020,Stage020_18,MSWAvatar,,,Bewildered,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage020_18,Stage020_19,,
Stage020,Stage020_19,Sprite,ac5ee159ee234ed8923967235baafd4f,,,,,,,,DialogName8,DialogContentsStage020_19,Stage020_20,,
Stage020,Stage020_20,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage020_20,Stage020_21,,
Stage020,Stage020_21,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage020_21,Stage020_22,,
Stage020,Stage020_22,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage020_22,Stage020_23,,
Stage020,Stage020_23,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage020_23,Stage020_24,,
Stage020,Stage020_24,MSWAvatar,,,Angry,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage020_24,Stage020_25,,
Stage020,Stage020_25,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsStage020_25,Stage020_26,,
Stage020,Stage020_26,MSWAvatar,,,Angry,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage020_26,,,
Stage021,Stage021_1,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage021_1,Stage021_2,,
Stage021,Stage021_2,MSWAvatar,,,Hit,,,,,,DialogName3,DialogContentsStage021_2,Stage021_3,,
Stage021,Stage021_3,CustomAvatar,,10001,Chu,,,,,,DialogName6,DialogContentsStage021_3,Stage021_4,,
Stage021,Stage021_4,MSWAvatar,,,Hit,,,,,,DialogName3,DialogContentsStage021_4,Stage021_5,,
Stage021,Stage021_5,CustomAvatar,,10001,Shine,,,,,,DialogName6,DialogContentsStage021_5,Stage021_6,,
Stage021,Stage021_6,MSWAvatar,,,qBlue,,,,,,DialogName3,DialogContentsStage021_6,Stage021_7,,
Stage021,Stage021_7,CustomAvatar,,10001,Bewildered,,,,,,DialogName6,DialogContentsStage021_7,Stage021_8,,
Stage021,Stage021_8,MSWAvatar,,,Oops,,,,,,DialogName3,DialogContentsStage021_8,Stage021_9,,
Stage021,Stage021_9,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsStage021_9,Stage021_10,,
Stage021,Stage021_10,MSWAvatar,,,Angry,,,,,,DialogName3,DialogContentsStage021_10,Stage021_11,,
Stage021,Stage021_11,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsStage021_11,Stage021_12,,
Stage021,Stage021_12,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage021_12,,,
Stage022,Stage022_1,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage022_1,Stage022_2,,
Stage022,Stage022_2,MSWAvatar,,,Oops,,,,,,DialogName3,DialogContentsStage022_2,Stage022_3,,
Stage022,Stage022_3,CustomAvatar,,10001,Wink,,,,,,DialogName6,DialogContentsStage022_3,Stage022_4,,
Stage022,Stage022_4,CustomAvatar,,10001,Hum,,,,,,DialogName6,DialogContentsStage022_4,Stage022_5,,
Stage022,Stage022_5,Sprite,941e4b0eecd04bdeab3d83fb9041b4b3,,,,,,,,DialogName7,DialogContentsStage022_5,Stage022_6,,
Stage022,Stage022_6,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage022_6,Stage022_7,,
Stage022,Stage022_7,Sprite,941e4b0eecd04bdeab3d83fb9041b4b3,,,,,,,,DialogName7,DialogContentsStage022_7,Stage022_8,,
Stage022,Stage022_8,Sprite,941e4b0eecd04bdeab3d83fb9041b4b3,,,,,,,,DialogName7,DialogContentsStage022_8,Stage022_9,,
Stage022,Stage022_9,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsStage022_9,Stage022_10,,
Stage022,Stage022_10,Sprite,88501525816146bca46296097f1c7618,,,,,,,,DialogName7,DialogContentsStage022_10,Stage022_11,,
Stage022,Stage022_11,MSWAvatar,,,Shine,,,,,,DialogName3,DialogContentsStage022_11,Stage022_12,,
Stage022,Stage022_12,Sprite,6cd4e9047c6a4c998b84e10013a4fdda,,,,,,,,DialogName5,DialogContentsStage022_12,Stage022_13,,
Stage022,Stage022_13,MSWAvatar,,,Angry,9fafd3a2b5db46d8b47a660db7bcd304,ff69b13fc3ec4471a419bc3ea20f0bac,dbb1aa83b0ef4ee38356ba227bd1c616,,,DialogName3,DialogContentsStage022_13,Stage022_14,,
Stage022,Stage022_14,Sprite,71b6c0cc74f243d9bdf86bb0b2b773d8,,,,,,,,DialogName5,DialogContentsStage022_14,Stage022_15,,
Stage022,Stage022_15,Sprite,88501525816146bca46296097f1c7618,,,,,,,,DialogName7,DialogContentsStage022_15,Stage022_16,,
Stage022,Stage022_16,Sprite,71b6c0cc74f243d9bdf86bb0b2b773d8,,,,,,,,DialogName5,DialogContentsStage022_16,Stage022_17,,
Stage022,Stage022_17,MSWAvatar,,,Stunned,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage022_17,,,
Stage023,Stage023_1,Sprite,66a64d22b3a54b08832a42aacb567ac1,,,,,,,,DialogName9,DialogContentsStage023_1,Stage023_2,,
Stage023,Stage023_2,Sprite,941e4b0eecd04bdeab3d83fb9041b4b3,,,,,,,,DialogName7,DialogContentsStage023_2,Stage023_3,,
Stage023,Stage023_3,Sprite,e4b2d67b962340a0ad41110d4361934c,,,,,,,,DialogName10,DialogContentsStage023_3,Stage023_4,,
Stage023,Stage023_4,Sprite,66a64d22b3a54b08832a42aacb567ac1,,,,,,,,DialogName9,DialogContentsStage023_4,Stage023_5,,
Stage023,Stage023_5,Sprite,561f01eb7b854483af295fe1a38f4600,,,,,,,,DialogName11,DialogContentsStage023_5,Stage023_6,,
Stage023,Stage023_6,MSWAvatar,,,Bewildered,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage023_6,Stage023_7,,
Stage023,Stage023_7,Sprite,4d3124ff70344a49b9b5acf70c197245,,,,,,,,DialogName12,DialogContentsStage023_7,Stage023_8,,
Stage023,Stage023_8,MSWAvatar,,,Bewildered,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage023_8,Stage023_9,,
Stage023,Stage023_9,Sprite,4d3124ff70344a49b9b5acf70c197245,,,,,,,,DialogName12,DialogContentsStage023_9,Stage023_10,,
Stage023,Stage023_10,MSWAvatar,,,Oops,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage023_10,Stage023_11,,
Stage023,Stage023_11,Sprite,561f01eb7b854483af295fe1a38f4600,,,,,,,,DialogName12,DialogContentsStage023_11,Stage023_12,,
Stage023,Stage023_12,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage023_12,Stage023_13,,
Stage023,Stage023_13,Sprite,51f9daaca46349fa8f7ab181b19d5399,,,,,,,,DialogName12,DialogContentsStage023_13,Stage023_14,,
Stage023,Stage023_14,Sprite,4d3124ff70344a49b9b5acf70c197245,,,,,,,,DialogName12,DialogContentsStage023_14,Stage023_15,,
Stage023,Stage023_15,Sprite,4d3124ff70344a49b9b5acf70c197245,,,,,,,,DialogName12,DialogContentsStage023_15,Stage023_16,,
Stage023,Stage023_16,MSWAvatar,,,Bewildered,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage023_16,Stage023_17,,
Stage023,Stage023_17,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsStage023_17,Stage023_18,,
Stage023,Stage023_18,Sprite,561f01eb7b854483af295fe1a38f4600,,,,,,,,DialogName12,DialogContentsStage023_18,Stage023_19,,
Stage023,Stage023_19,MSWAvatar,,,Pain,,,,,,DialogName3,DialogContentsStage023_19,,,
Stage024,Stage024_1,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsStage024_1,Stage024_2,,
Stage024,Stage024_2,MSWAvatar,,,Wink,,,,,,DialogName3,DialogContentsStage024_2,Stage024_3,,
Stage024,Stage024_3,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsStage024_3,Stage024_4,,
Stage024,Stage024_4,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsStage024_4,Stage024_5,,
Stage024,Stage024_5,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsStage024_5,Stage024_6,,
Stage024,Stage024_6,MSWAvatar,,,Cry,,,,,,DialogName3,DialogContentsStage024_6,Stage024_7,,
Stage024,Stage024_7,MSWAvatar,,,Shine,,,,,,DialogName3,DialogContentsStage024_7,Stage024_8,,
Stage024,Stage024_8,MSWAvatar,,,Love,,,,,,DialogName3,DialogContentsStage024_8,Stage024_9,,
Stage024,Stage024_9,Sprite,ac5ee159ee234ed8923967235baafd4f,,,,,,,,DialogName8,DialogContentsStage024_9,Stage024_10,,
Stage024,Stage024_10,MSWAvatar,,,Troubled,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage024_10,Stage024_11,,
Stage024,Stage024_11,Sprite,79173667584f41ecb7c07a5c89666e34,,,,,,,,DialogName8,DialogContentsStage024_11,Stage024_12,,
Stage024,Stage024_12,MSWAvatar,,,Oops,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage024_12,Stage024_13,,
Stage024,Stage024_13,Sprite,ac5ee159ee234ed8923967235baafd4f,,,,,,,,DialogName8,DialogContentsStage024_13,Stage024_14,,
Stage024,Stage024_14,MSWAvatar,,,Angry,,,,,,DialogName3,DialogContentsStage024_14,Stage024_15,,
Stage024,Stage024_15,Sprite,ac5ee159ee234ed8923967235baafd4f,,,,,,,,DialogName8,DialogContentsStage024_15,Stage024_16,,
Stage024,Stage024_16,MSWAvatar,,,Blaze,,,,,,DialogName3,DialogContentsStage024_16,Stage024_17,,
Stage024,Stage024_17,Sprite,ac5ee159ee234ed8923967235baafd4f,,,,,,,,DialogName8,DialogContentsStage024_17,Stage024_18,,
Stage024,Stage024_18,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage024_18,Stage024_19,,
Stage024,Stage024_19,Sprite,ac5ee159ee234ed8923967235baafd4f,,,,,,,,DialogName8,DialogContentsStage024_19,Stage024_20,,
Stage024,Stage024_20,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage024_20,Stage024_21,,
Stage024,Stage024_21,Sprite,ac5ee159ee234ed8923967235baafd4f,,,,,,,,DialogName8,DialogContentsStage024_21,Stage024_22,,
Stage024,Stage024_22,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage024_22,Stage024_23,,
Stage024,Stage024_23,MSWAvatar,,,Despair,,,,,,DialogName3,DialogContentsStage024_23,,,
Stage025,Stage025_1,CustomAvatar,,10001,Idle,,,,,,DialogName6,DialogContentsStage025_1,Stage025_2,,
Stage025,Stage025_2,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage025_2,Stage025_3,,
Stage025,Stage025_3,CustomAvatar,,10001,Smile,,,,,,DialogName6,DialogContentsStage025_3,Stage025_4,,
Stage025,Stage025_4,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage025_4,Stage025_5,,
Stage025,Stage025_5,CustomAvatar,,10001,Troubled,,,,,,DialogName6,DialogContentsStage025_5,Stage025_6,,
Stage025,Stage025_6,MSWAvatar,,,Idle,9fafd3a2b5db46d8b47a660db7bcd304,,,,,DialogName3,DialogContentsStage025_6,Stage025_7,,
