name,category,class,theme,rarity,isToken,tagArray,variantArray,linkArray,cost,maxHp,atk,hasBarrier,hasVenom,hasChill,isDirectAttackable,isImmuneToStrong,cardTriggerNameArray,cardAuraNameArray,minionTriggerNameArray,minionAuraNameArray,damageSound,dieSound,skillAnimation_1,skillAnimation_2,skillAnimation_3,ballAnimation_1,ballAnimation_2,ballAnimation_3,hitAnimation_1,hitAnimation_2,hitAnimation_3,extraAnimation_1,extraAnimation_2,extraAnimation_3,skillSound_1,skillSound_2,skillSound_3,hitSound_1,hitSound_2,hitSound_3,extraSound_1,extraSound_2,extraSound_3
BlackRatz,Minion,Thief,Classic,Rare,,,,"[""Ratz""]",1,1,2,,,,,,,,"[""BlackRatz""]",,30d9675572ee42179c61e38a6a399acd,401aa2c1c3c54ee3a22339a99c4fa013,,,,,,,,,,,,,,,,,,,,,
BlackSandDwarf,Minion,Magician,Nautilus,Rare,,,,,3,3,1,,,,,,,,"[""BlackSandDwarf""]",,c716c3c6d6744a628e3f7a868aacdea9,9dfbbda45ad241e58e06c23342d429ba,,,,,,,bf778256ae104acebe38c24f19517b19,,,,,,5b9b62bdda7b4167a69bbf7acd3ba51a,,,0fcb60691b2347859caf4d51dd088de3,,,,,
BlackSheep,Minion,Common,Classic,Epic,,,,,3,1,2,,,,,,,,"[""BlackSheep""]",,b6558739e2694dd6b56c0f3a64f9210c,220952990e6d44a5a9b3e30b5512e247,,,,,,,8155249a7af04fc88e4bda83ac6cbb74,,,,,,d10d3593474541d09a6f31339268ec43,,,,,,,,
BlankShot,Skill,Pirate,Nautilus,Rare,,,"[""MoonBunny""]",,2,,,,,,,,"[""BlankShot""]",,,,,,b46be3be45ae48bfbf92c45c3d67789b,,,,,,2e2c14b892894151968d514cdd199e78,,,,,,3e58ae49f88546beb9f921102160531c,,,2f6375873db34b099bfeed581341df0c,,,,,
Bless,Skill,Magician,Classic,Rare,,,"[""Angel""]",,3,,,,,,,,"[""Bless""]",,,,,,704d7f3ff4b34dd2aea4f5bf1860f622,,,,,,17f1a2d673a848ffaeb971a81dc8f572,,,,,,6358f76e9add4dcb97a79070e6f3ac05,,,,,,,,
BlueMushroom,Minion,Magician,Classic,Rare,,"[""Mushroom""]",,,1,1,1,,,,,,,,"[""BlueMushroom""]",,277ba7240e2b427f95889ca2ce2ac750,7cb47e8521c24caa856448931e6a4b30,,,,,,,,,,,,,,,,,,,,,
BlueSnail,Minion,,,,TRUE,,,,1,2,2,,,,,,,,,,892c25924e3f49f4a42dcb9a39525800,e704d4ea59f4457ca1833423aef36340,,,,,,,,,,,,,,,,,,,,,
BombingFishHouse,Minion,Pirate,Nautilus,Unique,,,,"[""Goby""]",7,5,1,,,,,,,,"[""BombingFishHouse"", ""BombingFishHouseDead""]",,8ec526da529b4ada8ec68733fad9b0ee,1e9a006d5a4242e48963b2cdda7cded6,,,,,,,,,,,,,c471a1b771874abda6ce4b8d0cba5d5b,,,,,,,,
Brandish,Skill,Warrior,Nautilus,Rare,,,,,4,,,,,,,,"[""Brandish""]",,,,,,bb2172b1cf9142e796d45be9a3e55cb1,,,,,,c8276add3a4a426fac6bcec68b4f4a5c,,,,,,c0fa5a104dd843c583cdb18565aa8c01,,,e2cfeabae94c459f9b55233404a202d2,,,,,
BrownTeddy,Minion,,,,TRUE,"[""Toy""]",,,1,1,1,,,,,,,,,,752087a77d7b442fabb1ad4a24210cec,01ae117334014f4d988990f232f08066,,,,,,,,,,,,,,,,,,,,,
Bruce,Minion,Bowman,Classic,Unique,,"[""Npc""]",,,5,3,1,,,,,,,,"[""Bruce""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,,,,,,,,,
BubbleFish,Minion,Pirate,Nautilus,Rare,,,,,0,1,1,,,,,,,,"[""BubbleFish""]",,d3658af49fd5428994024364663cb077,ac62839118474edab49be6286ac7b845,,,,,,,,,,,,,,,,,,,,,
Bubbling,Minion,Common,Classic,Rare,,,,"[""Slime""]",1,3,2,,,,,,,,"[""Bubbling""]",,dda2f9f4523f48cb9b3799d5dfa53a73,a18ad389cdbc4e53aebf55c12e35ea28,,,,,,,,,,,,,,,,,,,,,
Bulldog,Minion,Common,Nautilus,Rare,,"[""Beast""]",,,5,5,5,,,,,,,,,,835b33bf069a463d9074fa2167d90d2b,972f81bd3c4646a5bd2741f9c83c17e2,,,,,,,,,,,,,,,,,,,,,
Captain,Minion,Pirate,Nautilus,Epic,,,,,3,3,2,,,,,,,,"[""Captain""]",,e9b5fa0a414b4099aa664c588247d6fd,f25a436336ed43d8b48e593c195b094b,,,,,,,,,,,,,183e03e76eac4c76b51e4fe56538c3fc,,,,,,,,
Cassandra,Minion,Common,,Normal,,"[""Npc""]",,,4,4,3,,,,,,,,"[""Cassandra""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,,,,,,,,,
Chakra,Skill,Thief,,Normal,,,,,0,,,,,,,,"[""Chakra""]",,,,,,acce52a427ff4a72b618b986ea6199ec,6620cb7b849e4b3f873c37f169e9d317,424c892540f541c48d1dc1231fb345ce,,,,,,,,,,da42bc5856bf40ee85210d9f2b0a5957,,,,,,,,
Chicken,Minion,Warrior,Classic,Rare,,,,,1,2,1,,,,,,,,,"[""Chicken""]",84543cf52be042d8a14ee52b265c0c15,3ebfed8497364b95845c3454304e2011,,,,,,,,,,,,,,,,,,,,,
ChiefGray,Minion,Magician,Classic,Legendary,,"[""Alien"", ""Boss""]",,"[""BarnardGray""]",5,4,4,,,,,,,,"[""ChiefGraySummon"", ""ChiefGrayDead""]",,e8dff15391ae41b483cd807201dddbdd,922bba63b9254acaa8c962b3fa8b2ebc,,,,,,,96db79514f584ecb8bc1d8da97d18388,,,67d2dd98178c4ab382767a02a653785d,93a61b6b735943988eda6326d37c0873,b5e0466f31b940c6bf8da717914fdc6b,a107e18218c045959b8fbed5e77272d0,,,917d9a9570fc470cb80b403a8540d855,,,,,
ChiefStan,Minion,Bowman,Nautilus,Unique,,"[""Npc""]",,,8,4,3,,,,,,,,"[""ChiefStan""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,3857428ab80c47d8bf6a5752921ae76b,,,,,,,,
ChunJi,Minion,Thief,Classic,Unique,,"[""Npc""]",,,4,2,2,,,,,,,,"[""ChunJi""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,,,,,,,,,
Cico,Minion,Common,Classic,Rare,,,,,2,1,2,TRUE,,,,,,,,,dab4e2535c944e2d84680b0e2c505f2f,b0df6f3e8543465d88fe2151bad97544,,,,,,,,,,,,,,,,,,,,,
Clang,Minion,Common,,Normal,,,,,2,3,2,,,,,,,,"[""Clang""]",,c4b6858139dd49e7a2a7e19b2b49873c,05a9ee84febe4e3291f205ef9435e9a5,,,,,,,c07906d7adea4ce69a1054bc98d17431,,,,,,5771111f4a4b4bda92508f9c9a1d3cd1,,,,,,,,
ClawMachine,Minion,Common,Classic,Unique,,,,,5,2,2,,,,,,,,"[""ClawMachine""]",,b86feec1bd4f4b818b48ef85351d0fb6,dc8918fabc0c473f99cefa88e61c235a,,,,,,,,,,,,,,,,,,,,,
CloudFox,Minion,Common,Classic,Unique,,,,,4,3,4,,,,,,,,"[""CloudFox""]",,13466c9132164e2bbb4e7474c2001a91,dc8eefc6017b4541871a69ce651dc15a,,,,,,,,,,,,,,,,,,,,,
ClownMonkey,Minion,Thief,Classic,Rare,,"[""Monkey""]",,,2,2,1,,,,,,,,"[""ClownMonkey""]",,32c2666d9e9f4613abcc9c68eb2682b9,c454889126ff41beaf75c0f27b9e8d48,,,,c966662505534053ac2d7f02deb05a9b,3ac225524ecf4804ae4dd88722986e27,1064c575e1f142ca984d43eca23d6b9d,48fdbcbef3534e9ab8790101e428956d,5756404bab1e4f6b950856c3e6ffa750,d8f9456451694940a0961097d3ff461d,,,,116c4f110b064675a0d8d32cf05ef38f,,,2abe86fe47884b48bd329f63363f91a8,863c5e53ac7c4f11bc1fa6b4612dbb61,eb1b342473bc45308b4a71e07b9425fe,,,
Cloy,Minion,Common,Nautilus,Unique,,"[""Npc""]",,,4,2,2,,,,,,,,"[""Cloy""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,,,,,,,,,
CoolieZombie,Minion,Common,Classic,Epic,,"[""Undead""]",,,1,1,1,,,,,,,,"[""CoolieZombie""]",,439c1202c60348588d409a665cc46830,a939314135ac4d7ba6ecbdf1cfc3b40b,,,,,,,2b701a43746f4dceb3967190edb0d55a,,,,,,4db35ddded04472c95771be821b5de8b,,,,,,,,
CorkscrewBlow,Skill,Pirate,,Normal,,,,,1,,,,,,,,"[""CorkscrewBlow""]",,,,,,9e11dff573b5472cb0764957ee267a2d,7ecc540cbcc04fe691c27334eb01bca9,,,,,d5d075c88d764a7bb5a7820e2c7783bf,,,,,,,,,987ea201f7a34cf2a9e8e83c29b672fb,,,,,
CrimsonBalrog,Minion,Common,Classic,Legendary,,"[""Boss"", ""Devil""]",,,8,6,6,,,,,,,,"[""CrimsonBalrog""]",,1706ec3d0a854a489bea6d7e707528d6,62358cd7fea34a8c9704465e7e1735ca,5a04b5d956d647c5a972b3b2c09ddcc8,,,,,,9f72de390cbc4db984ed25ce3b05693b,,,,,,5706a324df49493881725dbd89715a2f,,,b16f8763bb2a4db791d88e5d4f3ed0b0,,,,,
Croco,Minion,Common,,Normal,,"[""Beast""]",,,3,3,4,,,,,,,,,,0ded23788df849e98a3d2ceadc372d48,fe59467672d64ada8d38af1a0b2f0e4c,,,,,,,,,,,,,,,,,,,,,
CutthroatManny,Minion,Thief,Classic,Epic,,"[""Npc""]",,,5,4,4,,,,,,,,"[""CutthroatManny""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,,,,,,,,,
Cuzco,Minion,,,,TRUE,,,,4,5,4,,,,,,,,,,90ba7767d7b947f0aacb59eb337b6fb5,90ba7767d7b947f0aacb59eb337b6fb5,,,,,,,,,,,,,,,,,,,,,
DancesWithBalrog,Minion,Warrior,Classic,Legendary,,"[""Npc""]",,,3,4,2,,,,,,,,,"[""DancesWithBalrog""]",13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,,,,,,,,,
DangerZoneTaxi,Minion,Common,Classic,Unique,,"[""Npc""]",,,8,4,2,,,,,,,,"[""DangerZoneTaxi""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,2a3a7508b6dd40b5b09ae5c06d528734,,,,,,,,
DarkCornian,Minion,Common,Classic,Rare,,"[""Dragon""]",,"[""GreenCornian""]",7,3,4,,,,,,,,"[""DarkCornianSummon"", ""DarkCornianDead""]",,3f8b706ed86b4c8082c1f6c1f9c381d8,173006e6bc2d4ac39b4d065fede21ded,,,,,,,7e8d5a3857ea4967b07172cc139d669e,,,,,,5ef9fc4a3aa04ffc89817940d820d655,ba0d68044a2a408f9d3fa5f3ed7f5d82,,500ae42ec220429ea4824f3d12ab32a6,,,,,
DarkLord,Minion,Thief,Classic,Legendary,,"[""Npc""]",,,4,2,3,,,,,,,,"[""DarkLord""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,,,,,,,,,
DeathTeddy,Minion,Magician,Nautilus,Unique,,"[""Toy"", ""Undead""]",,,5,2,2,,,,,,,,"[""DeathTeddy""]",,b1285ee0908a4a7f819d768868ef23d6,1d341b8fcf054f6e97b7d046c22e5d27,,,,76f93eafb59547a7a3d716d9fa216fc6,,,2f4f60b59e2e45b3995611f284df61f9,,,,,,,,,6bfbf0b30e2245f7b87bc73369853a7c,,,,,
Deo,Minion,Common,Classic,Legendary,,"[""Boss"", ""Plant""]",,,4,3,3,,,,,,,,"[""Deo""]",,4ed43ad722164bb4b32cb028a8bd5496,58042630cb5f4527b568d3d990eeb970,885aefeef0fa45d09cce8ee4225afbd9,,,,,,,,,,,,135a6a0aefbf492f90a58d3e53fc0a35,,,,,,,,
Disorder,Skill,Thief,Classic,Epic,,,,,3,,,,,,,,"[""Disorder""]",,,,,,cdbf54c6e7054dfdae908f57d7db4b66,,,,,,bcd1f01c1b3f4b008c9781749ee4b48a,,,,,,1ee73b664b684f9fbf3b07eea7e25a1a,59a1b76d6969408ea71bbc774de87f5d,,,,,,,
Doofus,Minion,Common,Nautilus,Rare,,"[""Npc""]",,,2,3,1,,,,,,,,"[""Doofus""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,,,,,,,,,
Doom,Skill,Magician,Classic,Rare,,,,"[""RedSnail"", ""BlueSnail"", ""Snail""]",3,,,,,,,,"[""Doom""]",,,,,,c3c3444d2b2f425d97524391bfeb336c,,,,,,,,,,,,71e697e8caa74761adca9418a172617e,,,,,,,,
DoubleShot,Skill,Bowman,Classic,Rare,,,"[""Bee""]",,1,,,,,,,,"[""DoubleShot""]",,,,,,c26777e225b04986be47919aba8f6722,,,fbe29179d358471e8c48d081c4ba79bc,,,cd854004258e4250be4ca2e0fe0b331a,,,,,,85ed0942ad734c7795a5a91825fe3fb5,,,,,,,,
DragonBlood,Skill,Warrior,,Normal,,,,,3,,,,,,,,"[""DragonBlood""]",,,,,,98446e678858499e9bc2b22375eba80d,,,,,,183a6ea5937f4dd898293ae0d8665458,,,,,,19311618e64d4cf29c368758a6d68133,,,,,,,,
DragonRoar,Skill,Warrior,,Normal,,,,,4,,,,,,,,"[""DragonRoar""]",,,,,,f21ae27179de490ab7d3941263f42a20,,,,,,f39e26c199954bfc9365271d13c100aa,,,,,,8c0baa5065d146adbaf3ebc537aa322f,,,,,,,,
DragonsBreath,Skill,Bowman,Nautilus,Rare,,,,,4,,,,,,,,"[""DragonsBreath""]",,,,,,7620f62824b441f9afefe91f975f75fb,f370000ecbf04908993b37bee38a38e1,,15289dcf990647ea96daeeefef068d80,,,059328b07c644b3e90d1e7ea7e103496,,,,,,d089c4cd617440aa9d38d6a9c27ba271,4346b64f2d0a4cf683980bb0d318b14a,,cd2ebac32069451f9622d75181d7c3f5,,,,,
Drain,Skill,Thief,Classic,Rare,,"[""Shuriken""]","[""SteelyThrowingKnives""]",,1,,,,,,,,"[""Drain""]",,,,,,8943d2c4f54048c2a250a84f126674a2,2479c204a97b43a7986f6a283fde505b,,08694ba6e39d44b3a82c4079ef7cd0fc,2fc1bc6b1de741458d3b83227097aa99,,436c174d805a43f98d5f80f2f800c839,,,,,,892a8e7ba2544c428e0c872cf3c2bda2,32ebfe1732634492906191ec80cc525d,,,,,,,
Drake,Minion,Common,,Normal,,"[""Dragon""]",,,4,5,4,,,,,,,,,,7e34fc63c39d4dafbb7894ba0e93be15,05912d47b0f842b8a0b388af9993f4a5,,,,,,,,,,,,,,,,,,,,,
DrKim,Minion,Common,Classic,Epic,,"[""Npc""]",,,4,3,2,,,,,,,,"[""DrKim"", ""DrKimPostPlay""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,,,,,,,,,
DrummingBunny,Minion,Common,,Normal,,,,,3,4,1,,,,,,,,,"[""DrummingBunny""]",fc98eb6fa16942079b4e38b825a8ebd8,48bed428d25a405a86b1354dd05b652b,,,,,,,,,,,,,,,,,,,,,
Duck,Minion,Common,,Normal,,,,,1,1,1,,,,,,,,"[""Duck""]",,d5d678de67754be39a327867a129bb16,22ca58bb45124d24a34b05cbaa1a4dcf,,,,,,,,,,,,,,,,,,,,,
Elquines,Skill,Magician,Classic,Unique,,,"[""Santa""]","[""IceElemental""]",4,,,,,,,,"[""Elquines""]",,,,,,,,,,,,,,,,,,,,,,,,,,
EnergyDrain,Skill,Pirate,Nautilus,Epic,,,"[""Leaf""]",,3,,,,,,,,"[""EnergyDrain""]",,,,,,17f33840c2ab490188f5cbbc33d6d108,,,,,,3eb85b239296403bbdb8d8d931758b56,,,,,,d900f49224df48e39a5c8149c2366a0e,,,8ce287f4dbe04fdcbb134ebe5ba15ed7,,,,,
EnergyOrb,Skill,Pirate,Nautilus,Rare,,,,,4,,,,,,,,"[""EnergyOrb""]",,,,,,0a179e51d6984600adbc3cd5909102d5,ea3a47f6b9d94179b2f29f86b11794fb,,ca224c16aa684904ae021de956649913,,,7178a979e72d42dd9e0b9226643bb3e8,,,,,,2688c621f3324739ac52c3a99b02aa36,,,28956d0f30c64c1aad4979718966b8c7,,,,,
EvilEye,Minion,Common,,Normal,,"[""Devil""]",,,2,4,2,,,,,,,,,,ba58289ca17a4b469673f6be1adda40d,e65143af1a3641feb6db6678a1fcc9d7,,,,,,,,,,,,,,,,,,,,,
Explosion,Skill,Magician,,Normal,,,,,6,,,,,,,,"[""Explosion""]",,,,,,e53e55e30e6f4097b15e1203684d3a34,e6dfc55ca992470d9445c677722dfdc5,,,,,,,,3a3083082b8d451d8ebab8f1e255934b,f55690aeaeb14556a65c7b97aaea5639,25ff1fb8a5024e289069c89e5f9adaa0,5af4e3d550f4435cbf7b42f54ca339b2,,,,,,,,
Fairy,Minion,Magician,Classic,Epic,,,,,2,1,1,,,,,,,,"[""Fairy""]",,64efffa44609420ab59e4f0dd9a6d9ef,d90855a724004b4f8a6f7a3753b90e8b,,,,,,,,,,,,,,,,,,,,,
Fanzy,Minion,Common,Nautilus,Epic,,"[""Npc""]",,,7,6,3,,,,,,,,,"[""Fanzy""]",13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,,,,,,,,,
Faust,Minion,Thief,Nautilus,Legendary,,"[""Boss"", ""Monkey"", ""Undead""]",,,6,2,2,,,,,,,,"[""Faust""]",,d135f99950aa4b5cba2a1018b42cdb77,6b77b1ceb0ec474c830b34d519a09b2a,,,,,,,,,,,,,e066b8681b0d4c3cadb9acfaa1789dbe,,,,,,,,
FinalAttack,Skill,Warrior,Classic,Epic,,,"[""FangBlade""]",,2,,,,,,,,"[""FinalAttack""]",,,,,,1e931eedff9e4adc85e6eb25397b9d77,,,,,,3bac3b7d212c42049b53515e7ae777dd,,,,,,b5660397dc22470494bc49ffea2e9759,,,,,,,,
FireArrow,Skill,Magician,,Normal,,,,,2,,,,,,,,"[""FireArrow""]",,,,,,2c5b700a631042f692fcd22d6c3c8806,,,5b2f09e11f384a8bb29bce9846f3d2b2,,,607fbd1ce7cb42ce88c655514baad6ed,,,,,,094fbd1a2bd54a91b333e604fb0a29e1,,,,,,,,
FireBoar,Minion,Warrior,Classic,Rare,,"[""Pig""]",,,3,2,2,,,,,,,,"[""FireBoar""]",,60993c4a0c30445f8f2664d6d1cd9d92,099a5f1fb2314c3fb43e38115747e7c3,,,,,,,c07906d7adea4ce69a1054bc98d17431,,,,,,5771111f4a4b4bda92508f9c9a1d3cd1,,,,,,,,
Firebomb,Minion,Common,Nautilus,Rare,,,,,1,1,1,,,,,,,,"[""Firebomb""]",,ac64b4c0bb884581a1f55e6261b3d047,bd65d5e5c2b14bf6b98f8141b3c0c257,,,,,,,47d3e6b700104d4e925627727f5634cb,,,,,,6eee1aeb4bd34ee488036439b7ef5976,,,,,,,,
Flamethrower,Skill,Pirate,Nautilus,Rare,,,"[""Tomato""]",,3,,,,,,,,"[""Flamethrower""]",,,,,,aa50b78d244e4bb3b98ec5e2da9356c1,,,,,,bc5edd5326194f86adf41ba2dc61425c,,,,,,6bef43d115824aa3b4a6c679042d587b,,,4185279d7a3143d89d6df09d3b08e03b,,,,,
FlamingRaccoon,Minion,Common,Nautilus,Epic,,,,,3,4,2,,,,,,,,"[""FlamingRaccoon""]",,759a7142ce674e01b32746c190a386eb,c8773f78d96e4e268139a627bcdfd386,,,,,,,,,,,,,,,,,,,,,
FlowerFish,Minion,Pirate,Nautilus,Epic,,,,,5,4,4,,,,,TRUE,,,,,8a5ae1c433084057894f5a55a08ebac5,721b24f4fa174e24920e58911e5cd2b4,,,,,,,,,,,,,,,,,,,,,
Flyeye,Minion,Thief,Nautilus,Rare,,"[""Devil""]",,,1,1,1,,,,,,,,"[""Flyeye""]",,1c3585ad42db40659e3b5ff70bf6a682,b636ed41020a44719d9b250b9ef6bc8c,,,,,,,,,,,,,,,,,,,,,
Focus,Skill,Bowman,Classic,Epic,,,"[""Bee""]",,3,,,,,,,,"[""Focus""]",,,,,,28e33696ae7e42709384370f45deda08,,,,,,,,,,,,cb096f1d3ec74f2bbd45ece274792be1,,,,,,,,
Gaviota,Skill,Pirate,Nautilus,Epic,,,,"[""Seagull""]",1,,,,,,,,"[""Gaviota""]",,,,,,,,,,,,,,,,,,466e4a66a64d4f618681ed08cefbefd4,,,,,,,,
