Index,NameKey,NameKeywordKey,Grade,Type,BalancePoint,SpicyPoint,TastePoint,BaseCost,RecipeRUID,IconRUID,Width,Height,PosX,PosY,UpperPosY,RelatedStage
12,IngreName12,IngreNameKeyword12,1,Meat,5,,21,50,436f784098a446aaa7af41273e31692c,124b9647b09a4f5e9b6045c21f7f8cc0,88,16,,-11,-7,0
13,IngreName13,IngreNameKeyword13,2,Meat,3,,48,105,40acce76ed88403ca0e3923ef42cffb0,695c522d135448afa816b9d9c4c48a78,88,16,,-11,-7,0
14,IngreName14,IngreNameKeyword14,2,Meat,6,,56,100,dd05bb0658e347f3a4deb299dda44cd7,a7a5f2ce4a864a6db814db3d5aa6b923,88,16,,-4,-9,0
15,IngreName15,IngreNameKeyword15,2,Meat,8,,72,90,c21de5ba8f1c4ae79286feda1dd62026,5dfc5dec655a42109afc87e49578683e,88,16,,-7,-6,0
16,IngreName16,IngreNameKeyword16,1,Meat,10,,21,50,8ea779878779401b956416cef5ef1645,e9a0ba38222f4ee8a49a705e9ef8c4a7,80,12,,3,-2,0
17,IngreName17,IngreNameKeyword17,1,Meat,8,,37,40,eead7669e934424f8251e2fffa4fdfa7,0ac366d246e7419cb73f15c7572109bf,80,16,,-2,-4,2
18,IngreName18,IngreNameKeyword18,3,Meat,12,,164,140,057cc41616e54abfb96a48c4c49b9efb,909582c33dce441b8d1655e4c74a9f18,84,16,,,,0
19,IngreName19,IngreNameKeyword19,3,Meat,10,,132,160,9bf0104ff5874906b916fdd5fe4d7f8c,494bee75e2404b689328034e834d4dd0,88,16,,-2,,9
20,IngreName20,IngreNameKeyword20,3,Meat,18,,172,140,a109287ffefa4537a7565bd1756448f1,9283aa64497249388155ae3e0ed1e55d,88,16,,,,6
21,IngreName21,IngreNameKeyword21,1,Meat,7,,29,45,92733498dc4149e1a3aab6c5a0f69881,bb8150326acb4e10948ff6fdfb7db527,84,12,,,-3,3
22,IngreName22,IngreNameKeyword22,2,Meat,5,7,64,95,1ce32dc7d5194d2181d4bdcd21d3b9bc,129fdd5aca4044c5bcb51b7d9ec195f8,84,12,,,-3,4
23,IngreName23,IngreNameKeyword23,2,Meat,7,,64,95,fa93f0e6a23746c39d35f3ff348a5e6f,70e4d55c0d2743cf997544ebf237d962,88,12,,-3,-4,4
24,IngreName24,IngreNameKeyword24,3,Meat,5,5,156,145,7c5c1e0ebbbb4c199c910a15ebc7c5d7,30fc3c978dbb4c39b0bca89371a8adfd,88,12,,-3,-4,0
25,IngreName25,IngreNameKeyword25,1,Seafood,-2,,29,45,4edf2f65a2ec4703a76db793123beab3,4fc7ae59ba8144649924d771156e417e,80,16,,-6,-7,0
26,IngreName26,IngreNameKeyword26,3,Seafood,5,,164,140,d5bff13c157d4a139b05e00c70406c02,bec351065373452eb7aa0d8138eeb64a,88,16,5,-2,-7,5
27,IngreName27,IngreNameKeyword27,2,Seafood,-5,7,56,100,1a77b343a047433596a72ddc90818009,cedac12e052244bab45f7825e9f0a161,80,16,,-6,-7,8
28,IngreName28,IngreNameKeyword28,2,Seafood,5,,56,100,25c0fcac6e0d4918b74deb3ba6f491e1,c684dbd664c0473f97be4524d962233f,84,12,,,-3,0
29,IngreName29,IngreNameKeyword29,2,Seafood,3,,56,100,a332f90c67304ed895a2eb3401b83927,d409775c99b94d76943a08db8a5707a2,84,12,,,-3,3
30,IngreName30,IngreNameKeyword30,3,Seafood,10,,140,155,68421086892e4b358573c9aec565378f,5a0fd4451ac9434b8f5abe4c712cb318,92,16,9,-11,-16,0
31,IngreName31,IngreNameKeyword31,1,Veggie,3,,29,45,d03f86e38fc7436cb2128ace9323dd22,900d29edf8b34ade851efdd6177a602c,80,12,,-4,-4,0
32,IngreName32,IngreNameKeyword32,2,Veggie,-7,,72,90,cc5031a3bbe04d2ab5063feb4741fc68,43a2840289b1402f853ee67a724b377a,76,12,,-2,-8,0
33,IngreName33,IngreNameKeyword33,1,Veggie,-7,,21,50,36a918647b544ed5ad71f3838934528e,587ab77c69aa4d47b4427ca232a9d966,80,12,,,-8,0
34,IngreName34,IngreNameKeyword34,1,Veggie,-5,,21,50,49167ba3d0de436ca64c87d058847f86,e99eda72af4644f8a80d019ec751cb50,76,12,,,-4,0
35,IngreName35,IngreNameKeyword35,2,Veggie,3,,56,100,6943b52b00224ef3b4e1e92684d15be4,283b70e4eff94791aca4f95e94da4b76,80,12,,-2,-3,4
36,IngreName36,IngreNameKeyword36,1,Veggie,-5,5,29,45,49250f32eb964cef8139fb273f518f82,6757dd6d795b49f59a2f0c0019e66305,76,12,,,-13,0
37,IngreName37,IngreNameKeyword37,2,Veggie,-2,,48,105,cabb19f934ff44c49f49acac6bd0bb85,7bd67583d4e0443995c9e5b6708b9ef6,76,12,,,-13,0
38,IngreName38,IngreNameKeyword38,2,Veggie,-2,,64,95,cbc6af9681494ebb881a127920661a6c,246eb344a4ce4aa69487443276790dca,76,12,,-3,-10,0
39,IngreName39,IngreNameKeyword39,1,Veggie,-3,,21,50,5893683e459a403eb82340f8f283dc5b,33533945bf884042baeabb2a76a01cfd,72,8,,,-7,0
40,IngreName40,IngreNameKeyword40,2,Veggie,3,,40,110,9ed8ba9128bb460aba1fb0837910c36b,75189e7182f4447298316f9d14c01c9e,72,8,,,-7,0
41,IngreName41,IngreNameKeyword41,1,Veggie,-8,,37,40,73b746b01e544bc1b8baaf42d44fe66d,2bc85f037f7340cc930782ed51b0ada8,76,12,,-2,-1,5
42,IngreName42,IngreNameKeyword42,2,Veggie,-5,,64,95,cbca883f039c4698920eda304d45e5d2,0dfcc57cf75c4fca8a1d4cb9903f13aa,76,12,,-2,-1,5
43,IngreName43,IngreNameKeyword43,1,Veggie,-5,,21,50,a1bec9edb11b4988a86178a789a7eb66,519588f2ed904ae5a4dadcc6ee398ff9,92,16,,-12,-12,0
44,IngreName44,IngreNameKeyword44,1,Veggie,-7,,29,45,70efe4dafe5548978f37829604938858,47a9c2e6f6234cf8940500d6d4a59fc1,92,16,,-5,-5,0
45,IngreName45,IngreNameKeyword45,2,Veggie,-4,,56,100,e5b77be44f6e484fa60df972d6694aeb,dc8cd0cb6fb146d0aa957d732997c995,92,20,,-7,-7,0
46,IngreName46,IngreNameKeyword46,3,Veggie,-4,,156,145,9061110a67eb45da8a1145340c832907,1724e8d3362a4960bdc2e48bd49f7212,92,20,,-7,-7,0
47,IngreName47,IngreNameKeyword47,1,Veggie,-7,5,21,50,5148d50ae38d477f9ab6588afc43cc19,84398d4a8ea74a398bf03439e80bf89d,84,8,,,-4,0
48,IngreName48,IngreNameKeyword48,2,Veggie,-3,,48,105,c2f1bb62772a4608ac6f758d2ba7a97f,ecb984f27a1b416b951b6e06ffe843bd,84,8,,,-4,0
49,IngreName49,IngreNameKeyword49,2,Veggie,-7,5,56,100,e64151a6f6b2429c9f6e50bf217e9790,48b3987863f54e77bbe059266242f47a,84,8,,,-4,0
50,IngreName50,IngreNameKeyword50,2,Veggie,5,,64,95,84b1f6d055ac4ae1905cf6e1fc0b1a3c,9dcd5441febb461c80190c1134244ae9,84,12,,,-4,0
51,IngreName51,IngreNameKeyword51,1,Veggie,-5,5,13,55,7b91d3d9b8f14ed7a9e5c183cb3831bd,a2e80ec8b324439ba0879e175b9e8906,80,12,,,-5,0
52,IngreName52,IngreNameKeyword52,3,Veggie,-7,,140,155,ba07f1a3556e4e72bba0d3261219c397,b3b17fe1783f4b24a87fc5ea39b11628,80,12,,,-5,0
53,IngreName53,IngreNameKeyword53,3,Veggie,-10,15,156,145,c5b2ddf575be4b7283ac91d48b25ea11,a278090adff743598f2b95ce283b2d49,80,12,,-3,-3,0
54,IngreName54,IngreNameKeyword54,3,Veggie,-5,,148,150,805dae8917c64699a668f14fb89fcf14,b8c72196caf14cc2a75da3dca654a555,76,8,,,-3,0
55,IngreName55,IngreNameKeyword55,3,Veggie,3,,132,160,e58667a375884dadbc74734aa79ed702,d131ce5e9a0f4612b797636772f2c427,80,12,,-3,-5,9
56,IngreName56,IngreNameKeyword56,2,Etc,12,,72,95,f3d09598430c4c8994c9068179e9a575,1472a747182f4b859e9e1330bbdfc13e,80,12,,,-1,0
57,IngreName57,IngreNameKeyword57,1,Etc,8,,13,55,5440244b4b89451997626148773d6c3c,d214a034a9ab49a6a37141732f2b4eb1,88,16,-6,-10,-5,2
58,IngreName58,IngreNameKeyword58,3,Etc,18,,172,140,c9970c3ec6b04c78a25315481c1898c7,9cb8ff6ee74b4acb8a6aaf2f34c870b6,80,16,,-6,-4,9
59,IngreName59,IngreNameKeyword59,3,Veggie,-6,,156,145,5d5d3f4704104e539c48ad4654286e15,35043a826ac54d84beaead020c2bdebe,84,16,,,-13,8
60,IngreName60,IngreNameKeyword60,1,Veggie,-4,,13,55,cf4df69a4653434d87ebe5d062e469b4,dcc2d0bb7da3447e9f32e0ab70ddd82e,84,16,,,-13,2
61,IngreName61,IngreNameKeyword61,3,Veggie,-7,,148,150,e1c45103484b4a68b8b6e78f7bb12ccf,03d7db6c31af47d3a8f112e6c1d05ad9,92,16,,-5,-5,0
62,IngreName62,IngreNameKeyword62,3,Veggie,-5,,140,155,cd2f5fd6a71d497a981fef7c57be6955,66df5f5c17fc4399870de8a2ab9ebc68,92,16,,-5,-7,0
63,IngreName63,IngreNameKeyword63,2,Veggie,-5,3,72,90,30150a176c324f11af9368667497fb77,67963379685a42c89b25bc15f5db9afc,84,8,,,-4,0
64,IngreName64,IngreNameKeyword64,3,Veggie,-7,,156,145,a98a03e6811b47af860769e82da8fb12,f0c9f1709e2549d5bc1b732c26be2a09,80,12,,,-5,7
65,IngreName65,IngreNameKeyword65,1,Chicken,-2,,21,50,c4f01adedcaf403ebb0090f95213c765,2a377512b1b44086acc91b57bb8682ae,84,16,,-12,,2
66,IngreName66,IngreNameKeyword66,2,Chicken,3,,64,95,0b618e6636db46cfabc68f0169bf7e20,71f6620b145a4ba7b5ff06a425d29563,84,16,,-12,,8
67,IngreName67,IngreNameKeyword67,2,Chicken,5,,64,95,efc08c6c6920487a935c1665109ae1a1,b7dcd2b4bbeb4efe9d157b341727eb3a,84,16,,-12,,4
68,IngreName68,IngreNameKeyword68,3,Chicken,3,5,140,155,014d23d3d3c8447c887afe91418dbbe7,fe3570dd53674d81b5093484b8717556,84,16,,-12,,7
69,IngreName69,IngreNameKeyword69,3,Seafood,3,,156,145,16cff493a05346e1973e455f7a1580ed,b7d064d8f6f84e108bcf756671f279bd,88,16,,-12,-4,0
70,IngreName70,IngreNameKeyword70,3,Seafood,7,,132,160,2bb8aeaeb0434bd1ac1fa5dc01f6f785,a261b02360454195b8f5630ef4defb23,88,16,,-12,-4,7
71,IngreName71,IngreNameKeyword71,2,Seafood,2,,48,105,809f8e8ba7c149b5af46c02fac2d60cc,6824e770e9be4ff7b17a3e652b1af3c4,84,16,,,-9,0
72,IngreName72,IngreNameKeyword72,1,Seafood,3,,29,45,9b84ea86609841c38e1165e55d6739df,31fa002679fe4d8399474a602e846b6f,92,16,,-5,-5,5
73,IngreName73,IngreNameKeyword73,2,Seafood,5,,48,105,3b5161d937f74e85b78de114d8a5fe6e,d415fa40242e4034b2870a3943e7d3e4,92,24,,,-7,4
74,IngreName74,IngreNameKeyword74,3,Seafood,3,7,156,145,03a79206ebda450e853ad87f1168fe34,19861ddc2675459b99bde5611144b9d9,92,24,,,-7,5
75,IngreName75,IngreNameKeyword75,1,Seafood,7,,37,40,3757b1ade068493eab9c41bb2f2b917a,142267be0fc84b8fa57693461f868a21,84,20,,-4,,2
76,IngreName76,IngreNameKeyword76,1,Chicken,8,,37,40,d74a4844ec1c4e56a7fc79aad1ea9eb3,64c3d2d35baf415e99882b2e0f51e8be,80,16,,-2,,6
77,IngreName77,IngreNameKeyword77,3,Chicken,12,,156,145,c9348eb041f443639cb4b69a4335a900,dc008eabbb334e139556735149cb1ea0,92,20,,-4,-4,0
78,IngreName78,IngreNameKeyword78,3,Chicken,10,,148,150,12f94d72f3aa49208b3e7d7887324203,730ce16b736942faba2ab7adbe353a73,96,24,,-8,,9
79,IngreName79,IngreNameKeyword79,3,Chicken,5,5,132,160,70315759a44148579fbd4cbd693912b3,d6f7f3e5bb7f4545bb88a063f72d4971,96,20,,-8,,6
80,IngreName80,IngreNameKeyword80,3,Meat,7,,164,140,7c282d5f4fcc400aaceaa10f9b43cab5,d31d912a289c4bd8a345a051d08fe80d,84,16,,-4,-12,8
81,IngreName81,IngreNameKeyword81,3,Meat,10,7,140,155,7fc3e804c2784abf9b873fd25d436cf7,c28d12dee58a4811a7eebd8b7556b211,84,16,,-4,-12,7
82,IngreName82,IngreNameKeyword82,2,Veggie,-7,,48,105,c5ebf62e2fd14e0abd9e59a0b054be51,b3e9be16fa1840fc965ef32d202f200d,92,20,,-16,-8,3
83,IngreName83,IngreNameKeyword83,2,Etc,3,,64,95,acc392508d644b609ba89ce4328f42c7,71b615b0d0de4c34a35d937de77f5927,84,16,,-8,,3
84,IngreName84,IngreNameKeyword84,3,Etc,12,,140,160,4edb2d25abf24f2fa99904bdfd0b8c07,489e26a9c18040d5864657c5363bba68,88,20,,-34,,0
85,IngreName85,IngreNameKeyword85,3,Etc,5,,132,160,8f2623d6e621409ea19cce2f4c61d94d,fff4f529caf54c0f96c5654871e2bb22,88,20,,-18,-8,0
86,IngreName86,IngreNameKeyword86,1,Etc,7,,37,40,e048345831c54e9d8d47974b9fc906d3,95174646730742e1b672b318a1b772bc,88,12,,-18,-2,0
87,IngreName87,IngreNameKeyword87,3,Etc,3,,156,145,f62425c22f124badabe111fe9f1adc40,189de1fd9eca4ef8b0314c70dd17cf77,84,20,,-4,-8,0
88,IngreName88,IngreNameKeyword88,3,Etc,-3,,164,140,8bab5138d85b488c996bcfe913db8ea4,f60afd2cc67445c694fd6018b28d724a,88,16,,-2,,8
89,IngreName89,IngreNameKeyword89,3,Veggie,-3,,156,145,373fc52ebf4d41238ec3979794a9d236,c4f5f01c68324259b6be54c0f12c0980,84,20,,-8,-12,6
90,IngreName90,IngreNameKeyword90,3,Veggie,-6,,132,160,d53c977fd79249f7a12145e2ec4dc396,a384a75376584774ba418ec570c896b8,84,16,,-8,-12,6
91,IngreName91,IngreNameKeyword91,3,Veggie,-4,,148,150,1639bae9aabf47f79a6d1e1bb9e9040b,ea1039a39b484d53bdc658040e13fe02,76,12,,,-8,9
92,IngreName92,IngreNameKeyword92,3,Veggie,-7,,140,155,23d76ee617e44018a7a73ce4f6bd0484,c8005b9fdf3a44028d26b75945ae8657,88,20,,-6,-10,7
