AdviceID,posX,posY,MaskRUID,OverImageRUID,MaskAnchor,IsMaskOn,BlockMaskClick,etc
AD106_3,250,65,a6c0a2a3a01b4f129e0a5a0a36f45c33,64cd7d1e0745424da90d59dae918d568,Center,TRUE,FALSE,코인 얻은 결과
AD106_4,250,-158,nil,43fc73d84bff47b582efbaf7504794f0,Center,FALSE,FALSE,다음 라운드로 버튼
AD107_1,494,-47,33fe4e46ea3f49058f7f81d55eb98457,e311db640ab946e2938cd88bd86e105f,BottomLeft,TRUE,TRUE,특성 소개
AD107_2,-45,-140,1db9d213afa442839e4944b0c517f716,35e184c0a6ee46a1b307dbdf1e621274,TopLeft,TRUE,FALSE,시너지
AD107_3,-45,-140,1db9d213afa442839e4944b0c517f716,35e184c0a6ee46a1b307dbdf1e621274,TopLeft,TRUE,FALSE,시너지
AD107_4,497,-39,51e0c14004b1434996235538d2546d2b,1776bcfcca1249a5a9ec255b2bb0b298,BottomLeft,TRUE,FALSE,노블레스 구매
AD108_1,-255,0,ad5549cd67264648aea5a57988184bde,b258f19fa36e4bfda88352cf9412a6e6,Center,TRUE,FALSE,노블레스 배치
AD109_1,-45,-140,1db9d213afa442839e4944b0c517f716,35e184c0a6ee46a1b307dbdf1e621274,TopLeft,TRUE,FALSE,시너지 확인
AD109_2,-45,-140,1db9d213afa442839e4944b0c517f716,35e184c0a6ee46a1b307dbdf1e621274,TopLeft,TRUE,FALSE,시너지
AD109_3,-45,-140,1db9d213afa442839e4944b0c517f716,35e184c0a6ee46a1b307dbdf1e621274,TopLeft,TRUE,FALSE,시너지
AD109_4,664,-39,51e0c14004b1434996235538d2546d2b,1776bcfcca1249a5a9ec255b2bb0b298,BottomLeft,TRUE,FALSE,스톤골렘
AD110_1,-255,0,ad5549cd67264648aea5a57988184bde,b258f19fa36e4bfda88352cf9412a6e6,Center,TRUE,FALSE,빅토리아 배치
AD111_1,-40,-705,nil,35af56e9c8684c61a608b7df1546c208,TopRight,FALSE,FALSE,전투 시작
AD112_1,205,35,ffd9f62cbd654a388f46d784908568b0,6f3d8053f51b497bbba6927f54b3c603,BottomLeft,TRUE,FALSE,팀레벨
AD112_2,664,-39,51e0c14004b1434996235538d2546d2b,1776bcfcca1249a5a9ec255b2bb0b298,BottomLeft,TRUE,TRUE,드레이크 보여주기
AD112_3,280,-395,b75269b58e7a4b6f8e43edd1c7785fe4,9ad16708bbee4fdeb8beb9abd8ddc2cd,TopCenter,TRUE,FALSE,배치 캐릭터 수
AD112_4,-255,0,ad5549cd67264648aea5a57988184bde,b258f19fa36e4bfda88352cf9412a6e6,Center,TRUE,FALSE,초보자 배치
AD113_1,0,0,nil,nil,Center,TRUE,FALSE,초보자 배치 완료
AD113_2,0,0,nil,nil,Center,TRUE,FALSE,
AD113_3,993,-39,51e0c14004b1434996235538d2546d2b,1776bcfcca1249a5a9ec255b2bb0b298,BottomLeft,TRUE,FALSE,초보자 구매
AD114_1,493,-43,96238364eacd4ec7a6f09d1b8ed824c4,8567258239f449d5aeea5d03f1f10d04,BottomLeft,TRUE,TRUE,상점 보여주기
AD114_2,320,4,0543d142ea594a4b95a9a4a9f6e8f62b,129de86535044d6ba99fd3cbc7693a68,BottomLeft,TRUE,FALSE,리롤 버튼 강조
AD115_1,823,-43,bfbc3fe2cb0d46e2bfa30799d7cc146b,63b5e28a677d4ac8b8bbbc0a2cb94400,BottomLeft,TRUE,FALSE,상점에서 셋 사기
AD116_1,0,0,nil,nil,Center,TRUE,FALSE,
AD116_2,-40,-705,nil,35af56e9c8684c61a608b7df1546c208,TopRight,FALSE,FALSE,전투 시작
AD117_1,0,0,nil,nil,Center,TRUE,FALSE,2-1 진입
AD117_2,-195,43,7fab49fb92e9477ebe772715b65fe4a3,d3b086a7043c4eeda61db4552296901d,TopCenter,TRUE,FALSE,스테이지 강조
AD117_3,0,0,nil,nil,Center,TRUE,FALSE,
AD117_4,205,35,ffd9f62cbd654a388f46d784908568b0,6f3d8053f51b497bbba6927f54b3c603,BottomLeft,TRUE,FALSE,팀 레벨 강조
AD117_5,172,-27,5c7d3fa6d1f2428287af2fc44db520aa,f32fcbbad6334b8aa611f8088a97cecc,BottomLeft,TRUE,FALSE,경험치 구매
AD117_1_1,172,-27,5c7d3fa6d1f2428287af2fc44db520aa,f32fcbbad6334b8aa611f8088a97cecc,BottomLeft,TRUE,FALSE,경험치 구매
AD118_1,205,35,ffd9f62cbd654a388f46d784908568b0,6f3d8053f51b497bbba6927f54b3c603,BottomLeft,TRUE,FALSE,팀 레벨 강조
AD118_2,-255,0,ad5549cd67264648aea5a57988184bde,b258f19fa36e4bfda88352cf9412a6e6,Center,TRUE,FALSE,노블레스 배치
AD118_1_1,-45,-140,1db9d213afa442839e4944b0c517f716,35e184c0a6ee46a1b307dbdf1e621274,TopLeft,TRUE,FALSE,시너지 강조
AD118_1_2,1325,-43,149200c086fd491ba7bbe54eaf95da43,b1956ce70b544c97acb0e9ddae571809,BottomLeft,TRUE,TRUE,아이템 상점 강조
AD118_1_3,1326,-45,149200c086fd491ba7bbe54eaf95da43,ba78337bd3a144edb6021e2fa6d71c1b,BottomLeft,TRUE,FALSE,카알 대검 강조
AD119_1,40,-169,6c5a52a7f896440187d9829e2450f443,26578c8a7afa4aaa9cdaedd12fbb8224,TopRight,TRUE,TRUE,보관함 강조
AD119_2,43,-164,6c5a52a7f896440187d9829e2450f443,c3f0080670f04ee192eccf2ac7d95b28,TopRight,TRUE,TRUE,카알 대검만 강조
AD119_3,828,-39,51e0c14004b1434996235538d2546d2b,1776bcfcca1249a5a9ec255b2bb0b298,BottomLeft,TRUE,FALSE,추억의 사제 구매유도
AD120_1,-325,-505,nil,b1ae4f4f79cc4a889211acc6397ede97,TopRight,FALSE,FALSE,카알 대검 장착시키기
AD121_1,0,0,nil,nil,Center,TRUE,FALSE,
AD121_2,0,0,nil,nil,Center,TRUE,FALSE,
AD121_3,320,-43,17c8cee1e0fa4915954f5dfafbdf4f3a,f7581293f3584c62bcf6b2be98400f6a,BottomLeft,TRUE,FALSE,추억의 사제 판매유도
AD122_1,40,-169,6c5a52a7f896440187d9829e2450f443,26578c8a7afa4aaa9cdaedd12fbb8224,TopRight,TRUE,TRUE,보관함 강조
AD122_2,40,-169,6c5a52a7f896440187d9829e2450f443,26578c8a7afa4aaa9cdaedd12fbb8224,TopRight,TRUE,TRUE,보관함 강조
AD122_3,40,-169,6c5a52a7f896440187d9829e2450f443,26578c8a7afa4aaa9cdaedd12fbb8224,TopRight,TRUE,TRUE,보관함 강조
AD122_4,-325,-505,nil,b1ae4f4f79cc4a889211acc6397ede97,TopRight,FALSE,FALSE,주황버섯에게 장착
AD122_1_1,0,0,nil,nil,Center,FALSE,FALSE,우클릭 유도
AD122_2_1,0,0,nil,nil,Center,FALSE,FALSE,유닛 정보 팝업
AD122_2_2,-432,-760,nil,2598a36c304b4519b2a98c2cfc1e039b,TopRight,FALSE,FALSE,추천 아이템 버튼
AD122_3_1,-432,-760,nil,2598a36c304b4519b2a98c2cfc1e039b,TopRight,FALSE,FALSE,어디든 닫기
AD122_4_1,-40,-705,nil,35af56e9c8684c61a608b7df1546c208,TopRight,FALSE,FALSE,전투 시작
AD123_1,0,0,nil,nil,Center,TRUE,FALSE,
AD123_2,1326,-45,149200c086fd491ba7bbe54eaf95da43,ba78337bd3a144edb6021e2fa6d71c1b,BottomLeft,TRUE,FALSE,고깔 모자 강조
AD124_1,-325,-505,nil,b1ae4f4f79cc4a889211acc6397ede97,TopRight,FALSE,FALSE,고깔모자 장착
AD125_1,0,0,nil,nil,Center,TRUE,FALSE,설명 보조 이미지
AD125_2,0,0,nil,nil,Center,TRUE,FALSE,
AD125_3,43,-164,6c5a52a7f896440187d9829e2450f443,c3f0080670f04ee192eccf2ac7d95b28,TopRight,TRUE,TRUE,카르마의 가위 강조
AD125_4,-325,-505,nil,b1ae4f4f79cc4a889211acc6397ede97,TopRight,FALSE,FALSE,카르마의 가위 사용하기
AD125_1_1,43,-164,6c5a52a7f896440187d9829e2450f443,c3f0080670f04ee192eccf2ac7d95b28,TopRight,TRUE,TRUE,용기의 날개 강조
AD125_1_2,0,0,nil,nil,Center,TRUE,FALSE,
AD125_1_3,-325,-505,nil,b1ae4f4f79cc4a889211acc6397ede97,TopRight,FALSE,FALSE,초보자에게 아이템 주기
AD125_2_1,-40,-705,nil,35af56e9c8684c61a608b7df1546c208,TopRight,FALSE,FALSE,전투 시작
AD126_1,0,0,nil,nil,Center,TRUE,FALSE,
AD126_2,1493,-43,149200c086fd491ba7bbe54eaf95da43,b1956ce70b544c97acb0e9ddae571809,BottomLeft,TRUE,FALSE,룬카드 상점 강조
AD127_1,40,-169,6c5a52a7f896440187d9829e2450f443,26578c8a7afa4aaa9cdaedd12fbb8224,TopRight,TRUE,FALSE,"룬 카드 구매 후, 보관함 강조"
AD127_2,40,-169,6c5a52a7f896440187d9829e2450f443,26578c8a7afa4aaa9cdaedd12fbb8224,TopRight,TRUE,FALSE,보관함 강조
AD127_3,40,-169,6c5a52a7f896440187d9829e2450f443,26578c8a7afa4aaa9cdaedd12fbb8224,TopRight,TRUE,FALSE,보관함 강조
AD127_4,40,-169,6c5a52a7f896440187d9829e2450f443,26578c8a7afa4aaa9cdaedd12fbb8224,TopRight,TRUE,FALSE,보관함 강조
AD127_5,1509,-33,9bf073ab6b7b410ea2b8ab56b0622c7a,9d7eea1e137f443bb2943c97a7dc1d0b,BottomLeft,TRUE,TRUE,룬 카드 리롤 강조
AD127_6,1493,105,1d462c65c704469cbbc62ce9b61405c5,d3b086a7043c4eeda61db4552296901d,BottomLeft,TRUE,FALSE,룬 카드 확률 강조
AD127_7,-40,-705,nil,35af56e9c8684c61a608b7df1546c208,TopRight,FALSE,FALSE,전투 시작
AD128_1,0,0,nil,nil,Center,TRUE,FALSE,
AD128_2,790,121,0358bd54b1b94ae186d609ddc07128fb,23ea51d2ed3d4f8780f3e6d339055ed4,BottomCenter,TRUE,FALSE,사전 버튼 강조
AD129_1,0,0,nil,nil,Center,FALSE,FALSE,
AD129_2,845,-111,nil,a5a59b529b05428a87d0428fb4f5c7cc,TopCenter,FALSE,FALSE,사전 닫기 화살표
AD130_1,0,0,nil,nil,Center,TRUE,FALSE,사전 닫기
AD130_2,790,65,0358bd54b1b94ae186d609ddc07128fb,23ea51d2ed3d4f8780f3e6d339055ed4,BottomCenter,TRUE,FALSE,통계 버튼 강조
AD131_1,0,0,nil,nil,Center,FALSE,FALSE,
AD131_2,615,458,nil,a5a59b529b05428a87d0428fb4f5c7cc,Center,FALSE,FALSE,통계 닫기
AD132_1,0,0,nil,nil,Center,TRUE,FALSE,
AD132_2,0,0,nil,nil,Center,TRUE,FALSE,
AD132_3,0,0,nil,nil,Center,TRUE,FALSE,
AD132_4,0,0,nil,nil,Center,TRUE,FALSE,튜토리얼 끝
AD133_1,0,0,nil,nil,Center,TRUE,FALSE,
AD133_2,0,0,nil,nil,Center,TRUE,FALSE,
AD133_3,0,0,nil,nil,Center,TRUE,TRUE,
AD133_4,0,0,nil,nil,Center,TRUE,FALSE,
ADUN1_1,0,0,nil,nil,Center,TRUE,FALSE,패배
ADUN1_2,600,43,7fab49fb92e9477ebe772715b65fe4a3,d3b086a7043c4eeda61db4552296901d,TopCenter,TRUE,FALSE,하트
ADUN1_3,250,65,a6c0a2a3a01b4f129e0a5a0a36f45c33,64cd7d1e0745424da90d59dae918d568,Center,TRUE,FALSE,코인 결과
ADUN1_4,250,-158,nil,43fc73d84bff47b582efbaf7504794f0,Center,FALSE,FALSE,다음 라운드로 버튼
ADUN2_1,0,0,nil,nil,Center,FALSE,FALSE,연장전
ADUN3_1,250,-158,nil,43fc73d84bff47b582efbaf7504794f0,Center,FALSE,FALSE,다음 라운드로 버튼
