AdviceID,IsMaskOn,MaskTargetEntityID,MaskPosX,MaskPosY,MaskWidth,MaskHeight,MaskRValue,BlockMaskClick,MaskOffAfterAdvice,BlueBlurEnable,BlueBlurPosX,BlueBlurPosY,BlueBlurWidth,BlueBlurHeight,HighlightLineEnable,HighlightPosX,HighlightPosY,HighlightWidth,HighlightHeight,HighlightOriginalEnable,HighlightOriginalPosX,HighlightOriginalPosY,HighlightOriginalWidth,HighlightOriginalHeight
AD107_1,TRUE,Custom,0,-500,900,120,12,TRUE,TRUE,TRUE,0,-500,900,120,TRUE,-5,-490,780,120,FALSE,0,0,0,0
AD107_2,TRUE,Custom,-850,100,360,600,20,FALSE,TRUE,TRUE,-850,100,360,600,TRUE,-850,110,270,570,FALSE,0,0,0,0
AD107_3,TRUE,Custom,-850,100,360,600,20,FALSE,TRUE,TRUE,-850,100,360,600,TRUE,-850,110,270,570,FALSE,0,0,0,0
AD107_4,TRUE,Custom,-340,-410,194.4,360,26,FALSE,TRUE,TRUE,-340,-410,194.4,360,TRUE,-335,-400,120,300,FALSE,0,0,0,0
AD108_1,TRUE,Custom,-260,0,630,720,20Battle,FALSE,TRUE,TRUE,-260,70,630,625,TRUE,-260,70,480,575,FALSE,0,0,0,0
AD109_1,TRUE,Custom,-850,100,360,600,20,FALSE,TRUE,TRUE,-850,100,360,600,TRUE,-850,110,270,570,FALSE,0,0,0,0
AD109_2,TRUE,Custom,-850,100,360,600,20,FALSE,TRUE,TRUE,-850,100,360,600,TRUE,-850,110,270,570,FALSE,0,0,0,0
AD109_3,TRUE,Custom,-850,100,360,600,20,FALSE,TRUE,TRUE,-850,100,360,600,TRUE,-850,110,270,570,FALSE,0,0,0,0
AD109_4,TRUE,Custom,-170,-410,194.4,288,26,FALSE,TRUE,TRUE,-170,-410,194.4,288,TRUE,-170,-410,120,300,FALSE,0,0,0,0
AD110_1,TRUE,Custom,-260,0,630,720,20Battle,FALSE,TRUE,TRUE,-260,70,630,625,TRUE,-260,70,480,575,FALSE,0,0,0,0
AD111_1,FALSE,off,-930,310,60,60,20,FALSE,TRUE,FALSE,-930,310,60,60,FALSE,-930,310,45,60,FALSE,0,0,0,0
AD112_1,TRUE,Custom,-670,-425,150,150,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,TRUE,-670,-420,150,150
AD112_2,TRUE,Custom,-170,-410,194.4,288,26,TRUE,TRUE,TRUE,-170,-410,194.4,288,TRUE,-170,-410,120,300,FALSE,0,0,0,0
AD112_3,TRUE,Custom,275,50,360,180,20,FALSE,TRUE,TRUE,275,50,360,180,TRUE,275,50,240,180,FALSE,0,0,0,0
AD112_4,TRUE,Custom,-260,0,630,720,20Battle,FALSE,TRUE,TRUE,-260,70,630,625,TRUE,-260,70,480,575,FALSE,0,0,0,0
AD113_1,TRUE,Custom,-260,0,630,720,20Battle,FALSE,TRUE,TRUE,-260,70,630,625,TRUE,-260,70,480,575,FALSE,0,0,0,0
AD113_2,FALSE,nil,0,0,1260,720,20Battle,FALSE,TRUE,FALSE,0,0,1260,720,FALSE,0,0,945,720,FALSE,0,0,0,0
AD113_3,TRUE,Custom,160,-410,194.4,288,20,FALSE,TRUE,TRUE,160,-410,194.4,288,TRUE,160,-410,120,300,FALSE,0,0,0,0
AD114_1,TRUE,Custom,0,-430,900,360,26,TRUE,TRUE,TRUE,0,-430,900,360,TRUE,0,-410,790,300,FALSE,0,0,0,0
AD114_2,TRUE,Custom,-505,-435,230,132,12,FALSE,TRUE,FALSE,-505,-435,210,132,TRUE,-505,-435,130,132,FALSE,0,0,0,0
AD115_1,TRUE,Custom,160,-410,588,288,26,FALSE,TRUE,TRUE,160,-410,588,288,TRUE,160,-410,441,288,FALSE,0,0,0,0
AD116_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD116_2,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD117_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD117_2,TRUE,Custom,-225,520,180,60,20,FALSE,TRUE,TRUE,-225,520,180,60,TRUE,-225,520,135,60,FALSE,-225,520,150,50
AD117_3,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD117_4,TRUE,Custom,0,0,0,0,20,FALSE,TRUE,TRUE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD117_5,TRUE,Custom,-675,-425,230,264,20,FALSE,TRUE,FALSE,-675,-425,180,264,TRUE,-675,-515,100,70,TRUE,-670,-420,150,150
AD117_1_1,TRUE,Custom,-675,-425,230,264,20,FALSE,TRUE,FALSE,-675,-425,180,264,TRUE,-675,-515,100,70,TRUE,-670,-420,150,150
AD118_1,TRUE,Custom,275,50,360,180,20,FALSE,TRUE,TRUE,275,50,360,180,TRUE,275,50,240,180,FALSE,0,0,0,0
AD118_2,TRUE,Custom,-260,0,630,720,20Battle,FALSE,TRUE,TRUE,-260,70,630,625,TRUE,-260,70,480,575,FALSE,0,0,0,0
AD118_1_1,TRUE,Custom,-850,100,360,600,20,FALSE,TRUE,TRUE,-850,100,360,600,TRUE,-850,110,270,570,FALSE,0,0,0,0
AD118_1_2,TRUE,Custom,500,-450,230,240,20,TRUE,TRUE,TRUE,500,-450,230,240,TRUE,500,-450,144,240,FALSE,0,0,0,0
AD118_1_3,TRUE,Custom,459,-422.5,86.4,86.4,20,FALSE,FALSE,FALSE,459,-422.5,86.4,86.4,FALSE,459,-422.5,64.8,86.4,TRUE,460,-420,120,120
AD119_1,TRUE,Custom,735,85,480,564,20,TRUE,TRUE,TRUE,735,85,480,564,TRUE,735,85,360,564,TRUE,585,-15,150,150
AD119_2,TRUE,Custom,585,-15,108,108,20,TRUE,TRUE,TRUE,585,-5,108,108,FALSE,585,-5,81,108,TRUE,585,-15,150,150
AD119_3,TRUE,Custom,-5,-420,192,288,20,FALSE,TRUE,TRUE,-5,-420,192,288,TRUE,-5,-420,120,300,FALSE,0,0,0,0
AD120_1,TRUE,Custom,50,0,1300,720,20Battle,FALSE,TRUE,TRUE,50,0,1300,720,TRUE,50,0,1200,720,FALSE,0,0,0,0
AD121_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD121_2,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD121_3,TRUE,Custom,80,-350,1400,540,20Battle,FALSE,TRUE,FALSE,0,-350,1260,540,FALSE,0,-350,945,540,FALSE,0,0,0,0
AD122_1,TRUE,Custom,735,85,480,564,20,TRUE,TRUE,TRUE,735,85,480,564,TRUE,735,85,360,564,TRUE,585,-15,150,150
AD122_2,TRUE,Custom,735,85,480,564,20,FALSE,TRUE,TRUE,735,85,480,564,TRUE,735,85,360,564,TRUE,585,-15,150,150
AD122_3,TRUE,Custom,735,85,480,564,20,FALSE,TRUE,TRUE,735,85,480,564,TRUE,735,85,360,564,TRUE,585,-15,150,150
AD122_4,TRUE,Custom,50,0,1380,720,20Battle,FALSE,TRUE,TRUE,50,0,1380,720,TRUE,50,0,1260,720,FALSE,0,0,0,0
AD122_1_1,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD122_2_1,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD122_2_2,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD122_3_1,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD122_4_1,FALSE,off,585,-5,108,108,20,FALSE,TRUE,FALSE,585,-5,108,108,FALSE,585,-5,81,108,FALSE,585,-15,150,150
AD123_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD123_2,TRUE,Custom,459,-422.5,86.4,86.4,20,FALSE,FALSE,FALSE,459,-422.5,86.4,86.4,FALSE,459,-422.5,64.8,86.4,TRUE,460,-420,120,120
AD124_1,TRUE,Custom,50,0,1380,720,20Battle,FALSE,TRUE,TRUE,50,0,1380,720,FALSE,50,0,1035,720,TRUE,585,-15,150,150
AD125_1,FALSE,nil,-85,160,240,240,20,FALSE,TRUE,FALSE,-85,160,240,240,FALSE,-85,160,180,240,FALSE,-85,160,200,200
AD125_2,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD125_3,TRUE,Custom,585,-15,108,108,20,TRUE,TRUE,TRUE,585,-5,108,108,FALSE,585,-5,81,108,TRUE,585,-15,150,150
AD125_4,TRUE,Custom,50,0,1380,720,20Battle,FALSE,TRUE,TRUE,50,0,1380,720,TRUE,50,0,1260,720,TRUE,585,-15,150,150
AD125_1_1,TRUE,Custom,585,-15,108,108,20,TRUE,TRUE,FALSE,585,-5,108,108,FALSE,585,-5,81,108,TRUE,585,-15,150,150
AD125_1_2,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD125_1_3,TRUE,Custom,50,0,1380,720,20Battle,FALSE,TRUE,TRUE,50,0,1380,720,TRUE,50,0,1260,720,TRUE,585,-15,150,150
AD125_2_1,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD126_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD126_2,TRUE,Custom,665,-440,200,240,20,FALSE,FALSE,FALSE,665,-440,200,240,TRUE,665,-440,130,240,FALSE,0,0,0,0
AD127_1,TRUE,Custom,735,85,480,564,20,FALSE,TRUE,FALSE,735,85,480,564,TRUE,735,85,360,564,FALSE,0,0,0,0
AD127_2,TRUE,Custom,735,85,480,564,20,FALSE,TRUE,TRUE,735,85,480,564,TRUE,735,85,360,564,FALSE,0,0,0,0
AD127_3,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD127_4,TRUE,Custom,735,85,480,564,20,FALSE,TRUE,TRUE,735,85,480,564,TRUE,735,85,360,564,FALSE,0,0,0,0
AD127_5,TRUE,Custom,665,-515,192,60,12,TRUE,TRUE,FALSE,665,-515,192,60,TRUE,665,-515,120,60,FALSE,0,0,0,0
AD127_6,TRUE,Custom,665,-370,216,60,12,FALSE,TRUE,FALSE,665,-370,216,60,TRUE,665,-370,130,60,FALSE,0,0,0,0
AD127_7,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD128_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD128_2,TRUE,Custom,790,-370,72,72,20,FALSE,TRUE,TRUE,790,-370,72,72,FALSE,790,-370,54,72,TRUE,790,-370,100,100
AD129_1,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD129_2,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD130_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD130_2,TRUE,Custom,790,-430,72,72,20,FALSE,TRUE,FALSE,790,-430,72,72,FALSE,790,-430,54,72,TRUE,790,-430,100,100
AD131_1,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD131_2,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD132_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD132_2,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD132_3,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD132_4,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD133_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD133_2,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD133_3,TRUE,Custom,0,-410,996,300,20,TRUE,TRUE,TRUE,0,-410,996,300,TRUE,0,-410,747,300,FALSE,0,-410,830,250
AD133_4,TRUE,Custom,-340,-410,194.4,288,20,FALSE,TRUE,TRUE,-340,-410,194.4,288,TRUE,-340,-410,145.8,288,FALSE,-340,-410,162,240
ADUN1_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
ADUN1_2,TRUE,Custom,600,510,204,60,20,FALSE,TRUE,TRUE,600,510,204,60,TRUE,600,510,153,60,FALSE,600,510,170,50
ADUN1_3,TRUE,Custom,250,50,510,360,20,FALSE,TRUE,TRUE,250,50,510,360,TRUE,250,50,382.5,360,FALSE,250,50,425,300
ADUN1_4,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
ADUN2_1,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
ADUN3_1,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
