id,name,grade,skillDescription,statDescription,petType,skillInterval,effectAmount,itemDropBonus,expBonus,goodsBonus,moveRUID,ruid,pivotX,pivotY,set,exp
1_002,슬라임 미니,A,"장착 시, 맵 곳곳에 흩뿌려진 크리스탈 오브를 부숩니다. (속도 %.2f)","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",DiggingPet,1,0.5,0,0,0,26012eadf0ad4746a01491d9f3d6bc27,00f5c2c568844608aec9f0d51ff5eb7b,0,-20,5,9
1_003,연어 초밥,A,"장착 시, 맵 곳곳에 흩뿌려진 크리스탈 오브를 부숩니다. (속도 %.2f)","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",DiggingPet,1,0.5,0,0,0,6ba7fa9d49724479a72b58ca306eb933,cca8935c43094651a47cc3235b9ea45b,5,-20,6,9
1_004,팥팥이,A,"장착 시, 맵 곳곳에 흩뿌려진 크리스탈 오브를 부숩니다. (속도 %.2f)","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",DiggingPet,1,0.5,0,0,0,e370a04d92a8422093cde15c70b49902,1b96acca6f1c447e82ce54a31261806b,5,-20,7,9
2_002,예티 미니,A,"장착 시, 일정 범위 내의 경험치 구슬을 자동으로 획득합니다. (범위 %.2f)","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",CollectingPet,0,1.3,0,0,0,89969a51dba34ec1ac6c1841f619ab47,ce43174ac0de4ba2a08eff76126bde4e,0,-20,5,9
2_003,흥라임,A,"장착 시, 일정 범위 내의 경험치 구슬을 자동으로 획득합니다. (범위 %.2f)","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",CollectingPet,0,1.3,0,0,0,247cc018d9c548f68c1f864580b2a6a9,effe38df59a54c219c635330cd91f42b,-2,-15,6,9
2_004,구르밍,A,"장착 시, 일정 범위 내의 경험치 구슬을 자동으로 획득합니다. (범위 %.2f)","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",CollectingPet,0,1.3,0,0,0,5a013a1a0bf649ecb6b790519edc578b,e48416ae3f464a1d9a62d16d2ddef3a2,0,-20,7,9
3_002,마스테마,A,"장착 시, %.2f초마다 주위 몬스터를 한 곳으로 모읍니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",GatheringPet,20,3,0,0,0,6c781f1f2d8147c8b758ef773b312878,04319365b34949bc953b117cdeef1ab8,5,-20,8,9
3_003,식빵이,A,"장착 시, %.2f초마다 주위 몬스터를 한 곳으로 모읍니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",GatheringPet,20,3,0,0,0,e34b69ec59a84fbaa043017e23ba348d,3e1755a6902244edac3d64985de65547,0,-20,9,9
3_004,허니비,A,"장착 시, %.2f초마다 주위 몬스터를 한 곳으로 모읍니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",GatheringPet,20,3,0,0,0,3fc8cf165b5d4898b1e3208058ad721b,f3099da8a20f43abbc49cce46bba286a,5,-30,10,9
4_002,껨디 베베,A,"장착 시, %.2f초에 한 번씩 플레이어의 체력을 1%% 회복시킵니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",HealingPet,20,1,0,0,0,4c378308db774a5e85bc68c09e3a6ba8,bba15740c84b45b8b45675364f7a7aac,0,-20,8,9
4_003,마롱이,A,"장착 시, %.2f초에 한 번씩 플레이어의 체력을 1%% 회복시킵니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",HealingPet,20,1,0,0,0,62e6bc45d8534cb4aef87bd26bc9407b,c84bb6a5ca204124953673a28e75a546,0,-20,9,9
4_004,까뮤,A,"장착 시, %.2f초에 한 번씩 플레이어의 체력을 1%% 회복시킵니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",HealingPet,20,1,0,0,0,e2027482d6b74f0b88e52c87ed6898c1,434fbf9797d64805b8f0e093dd331f62,0,-20,10,9
5_002,가시곰 핑크,A,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 슬로우 디버프를 겁니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",SlowingPet,10,5,0,0,0,4aa68d80aff44fa18d4b38eec679a4a7,c95d9994794144089044c9136856d5c8,0,-20,11,9
5_003,로즈 디어,A,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 슬로우 디버프를 겁니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",SlowingPet,10,5,0,0,0,f689d9b12ec6469c8c1035b9588192df,5fde63dcc9344b10aa303dcf09d335b7,5,-20,12,9
5_004,반숙이,A,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 슬로우 디버프를 겁니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",SlowingPet,10,5,0,0,0,64b7bc76f748417e8aca27376a3fae54,bae25af0413c426aa9a2d9ae3f41f628,0,-15,13,9
6_002,가시곰 블루,A,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 스턴 디버프를 겁니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",StunningPet,10,3,0,0,0,58e6d8b29ca244eeacfa0c123e1de240,9095ecf5307c46ad9cde56eb6a99d832,0,-20,11,9
6_003,그린 디어,A,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 스턴 디버프를 겁니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",StunningPet,10,3,0,0,0,4b0e84cb8485490b8de555398ed85aaf,a8cfd4b5214e4258bba98e9c8cc34ffb,5,-20,12,9
6_004,완숙이,A,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 스턴 디버프를 겁니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",StunningPet,10,3,0,0,0,76915e881f5046809fd63b9877c39ce7,231dd94bc5a54089a5604cb3ad82c728,0,-15,13,9
7_002,가시곰 옐로,A,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 중독 디버프를 겁니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",PoisoningPet,10,2,0,0,0,a7c3302b186445c6a89ac8efe4ce5055,6346ab312b284483b2c857e294138dac,0,-20,11,9
7_003,라벤더 디어,A,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 중독 디버프를 겁니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",PoisoningPet,10,2,0,0,0,be69447bf8cf44ca9746779ca9924ccc,c5195dde216342c09228511ffb26de6a,5,-20,12,9
7_004,맥반이,A,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 중독 디버프를 겁니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",PoisoningPet,10,2,0,0,0,f84c8aa03254421385ce867413c57d5b,3cba7e56dddd4cf989f6408874328dea,0,-20,13,9
8_002,신비,A,"장착 시, 소울 에그 드롭 확률이 %.2f%% 증가합니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",BonusPet,0,0,5,0,0,5be1adc479af4eb190f1ad637358e6fc,310e12186d474971aa917ddf0f451591,0,-20,14,9
8_003,핑크빈 빠방,A,"장착 시, 소울 에그 드롭 확률이 %.2f%% 증가합니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",BonusPet,0,0,5,0,0,b3057f373ffa4199abfcb09eb3d1e7e4,699bc6c2984d4ed091c4f22bec1409ba,0,-20,15,9
8_004,펭펭이,A,"장착 시, 소울 에그 드롭 확률이 %.2f%% 증가합니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",BonusPet,0,0,5,0,0,100b8bc335b644cd9de8bf38a2b90753,9c6c711f1eaa43518a7ec8081396f791,0,-15,16,9
9_002,구름,A,"장착 시, 스테이지 내에서 경험치 획득량이 %.2f%% 증가합니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",BonusPet,0,0,0,20,0,f0ff79c525c241f3bc5acf4ce9bac761,fe1f405f3a2c495482180aa1479764b8,0,-20,14,9
9_003,슬라임 빠방,A,"장착 시, 스테이지 내에서 경험치 획득량이 %.2f%% 증가합니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",BonusPet,0,0,0,20,0,66d2720748474a708a92f1ec4cb84419,14e49003b36140d889c992ebe9dc3842,0,-15,15,9
9_004,핑핑이,A,"장착 시, 스테이지 내에서 경험치 획득량이 %.2f%% 증가합니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",BonusPet,0,0,0,20,0,6ec76482233a4aecad7cebb415f4a2e0,7f4316f0a00047259b2fbd1a7c315fe4,0,-20,16,9
10_002,반짝,A,"장착 시, 클리어 보상(메소, 에너지 스톤, 주문서)이 %.2f%% 증가합니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",BonusPet,0,0,0,0,20,10c27c0ee2fa4a559be1973786f4b80a,b64c08d28c2948fda7909d7e98c25e94,0,-20,14,9
10_003,예티 빠방,A,"장착 시, 클리어 보상(메소, 에너지 스톤, 주문서)이 %.2f%% 증가합니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",BonusPet,0,0,0,0,20,83be25e6e4074826a42159175cc5cc92,364ff2fc50da4417b30a26a6b413383f,0,-15,15,9
10_004,퐁퐁이,A,"장착 시, 클리어 보상(메소, 에너지 스톤, 주문서)이 %.2f%% 증가합니다.","A 등급 펫 효과(치명타 확률 3%, 회피율 3% 증가)가 적용됩니다.",BonusPet,0,0,0,0,20,d569bb0277364bc082d9055cdf53f925,0d5f1341f75a418ebd66f2dba6df3f1a,-5,-20,16,9
1_005,꼬마별,B,"장착 시, 맵 곳곳에 흩뿌려진 크리스탈 오브를 부숩니다. (속도 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",DiggingPet,1,0.25,0,0,0,37e5a5720fe5475a80eee9fb703e8474,104571ca1721432ca7a24bf7c03ba8f6,0,-30,17,1
1_006,주니어 산초,B,"장착 시, 맵 곳곳에 흩뿌려진 크리스탈 오브를 부숩니다. (속도 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",DiggingPet,1,0.25,0,0,0,609d98db5acf405585672ae770f22821,43d9eaba126041528f17658d1ae9a62f,5,-30,18,1
1_007,어항 속 상어,B,"장착 시, 맵 곳곳에 흩뿌려진 크리스탈 오브를 부숩니다. (속도 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",DiggingPet,1,0.25,0,0,0,7bc716b979784e79ab615650ad089ed8,9374a0eea60b491b8a7821e0061c9c77,0,-30,19,1
1_008,말랑 핑크빈,B,"장착 시, 맵 곳곳에 흩뿌려진 크리스탈 오브를 부숩니다. (속도 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",DiggingPet,1,0.25,0,0,0,79a48d5331c942d68a9095f27cff9630,3b645a8d72b94e6ab06cd19f1e82f711,0,-20,20,1
1_009,스쿠버 더키,B,"장착 시, 맵 곳곳에 흩뿌려진 크리스탈 오브를 부숩니다. (속도 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",DiggingPet,1,0.25,0,0,0,459f003400f14320a0b882252b0b078c,4ba0cc2628864fdd8273b2113813e90f,5,-20,21,1
1_010,아기 호랑이,B,"장착 시, 맵 곳곳에 흩뿌려진 크리스탈 오브를 부숩니다. (속도 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",DiggingPet,1,0.25,0,0,0,6dffa139f75248e2b17277c834b030c1,2e9e90138a4142d1b6b6539039ddaac1,0,-20,22,1
2_005,스컹크,B,"장착 시, 일정 범위 내의 경험치 구슬을 자동으로 획득합니다. (범위 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",CollectingPet,0,0.8,0,0,0,122ed427125a416ca23f000e83127d69,0e4d1665696c4aeab45abc20b895272b,-20,-30,17,1
2_006,미라클 캣,B,"장착 시, 일정 범위 내의 경험치 구슬을 자동으로 획득합니다. (범위 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",CollectingPet,0,0.8,0,0,0,439a6853b7644fdf866fda6b6045a750,bf0040c1a02d4596831d5731df766515,5,-20,18,1
2_007,토토,B,"장착 시, 일정 범위 내의 경험치 구슬을 자동으로 획득합니다. (범위 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",CollectingPet,0,0.8,0,0,0,ca01dfc28dbc4661b47c0390cdb3e7bf,6090440ff5a14263adec394e741e32f0,5,-20,19,1
2_008,해적 앵무새,B,"장착 시, 일정 범위 내의 경험치 구슬을 자동으로 획득합니다. (범위 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",CollectingPet,0,0.8,0,0,0,6a821ae80e184f439648f1bab3a7d178,7f6a327c7d5849e48d13aee87c2704bd,0,-15,20,1
2_009,오동통 구리,B,"장착 시, 일정 범위 내의 경험치 구슬을 자동으로 획득합니다. (범위 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",CollectingPet,0,0.8,0,0,0,6dbe5e7bdca542cea3bb0fb1159694db,3e3ca55b96514b3e85ac78e3f67fd398,-5,-20,21,1
2_010,하프 물범,B,"장착 시, 일정 범위 내의 경험치 구슬을 자동으로 획득합니다. (범위 %.2f)","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",CollectingPet,0,0.8,0,0,0,10eb6d4af8d04edb9f2906aa880bd85a,25b0bc5141834bf8a6d09163be14870e,0,-20,22,1
3_005,구름양,B,"장착 시, %.2f초마다 주위 몬스터를 한 곳으로 모읍니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",GatheringPet,30,3,0,0,0,7e6f3307ff304969a7d9b2ab88c23130,97998372f1c94a76b20fd0a72b912317,0,-25,23,1
3_006,아이스나이트,B,"장착 시, %.2f초마다 주위 몬스터를 한 곳으로 모읍니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",GatheringPet,30,3,0,0,0,3b70d0eff60e4c208d8f4f7682597a31,516f233e9dbe4ee5b86f4483a3a45858,5,-40,24,1
3_007,패션왕뤠빗,B,"장착 시, %.2f초마다 주위 몬스터를 한 곳으로 모읍니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",GatheringPet,30,3,0,0,0,875218d533a746a7ba9cbd9fe576937b,f1ff7c5153ad48b0809b8842f5c1e210,0,-25,25,1
3_008,루돌프,B,"장착 시, %.2f초마다 주위 몬스터를 한 곳으로 모읍니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",GatheringPet,30,3,0,0,0,7be698889e18437bbb2a4c8f1b7319c0,b1ae30d55c3f485eaccd6d6a26fcbc24,0,-25,26,1
3_009,황금돼지,B,"장착 시, %.2f초마다 주위 몬스터를 한 곳으로 모읍니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",GatheringPet,30,3,0,0,0,e5491cb1882c4f90a4578e48487e2cc6,fb9d1222985d463488c97dd5f577b481,0,-25,27,1
3_010,펭귄,B,"장착 시, %.2f초마다 주위 몬스터를 한 곳으로 모읍니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",GatheringPet,30,3,0,0,0,6e0e089973b1423baba1c79d67c0cebb,145f17d5403c462dbc8c3e41e8e55d26,0,-20,28,1
4_005,큐티 스네이크,B,"장착 시, %.2f초에 한 번씩 플레이어의 체력을 1%% 회복시킵니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",HealingPet,30,1,0,0,0,98cb80be64d9473196b483b78c2e43d4,2b45e35a9e8046b483c04768abc8d284,0,-20,23,1
4_006,내일의 캥거루,B,"장착 시, %.2f초에 한 번씩 플레이어의 체력을 1%% 회복시킵니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",HealingPet,30,1,0,0,0,c86edad7c31748e9aab42e87c1812858,b17985c4ac714066945890731b137c18,5,-20,24,1
4_007,귤귤이,B,"장착 시, %.2f초에 한 번씩 플레이어의 체력을 1%% 회복시킵니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",HealingPet,30,1,0,0,0,95c0dad31c67435fb2768fd9c7dec5ee,6ab212aa0e8647a3abea125f79b525b6,0,-30,25,1
4_008,고슴도치,B,"장착 시, %.2f초에 한 번씩 플레이어의 체력을 1%% 회복시킵니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",HealingPet,30,1,0,0,0,1de5e5d2d66d43eab054b61cec17486c,aa034564e845444c85c01c8eaec59f99,5,-20,26,1
4_009,웰시코기,B,"장착 시, %.2f초에 한 번씩 플레이어의 체력을 1%% 회복시킵니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",HealingPet,30,1,0,0,0,4ae47196fc5d4d7d96e3dd8cfaa0c144,0a0d9f9488484d4aa46c40d8356e52e6,0,-20,27,1
4_010,진저브레드맨,B,"장착 시, %.2f초에 한 번씩 플레이어의 체력을 1%% 회복시킵니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",HealingPet,30,1,0,0,0,fc0801791fbf4b2cadfe03acdd17120f,1952c083910643ee912a1d34404d5edf,0,-25,28,1
5_005,마족 메투스,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 슬로우 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",SlowingPet,20,5,0,0,0,78f3634247604dd4922e5dc64e072954,1530b6a774344ddbb4ac86bc49fb2a18,-10,-25,29,1
5_006,핑키 드래곤,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 슬로우 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",SlowingPet,20,5,0,0,0,46329e8d8ae440668d832767c7305305,dcb367393fb44c4b8c96805d5abe193a,0,-30,30,1
5_007,베이지 곰돌이,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 슬로우 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",SlowingPet,20,5,0,0,0,112e6902154f48239320450f3974acf4,e8f669ef988d4ca48396f8560a9dcfc6,0,-20,31,1
5_008,펌킨 잭,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 슬로우 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",SlowingPet,20,5,0,0,0,19680e3a51304f1192584d87b4004879,fd48f670da044d4f9193fe58a29ce9e9,0,-30,32,1
5_009,민트 코알라,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 슬로우 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",SlowingPet,20,5,0,0,0,dc08c88336954f97b4d66e522cfe85f2,1e0603f93ca54f9f8d9295ccd50c20b6,0,-20,33,1
5_010,다람쥐 아론,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 슬로우 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",SlowingPet,20,5,0,0,0,894554ff013b4e42a5842d25fb2cf145,d08aee1311854030925c1f4d3d82cd59,0,-25,34,1
6_005,마족 모스,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 스턴 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",StunningPet,20,3,0,0,0,a4292bb1d5cb48daa0c1db2c19dc9a6f,0baf15aba2b244ab80f18e113904ee5e,0,-30,29,1
6_006,아이스 드래곤,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 스턴 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",StunningPet,20,3,0,0,0,409d813357ab4003910340645da9d248,882ed4f8b5084a6d8241090c50617b0e,0,-30,30,1
6_007,핑크 곰돌이,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 스턴 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",StunningPet,20,3,0,0,0,c3b7eb0f8dab43f0b917e25b5905a437,bbec45fc2e504e078d494b9a66b1838c,0,-20,31,1
6_008,펌킨 오,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 스턴 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",StunningPet,20,3,0,0,0,145b146b919a4e54a43acfdf05df23ef,1b02bbee9dab4a54bb0f0b900e68a667,0,-30,32,1
6_009,핑크 코알라,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 스턴 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",StunningPet,20,3,0,0,0,9b075d6be70c49f5be2ca66f0b832114,2f1e46f31bfa45b69df675a627d53467,0,-20,33,1
6_010,다람쥐 민트,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 스턴 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",StunningPet,20,3,0,0,0,6ccc5986168e40debb1861156aaa53c7,eecace8aed5e42039f1b54138daa46c8,0,-25,34,1
7_005,마족 디아,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 중독 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",PoisoningPet,20,2,0,0,0,42b21d5b87ee42d2970e8f2e90ba2d26,87bc46674b0545fd832bacb1ff75ecbc,0,-25,29,1
7_006,레드 드래곤,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 중독 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",PoisoningPet,20,2,0,0,0,2bc828f15a0f416daffdcd307c46e87d,95eab5b7aab049bfbd274d169421b717,5,-25,30,1
7_007,하늘 곰돌이,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 중독 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",PoisoningPet,20,2,0,0,0,92a0d7438e4445239099a21b88ae254a,4dbe496ede6748a8bac780f59e9058ec,0,-25,31,1
7_008,펌킨 랜턴,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 중독 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",PoisoningPet,20,2,0,0,0,a3ca01e8cc364a3d92b00d20c27a488a,032a67062a774fb4b2770c5b04d65edb,0,-30,32,1
7_009,옐로 코알라,B,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 중독 디버프를 겁니다.","B 등급 펫 효과(치명타 확률 1%, 회피율 1% 증가)가 적용됩니다.",PoisoningPet,20,2,0,0,0,8e2fcbdfff7a4806915f4c28c11a9b16,d550c873a0104d448e5cbca470b302d2,0,-20,33,1
