id,ruid,tile,innerTile,name,stage,chapter,description,step,goldReward,essenceReward,scrollReward,theme,recommendBattlePower,width,height,lastWidth,lastHeight,accountExp,bossBGM
40001,7a489ef546c840d690e636eb206050f9,5dad7f587ecf4e4c8af3dcb57fc49fd4,0,공장,1,4,스테이지 설명,31,22700,23,440,factory,12160,20,12,15,8,346.8,
40002,37aee2b4575e42cb86a9b9b04f33a745,5dad7f587ecf4e4c8af3dcb57fc49fd4,0,공장,2,4,스테이지 설명,32,29300,30,566,factory,12940,32,8,15,8,259.2,
40003,0d9cc46565704237b801acfaecb15095,5dad7f587ecf4e4c8af3dcb57fc49fd4,0,공장,3,4,스테이지 설명,33,29300,30,566,factory,13320,16,24,15,8,259.2,
40004,ebcb6629a0684083a65598397e0058e9,5dad7f587ecf4e4c8af3dcb57fc49fd4,0,공장,4,4,스테이지 설명,34,29300,30,566,factory,13720,16,14,15,8,385.1,
40005,0e60527643a343cd8fcf5dde9320f5eb,5dad7f587ecf4e4c8af3dcb57fc49fd4,0,공장,5,4,스테이지 설명,35,31500,32,609,factory,14300,18,10,15,8,192.5,2a0257f832ee4a7c84c0a8efc9aa5bba
40006,92f1a404587a4a28bc2dafbc09be625a,5dad7f587ecf4e4c8af3dcb57fc49fd4,0,공장,6,4,스테이지 설명,36,58500,60,563,factory,14670,20,12,15,8,320,
40007,76d004155cf24236bf709f1de19e45ac,5dad7f587ecf4e4c8af3dcb57fc49fd4,0,공장,7,4,스테이지 설명,37,58500,60,563,factory,14850,32,8,15,8,320,
40008,3e460d784df54350a6ac0b3299d975e9,5dad7f587ecf4e4c8af3dcb57fc49fd4,0,공장,8,4,스테이지 설명,38,58500,60,563,factory,15190,16,24,15,8,222.8,
40009,99065d7ca3ff44abb009ec0175b357b1,5dad7f587ecf4e4c8af3dcb57fc49fd4,0,공장,9,4,스테이지 설명,39,58500,60,563,factory,15470,16,14,15,8,482.8,
40010,53d17e79ca6648d98c49d242db5d3e78,7ca7011f2c0843de8b9beac5cb8e3b62,0,공장,10,4,스테이지 설명,40,63400,65,610,factory,15700,18,10,18,11,516.3,6b71530b3f624ff78b58997c2d0281a8
50001,d434b0e7da1e435a956545eb1fe8d2ad,754ffa66c5384fb0967eb6199af24f5c,0,쿠키,1,5,스테이지 설명,41,102400,66,1251,cookie,15880,20,12,15,8,1032.5,
50002,15abdd3294c3462e9b8d8697f2ed2787,754ffa66c5384fb0967eb6199af24f5c,0,쿠키,2,5,스테이지 설명,42,117000,75,1430,cookie,16450,32,8,15,8,846.4,
50003,5c115996d7024de4b21bfeef9e40dbc0,754ffa66c5384fb0967eb6199af24f5c,0,쿠키,3,5,스테이지 설명,43,117000,75,1430,cookie,16760,16,24,15,8,846.4,
50004,77166d1d789246f8b4eab63c0c49e6cb,754ffa66c5384fb0967eb6199af24f5c,0,쿠키,4,5,스테이지 설명,44,117000,75,1430,cookie,17030,16,14,15,8,1228.8,
50005,3e15e3f4995b4e279eeef7a46f4d9dd6,754ffa66c5384fb0967eb6199af24f5c,0,쿠키,5,5,스테이지 설명,45,126000,81,1540,cookie,17690,18,10,15,12,614.4,6eab01c4b2e94db2a340c68a4682073d
50006,ce306a9ca7a04fdfb394881761b22806,754ffa66c5384fb0967eb6199af24f5c,0,쿠키,6,5,스테이지 설명,46,234100,146,1386,cookie,18030,20,12,15,8,1000,
50007,59baf4e255594fbd8b373e96b6380345,754ffa66c5384fb0967eb6199af24f5c,0,쿠키,7,5,스테이지 설명,47,234100,146,1386,cookie,18270,32,8,15,8,1000,
50008,3678f181532d415299114cef241b7989,754ffa66c5384fb0967eb6199af24f5c,0,쿠키,8,5,스테이지 설명,48,234100,146,1386,cookie,18490,16,24,15,8,649,
50009,f9e729e02af040d69f159fbc42e7820d,754ffa66c5384fb0967eb6199af24f5c,0,쿠키,9,5,스테이지 설명,49,234100,146,1386,cookie,18850,16,14,15,8,1514.2,
50010,78581f33ac6d457c85f1d585d57056e7,754ffa66c5384fb0967eb6199af24f5c,0,쿠키,10,5,스테이지 설명,50,254800,159,1509,cookie,19140,18,10,15,8,1555.2,ba829ea56b4c48c6862b3ba04ffabd91
60001,ae5ee43cc77e4970815028c7bec2704d,017c1256822c427aa03c1807933dcfad,0,겨울,1,6,스테이지 설명,51,409600,156,2993,winter,19400,20,12,15,8,3110.4,
60002,b5fc8a587d15411d9fd3b22204c98df1,017c1256822c427aa03c1807933dcfad,0,겨울,2,6,스테이지 설명,52,468100,177,3421,winter,19920,32,8,15,8,2508.8,
60003,f123519cb50f4350ad15d1e7bbfaf864,017c1256822c427aa03c1807933dcfad,0,겨울,3,6,스테이지 설명,53,468100,177,3421,winter,20270,16,24,15,8,2508.8,
60004,74f2fcd974bc4660bc7bccffd4a78e64,017c1256822c427aa03c1807933dcfad,0,겨울,4,6,스테이지 설명,54,468100,177,3421,winter,20410,16,14,15,8,3682.7,
60005,85fdb0d7356f4c9799be5cc9513bb889,017c1256822c427aa03c1807933dcfad,0,겨울,5,6,스테이지 설명,55,507300,192,3706,winter,21320,18,10,15,8,1699.7,0db114dca3774c6799623c0ccd7f36d6
60006,e5a3cfd1c0e64915a16b84777edf58f3,017c1256822c427aa03c1807933dcfad,0,겨울,6,6,스테이지 설명,56,936200,340,3263,winter,21590,20,12,15,8,2880,
60007,6b5c39bbadfb452e931c23e8b4801174,017c1256822c427aa03c1807933dcfad,0,겨울,7,6,스테이지 설명,57,936200,340,3263,winter,21830,32,8,15,8,2880,
60008,e3c0f8e7f48a4d7580f404dbe0cfea67,017c1256822c427aa03c1807933dcfad,0,겨울,8,6,스테이지 설명,58,936200,340,3263,winter,22060,16,24,15,8,1757.3,
60009,7bf2b03ac80e40008e7daa0d455eab3b,017c1256822c427aa03c1807933dcfad,0,겨울,9,6,스테이지 설명,59,936200,340,3263,winter,22250,16,14,15,8,4393.1,
60010,e3bc82b93213461384552c65bcf97d4c,017c1256822c427aa03c1807933dcfad,0,겨울,10,6,스테이지 설명,60,1024000,372,3569,winter,22620,18,10,19,12,4369.1,7205b36f60e8463987bdfe95f9ef972b
70001,1363b8a477934d6a9a025ef17c10a43d,116c5f74d41749e1a2f153ff3ae37b2b,0,신전,1,7,스테이지 설명,61,1638400,347,6720,temple,22860,20,12,15,8,8738.1,
70002,444062f55a2c4c7fbcad5e01acc5e41d,116c5f74d41749e1a2f153ff3ae37b2b,0,신전,2,7,스테이지 설명,62,1872500,396,7680,temple,23790,32,8,15,8,6433.5,
70003,b4102cb235b3459793e307b2bb470d31,116c5f74d41749e1a2f153ff3ae37b2b,0,신전,3,7,스테이지 설명,63,1872500,396,7680,temple,23950,16,24,15,8,7505.7,
70004,7f5256a126aa4abe87ca310aa0cf5f48,116c5f74d41749e1a2f153ff3ae37b2b,0,신전,4,7,스테이지 설명,64,1910800,405,7840,temple,24200,16,14,15,8,9864.5,
70005,2d7e64b20fe940f59440602878d72b60,116c5f74d41749e1a2f153ff3ae37b2b,0,신전,5,7,스테이지 설명,65,2039300,431,8363,temple,24740,18,10,15,8,4932.3,732c8aeac0624d21bdcfc89bc6244105
70006,d9cafdec24bd45559d110807188f4095,116c5f74d41749e1a2f153ff3ae37b2b,0,신전,6,7,스테이지 설명,66,3821600,735,7085,temple,25140,20,12,15,8,7840,
70007,a9928f7a4c6949b9b914bffbf162ee52,116c5f74d41749e1a2f153ff3ae37b2b,0,신전,7,7,스테이지 설명,67,3821600,735,7085,temple,25410,32,8,15,8,7840,
70008,0125d4deee07451bb0f527d43940a27e,116c5f74d41749e1a2f153ff3ae37b2b,0,신전,8,7,스테이지 설명,68,3825700,735,7085,temple,25750,16,24,15,8,5278.3,
70009,1f3c844bf9ab4402aa4da988125a91b9,116c5f74d41749e1a2f153ff3ae37b2b,0,신전,9,7,스테이지 설명,69,3821600,735,7085,temple,26030,16,14,15,8,11310.5,
70010,f29dd7fc5d9b40cfb90ef47145c9c6f1,116c5f74d41749e1a2f153ff3ae37b2b,0,신전,10,7,스테이지 설명,70,4096000,787,7591,temple,28000,18,10,15,8,10513.9,636ff098ea254d3a82e29e311f5be712
80001,01e872d8d1bf4b9bbb11d16d7a3de5c0,6b023d6eb243496b9d8c51ce40e214b9,3d284933f0f04818a0b595c221e1ab64,온천,1,8,스테이지 설명,71,6553600,758,14754,hotSpring,28200,12,18,12,9,24532.5,
80002,abcbbfe645cf4f8f87ad88937c5afde7,6b023d6eb243496b9d8c51ce40e214b9,3d284933f0f04818a0b595c221e1ab64,온천,2,8,스테이지 설명,72,7643100,884,17213,hotSpring,28600,20,6,16,6,18483.2,
80003,18cfb44bac384852a92276ff1bce8136,6b023d6eb243496b9d8c51ce40e214b9,3d284933f0f04818a0b595c221e1ab64,온천,3,8,스테이지 설명,73,7651300,884,17213,hotSpring,28800,16,12,15,8,18483.2,
80004,bdea5fac50054857b19eac3de69b9c39,6b023d6eb243496b9d8c51ce40e214b9,3d284933f0f04818a0b595c221e1ab64,온천,4,8,스테이지 설명,74,7643100,884,17213,hotSpring,29000,14,14,14,8,25958.4,
80005,dd836413e0f9470f9a263f81359d739d,6b023d6eb243496b9d8c51ce40e214b9,3d284933f0f04818a0b595c221e1ab64,온천,5,8,스테이지 설명,75,8157000,943,18360,hotSpring,29500,16,14,15,8,12979.2,93100209ee704af4bf146d78071efdcf
80006,7af3194b387e4002a92933ea1192362c,6b023d6eb243496b9d8c51ce40e214b9,3d284933f0f04818a0b595c221e1ab64,온천,6,8,스테이지 설명,76,15286300,1639,15884,hotSpring,29900,14,18,14,8,20480,
80007,c454ce1f066f492da1919eb843f6529c,6b023d6eb243496b9d8c51ce40e214b9,3d284933f0f04818a0b595c221e1ab64,온천,7,8,스테이지 설명,77,15286300,1639,15884,hotSpring,30150,32,8,10,6,20480,
80008,92c0723cbaa14abb836e5ffe8a910d8f,6b023d6eb243496b9d8c51ce40e214b9,3d284933f0f04818a0b595c221e1ab64,온천,8,8,스테이지 설명,78,15302700,1639,15884,hotSpring,30500,15,16,15,8,13097.2,
80009,6157a5f5574d4a9eb5aec95d64dd498f,6b023d6eb243496b9d8c51ce40e214b9,3d284933f0f04818a0b595c221e1ab64,온천,9,8,스테이지 설명,79,15286300,1639,15884,hotSpring,30800,14,14,12,7,29936.4,
80010,8ae5e904678e4389b385a43de91d36d4,6b023d6eb243496b9d8c51ce40e214b9,3d284933f0f04818a0b595c221e1ab64,온천,10,8,스테이지 설명,80,16445700,1763,17085,hotSpring,31000,16,16,15,10,27095,54b612e0bd114666ae4a1cd71f0cfbfc
1,6dbf9d5810c646a18a32f873deaa4644,ac5c3bc0ea914b51b746e24f7acc8e4b,0,테스트,1,1,테스트,1,1,1,1,desert,0,20,12,15,8,24532.5,
2,6dbf9d5810c646a18a32f873deaa4644,ac5c3bc0ea914b51b746e24f7acc8e4b,0,테스트,1,1,테스트,1,1,1,1,forest,0,20,12,15,8,18483.2,
3,6dbf9d5810c646a18a32f873deaa4644,ac5c3bc0ea914b51b746e24f7acc8e4b,0,테스트,1,1,테스트,1,1,1,1,forest,0,20,12,15,8,18483.2,
99999,6dbf9d5810c646a18a32f873deaa4644,ac5c3bc0ea914b51b746e24f7acc8e4b,0,테스트,1,1,1,1,1,1,1,forest,0,20,12,15,8,25958.4,
