name,name (참고),generation,type,ruid,description,cost,max_quantity,usePossible,isBookSync,etc,point
Item_37,연어 초밥,4,요리,ada4a8e297be4d63aba5fe3a04bdcace,x,10,1,o,,13,5120
Item_65,알 초밥,4,요리,81d5afee5f544b0fa1208444320f0989,x,10,1,o,,14,6400
Item_39,삼색 도시락,4,요리,26c3bf9d4f754681bb84e83ac66523e6,x,10,1,o,,15,9600
Item_40,특 초밥,4,요리,9cb680b496f24bb4ad327d7b703e43d2,x,10,1,o,,16,12800
Item_41,특제 덮밥,5,요리,beb53a42d4cc481696262256f0b7ffb1,x,10,1,o,,17,20480
Item_99,타코야끼,5,요리,4440666f5a3b4b09b19516cfa8a6b2f0,x,10,1,o,,18,25600
Item_43,소고기 덮밥,5,요리,e54ad991000e4b178ec3818657650abc,x,10,1,o,,19,38400
Item_44,스테이크,5,요리,18e96daa76274b1db39d0c6dab3ea6f7,x,10,1,o,,20,51200
Item_45,아메리카노,,요리,18e96daa76274b1db39d0c6dab3ea6f7,x,10,1,o,,,
Item_46,파인애플 탕후루,,요리,7f47e2b9641f49149e13a23f334eefd8,x,10,99,o,,,
Item_47,별사탕,,요리,5f27674f7e454b13bd6672e0eb31bed5,x,10,99,o,,,
Item_48,김밥,,요리,605e75794326455ea556f4f4deac6bd2,x,10,99,o,,,
Item_49,핫도그,,요리,9f8ec89e27c445de8f8be72d5e855e3b,x,10,99,o,,,
Item_50,쿠키,,요리,7281287772504ad3887025e7f69556db,x,10,99,o,,,
Item_51,진저브레드맨,,요리,695d82a886d645ac9cb3546406e6d267,x,10,99,o,,,
Item_52,사과 파이,,요리,971761757e6940f294f19623cfbd3f1d,x,10,99,o,,,
Item_53,건빵,,요리,a837220421004faca68da8618bba2e57,x,10,99,o,,,
Item_54,뻥튀기,,요리,756b5795a1f24d24b52b218b2f6b2720,x,10,99,o,,,
Item_55,생선구이,,요리,710054da3dd3413b8ad77149c64a32e1,x,10,99,o,,,
Item_56,사과우유,,요리,189ede8189c8493ea929fd1347422576,x,10,99,o,,,
Item_57,햄버거,,요리,7dc29f14c2c6486badbd5688cf8103a3,x,10,99,o,,,
Item_58,정어리 통조림,,요리,10fe2c4721444d5b8092b355235e52df,x,10,99,o,,,
Item_59,까스까스,,요리,5afdcf7ef37b421985e99c30f0d8097a,x,10,99,o,,,
Item_60,하트 초코 라떼,,요리,2587a70950a742df9c060f4e3373cddb,x,10,99,o,,,
Item_61,유과,,요리,5da703d8ea94440fb133e7f42be8e38f,x,10,99,o,,,
Item_62,주황 버섯 주스,,요리,8db8ccf22e37409c932e689bf63b5860,x,10,99,o,,,
Item_63,꿀단지,,요리,d15ed34aacf24094b39dc233930a620a,x,10,99,o,,,
Item_64,피자,,요리,a452cf22cd1c4bf8ae877cb61e153814,x,10,99,o,,,
Item_65,날치알 초밥,,요리,81d5afee5f544b0fa1208444320f0989,x,10,99,o,,,
Item_66,무지개떡,,요리,101ecf4414054fdbb05a42c031b1d98b,x,10,99,o,,,
Item_67,메밀묵,,요리,000affee2dd9421e9570ace71ea4a2f8,x,10,99,o,,,
Item_68,딸기 케이크,,요리,4d05ef13f9e348fd9eac7158d44c7f46,x,10,99,o,,,
Item_69,보약,,요리,f8e58515049643d388405164e128beec,x,10,99,o,,,
Item_70,샐러드,,요리,78b2f8ceb5ea46b2be5c4c654bdd0605,x,10,99,o,,,
Item_71,옛날 도시락,,요리,3457d7172fb14a1189bcf61e4732c195,x,10,99,o,,,
Item_72,초코 케이크,,요리,3a5b92b95de8426eb91bc25fae8130ab,x,10,99,o,,,
Item_73,찐빵,,요리,c7ec33c735d34a16af79624a6b47f916,x,10,99,o,,,
Item_74,팥죽,,요리,56ad7da2c2b6442ea0c90104e1d27124,x,10,99,o,,,
Item_75,떡볶이,,요리,adb25899e7334c44b20644ede8fa9512,x,10,99,o,,,
Item_76,매화 빵,,요리,8693686942ef4c47a5e168e4bdcb550b,x,10,99,o,,,
Item_77,치즈 케이크,,요리,becb96b1defc4053aac42f9432c6c48f,x,10,99,o,,,
Item_78,송편,,요리,f344113da7e04c7093bd62ab2f08282d,x,10,99,o,,,
Item_79,연어 초밥,,요리,ada4a8e297be4d63aba5fe3a04bdcace,x,10,99,o,,,
Item_80,아침이슬,,요리,ef8608b1df0a48898a8f0c9bc8141103,x,10,99,o,,,
Item_81,수박화채,,요리,560c912544484f42a3e10bbb43ceee7d,x,10,99,o,,,
Item_82,모둠 초밥,,요리,9cb680b496f24bb4ad327d7b703e43d2,x,10,99,o,,,
Item_83,요거트,,요리,2d74371dd6d446faa5d7f25dbac01e2f,x,10,99,o,,,
Item_84,계란말이,,요리,2e9e5dc2cb8c484cb13a10c7420b95c4,x,10,99,o,,,
Item_85,구운 돼지 라면,,요리,e54ad991000e4b178ec3818657650abc,x,10,99,o,,,
Item_86,돼지 사골 라면,,요리,938f650e146846a9b977e14019ab6ac9,x,10,99,o,,,
Item_87,소금 라면,,요리,9c7934d2ffc6423caf06add24cd33484,x,10,99,o,,,
Item_88,파파야,,요리,5183cb4d526249c6a80a47f43f55c559,x,10,99,o,,,
Item_89,계란 도시락,,요리,212d02daf60b49828f8763866ba0dc66,x,10,99,o,,,
Item_90,소풍 도시락,,요리,26c3bf9d4f754681bb84e83ac66523e6,x,10,99,o,,,
Item_91,떡국,,요리,68c0751f6952461baaa078e8006fa595,x,10,99,o,,,
Item_92,짜장면,,요리,87ab315e8f394a7b92c4cd967f2b8ccf,x,10,99,o,,,
Item_93,치킨,,요리,56dfa48a1a7f4735a3ecc59194ad16e2,x,10,99,o,,,
Item_94,군고구마,,요리,710437c413454087aa2fa55bcec48d93,x,10,99,o,,,
Item_95,팬케이크,,요리,158eeaa516344c69bda39b5c9fde0168,x,10,99,o,,,
Item_96,푸딩,,요리,53c1cbc3825f4ccc9e90538b3c292bbf,x,10,99,o,,,
Item_97,삼계탕,,요리,f98dbd115d884da3ad853642a311b1ba,x,10,99,o,,,
Item_98,달콤 디저트,,요리,a98cd7c9e7d042168db5736c7e195d02,x,10,99,o,,,
Item_99,타코야끼,,요리,4440666f5a3b4b09b19516cfa8a6b2f0,x,10,99,o,,,
Item_100,팔보채,,요리,beb53a42d4cc481696262256f0b7ffb1,x,10,99,o,,,
Item_101,고급 스테이크,,요리,18e96daa76274b1db39d0c6dab3ea6f7,x,10,99,o,,,
Item_102,망고 푸딩,,요리,74b517f27e54491095649aa8933ef169,x,10,99,o,,,
Item_103,팥빙수,,요리,3c04f1639b68460ab65295187dc29517,x,10,99,o,,,
Item_104,칵테일 ,,요리,c7f260911589464788db1e5357875f26,x,10,99,o,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Item_105,탄생의 알,,에그,f8532ffd3b6148de975a6220d95298ce,x,10,99,o,,가챠,GachaDataSet_Egg
Item_106,축복의 알,,에그,817f5c92168e4009af03d0163b37438e,x,10,99,o,,가챠,GachaDataSet_RareEgg
Item_107,경험의 알,,에그,4abc1f8fbb1e46669c69cb977ab95f82,x,10,99,o,,가챠,GachaDataSet_GoodEgg
Item_108,수상한 알,,에그,4209d89bf7974d7f981c1885730d6147,x,10,99,o,,가챠,GachaDataSet_GoldEgg
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Item_109,푸근한 깃털,1,부산물,950278df823645e8bd27687b9afe6cec,x,50,99,x,TRUE,,
Item_110,별 조각,1,부산물,24f6b7a6e22c426b9d27f197ecb3f4d1,x,50,99,x,TRUE,,
Item_111,다듬은 뼈,1,부산물,7a3ff04d311a48fc8c060f6d813809f6,x,50,99,x,TRUE,,
Item_112,나뭇잎,1,부산물,3c1695a6704e479290ff5aa496d560b5,x,50,99,x,TRUE,,
Item_113,불꽃,1,부산물,2fd8b6c663b0484a980bdd8cdde6bdd6,x,50,99,x,TRUE,,
Item_114,포근한 깃털,2,부산물,8cc1608f003a4e149a1d932fecea69b2,x,200,99,x,TRUE,,
Item_115,고기,2,부산물,e38c954d1ae0453bb167546b64807f59,x,200,99,x,TRUE,,
Item_116,별꽃,2,부산물,d6c596fd1d65444187a395278103303f,x,200,99,x,TRUE,,
Item_117,물방울,2,부산물,20bfca442bcb45668644911c1d250a56,x,200,99,x,TRUE,,
Item_118,프로펠러,2,부산물,2de6f925010c4f4c9cee29f9dde52dd7,x,200,99,x,TRUE,,
Item_119,알,2,부산물,19181b621ff14564a9f356f380e7e334,x,200,99,x,TRUE,,
Item_120,붉은 별,2,부산물,f6da1b8166da4064932dd02695e6b483,x,200,99,x,TRUE,,
Item_121,작은 뿔,2,부산물,72fe27116f294c5abece7a1e97cf1359,x,200,99,x,TRUE,,
Item_122,씨앗,2,부산물,08eb0924d6fa4d58a7867b4bd3098c85,x,200,99,x,TRUE,,
Item_123,레드 링,2,부산물,6a9e86776f2c4d90984400e921108208,x,200,99,x,TRUE,,
Item_124,털뭉치,2,부산물,9e206a15e85e44de827c01d65e97a82a,x,200,99,x,TRUE,,
Item_125,뱀 가죽,2,부산물,5c44b6a6385040cea09a0b3dd50884d1,x,200,99,x,TRUE,,
Item_126,펭귄 인형,2,부산물,91d1597bb6c245db875e1b926f693fd0,x,200,99,x,TRUE,,
Item_127,액괴,2,부산물,3202467c01fe49839a5aa00a4ad08a2a,x,200,99,x,TRUE,,
Item_128,물개 인형,2,부산물,4bf527f2b9c74812b32fe6b37c787753,x,200,99,x,TRUE,,
Item_129,고운 깃털,3,부산물,c23887240e804e378fa63e820b487ae6,x,800,99,x,TRUE,,
Item_130,선글라스,3,부산물,7039db8838cf463fa12cd96f2c7a5cda,x,800,99,x,TRUE,,
Item_131,말린 꼬리,3,부산물,a3a2f6b4252c4a2b9111ebb9d6c9bc5e,x,800,99,x,TRUE,,
Item_132,미끄덩 액체,3,부산물,59aacc90e5354e9ba6bf45d5bee51942,x,800,99,x,TRUE,,
Item_133,날개,3,부산물,7b16a771f90e49b7a99c8c4f54e25f96,x,800,99,x,TRUE,,
Item_134,애벌레 인형,3,부산물,6ec1d28429b14a1bb22b02a5e5eb5b31,x,800,99,x,TRUE,,
Item_135,별빛 조각,3,부산물,d3b052a8877a4460bb801c4aebea442c,x,800,99,x,TRUE,,
Item_136,튼튼한 뿔,3,부산물,207f4b8794194676b371a6a70ca736cd,x,800,99,x,TRUE,,
Item_137,독버섯,3,부산물,b23b4f4bea904285961a32f549daf916,x,800,99,x,TRUE,,
Item_138,비커,3,부산물,c90c08c999ae4856b5476cd57df7ec3d,x,800,99,x,TRUE,,
Item_139,솜털 뭉치,3,부산물,c22096cecc58498ab1a7573fa3476c8a,x,800,99,x,TRUE,,
Item_140,방울,3,부산물,507279f3c4424804bc0bd5d10fca1711,x,800,99,x,TRUE,,
Item_141,스노클,3,부산물,8a299f36c53a4a309a816ede9f256eb5,x,800,99,x,TRUE,,
Item_142,나무 진액,3,부산물,c92103804f80435199d5c74287618301,x,800,99,x,TRUE,,
Item_143,신비로운 천,3,부산물,b158d38e9ce94ce6b8b9c4654f545023,x,800,99,x,TRUE,,
Item_144,스테이크,3,부산물,8cbc91f48c2b4a3882f8eccc24e6e800,x,800,99,x,TRUE,,
Item_145,사슴뿔,3,부산물,9360fbd668794ef68df0489da0280aed,x,800,99,x,TRUE,,
Item_146,깨끗한 물,3,부산물,971d10b8200141c5a2712b1fb45c83cc,x,800,99,x,TRUE,,
Item_147,검은 털 뭉치,3,부산물,cc0a9826c88a4f90893dee1ac294ed50,x,800,99,x,TRUE,,
Item_148,잘린 꼬리,3,부산물,79cfc3e68d694cb2885032737d79b375,x,800,99,x,TRUE,,
Item_149,어두운 날개,3,부산물,48291521ac95472cb0e3e9b31769526a,x,800,99,x,TRUE,,
Item_150,빨강 리본,3,부산물,bda3fa8698e44515b7828895e3e6c3bf,x,800,99,x,TRUE,,
Item_151,마법 잎사귀,3,부산물,5a85b04ba8164677ad0eb1ae85e7896a,x,800,99,x,TRUE,,
Item_152,호랑이 인형,3,부산물,d7d0dc9ca7b04f7ab845caaf3d57e53e,x,800,99,x,TRUE,,
Item_153,고슴도치 뿔,3,부산물,1b50308096bd45188601fe50684aa474,x,800,99,x,TRUE,,
Item_154,으스스 한 기운,3,부산물,c59fed5c35094dce8c8402bef84c623c,x,800,99,x,TRUE,,
Item_155,개구리 인형,3,부산물,5561c654ff6d4878a3a424e7cca9da49,x,800,99,x,TRUE,,
Item_156,거위 털,3,부산물,7a004f715cf7445bb2843f0649bc9cd9,x,800,99,x,TRUE,,
Item_157,거북이 등껍질,3,부산물,025104e7790a4748bfbb542bc6512e82,x,800,99,x,TRUE,,
Item_158,미니 시계,3,부산물,ec0c718c515d40a88db69c30066c9dfa,x,800,99,x,TRUE,,
Item_159,토끼 인형,3,부산물,2864de4a424848879fb1df92beae8342,x,800,99,x,TRUE,,
Item_160,알 껍질,3,부산물,f80bfaeb94d44fcba11e7056d601dbe3,x,800,99,x,TRUE,,
Item_161,붉은 꼬리 깃털,3,부산물,b073c7f0963448409bf595de4777b95b,x,800,99,x,TRUE,,
Item_162,선인장 가시,3,부산물,24d371e7bfaf4ff2a6a49a5e0c4d5082,x,800,99,x,TRUE,,
Item_163,리본 꿀,3,부산물,4d0418e555c24a1aa0a2838252e3bdad,x,800,99,x,TRUE,,
Item_164,흰색 털 뭉치,3,부산물,d493f5942e9948109011fbf13108b2df,x,800,99,x,TRUE,,
Item_165,산삼 항아리,3,부산물,39ce95396ea34b6a9136820066a7b4a2,x,800,99,x,TRUE,,
Item_166,얼음,3,부산물,76079ba49e5146a6b34c2b1ab732b8c1,x,800,99,x,TRUE,,
Item_167,빛나는 날개,3,부산물,a8c5171d37d04a5d901d10c506eb090e,x,800,99,x,TRUE,,
Item_168,분홍 털,3,부산물,1f077fb4e5244de78fd22fb90d3d1244,x,800,99,x,TRUE,,
Item_169,뭉텅이 깃털,4,부산물,fae30e4b9fb744c9ac6f8eb4cd94b420,x,3200,99,x,TRUE,,
Item_170,발록의 뿔,4,부산물,986bff3bab2548a4858559bf8c8c46ad,x,3200,99,x,TRUE,,
Item_171,연두색 비늘,4,부산물,b6118f159d524776bed3c9305b164d94,x,3200,99,x,TRUE,,
Item_172,오묘한 꽃,4,부산물,1e1c9ce5ec3743f79a744896c04e6660,x,3200,99,x,TRUE,,
Item_173,날카로운 뿔,4,부산물,4cd7e33e030046bfa024093cd8a3d945,x,3200,99,x,TRUE,,
Item_174,사미호 꼬리,4,부산물,082177bff9a7413d9f498bed96eac916,x,3200,99,x,TRUE,,
Item_175,튼튼한 가죽,4,부산물,74ae9e48301d42f7b815696b100e6eb1,x,3200,99,x,TRUE,,
Item_176,새싹,4,부산물,941b9b9278ae4726a5067b19f153b714,x,3200,99,x,TRUE,,
Item_177,투명 망토,4,부산물,467c44951cd64609a04d1457ae849023,x,3200,99,x,TRUE,,
Item_178,달콤한 열매,4,부산물,66c456f730be4c6d9129773904db9004,x,3200,99,x,TRUE,,
Item_179,연꽃 이슬,4,부산물,5f4e861c51824385b9933c67518f736d,x,3200,99,x,TRUE,,
Item_180,목도리,4,부산물,a7d61845ceea487485b7a89db356f6e3,x,3200,99,x,TRUE,,
Item_181,네잎클로버,4,부산물,18b8b4d942b7456ab867485ad9ee45be,x,3200,99,x,TRUE,,
Item_182,날개 가루,4,부산물,55c0a846c4b648e18bedce83dcd6d05e,x,3200,99,x,TRUE,,
Item_183,새싹 털 뭉치,4,부산물,af84c0e526784d649dcdd04bbd58a619,x,3200,99,x,TRUE,,
Item_184,왕관,4,부산물,abdfa6fc14ec40f5849dddb59456cda8,x,3200,99,x,TRUE,,
Item_185,죽창,4,부산물,20c5b09d102c4f629f2569b2e3ee4da9,x,3200,99,x,TRUE,,
Item_186,날카로운 발톱,4,부산물,33eee1d3b7c845d08069ca0cc404896b,x,3200,99,x,TRUE,,
Item_187,부드러운 깃털,4,부산물,c6290ab6e9cc4d86821a03e458136c78,x,3200,99,x,TRUE,,
Item_188,빛나는 비늘,4,부산물,36d609248c9a47399c00b9b20c46fb03,x,3200,99,x,TRUE,,
Item_189,꽃가루 ,4,부산물,bc94d2c57fd641819ec61843f23159d1,x,3200,99,x,TRUE,,
Item_190,눈사람 인형,4,부산물,1a9b0bee0d77471b8b77794c97c73dd5,x,3200,99,x,TRUE,,
Item_191,빛나는 구슬,4,부산물,e6c80330c36e4f8791b6405609b62e86,x,3200,99,x,TRUE,,
Item_192,돌멩이,4,부산물,798313c2b1cd456f97c31b15dbc29de5,x,3200,99,x,TRUE,,
Item_193,사막 모래,4,부산물,c9dcfd4f2a504e0fa3626a58adb41662,x,3200,99,x,TRUE,,
Item_194,가벼운 깃털,4,부산물,8a668406667d48e89c0b29755bd3ebed,x,3200,99,x,TRUE,,
Item_195,싱싱한 생선,4,부산물,360de115061740fa990965cd67a7bc17,x,3200,99,x,TRUE,,
Item_196,마법 목걸이,4,부산물,d3f66258496240e3b60d31f6b773066c,x,3200,99,x,TRUE,,
Item_197,선인장 혹,4,부산물,1ec44b0b3abe454fbf486ce57aa9e016,x,3200,99,x,TRUE,,
Item_198,금빛 상아,4,부산물,44194fd9b490430b9c4c4e18d525dc41,x,3200,99,x,TRUE,,
Item_199,바구니,4,부산물,d7989346f4e649cfb43f979b4776fb5c,x,3200,99,x,TRUE,,
Item_200,태엽,4,부산물,cfa42ba854394d42b621bce7ce37171e,x,3200,99,x,TRUE,,
Item_201,꿀,4,부산물,936ee337555c42d1831e5d8aba5208b9,x,3200,99,x,TRUE,,
Item_202,문어 인형,4,부산물,b2c03e1b2c3e4ad69681470fc2bb1cd2,x,3200,99,x,TRUE,,
Item_203,항해 일지,4,부산물,fbb11f74ea714f8ea9b1387fc45b0271,x,3200,99,x,TRUE,,
Item_204,얼큰 국수,4,부산물,32cd265bedb5481daf20252074ab0114,x,3200,99,x,TRUE,,
Item_205,자쿰 팔,4,부산물,6f9b97d8610c419890c330bdb588cecb,x,3200,99,x,TRUE,,
Item_206,해골바가지,4,부산물,6c443cb8f12e45d28b8a7947b431db40,x,3200,99,x,TRUE,,
Item_207,키위,4,부산물,1d2358ecc4624dbfb08f4f7d58f0f6e6,x,3200,99,x,TRUE,,
Item_208,마법 빗자루,4,부산물,5095fbc35d3f44d0a69ed5fa85d5840e,x,3200,99,x,TRUE,,
Item_209,화살 뭉치,5,부산물,b820064a350d4794b954bd777062b69e,x,12800,99,x,TRUE,,
Item_210,부러지지 않는 뿔,5,부산물,165ee3b9734b49aaa978a986bf1e6188,x,12800,99,x,TRUE,,
Item_211,새초롬한 열매,5,부산물,8ede6d210f1d4ed2bbb2e1816af3eef0,x,12800,99,x,TRUE,,
Item_212,신비한 결정,5,부산물,f12c12a3866c4b9b9bf7887cca06155b,x,12800,99,x,TRUE,,
Item_213,질긴 가죽,5,부산물,57fee532ee6e461db222a0244f0b8893,x,12800,99,x,TRUE,,
Item_214,해피 플라워,5,부산물,49518ac53fea4a53a6f18687498ab501,x,12800,99,x,TRUE,,
Item_215,나무 토막,5,부산물,3905417cc4a04370b834bb6db092be4d,x,12800,99,x,TRUE,,
Item_216,요정 날개,5,부산물,cd3c7bc5e9324599a706551623bbae32,x,12800,99,x,TRUE,,
Item_217,흰 갈기털,5,부산물,dcccf669b7f74792aa0f7a8c58744a75,x,12800,99,x,TRUE,,
Item_218,무술 교본,5,부산물,714f12c0a0044580aebc522d5722cd73,x,12800,99,x,TRUE,,
Item_219,피기 가면,5,부산물,41fe458df1a047afa989bb2dfd87ff8e,x,12800,99,x,TRUE,,
Item_220,보스 주머니,5,부산물,4719e4f1adb74e05a574c3062b8b8ddf,x,12800,99,x,TRUE,,
Item_221,악어 가죽,5,부산물,01e3780354c74a088e0ed71ddce0c91c,x,12800,99,x,TRUE,,
Item_222,배터리,5,부산물,e4f9753fb7514878b815b59738029b6e,x,12800,99,x,TRUE,,
Item_223,방울꽃 ,5,부산물,56940c8a121145a9a4c585917dcd16a6,x,12800,99,x,TRUE,,
Item_224,은색 꼬리,5,부산물,70f638878f5f48d082e0d2645bdfa493,x,12800,99,x,TRUE,,
Item_225,비늘,5,부산물,963ed8f4b08f407b9546531380911dd7,x,12800,99,x,TRUE,,
Item_226,고급 안장,5,부산물,04cc7a90918c45959944b9fc8c1559d5,x,12800,99,x,TRUE,,
Item_227,너굴 삽,5,부산물,83aef47bbe174907ab63d83f0d523240,x,12800,99,x,TRUE,,
Item_228,자쿰 모자,5,부산물,c413165647bc40e59cb590cf0ccc3ca6,x,12800,99,x,TRUE,,
Item_229,녹은 눈,5,부산물,fd64d0565a2143c8a65d11e396db57f8,x,12800,99,x,TRUE,,
Item_230,빛나는 결정,5,부산물,42bbab1f8c6c417e9236c52ac64497bd,x,12800,99,x,TRUE,,
Item_231,불꽃 깃털,5,부산물,e2c4f3499fc5414fa3539ec6405af8fc,x,12800,99,x,TRUE,,
Item_232,용의 구슬,5,부산물,b1a7ca8e86f84f4d93fc43ac2840b7fa,x,12800,99,x,TRUE,,
Item_233,잎새 가루,5,부산물,684cd371826a4416bafdd9df46c24350,x,12800,99,x,TRUE,,
Item_234,고대 석판,5,부산물,92b0d7bb44b649f588fa2bc804796e07,x,12800,99,x,TRUE,,
Item_235,상어 이빨,5,부산물,0f7789cdf77e4ab5b82246b5acf9f57c,x,12800,99,x,TRUE,,
Item_236,마법 피리,5,부산물,46151b09868b46ee9b178e9ad3347f86,x,12800,99,x,TRUE,,
Item_237,뿔 장식,5,부산물,5364c1e4b05246ed891e697d9d7914f2,x,12800,99,x,TRUE,,
Item_238,강인한 털,5,부산물,32b8369aa8164462ae7247032c4263f1,x,12800,99,x,TRUE,,
