generation,name,name (참고),type,ruid,description,description (참고),product,product (참고용),Itemruid,egg,isSecret
3,Monster_name_28,펀치냐옹,몬스터,9fd24ed5683448f09560d3f486e19861,Monster_dsc_28,부드러운 털을 가진 몬스터로 유명하다. \n\n쉽게 털을 내주지 않아 비싼 가격에 \n거래된다. ,20247,튼튼한 뿔,207f4b8794194676b371a6a70ca736cd,fire,
3,Monster_name_29,다라미,몬스터,fa6b0460d8b24dbe88ed48a829394fe6,Monster_dsc_29,가시가 날카롭진 않다. \n\n단지 몸이 마비되어 잠깐 움직일 수 \n없을 뿐이다...,20248,독버섯,b23b4f4bea904285961a32f549daf916,green,
3,Monster_name_30,모비커,몬스터,38d741d5505d412b85d46c863433d513,Monster_dsc_30,통에 들어가는 것을 좋아해 어릴 적부터 \n비커 안에서 살았다. \n\n하지만 점점 몸이 커져 \n새로운 비커를 구해야 한다. ,20249,비커,c90c08c999ae4856b5476cd57df7ec3d,devil,
3,Monster_name_31,무무,몬스터,5b3dbb5330cf49ebb5ade9373112d728,Monster_dsc_31,무무가 지나간 곳은 먼지가 없이 깨끗해서 \n자연의 청소부라고도 불린다. ,20250,솜털 뭉치,c22096cecc58498ab1a7573fa3476c8a,dust,
3,Monster_name_32,스네코,몬스터,0788dfc74ff7448a886c39fdef88cb19,Monster_dsc_32,워낙 조용한 걸음으로 다녀서 \n밟힌 적이 많다. \n\n이를 방지하려고 방울을 달았다. ,20251,방울,507279f3c4424804bc0bd5d10fca1711,green,
3,Monster_name_33,스쿠파,몬스터,833776a1f230457e8998216ed7067af9,Monster_dsc_33,수영 실력이 뛰어나다.\n\n심해까지 잠수하는 것을 좋아한다. ,20252,스노클,8a299f36c53a4a309a816ede9f256eb5,water,
3,Monster_name_34,플라이,몬스터,7862f969f4194acfbc88d7068087f8ed,Monster_dsc_34,수액을 많이 먹을수록 비행 속도가 \n느려진다. \n\n하지만 이미 향기에 취한 뒤라 대부분 \n낮은 곳에서 포착된다.,20253,나무 진액,c92103804f80435199d5c74287618301,green,
3,Monster_name_35,아루퀸,몬스터,4f0792e6157c4c8497663e0f985c9fa0,Monster_dsc_35,아루를 귀여워해서 항상 데리고 다닌다. ,20254,신비로운 천,b158d38e9ce94ce6b8b9c4654f545023,water,
3,Monster_name_36,스테이코,몬스터,591e54ab33764cd3ba37868d6b37dbbd,Monster_dsc_36,고기가 어느 정도 익었는지 직감으로 \n판단할 수 있다. \n\n가끔 고기와 잘 어울리는 소스를 \n추천해 준다.   ,20255,스테이크,8cbc91f48c2b4a3882f8eccc24e6e800,fire,TRUE
3,Monster_name_37,뿌나,몬스터,0c415377562c444ca0aa42f126e9a78a,Monster_dsc_37,다른 몬스터에 비해 사람을 잘 따른다. \n\n뿔이 나무에 걸려서 도움 받은 \n기억이 있기 때문이다. ,20256,사슴뿔,9360fbd668794ef68df0489da0280aed,green,TRUE
3,Monster_name_38,물모리,몬스터,a1abc041f96f451b906557ab53050e56,Monster_dsc_38,크기가 작지만 엄청난 양의 물을 \n흡수하고 있다. \n\n사막에 갈 때 필수 동반 몬스터이다. ,20257,깨끗한 물,971d10b8200141c5a2712b1fb45c83cc,water,
3,Monster_name_39,검무,몬스터,92b8be5ea1164ccf839ebfc3f76ecb46,Monster_dsc_39,털이 길게 자란다. \n자신의 털을 밟아 넘어지기도 한다.,20258,검은 털 뭉치,cc0a9826c88a4f90893dee1ac294ed50,dust,
3,Monster_name_40,롱뇽 ,몬스터,6d539fdafc644d27868d5a9b21bee97a,Monster_dsc_40,습도 높은 곳을 선호해서 \n물모리 근처에서 종종 발견된다. ,20259,잘린 꼬리,79cfc3e68d694cb2885032737d79b375,fire,
3,Monster_name_41,다크아이,몬스터,75e934529b26497699b4f7a34efd41da,Monster_dsc_41,어두운 밤에는 잘 보이지 않는다. \n\n도깨비불이 떠다닌다고 \n놀랜 사람이 많다. ,20260,어두운 날개,48291521ac95472cb0e3e9b31769526a,devil,
3,Monster_name_42,파랑새,몬스터,52a9128ef07e4b0b9dbe5753b7f044d2,Monster_dsc_42,행운을 가져다준다는 소문 때문인지 \n농장에서 많이 키우는 몬스터 중 하나. ,20261,빨강 리본,bda3fa8698e44515b7828895e3e6c3bf,sky,
3,Monster_name_43,잎새 여우,몬스터,924e2b54101642609ef9ce094cdf649b,Monster_dsc_43,어린 몬스터라 힘을 조절하지 못했다. \n\n산을 불태워 힘을 봉인 당했다. ,20262,마법 잎사귀,5a85b04ba8164677ad0eb1ae85e7896a,green,
3,Monster_name_44,랑이,몬스터,178e072c1a4e4bc1bd05a82977bd09d9,Monster_dsc_44,네모 모양 물체라면 뭐든 좋아한다. ,20263,호랑이 인형,d7d0dc9ca7b04f7ab845caaf3d57e53e,fire,TRUE
3,Monster_name_45,도치,몬스터,ecf485cd90814cbea50d22c81197cde5,Monster_dsc_45,가시를 날카롭게 만들기 위해 \n특수한 물건이 필요하다. \n\n새싹 두더지에게 공급받고 있다. ,20264,고슴도치 뿔,1b50308096bd45188601fe50684aa474,dust,TRUE
3,Monster_name_46,스푸쿠,몬스터,59760a015a9c4786bc99261819e385c1,Monster_dsc_46,오랫동안 사용하지 않는 물건 근처에 \n나타난다. \n\n깨끗하게 청소하면 언제 나타났냐는 듯 \n사라진다. ,20265,으스스 한 기운,c59fed5c35094dce8c8402bef84c623c,pirate,
3,Monster_name_47,네모 개굴,몬스터,3ec914bad475421cac3d55e84217ddb3,Monster_dsc_47,웬만해서 잘 일어나지 않는다. \n먹이를 먹을 때도 그렇다. \n\n긴 혀를 이용해 가까이 있는 벌레만 \n잡아먹는다. ,20266,개구리 인형,5561c654ff6d4878a3a424e7cca9da49,green,TRUE
3,Monster_name_48,덕구,몬스터,2fb0e427452e40559ca8e32fb7e948b0,Monster_dsc_48,금방 까먹는 편. \n\n덕분에 모든 것을 새롭고 흥미진진하게 \n느낀다. ,20267,거위 털,7a004f715cf7445bb2843f0649bc9cd9,dust,
3,Monster_name_49,북이,몬스터,7ddae18f519d4c80973744fd43f3e763,Monster_dsc_49,수영 대회에서 여러 번 우승했다.\n\n거북이는 느리지 않다는 인식을 \n심어주기 위해 다방면으로 노력 중이다. ,20268,거북이 등껍질,025104e7790a4748bfbb542bc6512e82,water,TRUE
3,Monster_name_50,타이모,몬스터,9ec428dc68c24a3684e8a55f703e629b,Monster_dsc_50,계획한 대로 하루를 보낸다. \n\n갑자기 폭설이 내려도 개의치 않는다. ,20269,미니 시계,ec0c718c515d40a88db69c30066c9dfa,devil,
3,Monster_name_51,아기토끼,몬스터,aeb6fd8b2d9e4e918a119c4c27bf3385,Monster_dsc_51,뭐든 입으로 가져가려고 해서 주의 깊게 \n돌봐야 한다. ,20270,토끼 인형,2864de4a424848879fb1df92beae8342,dust,TRUE
3,Monster_name_52,미르,몬스터,6d086f7356e3429faafa3852635daea8,Monster_dsc_52,머리 위의 껍질을 억지로 벗기려고 \n하면 저항이 거세다. \n\n성장하며 알아서 떨어지니 걱정하지 \n않아도 된다. ,20271,알 껍질,f80bfaeb94d44fcba11e7056d601dbe3,sky,TRUE
3,Monster_name_53,파이어 루니,몬스터,89a45e95d81f4780a42c27f11d6f82ae,Monster_dsc_53,음악을 즐기는 새로 유명하다. \n\n노랫소리가 들려오면 어디선가 나타나 \n함께 노래를 부른다. ,20272,붉은 꼬리 깃털,b073c7f0963448409bf595de4777b95b,sky,
3,Monster_name_54,파투스,몬스터,b50cdef7550445539048c676150b4b40,Monster_dsc_54,"유아기의 가시는 수분이 많으며 \n뾰족하지 않지만, 본인만 모른다. \n\n자기 가시에 찔리면 무척 아플 것이라는 \n자부심이 있다.",20273,선인장 가시,24d371e7bfaf4ff2a6a49a5e0c4d5082,green,TRUE
3,Monster_name_55,동그리,몬스터,a082f2550a194766992f489afc9dbc09,Monster_dsc_55,"쿠키, 도넛, 포도를 싫어한다. \n사실 둥글게 생긴 것은 다 싫어한다. ",20274,리본 꿀,4d0418e555c24a1aa0a2838252e3bdad,green,TRUE
3,Monster_name_56,토리,몬스터,ce08436b7b3f4d6494962db6e73ff345,Monster_dsc_56,평상시엔 털 속에 귀를 감추고 다녔다. \n\n그래서 토끼가 아니라고 생각하는 \n사람이 꽤 있었다. ,20275,흰색 털 뭉치,d493f5942e9948109011fbf13108b2df,dust,
3,Monster_name_57,와일드,몬스터,ba8df2aa086448098365412d2e10392d,Monster_dsc_57,건강한 몸을 만들기 위해 매일 운동한다. ,20276,산삼 항아리,39ce95396ea34b6a9136820066a7b4a2,green,TRUE
3,Monster_name_58,아이스,몬스터,d15def2219e64409bb699f89d9735ee6,Monster_dsc_58,열을 내면 녹아버리기 때문에 \n항상 포커페이스를 유지하려고 한다. ,20277,얼음,76079ba49e5146a6b34c2b1ab732b8c1,water,TRUE
3,Monster_name_59,라바,몬스터,cb9b57692e424b34bb5f992a45a5bae1,Monster_dsc_59,자신의 농장에 라바가 방문한 것은 \n자랑할만한 일이다. \n\n관리가 잘 된 정원에만 나타난다.,20278,빛나는 날개,a8c5171d37d04a5d901d10c506eb090e,sky,
3,Monster_name_60,유우,몬스터,da0b6e88e83e4f5a944f3a07432060ec,Monster_dsc_60,기분이 좋으면 유우족의 노래를 부른다. \n\n유우족의 노래는 불안감을 \n낮춰주는 효과가 있다. ,20279,분홍 털,1f077fb4e5244de78fd22fb90d3d1244,dust,
4,Monster_name_61,페루니,몬스터,901c2213fdef449181ca53d8555ebc13,Monster_dsc_61,지휘관으로서 멋있는 모습을 보여주기 \n위해 연습을 게을리하지 않는다. ,20280,뭉텅이 깃털,fae30e4b9fb744c9ac6f8eb4cd94b420,sky,
4,Monster_name_62,키드 발록,몬스터,50504a35cb7946b18a0b6cfb22fa6756,Monster_dsc_62,몸집은 작지만 무시무시한 악마의 힘을 \n숨기고 있다.,20281,발록의 뿔,986bff3bab2548a4858559bf8c8c46ad,devil,
4,Monster_name_63,연두콩,몬스터,d93af49bb28b46b28cf376a4341ffa72,Monster_dsc_63,자유자재로 뿔의 강도를 조절할 수 있다. \n\n위협이 느껴지면 단단하게 몸을 보호한다.,20282,연두색 비늘,b6118f159d524776bed3c9305b164d94,green,
4,Monster_name_64,우파루,몬스터,4d72c5ce3a924253b1dae0f9150136ef,Monster_dsc_64,무슨 일이든 항상 긍정적으로 생각한다. ,20283,오묘한 꽃,1e1c9ce5ec3743f79a744896c04e6660,water,
4,Monster_name_65,세모리,몬스터,757d30fde5044b70adb7c9516e40bdca,Monster_dsc_65,세 개의 머리가 모두 지능을 \n가지고 있으며 성격도 다르다.\n\n중요한 일이 있을 땐 투표를 해서 \n다수결의 의견을 따른다. ,20284,날카로운 뿔,4cd7e33e030046bfa024093cd8a3d945,devil,
4,Monster_name_66,사미호,몬스터,4df6aa85f8264456a2b18387f9bfd7a2,Monster_dsc_66,꼬리 중 하나는 상대적으로 크기가 \n작지만 네 개라고 주장한다. \n\n그래서인지 4라는 숫자에 집착하는 \n경향이 있다. ,20285,사미호 꼬리,082177bff9a7413d9f498bed96eac916,dust,
4,Monster_name_67,빨강 머리,몬스터,2c97f9911e55475886c33da1d7b524cb,Monster_dsc_67,어릴 때 놀림을 받은 이후 매일 아침 \n갈기를 관리했다. \n\n그 결과 윤기 나고 정돈된 모습을 \n갖추게 되었다. ,20286,튼튼한 가죽,74ae9e48301d42f7b815696b100e6eb1,devil,
4,Monster_name_68,새싹 두더지,몬스터,ae29ffdf28a245a79015fd9d67755a26,Monster_dsc_68,낮에는 잘 돌아다니지 않는다. \n\n대신 새싹만 땅 위로 내놓고 영양분을 \n공급받는다. \n\n이러한 이유로 다른 두더지과 \n몬스터보다 강하다. ,20287,새싹,941b9b9278ae4726a5067b19f153b714,dust,
4,Monster_name_69,망또,몬스터,1ff63edc208343f6b62f489eeecf6d3c,Monster_dsc_69,품고 있는 물체도 투명해진다. \n\n아이가 산속에서 갑자기 모습을 감췄다면\n당황하지 말자.\n\n망또의 품에 안겨있진 않은지 \n확인해 보면 된다. ,20288,투명 망토,467c44951cd64609a04d1457ae849023,pirate,
4,Monster_name_70,토실이,몬스터,c73b93fcaca340e98220488bd37691c8,Monster_dsc_70,매일 먹고 싶은 음식이 달라서 \n한곳에 정착하지 않는다. ,20289,달콤한 열매,66c456f730be4c6d9129773904db9004,dust,
4,Monster_name_71,연꽃 개굴,몬스터,fd4e44a4c4334f7ebfcc5371f9c16c32,Monster_dsc_71,연꽃 개굴 사이에서는 얼마나 큰 연꽃을 \n들고 있는지가 주요 관심사이다. ,20290,연꽃 이슬,5f4e861c51824385b9933c67518f736d,green,
4,Monster_name_72,목도룡,몬스터,30e7faf77c6c41d583f341c234220597,Monster_dsc_72,"계절마다 두께가 다른 목도리를 \n착용하지만, 보통은 겨울용 두꺼운 \n목도리를 선호한다. ",20291,목도리,a7d61845ceea487485b7a89db356f6e3,green,
4,Monster_name_73,만세 토끼,몬스터,7fbec1fd4c2c43b885ec3e4f67b71fea,Monster_dsc_73,청남방을 자주 입는다. \n\n청남방에서 물이 빠져 가끔 털이 파랗게 \n된 모습을 볼 수 있다. ,20292,네잎클로버,18b8b4d942b7456ab867485ad9ee45be,dust,
4,Monster_name_74,푸르릉,몬스터,eedd5e1e644e47019294ca83bdfaca0b,Monster_dsc_74,길을 잘 잃어버려서 지나다니는 \n나무에 가루를 묻혀 표시한다. \n\n사람들은 이 가루를 채집하여 \n빛나는 표지판을 만들었다. ,20293,날개 가루,55c0a846c4b648e18bedce83dcd6d05e,sky,
4,Monster_name_75,먼지떨이,몬스터,72e749abfaef414b9c65311515dbbba0,Monster_dsc_75,먼지가 털에 잘 붙고 쉽게 떨어지지\n않아서 청소부들에게 인기가 많다. ,20294,새싹 털 뭉치,af84c0e526784d649dcdd04bbd58a619,dust,
4,Monster_name_76,펭퀸,몬스터,48dbd76df3fe4ba5a3c1d2ae18a6fc49,Monster_dsc_76,원한 적은 없지만 눈 뜨고 보니 \n왕이 되었다고 한다. \n\n의외로 왕 역할을 잘 수행하고 있다. ,20295,왕관,abdfa6fc14ec40f5849dddb59456cda8,water,
4,Monster_name_77,소림팬더,몬스터,51206090b6944f9a89a3138db36c533f,Monster_dsc_77,뛰어난 무술 실력을 겸비했다. \n\n소림팬더 종족은 실력이 부족하면 \n받아주지 않는다.,20296,죽창,20c5b09d102c4f629f2569b2e3ee4da9,pirate,TRUE
4,Monster_name_78,이글이글,몬스터,e355db118b8f4a4399a0f29efa394ea9,Monster_dsc_78,엄청난 사냥 능력을 갖췄고 그런 모습에 \n자부심이 있다.,20297,날카로운 발톱,33eee1d3b7c845d08069ca0cc404896b,sky,TRUE
4,Monster_name_79,날푸리,몬스터,96bd8dd2077844d1a0e5ce6b956d94ef,Monster_dsc_79,예쁜 꽃을 좋아하지만 소심해서 \n롱플라워의 주위만 맴돌고 있다. ,20298,부드러운 깃털,c6290ab6e9cc4d86821a03e458136c78,sky,
4,Monster_name_80,검룡,몬스터,f9789c2d8c584436ae32cf0ca147df47,Monster_dsc_80,검은색 불꽃을 내뿜을 수 있다. \n\n사람들이 신기해하면 싫어하는 것처럼 \n보이다가도 열성적으로 뽐내곤 한다. ,20299,빛나는 비늘,36d609248c9a47399c00b9b20c46fb03,sky,
4,Monster_name_81,보라담기,몬스터,8f4e52add9e24da2843140b9feeb5c42,Monster_dsc_81,매년 새로운 꽃을 피우기 알맞은 \n장소를 찾아다닌다. \n\n몸집이 작아 최대 이동 거리가 짧다. \n\n제때에 정착하기 위해 분주하게 \n돌아다닌다.,20300,꽃가루 ,bc94d2c57fd641819ec61843f23159d1,stone,
4,Monster_name_82,삐뚜리,몬스터,a9a236594bde4f9ba29691df7d4bf08b,Monster_dsc_82,픽시의 마법으로 탄생한 생명이다. \n불 앞에선 한없이 작아진다. ,20301,눈사람 인형,1a9b0bee0d77471b8b77794c97c73dd5,water,
4,Monster_name_83,순돌프,몬스터,1358a4a7597a477297139bec53910a32,Monster_dsc_83,코를 만지면 화상을 입을 수 있어 \n조심해야 한다. ,20302,빛나는 구슬,e6c80330c36e4f8791b6405609b62e86,dust,
4,Monster_name_84,쌍둥바위,몬스터,99401df3e6a8417382c77951393b8ad4,Monster_dsc_84,항상 2인 1조로 움직인다. \n\n대개 앞장서는 몬스터가 덜 무거운 \n돌을 든다. ,20303,돌멩이,798313c2b1cd456f97c31b15dbc29de5,stone,TRUE
4,Monster_name_85,낙엽돌이,몬스터,4372058edd044faebfdd729b8d6972e4,Monster_dsc_85,어릴 때 낙엽으로 모자를 만드는 \n방법을 배운다. \n\n직접 생산하는 특수 용액을 사용한다. \n\n좋아하는 상대에게 만들어 주기도 한다. ,20304,사막 모래,c9dcfd4f2a504e0fa3626a58adb41662,stone,
4,Monster_name_86,어미부엉,몬스터,fa362dc8ced6470b80b2c13ac338f596,Monster_dsc_86,태어날 때부터 한쪽 눈이 파랗게 \n태어난다. ,20305,가벼운 깃털,8a668406667d48e89c0b29755bd3ebed,sky,
4,Monster_name_87,서서냥,몬스터,94e012dc8424444fb98beef72d879a81,Monster_dsc_87,무엇이든 따라 하기를 좋아한다. \n\n사람의 걷는 모습을 신기해 하다가 \n이족보행을 자연스레 익히게 되었다. ,20306,싱싱한 생선,360de115061740fa990965cd67a7bc17,pirate,TRUE
4,Monster_name_88,날개냥,몬스터,e50d03eac1e04cde9e16fce1691e17ee,Monster_dsc_88,마녀의 조수로 오랫동안 일한 덕분인지 \n마법 물약 레시피를 외우고 있다.,20307,마법 목걸이,d3f66258496240e3b60d31f6b773066c,devil,
4,Monster_name_89,혹선인장,몬스터,96a1a6aecb4049038f0b2f8c9c0de096,Monster_dsc_89,"사막의 요리사로 유명하다. \n\n음식 맛의 비법을 알아내기 위해 \n오랫동안 관찰한 결과,\n\n선인장의 혹이 사람의 입맛에는 \n조미료와 같다는 것을 발견했다. ",20308,선인장 혹,1ec44b0b3abe454fbf486ce57aa9e016,green,
4,Monster_name_90,아루킹,몬스터,ebbccf2775d3422abfd2b09b4e561efd,Monster_dsc_90,물리지 않게 조심해야 한다. \n두꺼운 강철도 맘먹으면 뚫는 힘을 가졌다. ,20309,금빛 상아,44194fd9b490430b9c4c4e18d525dc41,water,
4,Monster_name_91,복마니,몬스터,12f2e11bee9346a5abc6994d1ba7bee5,Monster_dsc_91,쉽게 마주치기 어려운 몬스터다. \n우연히 만났다면 복권을 사보자. ,20310,바구니,d7989346f4e649cfb43f979b4776fb5c,devil,TRUE
4,Monster_name_92,감돌이,몬스터,c1b8e5d1708645f8ab353e046156e824,Monster_dsc_92,상대가 태엽을 감아줘야 해서 \n집단생활을 한다. \n\n감는 횟수가 부족하면 \n비틀거리거나 넘어지기 쉽다. ,20311,태엽,cfa42ba854394d42b621bce7ce37171e,dust,TRUE
4,Monster_name_93,씽씽벌,몬스터,d1c00e131c4544c0bcb34de7a1846471,Monster_dsc_93,둘은 공생관계이다. \n\n벌은 더 높은 곳에 있는 먹이를 \n먹게 해준다. \n\n식물은 지독한 향을 내뿜어 \n천적으로부터 벌을 보호해준다. ,20312,꿀,936ee337555c42d1831e5d8aba5208b9,green,
4,Monster_name_94,무너무너,몬스터,3043b928aa604f51a08d8c2e8e261aa7,Monster_dsc_94,몸에 딱 맞는 돌 틈에 \n숨어서 잠을 자야 편안함을 느낀다. ,20313,문어 인형,b2c03e1b2c3e4ad69681470fc2bb1cd2,water,TRUE
4,Monster_name_95,바다털이,몬스터,0a19db97c8bd46bbaa2433664d012aba,Monster_dsc_95,바다의 귀여운 약탈자. \n신입 해적으로 들어갔다. \n\n하지만 싸움이 시작될 것 같으면 \n항상 투명 마법으로 도망쳐서 쫓겨났다. ,20314,항해 일지,fbb11f74ea714f8ea9b1387fc45b0271,water,
4,Monster_name_96,가락국수,몬스터,c483967eada74bd3a1322681903ccab2,Monster_dsc_96,털이 쉽게 잘리지 않는다. \n\n1년에 한 번 \n털이 약해지는 시기에만 자를 수 있다.\n\n그동안 머리핀을 꼽고 다니는데 \n젓가락으로 오해하는 사람이 많다. ,20315,얼큰 국수,32cd265bedb5481daf20252074ab0114,pirate,TRUE
