name,item_ui_y,shadow_x_scale,shadow_y_scale,Thumbnail_x,Thumbnail_y,idle_ruid,walk_ruid
뱀뱀,0.7,0.35,0.4,1,1,03865bd69ec24123a1f06107768bf3c4,e005e3b7ad7940df82b36243f058f234
보나파,0.8,0.4,0.4,1,0.96,3109357701ae41a4bcc7543f52f1f4c3,57e2799fd645478d80466cce36bb17ab
액체괴물,1,0.65,0.6,1,0.95,1f4eed308edd44d4875fcfc2514db1fd,6045cb0f247042b09ec514469ba0daaf
아루,0.7,0.4,0.4,1,0.77,a49d7a01bd17452598305fd4b3aa194f,bea0e3d0a7dc48e2896f73578994b7aa
포니,1.2,0.7,0.5,0.72,1,65fb313a2fd145f8888afc650d20484d,2de195f173a94c0e8944b78dfa59ef09
글라스독,0.8,0.8,0.6,1,0.65,ebded183dd684962bd9b934b0c32f58e,cdf0572b28064cf991b9654d1969dea1
별별가리,1.1,0.3,0.35,0.66,1,4e13c580c9694258a48ce721945d6e00,69bc007d21d24e5d9fc7578b08b25fd1
별파리,2,1.1,0.7,0.96,1,c509e8573aa24ed5aaf62b330c947735,47a66390a7d248a6ac5b77bd5ec185f6
두리두,1,0.3,0.3,1,0.65,5ff986aafc164f77b274d2181448d5ab,5ff986aafc164f77b274d2181448d5ab
뽐뽀미,0.9,1,0.6,1,0.54,972860ec0cb444c0b91b2c0b05bf51c5,5b16d0f5c5ac48a9970d69003476439b
픽시,1.1,0.45,0.35,1,0.94,6c86fa0a1cfa4041a46bb9297b2f895f,3295c7eb3e67419981b697167056228a
펀치냐옹,1,0.5,0.45,0.96,1,a70ab68628d349b4976cc71209ea5576,36d17a05fcf3437891b99198dfedf84d
다라미,1.2,0.7,0.5,0.93,1,42e6aa7ac5604538a7f0c67fbe4ee262,fa6b0460d8b24dbe88ed48a829394fe6
모비커,0.95,0.7,0.45,0.96,1,38d741d5505d412b85d46c863433d513,94ef1a598a7e43bea7cdc85f71dc08ec
무무,0.7,0.5,0.4,1,0.74,5b3dbb5330cf49ebb5ade9373112d728,57693c8d00d44460ad10df1cd6579860
스네코,1.1,0.7,0.4,0.78,1,0788dfc74ff7448a886c39fdef88cb19,716fef1de1c24d87b8ce34e31337a20b
스쿠파,1,0.5,0.4,0.84,1,833776a1f230457e8998216ed7067af9,de109c39fae342f198c9c0c281582ab3
플라이,1,0.45,0.35,0.92,1,7862f969f4194acfbc88d7068087f8ed,7862f969f4194acfbc88d7068087f8ed
아루퀸,1,0.85,0.7,0.91,1,3944329ac6c54592a4b4d9d932be5b58,e2b97c5522f84eb7afdf0fd3119aa1ef
스테이코,1.5,0.8,0.45,1,0.92,fa7bf414e93e4b97913dd82fe100931e,591e54ab33764cd3ba37868d6b37dbbd
뿌나,1.55,0.7,0.45,0.54,1,0c415377562c444ca0aa42f126e9a78a,088012f925d245acb6024da01c9527cc
물모리,1,0.85,0.5,0.76,1,aba7ebadb2db4ffaa841cc9f5ff37f84,a1abc041f96f451b906557ab53050e56
검무,1,0.7,0.55,1,0.93,92b8be5ea1164ccf839ebfc3f76ecb46,1e7b429eb65e497db96b0c70defbc971
롱뇽,1,0.7,0.7,1,0.96,1fc60da56d6b4697a2b4c7e7e335c2b1,6d539fdafc644d27868d5a9b21bee97a
다크아이,1,0.45,0.35,1,0.68,c0d1dd5966c945b9acb0af29c173faa0,75e934529b26497699b4f7a34efd41da
파랑새,1.2,0.65,0.4,1,0.83,52a9128ef07e4b0b9dbe5753b7f044d2,99e8c208c7b44fd3a3744e96d64045a9
잎새 여우,1.05,0.45,0.45,1,0.93,924e2b54101642609ef9ce094cdf649b,382c32ec25184a76b9b246f6badd0ff7
랑이,1,0.8,0.45,1,0.52,178e072c1a4e4bc1bd05a82977bd09d9,83bbdfab2a7642ea9305a4d192a1de37
도치,1.05,0.6,0.45,0.95,1,ecf485cd90814cbea50d22c81197cde5,8bf796aa5bf8467ab11ae579c277849b
스푸쿠,1,0.4,0.4,0.93,1,59760a015a9c4786bc99261819e385c1,8baaa43f99964930bbe6bb15116256ee
네모 개굴,0.85,0.75,0.55,1,0.92,f6f20fa5018f48488da1dfa92e75016c,3ec914bad475421cac3d55e84217ddb3
덕구,1,0.45,0.4,0.71,1,2fb0e427452e40559ca8e32fb7e948b0,0193f32c51bb4ec588115932d372a2ac
북이,0.8,0.65,0.45,1,0.56,7ddae18f519d4c80973744fd43f3e763,cb5955e0fe464108b4bbe5b9e78a73ca
타이모,0.8,0.45,0.45,1,0.89,9ec428dc68c24a3684e8a55f703e629b,8832d646ea834d00a9e2966690b35d7a
아기토끼,0.85,0.3,0.4,0.62,1,aeb6fd8b2d9e4e918a119c4c27bf3385,d7ecbdae504c4c548f2c8f10c2f47ef8
미르,1,0.3,0.3,1,0.94,6d086f7356e3429faafa3852635daea8,97a826815dd04196a9f1f0946f9267a9
파이어 루니,1.3,0.35,0.4,0.69,1,89a45e95d81f4780a42c27f11d6f82ae,9487003c9758407cbbd9149db24f18e2
파투스,1,0.55,0.45,0.87,1,b50cdef7550445539048c676150b4b40,c320392a1ca14dc08292277bd8ded3ff
동그리,1,0.75,0.45,1,0.86,a082f2550a194766992f489afc9dbc09,517dbe7552a846379c613ec515e003dc
토리,1,0.75,0.45,1,0.89,ce08436b7b3f4d6494962db6e73ff345,f4378eeebe36455da727ebce7571b9b5
와일드,1.3,0.65,0.45,0.69,1,ba8df2aa086448098365412d2e10392d,7dd508675d7b45948b74eed9dddb8fd8
아이스,0.9,0.6,0.5,1,0.83,d15def2219e64409bb699f89d9735ee6,8e32d517bc1c476d8e8a49df1c2b6a56
라바,1.3,0.6,0.3,0.96,1,39b52300cd89414ba8ab72b6c78b165d,cb9b57692e424b34bb5f992a45a5bae1
유우,0.75,0.35,0.35,1,0.68,da0b6e88e83e4f5a944f3a07432060ec,48d1ccf250f64ec7950d2925ab20897b
페루니,1,0.7,0.5,1,0.81,901c2213fdef449181ca53d8555ebc13,f7fa81bb5894488b8668e81db7da3bb7
키드 발록,1.1,0.6,0.4,1,0.92,50504a35cb7946b18a0b6cfb22fa6756,02746d3112e34c89aab01ba00b5d537d
연두콩,1.1,0.65,0.5,1,0.79,d93af49bb28b46b28cf376a4341ffa72,7db241faa1a1479d88d28a863ed8e2b0
우파루,1.1,0.6,0.35,1,0.78,6eba9936112048f08382dcd89a04bfc1,4d72c5ce3a924253b1dae0f9150136ef
세모리,1.15,0.55,0.4,1,0.89,757d30fde5044b70adb7c9516e40bdca,058354c8783941a0860a3207c33ad9bc
사미호,1.1,0.65,0.4,1,0.78,4df6aa85f8264456a2b18387f9bfd7a2,7f559bbec51a46899e8024a1d31291c7
빨강 머리,1.2,0.65,0.35,0.8,1,2c97f9911e55475886c33da1d7b524cb,2c71230b55104a8eb0e203c82f5dfad4
새싹 두더지,1.2,0.7,0.4,0.83,1,8797cf88db754acbbbe07b6cc27d2cef,ae29ffdf28a245a79015fd9d67755a26
망또,1,0.9,0.55,1,0.94,1ff63edc208343f6b62f489eeecf6d3c,1ff63edc208343f6b62f489eeecf6d3c
토실이,0.9,0.7,0.45,1,0.76,5f553492e45b4cf4bcafd20d003a8c23,c73b93fcaca340e98220488bd37691c8
연꽃 개굴,1.1,0.9,0.45,1,0.78,fd4e44a4c4334f7ebfcc5371f9c16c32,73661560f4904498855c18861e49d5b8
목도룡,1.1,0.6,0.45,0.94,1,30e7faf77c6c41d583f341c234220597,04c69afe7f3e4706a596a624acf3849d
만세 토끼,0.9,0.4,0.4,0.69,1,39828beeeb2e47038a04a97c5615260d,7fbec1fd4c2c43b885ec3e4f67b71fea
푸르릉,1.3,0.4,0.3,0.96,1,4b3afc87ca3e49b0aba5c21de8fe3fca,eedd5e1e644e47019294ca83bdfaca0b
먼지떨이,0.8,0.55,0.35,1,0.78,72e749abfaef414b9c65311515dbbba0,e98866170ae04fd19e2380f0ac8a53d7
펭퀸,0.9,0.7,0.35,1,0.88,48dbd76df3fe4ba5a3c1d2ae18a6fc49,810a146dc54c4ce9a9fad09112c22655
소림팬더,1.1,0.55,0.4,1,0.8,399774b83a7049a89470f98d18e51ecb,51206090b6944f9a89a3138db36c533f
이글이글,1.2,0.7,0.35,1,0.91,e355db118b8f4a4399a0f29efa394ea9,cdb6b2a0e0dc479382536d067f17952f
날푸리,1.25,0.4,0.4,0.69,1,1dd21504373046d19df1448df8f3b3e2,a5c6d6e76bba433d8e29d35fcd0139c5
검룡,1.6,0.8,0.4,1,0.65,f9789c2d8c584436ae32cf0ca147df47,ee3a929debbe4e058aae03700e637bad
보라담기,0.9,0.55,0.4,0.72,1,bce79d8a8e004f08aee0129c4373353b,8f4e52add9e24da2843140b9feeb5c42
삐뚜리,1.2,0.55,0.4,0.82,1,a9a236594bde4f9ba29691df7d4bf08b,a9a236594bde4f9ba29691df7d4bf08b
순돌프,1.55,0.7,0.4,0.62,1,1358a4a7597a477297139bec53910a32,981e8a454b22424b8f0616ef7689a328
쌍둥바위,1.2,1,0.45,1,0.71,e204d3816a53463e8d5331a9a622f018,99401df3e6a8417382c77951393b8ad4
낙엽돌이,1.5,1.1,0.45,0.9,1,4372058edd044faebfdd729b8d6972e4,e99c96b2edab4dcea9b7da12272591f9
어미부엉,1.3,0.65,0.3,1,0.82,73fbc0704ed94220a53fa67c16b584ed,fa362dc8ced6470b80b2c13ac338f596
서서냥,1.1,0.45,0.35,0.79,1,94e012dc8424444fb98beef72d879a81,d0767307778f4e31904c16393a98e678
날개냥,0.9,0.6,0.35,1,0.87,e50d03eac1e04cde9e16fce1691e17ee,3fa40e9a0368424688dc69c545131361
혹선인장,1.3,0.8,0.35,0.82,1,96a1a6aecb4049038f0b2f8c9c0de096,dce2268746c64b6f9a418b3090b66533
아루킹,1,0.85,0.7,0.96,1,5f0c93ce4cdf4cdaa1267b74e501db5f,732b2dc6db6947829479ab5d5e830c15
복마니,1.8,1.3,0.45,0.96,1,12f2e11bee9346a5abc6994d1ba7bee5,8def04c6475d4b77b14832a3a5ff1745
감돌이,0.95,0.4,0.3,1,0.89,c1b8e5d1708645f8ab353e046156e824,fa6b381cd4d3467e92cac26ad0dc3d99
씽씽벌,1.3,0.5,0.25,1,0.94,256d48945a824d2abf9d082474b3010f,d1c00e131c4544c0bcb34de7a1846471
무너무너,1,0.5,0.4,0.71,1,3043b928aa604f51a08d8c2e8e261aa7,84722ae3f80b4c1da91152cd4d462d73
바다털이,1.3,0.55,0.35,1,0.78,0a19db97c8bd46bbaa2433664d012aba,d2d254e574c04f7a807c13cc7d1abd8f
가락국수,1,0.45,0.35,0.75,1,c483967eada74bd3a1322681903ccab2,4a580d0e82f34558acbc2214eeba1df8
키드 자쿰,1.3,0.9,0.4,1,0.82,b9f17517c7b4449ba37ce034076715de,70caeac9c0f246f0a1d5c73aa59b8aac
스컬 픽시,1,0.65,0.3,1,0.98,6689cd11090a46d28de80d513c597e35,6689cd11090a46d28de80d513c597e35
아기키위,1.3,0.55,0.35,0.82,1,003ad53bac60486894b592762e22bcb9,003ad53bac60486894b592762e22bcb9
화나냥,1,0.7,0.4,1,0.85,3691d9c70f154e62a057e926b44188be,bc2c91cd17524ddf9f6ee9163fb0090e
페페루,1.2,0.7,0.45,1,0.82,5c92545f857b448ba70e8c9184ec531f,3784e07a64f4450bb84168d48c908275
레드 드래곤,1.6,0.85,0.45,1,0.96,5925303e499346ddbc5d6fcf7dbf7279,5925303e499346ddbc5d6fcf7dbf7279
오우르스,1.4,1.35,0.55,1,0.79,53b4334423864fa1863babd6b2062e94,4bbf12e2b84d4dfa9ffd69ee30cf35fb
나오리,1.5,2.1,0.55,1,0.8,582ece7318fa42fe87d69868c6e3c779,db62054acd5a46f297016604af84066a
발록,1.7,1.7,0.6,1,0.97,014861e61a0449bc9ef825459175788f,ccb8c18c0d004d3089465a08ce6b53f8
롱플라워,1,0.65,0.45,1,0.76,132eb0dd8d3748328ba1bb191f8bba69,841de73d3cd344d687da6d6603f1070b
쌍둥나무,1.3,1.1,0.45,1,0.85,6072b2c9702243ae8ba1dde94cc99dd0,61ea56df2e7f45438c824a35de81df77
퍼플 페리,1.1,0.45,0.3,0.73,1,1a4f2d1e6cda4be384e52dc7fe1bd2a3,a28d6f0f4f15424d8775f3bf099db0ed
모예,1.1,1.3,0.65,0.93,1,4b11d32e26f44358a16e4fa28a0f72d3,e7e996beb9464b43ad8eb72636703876
무공,1.2,0.6,0.45,1,0.86,133364f7c37b4fcd8aab1553dd84fc8c,6fa106e1d1a749da96ce86d727c254b1
매직 피기,1.2,0.55,0.4,0.87,1,f2b9787a9e3849c1a594963e9146a204,75c0cd097fc14b4e8b8be148a2560cb4
올맨 보스,1.2,0.6,0.35,1,0.85,d73e301ab0d3455398005f0e15de8b0d,d6a1569187964734a9241a92921acd7d
새악어,1.6,0.8,0.45,0.9,1,5f27a106e35742feb97edc1dab1971fa,5f79f6bac76b4682bbabb1bc1ecafdc1
로보,1.2,0.55,0.35,0.68,1,38d358fd286a442fa52d5ca52b768e1d,38d358fd286a442fa52d5ca52b768e1d
이브,0.7,0.7,0.3,1,0.83,6f65c81b1cb744c8981e0271bc28831e,70ba229ac6a945d5846ad7c9f97c1c85
미호,1.8,1,0.4,1,0.8,5066743c0af84ddba8ad27f54a743a2f,de65eed449ed410eab5272a5ffff9896
녹룡이,1.8,1.2,0.45,1,0.74,0ae146270a054352a43e3c925e392185,ca5e1259bd2e4ca58fd9985ef3d919c5
신룡,2.2,1,0.45,1,0.8,4e078cfcea5c4ad78712d4333dace318,12a87946f0f14477b3ca47a15eb1a7c5
너굴너굴,1.1,0.7,0.4,1,0.94,51446bcd7f53456fb6ec6d1ae82f6d5b,594269cfa73d44ffa6bea12acb75e7d3
자쿰,2.7,4,0.9,1,0.72,da185bdaa36d4c45b7abd36699d3e456,da185bdaa36d4c45b7abd36699d3e456
양철모자,3.75,3,0.9,0.73,1,15755c639e414c9db198eaf2853c4fb1,706475dbad3e4081a5327744dc7a8fc5
제누스,2.2,2.3,1.1,0.7,1,7894ea267a2c438d84ba765a5f525c77,2f18e7503b7345a484e08cb055122a84
불사조,1.6,0.55,0.35,0.74,1,3de980e7968f4685a45173a7f7ac715b,3cb7deb24a474340a7ce09b1135571d8
흑룡,1.6,1,0.5,1,0.76,7051deed8b5c4345be156213f145b068,4f86d7008dac4e63ae6962c8c1c70f33
잎새돌이,1.35,0.8,1.35,1,0.93,1e7597e8b7f2478e95dea15943eccce4,ed809604964e4089beea641701b723ee
멜빵 골렘,1.5,1.3,0.4,1,0.86,91446968dcee4f0590dc86a348cbd430,3eb6909d74a34dc79611b343e56a2f95
샤크,1.2,1.2,0.55,1,0.8,b95f05df46124b3485d0a15bb79b10fb,5c1f92f9c3b4410fb5b14abdaed83820
피리냥,1.2,0.75,0.4,1,0.92,809a6318aa39449d912dae3b9be4085b,d9486bc4853648a4af6a5e4f485db879
삐지미,2.4,1.7,0.65,1,0.88,07eff0d7e4de47a1959f3f918ad57022,79d1032517db4f06809a6bdaa8b01869
두발 늑대,2,1.4,0.5,0.82,1,c3a0976cc92843979454d75b814f34c6,c2cdfe8b74f84e49859b300c9dcd3b0c
