chapter,wave,group,monster,spawnMin,spawnMax,formation,option,delay,interval,spawnCount,spawnRadius,monsterWave,life,theme
1,9,1,Forest Glimmerfox,30,30,circle,12,1,1,1,15,　,2,forest
1,9,1,Blue Spring Sprite,12,12,circle,30,2,1,1,15,　,2,forest
1,9,1,EliteBoss_Night Glimmerfox,1,1,random,　,5,1,1,15,　,1,forest
1,10,1,Forest Glimmerfox,30,30,circle,12,0,1,1,15,　,2,forest
1,10,1,Night Glimmerfox,30,30,circle,12,1,1,1,15,　,2,forest
1,10,1,Deep Spring Sprite,12,12,circle,30,2,1,1,15,　,2,forest
1,10,1,Boss_Giant Spider,1,1,random,　,5,1,1,15,　,1,forest
1,11,1,Mysterious Desert Soldier,30,30,circle,12,0,1,1,15,　,2,desert
1,11,1,White Desert Rabbit,30,30,circle,12,1,1,1,15,　,2,desert
1,11,1,White Desert Rabbit,12,12,circle,30,2,1,1,15,　,2,desert
1,11,1,EliteBoss_White Desert Rabbit,1,1,random,　,5,1,1,15,　,1,desert
1,12,1,Mysterious Desert Soldier,30,30,circle,12,0,1,1,15,　,2,desert
1,12,1,Undead Scorpion,30,30,circle,12,1,1,1,15,　,2,desert
1,12,1,White Desert Rabbit,12,12,circle,30,2,1,1,15,　,2,desert
1,12,1,EliteBoss_Dark Sand Dwarf,1,1,random,　,5,1,1,15,　,1,desert
1,13,1,Desert Mush,30,30,circle,12,0,1,1,15,　,2,desert
1,13,1,Homunscullo,30,30,circle,12,1,1,1,15,　,2,desert
1,13,1,Gale Fox,12,12,circle,30,2,1,1,15,　,2,desert
1,13,1,EliteBoss_Mysterious Desert Soldier,1,1,random,　,5,1,1,15,　,1,desert
1,14,1,Sand Tortoise,30,30,circle,12,0,1,1,15,　,2,desert
1,14,1,Ferocious Gale Fox,30,30,circle,12,1,1,1,15,　,2,desert
1,14,1,Gale Fox,12,12,circle,30,2,1,1,15,　,2,desert
1,14,1,EliteBoss_Undead Scorpion,1,1,random,　,5,1,1,15,　,1,desert
1,15,1,Bomber Hermit Crab,30,30,circle,12,0,1,1,15,　,2,desert
1,15,1,Crystal Hermit Crab,30,30,circle,12,1,1,1,15,　,2,desert
1,15,1,Crystal Sand Tortoise,12,12,circle,30,2,1,1,15,　,2,desert
1,15,1,Boss_Elite Bloodfang,1,1,random,　,5,1,1,15,　,1,desert
1,16,1,Sand Helm,30,30,circle,12,0,1,1,15,　,2,desert
1,16,1,Sand Armor,30,30,circle,12,1,1,1,15,　,2,desert
1,16,1,Crystal Sand Tortoise,12,12,circle,30,2,1,1,15,　,2,desert
1,16,1,EliteBoss_Gale Fox,1,1,random,　,5,1,1,15,　,1,desert
1,17,1,Ancient Scorpion,30,30,circle,12,0,1,1,15,　,2,desert
1,17,1,Ferocious Desert Mush,30,30,circle,12,1,1,1,15,　,2,desert
1,17,1,Deo,12,12,circle,30,2,1,1,15,　,2,desert
1,17,1,EliteBoss_Deo,1,1,random,　,5,1,1,15,　,1,desert
1,18,1,Mole,30,30,circle,12,0,1,1,15,　,2,desert
1,18,1,Sand Dwarf,30,30,circle,12,1,1,1,15,　,2,desert
1,18,1,Deo,12,12,circle,30,2,1,1,15,　,2,desert
1,18,1,EliteBoss_Azwan Grave Robber,1,1,random,　,5,1,1,15,　,1,desert
1,19,1,Speedy Mole,30,30,circle,12,0,1,1,15,　,2,desert
1,19,1,Desert Giant,30,30,circle,12,1,1,1,15,　,2,desert
1,19,1,Neo Huroid,12,12,circle,30,2,1,1,15,　,2,desert
1,19,1,EliteBoss_Elite Pikeman Skeleknight,1,1,random,　,5,1,1,15,　,1,desert
1,20,1,AndoridB,30,30,circle,12,0,1,1,15,　,2,desert
1,20,1,Azwan Grave Robber,30,30,circle,12,1,1,1,15,　,2,desert
1,20,1,Neo Huroid,12,12,circle,30,2,1,1,15,　,2,desert
1,20,1,Boss_Sandblade Marauder,1,1,random,　,5,1,1,15,　,1,desert
1,21,1,Yellow Starfish,30,30,circle,12,0,1,1,15,　,2,pirates
1,21,1,Angry Starfish,30,30,circle,12,1,1,1,15,　,2,pirates
1,21,1,Coconut Slime,12,12,circle,30,2,1,1,15,　,2,pirates
1,21,1,EliteBoss_Cool Jellyfish,1,1,random,　,5,1,1,15,　,1,pirates
1,22,1,Jellyfish,30,30,circle,12,0,1,1,15,　,2,pirates
1,22,1,Cool Jellyfish,30,30,circle,12,1,1,1,15,　,2,pirates
1,22,1,Coconut Slime,12,12,circle,30,2,1,1,15,　,2,pirates
1,22,1,EliteBoss_Tortie,1,1,random,　,5,1,1,15,　,1,pirates
1,23,1,Lorang,30,30,circle,12,0,1,1,15,　,2,pirates
1,23,1,Clang,30,30,circle,12,1,1,1,15,　,2,pirates
1,23,1,Seagull Slime,12,12,circle,30,2,1,1,15,　,2,pirates
1,23,1,EliteBoss_Palm Tree Slime,1,1,random,　,5,1,1,15,　,1,pirates
1,24,1,Palm Tree Slime,30,30,circle,12,0,1,1,15,　,2,pirates
1,24,1,Emerald Clam Slime,30,30,circle,12,1,1,1,15,　,2,pirates
1,24,1,Seagull Slime,12,12,circle,30,2,1,1,15,　,2,pirates
1,24,1,EliteBoss_Violet Clam Slime,1,1,random,　,5,1,1,15,　,1,pirates
1,25,1,Violet Clam Slime,30,30,circle,12,0,1,1,15,　,2,pirates
1,25,1,Red Tube Slime,30,30,circle,12,1,1,1,15,　,2,pirates
1,25,1,Blue Tube Slime,12,12,circle,30,2,1,1,15,　,2,pirates
1,25,1,Boss_Crip,1,1,random,　,5,1,1,15,　,1,pirates
1,26,1,Shrimp Slime,30,30,circle,12,0,1,1,15,　,2,pirates
1,26,1,Flying Fish Slime,30,30,circle,12,1,1,1,15,　,2,pirates
1,26,1,Blue Tube Slime,12,12,circle,30,2,1,1,15,　,2,pirates
1,26,1,EliteBoss_Seashell Octopus Slime,1,1,random,　,5,1,1,15,　,1,pirates
1,27,1,Seashell Octopus Slime,30,30,circle,12,0,1,1,15,　,2,pirates
1,27,1,Mr. Alli,30,30,circle,12,1,1,1,15,　,2,pirates
1,27,1,Archer Mini Murr,12,12,circle,30,2,1,1,15,　,2,pirates
1,27,1,EliteBoss_Mr. Alli,1,1,random,　,5,1,1,15,　,1,pirates
1,28,1,Gold Captain,30,30,circle,12,0,1,1,15,　,2,pirates
1,28,1,Pirate King Barbosa,30,30,circle,12,1,1,1,15,　,2,pirates
1,28,1,Archer Mini Murr,12,12,circle,30,2,1,1,15,　,2,pirates
1,28,1,EliteBoss_Gold Captain,1,1,random,　,5,1,1,15,　,1,pirates
1,29,1,Thief Mini Murr,30,30,circle,12,0,1,1,15,　,2,pirates
1,29,1,Warrior Mini Murr,30,30,circle,12,1,1,1,15,　,2,pirates
1,29,1,Magician Mini Murr,12,12,circle,30,2,1,1,15,　,2,pirates
1,29,1,EliteBoss_Warrior Mini Murr,1,1,random,　,5,1,1,15,　,1,pirates
1,30,1,Pirate Mini Murr,30,30,circle,12,0,1,1,15,　,2,pirates
1,30,1,Mean Mini Murr,30,30,circle,12,1,1,1,15,　,2,pirates
1,30,1,Magician Mini Murr,12,12,circle,30,2,1,1,15,　,2,pirates
1,30,1,Boss_Oceanleli,1,1,random,　,5,1,1,15,　,1,pirates
1,31,1,MovingRobot,30,30,circle,12,0,1,1,15,　,2,factory
1,31,1,RobotaB,30,30,circle,12,1,1,1,15,　,2,factory
1,31,1,Military robot,12,12,circle,30,2,1,1,15,　,2,factory
1,31,1,EliteBoss_MovingRobot,1,1,random,　,5,1,1,15,　,1,factory
1,32,1,Porcupine,30,30,circle,12,0,1,1,15,　,2,factory
1,32,1,Nutria,30,30,circle,12,1,1,1,15,　,2,factory
1,32,1,Military robot,12,12,circle,30,2,1,1,15,　,2,factory
1,32,1,EliteBoss_Porcupine,1,1,random,　,5,1,1,15,　,1,factory
1,33,1,LiquidTrash,30,30,circle,12,0,1,1,15,　,2,factory
1,33,1,SafetyRobotW,30,30,circle,12,1,1,1,15,　,2,factory
1,33,1,Toy Trojan,12,12,circle,30,2,1,1,15,　,2,factory
1,33,1,EliteBoss_Nutria,1,1,random,　,5,1,1,15,　,1,factory
1,34,1,SentryRobotd278,30,30,circle,12,0,1,1,15,　,2,factory
1,34,1,RepairRobot,30,30,circle,12,1,1,1,15,　,2,factory
1,34,1,Toy Trojan,12,12,circle,30,2,1,1,15,　,2,factory
1,34,1,EliteBoss_RepairRobot,1,1,random,　,5,1,1,15,　,1,factory
1,35,1,OutsideSentryRobot,30,30,circle,12,0,1,1,15,　,2,factory
1,35,1,SentryRobotSM,30,30,circle,12,1,1,1,15,　,2,factory
1,35,1,Deep Buffoon,12,12,circle,30,2,1,1,15,　,2,factory
1,35,1,Boss_Thanatos,1,1,random,　,5,1,1,15,　,1,factory
1,36,1,SentryRobot,30,30,circle,12,0,1,1,15,　,2,factory
1,36,1,EmergencyRobotL,30,30,circle,12,1,1,1,15,　,2,factory
1,36,1,Deep Buffoon,12,12,circle,30,2,1,1,15,　,2,factory
1,36,1,EliteBoss_EmergencyRobotL,1,1,random,　,5,1,1,15,　,1,factory
1,37,1,Raccoon,30,30,circle,12,0,1,1,15,　,2,factory
1,37,1,CartBear,30,30,circle,12,1,1,1,15,　,2,factory
1,37,1,ChickenRobot,12,12,circle,30,2,1,1,15,　,2,factory
1,37,1,EliteBoss_Raccoon,1,1,random,　,5,1,1,15,　,1,factory
1,38,1,CartBear,30,30,circle,12,0,1,1,15,　,2,factory
1,38,1,ShiningGold,30,30,circle,12,1,1,1,15,　,2,factory
1,38,1,ChickenRobot,12,12,circle,30,2,1,1,15,　,2,factory
1,38,1,EliteBoss_ShiningGold,1,1,random,　,5,1,1,15,　,1,factory
1,39,1,PurpleHippo,30,30,circle,12,0,1,1,15,　,2,factory
1,39,1,Metal Generoid Type A,30,30,circle,12,1,1,1,15,　,2,factory
1,39,1,ChickenRobotS,12,12,circle,30,2,1,1,15,　,2,factory
1,39,1,EliteBoss_Metal Generoid Type A,1,1,random,　,5,1,1,15,　,1,factory
1,40,1,Generoid Type B,30,30,circle,12,0,1,1,15,　,2,factory
1,40,1,Generoid,30,30,circle,12,1,1,1,15,　,2,factory
1,40,1,ChickenRobotS,12,12,circle,30,2,1,1,15,　,2,factory
1,40,1,Boss_Chickbean,1,1,random,　,5,1,1,15,　,1,factory
1,41,1,Junior Boogie,30,30,circle,12,0,1,1,15,　,2,cookie
1,41,1,Yellow HoppingJelly,30,30,circle,12,1,1,1,15,　,2,cookie
1,41,1,Colabear,12,12,circle,30,2,1,1,15,　,2,cookie
1,41,1,EliteBoss_Junior Boogie,1,1,random,　,5,1,1,15,　,1,cookie
1,42,1,Blue HoppingJelly,30,30,circle,12,0,1,1,15,　,2,cookie
1,42,1,Red HoppingJelly,30,30,circle,12,1,1,1,15,　,2,cookie
1,42,1,Colabear,12,12,circle,30,2,1,1,15,　,2,cookie
1,42,1,EliteBoss_RedHoppingJelly,1,1,random,　,5,1,1,15,　,1,cookie
1,43,1,Cube Slime,30,30,circle,12,0,1,1,15,　,2,cookie
1,43,1,Party Punk Cube Slime,30,30,circle,12,1,1,1,15,　,2,cookie
1,43,1,GreenBubbleTea,12,12,circle,30,2,1,1,15,　,2,cookie
1,43,1,EliteBoss_Grape Flavor Jelly Juice,1,1,random,　,5,1,1,15,　,1,cookie
1,44,1,Soda Flavor Jelly Juice,30,30,circle,12,0,1,1,15,　,2,cookie
1,44,1,Grape Flavor Jelly Juice,30,30,circle,12,1,1,1,15,　,2,cookie
1,44,1,GreenBubbleTea,12,12,circle,30,2,1,1,15,　,2,cookie
1,44,1,EliteBoss_Colabear,1,1,random,　,5,1,1,15,　,1,cookie
1,45,1,Canterbear,30,30,circle,12,0,1,1,15,　,2,cookie
1,45,1,YellowBubbleTea,30,30,circle,12,1,1,1,15,　,2,cookie
1,45,1,RedBubbleTea,12,12,circle,30,2,1,1,15,　,2,cookie
1,45,1,Boss_ChocoNue,1,1,random,　,5,1,1,15,　,1,cookie
1,46,1,SmileCookie,30,30,circle,12,0,1,1,15,　,2,cookie
1,46,1,PinkBean,30,30,circle,12,1,1,1,15,　,2,cookie
1,46,1,RedBubbleTea,12,12,circle,30,2,1,1,15,　,2,cookie
1,46,1,EliteBoss_YellowBubbleTea,1,1,random,　,5,1,1,15,　,1,cookie
1,47,1,Star Pixie,30,30,circle,12,0,1,1,15,　,2,cookie
1,47,1,BirthdayCake,30,30,circle,12,1,1,1,15,　,2,cookie
1,47,1,Chestnut mouse,12,12,circle,30,2,1,1,15,　,2,cookie
1,47,1,EliteBoss_PinkBean,1,1,random,　,5,1,1,15,　,1,cookie
1,48,1,ChristmasCake,30,30,circle,12,0,1,1,15,　,2,cookie
1,48,1,Silk mouse,30,30,circle,12,1,1,1,15,　,2,cookie
1,48,1,Chestnut mouse,12,12,circle,30,2,1,1,15,　,2,cookie
1,48,1,EliteBoss_Rice mouse,1,1,random,　,5,1,1,15,　,1,cookie
1,49,1,Pear mouse,30,30,circle,12,0,1,1,15,　,2,cookie
1,49,1,Rice mouse,30,30,circle,12,1,1,1,15,　,2,cookie
1,49,1,Enraged Espresso Machine,12,12,circle,30,2,1,1,15,　,2,cookie
1,49,1,EliteBoss_Chocolate Syrup,1,1,random,　,5,1,1,15,　,1,cookie
1,50,1,Yabber Doo,30,30,circle,12,0,1,1,15,　,2,cookie
1,50,1,Chocolate Syrup,30,30,circle,12,1,1,1,15,　,2,cookie
1,50,1,Enraged Espresso Machine,12,12,circle,30,2,1,1,15,　,2,cookie
1,50,1,Boss_Lucid,1,1,random,　,5,1,1,15,　,1,cookie
1,51,1,WinterSlime,30,30,circle,12,0,1,1,15,　,2,winter
1,51,1,OrangeMushroom,30,30,circle,12,1,1,1,15,　,2,winter
1,51,1,Winterfennec,12,12,circle,30,2,1,1,15,　,2,winter
1,51,1,EliteBoss_WinterSlime,1,1,random,　,5,1,1,15,　,1,winter
1,52,1,WinterSlime,30,30,circle,12,0,1,1,15,　,2,winter
1,52,1,WinterEvilEye,30,30,circle,12,1,1,1,15,　,2,winter
1,52,1,Winterfennec,12,12,circle,30,2,1,1,15,　,2,winter
1,52,1,EliteBoss_WinterOctopus,1,1,random,　,5,1,1,15,　,1,winter
1,53,1,Model_WinterYetiandPEPE,30,30,circle,12,0,1,1,15,　,2,winter
1,53,1,WinterJuniorYeti,30,30,circle,12,1,1,1,15,　,2,winter
1,53,1,IcePiece,12,12,circle,30,2,1,1,15,　,2,winter
1,53,1,EliteBoss_WinterDoraji,1,1,random,　,5,1,1,15,　,1,winter
1,54,1,Model_WinterYetiandPEPE,30,30,circle,12,0,1,1,15,　,2,winter
1,54,1,Model_WinterOctopus,30,30,circle,12,1,1,1,15,　,2,winter
1,54,1,IcePiece,12,12,circle,30,2,1,1,15,　,2,winter
1,54,1,EliteBoss_WinterSnowMan,1,1,random,　,5,1,1,15,　,1,winter
1,55,1,Model_WinterBirk,30,30,circle,12,0,1,1,15,　,2,winter
1,55,1,Model_WinterRibbonPig,30,30,circle,12,1,1,1,15,　,2,winter
1,55,1,Stoneball,12,12,circle,30,2,1,1,15,　,2,winter
1,55,1,Boss_GiantSnowman,1,1,random,　,5,1,1,15,　,1,winter
1,56,1,Winter Pink Teddy,30,30,circle,12,0,1,1,15,　,2,winter
1,56,1,WinterDoraji,30,30,circle,12,1,1,1,15,　,2,winter
1,56,1,Stoneball,12,12,circle,30,2,1,1,15,　,2,winter
1,56,1,EliteBoss_GangsterRudolph,1,1,random,　,5,1,1,15,　,1,winter
1,57,1,Winter Jr. Balrog,30,30,circle,12,0,1,1,15,　,2,winter
1,57,1,Winter Dalgom,30,30,circle,12,1,1,1,15,　,2,winter
1,57,1,IceDrake,12,12,circle,30,2,1,1,15,　,2,winter
1,57,1,EliteBoss_IcePiece,1,1,random,　,5,1,1,15,　,1,winter
1,58,1,Winter GiantSnowman,30,30,circle,12,0,1,1,15,　,2,winter
1,58,1,WinterSnowMan,30,30,circle,12,1,1,1,15,　,2,winter
1,58,1,IceDrake,12,12,circle,30,2,1,1,15,　,2,winter
1,58,1,EliteBoss_Stoneball,1,1,random,　,5,1,1,15,　,1,winter
1,59,1,Murupa,30,30,circle,12,0,1,1,15,　,2,winter
1,59,1,Murukun,30,30,circle,12,1,1,1,15,　,2,winter
1,59,1,Ice Golem,12,12,circle,30,2,1,1,15,　,2,winter
1,59,1,EliteBoss_Ice Golem,1,1,random,　,5,1,1,15,　,1,winter
1,60,1,White Fang,30,30,circle,12,0,1,1,15,　,2,winter
1,60,1,IceMan,30,30,circle,12,1,1,1,15,　,2,winter
1,60,1,Ice Golem,12,12,circle,30,2,1,1,15,　,2,winter
1,60,1,Boss_Seren,1,1,random,　,5,1,1,15,　,1,winter
1,61,1,Eye of Temple,30,30,circle,12,0,1,1,15,　,2,temple
1,61,1,Monk of Memory,30,30,circle,12,1,1,1,15,　,2,temple
1,61,1,Tauromacis,12,12,circle,30,2,1,1,15,　,2,temple
1,61,1,EliteBoss_Eye of Temple,1,1,random,　,5,1,1,15,　,1,temple
1,62,1,BIG Guardian of Memory,30,30,circle,12,0,1,1,15,　,2,temple
1,62,1,Guardian of Memory,30,30,circle,12,1,1,1,15,　,2,temple
1,62,1,Tauromacis,12,12,circle,30,2,1,1,15,　,2,temple
1,62,1,EliteBoss_Tauromacis,1,1,random,　,5,1,1,15,　,1,temple
1,63,1,Monk of Regret,30,30,circle,12,0,1,1,15,　,2,temple
1,63,1,Pontiff of Regret,30,30,circle,12,1,1,1,15,　,2,temple
1,63,1,BIG Guardian of Regret,12,12,circle,30,2,1,1,15,　,2,temple
1,63,1,EliteBoss_BIG Guardian of Memory,1,1,random,　,5,1,1,15,　,1,temple
1,64,1,Pontiff of oblivion,30,30,circle,12,0,1,1,15,　,2,temple
1,64,1,Monk of oblivion,30,30,circle,12,1,1,1,15,　,2,temple
1,64,1,BIG Guardian of Regret,12,12,circle,30,2,1,1,15,　,2,temple
1,64,1,EliteBoss_Monk of Regret,1,1,random,　,5,1,1,15,　,1,temple
1,65,1,Guardian of oblivion,30,30,circle,12,0,1,1,15,　,2,temple
1,65,1,BIG Guardian of oblivion,30,30,circle,12,1,1,1,15,　,2,temple
1,65,1,Ifrit,12,12,circle,30,2,1,1,15,　,2,temple
1,65,1,Boss_Naricain,1,1,random,　,5,1,1,15,　,1,temple
1,66,1,Snail of Corruption,30,30,circle,12,0,1,1,15,　,2,temple
1,66,1,Mushroom of Corruption,30,30,circle,12,1,1,1,15,　,2,temple
1,66,1,Ifrit,12,12,circle,30,2,1,1,15,　,2,temple
1,66,1,EliteBoss_Pontiff of Corruption,1,1,random,　,5,1,1,15,　,1,temple
1,67,1,Captured Pontiff,30,30,circle,12,0,1,1,15,　,2,temple
1,67,1,Keeper of Darkness,30,30,circle,12,1,1,1,15,　,2,temple
1,67,1,Black Dodo,12,12,circle,30,2,1,1,15,　,2,temple
1,67,1,EliteBoss_Mushroom of Corruption,1,1,random,　,5,1,1,15,　,1,temple
1,68,1,Light Executor,30,30,circle,12,0,1,1,15,　,2,temple
1,68,1,Dark Executor,30,30,circle,12,1,1,1,15,　,2,temple
1,68,1,Black Dodo,12,12,circle,30,2,1,1,15,　,2,temple
1,68,1,EliteBoss_Keeper of Darkness,1,1,random,　,5,1,1,15,　,1,temple
1,69,1,MagicSoldierB,30,30,circle,12,0,1,1,15,　,2,temple
1,69,1,MagicSoldierA,30,30,circle,12,1,1,1,15,　,2,temple
1,69,1,Thralled Guard,12,12,circle,30,2,1,1,15,　,2,temple
1,69,1,EliteBoss_Warrior Specter,1,1,random,　,5,1,1,15,　,1,temple
1,70,1,Warrior Specter,30,30,circle,12,0,1,1,15,　,2,temple
1,70,1,RiverStone,30,30,circle,12,1,1,1,15,　,2,temple
1,70,1,Thralled Guard,12,12,circle,30,2,1,1,15,　,2,temple
1,70,1,Boss_Cygnus,1,1,random,　,5,1,1,15,　,1,temple
1,71,1,BabyWhiteMonkey,30,30,circle,12,0,1,1,15,　,2,hotSpring
1,71,1,The Book Ghost,30,30,circle,12,1,1,1,15,　,2,hotSpring
1,71,1,Jar,12,12,circle,30,2,1,1,15,　,2,hotSpring
1,71,1,EliteBoss_Doraji,1,1,random,　,5,1,1,15,　,1,hotSpring
1,72,1,Doraji,30,30,circle,12,0,1,1,15,　,2,hotSpring
1,72,1,OldDoraji,30,30,circle,12,1,1,1,15,　,2,hotSpring
1,72,1,Jar,12,12,circle,30,2,1,1,15,　,2,hotSpring
1,72,1,EliteBoss_WhiteFurMommyMonkey,1,1,random,　,5,1,1,15,　,1,hotSpring
1,73,1,OldDoraji,30,30,circle,12,0,1,1,15,　,2,hotSpring
1,73,1,StarSquirrel,30,30,circle,12,1,1,1,15,　,2,hotSpring
1,73,1,Mama Monkey,12,12,circle,30,2,1,1,15,　,2,hotSpring
1,73,1,EliteBoss_Red Flower Serpent,1,1,random,　,5,1,1,15,　,1,hotSpring
1,74,1,WildPanda,30,30,circle,12,0,1,1,15,　,2,hotSpring
1,74,1,Sikhye Crock,30,30,circle,12,1,1,1,15,　,2,hotSpring
1,74,1,Mama Monkey,12,12,circle,30,2,1,1,15,　,2,hotSpring
1,74,1,EliteBoss_Sage Cat,1,1,random,　,5,1,1,15,　,1,hotSpring
1,75,1,Jar of Stagnant Water,30,30,circle,12,0,1,1,15,　,2,hotSpring
1,75,1,Red Flower Serpent,30,30,circle,12,1,1,1,15,　,2,hotSpring
1,75,1,Broken Sikhye Crock,12,12,circle,30,2,1,1,15,　,2,hotSpring
1,75,1,Boss - King Sage Cat,1,1,random,　,5,1,1,15,　,1,hotSpring
1,76,1,Jinseng Jar,30,30,circle,12,0,1,1,15,　,2,hotSpring
1,76,1,WildBear,30,30,circle,12,1,1,1,15,　,2,hotSpring
1,76,1,Mama Monkey,12,12,circle,30,2,1,1,15,　,2,hotSpring
1,76,1,EliteBoss_WhiteFurBigMonkey,1,1,random,　,5,1,1,15,　,1,hotSpring
1,77,1,Peach Monkey,30,30,circle,12,0,1,1,15,　,2,hotSpring
1,77,1,Sage Cat,30,30,circle,12,1,1,1,15,　,2,hotSpring
1,77,1,WhiteFurBigMonkey,12,12,circle,30,2,1,1,15,　,2,hotSpring
1,77,1,EliteBoss_Ogong,1,1,random,　,5,1,1,15,　,1,hotSpring
1,78,1,Lupin,30,30,circle,12,0,1,1,15,　,2,hotSpring
1,78,1,Ogong,30,30,circle,12,1,1,1,15,　,2,hotSpring
1,78,1,WhiteFurBigMonkey,12,12,circle,30,2,1,1,15,　,2,hotSpring
1,78,1,EliteBoss_Reindeer,1,1,random,　,5,1,1,15,　,1,hotSpring
1,79,1,Frog,30,30,circle,12,0,1,1,15,　,2,hotSpring
1,79,1,RedFrog,30,30,circle,12,1,1,1,15,　,2,hotSpring
1,79,1,Anti's Egg,12,12,circle,30,2,1,1,15,　,2,hotSpring
1,79,1,EliteBoss_GreenFrog,1,1,random,　,5,1,1,15,　,1,hotSpring
1,80,1,WhiteFurMommyMonkey,30,30,circle,12,0,1,1,15,　,2,hotSpring
1,80,1,Chunky Striped Gourd,30,30,circle,12,1,1,1,15,　,2,hotSpring
1,80,1,Anti's Egg,12,12,circle,30,2,1,1,15,　,2,hotSpring
1,80,1,Boss - Guardian Angel Slime,1,1,random,　,5,1,1,15,　,1,hotSpring
