RuneID,Name,Grade,EnemyUseType,IconRUID,PurchaseCost,ResellCost,BlankUnitCount,AddUnitCount,NeedItemCount,Desc_UseStack,Desc_UseString
RC10017,리나,Normal,Battle,09713a4038094b39ac9b0bb66763bf4f,4,2,0,0,0,FALSE,FALSE
RC10018,어린 륀느,Normal,Ready,012b4c293f9c4bf483fbee61ae43f1c2,4,2,0,0,0,FALSE,FALSE
RC10019,키단,Normal,Battle_BlankUnit,09ea1692338749bb93a67be897c4629a,4,2,1,0,0,FALSE,FALSE
RC10020,쿠디,Normal,Battle,089d45123b4c4fef81df85c3ba99df16,4,2,0,0,0,TRUE,FALSE
RC10021,선더,Normal,Ready,73f0eb2947124cb0874d413887c69247,4,2,0,0,0,FALSE,FALSE
RC10022,몽롱 할배,Normal,Battle_AddUnit,c0a0445a368d48dc8163f6de444ce076,4,2,0,1,0,FALSE,FALSE
RC10023,슈미,Normal,Ready,26816e4721944839868c46488ebfe1ec,4,2,0,0,0,FALSE,FALSE
RC10024,몽땅따,Normal,Ready,05d555ea1f8c4697ad6072f5a2049fbc,4,2,0,0,0,TRUE,FALSE
RC10025,토미,Normal,Ready,2db3610e23c84faa9d6aa24f325fa861,4,2,0,0,0,FALSE,FALSE
RC10026,압둘라 8세,Normal,Battle,00d44c89c0b6497ba1e62300bc734b3b,4,2,0,0,0,TRUE,FALSE
RC10027,소문난,Normal,Ready,8a7e35ae04444238b2b25eaaba35e51c,4,2,0,0,0,FALSE,FALSE
RC10028,떠돌이 연금술사,Normal,Battle,0aa4673b364948778e132a9418c47b3a,4,2,0,0,0,TRUE,FALSE
RC10029,유타,Normal,Ready,21698f6ed7924868a7825404bccc0428,4,2,0,0,0,FALSE,FALSE
RC10030,왕연해,Normal,NoneSynergy,0213623b1c234401bf9d11d0c04f8416,4,2,0,0,0,FALSE,FALSE
RC10031,산신령,Normal,Battle,0906da9237bf4ffab7fbfc7477e3aaea,4,2,0,0,0,FALSE,FALSE
RC10032,천지,Normal,Battle,7c08bd3b43d04c269384e74bcc44c401,4,2,0,0,0,FALSE,FALSE
RC10033,샨,Normal,Ready,061c8aa33de8430ebcbb35eb303c99dd,4,2,0,0,0,FALSE,FALSE
RC10034,세피,Normal,Ready,0a3c4f6c3d494ef893c6dbec0266be7f,4,2,0,0,0,FALSE,FALSE
RC10035,돼지와함께춤을,Normal,Battle,26b0ce2b5eb945cb8144a5b211c9ea6b,4,2,0,0,0,FALSE,FALSE
RC10036,무라트,Normal,Ready,153c3d1ceba84a159d9a265d133291cb,4,2,0,0,0,TRUE,FALSE
RC10037,요원 M,Normal,Battle,065d6468984b47699d76d17fcfb338dc,4,2,0,0,0,FALSE,FALSE
RC10038,요원 W,Normal,Battle,00d94f4577b4459db8ebef4c873d1a13,4,2,0,0,0,FALSE,FALSE
RC10039,크리슈라마,Normal,Battle,26571e26a43f4cae83d05eaa4991df95,4,2,0,0,0,FALSE,FALSE
RC10040,사비트라마,Normal,Battle,9a24246c38f8466594a93bd287a44b6a,4,2,0,0,0,FALSE,FALSE
RC10041,노공,Normal,Battle,03168f19c030473f9f3158ffd5933658,4,2,0,0,0,FALSE,FALSE
RC10042,신전관리인,Normal,Synergy_Add_S10015,099dcc9fe28d4988844d41b17affbc79,4,2,0,0,0,FALSE,FALSE
RC10043,알케스터,Normal,Synergy_Add_S10016,9875f5df19b34eaaa322aca3f741b77e,4,2,0,0,0,FALSE,FALSE
RC10044,클로이,Normal,Synergy_Add_S10017,01e59ccc10db4408b08f1a9a23b04060,4,2,0,0,0,FALSE,FALSE
RC10045,카호,Normal,Synergy_Add_S10019,1100da05b13645e3af6d6a088f363e87,4,2,0,0,0,FALSE,FALSE
RC10046,리옹,Normal,Synergy_Add_S10020,1079e0cbaf3248778c908d7c90971599,4,2,0,0,0,FALSE,FALSE
RC10047,요정 크리엘,Normal,Synergy_Add_S10021,012428a0c5a34ad3b943e3b92bd0b198,4,2,0,0,0,FALSE,FALSE
RC10048,신수,Normal,Synergy_Add_S10022,0322d38894cd4fcdb7ae44425154ba07,4,2,0,0,0,FALSE,FALSE
RC10049,리더 알,Normal,Synergy_Add_S10023,0170242147b74d5ca7f7da42f1303483,4,2,0,0,0,FALSE,FALSE
RC10050,마티어스,Normal,Synergy_Add_S10025,01391cbc884a4a46bc4c2652d024a47e,4,2,0,0,0,FALSE,FALSE
RC10051,리본돼지,Normal,Synergy_Add_S10001,0d7fbd1069ff4726918c22d4cdfc7118,4,2,0,0,0,FALSE,FALSE
RC10052,메소다이저 X,Normal,Synergy_Add_S10002,374153c44663429e8fc68583297b3d9b,4,2,0,0,0,FALSE,FALSE
RC10053,슈멧,Normal,Synergy_Add_S10003,01f4c48b4acf4d32a1bd8e1d9796c183,4,2,0,0,0,FALSE,FALSE
RC10054,에뜨랑,Normal,Synergy_Add_S10004,4a9b3637b9d746289ad08802fde7652f,4,2,0,0,0,FALSE,FALSE
RC10055,펜릴,Normal,Synergy_Add_S10005,0cbbf5b85f6148c5831d6908d345da37,4,2,0,0,0,FALSE,FALSE
RC10056,스카두르,Normal,Synergy_Add_S10006,00e1eb01e1614e4f9ed8ee088605e4ee,4,2,0,0,0,FALSE,FALSE
RC10057,벨,Normal,Synergy_Add_S10008,0330d045c176478ea5eb04fbffc229d4,4,2,0,0,0,FALSE,FALSE
RC10058,돼지와함께일어서,Normal,Synergy_Add_S10009,8420e2d19fff4fa99a7453dfdfb98276,4,2,0,0,0,FALSE,FALSE
RC10059,치노,Normal,Synergy_Add_S10010,06a692e8801d4ec990054c9c1efc791a,4,2,0,0,0,FALSE,FALSE
RC10060,총리대신,Normal,Synergy_Add_S10011,49f780f04de74ecdb60aa2002c3536d1,4,2,0,0,0,FALSE,FALSE
RC10061,설이,Normal,Synergy_Add_S10031,bf43dc01151e4d6d81b37b1e318e4aba,4,2,0,0,0,FALSE,FALSE
RC10062,휴머노이드 A,Normal,Synergy_Add_S10032,f199e9cb223845b69d9b6c6c4dc5ccb5,4,2,0,0,0,FALSE,FALSE
RC10063,노야,Normal,Synergy_Add_S10033,79ecfa566ac647a1ac6d5659c679f098,4,2,0,0,0,FALSE,FALSE
RC10064,양철 나무꾼,Normal,Synergy_Add_S10034,fbddfda26c4d4973a9c9f24abc08b954,4,2,0,0,0,FALSE,FALSE
RC10065,연우,Normal,Synergy_Add_S10035,fd72eca30a5846e0813e7b99702fb0c1,4,2,0,0,0,FALSE,FALSE
RC10066,다로미,Normal,Synergy_Add_S10036,f63d86fa52984c88b6223b8d1102fa9f,4,2,0,0,0,FALSE,FALSE
RC20001,골드 리치,Rare,Ready,00e0f863fa0045df92fdae3b453dfe9f,7,3,0,0,0,FALSE,FALSE
RC20002,정체불명의 그녀,Rare,Battle,02878cf992c64a849db9516f8259c125,7,3,0,0,0,FALSE,FALSE
RC20003,루티,Rare,Battle,029c197d1a7a46dba94a9ace70e13a6f,7,3,0,0,0,FALSE,FALSE
RC20004,마스테마,Rare,Battle,009386195a614969b5b672cc0c805268,7,3,0,0,0,FALSE,FALSE
RC20005,로코,Rare,Ready,465c4deefa1a435e91cd959fc746b532,7,3,0,0,0,FALSE,FALSE
RC20006,마에스터,Rare,Battle_BlankUnit,0095a83de5c24f87a70e97cd4e76839e,7,3,2,0,0,FALSE,FALSE
RC20007,파웬,Rare,Battle,00df5025fe974e63a401f24b2fbf2dbd,7,3,0,0,0,TRUE,FALSE
RC20008,카르카사,Rare,Battle,008884f5567c43b0b3c2abeb5e659c36,7,3,0,0,0,FALSE,TRUE
RC20009,토푸,Rare,Ready,00cc94d7a2f546cb85afde926cd7d2be,7,3,0,0,0,FALSE,FALSE
RC20010,아레다,Rare,Battle,01fd4f2b9583400494bd101b633d2223,7,3,0,0,0,FALSE,FALSE
RC20011,만지,Rare,Battle,5d04967905c147bc8261c537c7e31805,7,3,0,0,0,TRUE,FALSE
RC20012,변신술사 바로크,Rare,Battle,07b05da35444487da9c518a6301a6de8,7,3,0,0,0,TRUE,FALSE
RC20013,에이센,Rare,Ready,0133dd4480e3403fbf36f6f669d168c1,7,3,0,0,0,TRUE,FALSE
RC20014,해나,Rare,Ready,6e0bf90964ee4cd5808f8e5c68895beb,7,3,0,0,0,FALSE,FALSE
RC20015,길 잃은 병정,Rare,Battle,0d72efa2ada24c54b6db0f9652bd53da,7,3,0,0,5,FALSE,FALSE
RC20016,루스카,Rare,Battle,1cffb3b54d554c9fb9f2365cd7729d5d,7,3,0,0,0,FALSE,FALSE
RC20017,조교 챙,Rare,Ready,3c3750d1df7d47c2b466ad73dc5a00b0,7,3,0,0,0,FALSE,FALSE
RC20018,빅 헤드워드,Rare,Ready,03d29f1f4a504d1d814ec62359b7df59,7,3,0,0,0,FALSE,FALSE
RC20019,칸토어,Rare,Battle,0025885f5be443d7b17b2207a82364d0,7,3,0,0,0,FALSE,FALSE
RC20020,골드리치 주니어,Rare,Ready,045aa057389541ed9f5a329dad0b07dd,7,3,0,0,0,FALSE,FALSE
RC20021,나무꾼,Rare,Ready,042345d252f848d8a140ce9b5e9c7e70,7,3,0,0,0,FALSE,FALSE
RC20022,오코,Rare,Ready,079cf50b71de4703bf65821d1c23cac9,7,3,0,0,0,FALSE,FALSE
RC20023,헤라,Rare,Ready,03e50b66435841bea163c386cd8edd9a,7,3,0,0,0,FALSE,FALSE
RC20024,트루,Rare,Battle_AddUnit,0fbfce2edf6f44dfb093f5a46038b3c3,7,3,0,1,0,FALSE,FALSE
RC20025,카슨,Rare,Battle,117502cf41dd4d37bd3967cd06bc81d7,7,3,0,0,0,FALSE,FALSE
RC20026,베딘,Rare,Battle,10aaa0cf769f4f96b81cc5477eb01078,7,3,0,0,0,FALSE,FALSE
RC20027,매드,Rare,Battle,0160f12ca4514c3f87cb69ada6ab63b0,7,3,0,0,0,FALSE,FALSE
RC20028,러셀론,Rare,Battle,048f4e8ddbae41e0b3be44014c75f12f,7,3,0,0,0,FALSE,FALSE
RC20029,아르웬,Rare,Battle,b65f17df1abc430a813edb223e174b03,7,3,0,0,0,FALSE,FALSE
RC20030,마슈르,Rare,Ready,064e59bad58e46b384a146d10c5593d1,7,3,0,0,0,FALSE,FALSE
RC20031,탕윤,Rare,Battle,020b711f463a496db2e2dad5051f7d65,7,3,0,0,0,TRUE,FALSE
RC20032,프레드릭,Rare,Ready,17b988f6b6f94e04b0637a7ccf0bfe96,7,3,0,0,0,FALSE,FALSE
RC20033,삐돌,Rare,Battle,240c76adc82f45f5961087848d9a5250,7,3,0,0,0,FALSE,FALSE
RC20034,스크루지,Rare,Ready,013bba3f8c854dc9bd75484f71c791fe,7,3,0,0,0,FALSE,FALSE
RC20035,기계장치,Rare,Battle,08bd740aeda0465c9db02e4ed165b698,7,3,0,0,0,FALSE,FALSE
RC20036,라나,Rare,Ready,0ba66a60d70b434ea85f7466a32fb594,7,3,0,0,0,FALSE,FALSE
RC20037,위즈,Rare,Ready,008b3cfafb59423890590d1b7c34da4e,7,3,0,0,0,FALSE,FALSE
RC20038,콜렉터,Rare,Ready,011f4e7a32e14913ab7f8918e07788d6,7,3,0,0,0,FALSE,FALSE
RC20039,덴마,Rare,Ready,025a8767f6594df0b8dfbb27450af6c6,7,3,0,0,0,FALSE,FALSE
RC20040,수아르,Rare,Battle,0111856a81304275bc6642c4fd31216f,7,3,0,0,4,FALSE,FALSE
RC20041,빅스,Rare,Battle,16d320b504cf46dba30c8a5dafd67627,7,3,0,0,0,FALSE,FALSE
RC20042,바실리,Rare,Battle,02467fc1b5b247cc842f26586c9a77df,7,3,0,0,0,FALSE,FALSE
RC20043,소공,Rare,Battle,03abda55db404f048dbc653d22ae421c,7,3,0,0,0,FALSE,FALSE
RC20044,패트릭 드 블랑,Rare,Ready,187b6f3e9bac47b3a8888cfb35f448ff,7,3,0,0,0,FALSE,FALSE
RC20045,마법제련술사,Rare,Synergy_S10015,01a5bee6e4ad46699a977678b0a94e19,7,3,0,0,0,FALSE,FALSE
RC20046,비스트,Rare,Synergy_S10016,006db62d8b694ea29c4c2bebcefbb720,7,3,0,0,0,FALSE,FALSE
RC20047,알리샤,Rare,Synergy_S10017,05cc35985b2e4112ab76d428fd30bd2e,7,3,0,0,0,FALSE,FALSE
RC20048,트리스탄,Rare,Synergy_S10018,0014b5e788f04cdb90579eeb93d2f4d7,7,3,0,0,0,FALSE,FALSE
RC20049,괘종시계,Rare,Synergy_S10019,030d9c96dfa64e03a32baf0b6886e976,7,3,0,0,0,FALSE,FALSE
RC20050,날치,Rare,Synergy_S10020,0c81455d90a4449293693c7f1bc8592a,7,3,0,0,0,FALSE,FALSE
RC20051,허클,Rare,Synergy_S10021,07fed5a3e4ae4529b0e082dc2975550f,7,3,0,0,0,FALSE,FALSE
RC20052,아리아,Rare,Synergy_S10022,34c4d3389df442c0abe431934c59871a,7,3,0,0,0,FALSE,FALSE
RC20053,슈가,Rare,Synergy_S10023,ae0fcb29c7024e8a9ce53b52056cbbf9,7,3,0,0,0,FALSE,FALSE
RC20054,페르젠,Rare,Synergy_S10024,0083fcb83d08459d9c24e72f121d530b,7,3,0,0,0,FALSE,FALSE
RC20055,카오,Rare,Synergy_S10025,385a9b6ec0b14a3592c2961b5183d622,7,3,0,0,0,FALSE,FALSE
RC20056,웡키,Rare,Synergy_S10001,042840eef7c844a38b298a9a0b121d1f,7,3,0,0,0,FALSE,FALSE
RC20057,마이크,Rare,Synergy_S10002,127bfaef6e5949008ffafebcfccc76d2,7,3,0,0,0,FALSE,FALSE
RC20058,모카딘,Rare,Synergy_S10003,0a9724397a864e2b9252952167a144a1,7,3,0,0,0,FALSE,FALSE
RC20059,카리아인,Rare,Synergy_S10004,0f5853fe2d144978b571e0c0dea8fc64,7,3,0,0,0,FALSE,FALSE
RC20060,도공,Rare,Synergy_S10005,060fc4e8fc1348e89c9744a5b3784ca8,7,3,0,0,0,FALSE,FALSE
RC20061,줄라이,Rare,Synergy_S10006,0677ade262e74095b856cd8a54beca40,7,3,0,0,0,FALSE,FALSE
RC20062,설희,Rare,Synergy_S10007,05bb964e257244c19aa19a0f65118569,7,3,0,0,0,FALSE,FALSE
RC20063,CQ57,Rare,Synergy_S10008,31ccc11db5514fedb279d41b50921de6,7,3,0,0,0,FALSE,FALSE
RC20064,플레드,Rare,Synergy_S10009,2714424cabe843d98a6a08cc9ff48e06,7,3,0,0,0,FALSE,FALSE
RC20065,베어,Rare,Synergy_S10010,002a40e3058041f4a038d8d480385ce3,7,3,0,0,0,FALSE,FALSE
RC20066,T-Boy,Rare,Synergy_S10011,1601d9c419624659a09ca2736db9f4fb,7,3,0,0,0,FALSE,FALSE
RC20067,박첨지,Rare,Synergy_S10031,57bdadd92d9d41db96ccd29ffed188ba,7,3,0,0,0,TRUE,FALSE
RC20068,드랭,Rare,Synergy_S10032,dc13256dc92740938f0c09542192d432,7,3,0,0,0,FALSE,TRUE
RC20069,랑,Rare,Synergy_S10033,23e6305fe62b4bd6acc72b4d05451792,7,3,0,0,0,FALSE,FALSE
RC20070,크로우,Rare,Synergy_S10034,fc44f23edc464c269e9230665b823af4,7,3,0,0,0,FALSE,FALSE
RC20071,홍아,Rare,Synergy_S10035,ad1286d7deb140d28910ec1893578108,7,3,0,0,0,FALSE,FALSE
RC20072,다담지,Rare,Synergy_S10036,fe2a208269324bc19b0f066f458fb362,7,3,0,0,0,FALSE,FALSE
RC30001,기억하고 있는 자,Epic,Ready,0129ee9aa3e74f7ebfa5e8275e04023e,12,6,0,0,0,FALSE,FALSE
RC30002,가면신사,Epic,Ready,031135e5bbae4826905338d9132148e4,12,6,0,0,0,TRUE,FALSE
RC30003,브로커 한,Epic,Ready,178f7feb0c1c43f28bf78ebc0980b515,12,6,0,0,0,FALSE,FALSE
RC30004,겔리메르,Epic,Ready,0011294731534ea68ffd59b452bf9511,12,6,0,0,0,FALSE,FALSE
RC30005,미스터 핥,Epic,Battle,014dbb21ed234505919831c0f0a19c66,12,6,0,0,0,FALSE,FALSE
RC30006,켄타,Epic,Ready,0301f47eb26244498a5c8586a9c057af,12,6,0,0,0,FALSE,FALSE
RC30007,마이,Epic,Battle,044d37c3f8704de5a578719bf5ecc49b,12,6,0,0,0,FALSE,FALSE
RC30008,키르스턴,Epic,NoneSynergy,1c7f17bf764a40a5963ada439a811cf9,12,6,0,0,0,FALSE,FALSE
RC30009,스피루나,Epic,Battle,031a741964424aca9629def06a9ee075,12,6,0,0,0,FALSE,FALSE
RC30010,피그미,Epic,Ready,0045ee3f26e747f4a1ca232d06d49833,12,6,0,0,0,TRUE,FALSE
RC30011,무공,Epic,Battle,21d0d8a4b0254ecfae681879c4d4e5ba,12,6,0,0,0,FALSE,FALSE
RC30012,프란시스,Epic,Battle,049ea9f88b4144799288735d9e6b03f9,12,6,0,0,0,FALSE,FALSE
RC30013,관조자,Epic,Battle,0896cd736da142f8815a085e3327eb9f,12,6,0,0,0,FALSE,FALSE
RC30014,반 레온,Epic,Battle,00e94428cd0b4a6882c17cf917554c90,12,6,0,0,0,FALSE,FALSE
RC30015,김박사,Epic,Battle,003f3cbc34ac4f3d96e90d03ebdfb17f,12,6,0,0,0,FALSE,FALSE
RC30016,멍테일,Epic,Battle,0170d376ad18457e97141f7a23b9b615,12,6,0,0,0,FALSE,FALSE
RC30017,윈스턴,Epic,Ready,03a8f1693e044fc7971601928a9d7cd9,12,6,0,0,0,TRUE,FALSE
RC30018,마하,Epic,Battle,07ba0016140d447da29976aeff32df52,12,6,0,0,0,FALSE,FALSE
RC30019,달리어,Epic,Battle,01b6204085c242cf89029ebc20a2222f,12,6,0,0,0,TRUE,FALSE
RC40001,메르세데스,Legendary,Battle,a98f4e5501fd4cf5ae67bf5d17fa0a50,25,12,0,0,0,FALSE,FALSE
RC40002,아란,Legendary,Battle,0000752f501b4bbc82abd160f20a4d3d,25,12,0,0,0,TRUE,FALSE
RC40003,팬텀,Legendary,Battle,0233de6b7c554b1f968667739f30c070,25,12,0,0,0,FALSE,FALSE
RC40004,루미너스,Legendary,Battle,0a95aca94dd84d48967bcc2ba64b7fea,25,12,0,0,0,FALSE,FALSE
RC40005,에반,Legendary,Battle,26545941920b4816b34b0bca005cd47e,25,12,0,0,0,FALSE,FALSE
