id,name,grade,type,class,attribute,model,ruid,ruid_pc_only,outglow,bullet,fireEffect,coolTime,damage,specialBuffDamageRate,criticalRate,criticalDamage,range,bulletCount,bulletAngle,pierceCount,knockback,bulletDelay,stunDuration,cardDescription,graph_attack,graph_speed,graph_util,graph_multihit,graph_accuracy,boxDamage,mana,spawnDuration,fieldCoolTime,fieldRatio
1_003001,fireStaff01,normal,fireStaff,Magician,magical,model://54a687c4-2690-4ed6-b305-0d7a0e37a77a,bfe427b6313f47769ca8d4031ab56a61,578f2ee47e77458a90682ccb98adf377,5b020bb5cd9c4067a73c7bddd905f2a1,model://01bbf61d-245b-41a5-be9b-e25d65e7f8df,6087f55e05174647beb19610ca9614aa,3,20,2,0,50,6,1,0,0,0,0,,1_003001,7,2,4,6,4,6,7,14,20,2.68
1_003002,fireStaff02,rare,fireStaff,Magician,magical,model://54a687c4-2690-4ed6-b305-0d7a0e37a77a,8d35cb640869405994aaf0a35f0f4fcb,73f4327d3eed436b9d09d80e4daca162,0bcfcdddb6ef4a089751b7674b1d2664,model://24728e86-f190-4aba-8324-e4c5919fa683,6087f55e05174647beb19610ca9614aa,3,20,2,0,50,6,1,0,0,0,0,,1_003001,7,2,5,6,4,6,9,14,20,3.435
1_003003,fireStaff03,epic,fireStaff,Magician,magical,model://54a687c4-2690-4ed6-b305-0d7a0e37a77a,e2f459358833484a848ce2dc5a970c6c,1e6222dccf4f4a6b8f3b5c05d9fe8432,ac145bc5c91a4c94b43757b0ce3d7ad2,model://936f9183-f693-456e-a88e-ce3a7ad983b7,6087f55e05174647beb19610ca9614aa,2.5,20,2,0,50,6,1,0,0,0,0,,1_003001,7,3,5,6,4,6,26,14,20,6.6
1_003004,fireStaff04,unique,fireStaff,Magician,magical,model://54a687c4-2690-4ed6-b305-0d7a0e37a77a,9b5841fd3dc640a88612f154f0200e68,fb9ab01ed6db4488993b1bc7eebfcb23,8314357f69e54e8caba00526444024ad,model://c5521108-bde4-4190-8f8d-0679e40821c5,6087f55e05174647beb19610ca9614aa,2.5,20,2,0,50,6,1,0,0,0,0,,1_003001,8,3,5,6,4,6,59,15,20,6.5
1_003005,fireStaff05,legendary,fireStaff,Magician,magical,model://54a687c4-2690-4ed6-b305-0d7a0e37a77a,88340a4e78194e329f0fefb88713562d,d86230c063af42ac914c0bc4ffbc99c3,4a45c12888dd486b90afae71ca6cecf0,model://dfbf5529-830b-40c5-9931-ebe8aa0e0ef6,6087f55e05174647beb19610ca9614aa,2.5,20,2,0,50,6,1,0,0,0,0,,1_003001,8,3,6,6,6,6,111,15,20,8.82
1_004001,polearm01,normal,polearm,Warrior,physical,model://2e771e12-7315-4634-8edb-fe57c2b48ca9,b12ab4e0b761415c9e9b58c89c3a2489,411a4dbf30b04322b8f9efeaa0509770,5cf5c2cc69b24cf39d9796bb7333c78b,,0ae4ebe88e63480a9d09533cd90a2d70,0.4,16,1,0,50,3.5,0,0,1,0,0,,1_004001,6,5,0,7,9,6,6,6.5,15,1
1_004002,polearm02,rare,polearm,Warrior,physical,model://0c00d248-9b9c-4f91-a486-33f2febc5c3e,dc57d4c953b142118c7ae2bb86ffe623,418d8513106a4c24be1db3657d199879,222b2ed8b80f40bba2219abf55a767d4,,0ae4ebe88e63480a9d09533cd90a2d70,0.4,16,1,0,50,3.5,0,0,1,0,0,,1_004001,6,6,0,7,9,6,7,6.5,15,0.9
1_004003,polearm03,epic,polearm,Warrior,physical,model://721661d3-8945-442a-8542-eb80954ae987,033f2f734aaa4d77b2ca475a84a80a70,6b0c2172d02c4a948f9327983b328d7a,b4f1e6bab1064f44b8f9ce436cc0d60e,model://d39a4e32-c1d2-4b3c-a4ad-73e989e35a64,0ae4ebe88e63480a9d09533cd90a2d70,0.4,16,1,0,50,3.5,1,0,1,0,0,,1_004001,6,6,3,8,9,6,20,6.5,15,0.81
1_004004,polearm04,unique,polearm,Warrior,physical,model://e9e94035-b4d5-4cfa-987f-a843c5f42292,b1958a6253cd4e3bab41db8ba64c5b74,8b8849a86a0540e884305fcd00dc215b,a8975b0f21cd4119bced699e9a29309b,model://d39a4e32-c1d2-4b3c-a4ad-73e989e35a64,0ae4ebe88e63480a9d09533cd90a2d70,0.4,16,1,0,50,3.5,1,0,1,0,0,,1_004001,6,7,3,8,9,6,46,6.5,13,1.05
1_004005,polearm05,legendary,polearm,Warrior,physical,model://e9e94035-b4d5-4cfa-987f-a843c5f42292,60985daf299546c79024252155769250,84571a9e3b7b4fb1bc229017c88d17a0,7318bf8e02804cb8a7b948d2503faf96,model://d39a4e32-c1d2-4b3c-a4ad-73e989e35a64,0ae4ebe88e63480a9d09533cd90a2d70,0.4,16,1,0,50,3.5,1,0,1,0,0,1,1_004001,6,7,7,8,9,6,86,6.5,13,2.65
1_005001,bow01,normal,bow,Archer,physical,model://3517e328-9200-499a-8bc9-6dd0e1523521,8c0a8c6a2e6c4079b8d1fb4bde28cff7,57eda053a14643c590ce8919ecc6e645,8004ce1482d14774affd714c3485f078,model://19118380-f004-4b08-8914-81d723c27cab,f6658089b9774f4bb0026efe2757e375,1.5,35,0.1,0,50,8,1,0,0,0,0,,1_005001,10,5,0,1,8,2,2,5.57,9,1.35
1_005002,bow02,rare,bow,Archer,physical,model://3517e328-9200-499a-8bc9-6dd0e1523521,c49d6de0966c4b5fb1a78622c06cee48,10f1769656414ec78a01ae63d86a88a3,5956a46d8b864ccd884b75e2ed4d3cdb,model://15233cd4-0117-4113-8938-38d838ce308b,f6658089b9774f4bb0026efe2757e375,1.2,35,0.1,0,50,8,1,0,0,0,0,,1_005001,10,6,0,1,8,2,3,5.57,9,1.8
1_005003,bow03,epic,bow,Archer,physical,model://3517e328-9200-499a-8bc9-6dd0e1523521,6552623818a64317929aef586e277f21,194c9337ddd740e198b97d62660a200e,145465342da7472fbbd3b5a9737f9a77,model://8ea7174d-0d21-4419-8b01-6e2f41c2d6c5,f6658089b9774f4bb0026efe2757e375,1.2,35,0.1,0,50,8,2,0,0,0,0.1,,1_005001,10,6,0,2,8,2,8,5.57,9,2
1_005004,bow04,unique,bow,Archer,physical,model://3517e328-9200-499a-8bc9-6dd0e1523521,fdb36e2fa8cd4493abc216015b466ec2,0ba208f4405d46e1b93fdd77f35c56a5,fdebb3f0d6564a5fb2dedb8b812450b7,model://d04020f2-ec59-49ca-a0a3-a73f44ce5e2d,f6658089b9774f4bb0026efe2757e375,1.2,35,0.1,0,50,8,2,0,3,0,0.1,,1_005001,10,6,0,3,8,2,19,5.57,9,1.95
1_005005,bow05,legendary,bow,Archer,physical,model://3517e328-9200-499a-8bc9-6dd0e1523521,479001f3802a410f812936081a280090,6f8309a3438646438829a1acf4ca8995,476b0093d4264b47b9194d84bce911dc,model://dda36204-49d5-4e55-80f1-2061d27af326,f6658089b9774f4bb0026efe2757e375,1.2,35,0.1,0,50,8,3,0,3,0,0.1,,1_005001,10,6,0,5,8,2,35,5.57,9,2.45
1_006001,fan01,normal,fan,Thief,magical,model://13681709-5171-4490-b029-1d5601fd54f8,391c12a68649410cb62eb444306d1a9a,b50ef4a5e66b463fa06f37fb138f7b45,d825bf23c2304ccaaf0c27dab303326b,model://c8abf46d-9f0a-4624-b643-9d68f6c4f528,3fd4aa5acae64714a9ba593d174e2baf,2,12,1,0,50,3.5,1,0,0,3,0,,1_006001,4,4,6,6,7,3,6,14,22,2.35
1_006002,fan02,rare,fan,Thief,magical,model://13681709-5171-4490-b029-1d5601fd54f8,e14ae67c65f74b0babc1ae2cb38e6c96,59e6b3fcc090491d8448284f1581527d,428c4d73c43c4af19952dc7b68bd8619,model://951ba685-41c7-4659-a430-1d2d77c6d389,3fd4aa5acae64714a9ba593d174e2baf,2,12,1,0,50,3.5,1,0,0,3,0,,1_006001,4,4,7,6,7,3,7,15,22,2.35
1_006003,fan03,epic,fan,Thief,magical,model://13681709-5171-4490-b029-1d5601fd54f8,fee582eb9c684742bb91a76579e44a7b,07f1c7dce8084c70b413338f06a0cc91,34c5bee4c8e64b468f4bae7c2aa362d3,model://331ce002-62aa-4528-a5f7-bcf4e871b9ac,3fd4aa5acae64714a9ba593d174e2baf,2,12,1,0,50,3.5,3,40,0,3,0,,1_006001,4,4,7,8,7,3,20,15,22,2.4
1_006004,fan04,unique,fan,Thief,magical,model://13681709-5171-4490-b029-1d5601fd54f8,0d02e1bdd1434b628591634d6a7ebc8b,6d6ab02f858344ddb08b816c1a80105a,423c9bcf924048bb920ea1dea900c124,model://48232d2c-ea40-4d23-92a4-fc5c74db69c7,3fd4aa5acae64714a9ba593d174e2baf,1.5,12,1,0,50,3.5,3,40,0,3,0,,1_006001,4,5,7,8,7,3,46,15,20,3.2
1_006005,fan05,legendary,fan,Thief,magical,model://13681709-5171-4490-b029-1d5601fd54f8,68440350c8514a1d8264440bf23c0519,2c81ecb28d804a0a99182a03e4fe2a1e,423c9bcf924048bb920ea1dea900c124,model://a84652f1-dde9-4286-a4e1-d3c53f09ce93,3fd4aa5acae64714a9ba593d174e2baf,1.5,12,1,0,50,3.5,9,40,0,3,0,,1_006001,4,5,7,10,7,3,86,15,20,3.875
1_007001,demonSword01,normal,demonSword,Warrior,physical,model://1cc8f228-61a7-4121-9c9d-b47ae0e40edb,fcc1ee9093b84f50bbd3e4611ccd4c30,88702cf4f77b459b847fbcf771753d1b,97ecc391d62143d08b7176483c52a429,,324c395a9cc6482fa151741e04a2d6d3,10,8,1.5,0,50,0,0,0,0,0,0,,1_007001,3,2,0,7,10,3,4,9,14,2.2
1_007002,demonSword02,rare,demonSword,Warrior,physical,model://fdafe963-1547-4104-8156-db71ff00ed9e,64d8648717814fadb6a1f1f596343c47,ba9b01b5ea854c24b7b4e2e3d2f660bd,3feac5f2a94d4b55b24956c933021230,,324c395a9cc6482fa151741e04a2d6d3,10,8,1.5,0,50,0,0,0,0,0,0,,1_007001,3,4,0,7,10,3,4,9.5,14,1.8
1_007003,demonSword03,epic,demonSword,Warrior,physical,model://0da6805b-ab11-43cf-bb5e-9312ad21333c,10f0520af64747249ae1e762bca78078,9acc280a09e74eb1ac81e7b0640718e1,ceaa32796eb34b528c4f8165acb39878,,324c395a9cc6482fa151741e04a2d6d3,10,8,1.5,0,50,0,0,0,0,0,0,,1_007001,3,6,0,7,10,3,17,9.5,14,2.3
1_007004,demonSword04,unique,demonSword,Warrior,physical,model://ae4493b7-7cd2-417a-a241-65a9acc10b16,dc744d7e6614483f8752f5f3d4f31f75,765343d3fa1447e487b15de30ff6748e,17479f23253d41b7b407af9eb0f83070,,324c395a9cc6482fa151741e04a2d6d3,10,8,1.5,0,50,0,0,0,0,0,0,,1_007001,3,6,5,7,10,3,32,9.5,14,2
1_007005,demonSword05,legendary,demonSword,Warrior,physical,model://ae4493b7-7cd2-417a-a241-65a9acc10b16,3d50d075b9724fec99c9f6fe7301732d,e105fc20c7f3484cba8e1969ce6eede4,7f370eebeb9240bfbe53032c65471644,,324c395a9cc6482fa151741e04a2d6d3,10,8,1.5,0,50,0,0,0,0,0,0,0.3,1_007001,3,6,10,7,10,3,57,9.5,14,4.15
1_008001,cannon01,normal,cannon,Gunner,physical,model://371f5505-9514-43ed-97b6-d302eebf231f,5c52cf9285c142f483f55f673942fc1c,65e663f574e3451c92df65afefe1deb7,75c83e1a4c174d29a1fe6b68b372280e,model://3c4e43e7-f1e8-447a-af1a-b8aef6a856c4,1b48a24eff404f7bb4249cba4af05fc5,2,20,3,0,50,4,1,0,0,0,0,,1_008001,7,3,0,5,6,3,4,9.1,13.5,0.8
1_008002,cannon02,rare,cannon,Gunner,physical,model://371f5505-9514-43ed-97b6-d302eebf231f,3873e1728be9426b9f54c4016aabc0f5,d835d1b7a12b4a1d9e258e36db31e579,3524315eace64f0eb65c0c699e581909,model://c81fad38-6b00-4d4b-a802-bfcf6b971a34,1b48a24eff404f7bb4249cba4af05fc5,1.5,20,3,0,50,4,1,0,0,0,0,,1_008001,7,4,0,5,6,3,4,9.1,13.5,1.1
1_008003,cannon03,epic,cannon,Gunner,physical,model://371f5505-9514-43ed-97b6-d302eebf231f,c78a2d27270d45da8143224ada6edfb6,549dba375dbb45deb92cb17d5a82220e,d3a736b8ee2b4aa1bdfcc4384e224cc0,model://19f2034f-4c61-462f-a940-8ece7894c8e1,1b48a24eff404f7bb4249cba4af05fc5,1.5,20,3,0,50,4,1,0,0,0,0,,1_008001,7,4,0,5,7,3,13,9.1,13.5,1.23
1_008004,cannon04,unique,cannon,Gunner,physical,model://371f5505-9514-43ed-97b6-d302eebf231f,1fc9234158874fef94f2e6d0e4785550,65ffda21df76420e879a385a3f6604e7,2d9f9bea8eb94282bfaeda682a27d870,model://d8cc9d73-aaed-4e03-9441-b635d596c5d6,1b48a24eff404f7bb4249cba4af05fc5,1.5,20,3,0,50,4,1,0,0,0,0,,1_008001,7,4,0,5,8,3,29,9.1,13.5,1.845
1_008005,cannon05,legendary,cannon,Gunner,physical,model://371f5505-9514-43ed-97b6-d302eebf231f,6835107521314ab1a72d33b22a31a0b8,638ffee066874a2b8e778f8f6647fe28,2c5fd966de524890ba2766f340f22383,model://097be3e0-339c-46f4-ac1f-64995579d17f,1b48a24eff404f7bb4249cba4af05fc5,1.5,20,3,0,50,4,3,0,0,0,0.2,,1_008001,7,4,0,7,8,3,55,9.1,13.5,1.61
1_009001,breathShooter01,normal,breathShooter,Archer,magical,model://ab57174b-c318-4685-b269-03fdb2b623e2,04e64e8e9a9541849ba9a88bf8d673f3,14569af90ba840c3b6048fdf186fb963,176de8225a944784a387f17a01121ed7,model://7c0af53c-e07a-4afe-851c-2f7977da6a10,0e9a0ff3a8b64a2897ff4ba22c75c5f2,2.5,15,1.5,0,50,8,1,0,0,0,0,,1_009001,5,3,3,8,7,3,6,18,26,1.85
1_009002,breathShooter02,rare,breathShooter,Archer,magical,model://ab57174b-c318-4685-b269-03fdb2b623e2,e58d6126ca7c4796b6cbb9a238280cc4,2e83af9077014adc945c147018827936,800a1f53b9ed48caa5f9d7053b57cac5,model://36c0f3bb-7803-45c3-a5c9-5d8e91f9f39e,0e9a0ff3a8b64a2897ff4ba22c75c5f2,2.5,15,1.5,0,50,8,1,0,0,0,0,,1_009001,5,3,4,8,7,3,7,20,26,3.7
1_009003,breathShooter03,epic,breathShooter,Archer,magical,model://ab57174b-c318-4685-b269-03fdb2b623e2,59d84f7feb1048278699160406203e0b,4b8233b90e084225bb3b79e858c19b07,672e4746ea2e4aa8a620c95984e40726,model://67dd68b6-fec4-4bb9-9bbc-d3b07f0462e7,0e9a0ff3a8b64a2897ff4ba22c75c5f2,2.5,15,1.5,0,50,8,1,0,0,0,0,,1_009001,6,3,4,8,7,3,21,20,26,6.75
1_009004,breathShooter04,unique,breathShooter,Archer,magical,model://ab57174b-c318-4685-b269-03fdb2b623e2,2ecd2958b1f24129b57d3ffc283f95af,b64373eb2d5a47869d1669437c923a03,e19e9dc887144b22865a7111729df9ca,model://8b0f1ad1-4d84-47c1-907b-1067850027dd,0e9a0ff3a8b64a2897ff4ba22c75c5f2,2,15,1.5,0,50,8,1,0,0,0,0,,1_009001,6,4,4,8,7,3,48,20,26,6
1_009005,breathShooter05,legendary,breathShooter,Archer,magical,model://ab57174b-c318-4685-b269-03fdb2b623e2,af8502d43add42bfb81d190d6c2d664f,61d1db5fdef442fc9820f689e71cf8a6,f3d715c719ac4abd95d05b0af320f12b,model://09af6cde-de0c-4b98-80e2-35cd2f57da09,0e9a0ff3a8b64a2897ff4ba22c75c5f2,2,15,1.5,0,50,8,3,10,0,0,0,,1_009001,6,4,4,10,7,3,90,20,26,5.3
1_010001,lightningWand01,normal,lightningWand,Magician,magical,model://f5310bdf-cb79-42dd-ab45-cd795b8dcc64,6963a6df7af648d1b7216bf550787a29,94cbc81f13ed462e8870cbc5a182c3fd,e97b8b30ca1c4c6aa7f96e7432b2a897,model://d97ea9aa-c828-433f-9ef2-0da59ad86f11,4b6c2ef3bf2443e59fb233fa8b54f0c9,4,10,2,0,50,6,3,0,0,0,0.2,,1_010001,3,2,0,8,8,6,8,13.9,19.5,0.66
1_010002,lightningWand02,rare,lightningWand,Magician,magical,model://f5310bdf-cb79-42dd-ab45-cd795b8dcc64,c16856ead13b4924912e9d6a7c0ca362,3d968cd800e24d51a209b8548473ad69,785dde0eb5d844978745c1905e009355,model://e7730311-5122-4385-a67f-8d7a0937587a,4b6c2ef3bf2443e59fb233fa8b54f0c9,4,10,2,0,50,6,3,0,0,0,0.2,,1_010001,3,2,0,9,8,6,10,13.9,19.5,0.95
1_010003,lightningWand03,epic,lightningWand,Magician,magical,model://f5310bdf-cb79-42dd-ab45-cd795b8dcc64,8ea25491878246e599bf5bb2c5e211ee,df4fd2eff8064889bd7ff897a341beaf,e6705c7e03fb48afb8de4a103d9a1ff0,model://09079bcd-7be8-4922-918b-da72a55bd8d0,4b6c2ef3bf2443e59fb233fa8b54f0c9,3,10,2,0,50,6,3,0,0,0,0.2,,1_010001,3,2,0,9,8,6,28,13.9,19.5,1.1
1_010004,lightningWand04,unique,lightningWand,Magician,magical,model://f5310bdf-cb79-42dd-ab45-cd795b8dcc64,a5c41a8af8c942e1be8da5eb7237ce32,c5683c6f4d764b6bb8346d5f9c3f1697,c8415d8879174af9aef882b6f94182e3,model://84fe2873-89a4-43a5-b492-4c94257586a3,4b6c2ef3bf2443e59fb233fa8b54f0c9,3,10,2,0,50,6,3,0,0,0,0.2,0.3,1_010001,3,2,3,9,8,6,65,15,19.5,1.9
1_010005,lightningWand05,legendary,lightningWand,Magician,magical,model://f5310bdf-cb79-42dd-ab45-cd795b8dcc64,97193284d14b400c8a0a6b82f85d2494,7f887eb1625349e496b06cdadacc5cc6,27affb6581df4715822966f0f2557208,model://00913881-023e-428b-88ed-b1d28cef5590,4b6c2ef3bf2443e59fb233fa8b54f0c9,3,10,2,0,50,6,5,0,0,0,0.2,0.3,1_010001,3,2,3,10,8,6,122,15,19.5,2.15
1_011001,soundShooter01,normal,soundShooter,Gunner,magical,model://6ce535f6-66f7-4fb3-8dc6-e8770463d858,f4bc386eb5bd40d680017787e44cc755,cd76374d7a844215a40bc426d4a8d183,6ce32f9f8ae44ba68b4c46c35b318247,model://2ab98a8b-9fce-49e3-931e-6a5a28a071ef,1b95f71ed1244da487ebaa26c4fdad82,4.5,20,1,0,50,8,3,40,0,0,0,,1_011001,6,1,5,7,5,6,6,11.8,15,1.5
1_011002,soundShooter02,rare,soundShooter,Gunner,magical,model://6ce535f6-66f7-4fb3-8dc6-e8770463d858,8e49e19ef6a646ce8fd7fa1ef3f85666,2292302806e14f7f81ff097556902f4f,44a0aac585834172ac5fd7db37241f7e,model://bd1a9482-f6d5-44ce-b59f-5b673199e6e0,1b95f71ed1244da487ebaa26c4fdad82,4.5,20,1,0,50,8,3,40,0,0,0,,1_011001,6,1,6,7,5,6,7,12.3,15,2.5
1_011003,soundShooter03,epic,soundShooter,Gunner,magical,model://6ce535f6-66f7-4fb3-8dc6-e8770463d858,2b13a0fdd5d14452aff32892892f16c8,73ebff76abd54deb89a32fc5a1b6d524,4727af0d9a7c43df866150c7d80745af,model://39bf3504-d4b8-4e99-999b-638dec1aa795,1b95f71ed1244da487ebaa26c4fdad82,4.5,20,1,0,50,8,3,40,0,0,0,,1_011001,6,1,7,7,5,6,20,12.3,15,4.2
1_011004,soundShooter04,unique,soundShooter,Gunner,magical,model://6ce535f6-66f7-4fb3-8dc6-e8770463d858,e8944ebfb1074898b1095aa3344db05d,6ad1d8e2369b4da7ba744682452e2e48,cfa84f6f271948a9b1fc50c6dac64d07,model://de401d96-6623-4be8-aca4-69aa040fab86,1b95f71ed1244da487ebaa26c4fdad82,3.5,20,1,0,50,8,3,40,0,0,0,,1_011001,6,2,7,7,5,6,45,12.3,15,3.6
1_011005,soundShooter05,legendary,soundShooter,Gunner,magical,model://6ce535f6-66f7-4fb3-8dc6-e8770463d858,363b1c1af0014e41b64d07b61b6b7dc2,441b9dcfc51d4c449e42a3bb2b84480c,31af0e3ff7c240dbabb82488cea31955,model://8b1e4e45-7c8b-4f10-bc03-71a8b3cf8a24,1b95f71ed1244da487ebaa26c4fdad82,3.5,20,1,0,50,8,5,40,0,0,0,,1_011001,6,2,7,9,5,6,85,12.3,15,4.8
1_012001,chessPiece01,normal,chessPiece,Magician,magical,model://d351e07f-b273-401a-adf4-7e5e9e53652f,abe23d56e34746bbbae2df4984addd7a,a30f5c22d18e46bcb2cceadcf0d6d503,cdc1467114ff4aee93034acd464b7ca0,model://da6ba7de-af7a-4fde-802f-a5687ae17852,a4a8b08069784ebaa55a84e59be6d78a,4,8,1.5,0,50,6,3,0,0,0,0.1,,1_012001,3,2,0,8,2,6,12,35,42,1.5
1_012002,chessPiece02,rare,chessPiece,Magician,magical,model://d351e07f-b273-401a-adf4-7e5e9e53652f,772777059bbd473698ac5cb40911bf10,1dcb7e73288441b4bc8406b7c0e07b24,99cd1ad151b14e7db6a281e0bd68ac62,model://0919fffe-345e-4c22-9738-6747ef29c660,a4a8b08069784ebaa55a84e59be6d78a,4,8,1.5,0,50,6,3,0,0,0,0.1,,1_012001,3,2,0,9,2,6,14,35,42,2.05
1_012003,chessPiece03,epic,chessPiece,Magician,magical,model://d351e07f-b273-401a-adf4-7e5e9e53652f,14f8d3969e64490b8570bdedf31f5693,112c027aaec548f6aca4befa107299c5,e76bb5df4593487580958e81d35b2c2f,model://ed312d2b-736e-460a-82e7-4884ca5a4f1c,a4a8b08069784ebaa55a84e59be6d78a,4,8,1.5,0,50,6,5,0,0,0,0.1,,1_012001,3,2,0,9,3,6,42,35,42,1.85
1_012004,chessPiece04,unique,chessPiece,Magician,magical,model://d351e07f-b273-401a-adf4-7e5e9e53652f,6872eaa733fb4b15b77c8c551f23116c,912221bd29314d408fdfeedac93ebe28,b3c52f7d07ea47b59daaaa6a36e0cfc4,model://0420999b-ea78-4bec-a71f-541f047e51ba,a4a8b08069784ebaa55a84e59be6d78a,4,8,1.5,0,50,6,5,0,0,0,0.1,,1_012001,3,2,0,10,3,6,96,36,42,1.7
1_012005,chessPiece05,legendary,chessPiece,Magician,magical,model://d351e07f-b273-401a-adf4-7e5e9e53652f,1b8ea969a89e43948f8931d23cde2505,f408ae4c5a754827a20c382ade915cfd,0015a74a45ce43ca969087f566ebc1e1,model://a5031514-3df6-4d20-ac36-b129e8aea8e2,a4a8b08069784ebaa55a84e59be6d78a,4,8,1.5,0,50,6,5,0,0,0,0.1,,1_012001,3,2,4,10,3,6,180,36,42,5.55
1_013001,hammer01,normal,hammer,Warrior,physical,model://59a8e0df-14aa-4b58-8b4f-8e1820cc1844,22a0ceac9d5c434889256a64a9d7cea8,749a81160dd64f1cbb2a51b1b204e065,6136f3b8d6114a7a8730273843e2240a,model://6fb92099-02b6-41c9-9f82-26ecd376d870,3ba089cf6f2d48d4992175cfa649e207,0.6,10,1,0,50,3.5,6,60,0,0,0,,1_013001,3,4,0,8,9,6,6,4,20,0.55
