id,name,model,type,skill,phase,attack,hp,criticalRate,criticalRatio,dieSound,firstEntranceStage,chapter,monsterType,thumbnail,thumbnailScale,thumbnailOffset,purpose,CircleRadius,ColliderOffset,exp,stand-ruid,move-ruid,attack-ruid,hit-ruid,die-ruid,speed,attackCoolTime,interval,stopMovingAfterSkillDuration,Scale,isSpeedy
EliteBoss_Sparkinstone Bugs,엘리트 돌돌 숲 벌레,model://14f31243-16bc-4989-96cc-6c0c30a0fc70,boss,75,100,44,50898,0.1,1.3,7f61308d96cf4ca3a926f04dc88dc346,3,1,,e204d3816a53463e8d5331a9a622f018,,0,common,0.27126,"(0.009, 0.291)",3,e204d3816a53463e8d5331a9a622f018,99401df3e6a8417382c77951393b8ad4,d69c23acfac54e49977d4745bc1b3686,04a7c2facdcc40bca898c0d782b2ad01,ae95e9e44d324963a18e3b14fbc7d4bb,2.3,4.5,4.5,0.5,2,
Ruins Guardian,유적 방어병,model://135a8939-b3fd-4b9c-bbf6-6d28a9d298f1,monster,,,26,304,0.1,1.3,f39833e049504018ad3cd5a8c8ee27b9,4,1,,,,,common,0.24475,"(0.006, 0.252)",3,189b70e9c3d947d68abc4848af165648,d82a3c6980dd4b079805b811c9a3c1ba,c7f0738e707e4b20a44e5b4e68b2fa13,db7a46a77c414c5194cfbc699243bcaf,417561c587fa4798aae6f80c63f68570,2.4,5,0.1,0.5,1,
Ruins Sentinel,유적 공격병,model://394d0780-3899-40c6-98d6-37fca681cf50,monster,,,30,449,0.1,1.3,aca9531d28514edb94eca7a74ea5267b,4,1,,,,,common,0.33016,"(0.052, 0.390)",3,26c2f519c0614a35ae4ebab377630cb5,254f7e84a6474edcb8b1daf7697608c2,ca9128049a72474b906c8c57812c34e2,b99ecf69f5ea498eb2822b0c2ca69273,6434d25964f644b790fc4b9081c810fa,1.6,5,0.1,0.5,1,
EliteBoss_Ruins Sentinel,엘리트 유적 공격병,model://7ab9500d-b806-4491-b0ab-6280fd3b35d9,boss,24,100,51,128792,0.1,1.3,aca9531d28514edb94eca7a74ea5267b,4,1,,26c2f519c0614a35ae4ebab377630cb5,,12,common,0.29123,"(0.000, 0.237)",3,26c2f519c0614a35ae4ebab377630cb5,254f7e84a6474edcb8b1daf7697608c2,ca9128049a72474b906c8c57812c34e2,b99ecf69f5ea498eb2822b0c2ca69273,6434d25964f644b790fc4b9081c810fa,2,8,8,0.5,2,
green_slime,초록 슬라임,model://0c22b3dd-547d-4300-9889-422d51069480,monster,,,69,350,0.1,1.3,4623a7a5a7de4e09891c3f0a70f6fb39,5,1,,,,,common,0.24475,"(-0.020, 0.191)",3,5043e341a9684087a77315d901f710ee,adb190f3717246b8b81d5bb042445a49,5441f7f7f50c43e289e7fdb223e442c0,a9c08013c7c2466ba42527517910cef0,4865396ea92b4ccfba6027af57a01a10,3,5,0.1,0.5,1,1
ribbon_pig,리본돼지,model://7d520e3e-3c8f-4398-b3d0-fe38e287708b,monster,,,80,490,0.1,1.3,0ada5ce336374b759b70b8ca195e2343,5,1,,,,,common,0.24475,"(-0.020, 0.191)",3,a280138f23894924ac0b1089c07017e9,d5dea693438e4ac787fda4aa6bb19b30,85a56300cf03486eadc918c138d60522,4286341c85b049859e10d775eb804071,d31953e0902a44dba6128e8d5fc11364,4,5,0.1,0.5,1,1
buggy,부기,model://666c4ef3-90c8-4cff-b5fb-952b7659ec78,monster,10,,41,622,0.1,1.3,a5131b7bc5334f4cbf95f3506d5f6422,5,1,range,,,,common,0.24475,"(-0.020, 0.191)",3,8952688496f748e8be6dd4f30e80a0d1,b04b2061526b4d98b85868194ba02fa3,525565736e9e4ef9843614f2ee6eeecd,22389fc1c7de4d2fb766f506fefad140,f90845ff037d45ff98055d89038ae56b,2,5,0.1,0.5,1,
snail_big,이끼달팽이,model://31a64095-7c71-43ff-850b-c85845614b4c,monster,9,,42,733,0.1,1.3,d99b722fa5544453a17622b5d2c95168,5,1,range,,,,common,0.24475,"(-0.020, 0.191)",3,a72a535fd6384da99ad88702069ce72b,323f6599761f47529ced3cca130a8b28,83bdb352419c4bda8513a3caa21c9892,d9e7826cdd1541449b5f1c2e7f1ea141,03c0609954b5462bb90d42a94510425b,2,5,0.1,0.5,1,
Sparrow,참새,model://f2456707-4740-4077-a489-96779fda2869,monster,13,,67,928,0.1,1.3,938add2d6ae04af29cc13df3d72c580c,6,1,range,,,,common,0.24475,"(-0.020, 0.500)",3,834b97fd6f9e446893ee5d15cd3dbcc7,4f20bcd7e0d2484f8691a7481fae5ff3,834b97fd6f9e446893ee5d15cd3dbcc7,a45f410ea04d4c7090d9f9e752a2ea64,768e7610108548a387acbcf338aed56d,3,5,0.1,0.5,1,
Thorny Bramble,뾰족 가시 나무,model://fb6c2c55-53c3-4e3a-a45e-cf236b1b1943,monster,,,64,819,0.1,1.3,adf7f2fbf4854fe6baa00a14a78ab875,6,1,,,,,common,0.34523,"(0.087, 0.417)",3,bd800e1bffc24071b88096a8de05de10,3135ec97241d4a7ca023538eef9c14ed,611a3266155f4c989d8d9f5d6747d87b,fcca929e1c5144439c23178c05c8f310,bf08ac2c7c1e40cb96cdf8b8b62776a5,1.6,5,0.1,0.5,1,
EliteBoss_Thorny Bramble,엘리트 뾰족 가시 나무,model://fca30e1e-cb24-42bb-9976-f837005a1a6c,boss,76,100,72,280017,0.1,1.3,adf7f2fbf4854fe6baa00a14a78ab875,6,1,,bd800e1bffc24071b88096a8de05de10,,0,common,0.34523,"(0.087, 0.417)",3,bd800e1bffc24071b88096a8de05de10,3135ec97241d4a7ca023538eef9c14ed,611a3266155f4c989d8d9f5d6747d87b,fcca929e1c5144439c23178c05c8f310,bf08ac2c7c1e40cb96cdf8b8b62776a5,2,3,3,0.5,2,
Forest Howlet,숲의 울음꾼,model://e1aa2d00-428e-417f-8be7-159f987fa4f2,monster,,,67,909,0.1,1.3,8e8575efe5104aed964f7ebed7a6a1b9,6,1,,,,,common,0.34523,"(0.087, 0.417)",3,96640fadb44f4cc490e786f6683b3bd7,a21189342b1746018bedf6c8dba9af13,cacc1211141944d9bf0c89c2912e723e,d8b57e0049e14200b3b0ae1e03cd72c6,d1806f97f08a48da8e771dfb889ebf3a,2.6,5,0.1,0.5,1,
Night Howlet,밤의 울음꾼,model://781cad83-12fe-4658-b638-9ad3575c1392,monster,,,62,1000,0.1,1.3,4d8ed3c9d2814edf8fa7f4bb36b9514c,6,1,,,,,common,0.34523,"(0.087, 0.417)",3,324dc4f210584e01a26be7c11917d6a3,47653e2903004d24a8dc0a4077a703e4,b4f706c9d2594deba0fdadabbb5961ec,11d90a6a9f0c4a27a9b8aaa5ac9578ee,34a326f1ca824bb3b4b92d6a7fc5e804,2.8,5,0.1,0.5,1,
Hay Bundle,지푸라기 뭉치,model://f90ff46a-05c4-4254-a6a5-285be40f7642,monster,,,79,1086,0.1,1.3,a67e696be6914743824bf2f8f15954c9,7,1,,,,,common,0.24678,"(-0.002, 0.455)",3,dbaa14957aa643b1bea18bf1462dbaa8,3b18851348b0412bb60e3c83f6a46942,78a1add05e804b2ca9520821c02da76c,9c46438cd630477d92832578b1cb897a,0c681a3b76014fbebe323bf7ed52824a,2,5,0.1,0.5,1,
Blue Spring Sprite,푸른 샘의 정령,model://8a443cf3-50b2-4934-a4e0-957b3eeb8084,monster,14,,77,1162,0.1,1.3,eac4de6c1f2c4f71b27868612682af96,8,1,range,,,,common,0.24475,"(-0.020, 0.500)",3,882af790938d427591cef1fce348e53e,3a4775167ab94ba8a997b3253dcaa925,8529c03d07c048a7bee0f6769ed2bb41,747412fef02d4795a6395574aa3760ca,e31322669bf1479897959dd00256ebbd,3,5,0.1,0.5,1,
EliteBoss_Blue Spring Sprite,엘리트 푸른 샘의 정령,model://84031430-cfd2-4450-9e28-aeabe6b867bc,boss,79,,87,451473,0.1,1.3,eac4de6c1f2c4f71b27868612682af96,8,1,,882af790938d427591cef1fce348e53e,,0,common,0.41007,"(0.038, 0.647)",3,882af790938d427591cef1fce348e53e,3a4775167ab94ba8a997b3253dcaa925,8529c03d07c048a7bee0f6769ed2bb41,747412fef02d4795a6395574aa3760ca,e31322669bf1479897959dd00256ebbd,2.3,4,4,0.5,2,
Dust Bundle,먼지 뭉치,model://e0cb7b9a-63ae-48c8-bcad-f8d29708573c,monster,,,90,1577,0.1,1.3,ea5cfe19a6d14405a51f1b4ea9440172,9,1,,,,,common,0.28536,"(0.000, 0.457)",3,76f36b4f2b11432bab8824538ecb115e,990a22a70f2042d781c64814fa60c0e5,7891de94fbb940b4968d9acf38dbd7c2,e1ef68f85d624abca9190b2faa9b89dc,57152833331f486aacab60ef825f3985,2.2,5,0.1,0.5,1,
EliteBoss_Dust Bundle,엘리트 먼지 뭉치,model://d7f76926-ddb5-499f-a956-e0575c632ef9,boss,77,,80,248954,0.1,1.3,ea5cfe19a6d14405a51f1b4ea9440172,7,1,,76f36b4f2b11432bab8824538ecb115e,,,common,0.21091,"(0.004, 0.463)",3,76f36b4f2b11432bab8824538ecb115e,990a22a70f2042d781c64814fa60c0e5,7891de94fbb940b4968d9acf38dbd7c2,e1ef68f85d624abca9190b2faa9b89dc,57152833331f486aacab60ef825f3985,2.3,4,4,0.5,2,
Forest Glimmerfox,숲의 파수꾼,model://3cc74644-be39-41e3-9857-d0575997443b,monster,,,104,1580,0.1,1.3,8cda47fa1e8248f8ae62283a361af7ef,9,1,,,,,common,0.34523,"(-0.032, 0.307)",3,6f65c81b1cb744c8981e0271bc28831e,70ba229ac6a945d5846ad7c9f97c1c85,005c1a4535484dbba1a7c6c8e2ac08d5,4bd48d8f8fc44a989c59d9baaf98641a,f9e74a2eb10e407598ddaa995d8a202b,2.4,5,0.1,0.5,1,
Night Glimmerfox,밤의 파수꾼,model://9ff155f3-d381-4c5c-a390-cdc48e1bffd7,monster,,,81,1634,0.1,1.3,36b44b4077fc47b5bd25f500aa08c3a4,10,1,,,,,common,0.34523,"(-0.022, 0.335)",3,63c819f85ea84890bc4e015ee388bbc5,fd72892e20c2417ca9df74835a28816d,138e9107db694c2aa485b41a0eaae0ce,1fa6c5da264f46ddb60158743eaaae21,7a6d18ca704f48d183cd267bacdab95f,2.8,5,0.1,0.5,1,
EliteBoss_Night Glimmerfox,엘리트 밤의 파수꾼,model://87205a40-b476-4e46-b32f-3a0c0666c377,boss,80,,97,451824,0.1,1.3,36b44b4077fc47b5bd25f500aa08c3a4,9,1,,63c819f85ea84890bc4e015ee388bbc5,,,common,0.32001,"(-0.015, 0.300)",3,63c819f85ea84890bc4e015ee388bbc5,fd72892e20c2417ca9df74835a28816d,138e9107db694c2aa485b41a0eaae0ce,1fa6c5da264f46ddb60158743eaaae21,7a6d18ca704f48d183cd267bacdab95f,2.3,5,5,0.5,2,
Deep Spring Sprite,깊은 샘의 정령,model://34296f41-ed14-4c1e-83e4-591b4419957d,monster,15,,81,2109,0.1,1.3,774e2e93736c4b4685560055feca6d3e,10,1,range,,,,common,0.24475,"(-0.020, 0.500)",3,25492d6e77ee486e9360e66e01c2d0d6,c30a70b3b97540a9a8dcdbc52fbf36fc,1b0b5e1cdcf5480ca9d025807f3b7b08,09d5fab357fa488ab4bd5ac07b4d24fb,e223f0067648444099395865ef0c30fe,3,5,0.1,0.5,1,
Boss_slime,보스 - 변형된 슬라임,model://4232bc06-dc7c-4c51-8d08-0b5677ea5411,boss,1_2_4_5/1_4_5/1_2_4_5,100/50/20,62,220959,0.1,1.3,aac446a979e54f3cbe81274561fd62e3,5,1,,469029a5272a4b6d8cc26e1394824d13,,-25,common,0.625,"(-0.004, 0.427)",3,469029a5272a4b6d8cc26e1394824d13,efd954aee2d2487a8a312cbbce7fbfaa,913415f34ec24e0c9f3d95e77b2808d3,8b48d4a1a8a345b1a59f6836f072254a,f90b53fda8d244e79a29b97b25632afd,1,5,5,0.5,2,
RAID_Boss_slime,(레이드 보스) 변형된 슬라임,model://4232bc06-dc7c-4c51-8d08-0b5677ea5411,boss,1_2_3/2_3_4/3_2,100/50/20,95,810000,0.1,1.3,aac446a979e54f3cbe81274561fd62e3,5,1,,469029a5272a4b6d8cc26e1394824d13,,,abnormal,0.625,"(-0.004, 0.427)",3,469029a5272a4b6d8cc26e1394824d13,efd954aee2d2487a8a312cbbce7fbfaa,913415f34ec24e0c9f3d95e77b2808d3,8b48d4a1a8a345b1a59f6836f072254a,f90b53fda8d244e79a29b97b25632afd,1,5,5,0.5,2,
Small Spider,아기 거미,model://e264d8e5-3a0b-4139-b825-2687028c70c8,monster,,,109.5,2565,0.1,1.3,92263fdd559841f9ab7944597ddf7ae5,10,1,,,,,abnormal,0.24475,"(-0.020, 0.191)",3,a5f2b2080ee0421e844de84765a70ca6,871a8cc07f2441c5a5e77d6b0f639f66,ddf00455b8174dbabc0dce05fddaea92,4c5e0c1001f049e0a787d34dcd7179be,fe34d5889cf841358c52982c9e17e4e2,2,3,0.1,0.5,1,
Boss_Giant Spider,보스 - 거대 거미,model://9ecfd0bd-4ff2-44e1-a096-93301807a3c2,boss,16_18_17/19_16_17_18/18_16_17_19_18,100/70/35,86,1118052,0.1,1.3,7eaf05dba84742a4af888c61ed8b40a3,10,1,,3e2ecc3370554ee783351170f07947dd,,-30,common,0.6,"(0.000, 0.420)",3,3e2ecc3370554ee783351170f07947dd,f3bcb24be7cd4dfeb869ade23b174333,eb60f187d9744700ad7d25ec6069e810,f91b6dd34f6140d2ad18909fb751d18d,a370a4b96a914596882195d0855cbb1d,1,5,5,0.5,3,
White Desert Rabbit,흰 모래토끼,model://fb0884cb-8878-48c2-aca8-b6bd91222296,monster,36,,178,2692,0.1,1.3,84f8de5b88d3452fb98c6fdb0237a26a,1,2,range,,,,common,0.20615,"(-0.012, 0.198)",3,981c64ae30bd4f98aef886e9314d8e64,1eaee5c96fec4a07afdf902b96e3a0d8,971f0209fc1245b3b755dd250c5a836d,e77fd0ddfcc44f02af01fd4eb2e9ff97,8e58798019c74928a99bfcbb9054a744,2.6,5,0.1,0.5,1,
Monster_Dark Sand Dwarf,붉은 모래난쟁이,model://c0745f70-847e-4de4-8b99-53b531d476cb,monster,,,170,2737,0.1,1.3,9dfbbda45ad241e58e06c23342d429ba,1,2,,,,,common,0.32402,"(0.040, 0.347)",3,52a2f53720f54758bd1c081d42898aa9,65b83855ff0f412487911b6c0ea9bc24,0c9ae1646b884ffa8f071735ad20941e,162b7cd5def94d76a4eabc8aa7ddb0f5,831c113dbe1d4947928ca5db0e25c850,2,5,0.1,0.5,1,
Mysterious Desert Soldier,정체모를 사막병사,model://eed9043b-f2e4-4fcb-bb7e-3a22d57c07f8,monster,,,310,1840,0.1,1.3,3afda2cbc7de47f183ec13c7686b0cd6,1,2,,,,,common,0.24475,"(0.002, 0.291)",3,d88dd47c05134a798d6672510d2de441,07a3d943f63b45d3968120dd2e8ba4b9,34b105275f0647378930269096e195ff,ade19df9f6b84260a7801c2bd3ddb596,5c0db036e53e40e0ba80119f3fee236d,3.5,5,0.1,0.5,1,1
EliteBoss_White Desert Rabbit,엘리트 흰 모래토끼,model://13828fd4-afb6-46d8-b71e-8a149a77d11f,boss,29,,135,858707,0.1,1.3,84f8de5b88d3452fb98c6fdb0237a26a,1,2,,981c64ae30bd4f98aef886e9314d8e64,,0,common,0.2825,"(-0.034, 0.309)",3,981c64ae30bd4f98aef886e9314d8e64,1eaee5c96fec4a07afdf902b96e3a0d8,971f0209fc1245b3b755dd250c5a836d,e77fd0ddfcc44f02af01fd4eb2e9ff97,8e58798019c74928a99bfcbb9054a744,2,6,6,0.5,1.5,
Undead Scorpion,부패된 사막전갈,model://df9835aa-251d-4780-bd8f-805ec176ccc5,monster,,,166,3063,0.1,1.3,de7206b55ef54c978bfd926940775a78,2,2,,,,,common,0.25971,"(-0.009, 0.236)",3,6f60b287e80048d5ad8613e6c8251c9c,a76bde3f05fd4a4794b87b49c73d4f27,996dee2d0cec49c3b613f85acb7283f5,1dfe324cc9044cba9122e16a7539d3e3,390a36fba46b4161a017f104003c5b87,3,4,0.1,0.5,1,
Desert Mush,사막달팽이,model://39849479-422c-4238-a6c3-04d85fc05bce,monster,,,166,3261,0.1,1.3,7607579f4d00415fa18d2554390f1d7d,2,2,,,,,common,0.3325,"(0.048, 0.347)",3,6e38239da625488f9a9a26cf82039c2c,9b1e060db61c4a8396a3e3ce23effaf6,98d99580c0804afc94a29b55a45fb97a,05dfa41a55c747ddb67f107f674b90d4,9950f0109b974ce2842f701a1d107512,2,5,0.1,0.5,1,
Homunscullo,호문스큘러,model://f2e30f6e-79f5-4de8-b8f5-27f8fac9e0f9,monster,,,320,2200,0.1,1.3,67e4ab18ea9d48d7b4dff58d2b877c7f,2,2,,,,,common,0.33876,"(-0.043, 0.566)",3,94a782f4bde04b29a828bd333941533f,b01e93f882044cd8bb1d63ad5927cb76,1794d18ebc0c4b2eab1cba4bca7a38d9,73ef47a82eeb4759a88eabf4ba1f249b,bce82d36675d4feb85c13f1e522b0285,3.8,5,0.1,0.5,1,1
EliteBoss_Dark Sand Dwarf,엘리트 붉은 모래난쟁이,model://bb14f579-2875-4fac-a986-852145fb2995,boss,30,,175,935425,0.1,1.3,9dfbbda45ad241e58e06c23342d429ba,2,2,,52a2f53720f54758bd1c081d42898aa9,,0,common,0.2825,"(-0.034, 0.309)",3,52a2f53720f54758bd1c081d42898aa9,65b83855ff0f412487911b6c0ea9bc24,0c9ae1646b884ffa8f071735ad20941e,162b7cd5def94d76a4eabc8aa7ddb0f5,831c113dbe1d4947928ca5db0e25c850,2,4,4,0.5,1.5,
Gale Fox,돌풍여우,model://96e20099-1c74-4263-a475-3674714c2af5,monster,35,,182,3957,0.1,1.3,211de9cacc7f4f6098d8af8e71e797ad,3,2,range,,,,common,0.36556,"(-0.025, 0.631)",3,f5e791ff8511450f99f1a1d3c5423652,0d384daa03c34466aa0870bf768a369e,41dfe2669c924beb934d945b0471b3e2,6ac5ce70147147b7bde4d480f55ffb21,a69f0218fc4d4d2ebf6557ea5092a446,2,5,0.1,0.5,0.885,
Ferocious Gale Fox,사나운 돌풍여우,model://1c663e75-0f3c-4c0f-acd7-114fa6fe25ea,monster,,,198,4180,0.1,1.3,722b228ec8794c10b2f7da338e29a6a1,3,2,,,,,common,0.31279,"(-0.022, 0.607)",3,6a7a5d3028c6424dbbdd858a491fc4e5,cfc3a245c966451595467e6e6a9c5062,6aef86d7dd0b4bb489615409982da500,a2206bc3e0aa43b1b36f74e052bd2466,1c111a053ade4111ad29fed521025d23,2,5,0.1,0.5,1,
Sand Tortoise,모래벌레,model://5ffd7d58-ecd8-442a-9599-cb10f8c13080,monster,,,340,2800,0.1,1.3,a99b6e93ebe04adfb4485e6e852993af,3,2,,,,,common,0.26471,"(-0.019, 0.326)",3,74977cd6d5fb4d97b1a94beb721e50cf,c0d815855508490bbf0dec65a1ebca18,9ea322f56c984c459516af32a24016d1,0c9c2bf1e5ed46d1a4fad2aa1e421216,7b5525a9aa31457c8a607d7212b6405a,3.7,5,0.1,0.5,1,1
EliteBoss_Mysterious Desert Soldier,엘리트 정체모를 사막병사,model://4d3fad94-5456-4642-8a30-7f6d0ba0a253,boss,34,,222,959554,0.1,1.3,722b228ec8794c10b2f7da338e29a6a1,3,2,,d88dd47c05134a798d6672510d2de441,,0,common,0.2825,"(-0.034, 0.309)",3,d88dd47c05134a798d6672510d2de441,07a3d943f63b45d3968120dd2e8ba4b9,34b105275f0647378930269096e195ff,ade19df9f6b84260a7801c2bd3ddb596,5c0db036e53e40e0ba80119f3fee236d,2,6,2,0.5,1.5,
Crystal Sand Tortoise,크리스탈 모래벌레,model://f3bbf4d8-07eb-401f-ade2-5ea6a9521f84,monster,39,,165,5357,0.1,1.3,395cfbff15ae4a07b2722e17d34ba1d6,4,2,range,,,,common,0.25099,"(-0.004, 0.327)",3,ce7cae6f14d34d80b46444c78d6be1b3,9a866b2095884d149d68feb6b87ecddc,43abc727c1d1423398694feb7f4b5065,d5d14ad16faa4985940c62e3188f583e,c88ed483f0bf40ce91a3b6912f68695c,2,5,0.1,0.5,1,
Crystal Hermit Crab,크리스탈 소라게,model://a11ca5fa-f46e-4bd9-a505-357646c0a0ba,monster,,,171,4762,0.1,1.3,0b8d4f993215445fa15de5c31cc9ffe8,4,2,,,,,common,0.51777,"(-0.048, 0.529)",3,5232e8eb0772428787c2d874f6595d5b,5d8c238055d4419cb11b4c45e81e0b9d,274c7f317a3a482191320c1856f5724d,926ce4e1cd70452aa76340ec150b7b9b,b10d30968f2c458d9785215990f20ed4,2,5,0.1,0.5,0.9,
EliteBoss_Undead Scorpion,엘리트 부패된 사막전갈,model://d84d2347-817d-40ac-994c-ce6ae988cc20,boss,31,,245,1087433,0.1,1.3,722b228ec8794c10b2f7da338e29a6a1,4,2,,6f60b287e80048d5ad8613e6c8251c9c,,0,common,0.2825,"(-0.034, 0.309)",3,6f60b287e80048d5ad8613e6c8251c9c,996dee2d0cec49c3b613f85acb7283f5,996dee2d0cec49c3b613f85acb7283f5,1dfe324cc9044cba9122e16a7539d3e3,390a36fba46b4161a017f104003c5b87,2,6,2,0.5,1.5,
Bomber Hermit Crab,폭발 소라게,model://503a63b1-5178-4117-a7fd-1b1d22ec0542,monster,,,162,5053,0.1,1.3,5b1d1def94024884902e74392c82b7e5,5,2,,,,,common,0.47006,"(-0.060, 0.545)",3,c938173f08d94b83a939eeb8c9bb9cfd,454133eb91b944258375e0976816837a,2074c3e7b7df46f19a96b25126f95dac,72573d3c43fd45768c11dbe7246125b9,cdf0dd3bea854fa2995e6bf90c527749,2,5,0.1,0.5,0.9,
Sand Helm,모래 투구,model://c9fdf418-1866-4d89-a6b1-4edb6db36386,monster,,,174,5174,0.1,1.3,7f060bc502144b26b899eddd03037612,5,2,,,,,common,0.36038,"(0.063, 0.382)",3,16823c2a1bcc4576ad5e42747822c548,f6857943103b4e6daef2187d131a0a87,906374a4401a42719321822550945f83,3a868243435248a8a3b98b88439d9842,f2f1cc4df2b149e99b907fcf7bf30899,2,5,0.1,0.5,1,
Sand Armor,모래 갑옷,model://31d91c8c-0ac2-4fc0-82d2-1a779b4f3535,monster,,,212,6688,0.1,1.3,851b15faf5c6457782ac52e3a601a79b,6,2,,,,,common,0.33707,"(-0.036, 0.350)",3,78361cff87e44f56a13b3e40189c7242,85b2926450ef4a3ca378898880a954ca,e5d0d28d846e4ddebde8fbed9cc06c0c,b1f305b2baeb48038d4a6f46da5be2e8,b1fcca3b25da493ea50c0974e799588d,2,5,0.1,0.5,1,
