id,name,attack,hp,exp,minGem,maxGem,type,dropId,monsterLevel,fieldSpeedRatio,firstEntranceSectionNum,firstEntranceDropEssenceId,Chapter,originalHP
EliteBoss_Mr. Alli,엘리트 게비알,7575,309337045,1415,42,85,boss,900038,138,0.54,12,105_000007,3,6082172
Gold Captain,골드 캡틴,5050,31677796,286,38,75,monster,900006,139,0.54,0,105_000007,3,40816
Pirate King Barbosa,해적왕 바르보사,5250,29560721,295,37,75,monster,900006,142,0.55,16,105_000007,3,41761
Archer Mini Murr,궁수 미니무르,5250,31056547,295,37,75,monster,900006,142,0.55,17,105_000007,3,44106
Thief Mini Murr,도적 미니무르,5250,27994079,297,37,74,monster,900006,143,0.55,13,105_000007,3,31660
Warrior Mini Murr,전사 미니무르,5450,34794514,300,38,75,monster,900006,144,0.55,0,105_000007,3,45233
EliteBoss_Gold Captain,엘리트 골드 캡틴,8175,323602520,1515,43,85,boss,900039,145,0.56,16,105_000007,3,6538780
Mean Mini Murr,얄미운 미니무르,5450,31160148,306,37,75,monster,900006,146,0.56,13,105_000007,3,48807
Magician Mini Murr,마법사 미니무르,5650,32032269,309,38,75,monster,900006,147,0.56,17,105_000007,3,47913
Pirate Mini Murr,해적 미니무르,5650,31853783,312,38,75,monster,900006,148,0.56,18,105_000007,3,47317
EliteBoss_Warrior Mini Murr,엘리트 전사 미니무르,8775,335757780,1590,43,85,boss,900040,150,0.56,18,105_000007,3,6456358
MovingRobot,이동형 연습 로봇,5850,38197272,557,38,76,monster,900007,151,0.57,0,105_000008,4,33100
PollutedTrainingRobot,오염된 연습 로봇,6250,38923776,568,38,76,monster,900007,153,0.57,11,105_000008,4,50918
Military robot,감시로봇,6650,36243030,579,38,76,monster,900007,155,0.57,11,105_000008,4,52580
RobotaB,훈련 로봇 b,6650,36580137,585,38,76,monster,900007,156,0.57,13,105_000008,4,53813
EliteBoss_MovingRobot,엘리트 이동형 연습 로봇,9975,405402586,2950,43,86,boss,900041,157,0.57,6,105_000008,4,7260407
Toy Trojan,장난감 목마,7050,38739011,607,38,76,monster,900007,160,0.58,13,105_000008,4,58338
Porcupine,가시도치,7850,39431333,636,38,76,monster,900007,165,0.58,0,105_000008,4,54517
EliteBoss_Porcupine,엘리트 가시도치,12375,405486339,3265,43,86,boss,900042,168,0.58,14,105_000008,4,7625370
LiquidTrash,액체 폐기물,8650,47864361,671,38,77,monster,900007,171,0.58,12,105_000008,4,57080
Nutria,뉴트리아,9450,48348130,706,38,77,monster,900007,177,0.59,0,105_000008,4,55569
SafetyRobotW,경비 로봇 W,9850,53281543,724,39,77,monster,900007,180,0.59,15,105_000008,4,59122
EliteBoss_Nutria,엘리트 뉴트리아,14775,548495351,3620,44,87,boss,900043,180,0.59,12,105_000008,4,9451308
SentryRobotd278,경비 로봇 278,10250,50308460,743,39,77,monster,900007,183,0.59,15,105_000008,4,59453
RepairRobot,수리 로봇,11050,52484661,773,39,77,monster,900007,188,0.59,15,105_000008,4,61432
SentryRobot,강화된 내부 경비 로봇,11450,52601046,792,39,77,monster,900007,191,0.6,16,105_000008,4,70400
EliteBoss_RepairRobot,엘리트 수리 로봇,17175,551813707,3990,44,87,boss,900044,192,0.6,16,105_000008,4,11080746
Deep Buffoon,딥 버푼,11850,56261518,817,39,78,monster,900008,195,0.6,8,105_000009,4,73397
OutsideSentryRobot,강화된 외부 경비 로봇,12250,58201804,830,39,78,monster,900008,197,0.6,8,105_000009,4,68321
SentryRobotSM,경비 로봇 SM,12650,72528947,861,39,79,monster,900008,202,0.6,9,105_000009,4,69378
EmergencyRobotL,비상용 경비 로봇 L,13050,69351894,874,39,78,monster,900008,204,0.61,0,105_000009,4,72412
EliteBoss_EmergencyRobotL,엘리트 비상용 경비 로봇 L,20175,650003903,4500,44,88,boss,900045,208,0.61,9,105_000009,4,14240721
Raccoon,라쿤,14250,73642358,939,39,79,monster,900008,214,0.61,0,105_000009,4,52200
CartBear,카트 베어,14650,69009472,952,39,78,monster,900008,216,0.61,7,105_000009,4,78042
EliteBoss_Raccoon,엘리트 라쿤,22575,824427633,4895,45,89,boss,900046,220,0.61,7,105_000009,4,13779682
ChickenRobot,순찰 로봇,15450,84719546,992,40,79,monster,900008,222,0.62,3,105_000009,4,78184
ChickenRobotS,순찰 로봇 S,15450,74931723,1006,39,79,monster,900008,224,0.62,3,105_000009,4,78625
PurpleHippo,퍼플 에머시,16250,87624389,1033,40,79,monster,900008,228,0.62,1,105_000009,4,58900
ShiningGold,샤이닝 골드,16250,85847990,1040,40,79,monster,900008,229,0.62,2,105_000009,4,81274
EliteBoss_ShiningGold,엘리트 샤이닝 골드,24975,922229350,5300,45,90,boss,900047,232,0.63,1,105_000009,4,14109370
Generoid Type B,합금 제네로이드 b,17050,87729022,1074,40,79,monster,900008,234,0.63,4,105_000009,4,72440
Metal Generoid Type A,고철 제네로이드 A,17450,85593143,1095,40,79,monster,900008,237,0.63,5,105_000009,4,84878
Generoid,제네로이드,17450,87851882,1102,40,79,monster,900008,238,0.63,4,105_000009,4,103545
EliteBoss_Metal Generoid Type A,엘리트 고철 제네로이드 A,26775,1026926464,5575,45,90,boss,900048,240,0.63,5,105_000009,4,14762346
Junior Boogie,주니어부기,17850,99088519,1295,40,80,monster,900009,241,0.64,13,105_000010,5,67800
EliteBoss_Junior Boogie,엘리트 주니어부기,30090,954146796,6650,45,90,boss,900049,245,0.64,12,105_000010,5,17877350
Yellow HoppingJelly,옐로뿅뿅젤리,20060,106811190,1347,40,80,monster,900009,247,0.64,12,105_000010,5,115010
Blue HoppingJelly,블루뿅뿅젤리,21165,102895322,1373,40,80,monster,900009,250,0.64,8,105_000010,5,118803
Red HoppingJelly,레드뿅뿅젤리,23375,119825258,1409,40,81,monster,900009,254,0.64,11,105_000010,5,121235
EliteBoss_RedHoppingJelly,엘리트 레드뿅뿅젤리,36720,1205002778,7175,45,91,boss,900050,257,0.65,15,105_000010,5,20342150
GreenBubbleTea,그린 버블티,25585,108859026,1462,40,80,monster,900009,260,0.65,9,105_000010,5,123976
YellowBubbleTea,옐로우 버블티,26690,122727724,1498,40,81,monster,900009,264,0.65,0,105_000010,5,131513
RedBubbleTea,레드 버블티,27795,110409757,1516,40,80,monster,900009,266,0.65,9,105_000010,5,130449
EliteBoss_YellowBubbleTea,엘리트 옐로우 버블티,43350,1375760040,7765,46,91,boss,900051,270,0.66,7,105_000010,5,21590021
Colabear,밸리베어,31110,132498496,1618,41,81,monster,900009,277,0.66,11,105_000010,5,115633
EliteBoss_Colabear,엘리트 밸리베어,49980,1450715453,8325,46,92,boss,900052,282,0.66,8,105_000010,5,18655700
Cube Slime,큐브슬라임,34425,137922116,1693,41,81,monster,900010,285,0.66,6,105_000011,5,126631
Party Punk Cube Slime,한겨울의 큐브슬라임,35530,138575184,1713,41,81,monster,900010,287,0.66,6,105_000011,5,128990
Soda Flavor Jelly Juice,소다맛 젤리주스,35530,136960799,1722,41,81,monster,900010,288,0.67,7,105_000011,5,133661
Grape Flavor Jelly Juice,포도맛 젤리주스,35530,155670228,1741,41,82,monster,900010,290,0.67,0,105_000011,5,136473
EliteBoss_Grape Flavor Jelly Juice,엘리트 포도맛 젤리주스,56610,1662910428,8950,46,92,boss,900053,295,0.67,10,105_000011,5,40104645
Canterbear,마몬,38845,157200509,1809,41,82,monster,900010,297,0.67,3,105_000011,5,172612
Star Pixie,스타픽시,38845,142366204,1819,41,82,monster,900010,298,0.67,3,105_000011,5,147140
PinkBean,핑크빈,39950,142226394,1838,41,82,monster,900010,300,0.68,0,105_000011,5,210174
SmileCookie,스마 진저맨,39950,166416717,1848,41,82,monster,900010,301,0.68,4,105_000011,5,196143
BirthdayCake,메이플 생일케이크,41055,156571553,1868,41,82,monster,900010,303,0.68,4,105_000011,5,215433
EliteBoss_PinkBean,엘리트 핑크빈,61583,1509143572,9340,46,92,boss,900054,303,0.68,3,105_000011,5,39386913
ChristmasCake,크리스마스 케이크,41055,178062701,1888,41,83,monster,900010,305,0.69,4,105_000011,5,219917
Chestnut mouse,밤도둑 서생원,42160,163189001,1917,41,82,monster,900010,308,0.69,0,105_000011,5,203677
Silk mouse,비단도둑 서생원,43265,157903886,1937,41,82,monster,900010,310,0.69,2,105_000011,5,221045
Pear mouse,배도둑 서생원,43265,171575310,1947,41,82,monster,900010,311,0.69,2,105_000011,5,221602
Rice mouse,쌀도둑 서생원,44370,167711186,1967,41,82,monster,900010,313,0.69,2,105_000011,5,229134
EliteBoss_Rice mouse,엘리트 쌀도둑 서생원,68213,1621729300,9990,46,92,boss,900055,316,0.7,2,105_000011,5,40883040
Pink Teddy,핑크테니,48790,192223973,2079,41,83,monster,900010,324,0.7,1,105_000011,5,171680
Enraged Espresso Machine,증기뿜는 커피머신,48790,197020579,2090,41,83,monster,900010,325,0.7,5,105_000011,5,232353
Yabber Doo,판스,48790,190459597,2100,41,83,monster,900010,326,0.7,1,105_000011,5,232213
Chocolate Syrup,초코시럽,49895,179757869,2110,41,83,monster,900010,327,0.7,0,105_000011,5,243112
EliteBoss_Chocolate Syrup,엘리트 초코시럽,76500,2034403656,10705,47,93,boss,900056,330,0.71,5,105_000011,5,41946890
OrangeMushroom,한겨울의 주황버섯,51000,179684663,2883,41,83,monster,900011,331,0.71,9,105_000012,6,186000
WinterSlime,한겨울의 슬라임,51850,200253138,2912,42,83,monster,900011,333,0.71,0,105_000012,6,311018
WinterJuniorYeti,한겨울의 주니어 예티,52700,199863270,2972,42,83,monster,900011,337,0.71,3,105_000012,6,330100
EliteBoss_WinterSlime,엘리트 한겨울의 슬라임,79050,2017589456,14860,47,93,boss,900057,337,0.72,9,105_000012,6,49326181
Model_WinterYetiandPEPE,한겨울의 예티와 페페,53550,200340807,3017,42,83,monster,900011,340,0.72,14,105_000012,6,332206
WinterEvilEye,한겨울의 이블아이,54400,188058805,3047,41,83,monster,900012,342,0.72,2,105_000013,6,319546
Model_WinterOctopus,한겨울의 문어,55250,216258307,3078,42,83,monster,900012,344,0.72,0,105_000013,6,337622
Winterfennec,한겨울의 골든페넥,56100,217935250,3154,42,83,monster,900011,349,0.72,8,105_000012,6,314154
EliteBoss_WinterOctopus,엘리트 한겨울의 문어,84150,2261785258,15770,47,94,boss,900058,349,0.73,2,105_000013,6,56231250
WinterDoraji,한겨울의 도라지,57800,201244413,3247,42,83,monster,900011,355,0.73,0,105_000012,6,235210
Model_WinterRibbonPig,한겨울의 리본돼지,57800,232056264,3247,42,84,monster,900011,355,0.73,13,105_000012,6,352462
Model_Winter Axe Stump,한겨울의 엑스텀프,58650,230582278,3278,42,84,monster,900011,357,0.73,13,105_000012,6,344515
EliteBoss_WinterDoraji,엘리트 한겨울의 도라지,89250,2086975651,16705,47,93,boss,900059,361,0.73,8,105_000012,6,80285961
Model_WinterBirk,한겨울의 버크,60350,207645369,3357,42,83,monster,900011,362,0.74,14,105_000012,6,346138
WinterSnowMan,스노우맨,61200,232384636,3404,42,84,monster,900011,365,0.74,0,105_000012,6,457812
EliteBoss_WinterSnowMan,엘리트 스노우맨,93075,2417414799,17340,47,94,boss,900060,369,0.74,14,105_000012,6,80181504
WinterCubeSlime,한겨울의 큐브슬라임,62900,242599904,3516,42,84,monster,900012,372,0.74,7,105_000013,6,356537
Winter Pink Teddy,한겨울의 핑크테니,63750,238521180,3564,42,84,monster,900012,375,0.75,7,105_000013,6,361492
WinterPinkbean,한겨울의 핑크빈,63750,266012922,3564,42,84,monster,900012,375,0.75,12,105_000013,6,372314
LostRudolph,길잃은 루돌프,64600,223792105,3596,42,83,monster,900012,377,0.75,12,105_000013,6,538248
WinterCastleGolem,한겨울의 캐슬골렘,64600,269550313,3613,42,84,monster,900012,378,0.75,7,105_000013,6,358832
GangsterRudolph,불량 루돌프,64600,224987338,3613,42,84,monster,900012,378,0.75,0,105_000013,6,547792
EliteBoss_GangsterRudolph,엘리트 불량 루돌프,98175,2699842265,18310,47,94,boss,900061,381,0.76,12,105_000013,6,85594931
WinterScubaPEPE,한겨울의 스쿠버페페,66300,242138453,3711,42,84,monster,900012,384,0.76,11,105_000013,6,369878
IcePiece,얼음조각,67150,284521477,3777,42,85,monster,900011,388,0.76,3,105_000012,6,166176
WinterPandabear,한겨울의 판다곰,68000,242748782,3810,42,84,monster,900012,390,0.76,10,105_000013,6,371966
Winter Dalgom,한겨울의 달곰,68850,255890801,3860,42,84,monster,900012,393,0.76,10,105_000013,6,417967
EliteBoss_IcePiece,엘리트 얼음조각,103275,2589113310,19300,47,94,boss,900062,393,0.77,11,105_000013,6,48700799
Stoneball,스톤볼,70550,287448932,3977,42,85,monster,900012,400,0.77,0,105_000013,6,136801
Murupa,무루파,71400,304604791,4028,42,85,monster,900012,403,0.77,6,105_000013,6,504994
Murumuru,무루무루,72250,300644856,4062,42,85,monster,900012,405,0.77,6,105_000013,6,348835
EliteBoss_Stoneball,엘리트 스톤볼,108375,2696310910,20310,47,94,boss,900063,405,0.78,6,105_000013,6,63927200
Winter Jr. Balrog,한겨울의 주니어발록,72250,283969499,4079,42,85,monster,900012,406,0.78,5,105_000013,6,403451
IceDrake,아이스 드레이크,73100,315796185,4114,42,85,monster,900012,408,0.78,5,105_000013,6,404281
WinterAngrySnowman,한겨울의 화난 눈사람,73950,281363686,4200,42,84,monster,900012,413,0.78,1,105_000013,6,447033
Winter GiantSnowman,한겨울의 거대눈사람,74800,285924808,4234,42,85,monster,900012,415,0.78,1,105_000013,6,430367
Ice Golem,아이스골렘,74800,320383254,4252,43,85,monster,900012,416,0.79,5,105_000013,6,518155
White Fang,화이트팽,75650,317223566,4269,43,85,monster,900012,417,0.79,1,105_000013,6,588542
IceMan,아이스맨,75650,300239770,4286,42,85,monster,900012,418,0.79,1,105_000013,6,411980
EliteBoss_Ice Golem,엘리트 아이스골렘,114750,2952704031,21605,47,95,boss,900064,420,0.79,5,105_000013,6,79828395
Eye of Temple,시간의 눈,76500,294327572,6352,42,85,monster,900013,421,0.79,14,105_000014,7,370000
Monk of Memory,추억의 사제,79900,338504771,6461,43,85,monster,900013,425,0.8,13,105_000014,7,615058
EliteBoss_Eye of Temple,엘리트 시간의 눈,119850,2840443702,32440,47,95,boss,900065,426,0.8,14,105_000014,7,99352451
Pontiff of Memory,추억의 신관,81600,311955174,6598,42,85,monster,900013,430,0.8,10,105_000014,7,626491
Tauromacis,타우로마시스,83300,296325361,6681,42,85,monster,900013,433,0.8,0,105_000014,7,619173
Guardian of Memory,추억의 수호병,86700,331838461,6821,43,85,monster,900013,438,0.81,5,105_000014,7,648452
EliteBoss_Tauromacis,엘리트 타우로마시스,130050,3233080535,34105,48,95,boss,900066,438,0.81,11,105_000014,7,106560397
BIG Guardian of Memory,추억의 수호대장,90100,315592037,6962,42,85,monster,900013,443,0.81,0,105_000014,7,659615
EliteBoss_BIG Guardian of Memory,엘리트 추억의 수호대장,140250,3451895221,35660,48,95,boss,900067,449,0.81,5,105_000014,7,124771723
Monk of Regret,후회의 사제,96900,368482163,7305,43,86,monster,900013,455,0.81,0,105_000014,7,673961
Pontiff of Regret,후회의 신관,98600,389323004,7392,43,86,monster,900013,458,0.82,6,105_000014,7,679606
EliteBoss_Monk of Regret,엘리트 후회의 사제,150450,3854953901,37395,48,96,boss,900068,461,0.82,6,105_000014,7,138681764
BIG Guardian of Regret,후회의 수호대장,100300,363437352,7537,43,86,monster,900013,463,0.82,1,105_000014,7,684220
Guardian of Regret,후회의 수호병,103700,380766103,7655,43,86,monster,900013,467,0.82,1,105_000014,7,699616
Monk of oblivion,망각의 사제,103700,373241443,7685,43,86,monster,900014,468,0.82,2,105_000015,7,703481
Pontiff of oblivion,망각의 신관,105400,395911469,7744,43,86,monster,900014,470,0.83,2,105_000015,7,710245
Pontiff of Corruption,타락한 시간의 신관,105400,363227610,7803,43,86,monster,900014,472,0.83,0,105_000015,7,739393
Guardian of oblivion,망각의 수호병,107100,385669206,7893,43,86,monster,900014,475,0.83,3,105_000015,7,719426
BIG Guardian of oblivion,망각의 수호대장,108800,413892034,7953,43,86,monster,900014,477,0.83,3,105_000015,7,720791
EliteBoss_Pontiff of Corruption,엘리트 타락한 시간의 신관,163200,3546545300,39765,48,95,boss,900069,477,0.84,2,105_000015,7,148296349
Ifrit,이프리트,108800,412214379,7983,43,86,monster,900014,478,0.84,3,105_000015,7,721766
Snail of Corruption,타락한 달팽이,110500,397489435,8103,43,86,monster,900014,482,0.84,12,105_000015,7,741844
Golem,골렘,112200,383391150,8134,43,86,monster,900014,483,0.84,12,105_000015,7,758452
Mushroom of Corruption,타락한 주황버섯,112200,369837186,8194,43,86,monster,900014,485,0.84,0,105_000015,7,431650
EliteBoss_Mushroom of Corruption,엘리트 타락한 주황버섯,173400,3798728481,41735,48,96,boss,900070,490,0.85,12,105_000015,7,154941865
Light Executor,빛의 집행자,117300,410763480,8408,43,86,monster,900014,492,0.85,4,105_000015,7,776814
Dark Executor,어둠의 집행자,117300,460253616,8470,43,87,monster,900014,494,0.85,4,105_000015,7,779528
Keeper of Darkness,어둠의 주시자,119000,453767850,8501,43,87,monster,900014,495,0.85,0,105_000015,7,538110
Dodo,도도,119000,438995144,8532,43,86,monster,900014,496,0.85,16,105_000015,7,780932
Black Dodo,남색 도도,120700,421092843,8656,43,86,monster,900014,500,0.86,16,105_000015,7,747849
EliteBoss_Keeper of Darkness,엘리트 어둠의 주시자,181050,4590005491,43280,48,97,boss,900071,500,0.86,4,105_000015,7,153583110
Captured Pontiff,사로잡힌 시간의 신관,122400,409055744,8719,43,86,monster,900014,502,0.86,8,105_000015,7,763711
