id,desc(개발용),type,effectModelId,shot,angle,damage,hpRatioDamage,spec,duration,afterSkill,randomRadiusMin,randomRadiusMax,randomAngle,multiShot,multiShotDelay,offsetX,offsetY,monsterRUID,skillDelay,sound,isNotBoss
25,Bullet_Chargin' Sprout ,nontarget,model://6fb063bc-7951-4b3a-8cd8-aa2a4aaebd9b,0.5/0.5/0.5/0.5,0/90/180/270,1,0,0,1,0,0,0,0,1,0,0,1.2,,,,0
26,Bullet_Azwan Grave Robber,targetDir,model://13084a13-3e19-43b4-bcbd-c5545cf28876,0/0.2/0.4/0.6,0/45/90/135,1,0,0,1,90,0,0,0,1,0,0,0,,,,0
27,Skill_Desert Giant,target,model://a10e4480-6747-4d55-96f0-5f364066fc4a,0/0.5,0/0,1,0,0,1,0,5,5,0,1,0,0,0,,,,0
28,Bullet_Deo,targetDir,model://3d337b54-4c12-49af-9a25-08f3a433c4f1,0/0.2/0.6/0.8,0/90/180/270,1,0,speed_2_3,1,0,0,0,0,1,0,0,0,,,,0
29,Bullet_EliteBoss_White Desert Rabbit,nontargetDir,model://dd4de2b6-b7ba-4a25-a645-ae40d8ec3896,0.2/0.2/0.2/0.2/0.4/0.5/0.6/0.7,0/90/180/270/45/135/225/315,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
30,Bullet_Dark Sand Dwarf,targetDir,model://fe7fb8ae-cb70-45c2-823d-f69d923810eb,0/0.3/0.6/0.9,0/90/180/270,1,0,0,1,81,0,0,0,1,0,0,0,,,,0
31,Bullet_Undead Scorpion,nontarget,model://5633841d-4c80-404a-9a5e-b63fe71997dd,0/0.2/0.6/0.8,0/90/180/270,1,0,speed_2_3,1,0,0,0,0,1,0,0,0,,,,0
32,Bullet_Boss_Gale Fox,targetDir,model://59195ff8-027f-46d1-aa90-10fb3fa3e26b,0/0/0/0/0/0,0/60/120/180/240/300,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
33,Bullet_Elite Pikeman Skeleknight,targetDir,model://bd12f7ff-d598-4ae7-8eb6-2a35f596ea5e,0/0/0/0/0/0/0/0/0/0/0/0/0,0/30/60/90/120/150/180/210/240/270/300/330/360,1,0,0,1,0,0,0,20,4,0.5,0,0,,,,0
34,Bullet_Mysterious Desert Soldier,targetDir,model://452d4b7f-c5fe-4bdd-93b6-173d124a08ab,0/0/0/0/0/0,0/60/120/180/240/300,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
35,Bullet_Gale Fox,targetDir,model://7c8bd439-b844-45c8-ab37-992f07e1ef8b,0.2,0,0.7,0,0,1,0,0,0,0,1,0,0,0,,,,1
36,Bullet_white Desert rabbit,targetDir,model://341b76b3-621c-4318-af3e-7c1fe68148a0,0,0,0.7,0,0,1,0,0,0,0,1,0,0,0,,,,1
37,Bullet_deo_normal,targetDir,model://04a0920c-d7b7-4b44-9697-a65ef1c4ac8a,0,180,0.7,0,0,1,0,0,0,0,1,0,0,0,,,,1
38,Bullet_Neo Huroid,targetDir,model://77f58358-f79b-404d-9f26-cca08fd24275,0.4,135,0.7,0,0,1,0,0,0,0,1,0,0,0,,,,1
39,Bullet_Crystal Sand Tortoise,targetDir,model://27d8ef24-38c8-47b5-a6d8-8e238d469493,0.2,120,0.7,0,0,1,0,0,0,0,1,0,0,0,,,,1
40,Bullet_Sandblade Marauder,targetDir,model://7c641482-c6e9-49e2-9cce-5cdb210eedcf,0/0/0/0/0/0,0/60/120/180/240/300,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
41,Bullet1_(BIG)Sandblade Marauder,targetDir,model://fcfddcc7-f79e-4c50-bcd3-f88d7d91f025,0,0,1,0,stop_2.67,2.67,42,0,0,0,1,0,-0.023,0.4271,,0,8f7b3abac95447f1b9880248adb5a6ac,0
42,Bullet1_(afterskill)Sandblade Marauder ,targetDir,model://2899a533-79b9-4b58-90fa-d7365f5f1598,0/0/0/0/0/0/0/0.1/0.2/0.3/0.4/0.5/0.6/0.7/0.8/1,0/60/120/180/240/300/0/45/90/135/180/225/270/315/360/380,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
43,Bullet3_Sandblade MarauderLaser,nontargetDir,model://398890d5-28a9-47b1-b7a1-3c0e2a0c1f4c,0.1,180,1,0,speed_0_3,1,0,0,0,0,1,0,-5.1531,2.889,,,,0
44,Bullet3_Sandblade Marauder,nontarget,model://ca8b79d9-71c6-4985-a00d-dab674b6b4db,0.2/0.4/0.5/0.6/0.7,0/45/90/135/180/225/260/305,1,0,0,2.67,0,0,0,0,1,0,-0.6525,0.5476,,0.99,02d7f84d544c44cea16cfcde3452738e,0
45,Bullet2_Sandblade Marauder,targetDir,model://40853af6-2d27-418c-ade5-141d8b54300d,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,18/36/54/72/90/108/126/144/162/180/198/216/234/252/270/288/306/324/342/360,1,0,0,2.67,0,0,0,0,4,0.3,-0.6525,0.5476,,0.99,ccf9ed4820584f58a8baae3bb3fd4eb6,0
46,Bullet4_Sandblade Marauder,nontarget,model://5374d667-e252-4c5d-9f46-4b1f959e0ffa,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,18/36/54/72/90/108/126/144/162/180/198/216/234/252/270/288/306/324/342/360,1,0,0,2.67,47,0,0,0,1,0,0.8499,0.45,,0.99,9c5a123a52064a14bf735a97bcfb60c0,0
47,Bullet4_Sandblade Marauder_after,nontarget,model://0bb8541d-f2a9-432d-ae46-55477c24f5c4,0/0/0/0/0/0/0/0.1/0.2/0.3/0.4/0.5/0.6/0.7/0.8/1,0/60/120/180/240/300/0/45/90/135/180/225/270/315/360/380,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
48,Bullet6_Sandblade Marauder,nontarget,model://46cc482a-43f1-4f1b-9fab-0d7280c52542,0/0/0/0/0/0/0/0/0/0/0/0,0/30/60/90/120/150/180/210/240/270/300/330,1,0,0,1.2,0,0,0,0,1,0,0,0,871dffb2db2449fc9e3dede0c59f45c6,1.2,38859fe71ff444e08c22443512050b76,0
49,Bullet_Chaos vellum,target,model://43cd1aac-54c6-4d6e-8bdc-3c1ab8205bf3,0/4.4/8.8/13.2,0/0/0/0,1,0,speed_0_17.5,4.33,0,0,20,0,1,0,0,0,d8b1070d99604dddb155f9905305e195,2.4,1e40a67a71c44685ba50e1a0efc3edf4,0
50,Bullet2_Bloodfang,nontarget,model://aa22adb3-738e-4ce9-87d3-a3122b9f57c8,0/0/0/0/0/0/0/0/0/0,0/20/40/60/80/100/120/140/160/180,1,0,0,2.8,0,0,0,0,6,0.4,-2.8802,0.2063,d235ba55b45f4d97bbee1e1969785e3d,0.75,0d41e6d312c54a43bbdceb7d561edfd8,0
51,Bullet3_Bloodfang,nontarget,model://9ffeab54-0bc9-4174-a3dc-de054b618912,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/15/30/45/60/75/90/270/285/300/315/330/105/130/145/160/175/190/205/220/235/250/265,1,0,stop_2,2.42,52,0,0,0,1,0,-0.1054,0.9831,9cafb0feef9b4365b86904a739546993,2,c12fe2b8133440d2a53edc9afe7e35a1,0
52,Bullet3-51afterSkill,nontarget,model://aa22adb3-738e-4ce9-87d3-a3122b9f57c8,0.2/0.2/0.2/0.2,30/120/210/300,1,0,0,0,0,0,0,0,1,0,0,0,,,,0
53,Bullet4_Bloodfang,nontarget,model://0ed80b16-dd87-411c-9179-c7691f959b92,0/0.5/1,0/0/0,1,0,speed_3_3,2.88,0,3,30,0,1,0,0,0,21550fea73aa4f0494187257be6607f8,0.75,98fbeec0bc974243bcd6625b5e3adf8a,0
54,Bullet4_fake_Chaos vellum,targetDir,model://d1a17eac-f96a-4623-b104-fd259c20f9b6,0,0,0.3,0,0,6,0,0,0,0,1,0,0,0,,,,0
55,Bullet4_fake_giga_Chaos vellum_1,nontarget,model://b328e57c-1322-4675-bf94-8a8232ba9d45,0,0,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
56,Bullet5_BeforeAttack,target,model://8f87bd4e-6154-412c-bd14-4873a355d871,0,0,1,0,stop_3.2,3.2,57,0,0,0,1,0,0,0,,,,0
57,Bullet5_Chaos vellum_afterBullet,nontarget,model://b9aeb87d-4f8a-4f11-ad1e-3d59e23fe328,0/0.5/1/1.3/1.7/2/2.3/2.7/3,18/36/54/72/90/108/126/144/162/180/198/216/234/252/270/288/306/324/342/360,1,0,0,1.29,0,0,0,0,1,0,0,0,,,,0
58,Bullet5_Bloodfang,target,model://cffeec4a-b430-4117-8c92-b38ce04297b6,0/0.1/0.2/0.3/0.4/0.5/0.6/0.7/0.8/0.9/0/0.1/0.2/0.3/0.4/0.5/0.6/0.7/0.8/0.9,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,1,0,0,2.88,0,2,27,0,1,0,0,0,b78cddc02f624b5aafe310e5d448f718,1,542c868e19a24421a11276f859c30e96,0
59,Bullet6_Bloodfang,nontarget,model://8b30bc83-6530-4c79-befc-fbceb9200637,0,0,1,0,stop_2.1,2.1,0,0,0,0,1,0,-0.3241,0.8331,,0,01849681515d470d8622a749de62e1aa,0
60,Bullet7_Bloodfang,targetDir,model://17e621d2-6313-4117-8551-d0af04128a87,0/0/0,0/0/0,1,0,0,2.88,0,0,0,360,3,0.2,0,0,,,07f23dbac1f64ceda07bcceedc9c66a5,0
70,Bullet_ChickenRobot,nontargetDir,model://747b172a-58e2-4f48-9421-74545c5fbd62,1/1.2/1.4,0/0/0,0.7,0,0,1,0,0,0,0,1,0,0,0,,,,1
71,Bullet_ChickenRobotS,nontargetDir,model://3f00aa5a-90ef-4213-928f-9e2092ecb7db,0.1/0.2/0.3,0/0/0,0.7,0,0,1,0,0,0,0,1,0,-0.24,0.05,,,,1
72,Bullet_Military Robot,targetDir,model://3e967f1a-88e2-4719-adc4-f077d7965527,0.1,0,0.7,0,0,1,0,0,0,0,1,0,-0.3569,-0.1733,,,,1
73,Bullet_Toy Trojan,targetDir,model://6cc79326-7397-491c-a151-2d9d76b85a71,0/0.2,0/90,0.7,0,0,1,0,0,0,0,1,0,0.1276,0.4254,,,,1
74,Bullet_Deep Buffoon,target,model://bd7e8247-219b-4016-a175-9eb283c7466d,1.2,0,0.7,0,0,1,0,0,9,0,1,0,0,0,,,,1
75,Bullet_EliteBoss_Sparkinstone Bugs,nontargetDir,model://663c0b82-f9e1-4369-8263-2b0ac184a419,0.6/0.6/0.6/0.6/0.6/0.6,0/60/120/180/240/300,1,0,speed_4_1.25,1.3,0,0,0,0,1,0,0,1.2,,,,0
76,Bullet_EliteBoss_Thorny Bramble,nontargetDir,model://615b8485-3559-47dc-90d4-8522e8d1dbcc,1.1/1.1/1.1/1.1/1.1/1.1/1.1/1.1,0/45/90/135/180/225/270/315,1,0,0,2,0,0,0,0,1,0,0,1,,,,0
77,Bullet_EliteBoss_Dust Bundle_1,nontarget,model://1b2553c6-276c-4719-8a8b-f1e0359b88cd,0.7,0,1,0,0,2.1,78,0,0,0,1,0,0,1,,,,0
78,Bullet_EliteBoss_Dust Bundle_2,nontargetDir,model://8bf9097f-9490-4c9e-a7ea-fe23a5640130,0/0/0/0/0/0/0/0/0/0,0/36/72/108/144/180/216/252/288/324,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
79,Bullet_EliteBoss_Blue Spring Sprite_1,target,model://e0ccc71d-415e-4e83-89f7-f2daaee335a5,0/0.2/0.4/0.6/0.8,0/0/0/0/0,1,0,1,2.5,0,0,0,0,1,0,0,0,,,,0
80,Bullet_EliteBoss_Night Glimmerfox,targetDir,model://10d7bada-f52c-4cb9-b5f4-dce894e19aa7,1/1.3/1.6/1.9/2.2,0/0/0/0/0,1,0,1,1.6,0,0,0,0,1,0,-1,0.6,,,,0
81,Bullet_Dark Sand Dwarf_2,nontarget,model://2000de25-383a-42d9-96a2-dbafd6440d02,0,0,1,0,1,1,0,0,0,0,1,0,0,0,,,,0
82,Bullet_Coconut Slime,targetDir,model://653e7785-85b5-47ec-9bbe-e177b622662e,0,0,0.7,0,1,1,0,0,0,0,1,0,0,0.9,,,,1
83,Bullet_Blue Tube Slime,targetDir,model://bcb0e1cb-8f59-4387-a2d3-6c0fb25916d8,0,0,0.7,0,1,1,0,0,0,0,1,0,0,0.2,,,,1
84,Bullet_Seagull Slime,targetDir,model://5cde4f1a-72ad-4c38-8f34-2db69ceba70a,0,0,0.7,0,1,1,0,0,0,0,1,0,0,0.5,,,,1
85,Bullet_Archer Mini Murr,nontargetDir,model://9492bf3b-87be-44fa-a174-1425fb6cc611,0.5/0.5/0.5,30/0/330,0.7,0,1,1,0,0,0,0,1,0,0,0.4,,,,1
86,Bullet_Magician Mini Murr,target,model://88f096cd-18e2-4b04-8394-13755f8022f6,1,0,0.7,0,1,1.4,0,0,0,0,1,0,0,0,,,,1
87,Bullet_EliteBoss_Cool Jellyfish,nontarget,model://84ba6f20-8976-4fdc-9834-0c0d06c84a38,0/0/0/0/0/0,0/60/120/180/240/300,1,0,1,1,0,0,0,0,1,0,0,0.8,,,,0
88,Bullet_EliteBoss_Cool Jellyfish,nontarget,model://84ba6f20-8976-4fdc-9834-0c0d06c84a38,0/0/0/0/0/0,30/90/150/210/270/330,1,0,1,1,0,0,0,0,1,0,0,0.8,,,,0
89,Bullet_EliteBoss_Tortie,nontargetDir,model://261252cd-9d3b-4324-b2c3-aba1cdf69dde,0.5,0,1,0,speed_3_1,1.2,0,0,0,0,1,0,0,0,,,,0
90,Bullet_Azwan Grave Roober2,targetDir,model://60e3bca3-0a2f-4fe6-b287-457f1e12e997,0/0/0/0,0/60/120/180,1,0,1,1,0,0,0,0,1,0,0,0,,,,0
91,Bullet_EliteBoss_Palm Tree Slime,nontarget,model://84725989-33c5-4893-b27a-95cf876b1d5d,0.7/0.7/0.7/0.7/0.7/0.7/0.7/0.7/0.7/0.7/0.7/0.7,0/30/60/90/120/150/180/210/240/270/300/330,1,0,speed_0_2,2.3,0,0,0,0,1,0,-0.2,0.2,,,,0
92,Bullet_EliteBoss_Violet Clam Slime,nontargetDir,model://bffec585-c962-4946-b3af-2cd73626ce5b,1/1.1/1.2/1.3/1.4/1.5/1.6/1.7/1.8/1.9/2,0/0/0/0/0/0/0/0/0/0/0,1,0,speed_0_2,2.3,0,0,0,360,1,0,-0.2,0,,,,0
93,Bullet_EliteBoss_Seashell Octopus Slime,nontargetDir,model://d6497a36-fab2-4694-9158-08a83fa4e0e0,0,0,1,0,speed_4_0.95,1,0,0,0,0,5,0.2,0,0,,,,0
94,Bullet_EliteBoss_Mr. Alli_1,nontargetDir,model://95d5e947-8ae1-4ecf-95c2-9b5dbc455b4a,0.8,0,1,0,1,1.5,95,0,0,0,0,0,0,0.6,,,,0
95,Bullet_EliteBoss_Mr. Alli_2,nontargetDir,model://29cf375d-b8d8-46dd-b79e-7b70e31cf25a,0/0/0/0/0/0/0/0/0/0,0/36/72/108/144/180/216/252/288/324,1,0,1,1,0,0,0,0,0,0,0,0,,,,0
96,Bullet_EliteBoss_Gold Captain_1,nontarget,model://8f0d7468-a02a-478c-8c65-c78926d7b841,1/1/1/1/1/1/1/1,0/45/90/135/180/225/270/315,1,0,speed_0_2,2.2,0,0,0,0,0,0,0,0,,,,0
97,Bullet_EliteBoss_Warrior Mini Murr,targetDir,model://bd111942-81d9-4ff9-9440-f8594642cc5c,0.6/0.8/1,0/120/240,1,0,1,0.9,0,0,0,0,0,0,0,0,,,,0
98,Bullet_Enraged Espresso Machine,targetDir,model://d5378a73-01f5-4688-a8f1-e897c32ca340,0,0,0.7,0,0,1.8,0,0,0,0,1,0,0,0,,,,1
99,Bullet_ColaBear,targetDir,model://d5f20f42-7fa9-46c2-a40a-fc8259d2a779,0.2,0,0.7,0,1,4,0,0,0,0,1,0,-1.8874,0.447,,,,1
100,Bullet_GreenBubbleTea,targetDir,model://66bbf759-d5f9-4796-be0d-fd900b4e314a,0,0,0.7,0,speed_0_0.9,1,0,0,0,0,1,0,-0.7733,0.6576,,,,1
101,Bullet_RedBubbleTea,targetDir,model://1b7e4720-7e15-416c-93c1-bc2efeb48ee1,0.1/0.2/0.3,0/0/0,0.7,0,speed_1_3,1,0,0,0,0,1,0,-0.5157,-0.5157,,,,1
102,Bullet_chesunet_mouse,targetDir,model://959576ac-5476-44be-9774-8986b5a4c718,0,0,0.7,0,0,1,0,0,0,0,1,0,0,0,,,,1
103,Bullet_EliteBoss_MovingRobot,nontargetDir,model://799e52ab-3be4-4077-8836-208f9f098e58,0.9/0.9/0.9/0.9/0.9/0.9,0/60/120/180/240/300,1,0,speed_0_1.45,1.5,0,0,0,0,1,0,-2.28,0.8,,,,0
104,Bullet_EliteBoss_Porcupine,nontarget,model://889e7296-0b68-467c-a9ce-fb3fac3fd0e7,0.9/0.9/0.9/0.9/0.9/0.9/0.9,0/30/60/90/120/150/180,1,0,speed_3_1.35,1.4,0,0,0,0,1,0,0,0.4,,,,0
105,Bullet_EliteBoss_Nutria,nontargetDir,model://a2529170-7a90-40ad-b612-5a7f09e79dcf,0.7/0.7/0.7/0.7/0.7/0.7/0.7/0.7/0.7/0.7,0/36/72/108/144/180/216/252/288/324,1,0,speed_0_1.55,1.6,0,0,0,36,5,0.1,-1.6,0.8,,,,0
106,Bullet1_Krip,target,model://d30e9f55-5d8a-4ab2-9bcb-cd16ad6db221,0.1/0.5/0.9/1.3/1.7,0/0/0/0/0,1,0,speed_0_1.6,2,0,2,25,0,1,-1.54,0.242,0,,,a3cad123fb4c47e9bf05f5f5d46ad3f8,0
107,Bullet2_1 Krip_RIGHT,target,model://0767b4b5-2c1c-44d5-94f6-54ddc8491ef3,0.1/1/2,0/0/0,1,0,0,0,108,0,0,0,1,0,0,0,,,416e54c21f6c43049d6be64fab832012,0
108,Bullet2_1 Krip_LEFT,target,model://1f2e1239-8dcb-4930-ac35-356488a7c3f3,0.1/1/2,0/0/0,1,0,0,0,0,0,0,0,1,0,0,0,,,1d7ba58139534b87856f7fa89929e1c6,0
109,Bullet3_Krip,nontarget,model://e8c03be4-bf35-493d-b8c6-45273fe9a5cb,0/0.2/0.4/0.6/0.8/1/1.2/1.4/1.6/1.8,0/45/90/135/180/225/270/315/360/390,1,0,0,3,0,0,0,0,2,0.2,0,0,,,3ea15e7edf4c44e8b631cfb6afb9830b,0
110,Bullet4_Krip,nontargetDir,model://a7f79452-ba62-498e-9f3c-39bfdc6962a6,0/0/0/0/0/0/0/0.2/0.2/0.2/0.2/0.2,0/30/60/90/120/150/180/210/240/270/300/330,1,0,0,2,0,0,0,0,3,0.1,0,0,,,f43feb1c200b429e82adc1f61bae1452,0
111,Bullet4_Eff_Krip,nontarget,model://edcb0816-8de8-4a23-bf25-26497f0e2b34,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,0,0,0,0,2,0.2,0,0,,,4a5adb0c0f2a48e5a4a428f4667c88d5,0
113,Bullet6_Krip,nontarget,model://c494a2e6-b031-403b-8cfc-84057f95117c,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,0,2,60,0,3,0.3,0,0,,,,0
114,Bullet7_Krip,targetDir,model://a7af15fb-6c36-4cef-9aa0-9ca0ffa32d82,0/0/0/0/0.2/0.2/0.2/0.2,90/180/270/360/135/225/315/45,1,0,speed_0_2.5,1,0,0,0,0,10,0.1,-0.0908,0.1238,,,13ac37c076ef48c1bf3a23d7a3a43a29,0
115,Bullet7_2Krip,targetDir,model://a7af15fb-6c36-4cef-9aa0-9ca0ffa32d82,0/0/0/0/0/0.3/0.3/0.3/0.3/0.3,60/150/200/240/330/30/60/90/120/150,1,0,speed_0_2.5,1,0,0,0,0,10,0.1,-0.0908,0.1238,,,1a0a97ccda2549058d40514d23081e82,0
116,Bullet9_Krip,nontarget,model://3e907338-2723-49e9-a272-fe859b84a65c,0,0,1,0,speed_0_1.6,1,0,0,0,0,1,0,0,0,,,,0
117,Bullet9_1Krip,nontarget,model://ee502f86-3a45-46c1-9d68-982e2ff49fc9,0,0,1,0,speed_0_3,1,0,0,0,0,1,0,-0.3821,0.7068,,,2131ad1113b64403a46280180900bba7,0
118,Bullet_EliteBoss_RepairRobot,nontarget,model://42acd3da-ad0b-4506-9722-3441664e3975,0.8,0,1,0,speed_0_0.95,1,0,0,0,0,20,0.1,0,0,,,,0
119,Bullet_EliteBoss_Raccoon,nontarget,model://a3015e80-67e4-4ea2-9c07-0156c08afdeb,1,90,1,0,speed_0_1.95,2,0,0,0,90,30,0.01,-0.4,0.4,,,,0
120,Bullet_EliteBoss_ShiningGold_1,nontarget,model://00406491-2c89-4911-bd89-a9a551ba208d,0.5,0,1,0,speed_0_1.95,2,0,0,0,0,1,0,0,0,,,,0
121,Bullet_EliteBoss_EmergencyRobotL,nontarget,model://b9907910-451e-4b30-af85-5ecd6d573122,1.3/1.35/1.4/1.45/1.5/1.55/1.6/1.65/1.7,0/0/0/0/0/0/0/0/0,1,0,speed_0_2.1,2.16,0,0,0,360,1,0,-2,0,,,,0
123,Bullet_EliteBoss_Metal Generoid Type A_2,nontargetDir,model://ac462ed0-e09c-4148-abf6-11eaab37b89d,0.7,0,1,0,speed_0_1.5,1.68,0,0,0,0,1,0,0,0.6,,,,0
125,Bullet1_Oceanleli,nontarget,model://bd140d26-9384-4807-9089-b01432be3203,0/0.2/0.4/0.6/0.8/1/1.2/1.4/1.6/1.8,0/45/90/135/180/225/270/315/360/390,1,0,stop_0.96,1.92,0,0,0,0,5,0.4,-1.5924,0.242,430d80957cbf4fd198817dd061614e0b,0.96,125c50f92aef4681bb68fad02db3efe6,0
126,Bullet2_Oceanleli,targetDir,model://504c0b6b-a130-4398-8d62-71e05fd2936f,0.1/0.5/0.9/1.3/1.7,0/0/0/0/0,1,0,0,1.92,0,0,0,0,5,0.3,-1.5924,0.2855,430d80957cbf4fd198817dd061614e0b,0.96,1a0a97ccda2549058d40514d23081e82,0
127,Bullet3_Oceanleli,nontarget,model://41478396-27ce-4027-abca-04a8b53aa26b,0/0/0,0/0/0,1,0,0,1.92,128,2,30,0,1,0,0,0,,1.92,1a0a97ccda2549058d40514d23081e82,0
