id,name,material_1,count_1,material_2,count_2,material_3,count_3,material_4,count_4,material_5,count_5,status_Id_1,status_Value_1,category,grade,materialTypeCount
810001,(노멀) 1단계 장신구 B세트,101_000001,2,102_000001,2,103_000001,2,,,,,totalDamage,1,accessory,normal_B,3
810002,(노멀) 1단계 장신구 A세트,101_000001,2,102_000001,2,103_000001,2,,,,,magicalDamage,1,accessory,normal_A,3
810003,(노멀) 1단계 장신구 S세트,101_000001,2,102_000001,2,103_000001,2,,,,,physicalDamage,1,accessory,normal_S,3
810004,(노멀) 1단계 장신구 SS세트,101_000001,2,102_000001,2,103_000001,2,,,,,criticalDamage,1,accessory,normal_SS,3
810005,(노멀) 1단계 장신구 SSS세트,101_000001,2,102_000001,2,103_000001,2,,,,,bossDamage,1,accessory,normal_SSS,3
810006,(노멀) 2단계 장신구 B세트,101_000002,3,102_000002,3,103_000002,3,,,,,totalDamage,1,accessory,normal_B,3
810007,(노멀) 2단계 장신구 A세트,101_000002,3,102_000002,3,103_000002,3,,,,,physicalDamage,1,accessory,normal_A,3
810008,(노멀) 2단계 장신구 S세트,101_000002,3,102_000002,3,103_000002,3,,,,,magicalDamage,1,accessory,normal_S,3
810009,(노멀) 2단계 장신구 SS세트,101_000002,3,102_000002,3,103_000002,3,,,,,criticalDamage,2,accessory,normal_SS,3
810010,(노멀) 2단계 장신구 SSS세트,101_000002,2,102_000002,2,103_000002,2,,,,,bossDamage,2,accessory,normal_SSS,3
610002,중급 거너 마스터리,1_001002,75,1_008002,75,1_011002,75,,,,,attackSpeed,1,weapon,rare,3
620002,중급 궁수 마스터리,1_005002,75,1_009002,75,1_014002,75,,,,,range,7.5,weapon,rare,3
630002,중급 전사 마스터리,1_004002,75,1_007002,75,1_013002,75,,,,,physicalDamage,1,weapon,rare,3
640002,중급 마법 마스터리,1_003002,75,1_010002,75,1_012002,75,,,,,magicalDamage,1,weapon,rare,3
650002,중급 도적 마스터리,1_002002,75,1_006002,75,1_015002,75,,,,,criticalDamage,2,weapon,rare,3
660002,중급 대미지 마스터리1,1_001002,75,1_005002,75,1_004002,75,1_003002,75,1_002002,75,totalDamage,2,weapon,rare,5
670002,중급 대미지 마스터리2,1_008002,75,1_009002,75,1_007002,75,1_010002,75,1_006002,75,totalDamage,2,weapon,rare,5
680002,중급 보스 사냥 마스터리,1_011002,75,1_014002,75,1_013002,75,1_012002,75,1_015002,75,bossDamage,0.5,weapon,rare,5
710002,전사의 심장 2단계,2_101002,1,2_203002,1,,,,,,,maxHp,26,armor,rare,2
710003,전사의 심장 3단계,2_101003,1,2_203003,1,,,,,,,maxHp,61,armor,rare_1,2
720002,치킨 스토리 2챕터,2_204002,1,2_404002,1,,,,,,,evade,0.7,armor,rare,2
720003,치킨 스토리 3챕터,2_204003,1,2_404003,1,,,,,,,evade,0.7,armor,rare_1,2
730002,자연인이 된 지 2년째,2_102002,1,2_401002,1,,,,,,,criticalPercent,0.3,armor,rare,2
730003,자연인이 된 지 3년째,2_102003,1,2_401003,1,,,,,,,criticalPercent,0.3,armor,rare_1,2
740002,무도인의 길 2단계,2_201002,1,2_302002,1,,,,,,,bossDamage,0.3,armor,rare,2
740003,무도인의 길 3단계,2_201003,1,2_302003,1,,,,,,,bossDamage,0.3,armor,rare_1,2
750002,축구 선수 2년차,2_202002,1,2_403002,1,,,,,,,speed,1.5,armor,rare,2
750003,축구 선수 3년차,2_202003,1,2_403003,1,,,,,,,speed,1.5,armor,rare_1,2
760002,공대 재학 2학기,2_304002,1,2_402002,1,,,,,,,maxHp,26,armor,rare,2
760003,공대 재학 3학기,2_304003,1,2_402003,1,,,,,,,maxHp,61,armor,rare_1,2
770002,수호 천사 2단계,2_104002,1,2_301002,1,,,,,,,maxHp,26,armor,rare,2
770003,수호 천사 3단계,2_104003,1,2_301003,1,,,,,,,maxHp,61,armor,rare_1,2
780002,물과 불의 조화 2단계,2_103002,1,2_303002,1,,,,,,,maxHp,26,armor,rare,2
780003,물과 불의 조화 3단계,2_103003,1,2_303003,1,,,,,,,maxHp,61,armor,rare_1,2
820001,(레어) 3단계 장신구 B세트,101_000003,4,102_000003,4,103_000003,4,,,,,totalDamage,2,accessory,rare_B,3
820002,(레어) 3단계 장신구 A세트,101_000003,4,102_000003,4,103_000003,4,,,,,magicalDamage,2,accessory,rare_A,3
820003,(레어) 3단계 장신구 S세트,101_000003,4,102_000003,4,103_000003,4,,,,,physicalDamage,2,accessory,rare_S,3
820004,(레어) 3단계 장신구 SS세트,101_000003,4,102_000003,4,103_000003,4,,,,,criticalDamage,3,accessory,rare_SS,3
820005,(레어) 3단계 장신구 SSS세트,101_000003,2,102_000003,2,103_000003,2,,,,,bossDamage,3,accessory,rare_SSS,3
820006,(레어) 4단계 장신구 A세트,101_000004,8,102_000004,8,103_000004,8,,,,,totalDamage,2,accessory,rare_A,3
820007,(레어) 4단계 장신구 S세트,101_000004,8,102_000004,8,103_000004,8,,,,,physicalDamage,2,accessory,rare_S,3
820008,(레어) 4단계 장신구 SS세트,101_000004,8,102_000004,8,103_000004,8,,,,,criticalDamage,4,accessory,rare_SS,3
820009,(레어) 4단계 장신구 SSS세트,101_000004,2,102_000004,2,103_000004,2,,,,,bossDamage,4,accessory,rare_SSS,3
610003,고급 거너 마스터리,1_001003,200,1_008003,200,1_011003,200,,,,,attackSpeed,1.5,weapon,epic,3
620003,고급 궁수 마스터리,1_005003,200,1_009003,200,1_014003,200,,,,,range,10,weapon,epic,3
630003,고급 전사 마스터리,1_004003,200,1_007003,200,1_013003,200,,,,,physicalDamage,1.5,weapon,epic,3
640003,고급 마법 마스터리,1_003003,200,1_010003,200,1_012003,200,,,,,magicalDamage,1.5,weapon,epic,3
650003,고급 도적 마스터리,1_002003,200,1_006003,200,1_015003,200,,,,,criticalDamage,3,weapon,epic,3
660003,고급 대미지 마스터리1,1_001003,200,1_005003,200,1_007003,200,1_003003,200,1_002003,200,totalDamage,3,weapon,epic,5
670003,고급 대미지 마스터리2,1_008003,200,1_009003,200,1_004003,200,1_010003,200,1_006003,200,totalDamage,3,weapon,epic,5
680003,고급 보스 사냥 마스터리,1_011003,200,1_014003,200,1_013003,200,1_012003,200,1_015003,200,bossDamage,0.75,weapon,epic,5
710004,전사의 심장 4단계,2_101004,1,2_203004,1,,,,,,,maxHp,225,armor,epic,2
710005,전사의 심장 5단계,2_101005,1,2_203005,1,,,,,,,maxHp,275,armor,epic_1,2
720004,치킨 스토리 4챕터,2_204004,1,2_404004,1,,,,,,,evade,0.75,armor,epic,2
720005,치킨 스토리 5챕터,2_204005,1,2_404005,1,,,,,,,evade,0.75,armor,epic_1,2
730004,자연인이 된 지 4년째,2_102004,1,2_401004,1,,,,,,,criticalPercent,0.4,armor,epic,2
730005,자연인이 된 지 5년째,2_102005,1,2_401005,1,,,,,,,criticalPercent,0.4,armor,epic_1,2
740004,무도인의 길 4단계,2_201004,1,2_302004,1,,,,,,,bossDamage,0.4,armor,epic,2
740005,무도인의 길 5단계,2_201005,1,2_302005,1,,,,,,,bossDamage,0.4,armor,epic_1,2
750004,축구 선수 4년차,2_202004,1,2_403004,1,,,,,,,speed,2,armor,epic,2
750005,축구 선수 5년차,2_202005,1,2_403005,1,,,,,,,speed,2,armor,epic_1,2
760004,공대 재학 4학기,2_304004,1,2_402004,1,,,,,,,maxHp,225,armor,epic,2
760005,공대 재학 5학기,2_304005,1,2_402005,1,,,,,,,maxHp,275,armor,epic_1,2
770004,수호 천사 4단계,2_104004,1,2_301004,1,,,,,,,maxHp,225,armor,epic,2
770005,수호 천사 5단계,2_104005,1,2_301005,1,,,,,,,maxHp,275,armor,epic_1,2
780004,물과 불의 조화 4단계,2_103004,1,2_303004,1,,,,,,,maxHp,225,armor,epic,2
780005,물과 불의 조화 5단계,2_103005,1,2_303005,1,,,,,,,maxHp,275,armor,epic_1,2
830001,(에픽) 5단계 장신구 A세트,101_000005,12,102_000005,12,103_000005,12,,,,,totalDamage,3,accessory,epic_A,3
830002,(에픽) 5단계 장신구 S세트,101_000005,12,102_000005,12,103_000005,12,,,,,magicalDamage,2,accessory,epic_S,3
830003,(에픽) 5단계 장신구 SS세트,101_000005,12,102_000005,12,103_000005,12,,,,,criticalDamage,5,accessory,epic_SS,3
830004,(에픽) 5단계 장신구 SSS세트,101_000005,2,102_000005,2,103_000005,2,,,,,bossDamage,5,accessory,epic_SSS,3
830005,(에픽) 6단계 장신구 A세트,101_000006,12,102_000006,12,103_000006,12,,,,,totalDamage,3,accessory,epic_A,3
830006,(에픽) 6단계 장신구 S세트,101_000006,12,102_000006,12,103_000006,12,,,,,totalDamage,4,accessory,epic_S,3
830007,(에픽) 6단계 장신구 SS세트,101_000006,12,102_000006,12,103_000006,12,,,,,magicalDamage,4,accessory,epic_SS,3
830008,(에픽) 6단계 장신구 SSS세트,101_000006,2,102_000006,2,103_000006,2,,,,,physicalDamage,4,accessory,epic_SSS,3
610004,최고급 거너 마스터리,1_001004,350,1_008004,350,1_011004,350,,,,,attackSpeed,3,weapon,unique,3
620004,최고급 궁수 마스터리,1_005004,350,1_009004,350,1_014004,350,,,,,range,12.5,weapon,unique,3
630004,최고급 전사 마스터리,1_004004,350,1_007004,350,1_013004,350,,,,,physicalDamage,3,weapon,unique,3
640004,최고급 마법 마스터리,1_003004,350,1_010004,350,1_012004,350,,,,,magicalDamage,3,weapon,unique,3
650004,최고급 도적 마스터리,1_002004,350,1_006004,350,1_015004,350,,,,,criticalDamage,6,weapon,unique,3
660004,최고급 대미지 마스터리1,1_001004,350,1_005004,350,1_004004,350,1_003004,350,1_002004,350,totalDamage,6,weapon,unique,5
670004,최고급 대미지 마스터리2,1_008004,350,1_009004,350,1_007004,350,1_010004,350,1_006004,350,totalDamage,6,weapon,unique,5
680004,최고급 보스 사냥 마스터리,1_011004,350,1_014004,350,1_013004,350,1_012004,350,1_015004,350,bossDamage,1.5,weapon,unique,5
710006,전사의 심장 6단계,2_101006,1,2_203006,1,,,,,,,maxHp,938,armor,unique,2
710007,전사의 심장 7단계,2_101007,1,2_203007,1,,,,,,,maxHp,1125,armor,unique_1,2
710008,전사의 심장 8단계,2_101008,1,2_203008,1,,,,,,,maxHp,1688,armor,unique_2,2
720006,치킨 스토리 6챕터,2_204006,1,2_404006,1,,,,,,,evade,0.8,armor,unique,2
720007,치킨 스토리 7챕터,2_204007,1,2_404007,1,,,,,,,evade,0.8,armor,unique_1,2
720008,치킨 스토리 8챕터,2_204008,1,2_404008,1,,,,,,,evade,0.8,armor,unique_2,2
730006,자연인이 된 지 6년째,2_102006,1,2_401006,1,,,,,,,criticalPercent,0.45,armor,unique,2
730007,자연인이 된 지 7년째,2_102007,1,2_401007,1,,,,,,,criticalPercent,0.45,armor,unique_1,2
730008,자연인이 된 지 8년째,2_102008,1,2_401008,1,,,,,,,criticalPercent,0.45,armor,unique_2,2
740006,무도인의 길 6단계,2_201006,1,2_302006,1,,,,,,,bossDamage,0.45,armor,unique,2
740007,무도인의 길 7단계,2_201007,1,2_302007,1,,,,,,,bossDamage,0.45,armor,unique_1,2
740008,무도인의 길 8단계,2_201008,1,2_302008,1,,,,,,,bossDamage,0.45,armor,unique_2,2
750006,축구 선수 6년차,2_202006,1,2_403006,1,,,,,,,speed,2.5,armor,unique,2
750007,축구 선수 7년차,2_202007,1,2_403007,1,,,,,,,speed,2.5,armor,unique_1,2
750008,축구 선수 8년차,2_202008,1,2_403008,1,,,,,,,speed,2.5,armor,unique_2,2
760006,공대 재학 6학기,2_304006,1,2_402006,1,,,,,,,maxHp,938,armor,unique,2
760007,공대 재학 7학기,2_304007,1,2_402007,1,,,,,,,maxHp,1125,armor,unique_1,2
760008,공대 재학 8학기,2_304008,1,2_402008,1,,,,,,,maxHp,1688,armor,unique_2,2
770006,수호 천사 6단계,2_104006,1,2_301006,1,,,,,,,maxHp,938,armor,unique,2
770007,수호 천사 7단계,2_104007,1,2_301007,1,,,,,,,maxHp,1125,armor,unique_1,2
770008,수호 천사 8단계,2_104008,1,2_301008,1,,,,,,,maxHp,1688,armor,unique_2,2
780006,물과 불의 조화 6단계,2_103006,1,2_303006,1,,,,,,,maxHp,938,armor,unique,2
780007,물과 불의 조화 7단계,2_103007,1,2_303007,1,,,,,,,maxHp,1125,armor,unique_1,2
780008,물과 불의 조화 8단계,2_103008,1,2_303008,1,,,,,,,maxHp,1688,armor,unique_2,2
840001,(유니크) 7단계 장신구 S세트,101_000007,50,102_000007,50,103_000007,50,,,,,totalDamage,4,accessory,unique_S,3
840002,(유니크) 7단계 장신구 SS세트,101_000007,30,102_000007,30,103_000007,30,,,,,physicalDamage,5,accessory,unique_SS,3
840003,(유니크) 7단계 장신구 SSS세트,101_000007,2,102_000007,2,103_000007,2,,,,,criticalDamage,5,accessory,unique_SSS,3
840004,(유니크) 8단계 장신구 S세트,101_000008,50,102_000008,50,103_000008,50,,,,,totalDamage,7,accessory,unique_S,3
840005,(유니크) 8단계 장신구 SS세트,101_000008,30,102_000008,30,103_000008,30,,,,,magicalDamage,5,accessory,unique_SS,3
840006,(유니크) 8단계 장신구 SSS세트,101_000008,2,102_000008,2,103_000008,2,,,,,bossDamage,5,accessory,unique_SSS,3
610005,신화급 거너 마스터리,1_001005,400,1_008005,400,1_011005,400,,,,,attackSpeed,4,weapon,legendary,3
620005,신화급 궁수 마스터리,1_005005,400,1_009005,400,1_014005,400,,,,,range,15,weapon,legendary,3
630005,신화급 전사 마스터리,1_004005,400,1_007005,400,1_013005,400,,,,,physicalDamage,4,weapon,legendary,3
640005,신화급 마법 마스터리,1_003005,400,1_010005,400,1_012005,400,,,,,magicalDamage,4,weapon,legendary,3
650005,신화급 도적 마스터리,1_002005,400,1_006005,400,1_015005,400,,,,,criticalDamage,8,weapon,legendary,3
660005,신화급 대미지 마스터리1,1_001005,400,1_005005,400,1_004005,400,1_003005,400,1_002005,400,totalDamage,8,weapon,legendary,5
670005,신화급 대미지 마스터리2,1_008005,400,1_009005,400,1_007005,400,1_010005,400,1_006005,400,totalDamage,8,weapon,legendary,5
680005,신화급 보스 사냥 마스터리,1_011005,400,1_014005,400,1_013005,400,1_012005,400,1_015005,400,bossDamage,2,weapon,legendary,5
710009,전사의 심장 9단계,2_101009,1,2_203009,1,,,,,,,maxHp,2065,armor,legendary,2
710010,전사의 심장 10단계,2_101010,1,2_203010,1,,,,,,,maxHp,4130,armor,legendary_1,2
710011,전사의 심장 11단계,2_101011,1,2_203011,1,,,,,,,maxHp,6194,armor,legendary_2,2
710012,전사의 심장 12단계,2_101012,1,2_203012,1,,,,,,,maxHp,8259,armor,legendary_3,2
720009,치킨 스토리 9챕터,2_204009,1,2_404009,1,,,,,,,evade,1,armor,legendary,2
720010,치킨 스토리 10챕터,2_204010,1,2_404010,1,,,,,,,evade,1,armor,legendary_1,2
720011,치킨 스토리 11챕터,2_204011,1,2_404011,1,,,,,,,evade,1,armor,legendary_2,2
720012,치킨 스토리 12챕터,2_204012,1,2_404012,1,,,,,,,evade,1,armor,legendary_3,2
730009,자연인이 된 지 9년째,2_102009,1,2_401009,1,,,,,,,criticalPercent,0.5,armor,legendary,2
730010,자연인이 된 지 10년째,2_102010,1,2_401010,1,,,,,,,criticalPercent,0.5,armor,legendary_1,2
730011,자연인이 된 지 11년째,2_102011,1,2_401011,1,,,,,,,criticalPercent,0.5,armor,legendary_2,2
730012,자연인이 된 지 12년째,2_102012,1,2_401012,1,,,,,,,criticalPercent,0.5,armor,legendary_3,2
740009,무도인의 길 9단계,2_201009,1,2_302009,1,,,,,,,bossDamage,0.5,armor,legendary,2
740010,무도인의 길 10단계,2_201010,1,2_302010,1,,,,,,,bossDamage,0.5,armor,legendary_1,2
740011,무도인의 길 11단계,2_201011,1,2_302011,1,,,,,,,bossDamage,0.5,armor,legendary_2,2
740012,무도인의 길 12단계,2_201012,1,2_302012,1,,,,,,,bossDamage,0.5,armor,legendary_3,2
750009,축구 선수 9년차,2_202009,1,2_403009,1,,,,,,,speed,3,armor,legendary,2
750010,축구 선수 10년차,2_202010,1,2_403011,1,,,,,,,speed,3,armor,legendary_1,2
750011,축구 선수 11년차,2_202011,1,2_403011,1,,,,,,,speed,4,armor,legendary_2,2
750012,축구 선수 12년차,2_202012,1,2_403012,1,,,,,,,speed,4,armor,legendary_3,2
760009,공대 재학 9학기,2_304009,1,2_402009,1,,,,,,,maxHp,2065,armor,legendary,2
760010,공대 재학 10학기,2_304010,1,2_402010,1,,,,,,,maxHp,4130,armor,legendary_1,2
760011,공대 재학 11학기,2_304011,1,2_402011,1,,,,,,,maxHp,6194,armor,legendary_2,2
760012,공대 재학 12학기,2_304012,1,2_402012,1,,,,,,,maxHp,8259,armor,legendary_3,2
770009,수호 천사 9단계,2_104009,1,2_301009,1,,,,,,,maxHp,2065,armor,legendary,2
770010,수호 천사 10단계,2_104010,1,2_301010,1,,,,,,,maxHp,4130,armor,legendary_1,2
770011,수호 천사 11단계,2_104011,1,2_301011,1,,,,,,,maxHp,6194,armor,legendary_2,2
770012,수호 천사 12단계,2_104012,1,2_301012,1,,,,,,,maxHp,8259,armor,legendary_3,2
780009,물과 불의 조화 9단계,2_103009,1,2_303009,1,,,,,,,maxHp,2065,armor,legendary,2
780010,물과 불의 조화 10단계,2_103010,1,2_303010,1,,,,,,,maxHp,4130,armor,legendary_1,2
780011,물과 불의 조화 11단계,2_103011,1,2_303011,1,,,,,,,maxHp,6194,armor,legendary_2,2
780012,물과 불의 조화 12단계,2_103012,1,2_303012,1,,,,,,,maxHp,8259,armor,legendary_3,2
850001,(레전더리) 9단계 장신구 S세트,101_000009,120,102_000009,120,103_000009,120,,,,,totalDamage,7,accessory,legendary_S,3
850002,(레전더리) 9단계 장신구 SS세트,101_000009,80,102_000009,80,103_000009,80,,,,,physicalDamage,5,accessory,legendary_SS,3
850003,(레전더리) 9단계 장신구 SSS세트,101_000009,2,102_000009,2,103_000009,2,,,,,magicalDamage,5,accessory,legendary_SSS,3
850004,(레전더리) 10단계 장신구 SS세트,101_000010,200,102_000010,200,103_000010,200,,,,,totalDamage,8,accessory,legendary_SS,3
850005,(레전더리) 10단계 장신구 SSS세트,101_000010,2,102_000010,2,103_000010,2,,,,,totalDamage,8,accessory,legendary_SSS,3
