ConfigType,ConfigValue
ReputationReviewStar3Score,-1
ReputationReviewStar4Score,0
ReputationReviewStar5Score,1
ReputationReviewStar6Score,5
ReputationReviewStar1Duration,25
ReputationReviewStar2Duration,16
ReputationReviewStar3Duration,13
ReputationReviewStar4Duration,10
ReputationReviewStar5Duration,7
ReputationReviewScoreRateLevel0,0.25
ReputationReviewScoreRateLevel1,0.25
ReputationReviewScoreRateLevel2,0.5
ReputationReviewScoreRateLevel3,1
ReputationReviewScoreRateLevel4,2
ReputationReviewScoreRateLevel5,3
ReputationReviewStar1ScoreForStage6,-50
ReputationReviewStar2ScoreForStage6,-20
ReputationReviewStar3ScoreForStage6,-10
ReputationReviewStar4ScoreForStage6,5
ReputationReviewStar5ScoreForStage6,15
ReputationReviewStar6ScoreForStage6,30
ReputationReviewStar1DurationForStage6,17
ReputationReviewStar2DurationForStage6,14
ReputationReviewStar3DurationForStage6,12
ReputationReviewStar4DurationForStage6,10
ReputationReviewStar5DurationForStage6,7
ReputationReviewScoreRateLevel0ForStage6,0.5
ReputationReviewScoreRateLevel1ForStage6,1
ReputationReviewScoreRateLevel2ForStage6,2
ReputationReviewScoreRateLevel3ForStage6,3
ReputationReviewScoreRateLevel4ForStage6,4
ReputationReviewScoreRateLevel5ForStage6,5
VIPOrderIngreAdded,0.1
VIPOrderBetterGradeAdded,0.05
VIPOrderDiffTagIngreAdded,0.05
VIPOrderRewardGrade1Percent,0.7
VIPOrderRewardGrade2Percent,0.9
VIPOrderRewardGrade3Percent,1
VIPOrderRewardGrade4Percent,1.2
VIPOrderRewardGrade5Percent,1.4
VIPOrderIngreGrade1Heart,600
VIPOrderIngreGrade2Heart,1500
VIPOrderIngreGrade3Heart,4000
VIPOrderRerollCostIncrement,2
VIPOrderRerollCostStartValue,100
VIPOrderRerollCostMaxValue,50000
VIPOrderResetDelayDay,15
MesoRewardRateForAutoTraing,0.25
AchievementEmployeeTargetLevel,50
ApplianceCount1,2
ApplianceCount2,5
ApplianceCount3,10
ApplianceCount4,15
ApplianceLevelRate1,0.2
ApplianceLevelRate2,0.4
ApplianceLevelRate3,0.6
ApplianceLevelRate4,0.8
DisplayLevelSection1,6
DisplayLevelSection2,12
DisplayLevelSection3,18
DisplayLevelSection4,30
TrainingUpgradeBurgerPriceLv1,0.05
TrainingUpgradeBurgerPriceLv2,0.15
TrainingUpgradeBurgerPriceLv3,0.3
TrainingUpgradeBurgerPriceLv4,0.5
SubscriptionMaxMonthLimit,24
SpeedUpCustomerSpawnDelay,0.5
TutorialTempDeposit,1000
EmergencyFundOfferCount,2
EmergencyFundManagementLevelLimit,1
ResignProtectOfferCount,1
EmergencyFundManagementLevel0,5000
EmergencyFundManagementLevel1,20000
CookEmployeeWarningWorkDuration,8
ServingEmployeeWarningWorkDuration,7.6
VIPOrderIngreRewardReputationRate,0.5
VIPOrderSeasonRewardScoreIngre,75
VIPOrderSeasonRewardScoreRecipe,150
VIPOrderScoreExtraReward1,25
VIPOrderScoreExtraReward2,50
VIPOrderScoreExtraReward3,75
PlaceExpPerTickManagementLevel0,0
PlaceExpPerTickManagementLevel1,0
PlaceExpPerTickManagementLevel2,0
PlaceExpPerTickManagementLevel3,0
PlaceExpPerTickManagementLevel4,0
PlaceExpPerTickManagementLevel5,0
DiamondRewardManagementLevel1,5
DiamondRewardManagementLevel2,10
DiamondRewardManagementLevel3,25
DiamondRewardManagementLevel4,50
DiamondRewardManagementLevel5,100
StoreNameChangeDiamondCost,100
IngredientTastePointVariationUnit,4
IngredientCostVariationUnit,5
BunSkinUseBonusAmount,0.05
BunSkinCollectBonusAmountPerCount,0.02
IngreCollectionRewardDiamond,50
BunCollectionRewardDiamond,50
PiggyBankAddPointPerEarningRate,10
BoosterPackAvailableManagementLevel,2
StageClearRewardSP,20
MoveSpeedDefalut,0.6
MoveSpeedAddedByGetEquip,0.4
MoveSpeedAddedByOverLimtLevel,0.2
MoveSpeedAddedByGroupBonus,0.1
MoveSpeedAddedByStage,0.2
ChuchuCollectionPointPerChuChu,1
ChuchuCollectionPointPerEquip,3
ChuchuCollectionCloverBonusMaxRate,4
PromotionCoolDown,15
ServingStackBurgerDelayByOverLimtLevel0,0.2
ServingStackBurgerDelayByOverLimtLevel1,0.15
ServingStackBurgerDelayByOverLimtLevel2,0.1
ServingStackBurgerDelayByOverLimtLevel3,0.05
RecruitmentPerEmployeeInitLevelUp,2
EmployeeInitLevelMax,30
EmployementRerollCostIncrement,2
EmployementRerollCostStartValue,1000
EmployementRerollCostMaxValue,1000000
OfflineRewardMaxTimeDefault,7200
OfflineRewardMinTime,600
ExchangeCard1BonusRate,0.2
ExchangeCard2BonusRate,1
ExchangeCard3BonusRate,2
ExchangeBaseMoneyByManageLv1,10000
ExchangeBaseMoneyByManageLv2,100000
ExchangeBaseMoneyByManageLv3,500000
ExchangeBaseMoneyByManageLv4,1000000
ExchangeBaseMoneyByManageLv5,5000000
ExchangeMoneyToHeartRate,1000
ExchangeMoneyToCloverRate,5000
IngredientTasteScoreMax,148
IngredientCostMax,150
BunTasteScoreMax,80
BunCostMax,200
SpecialtiesTasteBonusMax,56
SpecialtiesCostBonusMax,70
PiggyBankBestEarningConstantManageLv0,5
PiggyBankBestEarningConstantManageLv1,1
PiggyBankBestEarningConstantManageLv2,1
PiggyBankBestEarningConstantManageLv3,0.8
PiggyBankBestEarningConstantManageLv4,0.6
PiggyBankBestEarningConstantManageLv5,0.5
BalanceThresholdDefault,15
BalanceThresholdForStage8,10
IngreSynthBonusProb,20
