chapter,wave,group,monster,spawnMin,spawnMax,formation,option,delay,interval,spawnCount,spawnRadius,monsterWave,life
10010,4,1,Deep Spring Sprite,3,7,group,4,5,8,4,15,　,2
10010,4,2,Night Glimmerfox,15,35,circle,18,10,15,2,15,　,2
10010,4,2,Deep Spring Sprite,3,7,group,4,5,8,4,15,　,2
10010,4,2,Sparrow,3,7,group,4,5,8,4,15,　,2
10010,5,1,Blue Spring Sprite,2,5,group,3,5,8,8,15,　,3
10010,5,1,Deep Spring Sprite,2,5,group,3,6,8,8,15,　,3
10010,5,1,Forest Glimmerfox,2,8,group,3,5,4,16,15,　,3
10010,5,1,Night Glimmerfox,3,5,group,3,7,4,16,15,　,3
10010,5,1,WAVE,1,3,group,24,5,7,8,15,model://a6abff31-824f-42f0-8524-8c4c38e5f44c,2
10010,6,1,Boss_Giant Spider,1,1,random,　,10,1,1,15,　,1
2,1,1,Boss_Chaos vellum,1,1,random,　,10,1,1,15,　,1
3,1,1,TrainingScarecrow,36,36,circle,10,0,0,1,15,　,2
3,1,1,TrainingScarecrow,36,36,circle,10,0,0,1,15,　,2
20001,1,1,Monster_Dark Sand Dwarf,3,3,group,3,5,1,21,15,　,1
20001,2,1,White Desert Rabbit,4,8,group,4,5,6,4,15,　,1
20001,2,1,Monster_Dark Sand Dwarf,3,3,random,　,7,1,20,15,　,1
20001,2,1,WAVE,2,2,group,24,5,5,4,15,model://7e38cc8a-e093-4cc2-b479-7b22db12ec98,1
20001,3,1,Monster_Dark Sand Dwarf,3,4,random,　,5,1,20,15,　,2
20001,3,1,White Desert Rabbit,4,7,group,3,5,5,5,15,　,2
20001,3,1,WAVE,2,3,group,24,5,5,4,15,model://7e38cc8a-e093-4cc2-b479-7b22db12ec98,2
20001,4,1,Mysterious Desert Soldier,1,1,random,　,7,2,12,15,　,2
20001,4,1,Monster_Dark Sand Dwarf,5,5,group,4,7,1,24,15,　,2
20001,4,1,WAVE,2,4,group,24,5,5,4,15,model://7e38cc8a-e093-4cc2-b479-7b22db12ec98,2
20001,5,1,Monster_Dark Sand Dwarf,4,4,group,3,5,1,30,15,　,2
20001,5,1,Mysterious Desert Soldier,3,3,random,　,7,2,14,15,　,2
20001,6,1,EliteBoss_White Desert Rabbit,1,1,random,　,10,1,1,15,　,1
20002,1,1,Monster_Dark Sand Dwarf,2,3,group,3,5,1,25,15,　,1
20002,1,1,Mysterious Desert Soldier,1,1,random,　,5,2,13,15,　,1
20002,1,1,WAVE,1,3,group,24,5,5,4,15,model://7e38cc8a-e093-4cc2-b479-7b22db12ec98,1
20002,2,1,White Desert Rabbit,4,8,group,3,5,4,5,15,　,1
20002,2,1,Mysterious Desert Soldier,1,1,random,　,7,2,10,15,　,1
20002,2,1,Undead Scorpion,3,3,random,　,7,1,20,15,　,1
20002,3,1,Undead Scorpion,18,36,random,　,5,5,4,15,　,2
20002,3,1,Desert Mush,10,20,random,　,7,5,4,15,　,2
20002,3,1,WAVE,2,4,group,24,5,5,4,15,model://7e38cc8a-e093-4cc2-b479-7b22db12ec98,2
20002,4,1,Desert Mush,3,4,group,3,5,2,15,15,　,2
20002,4,1,Homunscullo,3,4,group,3,5,2,15,15,　,2
20002,4,1,Desert Mush,15,30,circle,12,7,10,3,15,　,2
20002,5,1,White Desert Rabbit,5,7,group,3,5,3,7,15,　,2
20002,5,1,Undead Scorpion,4,8,random,　,5,5,4,15,　,2
20002,5,1,Homunscullo,2,3,random,　,10,1,22,15,　,2
20002,6,1,EliteBoss_Dark Sand Dwarf,1,1,random,　,10,1,1,15,　,1
20002,6,1,WAVE,2,4,group,24,5,5,5,15,model://7e38cc8a-e093-4cc2-b479-7b22db12ec98,2
20003,1,1,Homunscullo,3,3,group,3,5,1,22,15,　,1
20003,1,1,Mysterious Desert Soldier,2,8,group,3,5,2,8,15,　,1
20003,1,1,WAVE,1,2,group,24,5,5,3,15,model://9b428e64-bfe7-4229-b72e-54599072e418,1
20003,2,1,Ferocious Gale Fox,15,20,random,　,5,8,3,15,　,2
20003,2,1,Gale Fox,6,10,random,　,5,10,3,15,　,2
20003,2,1,WAVE,2,4,group,24,5,7,4,15,model://9b428e64-bfe7-4229-b72e-54599072e418,2
20003,3,1,Gale Fox,6,12,group,3,5,4,6,15,　,2
20003,3,1,Ferocious Gale Fox,8,24,group,3,5,5,5,15,　,2
20003,4,1,Ferocious Gale Fox,6,12,random,　,5,4,5,15,　,2
20003,4,1,Sand Tortoise,1,2,random,　,6,1,25,15,　,2
20003,5,1,Gale Fox,10,10,circle,36,5,10,3,15,　,2
20003,5,1,Ferocious Gale Fox,5,16,group,3,4,4,7,15,　,2
20003,5,1,Ferocious Gale Fox,4,5,group,3,6,2,14,15,　,3
20003,5,1,Sand Tortoise,4,5,group,3,6,2,14,15,　,1
20003,5,1,WAVE,2,4,group,24,5,5,5,15,model://9b428e64-bfe7-4229-b72e-54599072e418,2
20003,6,1,EliteBoss_Mysterious Desert Soldier,1,1,random,　,10,1,1,15,　,1
20004,1,1,Homunscullo,1,2,random,　,5,1,20,15,　,1
20004,1,1,Sand Tortoise,2,3,random,　,5,1,20,15,　,1
20004,1,1,Ferocious Gale Fox,3,4,group,5,5,10,5,15,　,1
20004,1,1,Crystal Sand Tortoise,3,5,group,3,4,8,6,15,　,1
20004,2,1,Crystal Sand Tortoise,1,1,random,　,3,1,20,15,　,2
20004,2,1,Sand Tortoise,3,3,random,　,5,1,40,15,　,2
20004,2,1,Ferocious Gale Fox,10,18,circle,12,5,15,3,15,　,2
20004,2,1,WAVE,2,4,group,24,5,8,5,15,model://9b428e64-bfe7-4229-b72e-54599072e418,2
20004,3,1,Crystal Hermit Crab,12,18,circle,18,5,5,4,15,　,2
20004,3,1,Crystal Sand Tortoise,6,10,circle,18,6,5,4,15,　,2
20004,3,1,WAVE,2,4,group,24,5,5,4,15,model://9b428e64-bfe7-4229-b72e-54599072e418,2
20004,4,1,Crystal Sand Tortoise,5,10,group,5,5,8,4,15,　,2
20004,4,1,Sand Tortoise,1,1,random,　,5,1,32,15,　,2
20004,4,1,Crystal Hermit Crab,4,8,group,3,5,8,4,15,　,2
20004,4,1,WAVE,3,5,group,24,5,5,6,15,model://9b428e64-bfe7-4229-b72e-54599072e418,2
20004,5,1,Sand Tortoise,2,2,random,　,4,1,45,15,　,3
20004,5,1,Crystal Hermit Crab,12,14,random,　,5,10,4,15,　,3
20004,5,1,Crystal Sand Tortoise,4,8,group,3,5,5,7,15,　,3
20004,6,1,EliteBoss_Undead Scorpion,1,1,random,　,10,1,1,15,　,1
20005,1,1,Sand Tortoise,1,2,random,　,5,1,15,15,　,1
20005,1,1,Ferocious Gale Fox,5,8,circle,10,5,5,3,15,　,1
20005,1,1,Crystal Hermit Crab,8,10,group,2,5,4,4,15,　,1
20005,2,1,Crystal Sand Tortoise,16,16,circle,15,5,5,3,15,　,2
20005,2,1,Crystal Hermit Crab,7,12,group,3,5,8,4,15,　,2
20005,3,1,Crystal Hermit Crab,10,10,group,3,6,8,4,15,　,2
20005,3,1,Bomber Hermit Crab,15,30,circle,18,6,7,5,15,　,2
20005,3,1,WAVE,3,5,group,24,5,6,5,15,model://df4a6308-c547-43dd-81d8-f358f6926fb1,2
20005,4,1,Sand Tortoise,1,1,random,　,5,1,1,15,　,2
20005,4,1,Bomber Hermit Crab,20,40,group,3,5,7,5,15,　,2
20005,4,1,WAVE,3,5,group,24,5,6,5,15,model://df4a6308-c547-43dd-81d8-f358f6926fb1,2
20005,5,1,Crystal Hermit Crab,30,30,circle,18,7,8,4,15,　,2
20005,5,1,Bomber Hermit Crab,8,16,group,3,5,4,8,15,　,2
20005,5,1,Sand Helm,15,35,group,5,5,6,5,15,　,2
20005,5,1,WAVE,3,5,group,24,5,5,6,15,model://df4a6308-c547-43dd-81d8-f358f6926fb1,2
20005,6,1,Boss_Elite Bloodfang,1,1,random,　,5,1,1,15,　,1
20006,1,1,Sand Helm,7,14,group,3,5,5,5,15,　,1
20006,1,1,Crystal Hermit Crab,5,10,group,3,7,5,5,15,　,1
20006,1,2,Sand Helm,7,14,group,3,5,5,5,15,　,1
20006,1,2,Bomber Hermit Crab,5,10,group,3,7,5,5,15,　,1
20006,2,1,Sand Helm,7,14,group,5,5,5,5,15,　,2
20006,2,1,Sand Armor,7,14,group,5,5,5,5,15,　,2
20006,2,1,Sand Tortoise,2,2,random,　,3,1,26,15,　,1
20006,2,1,Ancient Scorpion,7,14,group,3,5,5,5,15,　,1
20006,2,1,WAVE,2,4,group,24,5,5,4,15,model://df4a6308-c547-43dd-81d8-f358f6926fb1,2
20006,3,1,Sand Helm,7,14,random,　,5,8,3,15,　,1
20006,3,1,Sand Armor,7,14,group,4,5,5,4,15,　,2
20006,3,1,Sand Tortoise,7,14,random,　,2,8,3,15,　,1
20006,3,1,Ancient Scorpion,10,20,circle,18,10,9,3,15,　,2
20006,3,1,WAVE,2,4,group,24,5,5,5,15,model://df4a6308-c547-43dd-81d8-f358f6926fb1,2
20006,4,1,Ferocious Desert Mush,8,16,random,　,5,5,7,15,　,2
20006,4,1,Ancient Scorpion,6,12,random,　,6,5,7,15,　,2
20006,4,2,Sand Armor,10,20,circle,18,5,7,4,15,　,2
20006,4,2,Ferocious Desert Mush,10,20,circle,18,10,7,4,15,　,2
20006,5,1,Sand Armor,5,5,random,　,5,3,8,15,　,3
20006,5,1,Ancient Scorpion,5,5,random,　,8,4,7,15,　,3
20006,5,1,Ferocious Desert Mush,10,20,group,4,5,6,5,15,　,3
20006,6,1,EliteBoss_Gale Fox,1,1,random,　,10,1,1,15,　,1
20006,6,1,WAVE,3,5,group,24,5,6,5,15,model://df4a6308-c547-43dd-81d8-f358f6926fb1,2
20007,1,1,Ancient Scorpion,4,8,group,3,5,7,4,15,　,1
20007,1,1,Ferocious Desert Mush,2,5,group,1,10,5,4,15,　,1
20007,1,1,Sand Tortoise,3,3,random,　,5,3,8,15,　,1
20007,1,1,Sand Helm,4,8,group,4,7,5,4,15,　,1
20007,1,1,WAVE,1,3,group,24,5,5,4,15,model://b7f3b9bc-61fd-4300-8f15-5a6ed376b139,1
20007,2,1,Ancient Scorpion,3,6,group,5,5,8,5,15,　,1
20007,2,1,Sand Tortoise,3,3,random,　,7,3,10,15,　,1
20007,2,1,Sand Dwarf,3,6,group,5,5,8,5,15,　,1
20007,2,1,Deo,2,2,random,　,7,3,10,15,　,1
20007,3,1,Sand Dwarf,15,20,circle,18,5,10,3,15,　,3
20007,3,1,Deo,4,8,group,4,5,5,6,15,　,3
20007,3,1,Mole,10,15,circle,24,10,10,2,15,　,3
20007,4,1,Deo,3,6,group,5,5,10,3,15,　,3
20007,4,1,Sand Tortoise,1,1,random,　,5,1,30,15,　,3
20007,4,1,Mole,5,10,group,3,5,5,7,15,　,3
20007,4,1,WAVE,2,4,group,24,5,5,6,15,model://b7f3b9bc-61fd-4300-8f15-5a6ed376b139,2
20007,5,1,Sand Dwarf,1,3,random,　,5,1,30,15,　,3
20007,5,1,Deo,1,3,random,　,6,1,30,15,　,3
20007,5,1,Mole,4,8,group,3,5,8,4,15,　,3
20007,5,1,Mole,1,1,random,　,5,1,30,15,　,3
20007,5,1,WAVE,3,5,group,24,5,5,5,15,model://b7f3b9bc-61fd-4300-8f15-5a6ed376b139,2
20007,6,1,EliteBoss_Deo,1,1,random,　,10,1,1,15,　,1
20008,1,1,Sand Dwarf,10,20,circle,18,5,10,3,15,　,1
20008,1,1,Mole,4,8,group,4,5,8,4,15,　,1
20008,1,2,Sand Helm,10,20,circle,18,5,15,2,15,　,1
20008,1,2,Mole,5,10,group,4,5,8,4,15,　,1
20008,2,1,Deo,5,10,group,4,5,5,6,15,　,2
20008,2,1,Sand Dwarf,5,10,group,4,5,5,6,15,　,2
20008,2,1,Mole,5,10,group,4,5,5,6,15,　,2
20008,2,1,WAVE,2,4,group,24,5,5,5,15,model://b7f3b9bc-61fd-4300-8f15-5a6ed376b139,2
20008,3,1,Speedy Mole,2,2,random,　,5,1,34,15,　,1
20008,3,1,AndoridB,20,25,circle,14,5,8,3,15,　,1
20008,3,1,AndoridB,7,14,group,5,5,5,5,15,　,2
20008,3,2,Speedy Mole,2,2,group,2,5,1,34,15,　,1
20008,3,2,Desert Giant,9,18,group,5,5,5,5,15,　,1
20008,3,2,Desert Giant,20,25,circle,14,5,8,3,15,　,2
20008,4,1,WAVE,2,4,group,24,5,5,5,15,model://b7f3b9bc-61fd-4300-8f15-5a6ed376b139,2
20008,4,1,Desert Giant,15,25,circle,15,5,10,3,15,　,2
20008,4,1,AndoridB,7,14,circle,26,6,8,3,15,　,2
20008,5,1,Speedy Mole,10,20,group,3,5,5,6,15,　,2
