Stage,Index,Id,StandRUID,MoveRUID
3,15,E0078,01edd30de29a494e9e7a14c076ae0feb,42d1bed405ec48c4a3cd7de63aff0d44
4,1,E0079,a2040b0ace994f7dbb343d5fd5c1e98f,1853848edb104914ae848e87981b851f
4,2,E0080,4410aa3df70745ebb08de59935e10f76,926a7ea7ff9e48fbbcc13736742d59ea
4,3,E0081,254634eaba514062a9fd0581261a636a,e5846740e8c8400cae84e333f6a5d396
4,4,E0082,1e66bc4cba9f4791a66860dbec2b5681,0f616255e9ed48a3b807160676e10a4d
4,5,E0083,80b5501afe694018b864484362b53737,365a5f3a274149adbbe9d15b7052d698
4,6,E0084,1a75210d5b1f46a79ecd86e2e1ab7b3b,84495ab9cbf24a07b14d67321ea74ea9
4,7,E0085,b7643cba98ab4d199a6080f1b9b1805a,0969be7e9fc84dda9dbc99f880b6a6a1
4,8,E0086,3f94b0c43d224265a6d2cd333f059396,8d9601971089434786a012e0849aea00
4,9,E0087,cf974a3bbde54621b2ddbefaceb1b288,ae4b1f619b6f42a99d6d0144fd62ecde
4,10,E0088,3ce5ad27e009482488da2a1cd1e76fe6,e1a0fd70f837498eb3fd99887bf8ab2f
4,11,E0089,fb37549c6ce0499b8c69d670cd7a51c8,dad903d0c8604be19e815c54f026134a
4,12,E0090,80312124e2f74665827e15a6ca9bc869,e18796efcfad4b489ffbbff9785c3aef
4,13,E0091,f69ac5fdbaea4478bbed2bd2abe55242,2da47ee5191042018fa2b325c795068f
4,14,E0092,639a5eb92f754e648247c09bcde6641e,f0cae74f83414453916ce64c6242c010
5,1,E0093,c73a55a5d6364a8fa18b20517f415da7,ef626e3b4f8d4d54b38601e25a189ae3
5,2,E0094,e9f741fccede4042a5571f389f47d96f,f07b4aa764b542ad82f4854e31e8ac2e
5,3,E0095,e9845ab0315c43a6b16aa8143df2e3fc,4ba41f6d8e18495584626b17079867c4
5,4,E0096,ca7fa1b76ac949d6b5008a6a906f195f,8f30c5c55e6e4154bfc8200d1ceb3186
5,5,E0097,a9e79639eb2f47dc82fc57f5b60d5d98,af7d1f4c686c4773a1e432a15bca522b
5,6,E0098,0cabcf45e1a746c5a13e013f1d0666bf,6a821ae80e184f439648f1bab3a7d178
5,7,E0099,836127efb0c24e0996f4b3c6de4d9d2e,0e4802cc119849bbb4888b6f80b0fd83
5,8,E0100,ffaf5e7a535b4c22814c9663ff7f57b6,8fd1417e63294875b0062e21fd6ecbfc
5,9,E0101,a974faae4d7f436b80363d75bb8961d8,c6ef0a327052497a97d7ba308dd58260
5,10,E0102,73f0ed05b6e445b580b02c80b462c0c6,cdbe50f64dd74d608f33366bb345c35c
5,11,E0103,cf5121da9c62490c8bcfa9f8b7ea8674,20dae1b6700a4fccac87d47fec2036e7
5,12,E0104,4ca5a2350aaf4416bf59895fa4cb0de0,357d722800d3443ab6a0b3d545142658
6,1,E0105,bcd2d0bc1d164ee38aeeb030f0e30369,70aba2fd9e834768b858a2f9e207207d
6,2,E0106,453e3d57e15d42b8b887ac13898559b2,b7afe93e6b7049ef937a0c1406031379
6,3,E0107,28f6d3097bf24a049cbd7cb83725fc2e,5cbc28db141f48b2bec6f2a22164468c
6,4,E0108,2f240441fc734c769475fd2385442290,2e4461e9b33848bcb61c99cd5250f4df
6,5,E0109,ce3b1dc8ebc74709a143ce52bace4922,1ff1f1b9d8694eaa84381dda2b13e907
6,6,E0110,3ba449a966c5483ba09969a41c3d4f45,020b04bb283f4079a2d0b90efc8724c8
6,7,E0111,928ebcc452434a289654b78634520e2e,6eddb4df1b254b0eb695051b6c0b4e11
6,8,E0112,dd15b875645a4adc891002adbbc52048,648af206bd744566a938e9f449d6cac0
6,9,E0113,676469632c7246dcaf4279f42fe319ec,542c184688d04244a41fc6ab1a04386f
6,10,E0114,0848b6b2a41a4a7ea485478899a94a46,e87cfe6df4e94cf7954c966e1b126669
6,11,E0115,1a556ae92c3a4945939c6b22904d4da0,376e511f4b184214be685d00dd2aedff
6,12,E0116,f4559a2b2c6a4f1499852ea932f25bae,3eb41f68243143faa185afeb829c8a00
7,1,E0117,cb0f1238d8ca411dad331a9a8c105e64,571c7f175276406d97699aca157f889b
7,2,E0118,ac058a7d0f314b079e6c4d89285ea47a,99da59c61ca646938aac989fddf2b5e2
7,3,E0119,ed6756d8fda94a58b2a43dbc990189f5,3b70d0eff60e4c208d8f4f7682597a31
7,4,E0120,7614499986a64500b179baccd8a66f2d,28540b5c6fe343c49ddbf49497c71060
7,5,E0121,eb3e4ecf95e24fe6af2e37cf4b15d779,784e2336c53a45f69a9583a85b53a608
7,6,E0122,ab3b42abcedc4d3ea623d1e52039aea0,c78e15ab18544c9f9fd0a9cb438858a6
7,7,E0123,a7c3909361d24253a92baec20c0c3ec6,42b21d5b87ee42d2970e8f2e90ba2d26
7,8,E0124,cf7d8596266d4130a3319cbbd4eae84d,e2d6ba50db5e43ffb03f55b7757a1b75
7,9,E0125,eed614d3b22745a995d89413d6d502d2,a4292bb1d5cb48daa0c1db2c19dc9a6f
7,10,E0126,beb7575b215741c889deafb8addb0c79,18ee9dbc219a4b86b14393dc2e9ba74c
7,11,E0127,572072e269464a5a9389ec05481afbaa,bed3a504849440aaa4b4efaefa5bfef8
7,12,E0128,ec9106df151c4011a4c466955547e6c9,d92b36c587e64be8a06f9dcd461d41d2
8,1,E0129,165e54152d3d46369a8c6b2e8a4bba8e,c86edad7c31748e9aab42e87c1812858
8,2,E0130,ccc2b84b7ba549298042896289ffebc1,2f783f80ac97434f82d6830b9a66db9f
8,3,E0131,22a11289cb4a43fc9bbe782cd37e6817,122ed427125a416ca23f000e83127d69
8,4,E0132,38553e1a89a145659490bf6b668e2505,958dbf898fac44eaafc3ba85cf6b44d1
8,5,E0133,d9fed32c54dc4a28913090571fdb7709,08ff62cb68794cfdb626c815cdc79d67
8,6,E0134,d03282f621e64163be5ede315d6dd892,d1c58508551743cca5de836c223af6fd
8,7,E0135,2b6e0a26cf9344bf95c8207057e34b85,048a16ad0d784e49b2f29a749d27f27a
8,8,E0136,65bbc856d79048839c1561726096187f,c055da207a424490abc0094a2526f91a
8,9,E0137,e918e34c75f042d8afa91e9958731bea,488a4668c4cc4807ab7d7df998c8adf5
8,10,E0138,0cd230603b0e4f35a13e5be77d69fb62,201338a16fc148fbb3b06bcc6fb79692
8,11,E0139,33b2a2d776db498eadefd01d879f61aa,baf935146308497a9f429c67a899d3d2
8,12,E0140,c72cbd034aba4f5a896fa6c3da9721b7,ff69abc26f3b4395b3af1281ef2858da
8,13,E0141,f18e7c34b1204d0790ec64781c610a74,8302b8f8a80d482bb67fa7a79f670ffe
8,14,E0142,9745e436d5e84c8fa48e4293f842c930,647cc9b5b33f4e429f659451d1a100d4
8,15,E0143,8c5c53a9b60d4cb8b084f6a668aeddd9,f4f657dbc5184027ae81d26810f96019
9,1,E0144,6003f7f07e964e5fbb9712ea19552649,577664e5ea294532b9de73c4e1a3319f
9,2,E0145,3c9de37adc514a25a32aac614bfc412a,9445e35528ee453e91bc4f5fe3f60db3
9,3,E0146,c5588ddc00314e5988d27a46ce51aab9,8bdc35c56c1e43d69a255146535756cf
9,4,E0147,94c7915099704ea3ac8905c634a1f353,36dcf1bbc56041419ae140f2394cafea
9,5,E0148,d91f4a0449714eb09a4728e43ad0bb1b,2765a07dacdf4f88a5e8057a2d994649
9,6,E0149,78c4aca4d61442cb96b2c2ab5de0dfcf,7aa68530647941e486c3b3d9ce1659ac
9,7,E0150,18111be51891445fb377c2894bf225e5,9076e05af85f4950bbbdc2c6cbdc4507
9,8,E0151,b81ea25675de41b496949309bf629acd,d68b867bde2d4e8a8c8efd2a2e0ef2bc
9,9,E0152,c9eff3f332a742d3835eb3ad8dd4c3d0,6c4bceeea5c641a9a3f16f0e644d9b04
9,10,E0153,1dc64df8e2fb42afba72543a2c7819c2,d6938915d60543259364ac76c16f7e8f
9,11,E0154,369a9ce22f0e4401bcc623b5057c4416,dd7372e0a9124a208eb19cb19e9c140c
9,12,E0155,a7a86882bb6b4c688986e3a9d1ebf143,ae829910194c407496cd3b3108b5ee05
