Level,NeedToFillExp,NextLevel,max_Attack_Level,max_Hp_Level,max_Mp_Level,max_ReductCooltime_Level
113,37435,114,50,50,25,25
114,37900,115,50,50,25,25
115,38366,116,50,50,25,25
116,38834,117,50,50,25,25
117,39303,118,50,50,25,25
118,39775,119,50,50,25,25
119,40247,120,50,50,25,25
120,40721,121,50,50,25,25
121,41197,122,50,50,25,25
122,41675,123,50,50,25,25
123,42154,124,50,50,25,25
124,42634,125,50,50,25,25
125,43117,126,50,50,25,25
126,43600,127,50,50,25,25
127,44085,128,50,50,25,25
128,44572,129,50,50,25,25
129,45060,130,50,50,25,25
130,45550,131,50,50,25,25
131,46042,132,50,50,25,25
132,46534,133,50,50,25,25
133,47029,134,50,50,25,25
134,47524,135,50,50,25,25
135,48022,136,50,50,25,25
136,48520,137,50,50,25,25
137,49021,138,50,50,25,25
138,49522,139,50,50,25,25
139,50025,140,50,50,25,25
140,50530,141,50,50,25,25
141,51036,142,50,50,25,25
142,51543,143,50,50,25,25
143,52052,144,50,50,25,25
144,52563,145,50,50,25,25
145,53074,146,50,50,25,25
146,53588,147,50,50,25,25
147,54102,148,50,50,25,25
148,54618,149,50,50,25,25
149,55135,150,50,50,25,25
150,55654,151,50,50,25,25
151,92776,152,80,80,40,40
152,93699,153,80,80,40,40
153,94625,154,80,80,40,40
154,95554,155,80,80,40,40
155,96487,156,80,80,40,40
156,97422,157,80,80,40,40
157,98360,158,80,80,40,40
158,99301,159,80,80,40,40
159,100246,160,80,80,40,40
160,101193,161,80,80,40,40
161,102143,162,80,80,40,40
162,103096,163,80,80,40,40
163,104052,164,80,80,40,40
164,105011,165,80,80,40,40
165,105973,166,80,80,40,40
166,106938,167,80,80,40,40
167,107906,168,80,80,40,40
168,108876,169,80,80,40,40
169,109850,170,80,80,40,40
170,110826,171,80,80,40,40
171,111806,172,80,80,40,40
172,112788,173,80,80,40,40
173,113773,174,80,80,40,40
174,114761,175,80,80,40,40
175,115752,176,80,80,40,40
176,116745,177,80,80,40,40
177,117742,178,80,80,40,40
178,118741,179,80,80,40,40
179,119743,180,80,80,40,40
180,120748,181,80,80,40,40
181,121755,182,80,80,40,40
182,122766,183,80,80,40,40
183,123779,184,80,80,40,40
184,124795,185,80,80,40,40
185,125814,186,80,80,40,40
186,126835,187,80,80,40,40
187,127859,188,80,80,40,40
188,128886,189,80,80,40,40
189,129916,190,80,80,40,40
190,130948,191,80,80,40,40
191,131984,192,80,80,40,40
192,133022,193,80,80,40,40
193,134062,194,80,80,40,40
194,135105,195,80,80,40,40
195,136151,196,80,80,40,40
196,137200,197,80,80,40,40
197,138251,198,80,80,40,40
198,139305,199,80,80,40,40
199,140362,200,80,80,40,40
200,141421,201,80,80,40,40
201,142483,202,80,80,40,40
202,143548,203,80,80,40,40
203,144615,204,80,80,40,40
204,145685,205,80,80,40,40
205,146758,206,80,80,40,40
206,147833,207,80,80,40,40
207,148911,208,80,80,40,40
208,149991,209,80,80,40,40
209,151074,210,80,80,40,40
210,152159,211,80,80,40,40
211,153248,212,80,80,40,40
212,154338,213,80,80,40,40
213,155432,214,80,80,40,40
214,156528,215,80,80,40,40
215,157626,216,80,80,40,40
216,158727,217,80,80,40,40
217,159830,218,80,80,40,40
218,160937,219,80,80,40,40
219,162045,220,80,80,40,40
220,163156,221,80,80,40,40
221,164270,222,80,80,40,40
222,165386,223,80,80,40,40
223,166505,224,80,80,40,40
224,167626,225,80,80,40,40
225,168750,226,80,80,40,40
226,169876,227,80,80,40,40
227,171005,228,80,80,40,40
228,172136,229,80,80,40,40
229,173270,230,80,80,40,40
230,174406,231,80,80,40,40
231,175545,232,80,80,40,40
232,176686,233,80,80,40,40
233,177830,234,80,80,40,40
234,178976,235,80,80,40,40
235,180124,236,80,80,40,40
236,181275,237,80,80,40,40
237,182428,238,80,80,40,40
238,183584,239,80,80,40,40
239,184743,240,80,80,40,40
240,185903,241,80,80,40,40
241,323741,242,110,110,55,55
242,325893,243,110,110,55,55
243,328050,244,110,110,55,55
244,330213,245,110,110,55,55
245,332381,246,110,110,55,55
246,334554,247,110,110,55,55
247,336733,248,110,110,55,55
248,338916,249,110,110,55,55
249,341106,250,110,110,55,55
250,343300,251,110,110,55,55
251,345500,252,110,110,55,55
252,347705,253,110,110,55,55
253,349915,254,110,110,55,55
254,352131,255,110,110,55,55
255,354352,256,110,110,55,55
256,356578,257,110,110,55,55
257,358809,258,110,110,55,55
258,361045,259,110,110,55,55
259,363287,260,110,110,55,55
260,365534,261,110,110,55,55
261,367786,262,110,110,55,55
262,370043,263,110,110,55,55
263,372305,264,110,110,55,55
264,374573,265,110,110,55,55
265,376846,266,110,110,55,55
266,379123,267,110,110,55,55
267,381406,268,110,110,55,55
268,383695,269,110,110,55,55
269,385988,270,110,110,55,55
270,388286,271,110,110,55,55
271,390590,272,110,110,55,55
272,392898,273,110,110,55,55
273,395212,274,110,110,55,55
274,397531,275,110,110,55,55
275,399855,276,110,110,55,55
276,402184,277,110,110,55,55
277,404518,278,110,110,55,55
278,406857,279,110,110,55,55
279,409201,280,110,110,55,55
280,411550,281,110,110,55,55
281,413904,282,110,110,55,55
282,416264,283,110,110,55,55
283,418628,284,110,110,55,55
284,420997,285,110,110,55,55
285,423372,286,110,110,55,55
286,425751,287,110,110,55,55
287,428135,288,110,110,55,55
288,430525,289,110,110,55,55
289,432919,290,110,110,55,55
290,435318,291,110,110,55,55
291,437722,292,110,110,55,55
292,440132,293,110,110,55,55
293,442546,294,110,110,55,55
294,444965,295,110,110,55,55
295,447389,296,110,110,55,55
296,449818,297,110,110,55,55
297,452252,298,110,110,55,55
298,454691,299,110,110,55,55
299,457134,300,110,110,55,55
300,459583,301,110,110,55,55
301,462037,302,110,110,55,55
302,464495,303,110,110,55,55
303,466958,304,110,110,55,55
304,469427,305,110,110,55,55
305,471900,306,110,110,55,55
306,474378,307,110,110,55,55
307,476861,308,110,110,55,55
308,479348,309,110,110,55,55
309,481841,310,110,110,55,55
310,484338,311,110,110,55,55
311,486840,312,110,110,55,55
312,489347,313,110,110,55,55
313,491859,314,110,110,55,55
314,494376,315,110,110,55,55
315,496898,316,110,110,55,55
316,499424,317,110,110,55,55
317,501955,318,110,110,55,55
318,504491,319,110,110,55,55
319,507032,320,110,110,55,55
320,509577,321,110,110,55,55
321,512127,322,110,110,55,55
322,514682,323,110,110,55,55
323,517242,324,110,110,55,55
324,519807,325,110,110,55,55
325,522376,326,110,110,55,55
326,524950,327,110,110,55,55
327,527529,328,110,110,55,55
328,530113,329,110,110,55,55
329,532701,330,110,110,55,55
330,535294,331,110,110,55,55
331,960899,332,140,140,70,70
332,965839,333,140,140,70,70
333,970790,334,140,140,70,70
334,975751,335,140,140,70,70
335,980723,336,140,140,70,70
336,985705,337,140,140,70,70
337,990697,338,140,140,70,70
338,995700,339,140,140,70,70
339,1000713,340,140,140,70,70
340,1005736,341,140,140,70,70
341,1010770,342,140,140,70,70
342,1015814,343,140,140,70,70
343,1020869,344,140,140,70,70
344,1025934,345,140,140,70,70
345,1031009,346,140,140,70,70
346,1036095,347,140,140,70,70
347,1041190,348,140,140,70,70
348,1046296,349,140,140,70,70
349,1051413,350,140,140,70,70
350,1056539,351,140,140,70,70
351,1061676,352,140,140,70,70
352,1066823,353,140,140,70,70
353,1071981,354,140,140,70,70
354,1077148,355,140,140,70,70
355,1082326,356,140,140,70,70
356,1087514,357,140,140,70,70
357,1092713,358,140,140,70,70
358,1097921,359,140,140,70,70
359,1103140,360,140,140,70,70
360,1108369,361,140,140,70,70
361,1113608,362,140,140,70,70
362,1118857,363,140,140,70,70
363,1124116,364,140,140,70,70
364,1129386,365,140,140,70,70
365,1134666,366,140,140,70,70
366,1139955,367,140,140,70,70
367,1145255,368,140,140,70,70
368,1150565,369,140,140,70,70
369,1155886,370,140,140,70,70
370,1161216,371,140,140,70,70
371,1166556,372,140,140,70,70
372,1171907,373,140,140,70,70
373,1177267,374,140,140,70,70
374,1182638,375,140,140,70,70
375,1188018,376,140,140,70,70
376,1193409,377,140,140,70,70
377,1198810,378,140,140,70,70
378,1204221,379,140,140,70,70
379,1209641,380,140,140,70,70
380,1215072,381,140,140,70,70
381,1220513,382,140,140,70,70
382,1225964,383,140,140,70,70
383,1231425,384,140,140,70,70
384,1236896,385,140,140,70,70
385,1242377,386,140,140,70,70
386,1247867,387,140,140,70,70
387,1253368,388,140,140,70,70
388,1258879,389,140,140,70,70
389,1264400,390,140,140,70,70
390,1269930,391,140,140,70,70
391,1275471,392,140,140,70,70
392,1281021,393,140,140,70,70
393,1286582,394,140,140,70,70
394,1292152,395,140,140,70,70
395,1297732,396,140,140,70,70
396,1303322,397,140,140,70,70
397,1308922,398,140,140,70,70
398,1314532,399,140,140,70,70
399,1320152,400,140,140,70,70
400,1325782,401,140,140,70,70
401,1331421,402,140,140,70,70
402,1337070,403,140,140,70,70
403,1342730,404,140,140,70,70
404,1348399,405,140,140,70,70
405,1354078,406,140,140,70,70
406,1359766,407,140,140,70,70
407,1365465,408,140,140,70,70
408,1371173,409,140,140,70,70
409,1376891,410,140,140,70,70
410,1382619,411,140,140,70,70
411,1388357,412,140,140,70,70
412,1394104,413,140,140,70,70
413,1399862,414,140,140,70,70
414,1405629,415,140,140,70,70
415,1411405,416,140,140,70,70
416,1417192,417,140,140,70,70
417,1422988,418,140,140,70,70
418,1428794,419,140,140,70,70
419,1434610,420,140,140,70,70
420,1440435,421,140,140,70,70
421,2646536,422,170,170,85,85
422,2657862,423,170,170,85,85
423,2669210,424,170,170,85,85
424,2680579,425,170,170,85,85
425,2691969,426,170,170,85,85
426,2703381,427,170,170,85,85
427,2714815,428,170,170,85,85
428,2726270,429,170,170,85,85
429,2737746,430,170,170,85,85
430,2749244,431,170,170,85,85
431,2760763,432,170,170,85,85
432,2772303,433,170,170,85,85
433,2783865,434,170,170,85,85
434,2795449,435,170,170,85,85
435,2807053,436,170,170,85,85
436,2818679,437,170,170,85,85
437,2830327,438,170,170,85,85
438,2841996,439,170,170,85,85
439,2853686,440,170,170,85,85
440,2865397,441,170,170,85,85
441,2877130,442,170,170,85,85
442,2888884,443,170,170,85,85
443,2900659,444,170,170,85,85
444,2912456,445,170,170,85,85
445,2924274,446,170,170,85,85
446,2936113,447,170,170,85,85
447,2947973,448,170,170,85,85
448,2959855,449,170,170,85,85
449,2971758,450,170,170,85,85
450,2983682,451,170,170,85,85
451,2995627,452,170,170,85,85
452,3007594,453,170,170,85,85
453,3019582,454,170,170,85,85
454,3031591,455,170,170,85,85
455,3043621,456,170,170,85,85
456,3055672,457,170,170,85,85
457,3067744,458,170,170,85,85
458,3079838,459,170,170,85,85
459,3091953,460,170,170,85,85
460,3104089,461,170,170,85,85
461,3116246,462,170,170,85,85
462,3128424,463,170,170,85,85
463,3140623,464,170,170,85,85
464,3152843,465,170,170,85,85
465,3165085,466,170,170,85,85
466,3177347,467,170,170,85,85
467,3189631,468,170,170,85,85
468,3201935,469,170,170,85,85
469,3214261,470,170,170,85,85
470,3226608,471,170,170,85,85
471,3238975,472,170,170,85,85
472,3251364,473,170,170,85,85
473,3263774,474,170,170,85,85
474,3276205,475,170,170,85,85
475,3288656,476,170,170,85,85
476,3301129,477,170,170,85,85
477,3313623,478,170,170,85,85
478,3326138,479,170,170,85,85
479,3338673,480,170,170,85,85
480,3351230,481,170,170,85,85
481,3363808,482,170,170,85,85
482,3376406,483,170,170,85,85
483,3389026,484,170,170,85,85
484,3401666,485,170,170,85,85
485,3414327,486,170,170,85,85
486,3427009,487,170,170,85,85
487,3439712,488,170,170,85,85
488,3452436,489,170,170,85,85
489,3465181,490,170,170,85,85
490,3477947,491,170,170,85,85
491,3490733,492,170,170,85,85
492,3503541,493,170,170,85,85
493,3516369,494,170,170,85,85
494,3529218,495,170,170,85,85
495,3542088,496,170,170,85,85
496,3554979,497,170,170,85,85
497,3567890,498,170,170,85,85
498,3580823,499,170,170,85,85
499,3593776,500,170,170,85,85
500,3606750,501,170,170,85,85
501,3619744,502,170,170,85,85
502,3632760,503,170,170,85,85
503,3645796,504,170,170,85,85
504,3658853,505,170,170,85,85
505,3671931,506,170,170,85,85
506,3685029,507,170,170,85,85
507,3698148,508,170,170,85,85
508,3711288,509,170,170,85,85
509,3724449,510,170,170,85,85
510,3737630,511,170,170,85,85
511,6997932,512,200,200,100,100
512,7023975,513,200,200,100,100
513,7050063,514,200,200,100,100
514,7076197,515,200,200,100,100
515,7102377,516,200,200,100,100
516,7128603,517,200,200,100,100
517,7154875,518,200,200,100,100
518,7181192,519,200,200,100,100
519,7207555,520,200,200,100,100
520,7233964,521,200,200,100,100
521,7260419,522,200,200,100,100
522,7286919,523,200,200,100,100
523,7313465,524,200,200,100,100
524,7340057,525,200,200,100,100
525,7366695,526,200,200,100,100
526,7393378,527,200,200,100,100
527,7420107,528,200,200,100,100
528,7446882,529,200,200,100,100
529,7473702,530,200,200,100,100
530,7500568,531,200,200,100,100
531,7527480,532,200,200,100,100
532,7554437,533,200,200,100,100
533,7581440,534,200,200,100,100
534,7608489,535,200,200,100,100
535,7635583,536,200,200,100,100
536,7662723,537,200,200,100,100
537,7689908,538,200,200,100,100
538,7717139,539,200,200,100,100
539,7744416,540,200,200,100,100
540,7771738,541,200,200,100,100
541,7799106,542,200,200,100,100
542,7826519,543,200,200,100,100
543,7853978,544,200,200,100,100
544,7881482,545,200,200,100,100
545,7909032,546,200,200,100,100
546,7936628,547,200,200,100,100
547,7964269,548,200,200,100,100
548,7991956,549,200,200,100,100
549,8019688,550,200,200,100,100
550,8047465,551,200,200,100,100
551,8075288,552,200,200,100,100
552,8103157,553,200,200,100,100
553,8131071,554,200,200,100,100
554,8159031,555,200,200,100,100
555,8187035,556,200,200,100,100
556,8215086,557,200,200,100,100
557,8243182,558,200,200,100,100
558,8271323,559,200,200,100,100
559,8299510,560,200,200,100,100
560,8327742,561,200,200,100,100
561,8356019,562,200,200,100,100
562,8384342,563,200,200,100,100
563,8412711,564,200,200,100,100
564,8441124,565,200,200,100,100
565,8469584,566,200,200,100,100
566,8498088,567,200,200,100,100
567,8526638,568,200,200,100,100
568,8555233,569,200,200,100,100
569,8583874,570,200,200,100,100
570,8612559,571,200,200,100,100
571,8641291,572,200,200,100,100
572,8670067,573,200,200,100,100
573,8698889,574,200,200,100,100
574,8727756,575,200,200,100,100
575,8756669,576,200,200,100,100
576,8785626,577,200,200,100,100
577,8814629,578,200,200,100,100
578,8843678,579,200,200,100,100
579,8872771,580,200,200,100,100
580,8901910,581,200,200,100,100
581,8931094,582,200,200,100,100
582,8960323,583,200,200,100,100
583,8989598,584,200,200,100,100
584,9018917,585,200,200,100,100
585,9048282,586,200,200,100,100
586,9077693,587,200,200,100,100
587,9107148,588,200,200,100,100
588,9136649,589,200,200,100,100
589,9166194,590,200,200,100,100
590,9195785,591,200,200,100,100
591,9225422,592,200,200,100,100
592,9255103,593,200,200,100,100
593,9284829,594,200,200,100,100
594,9314601,595,200,200,100,100
595,9344418,596,200,200,100,100
596,9374279,597,200,200,100,100
597,9404187,598,200,200,100,100
598,9434139,599,200,200,100,100
599,9464136,600,200,200,100,100
600,9494178,600,200,200,100,100
