KeyWordID,Name,Description,Category,etc
KWB10034,S10025_Name,업적 '시너지 [기사단장] 사용하기 3' 달성,Achievement_Synergy,
KWB10035,S10026_Name,업적 '시너지 [예티와페페] 사용하기 3' 달성,Achievement_Synergy,
KWB10036,S10027_Name,업적 '시너지 [발록] 사용하기 3' 달성,Achievement_Synergy,
KWB10037,S10028_Name,업적 '시너지 [악마의 나무] 사용하기 3' 달성,Achievement_Synergy,
KWB10038,S10029_Name,업적 '시너지 [악몽의 지배자] 사용하기 3' 달성,Achievement_Synergy,
KWB10039,S10030_Name,업적 '시너지 [시계탑의 근원] 사용하기 3' 달성,Achievement_Synergy,
KWB10040,KeyWordBackName16,업적 '시너지 [아케인리버] 전문가' 달성,Achievement_SynergyExpert,
KWB10041,KeyWordBackName17,업적 '시너지 [모험가] 전문가' 달성,Achievement_SynergyExpert,
KWB10042,KeyWordBackName18,업적 '시너지 [선봉장] 전문가' 달성,Achievement_SynergyExpert,
KWB10043,KeyWordBackName19,업적 '시너지 [사냥꾼] 전문가' 달성,Achievement_SynergyExpert,
KWB10044,KeyWordBackName20,업적 '시너지 [싸움꾼] 전문가' 달성,Achievement_SynergyExpert,
KWB10045,KeyWordBackName21,업적 '시너지 [방해꾼] 전문가' 달성,Achievement_SynergyExpert,
KWB10046,KeyWordBackName22,업적 '큰 그림' 달성,Achievement_RuneCard,
KWB10047,KeyWordBackName23,업적 '재산 증식' 달성,Achievement_RuneCard,
KWB10048,KeyWordBackName24,업적 '피그미의 황금알' 달성,Achievement_RuneCard,
KWB10049,KeyWordBackName25,업적 '고급 분신' 달성,Achievement_RuneCard,
KWB10050,KeyWordBackName26,업적 '아이템 제조기' 달성,Achievement_RuneCard,
KWB10051,KeyWordBackName27,업적 '팔지 말고 기부합시다' 달성,Achievement_RuneCard,
KWB10052,KeyWordBackName28,업적 '한계 돌파 1' 달성,Achievement_Single,
KWB10053,KeyWordBackName29,업적 '한계 돌파 4' 달성,Achievement_Single,
KWB10054,KeyWordBackName30,업적 '한계 돌파 5' 달성,Achievement_Single,
KWB10055,KeyWordBackName31,업적 '여유 있는 승리' 달성,Achievement_Single,
KWB10056,KeyWordBackName32,업적 '티끌 모아 태산' 달성,Achievement_Single,
KWB10057,KeyWordBackName33,업적 '미니멀리즘' 달성,Achievement_Single,
KWB10058,KeyWordBackName34,업적 '맥시멀리즘' 달성,Achievement_Single,
KWB10059,KeyWordBackName35,업적 '압도적인 승리' 달성,Achievement_Rank,
KWB10060,C00000_Name,업적 '진짜 같은 가짜 1' 달성,Achievement_BattleExpert,
KWB10061,KeyWordBackName37,업적 '진짜 같은 가짜 2' 달성,Achievement_BattleExpert,
KWB10062,KeyWordBackName38,업적 '올스타리그 셀러브리티 1' 달성,Achievement_BattleExpert,
KWB10063,NameTagName9,업적 '올스타리그 셀러브리티 2' 달성,Achievement_BattleExpert,
KWB10064,NameTagName29,업적 '올스타리그 셀러브리티 3' 달성,Achievement_BattleExpert,
KWB10065,KeyWordBackName39,업적 '올스타리그 셀러브리티 4' 달성,Achievement_BattleExpert,
KWB10066,KeyWordBackName40,업적 '파괴의 신' 달성,Achievement_BattleExpert,
KWB10067,KeyWordBackName41,업적 '주문술사' 달성,Achievement_BattleExpert,
KWB10068,KeyWordBackName42,알파테스터 전용 칭호,AlphaTesterOnly,
