세트효과명,필요유물1,필요강화1,필요유물2,필요강화2,필요유물3,필요강화3,필요유물4,필요강화4,증가스탯1,수치1,증가스탯2,수치2,등급 필터
별을 담아 마시자,21,2,22,2,23,2,24,2,8003,60000000,,,Grade_2
고귀한 투사의 투구,25,2,26,2,27,2,28,2,8003,60000000,,,Grade_2
상상할 수 없는 힘을 가진 눈,29,2,30,2,31,2,32,2,8003,60000000,,,Grade_2
유물 담는 유물,33,2,34,2,35,2,36,2,8004,0.45,8005,6,Grade_2
거대할수록 가치가 높은,37,2,38,2,39,2,40,2,8004,0.45,8005,6,Grade_2
세 명의 악신 중 하나의 뿔,1,3,2,3,,,,,8001,650000,,,Grade_2
보라색으로 영롱하게 빛나는 돌,3,3,4,3,,,,,8001,650000,,,Grade_2
아주 멋 옛날 하늘에서 썼다는 안경,5,3,6,3,,,,,8001,650000,,,Grade_2
단 한 번도 열리지 않은 자물쇠,7,3,8,3,,,,,8001,650000,,,Grade_2
촉감이 고급스러운,9,3,10,3,,,,,8001,650000,,,Grade_2
혼자 옮길 수 없는,11,3,12,3,,,,,8002,216990,,,Grade_2
향기가 나는 동전,13,3,14,3,,,,,8002,216990,,,Grade_2
패배를 모른다,15,3,16,3,,,,,8002,216990,,,Grade_2
가장 갖고 싶은 것,17,3,18,3,,,,,8002,216990,,,Grade_2
오파츠의 결정체,19,3,20,3,,,,,8002,216990,,,Grade_2
절대 보안,21,3,22,3,,,,,8003,60000000,,,Grade_2
별을 마시는 투사,23,3,24,3,,,,,8003,60000000,,,Grade_2
유물을 찾는 눈,25,3,26,3,,,,,8003,60000000,,,Grade_2
미지의 생명체,27,3,28,3,,,,,8003,60000000,,,Grade_2
보라색 하늘,29,3,30,3,,,,,8003,60000000,,,Grade_2
이국의 물건,31,3,32,3,,,,,8004,0.45,8005,6,Grade_2
신기한 친구들,33,3,34,3,,,,,8004,0.45,8005,6,Grade_2
번쩍번쩍 빛나는,35,3,36,3,,,,,8004,0.45,8005,6,Grade_2
기술과 지식의 대결,37,3,38,3,,,,,8004,0.45,8005,6,Grade_2
부서지지 않는,39,3,40,3,,,,,8004,0.45,8005,6,Grade_2
이야기 모음,1,3,2,3,3,3,,,8001,650000,,,Grade_2
겨우겨우 발견된,4,3,5,3,6,3,,,8001,650000,,,Grade_2
정체는 밝혀진,7,3,8,3,9,3,,,8001,650000,,,Grade_2
크고도 작은,10,3,11,3,12,3,,,8002,216990,,,Grade_2
꿈의 수집품,13,3,14,3,15,3,,,8002,216990,,,Grade_2
동쪽의 전설,16,3,17,3,18,3,,,8002,216990,,,Grade_2
서쪽의 전설,19,3,20,3,21,3,,,8002,216990,,,Grade_2
남쪽의 전설,22,3,23,3,24,3,,,8003,60000000,,,Grade_2
북쪽의 전설,25,3,26,3,27,3,,,8003,60000000,,,Grade_2
고대 문화의 시작 2,28,3,29,3,30,3,,,8003,60000000,,,Grade_2
마음을 담는 항아리 2,31,3,32,3,33,3,,,8004,0.45,,,Grade_2
별을 보며 차 한 잔 2,34,3,35,3,36,3,,,8004,0.45,,,Grade_2
궁금한 건 참을 수 없다 2,37,3,38,3,39,3,,,8004,0.45,,,Grade_2
끝내 열리지 않았다 2,1,3,2,3,3,3,4,3,8001,650000,,,Grade_2
물고기와 강아지 2,5,3,6,3,7,3,8,3,8001,650000,,,Grade_2
초식 전갈 2,9,3,10,3,11,3,12,3,8001,650000,,,Grade_2
유혹 2,13,3,14,3,15,3,16,3,8002,216990,,,Grade_2
황금알을 낳는 잉어 2,17,3,18,3,19,3,20,3,8002,216990,,,Grade_2
선과 악을 나란히 2,21,3,22,3,23,3,24,3,8003,60000000,,,Grade_2
한때는 빛이 났으리라 2,25,3,26,3,27,3,28,3,8003,60000000,,,Grade_2
왕가의 평화 2,29,3,30,3,31,3,32,3,8003,60000000,,,Grade_2
누구나 흙으로 돌아간다 2,33,3,34,3,35,3,36,3,8004,0.45,8005,6,Grade_2
어울리지 않는 한 쌍2,37,3,38,3,39,3,40,3,8004,0.45,8005,6,Grade_2
어디에 담을까? 2,41,1,42,1,,,,,8001,1300000,,,Grade_3
쏘고 베고 찌르고 2,43,1,44,1,,,,,8001,1300000,,,Grade_3
미래를 통해 본 것 2,45,1,46,1,,,,,8002,245980,,,Grade_3
찬란했던 과거 2,47,1,48,1,,,,,8002,245980,,,Grade_3
눈부시던 왕궁 2,49,1,50,1,,,,,8003,120000000,,,Grade_3
아무리 담아도 부족한 2,51,1,52,1,,,,,8003,120000000,,,Grade_3
풍족한 시작 2,53,1,54,1,,,,,8004,0.9,,,Grade_3
운치 있는 두근거림 2,55,1,56,1,,,,,8004,0.9,,,Grade_3
더욱 더 궁금한 2,57,1,57,1,,,,,8005,12,,,Grade_3
취미를 모아보자 2,41,1,42,1,43,1,,,8001,1300000,,,Grade_3
풍족함을 보여주다 2,44,1,45,1,46,1,,,8001,1300000,,,Grade_3
어울릴 수 있을까? 2,47,1,48,1,49,1,,,8002,245980,,,Grade_3
"지혜로운 뼈, 그리고 뼈 2",50,1,51,1,52,1,,,8002,245980,,,Grade_3
몰락하지 않는 왕가 2,53,1,54,1,55,1,,,8003,120000000,,,Grade_3
무엇이든 모아봅시다 2,56,1,57,1,57,1,,,8003,120000000,,,Grade_3
"사냥, 그리고 더 많은 사냥 2",41,1,42,1,43,1,44,1,8004,0.9,,,Grade_3
세 가지 신기 2,45,1,46,1,47,1,48,1,8004,0.9,,,Grade_3
"빛났고, 몰락했다 2",49,1,50,1,51,1,52,1,8005,12,,,Grade_3
빛이 나는 유물 2,53,1,54,1,55,1,56,1,8005,12,,,Grade_3
제사장과 금덩어리 2,41,2,42,2,,,,,8001,1300000,,,Grade_3
"궁금하게, 운치 있게 2",43,2,44,2,,,,,8001,1300000,,,Grade_3
보물로 꽉 찬 상자? 2,45,2,46,2,,,,,8002,245980,,,Grade_3
금으로 만들어진 2,47,2,48,2,,,,,8002,245980,,,Grade_3
누구나 갖고 싶은 2,49,2,50,2,,,,,8003,120000000,,,Grade_3
걸다 지쳐 상자로 2,51,2,52,2,,,,,8003,120000000,,,Grade_3
알 수 없는 조합 2,53,2,54,2,,,,,8004,0.9,,,Grade_3
잊힌 무기들 2,55,2,56,2,,,,,8004,0.9,,,Grade_3
고대유물을 모아보자 2,57,2,57,2,,,,,8005,12,,,Grade_3
빛을 모아보자 2,41,2,42,2,43,2,,,8001,1300000,,,Grade_3
마법 도구 2,44,2,45,2,46,2,,,8001,1300000,,,Grade_3
신기한 친구들 2,47,2,48,2,49,2,,,8002,245980,,,Grade_3
좀처럼 보기 힘든 2,50,2,51,2,52,2,,,8002,245980,,,Grade_3
찾을 수 있으면 찾아보자 2,53,2,54,2,55,2,,,8003,120000000,,,Grade_3
고대의 기원 2,56,2,57,2,57,2,,,8003,120000000,,,Grade_3
어인의 눈물 2,41,2,42,2,43,2,44,2,8004,0.9,,,Grade_3
금붙이와 독수리 2,45,2,46,2,47,2,48,2,8004,0.9,,,Grade_3
엽전과 상자 2,49,2,50,2,51,2,52,2,8005,12,,,Grade_3
보내고 받고 2,53,2,54,2,55,2,56,2,8005,12,,,Grade_3
대마법사와 삼위일체 2,41,3,42,3,,,,,8001,1300000,,,Grade_3
고급 유물 모음 2,43,3,44,3,,,,,8001,1300000,,,Grade_3
우리 어울리나요? 2,45,3,46,3,,,,,8002,245980,,,Grade_3
고대 유물 모음 2,47,3,48,3,,,,,8002,245980,,,Grade_3
명성이 높은 유물 2,49,3,50,3,,,,,8003,120000000,,,Grade_3
수수께끼 2,51,3,52,3,,,,,8003,120000000,,,Grade_3
완벽한 두 쌍2,53,3,54,3,,,,,8004,0.9,,,Grade_3
부의 상징 2,55,3,56,3,,,,,8004,0.9,,,Grade_3
바다와 땅의 이야기 2,57,3,57,3,,,,,8005,12,,,Grade_3
이야기를 모으다 2,41,3,42,3,43,3,,,8001,1300000,,,Grade_3
뜨거운 한 잔 2,44,3,45,3,46,3,,,8001,1300000,,,Grade_3
"녹지 않는 금, 뜨거운 자루 2",47,3,48,3,49,3,,,8002,245980,,,Grade_3
무섭고도 귀여운 2,50,3,51,3,52,3,,,8002,245980,,,Grade_3
재료만 알려진 2,53,3,54,3,55,3,,,8003,120000000,,,Grade_3
피하고 모으고 2,56,3,57,3,57,3,,,8003,120000000,,,Grade_3
익숙하고 그리운 무언가 2,41,3,42,3,43,3,44,3,8004,0.9,,,Grade_3
미묘하게 애정을 담은 2,45,3,46,3,47,3,48,3,8004,0.9,,,Grade_3
마력을 느껴보자 2,49,3,50,3,51,3,52,3,8005,12,,,Grade_3
넓디넓은 대지 2,53,3,54,3,55,3,56,3,8005,12,,,Grade_3
이야기가 궁금한 것들 2,58,1,59,1,,,,,8001,1300000,,,Grade_4
좀처럼 모이지 않는 유물 2,60,1,61,1,,,,,8001,1300000,,,Grade_4
잘 알려진 2,62,1,63,1,,,,,8002,245980,,,Grade_4
"기원을 알지만, 사용법은 모르는 2",64,1,65,1,,,,,8002,245980,,,Grade_4
이어지지 않는 무언가 2,66,1,67,1,,,,,8003,120000000,,,Grade_4
붉은 대지 2,68,1,69,1,,,,,8003,120000000,,,Grade_4
한 번도 모인 적 없는 2,70,1,71,1,,,,,8004,0.9,,,Grade_4
미스터리 시리즈 2,72,1,73,1,,,,,8004,0.9,,,Grade_4
궁금한 모임 2,74,1,74,1,,,,,8005,18,,,Grade_4
유용하고도 신묘한 물건 2,58,1,59,1,60,1,,,8001,1300000,,,Grade_4
별을 담아 마시자 2,61,1,62,1,63,1,,,8001,1300000,,,Grade_4
고귀한 투사의 투구 2,64,1,65,1,66,1,,,8002,245980,,,Grade_4
상상할 수 없는 힘을 가진 눈 2,67,1,68,1,69,1,,,8002,245980,,,Grade_4
유물 담는 유물 2,70,1,71,1,72,1,,,8003,120000000,,,Grade_4
거대할수록 가치가 높은 2,73,1,74,1,74,1,,,8003,120000000,,,Grade_4
세 명의 악신 중 하나의 뿔 2,58,1,59,1,60,1,61,1,8004,0.9,,,Grade_4
보라색으로 영롱하게 빛나는 돌 2,62,1,63,1,64,1,65,1,8004,0.9,,,Grade_4
아주 멋 옛날 하늘에서 썼다는 안경 2,66,1,67,1,68,1,69,1,8005,18,,,Grade_4
단 한 번도 열리지 않은 자물쇠 2,70,1,71,1,72,1,73,1,8005,18,,,Grade_4
촉감이 고급스러운 2,58,2,59,2,,,,,8001,1300000,,,Grade_4
혼자 옮길 수 없는 2,60,2,61,2,,,,,8001,1300000,,,Grade_4
향기가 나는 동전 2,62,2,63,2,,,,,8002,245980,,,Grade_4
패배를 모른다 2,64,2,65,2,,,,,8002,245980,,,Grade_4
가장 갖고 싶은 것 2,66,2,67,2,,,,,8003,120000000,,,Grade_4
오파츠의 결정체 2,68,2,69,2,,,,,8003,120000000,,,Grade_4
절대 보안 2,70,2,71,2,,,,,8004,0.9,,,Grade_4
별을 마시는 투사 2,72,2,73,2,,,,,8004,0.9,,,Grade_4
유물을 찾는 눈 2,74,2,74,2,,,,,8005,18,,,Grade_4
미지의 생명체 2,58,2,59,2,60,2,,,8001,1300000,,,Grade_4
보라색 하늘 2,61,2,62,2,63,2,,,8001,1300000,,,Grade_4
이국의 물건 2,64,2,65,2,66,2,,,8002,245980,,,Grade_4
신기한 친구들 2,67,2,68,2,69,2,,,8002,245980,,,Grade_4
번쩍번쩍 빛나는 2,70,2,71,2,72,2,,,8003,120000000,,,Grade_4
기술과 지식의 대결 2,73,2,74,2,74,2,,,8003,120000000,,,Grade_4
부서지지 않는 2,58,2,59,2,60,2,61,2,8004,0.9,,,Grade_4
이야기 모음 2,62,2,63,2,64,2,65,2,8004,0.9,,,Grade_4
겨우겨우 발견된 2,66,2,67,2,68,2,69,2,8005,18,,,Grade_4
정체는 밝혀진 2,70,2,71,2,72,2,73,2,8005,18,,,Grade_4
크고도 작은 2,58,3,59,3,,,,,8001,1300000,,,Grade_4
꿈의 수집품 2,60,3,61,3,,,,,8001,1300000,,,Grade_4
동쪽의 전설 2,62,3,63,3,,,,,8002,245980,,,Grade_4
서쪽의 전설 2,64,3,65,3,,,,,8002,245980,,,Grade_4
남쪽의 전설 2,66,3,67,3,,,,,8003,120000000,,,Grade_4
북쪽의 전설 2,68,3,69,3,,,,,8003,120000000,,,Grade_4
고대 문화의 시작 3,70,3,71,3,,,,,8004,0.9,,,Grade_4
마음을 담는 항아리 3,72,3,73,3,,,,,8004,0.9,,,Grade_4
별을 보며 차 한 잔 3,74,3,74,3,,,,,8005,18,,,Grade_4
궁금한 건 참을 수 없다 3,58,3,59,3,60,3,,,8001,1300000,,,Grade_4
끝내 열리지 않았다 3,61,3,62,3,63,3,,,8001,1300000,,,Grade_4
물고기와 강아지 3,64,3,65,3,66,3,,,8002,245980,,,Grade_4
초식 전갈 3,67,3,68,3,69,3,,,8002,245980,,,Grade_4
유혹 3,70,3,71,3,72,3,,,8003,120000000,,,Grade_4
황금알을 낳는 잉어 3,73,3,74,3,74,3,,,8003,120000000,,,Grade_4
선과 악을 나란히 3,58,3,59,3,60,3,61,3,8004,0.9,,,Grade_4
한때는 빛이 났으리라 3,62,3,63,3,64,3,65,3,8004,0.9,,,Grade_4
왕가의 평화 3,66,3,67,3,68,3,69,3,8005,18,,,Grade_4
누구나 흙으로 돌아간다 3,70,3,71,3,72,3,73,3,8005,18,,,Grade_4
어울리지 않는 한 쌍3,75,1,,,,,,,8001,2600000,,,Grade_5
어디에 담을까? 3,76,1,,,,,,,8001,2600000,,,Grade_5
쏘고 베고 찌르고 3,77,1,,,,,,,8001,2600000,,,Grade_5
미래를 통해 본 것 3,78,1,,,,,,,8001,2600000,,,Grade_5
찬란했던 과거 3,79,1,,,,,,,8002,303960,,,Grade_5
눈부시던 왕궁 3,80,1,,,,,,,8002,303960,,,Grade_5
아무리 담아도 부족한 3,81,1,,,,,,,8002,303960,,,Grade_5
풍족한 시작 3,82,1,,,,,,,8002,303960,,,Grade_5
운치 있는 두근거림 3,83,1,,,,,,,8003,240000000,,,Grade_5
더욱 더 궁금한 3,84,1,,,,,,,8003,240000000,,,Grade_5
취미를 모아보자 3,85,1,,,,,,,8003,240000000,,,Grade_5
풍족함을 보여주다 3,86,1,,,,,,,8003,240000000,,,Grade_5
어울릴 수 있을까? 3,87,1,,,,,,,8004,1.8,8005,12,Grade_5
"지혜로운 뼈, 그리고 뼈 3",88,1,,,,,,,8004,1.8,8005,12,Grade_5
몰락하지 않는 왕가 3,89,1,,,,,,,8004,1.8,8005,12,Grade_5
무엇이든 모아봅시다 3,90,1,,,,,,,8004,1.8,8005,12,Grade_5
"사냥, 그리고 더 많은 사냥 3",75,1,76,1,,,,,8001,2600000,,,Grade_5
세 가지 신기 3,77,1,78,1,,,,,8001,2600000,,,Grade_5
"빛났고, 몰락했다 3",79,1,80,1,,,,,8002,303960,,,Grade_5
빛이 나는 유물 3,81,1,82,1,,,,,8002,303960,,,Grade_5
제사장과 금덩어리 3,83,1,84,1,,,,,8003,240000000,,,Grade_5
"궁금하게, 운치 있게 3",85,1,86,1,,,,,8003,240000000,,,Grade_5
보물로 꽉 찬 상자? 3,87,1,88,1,,,,,8004,1.8,,,Grade_5
금으로 만들어진 3,89,1,90,1,,,,,8004,1.8,,,Grade_5
누구나 갖고 싶은 3,90,1,90,1,,,,,8005,48,,,Grade_5
걸다 지쳐 상자로 3,75,1,76,1,77,1,,,8001,2600000,,,Grade_5
알 수 없는 조합 3,78,1,79,1,80,1,,,8001,2600000,,,Grade_5
잊힌 무기들 3,81,1,82,1,83,1,,,8002,303960,,,Grade_5
고대유물을 모아보자 3,84,1,85,1,86,1,,,8002,303960,,,Grade_5
빛을 모아보자 3,87,1,88,1,89,1,,,8003,240000000,,,Grade_5
마법 도구 3,75,1,76,1,77,1,78,1,8003,240000000,,,Grade_5
신기한 친구들 3,79,1,80,1,81,1,82,1,8004,1.8,,,Grade_5
좀처럼 보기 힘든 3,83,1,84,1,85,1,86,1,8004,1.8,,,Grade_5
찾을 수 있으면 찾아보자 3,87,1,88,1,89,1,90,1,8005,48,,,Grade_5
고대의 기원 3,75,2,,,,,,,8001,2600000,,,Grade_5
어인의 눈물 3,76,2,,,,,,,8001,2600000,,,Grade_5
금붙이와 독수리 3,77,2,,,,,,,8001,2600000,,,Grade_5
엽전과 상자 3,78,2,,,,,,,8001,2600000,,,Grade_5
보내고 받고 3,79,2,,,,,,,8002,303960,,,Grade_5
대마법사와 삼위일체 3,80,2,,,,,,,8002,303960,,,Grade_5
고급 유물 모음 3,81,2,,,,,,,8002,303960,,,Grade_5
우리 어울리나요? 3,82,2,,,,,,,8002,303960,,,Grade_5
고대 유물 모음 3,83,2,,,,,,,8003,240000000,,,Grade_5
명성이 높은 유물 3,84,2,,,,,,,8003,240000000,,,Grade_5
수수께끼 3,85,2,,,,,,,8003,240000000,,,Grade_5
완벽한 두 쌍3,86,2,,,,,,,8003,240000000,,,Grade_5
부의 상징 3,87,2,,,,,,,8004,1.8,8005,12,Grade_5
바다와 땅의 이야기 3,88,2,,,,,,,8004,1.8,8005,12,Grade_5
이야기를 모으다 3,89,2,,,,,,,8004,1.8,8005,12,Grade_5
뜨거운 한 잔 3,90,2,,,,,,,8004,1.8,8005,12,Grade_5
"녹지 않는 금, 뜨거운 자루 3",75,2,76,2,,,,,8001,2600000,,,Grade_5
무섭고도 귀여운 3,77,2,78,2,,,,,8001,2600000,,,Grade_5
재료만 알려진 3,79,2,80,2,,,,,8002,303960,,,Grade_5
피하고 모으고 3,81,2,82,2,,,,,8002,303960,,,Grade_5
익숙하고 그리운 무언가 3,83,2,84,2,,,,,8003,240000000,,,Grade_5
미묘하게 애정을 담은 3,85,2,86,2,,,,,8003,240000000,,,Grade_5
마력을 느껴보자 3,87,2,88,2,,,,,8004,1.8,,,Grade_5
넓디넓은 대지 3,89,2,90,2,,,,,8004,1.8,,,Grade_5
이야기가 궁금한 것들 3,90,2,90,2,,,,,8005,48,,,Grade_5
좀처럼 모이지 않는 유물 3,75,2,76,2,77,2,,,8001,2600000,,,Grade_5
잘 알려진 3,78,2,79,2,80,2,,,8001,2600000,,,Grade_5
"기원을 알지만, 사용법은 모르는 3",81,2,82,2,83,2,,,8002,303960,,,Grade_5
이어지지 않는 무언가 3,84,2,85,2,86,2,,,8002,303960,,,Grade_5
붉은 대지 3,87,2,88,2,89,2,,,8003,240000000,,,Grade_5
한 번도 모인 적 없는 3,75,2,76,2,77,2,78,2,8003,240000000,,,Grade_5
미스터리 시리즈 3,79,2,80,2,81,2,82,2,8004,1.8,,,Grade_5
궁금한 모임 3,83,2,84,2,85,2,86,2,8004,1.8,,,Grade_5
유용하고도 신묘한 물건 3,87,2,88,2,89,2,90,2,8005,48,,,Grade_5
별을 담아 마시자 3,75,3,,,,,,,8001,2600000,,,Grade_5
고귀한 투사의 투구 3,76,3,,,,,,,8001,2600000,,,Grade_5
상상할 수 없는 힘을 가진 눈 3,77,3,,,,,,,8001,2600000,,,Grade_5
유물 담는 유물 3,78,3,,,,,,,8001,2600000,,,Grade_5
거대할수록 가치가 높은 3,79,3,,,,,,,8002,303960,,,Grade_5
세 명의 악신 중 하나의 뿔 3,80,3,,,,,,,8002,303960,,,Grade_5
보라색으로 영롱하게 빛나는 돌 3,81,3,,,,,,,8002,303960,,,Grade_5
아주 멋 옛날 하늘에서 썼다는 안경 3,82,3,,,,,,,8002,303960,,,Grade_5
단 한 번도 열리지 않은 자물쇠 3,83,3,,,,,,,8003,240000000,,,Grade_5
촉감이 고급스러운 3,84,3,,,,,,,8003,240000000,,,Grade_5
혼자 옮길 수 없는 3,85,3,,,,,,,8003,240000000,,,Grade_5
향기가 나는 동전 3,86,3,,,,,,,8003,240000000,,,Grade_5
패배를 모른다 3,87,3,,,,,,,8004,1.8,8005,12,Grade_5
가장 갖고 싶은 것 3,88,3,,,,,,,8004,1.8,8005,12,Grade_5
오파츠의 결정체 3,89,3,,,,,,,8004,1.8,8005,12,Grade_5
절대 보안 3,90,3,,,,,,,8004,1.8,8005,12,Grade_5
별을 마시는 투사 3,75,3,76,3,,,,,8001,2600000,,,Grade_5
유물을 찾는 눈 3,77,3,78,3,,,,,8001,2600000,,,Grade_5
미지의 생명체 3,79,3,80,3,,,,,8002,303960,,,Grade_5
보라색 하늘 3,81,3,82,3,,,,,8002,303960,,,Grade_5
이국의 물건 3,83,3,84,3,,,,,8003,240000000,,,Grade_5
신기한 친구들 3,85,3,86,3,,,,,8003,240000000,,,Grade_5
번쩍번쩍 빛나는 3,87,3,88,3,,,,,8004,1.8,,,Grade_5
기술과 지식의 대결 3,89,3,90,3,,,,,8004,1.8,,,Grade_5
부서지지 않는 3,90,3,90,3,,,,,8005,48,,,Grade_5
이야기 모음 3,75,3,76,3,77,3,,,8001,2600000,,,Grade_5
겨우겨우 발견된 3,78,3,79,3,80,3,,,8001,2600000,,,Grade_5
정체는 밝혀진 3,81,3,82,3,83,3,,,8002,303960,,,Grade_5
크고도 작은 3,84,3,85,3,86,3,,,8002,303960,,,Grade_5
꿈의 수집품 3,87,3,88,3,89,3,,,8003,240000000,,,Grade_5
동쪽의 전설 3,75,3,76,3,77,3,78,3,8003,240000000,,,Grade_5
서쪽의 전설 3,79,3,80,3,81,3,82,3,8004,1.8,,,Grade_5
남쪽의 전설 3,83,3,84,3,85,3,86,3,8004,1.8,,,Grade_5
