Level,Value,ConditionType,ConditionValue1,ConditionValue2,ConditionValue3,ConditionValue4,ConditionValue5,ConditionValue6,ConditionValue7,ConditionValue8,ConditionValue9
60,60,Achievement,,,,,10008014,10008014,10008011,10008011,10008008
61,61,Achievement,,,,,,10008014,10008011,10008011,10008008
62,62,Achievement,,,,,,10008014,10008011,10008011,10008008
63,63,Achievement,,,,,,10008014,10008011,10008011,10008008
64,64,Achievement,,,,,,10008014,10008011,10008011,10008008
65,65,Achievement,,,,,,10008014,10008011,10008011,10008008
66,66,Achievement,,,,,,10008014,10008014,10008011,10008008
67,67,Achievement,,,,,,10008014,10008014,10008011,10008008
68,68,Achievement,,,,,,10008014,10008014,10008011,10008008
69,69,Achievement,,,,,,10008014,10008014,10008011,10008008
70,70,Achievement,,,,,,10008014,10008014,10008011,10008008
71,71,Achievement,,,,,,,10008014,10008011,10008008
72,72,Achievement,,,,,,,10008014,10008011,10008011
73,73,Achievement,,,,,,,10008014,10008011,10008011
74,74,Achievement,,,,,,,10008014,10008011,10008011
75,75,Achievement,,,,,,,10008014,10008011,10008011
76,76,Achievement,,,,,,,10008014,10008014,10008011
77,77,Achievement,,,,,,,10008014,10008014,10008011
78,78,Achievement,,,,,,,10008014,10008014,10008011
79,79,Achievement,,,,,,,10008014,10008014,10008011
80,80,Achievement,,,,,,,10008014,10008014,10008011
81,81,Achievement,,,,,,,,10008014,10008011
82,82,Achievement,,,,,,,,10008014,10008011
83,83,Achievement,,,,,,,,10008014,10008011
84,84,Achievement,,,,,,,,10008014,10008011
85,85,Achievement,,,,,,,,10008014,10008011
86,86,Achievement,,,,,,,,10008014,10008011
87,87,Achievement,,,,,,,,10008014,10008011
88,88,Achievement,,,,,,,,10008014,10008011
89,89,Achievement,,,,,,,,10008014,10008011
90,90,Achievement,,,,,,,,10008014,10008011
91,91,Achievement,,,,,,,,,10008011
92,92,Achievement,,,,,,,,,10008011
93,93,Achievement,,,,,,,,,10008011
94,94,Achievement,,,,,,,,,10008014
95,95,Achievement,,,,,,,,,10008014
96,96,Achievement,,,,,,,,,10008014
97,97,Achievement,,,,,,,,,10008014
98,98,Achievement,,,,,,,,,10008014
99,99,Achievement,,,,,,,,,10008014
100,100,Achievement,,,,,,,,,10008014
