Id,Level,Type,ContentsTextKey,ImageRUID,Contents,FormatText0Value,FormatText1Value,FormatText2Value,FormatText3Value,FormatText4Value,FormatText5Value
20003,25,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,26,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,27,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,28,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,29,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,30,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,31,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,32,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,33,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,34,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,35,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,36,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,37,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,38,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,39,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,40,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,41,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20004,1,TextOnly,UpgradeHelpText2000401,,,,,,,,
20004,2,TextOnly,UpgradeHelpText2000402,,,,,,,,
20004,3,TextOnly,UpgradeHelpText2000403,,,,,,,,
20004,4,TextOnly,UpgradeHelpText2000404,,,,,,,,
20004,5,TextOnly,UpgradeHelpText2000405,,,,,,,,
20004,6,TextOnly,UpgradeHelpText2000406,,,,,,,,
20004,7,TextOnly,UpgradeHelpText2000407,,,,,,,,
20004,8,TextOnly,UpgradeHelpText2000408,,,,,,,,
20004,9,TextOnly,UpgradeHelpText2000409,,,,,,,,
20004,10,TextOnly,UpgradeHelpText2000410,,,,,,,,
20004,11,TextOnly,UpgradeHelpText2000411,,,,,,,,
20004,12,TextOnly,UpgradeHelpText2000412,,,,,,,,
20004,13,TextOnly,UpgradeHelpText2000413,,,,,,,,
20004,14,TextOnly,UpgradeHelpText2000414,,,,,,,,
20004,15,TextOnly,UpgradeHelpText2000415,,,,,,,,
20004,16,TextOnly,UpgradeHelpText2000416,,,,,,,,
30001,1,TextOnly,UpgradeHelpText3000101,,,,,,,,
30001,2,TextOnly,UpgradeHelpText3000102,,,,,,,,
30001,3,TextOnly,UpgradeHelpText3000103,,,,,,,,
30003,,TextOnly,UpgradeHelpText30003,,,beforeCustomerCount,afterCustomerCount,customerBonus,beforePrice,afterPrice,
30004,1,TextOnly,UpgradeHelpText3000401,,,"IngreNormal,IngreRare",5~7,,,,
30004,2,TextOnly,UpgradeHelpText3000402,,,"IngreNormal,IngreRare",7~9,1~3,,,
30004,3,TextOnly,UpgradeHelpText3000402,,,"IngreNormal,IngreRare,IngreLuxury",9~11,2~4,,,
30004,4,TextOnly,UpgradeHelpText3000402,,,"IngreNormal,IngreRare,IngreLuxury",11~13,3~5,,,
30004,5,TextOnly,UpgradeHelpText3000402,,,"IngreNormal,IngreRare,IngreLuxury",13~15,4~6,,,
30005,1,TextOnly,UpgradeHelpText30005,,,0~1,50%,0~1,50%,,
30005,2,TextOnly,UpgradeHelpText30005,,,0~2,50~60%,0~1,60%,,
30005,3,TextOnly,UpgradeHelpText30005,,,0~3,50~70%,0~1,70%,,
30005,4,TextOnly,UpgradeHelpText30005,,,0~3,60~80%,0~1,80%,,
30005,5,TextOnly,UpgradeHelpText30005,,,0~3,60~90%,0~1,90%,,
30006,1,TextOnly,UpgradeHelpText30006,,,15,12,,,,
30006,2,TextOnly,UpgradeHelpText30006,,,12,10,,,,
30006,3,TextOnly,UpgradeHelpText30006,,,10,9,,,,
30006,4,TextOnly,UpgradeHelpText30006,,,9,8,,,,
30006,5,TextOnly,UpgradeHelpText30006,,,8,7,,,,
30006,6,TextOnly,UpgradeHelpText30006,,,7,6,,,,
30006,7,TextOnly,UpgradeHelpText30006,,,6,5,,,,
30006,8,TextOnly,UpgradeHelpText30006,,,5,4,,,,
30006,9,TextOnly,UpgradeHelpText30006,,,4,3,,,,
30006,10,TextOnly,UpgradeHelpText30006,,,3,2,,,,
30006,11,TextOnly,UpgradeHelpText30006,,,2,1,,,,
30007,1,TextOnly,UpgradeHelpText30007,,,20,30,,,,
30007,2,TextOnly,UpgradeHelpText30007,,,30,40,,,,
30007,3,TextOnly,UpgradeHelpText30007,,,40,50,,,,
30007,4,TextOnly,UpgradeHelpText30007,,,50,60,,,,
30007,5,TextOnly,UpgradeHelpText30007,,,60,70,,,,
30007,6,TextOnly,UpgradeHelpText30007,,,70,80,,,,
30007,7,TextOnly,UpgradeHelpText30007,,,80,90,,,,
30007,8,TextOnly,UpgradeHelpText30007,,,90,100,,,,
40001,1,TextOnly,UpgradeHelpText40001,,,3,4,6,8,,
40001,2,TextOnly,UpgradeHelpText40001,,,4,5,8,10,,
40001,3,TextOnly,UpgradeHelpText40001,,,5,6,10,12,,
40001,4,TextOnly,UpgradeHelpText40001,,,6,7,12,14,,
40001,5,TextOnly,UpgradeHelpText40001,,,7,8,14,16,,
40001,6,TextOnly,UpgradeHelpText40001,,,8,9,16,18,,
40001,7,TextOnly,UpgradeHelpText40001,,,9,10,18,20,,
40002,1,TextOnly,UpgradeHelpText4000201,,,1,,,,,
40002,2,TextOnly,UpgradeHelpText4000202,,,1,2,100,200,400,800
40002,3,TextOnly,UpgradeHelpText4000202,,,2,3,100,200,400,800
40002,4,TextOnly,UpgradeHelpText4000202,,,3,4,100,200,400,800
40002,5,TextOnly,UpgradeHelpText4000202,,,4,5,100,200,400,800
40003,,TextOnly,UpgradeHelpText40003,,,levelValue,nextLevelValue,,,,
40004,,TextOnly,UpgradeHelpText40004,,,levelValue,nextLevelValue,,,,
50001,,TextOnly,SubscriptionDescText50001,,한 달에 한 번 일반 재료 상자를 1개씩 배송해주는 서비스를 구독한다.\n구독 서비스는 3개월 간 유지된다.,,,,,,
50002,,TextOnly,SubscriptionDescText50002,,한 달에 한 번 일반 재료 상자를 1개씩 배송해주는 서비스를 구독한다.\n구독 서비스는 1년 간 유지된다.,,,,,,
50003,,TextOnly,SubscriptionDescText50003,,한 달에 한 번 희귀 재료 상자를 1개씩 배송해주는 서비스를 구독한다.\n구독 서비스는 3개월 간 유지된다.,,,,,,
50004,,TextOnly,SubscriptionDescText50004,,한 달에 한 번 희귀 재료 상자를 1개씩 배송해주는 서비스를 구독한다.\n구독 서비스는 1년 간 유지된다.,,,,,,
50005,,TextOnly,SubscriptionDescText50005,,한 달에 한 번 호화 재료 상자를 1개씩 배송해주는 서비스를 구독한다.\n구독 서비스는 3개월 간 유지된다.,,,,,,
50006,,TextOnly,SubscriptionDescText50006,,한 달에 한 번 호화 재료 상자를 1개씩 배송해주는 서비스를 구독한다.\n구독 서비스는 1년 간 유지된다.,,,,,,
