SetID,CharID,Name,Level,MaxHP,MaxMP,MP,PhysicalAttack,MagicalAttack,Defence,MagicalResistance,AttackSpeed,AttackRange,SkillRange,CriticalPercent,CriticalDamagePercent,BloodAbsorptionPercent,MoveSpeed
C100203,C10020,스톰,3,1944,90,20,135,90,30,30,0.91,1,100,0,140,0,1
C100211,C10021,벨리베어,1,600,80,20,40,60,30,30,0.85,1,100,0,140,0,1
C100212,C10021,벨리베어,2,1080,80,20,60,90,30,30,0.85,1,100,0,140,0,1
C100213,C10021,벨리베어,3,1944,80,20,90,135,30,30,0.85,1,100,0,140,0,1
C200011,C20001,호크아이,1,650,75,15,60,0,40,40,0.91,1,100,0,140,0,1
C200012,C20001,호크아이,2,1170,75,15,90,0,40,40,0.91,1,100,0,140,0,1
C200013,C20001,호크아이,3,2106,75,15,135,0,40,40,0.91,1,100,0,140,0,1
C200021,C20002,페페,1,700,85,30,50,70,45,45,0.78,1,100,0,140,0,1
C200022,C20002,페페,2,1260,85,30,75,105,45,45,0.78,1,100,0,140,0,1
C200023,C20002,페페,3,2268,85,30,113,158,45,45,0.78,1,100,0,140,0,1
C200031,C20003,망각의 수호병,1,700,90,50,55,0,45,45,0.85,1,100,0,140,0,1
C200032,C20003,망각의 수호병,2,1260,90,50,83,0,45,45,0.85,1,100,0,140,0,1
C200033,C20003,망각의 수호병,3,2268,90,50,124,0,45,45,0.85,1,100,0,140,0,1
C200041,C20004,주먹펴고 일어서,1,700,80,25,45,70,45,45,0.85,1,100,0,140,0,1
C200042,C20004,주먹펴고 일어서,2,1260,80,25,68,105,45,45,0.85,1,100,0,140,0,1
C200043,C20004,주먹펴고 일어서,3,2268,80,25,101,158,45,45,0.85,1,100,0,140,0,1
C200051,C20005,후회의 신관,1,550,60,15,45,75,20,20,0.91,5,100,0,140,0,1
C200052,C20005,후회의 신관,2,990,60,15,68,113,20,20,0.91,5,100,0,140,0,1
C200053,C20005,후회의 신관,3,1782,60,15,101,170,20,20,0.91,5,100,0,140,0,1
C200061,C20006,M.소울테니,1,600,0,0,50,65,40,40,0.91,1,100,0,140,0,1
C200062,C20006,M.소울테니,2,1080,0,0,75,98,40,40,0.91,1,100,0,140,0,1
C200063,C20006,M.소울테니,3,1944,0,0,113,147,40,40,0.91,1,100,0,140,0,1
C200071,C20007,이카르트,1,550,85,50,60,50,20,20,0.98,5,100,0,140,0,1
C200072,C20007,이카르트,2,990,85,50,90,75,20,20,0.98,5,100,0,140,0,1
C200073,C20007,이카르트,3,1782,85,50,135,113,20,20,0.98,5,100,0,140,0,1
C200081,C20008,라이오너,1,550,50,25,50,70,30,30,1.04,4,100,0,140,0,1
C200082,C20008,라이오너,2,990,50,25,75,105,30,30,1.04,4,100,0,140,0,1
C200083,C20008,라이오너,3,1782,50,25,113,158,30,30,1.04,4,100,0,140,0,1
C200091,C20009,불독,1,700,70,15,60,0,40,40,0.85,1,100,0,140,0,1
C200092,C20009,불독,2,1260,70,15,90,0,40,40,0.85,1,100,0,140,0,1
C200093,C20009,불독,3,2268,70,15,135,0,40,40,0.85,1,100,0,140,0,1
C200101,C20010,아이스 드레이크,1,550,40,10,50,75,30,30,0.91,5,100,0,140,0,1
C200102,C20010,아이스 드레이크,2,990,40,10,75,113,30,30,0.91,5,100,0,140,0,1
C200103,C20010,아이스 드레이크,3,1782,40,10,113,170,30,30,0.91,5,100,0,140,0,1
C200111,C20011,사수,1,550,90,45,65,40,20,20,0.91,5,100,0,140,0,1
C200112,C20011,사수,2,990,90,45,98,60,20,20,0.91,5,100,0,140,0,1
C200113,C20011,사수,3,1782,90,45,146,90,20,20,0.91,5,100,0,140,0,1
C200121,C20012,아잘린,1,550,50,35,0,80,20,20,0.00,5,100,0,140,0,1
C200122,C20012,아잘린,2,990,50,35,0,120,20,20,0.00,5,100,0,140,0,1
C200123,C20012,아잘린,3,1782,50,35,0,180,20,20,0.00,5,100,0,140,0,1
C200131,C20013,몽키록,1,650,50,10,0,80,35,35,0.00,1,0,0,140,0,1
C200132,C20013,몽키록,2,1170,50,10,0,120,35,35,0.00,1,0,0,140,0,1
C200133,C20013,몽키록,3,2106,50,10,0,180,35,35,0.00,1,0,0,140,0,1
C200141,C20014,깨비,1,700,85,50,45,65,45,45,0.85,1,100,0,140,0,1
C200142,C20014,깨비,2,1260,85,50,68,98,45,45,0.85,1,100,0,140,0,1
C200143,C20014,깨비,3,2268,85,50,101,146,45,45,0.85,1,100,0,140,0,1
C200151,C20015,삼미호,1,550,60,20,45,70,20,20,0.98,5,100,0,140,0,1
C200152,C20015,삼미호,2,990,60,20,68,105,20,20,0.98,5,100,0,140,0,1
C200153,C20015,삼미호,3,1782,60,20,101,158,20,20,0.98,5,100,0,140,0,1
C200161,C20016,디트와 로이,1,650,70,15,65,40,30,30,0.91,1,100,0,140,0,1
C200162,C20016,디트와 로이,2,1170,70,15,98,60,30,30,0.91,1,100,0,140,0,1
C200163,C20016,디트와 로이,3,2106,70,15,146,90,30,30,0.91,1,100,0,140,0,1
C200171,C20017,호문스페큘러,1,600,75,45,45,70,20,20,0.91,3,100,0,140,0,1
C200172,C20017,호문스페큘러,2,1080,75,45,68,105,20,20,0.91,3,100,0,140,0,1
C200173,C20017,호문스페큘러,3,1944,75,45,101,158,20,20,0.91,3,100,0,140,0,1
C200181,C20018,폼폼나무,1,700,100,50,0,70,40,40,0.98,1,1,0,140,0,1
C200182,C20018,폼폼나무,2,1260,100,50,0,105,40,40,0.98,1,1,0,140,0,1
C200183,C20018,폼폼나무,3,2268,100,50,0,158,40,40,0.98,1,1,0,140,0,1
C200191,C20019,캡틴 블랙 슬라임,1,700,80,35,45,60,35,35,0.85,1,1,0,140,0,1
C200192,C20019,캡틴 블랙 슬라임,2,1260,80,35,68,90,35,35,0.85,1,1,0,140,0,1
C200193,C20019,캡틴 블랙 슬라임,3,2268,80,35,101,135,35,35,0.85,1,1,0,140,0,1
C200201,C20020,샘의 정령,1,650,80,20,55,55,35,35,0.91,1,1,0,140,0,1
C200202,C20020,샘의 정령,2,1170,80,20,83,83,35,35,0.91,1,1,0,140,0,1
C200203,C20020,샘의 정령,3,2106,80,20,124,124,35,35,0.91,1,1,0,140,0,1
C200211,C20021,장난감 흑기사,1,650,75,15,40,65,30,30,0.91,1,100,0,140,0,1
C200212,C20021,장난감 흑기사,2,1170,75,15,60,98,30,30,0.91,1,100,0,140,0,1
C200213,C20021,장난감 흑기사,3,2106,75,15,90,146,30,30,0.91,1,100,0,140,0,1
C200221,C20022,플라잉 리오,1,550,90,45,65,40,20,20,0.98,5,100,0,140,0,1
C200222,C20022,플라잉 리오,2,990,90,45,98,60,20,20,0.98,5,100,0,140,0,1
C200223,C20022,플라잉 리오,3,1782,90,45,146,90,20,20,0.98,5,100,0,140,0,1
C300011,C30001,예티,1,750,80,15,50,0,50,50,0.78,1,1,0,140,0,1
C300012,C30001,예티,2,1350,80,15,75,0,50,50,0.78,1,1,0,140,0,1
C300013,C30001,예티,3,2430,80,15,113,0,50,50,0.78,1,1,0,140,0,1
C300021,C30002,타락한 시간의 수호대장,1,750,90,30,50,70,50,50,0.78,1,100,0,140,0,1
C300022,C30002,타락한 시간의 수호대장,2,1350,90,30,75,105,50,50,0.78,1,100,0,140,0,1
C300023,C30002,타락한 시간의 수호대장,3,2430,90,30,113,158,50,50,0.78,1,100,0,140,0,1
C300031,C30003,롬바드,1,750,80,50,50,60,50,50,0.78,1,100,0,140,0,1
C300032,C30003,롬바드,2,1350,80,50,75,90,50,50,0.78,1,100,0,140,0,1
C300033,C30003,롬바드,3,2430,80,50,113,135,50,50,0.78,1,100,0,140,0,1
C300041,C30004,타우로스피어,1,750,70,35,60,75,50,50,0.91,1,100,0,140,0,1
C300042,C30004,타우로스피어,2,1350,70,35,90,113,50,50,0.91,1,100,0,140,0,1
C300043,C30004,타우로스피어,3,2430,70,35,135,170,50,50,0.91,1,100,0,140,0,1
C300051,C30005,소울마스터,1,750,50,25,60,0,45,45,1.04,1,100,0,140,0,1
C300052,C30005,소울마스터,2,1350,50,25,90,0,45,45,1.04,1,100,0,140,0,1
C300053,C30005,소울마스터,3,2430,50,25,135,0,45,45,1.04,1,100,0,140,0,1
C300061,C30006,플레임위자드,1,600,50,0,55,75,25,25,0.91,5,100,0,140,0,1
C300062,C30006,플레임위자드,2,1080,50,0,83,113,25,25,0.91,5,100,0,140,0,1
C300063,C30006,플레임위자드,3,1944,50,0,124,170,25,25,0.91,5,100,0,140,0,1
C300071,C30007,프리스트,1,650,100,30,50,80,25,25,0.91,5,100,0,140,0,1
C300072,C30007,프리스트,2,1170,100,30,75,120,25,25,0.91,5,100,0,140,0,1
C300073,C30007,프리스트,3,2106,100,30,113,180,25,25,0.91,5,100,0,140,0,1
C300081,C30008,라이칸스로프,1,700,80,25,70,45,40,40,1.11,1,100,0,140,0,1
C300082,C30008,라이칸스로프,2,1260,80,25,105,68,40,40,1.11,1,100,0,140,0,1
C300083,C30008,라이칸스로프,3,2268,80,25,158,102,40,40,1.11,1,100,0,140,0,1
C300091,C30009,나이트워커,1,600,70,15,70,45,25,25,0.98,5,100,0,140,0,1
C300092,C30009,나이트워커,2,1080,70,15,105,68,25,25,0.98,5,100,0,140,0,1
C300093,C30009,나이트워커,3,1944,70,15,158,102,25,25,0.98,5,100,0,140,0,1
C300101,C30010,다크로드,1,600,80,30,65,0,25,25,1.11,5,100,0,140,0,1
C300102,C30010,다크로드,2,1080,80,30,98,0,25,25,1.11,5,100,0,140,0,1
C300103,C30010,다크로드,3,1944,80,30,146,0,25,25,1.11,5,100,0,140,0,1
C300111,C30011,머쉬맘,1,750,90,50,50,0,50,50,0.78,1,100,0,140,0,1
C300112,C30011,머쉬맘,2,1350,90,50,75,0,50,50,0.78,1,100,0,140,0,1
C300113,C30011,머쉬맘,3,2430,90,50,113,0,50,50,0.78,1,100,0,140,0,1
C300121,C30012,파우스트,1,600,80,25,65,70,25,25,1.04,5,100,0,140,0,1
C300122,C30012,파우스트,2,1080,80,25,98,105,25,25,1.04,5,100,0,140,0,1
C300123,C30012,파우스트,3,1944,80,25,146,158,25,25,1.04,5,100,0,140,0,1
C300131,C30013,카이린,1,600,60,15,70,55,25,25,0.98,5,100,0,140,0,1
C300132,C30013,카이린,2,1080,60,15,105,83,25,25,0.98,5,100,0,140,0,1
C300133,C30013,카이린,3,1944,60,15,158,125,25,25,0.98,5,100,0,140,0,1
C300141,C30014,호걸,1,750,110,70,75,0,35,35,1.04,1,100,0,140,0,1
C300142,C30014,호걸,2,1350,110,70,113,0,35,35,1.04,1,100,0,140,0,1
C300143,C30014,호걸,3,2430,110,70,170,0,35,35,1.04,1,100,0,140,0,1
C300151,C30015,자동경비시스템,1,750,80,30,0,75,40,40,0.98,1,100,0,140,0,1
C300152,C30015,자동경비시스템,2,1350,80,30,0,113,40,40,0.98,1,100,0,140,0,1
C300153,C30015,자동경비시스템,3,2430,80,30,0,170,40,40,0.98,1,100,0,140,0,1
C300161,C30016,바람 수호령,1,750,90,50,50,70,30,30,0.85,3,100,0,140,0,1
C300162,C30016,바람 수호령,2,1350,90,50,75,105,30,30,0.85,3,100,0,140,0,1
C300163,C30016,바람 수호령,3,2430,90,50,113,158,30,30,0.85,3,100,0,140,0,1
C300171,C30017,정체불명 포장마차,1,750,110,70,65,45,35,35,1.04,1,100,0,140,0,1
C300172,C30017,정체불명 포장마차,2,1350,110,70,98,68,35,35,1.04,1,100,0,140,0,1
C300173,C30017,정체불명 포장마차,3,2430,110,70,146,102,35,35,1.04,1,100,0,140,0,1
C300181,C30018,설산의 마녀,1,600,80,25,50,70,25,25,1.04,5,100,0,140,0,1
C300182,C30018,설산의 마녀,2,1080,80,25,75,105,25,25,1.04,5,100,0,140,0,1
C300183,C30018,설산의 마녀,3,1944,80,25,113,158,25,25,1.04,5,100,0,140,0,1
C300191,C30019,웨어울프,1,750,110,70,70,0,35,35,1.04,1,100,0,140,0,1
C300192,C30019,웨어울프,2,1350,110,70,105,0,35,35,1.04,1,100,0,140,0,1
C300193,C30019,웨어울프,3,2430,110,70,158,0,35,35,1.04,1,100,0,140,0,1
C300201,C30020,판스,1,750,80,15,45,65,50,50,0.78,1,1,0,140,0,1
C300202,C30020,판스,2,1350,80,15,68,98,50,50,0.78,1,1,0,140,0,1
C300203,C30020,판스,3,2430,80,15,102,146,50,50,0.78,1,1,0,140,0,1
C300211,C30021,바이킹베어,1,700,80,35,40,70,35,35,0.98,1,100,0,140,0,1
C300212,C30021,바이킹베어,2,1260,80,35,60,105,35,35,0.98,1,100,0,140,0,1
C300213,C30021,바이킹베어,3,2268,80,35,90,158,35,35,0.98,1,100,0,140,0,1
C400011,C40001,팔라딘,1,800,105,15,60,0,55,55,0.78,1,100,0,140,0,1
C400012,C40001,팔라딘,2,1440,105,15,90,0,55,55,0.78,1,100,0,140,0,1
C400013,C40001,팔라딘,3,2592,105,15,135,0,55,55,0.78,1,100,0,140,0,1
C400021,C40002,하인즈,1,650,70,30,0,80,30,30,0.98,5,100,0,140,0,1
C400022,C40002,하인즈,2,1170,70,30,0,120,30,30,0.98,5,100,0,140,0,1
C400023,C40002,하인즈,3,2106,70,30,0,180,30,30,0.98,5,100,0,140,0,1
C400031,C40003,오즈,1,650,50,0,50,80,30,30,0.98,5,100,0,140,0,1
C400032,C40003,오즈,2,1170,50,0,75,120,30,30,0.98,5,100,0,140,0,1
C400033,C40003,오즈,3,2106,50,0,113,180,30,30,0.98,5,100,0,140,0,1
C400041,C40004,타이머,1,750,80,25,60,75,50,50,0.85,2,100,0,140,0,1
C400042,C40004,타이머,2,1350,80,25,90,113,50,50,0.85,2,100,0,140,0,1
C400043,C40004,타이머,3,2430,80,25,135,170,50,50,0.85,2,100,0,140,0,1
C400051,C40005,나인하트,1,800,65,15,65,70,50,50,0.91,1,1,0,140,0,1
C400052,C40005,나인하트,2,1440,65,15,98,105,50,50,0.91,1,1,0,140,0,1
C400053,C40005,나인하트,3,2592,65,15,146,158,50,50,0.91,1,1,0,140,0,1
C400061,C40006,주니어발록,1,800,90,30,75,50,50,50,1.11,1,2,0,140,0,1
C400062,C40006,주니어발록,2,1440,90,30,113,75,50,50,1.11,1,2,0,140,0,1
C400063,C40006,주니어발록,3,2592,90,30,169,113,50,50,1.11,1,2,0,140,0,1
C400071,C40007,윈드브레이커,1,650,75,40,75,45,30,30,1.04,5,100,0,140,0,1
C400072,C40007,윈드브레이커,2,1170,75,40,113,68,30,30,1.04,5,100,0,140,0,1
C400073,C40007,윈드브레이커,3,2106,75,40,169,102,30,30,1.04,5,100,0,140,0,1
C400081,C40008,섀도어,1,750,60,25,70,50,50,50,1.04,1,100,0,140,0,1
C400082,C40008,섀도어,2,1350,60,25,105,75,50,50,1.04,1,100,0,140,0,1
C400083,C40008,섀도어,3,2430,60,25,158,113,50,50,1.04,1,100,0,140,0,1
C400091,C40009,엘리쟈,1,800,85,15,60,75,50,50,0.85,1,100,0,140,0,1
C400092,C40009,엘리쟈,2,1440,85,15,90,113,50,50,0.85,1,100,0,140,0,1
C400093,C40009,엘리쟈,3,2592,85,15,135,170,50,50,0.85,1,100,0,140,0,1
C400101,C40010,스노우맨,1,800,90,30,55,50,55,55,0.78,1,100,0,140,0,1
C400102,C40010,스노우맨,2,1440,90,30,83,75,55,55,0.78,1,100,0,140,0,1
C400103,C40010,스노우맨,3,2592,90,30,124,113,55,55,0.78,1,100,0,140,0,1
C400111,C40011,스트라이커,1,800,55,25,70,0,50,50,0.85,1,1,0,140,0,1
C400112,C40011,스트라이커,2,1440,55,25,105,0,50,50,0.85,1,1,0,140,0,1
C400113,C40011,스트라이커,3,2592,55,25,158,0,50,50,0.85,1,1,0,140,0,1
C400121,C40012,이리나,1,650,65,25,75,50,30,30,1.04,5,100,0,140,0,1
C400122,C40012,이리나,2,1170,65,25,113,75,30,30,1.04,5,100,0,140,0,1
C400123,C40012,이리나,3,2106,65,25,169,113,30,30,1.04,5,100,0,140,0,1
C400131,C40013,캡틴,1,600,80,20,75,50,30,30,0.98,5,100,0,140,0,1
C400132,C40013,캡틴,2,1080,80,20,113,75,30,30,0.98,5,100,0,140,0,1
C400133,C40013,캡틴,3,1944,80,20,169,113,30,30,0.98,5,100,0,140,0,1
C400141,C40014,구미호,1,650,90,40,50,75,30,30,0.98,5,100,0,140,0,1
C400142,C40014,구미호,2,1170,90,40,75,113,30,30,0.98,5,100,0,140,0,1
C400143,C40014,구미호,3,2106,90,40,113,170,30,30,0.98,5,100,0,140,0,1
C400151,C40015,루루모,1,800,80,40,50,70,50,50,0.85,1,1,0,140,0,1
C400152,C40015,루루모,2,1440,80,40,75,105,50,50,0.85,1,1,0,140,0,1
C400153,C40015,루루모,3,2592,80,40,113,158,50,50,0.85,1,1,0,140,0,1
C400161,C40016,하늘 수호령,1,650,90,40,50,75,35,35,0.91,4,100,0,140,0,1
C400162,C40016,하늘 수호령,2,1170,90,40,75,113,35,35,0.91,4,100,0,140,0,1
C400163,C40016,하늘 수호령,3,2106,90,40,113,170,35,35,0.91,4,100,0,140,0,1
C400171,C40017,변형된 리본돼지,1,800,75,25,70,50,40,40,0.91,1,100,0,140,0,1
C400172,C40017,변형된 리본돼지,2,1440,75,25,105,75,40,40,0.91,1,100,0,140,0,1
C400173,C40017,변형된 리본돼지,3,2592,75,25,158,113,40,40,0.91,1,100,0,140,0,1
C400181,C40018,타르가,1,800,90,30,55,50,55,55,0.78,1,100,0,140,0,1
C400182,C40018,타르가,2,1440,90,30,83,75,55,55,0.78,1,100,0,140,0,1
C400183,C40018,타르가,3,2592,90,30,124,113,55,55,0.78,1,100,0,140,0,1
C500011,C50001,핑크빈,1,850,90,15,70,75,50,50,1.11,1,100,0,140,0,1
C500012,C50001,핑크빈,2,1530,90,15,105,113,50,50,1.11,1,100,0,140,0,1
C500013,C50001,핑크빈,3,2754,90,15,158,170,50,50,1.11,1,100,0,140,0,1
C500021,C50002,자쿰,1,850,100,30,60,0,60,60,1.04,2,100,0,140,0,1
C500022,C50002,자쿰,2,1530,100,30,90,0,60,60,1.04,2,100,0,140,0,1
C500023,C50002,자쿰,3,2754,100,30,135,0,60,60,1.04,2,100,0,140,0,1
C500031,C50003,미하일,1,850,90,50,65,0,55,55,1.11,1,100,0,140,0,1
C500032,C50003,미하일,2,1530,90,50,98,0,55,55,1.11,1,100,0,140,0,1
C500033,C50003,미하일,3,2754,90,50,146,0,55,55,1.11,1,100,0,140,0,1
C500041,C50004,시그너스,1,750,70,25,30,80,40,40,0.85,6,100,0,140,0,1
C500042,C50004,시그너스,2,1350,70,25,45,120,40,40,0.85,6,100,0,140,0,1
C500043,C50004,시그너스,3,2430,70,25,68,180,40,40,0.85,6,100,0,140,0,1
C500051,C50005,루시드,1,750,75,30,0,85,35,35,0.00,12,100,0,140,0,1
C500052,C50005,루시드,2,1350,75,30,0,128,35,35,0.00,12,100,0,140,0,1
C500053,C50005,루시드,3,2430,75,30,0,192,35,35,0.00,12,100,0,140,0,1
C500061,C50006,크림슨발록,1,800,100,25,80,60,45,45,1.11,2,2,0,140,0,1
C500062,C50006,크림슨발록,2,1440,100,25,120,90,45,45,1.11,2,2,0,140,0,1
C500063,C50006,크림슨발록,3,2592,100,25,180,135,45,45,1.11,2,2,0,140,0,1
C500071,C50007,헬레나,1,700,75,35,80,55,35,35,1.17,5,100,0,140,0,1
C500072,C50007,헬레나,2,1260,75,35,120,83,35,35,1.17,5,100,0,140,0,1
C500073,C50007,헬레나,3,2268,75,35,180,125,35,35,1.17,5,100,0,140,0,1
C500081,C50008,파풀라투스,1,850,70,25,70,75,50,50,1.11,1,100,0,140,0,1
C500082,C50008,파풀라투스,2,1530,70,25,105,113,50,50,1.11,1,100,0,140,0,1
C500083,C50008,파풀라투스,3,2754,70,25,158,170,50,50,1.11,1,100,0,140,0,1
C500091,C50009,도깨비,1,850,40,0,80,0,50,50,0.98,1,1,0,140,0,1
C500092,C50009,도깨비,2,1530,40,0,120,0,50,50,0.98,1,1,0,140,0,1
C500093,C50009,도깨비,3,2754,40,0,180,0,50,50,0.98,1,1,0,140,0,1
C500101,C50010,프랑켄로이드,1,850,90,35,75,55,40,40,0.98,1,100,0,140,0,1
C500102,C50010,프랑켄로이드,2,1530,90,35,113,83,40,40,0.98,1,100,0,140,0,1
C500103,C50010,프랑켄로이드,3,2754,90,35,169,125,40,40,0.98,1,100,0,140,0,1
C500111,C50011,시노,1,700,110,40,55,80,35,35,1.11,6,100,0,140,0,1
C500112,C50011,시노,2,1260,110,40,83,120,35,35,1.11,6,100,0,140,0,1
C500113,C50011,시노,3,2268,110,40,125,180,35,35,1.11,6,100,0,140,0,1
C500121,C50012,게이트 키퍼,1,850,70,25,70,75,50,50,1.11,1,100,0,140,0,1
C500122,C50012,게이트 키퍼,2,1530,70,25,105,113,50,50,1.11,1,100,0,140,0,1
C500123,C50012,게이트 키퍼,3,2754,70,25,158,170,50,50,1.11,1,100,0,140,0,1
C500131,C50013,스칼리온,1,850,90,35,75,0,40,40,0.98,1,100,0,140,0,1
C500132,C50013,스칼리온,2,1530,90,35,113,0,40,40,0.98,1,100,0,140,0,1
C500133,C50013,스칼리온,3,2754,90,35,169,0,40,40,0.98,1,100,0,140,0,1
C000011,C00001,예티와페페,1,650,80,50,50,50,40,40,0.98,1,1,0,140,0,1
C000012,C00001,예티와페페,2,1350,80,50,75,75,40,40,0.98,1,1,0,140,0,1
C000013,C00001,예티와페페,3,2754,80,50,113,113,40,40,0.98,1,1,0,140,0,1
C000021,C00002,도도,1,750,85,25,80,100,35,35,0.91,1,100,0,140,0,1
C000022,C00002,도도,2,1350,85,25,80,100,45,45,0.91,1,100,0,140,0,1
C000023,C00002,도도,3,2430,85,25,80,100,65,65,0.91,1,100,0,140,0,1
C000031,C00003,마법석,1,10,10,0,10,10,10,10,0.13,1,1,0,140,0,1
C000032,C00003,마법석,1,10,10,0,10,10,10,10,0.13,1,1,0,140,0,1
C000033,C00003,마법석,1,10,10,0,10,10,10,10,0.13,1,1,0,140,0,1
C000041,C00004,무공,1,700,130,60,70,55,30,30,0.91,5,100,0,140,0,1
C000042,C00004,무공,2,1260,130,60,105,83,30,30,0.91,5,100,0,140,0,1
