CharID,Version,Cost,Scale,Name,Role,MainStats,BattleOnly,IdleRUID,MoveRUID,AttackRUID,SkillRUID,DeadRUID,AttackComponent,SkillComponent,DictionaryEnable,CollectionEnable,HPBarPosY_1,HPBarPosY_2,HPBarPosY_3
C10011,1,1,1,헥터,SRD,Status_MagicalAttack,,866352271e894751908be1147e4d882d,488a2e3dafee454f8a54c8028f08118c,3a9e578cfcde42c687acb612f2644003,3a9e578cfcde42c687acb612f2644003,d26d434f93754cedbd54d0db2bf0f8e8,C10011_Hector_Attack,C10011_Hector_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C10012,1,1,1,네펜데스,LRD,"Status_MagicalAttack,Status_PhysicalAttack",,305fe2f2f8f0417ebb7f3a3649222785,,d5f3e2a16f5b4ffaa736915a9e22615d,,ea25375b6cf84ec6a3b6ae2f5262444f,C10012_Nependes_Attack,C10012_Nependes_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C10013,1,1,1,루팡,LRD,Status_PhysicalAttack,,abbd76a6010149e780fbee0b2c5acb7e,046f94edcf2547bba2d229d00716ddbf,33dd53ea403b4c518ff1ffbe8ab65921,b44cbaadd3724562a5fb1bddad84b240,7034b762da7749e8be33a872ab0cc3af,C10013_Lupang_Attack,C10013_Lupang_Skill,TRUE,TRUE,-0.05,-0.05,-0.05
C10014,1.1,1,1,월묘,SRD,Status_PhysicalAttack,,62ac9f83e7fa44699ad16986a27daaf6,d155630a786c4eb8a124ee16b07f3a8d,9e1e045bb761430db8d8f13ba9af8e63,62ac9f83e7fa44699ad16986a27daaf6,79f49b4c425f43ed95a07cbc21899c01,C10014_MoonBunny_Attack,C10014_MoonBunny_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C10014_2,1.1,1,1,월묘2,SRD,Status_PhysicalAttack,TRUE,43b7e55176664e85a7f7694d11e0730e,0d05970e2e4a4732b5e0a2dc6a986104,d359c5d389a44ef4984718d94f54f306,43b7e55176664e85a7f7694d11e0730e,79f49b4c425f43ed95a07cbc21899c01,C10014_MoonBunny_Attack,C10014_MoonBunny_Skill,FALSE,FALSE,-0.1,-0.1,-0.1
C10015,1.1,1,1,호돌이,SRD,Status_PhysicalAttack,,12a6119dd2224d809bf5806f46af3818,a47ed55be4cc4b5c8bae9c30e22b6ac6,3c85b4f9f9a14a49aeda254929ad6544,7b803526af6f40b28a339b648aa97e9b,1de6ae25451c4e56860fc1d90a009cc8,C10015_Hodori_Attack,C10015_Hodori_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C10016,1.2,1,1,호문,Tank,"Status_MagicalAttack,Status_HP",,94ef1a598a7e43bea7cdc85f71dc08ec,f46c4862e92746afb183cd7351ce36f4,ecf1eb2730b44a51ae6beb1f1779057d,bd0f93897d204cd2acbb57fd1f853f56,1a84a52cbb88463d9750760e6b6ede1d,C10016_Homun_Attack,C10016_Homun_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C10017,1.3,1,1,마루,SRD,Status_MagicalAttack,,b9aa564d7b50433a88575a1d18ace7d8,a4cb5d39054344df8725b2ac8e533c7d,c875375d050e4b928d9cd858a93ab90f,71aea1a8ae1543759d11e26b4bc2036c,ad0a68490cca43aa903bfa9084deb433,C10017_Maru_Attack,C10017_Maru_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C10018,1.3,1,0.6,가루나비,SRD,Status_MagicalAttack,,f1e0dd9eca4e46e2a00f7de5388bca6d,f1e0dd9eca4e46e2a00f7de5388bca6d,3f069700264b41878a617ab471ce951e,7bcf95868d2040c69caaea50cb0b98c9,c4084dfd93ac4616aa88ef29ad105998,C10018_Powderbutterfly_Attack,C10018_Powderbutterfly_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C10019,1.4,1,1,구피,LRD,Status_PhysicalAttack,,1152c43415c546fda5ede26bccd4c60c,be69ac3ab1d54c138203bc057d11bcc3,3089cab5575748a8af50e266cabf2ca4,3089cab5575748a8af50e266cabf2ca4,f78e918be1ff45929416e2f8a643602f,C10019_Goopi_Attack,C10019_Goopi_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C10020,1.5,1,1,스톰,SRD,Status_PhysicalAttack,,b1b4b15281664ae08be0c006ad62e8e1,b1b4b15281664ae08be0c006ad62e8e1,10c1ada9a2fc49f2bec31523cb51850a,10c1ada9a2fc49f2bec31523cb51850a,ec8b489c5c5e4425ad04ea14b88902c2,C10020_Storm_Attack,C10020_Storm_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C10021,1.6,1,0.75,밸리베어,SRD,Status_MagicalAttack,,d32dc6002caf4fca9471e096c9ac3a95,b53085b63c1c47608c9eda80b09c7ab5,eb09c083263743e3aea5bf3fbd66f33d,cb205574b1cd482e8dd6171d4d0be454,49c90ca06ed046f4b23fae10716713b8,C10021_Colabear_Attack,C10021_Colabear_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C20001,1,2,1,호크아이,SRD,"Status_PhysicalAttack,Status_HP",,e25353ad64ae471cbf4e15f5df882e8c,36b15569e4674e99ad6fe40daa425cd0,af4569e3fcc14d78a7fc9c9056fb1352,cc06731783424ab8989b38800e59de88,93ef4c0c890d471b923ab5e38d135d68,C20001_Hawkeye_Attack,C20001_Hawkeye_Skill,TRUE,TRUE,-0.2,-0.2,-0.2648
C20002,1,2,1,페페,Tank,"Status_MagicalAttack,Status_HP",,ef58b452747b4d978e161fea24d1bc00,c61ec21a479f4c6583fe3c3811deffe5,500a3b84153f4b9998f9bd610b39e372,30ceec0ad9f545be898791e76223b0ac,94a49c64ef3d441ab807799a38bfe812,C20002_Pepe_Attack,C20002_Pepe_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C20003,1,2,0.5,망각의 수호병,Tank,"Status_PhysicalAttack,Status_HP",,28625b5aca7043fba543107b73955683,07d5a0aa910f4aeb883ceeb46d6543e3,99749033cf944c6c9566eac7b0f08c76,0620d3755bd34608a5dc5a3761ce3a47,b74a38f4ab63482cb0c08251bc352446,C20003_OblivionGuardian_Attack,C20003_OblivionGuardian_Skill,TRUE,TRUE,-0.18,-0.18,-0.2772
C20004,1,2,0.8,주먹펴고 일어서,Tank,"Status_MagicalAttack,Status_HP",,90d3525b282a4d809ff6b9fe0dbbc788,379f269bc65143a88ced5fcfbbd7205c,a5211c8a395d47bf91a5aba840df5a8b,994ee1a9577d4fedaa1638046465a937,33249429eaf140a3b1237c64b4b59890,C20004_DanceswithBalrog_Attack,C20004_DanceswithBalrog_Skill,TRUE,TRUE,-0.12,-0.12,-0.12
C20005,1,2,0.5,후회의 신관,LRD,Status_MagicalAttack,,a7f6aea0c45545abbccba5058edd6706,9d743923062040368336418b1037c286,27101c74c45d4158a905369c3a635d05,35d7ad55a5bb44cf855a169a05204e64,33f582ebcc904e70a46ec1a336c7381e,C20005_QualmMonkTrainee_Attack,C20005_QualmMonkTrainee_Skill,TRUE,TRUE,-0.1,-0.1,-0.19
C20006,1,2,0.75,M.소울테니,SRD,Status_MagicalAttack,,6511aecb35df429f96d07b0e3e345803,dafb286ff2434a39a513b2855665254b,7012b7be35a943b1aff9a0c3950b8ffc,,aec79c4409174d8180e383630405712b,C20006_MasterSoulTeddy_Attack,C20006_MasterSoulTeddy_Skill,TRUE,TRUE,-0.25,-0.25,-0.3472
C20007,1,2,1,이카르트,LRD,Status_PhysicalAttack,,81d4042923c047daa07ad834fb103e4e,49d3f7544bf54c8b8c6f4320b40010b0,432a6b403bf14ec2b581ef40983eb850,acf341d1fb27478ea68dd4dcbd035dff,48fd056f749647cba63639977ef0c78c,C20007_Eckhart_Attack,C20007_Eckhart_Skill,TRUE,TRUE,-0.2,-0.2,-0.2324
C20008,1,2,1,라이오너,LRD,Status_MagicalAttack,,ee5db5b3636a470e81d746480068378f,f54cdbd6b1074cbaa08cff4ebb03180e,37fe9a2d0ab441c98af57e704fd200fe,e4071ad7dc2e47488c79783457250e8c,a98a15d91d674ba7b47b83d4c571e1ed,C20008_Lioner_Attack,C20008_Lioner_Skill,TRUE,TRUE,-0.08,-0.08,-0.08
C20009,1,2,1,불독,SRD,"Status_PhysicalAttack,Status_HP",,56be642e8efc4f1b853791423de0d9f7,c21d5441b8fd46d09a6f32191760c795,8216350375de40f2a3a4bac373f9d238,4674a2f57ea2416584375d59ceddee5a,07240892966e4c31b9fcfa53da83abda,C20009_BullDog_Attack,C20009_BullDog_Skill,TRUE,TRUE,-0.05,-0.05,-0.05
C20010,1,2,0.75,아이스 드레이크,LRD,Status_MagicalAttack,,a1b46ab33b5948e88f35359e41d15de8,e93ec6826c044f75a53a97e7d01d5d47,b007e793847048829aa9f81e8860f579,b007e793847048829aa9f81e8860f579,cc99c5af6f064e17969c4d96def841bf,C20010_IceDrake_Attack,C20010_IceDrake_Skill,TRUE,TRUE,-0.06,-0.06,-0.06
C20011,1,2,1,사수,LRD,Status_PhysicalAttack,,e389a6e6dff64ec996add2b5720c4f58,2bcf2dcc60134a2191a9db6edb3eb60b,e7044f987c7c4cbdb99292cc2180506f,5f951b7f624f4b0494ea4864e634a12e,dc5297f655884f11a7a91e00f09444c3,C20011_Archer_Attack,C20011_Archer_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C20012,1,2,1,아잘린,LRD,Status_MagicalAttack,,6b7e71f453b6442898206a5ddb1bc802,b2d12d6e89d44943b81439221c369657,6b7e71f453b6442898206a5ddb1bc802,3a247eefaa1b483581ef21461c6b4747,c93aedc0866d48e6af0bc05fca04c977,Set_ArcaneRiver_Attack,C20012_Azalin_Skill,TRUE,TRUE,-0.06,-0.114,-0.2544
C20013,1,2,0.75,몽키록,SRD,"Status_MagicalAttack,Status_HP",,b930707b6bd94e68be5a2895691d91c1,7d1881a0818348508faf7f3c7cd9dcb9,b930707b6bd94e68be5a2895691d91c1,3488cd7123a44856942d1ce56ed273d0,db385da469d946b1a9eeef781d320021,Set_ArcaneRiver_Attack,C20013_Monkeyrog_Skill,TRUE,TRUE,-0.05,-0.05,-0.05
C20014,1.1,2,1,깨비,Tank,"Status_MagicalAttack,Status_HP",,55c0080330314f2fad7a10756958171d,44bd9deeeecf4ef1af99204516247b2c,f1931926fd1446e894259b1945b242dc,49e149e75a2e4e1ebfc0d61fe362cf29,4eaadacb23f548f29245934f36ad57f9,C20014_Blin_Attack,C20014_Blin_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C20015,1.1,2,1,삼미호,LRD,Status_MagicalAttack,,b87a500e22c94cd3a885f09b49fced3c,7f559bbec51a46899e8024a1d31291c7,8e9caab0a441431fa1ab028793ce5e44,ec03b13bb852406fa00df6e897640510,c46f3f8231fc4221ad1dffa80f53ca02,C20015_ThreeTailedFox_Attack,C20015_ThreeTailedFox_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C20016,1.2,2,0.6,디트와 로이,SRD,Status_PhysicalAttack,,52a33550adca4384a38e1995c1568395,4d3139e84744457b84ff064305c83560,b86c55de8dc041ce839716dfc01b9100,5e78f3da2fa54aaab18a981b9d64eb69,5a3fd31e0ea84e3e871981346466c2d7,C20016_DeetAndRoi_Attack,C20016_DeetAndRoi_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C20017,1.2,2,0.6,호문스페큘러,LRD,Status_MagicalAttack,,48a47baf04b44abba907c983148b6e98,48a47baf04b44abba907c983148b6e98,9ad046d0307c49ef9e5a97d55c8d0c80,6e87c2a605d143a0a61ef0e9f19678d8,b4723e03efbc4341944aaa960b32b574,C20017_Homunspeculler_Attack,C20017_Homunspeculler_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C20018,1.3,2,0.6,폼폼나무,Tank,"Status_MagicalAttack,Status_HP",,4e0e8b8e6b3e4b1ab42e3abc9db1239a,4e0e8b8e6b3e4b1ab42e3abc9db1239a,f70efe8ab0eb4c67818b1405880406f8,f7dbbf4993e24047b23b04f1b2395fe1,192b54a3e9af4b96838c7c400e19e084,C20018_PompomTree_Attack,C20018_PompomTree_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C20019,1.4,2,0.4,캡틴 블랙 슬라임,SRD,Status_MagicalAttack,,7d63ab8ccc8143868f13301a9bf43c2d,7d63ab8ccc8143868f13301a9bf43c2d,14ca577f38414bf6849d5c583f21113a,084f52958802437189bfc819ecbd7220,76851d3de9ad4529886a4b49bb41f9ae,C20019_CaptainBlackSlime_Attack,C20019_CaptainBlackSlime_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C20020,1.5,2,0.7,샘의 정령,SRD,Status_MagicalAttack,,882af790938d427591cef1fce348e53e,3a4775167ab94ba8a997b3253dcaa925,814e5d26a7ba4f8faa614430c39f77bf,3fdcd8441b88473eae4da2c239c698f9,e31322669bf1479897959dd00256ebbd,C20020_SpringSprite_Attack,C20020_SpringSprite_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C20020_2,1.5,2,0.7,샘의 정령2,SRD,Status_MagicalAttack,TRUE,25492d6e77ee486e9360e66e01c2d0d6,c30a70b3b97540a9a8dcdbc52fbf36fc,7616fffaa5e04569a77ded51e852f555,749a66cdcd094179bc3b0e961c00c900,e223f0067648444099395865ef0c30fe,C20020_SpringSprite_Attack,C20020_SpringSprite_Skill,FALSE,FALSE,-0.1,-0.1,-0.1
C20021,1.5,2,0.75,장난감 흑기사,SRD,Status_PhysicalAttack,,1df992eaa00f4998b56dea4690b5a7d7,9ae5cf4046ec4613a9a26ba15be78328,a6a4cde2b31c462db4b2eeb4cb3fbc30,e363af7a4f9e442fbf86bdc954888c71,b93924a6d82845378f3fa2ad21e7b5f5,C20021_ToyBlackKnight_Attack,C20021_ToyBlackKnight_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C20022,1.6,2,0.7,플라잉 리오,LRD,Status_PhysicalAttack,,50bb58572a444d29bcbfcacbd8419c4b,92e4ae051b314faf84161dc9da7f559d,4713d0a1bfee46db8b1788b82ff4e137,037b4a555bc540cfbbe32d50a2d0e0e7,01296e12475a47558cb4b659054571d6,C20022_SoaringScarlion_Attack,C20022_SoaringScarlion_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C30001,1,3,0.8,예티,Tank,"Status_PhysicalAttack,Status_HP",,a9b6f7c6c3814a7d8a86963a76253762,37270076e12349e6972209880438f3a5,992e7ba5435c49f7914fa6dd93873860,f0d5363ef600406eae4ba4f289eabca7,bd0a6a5dd11341f6bab0cc1338bb8641,C30001_Yeti_Attack,C30001_Yeti_Skill,TRUE,TRUE,-0.06,-0.06,-0.0924
C30002,1,3,0.5,C. 시간의 수호대장,Tank,"Status_MagicalAttack,Status_HP",,37029c8ec9f04e60be228b0bb378c896,44817332bc544c1dbe693bf7d704c516,bbd0eb4ae3e04e1f83dc745e29727064,f4bf5dace69142ab9b39a8e5bfd89a1e,1f6768262a124b8187d01b02561e4b68,C30002_ChiefOblivionGuardian_Attack,C30002_ChiefOblivionGuardian_Skill,TRUE,TRUE,-0.15,-0.15,-0.2148
C30003,1,3,0.5,롬바드,Tank,"Status_MagicalResistance,Status_Defence",,b41def4288404055b3b8850daa99cfbf,041d85c246e04fc7a92959175e434d4c,921caf97260c40e28320b761c34a011c,c741a9fccbd2438e98cc38beaaf39c47,ecab635256da4dbcbac70ee157fa641d,C30003_Rombot_Attack,C30003_Rombot_Skill,TRUE,TRUE,0,0,-0.0972
C30004,1,3,0.6,타우로스피어,Tank,"Status_MagicalAttack,Status_HP",,0c547f5b33614fc0811cd331ba5cfc79,7922129fa06d4d2c835d4d9ef0c41ec5,1250eeb55f64486988c1ccbc880d6d85,42206705892e4967ac090221daf42660,f7c6634e95b2450cbd78af3073c9187c,C30004_Taurospear_Attack,C30004_Taurospear_Skill,TRUE,TRUE,-0.05,-0.05,-0.05
C30005,1,3,1,소울마스터,SRD,"Status_PhysicalAttack,Status_HP",,a4ed29de4056439f8ad04b513dd61c43,5a6a5f988cdf4bbba504b29f4736a4c5,cd594bec13304b079670a627534bdcf7,22809ff3fb5f4b86ab50eec53efbcc64,e513ac49e3f0437b93af573ca9115981,C30005_SoulMaster_Attack,C30005_SoulMaster_Skill,TRUE,TRUE,-0.3,-0.3,-0.3
C30006,1,3,1,플레임위자드,LRD,Status_MagicalAttack,,d1852723e3b044e089a1fb5884a6d385,2122b4dcb80c4608bbe03be29f5be4a9,ad5d8418769944fc8d3a16070d86d1d2,d64964484d4a4fa38b5bd13d7bed9ece,1c0b6ac0ca6f41c0a12ad9bacd7d003c,C30006_BlazeWizard_Attack,C30006_BlazeWizard_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C30007,1,3,1,프리스트,Support,Status_MagicalAttack,,dd371c2848eb43bf8693b3f0e93c35b3,7f87731cbb504cb282c2a8a1228896e5,52f849ea54274d03b2973dc8f8a11308,add8e8f6fa9745c1a0f9a167e82d3083,7a798f5e425a447fa5a9c922cf801311,C30007_Priest_Attack,C30007_Priest_Skill,TRUE,TRUE,-0.25,-0.25,-0.25
C30008,1,3,0.5,라이칸스로프,SRD,Status_PhysicalAttack,,5219154913ba4df99221b7514b30250a,d37568da26134b0faa5ad1d3e5a8655c,1b700956ede948e09849ce43b63672f3,bd05fdd2df3041b885d0793a0dfde53f,18563d73b2fb4739a96e0a625e2db367,C30008_Lycanthrope_Attack,C30008_Lycanthrope_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C30009,1,3,1,나이트워커,LRD,Status_PhysicalAttack,,32041c2a6b404e84ae6ef7e91c927f6d,49501101db754ed6ad5faed539f5871b,26b48315f6f74543a93b8fc45514e192,5e7746d8d4fe4fc4a9d1ebf9e1524bc2,a5b640585c4f440685770ad2090c1c09,C30009_NightWalker_Attack,C30009_NightWalker_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C30010,1,3,1,다크로드,LRD,"Status_PhysicalAttack,Status_AttackSpeed",,241ced8df8354044b49840fdd548bb9e,4b1460e91c87420f8f92d4014f7c0c8b,f0f882330dd3405c9aee592fdc158a22,c3fe96211d034ecc91c7ba112dc77137,aadd2cbc73354ceb8ea40e5d4e394618,C30010_DarkLord_Attack,C30010_DarkLoad_Skill,TRUE,TRUE,-0.05,-0.05,-0.05
C30011,1,3,0.8,머쉬맘,Tank,Status_HP,,826abc40a1814a8eac6de1a8d2a3f848,33b77c0078fc41188e67d26911194a19,9410745fe39245388c6cb184730fe642,fa2de1b8cabb41058d3a25390a22d8f2,960b6d34d84443a6967648fccec507b7,C30011_Mushmom_Attack,C30011_Mushmom_Skill,TRUE,TRUE,-0.05,-0.05,-0.1148
C30012,1,3,0.5,파우스트,LRD,"Status_MagicalAttack,Status_PhysicalAttack",,b560b12e5240453789d00ce6eb8bce71,54f42bf905a94be7a074fb0cdf80c471,45b2f95fec6e40c9b75c0f996a8de067,68e82ea8ea6c427bb2d0243572ceee32,21793f0ea72542fd8a249f637777068e,C30012_Faust_Attack,C30012_Faust_Skill,TRUE,TRUE,-0.2,-0.254,-0.4268
C30013,1,3,0.8,카이린,LRD,Status_PhysicalAttack,,0df9db5df04f4c98bcec881860a5f791,fe5ed9be5e4c4aff89e13035b4f22525,cdb8e31b43a043248a0af298a742db9a,447f30864c6942449727d1a9627f470c,e11475cd3350442ab744d11eb76d7c14,C30013_Kyrin_Attack,C30013_Kyrin_Skill,TRUE,TRUE,-0.15,-0.15,-0.2472
C30014,1.1,3,0.8,호걸,SRD,Status_PhysicalAttack,,f68e5126b2f2487eaf170f29a6b981ab,b58312c5e2e144cf98398ed7bc4eaf93,4643ba0ebc6c4adb9342d2ae3ad3afe9,5efd06de4365491fb2d215086e463a79,2ef3cb04dbe74c0089301d276d4471fb,C30014_Hogul_Attack,C30014_Hogul_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C30015,1.2,3,0.5,자동경비시스템,SRD,Status_MagicalAttack,,decf2b41a0a64551b44b7bd69b953f4f,decf2b41a0a64551b44b7bd69b953f4f,1aa2b30a3ce443289c6b00dc8e87c382,439507b0974c48488e6ac799abc1cef0,5e84c1cd39d346deb3201c5b56ac13cf,C30015_SecurityCamera_Attack,C30015_SecurityCamera_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C30016,1.3,3,0.6,바람 수호령,LRD,Status_MagicalAttack,,21b362465c2c443cbe3141a5becdb579,21b362465c2c443cbe3141a5becdb579,e80f092e503a4587874db1c21ad14f2b,636c7f3217284e6fa3a6d113894bcf93,89a4cf6ae7b84101ac6d5fcef7a343e4,C30016_WindGuardian_Attack,C30016_WindGuardian_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C30017,1.4,3,0.3,정체불명 포장마차,SRD,Status_PhysicalAttack,,d07aef16d8274d079c98e1c4b1fc06ff,e9d274ac35154038a528b2367b33845d,4d0aa8bbb6204058b96e5207a820910e,4d0aa8bbb6204058b96e5207a820910e,b7de0138bf444f47be421db03524ba26,C30017_UnknownSnackBar_Attack,C30017_UnknownSnackBar_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C30018,1.4,3,0.6,설산의 마녀,LRD,Status_MagicalAttack,,69d8926419c64e34ab209ef4e57c1784,69d8926419c64e34ab209ef4e57c1784,b9f4da1c23334e2c872c765b9da1a516,09e804efce50449fa56914068e095274,bf3d4136807c46c5a2e0bc6ac522b9eb,C30018_SnowWitch_Attack,C30018_SnowWitch_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C30019,1.5,3,0.5,웨어울프,SRD,Status_PhysicalAttack,,6a03cb33cf8d4e77983ac1d9f71abdbe,790d848b6b1541edb4a9f7cc02bc453d,6824b56591304427a6c59e55daa9d7e7,01431f7607af44889f6b104d9b96a431,a89c34490169422ca48d51d78b2fc833,C30019_WareWolf_Attack,C30019_WareWolf_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C30020,1.6,3,0.45,판스,Tank,"Status_MagicalAttack,Status_HP",,485275f2da364a8c93a8e799906949ff,c7f75a7bab2b4030afddd89ca5602524,4711b45d292c4b9998f97f946d17ef64,d2182339cd31420c9d9fd53826c806a4,27dc40e51efc49ef8b8960dd48b9f8c5,C30020_Jellybus_Attack,C30020_Jellybus_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C30021,1.6,3,0.8,바이킹베어,SRD,Status_MagicalAttack,,21c361856c644bbdbfddad02e8ad4a5d,c6c929b701f24b249a6cd8fa5e067709,73dff6e1ef6f4458b5fec0f1a713d688,9a5e086fe2ff4237a626fb3cb67890a6,3552155930bd46d98a422c92715b5364,C30021_BearicTheWhite_Attack,C30021_BearicTheWhite_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C40001,1,4,1,팔라딘,Tank,"Status_PhysicalAttack,Status_HP",,60939c45ebf64c5fb5deb18ccb6a7405,32f6656829b54049af389f7462bd18ca,478f5d26319f4c9b816daaeabed39ab6,df0182438aa04aa7bb872811c9fa4bbc,ebaf1a3c37e94cfa95a6251ae8aa882f,C40001_Paladin_Attack,C40001_Paladin_Skill,TRUE,TRUE,-0.3,-0.3,-0.3
C40002,1,4,0.8,하인즈,LRD,Status_MagicalAttack,,e6a61c5e853c44849cfcf72cd16968d8,c07901900a4b475bb7f33142f4617909,f744063cb635419d81920c67006109a8,59936d3f79d642c99459123454be2db2,ab985becc5ec43c1a0234b46d8e734b3,C40002_Grendel_Attack,C40002_Grendel_Skill,TRUE,TRUE,-0.5,-0.554,-0.7592
C40003,1,4,1,오즈,LRD,Status_MagicalAttack,,3f4bf5ffe2f04ffe801a657cb1c41bd5,1bf753555e6546bbb393661e18912b98,8c4ba182c12f4822b2192ac265816221,8c4ba182c12f4822b2192ac265816221,0821c15c9c4d471baa46314df090ab0f,C40003_Oz_Attack,C40003_Oz_Skill,TRUE,TRUE,-0.05,-0.05,-0.05
