Name(ko),Key,header_1,header_1_desc,coef_1,header_2,header_2_desc,coef_2,header_3,header_3_desc,coef_3,header_4,header_4_desc,coef_4,header_5,header_5_desc,coef_5,header_6,header_6_desc,coef_6,header_7,header_7_desc,coef_7,StatusEffect_1,StatusEffect_2,StatusEffect_3
호문,SkillDesc_Active_C10016,SkillDescCoef_60,방어력 증가량 (마력 비례),"ap,0.4/0.45/0.5,emp",SkillDescCoef_36,데미지 반사량,"int,10/12/15,int",SkillDescCoef_62,버프 지속시간,"int,5/5/5,int",,,,,,,,,,,,,SE0016,,
마루,SkillDesc_Active_C10017,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,2.3/2.3/2.4,ap",SkillDescCoef_48,마법 방어 약화 지속시간,"int,2/2/2,int",,,,,,,,,,,,,,,,SE0009,,
가루나비,SkillDesc_Active_C10018,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,2.3/2.3/2.4,ap",SkillDescCoef_74,실명 지속 시간,"int,3/3/3,int",,,,,,,,,,,,,,,,SE0007,,
구피,SkillDesc_Active_C10019,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,1.2/1.2/1.3,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.3/0.3/0.3,ap",,,,,,,,,,,,,,,
스톰,SkillDesc_Active_C10020,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,1.5/1.5/1.6,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.3/0.3/0.3,ap",,,,,,,,,,,,,,,
벨리베어,SkillDesc_Active_C10021,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,2.4/2.4/2.5,ap",SkillDescCoef_41,둔화 지속시간,"int,2/2/3,emp",,,,,,,,,,,,,,,,SE0014,,
호크아이,SkillDesc_Active_C20001,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,2.5/2.5/2.5,ad","TakingDamageRate,SkillDescCoef_10",피해량 (최대 체력 비례),"hp,0.1/0.1/0.1,hp",SkillDescCoef_29,기절 지속시간,"int,0.8/0.8/0.8,int",,,,,,,,,,SE0004,,
페페,SkillDesc_Active_C20002,SkillDescCoef_63,보호막 획득량,"sum,1+2,emp","SkillDescCoef_120,SkillDescCoef_10",획득량 (최대 체력 비례),"hp,0.1/0.1/0.1,hp","SkillDescCoef_120,SkillDescCoef_5",획득량 (마력 비례),"ap,1.4/1.4/1.5,ap",,,,,,,,,,,,,,,
망각의수호병,SkillDesc_Active_C20003,"SkillDescCoef_91,SkillDescCoef_3",최대 체력 획득량 (공격력 비례),"ad,2.7/2.7/2.7,hp","SkillDescCoef_37,SkillDescCoef_10",도끼 피해량 (최대 체력 비례),"hp,0.10/0.12/0.15,ad",,,,,,,,,,,,,,,,,,
주먹펴고일어서,SkillDesc_Active_C20004,"SkillDescCoef_91,SkillDescCoef_5",최대 체력 획득량 (마력 비례),"sum,1+2,hp","SkillDescCoef_120,SkillDescCoef_10",획득량 (최대 체력 비례),"hp,0.02/0.03/0.04,hp","SkillDescCoef_120,SkillDescCoef_5",획득량 (마력 비례),"ap,1.6/1.6/1.6,ap","SkillDescCoef_35,SkillDescCoef_5",데미지 반사 피해 (마력 비례),"ap,0.3/0.3/0.3,ap",SkillDescCoef_126,데미지 반사 지속시간,"int,3/3/4,int",,,,,,,,,
후회의신관,SkillDesc_Active_C20005,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,2.4/2.4/2.5,ap",SkillDescCoef_41,둔화 지속시간,"int,3/3/3,int",,,,,,,,,,,,,,,,SE0014,,
이카르트,SkillDesc_Active_C20007,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,2.8/2.8/2.8,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.4/0.4/0.4,ap",,,,,,,,,,,,,,,
라이오너,SkillDesc_Active_C20008,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,1.0/1.0/1.1,ap",,,,,,,,,,,,,,,,,,,,,
불독,SkillDesc_Active_C20009,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,1.8/1.8/1.8,ad","TakingDamageRate,SkillDescCoef_10",피해량 (최대 체력 비례),"hp,0.08/0.08/0.08,hp",SkillDescCoef_29,기절 지속시간,"int,1.6/1.6/1.6,int",,,,,,,,,,SE0004,,
아이스 드레이크,SkillDesc_Active_C20010,"SkillDescCoef_75,SkillDescCoef_5",얼음 덩이 피해량 (마력 비례),"ap,3.1/3.3/3.6,ap","SkillDescCoef_101,SkillDescCoef_5",파편 피해량 (마력 비례),"ap,0.8/0.8/0.9,ap",,,,,,,,,,,,,,,,,,
사수,SkillDesc_Active_C20011,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,2.6/2.6/2.6,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.3/0.3/0.35,ap",,,,,,,,,,,,,,,
아잘린,SkillDesc_Active_C20012,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,4.2/4.2/4.3,ap",SkillDescCoef_49,마법 방어력 감소량,"int,4/7/12,mr",,,,,,,,,,,,,,,,,,
몽키록,SkillDesc_Active_C20013,TakingDamageRate,피해량,"sum,1+2,ap","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,2.8/2.9/3.0,ap","SkillDescCoef_95,SkillDescCoef_10",추가 피해량 (최대 체력 비례),"hp,0.1/0.1/0.1,hp",,,,,,,,,,,,,SE0004,,
깨비,SkillDesc_Active_C20014,"TakingDamageRate,SkillDescCoef_6","피해량 (마력 비례, 1회당)","ap,0.8/0.8/0.9,ap","SkillDescCoef_118,SkillDescCoef_6","회복량 (마력 비례, 1회당)","ap,0.9/0.9/1.0,ap",,,,,,,,,,,,,,,,,,
삼미호,SkillDesc_Active_C20015,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,3.0/3.1/3.2,ap",SkillDescCoef_71,속박 지속시간,"int,3/3/3,int",,,,,,,,,,,,,,,,SE0005,,
디트와 로이,SkillDesc_Active_C20016,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,1.8/1.8/1.9,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.4/0.4/0.4,ap",SkillDescCoef_119,회복력 감소 지속시간,"int,3/3/3,int",,,,,,,,,,SE0010,,
호문스페큘러,SkillDesc_Active_C20017,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,3.0/3.0/3.1,ap",SkillDescCoef_44,마나 감소량,"int,10/20/30,emp",SkillDescCoef_46,마나 획득 불가 지속시간,"int,1.5/1.5/2,emp",,,,,,,,,,,,,SE0018,,
폼폼나무,SkillDesc_Active_C20018,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,2.5/2.5/2.6,ap",SkillDescCoef_29,기절 지속시간,"int,1/1/1.5,emp",,,,,,,,,,,,,,,,SE0004,,
캡틴블랙슬라임,SkillDesc_Active_C20019,"TakingDamageRate,SkillDescCoef_6","피해량 (마력 비례, 1회당)","ap,0.7/0.8/0.8,ap",,,,,,,,,,,,,,,,,,,,,
샘의정령,SkillDesc_Active_C20020,"SkillDescCoef_95,SkillDescCoef_5",추가 피해량 (마력 비례),"ap,0.5/0.7/1.0,ap","SkillDescCoef_96,SkillDescCoef_3",추가 회복량 (공격력 비례),"ad,0.2/0.4/0.6,hp",,,,,,,,,,,,,,,,,,
장난감흑기사,SkillDesc_Active_C20021,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,3.2/3.3/3.4,ap",SkillDescCoef_15,공격 속도 증가량,"int,30/40/50,emp",SkillDescCoef_14,공격 속도 증가 지속시간,"int,3/3/3,int",,,,,,,,,,,,,,,
플라잉리오,SkillDesc_Active_C20022,SkillDescCoef_94,추가 고정 피해량,"int,10/25/40,emp",SkillDescCoef_15,공격 속도 증가량,"int,20/25/30,as",SkillDescCoef_14,공격 속도 증가 지속시간,"int,4/4/4,int",,,,,,,,,,,,,,,
예티,SkillDesc_Active_C30001,SkillDescCoef_90,체력 회복량,"sum,1+2,hp",SkillDescCoef_26,기본 회복량,"int,70/90/120,int","SkillDescCoef_118,SkillDescCoef_10",회복량 (최대 체력 비례),"hp,0.1/0.1/0.13,hp","SkillDescCoef_76,SkillDescCoef_3",얼음 피해량 (공격력 비례),"ad,1.1/1.1/1.1,ad",SkillDescCoef_41,둔화 시간,"int,4/4/4,int",,,,,,,SE0014,,
타락한시간의수호대장,SkillDesc_Active_C30002,SkillDescCoef_63,보호막 획득량,"sum,1+2,emp","SkillDescCoef_120,SkillDescCoef_10",획득량 (최대 체력 비례),"hp,0.1/0.13/0.18,hp",SkillDescCoef_123,기본 획득량,"int,150/200/300,int","SkillDescCoef_85,SkillDescCoef_5",주먹 피해량 (마력 비례),"ap,2.6/2.6/2.6,ap",SkillDescCoef_132,방어력 흡수량,"int,6/9/14,ar",SkillDescCoef_129,보호막 지속시간,"int,8/8/8,int",,,,,,
롬바드,SkillDesc_Active_C30003,SkillDescCoef_95,추가 피해량,"sum,1+2,ap","TakingDamageRate,SkillDescCoef_9",피해량 (방어력 비례),"ar,1.1/1.6/2.2,ar","TakingDamageRate,SkillDescCoef_7",피해량 (마법 방어력 비례),"mr,1.1/1.6/2.2,mr",SkillDescCoef_109,피해 감소 비율,"sum,4+5,emp",SkillDescCoef_131,기본 피해 감소 비율,"int,30/40/55,int","SkillDescCoef_109,SkillDescCoef_5",피해 감소 비율 (마력 비례),"ap,0.05/0.06/0.08,ap",,,,SE0016,,
타우로스피어,SkillDesc_Active_C30004,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,3.0/3.1/3.2,ap",SkillDescCoef_29,기절 지속시간,"int,1.2/1.2/1.6,int",,,,,,,,,,,,,,,,SE0004,,
소울마스터,SkillDesc_Active_C30005,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,1.3/1.5/1.8,ad","TakingDamageRate,SkillDescCoef_10",피해량 (최대 체력 비례),"hp,0.15/0.15/0.15,hp",SkillDescCoef_72,솔라 상태 - 체력 회복률,"int,15/20/25,hp",SkillDescCoef_130,루나 상태 - 피해량 증가율,"int,15/20/25,emp",SkillDescCoef_43,루나 상태 - 회복력 감소 지속시간,"int,6/6/6,int",,,,SE0010,,
플레임위자드,SkillDesc_Active_C30006,"SkillDescCoef_58,SkillDescCoef_5",발사 피해량 (마력 비례),"ap,1.1/1.1/1.2,ap","SkillDescCoef_116,SkillDescCoef_5",회귀 피해량 (마력 비례),"ap,1.4/1.5/1.7,ap",,,,,,,,,,,,,,,,,,
프리스트,SkillDesc_Active_C30007,"SkillDescCoef_118,SkillDescCoef_6","회복량 (마력 비례, 1회당)","ap,0.45/0.45/0.45,ap",SkillDescCoef_112,홀리 파운틴 지속시간,"int,3/3/3,int",,,,,,,,,,,,,,,,,,
라이칸스로프,SkillDesc_Active_C30008,SkillDescCoef_17,공격력 증가량,"int,10/15/20,ad",,,,,,,,,,,,,,,,,,,,,
나이트워커,SkillDesc_Active_C30009,SkillDescCoef_57,박쥐 피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,0.8/0.9/1.1,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.45/0.5/0.55,ap",SkillDescCoef_55,물리 방어 약화 지속시간,"int,4/4/4,int",,,,,,,,,,SE0008,,
다크로드,SkillDesc_Active_C30010,SkillDescCoef_87,지속시간,"sum,1+2,ap",SkillDescCoef_22,기본 지속시간,"int,3/4/6,int","SkillDescCoef_87,SkillDescCoef_2",지속시간 (공격 속도 비례),"as,2.5/2.5/3.0,as",,,,,,,,,,,,,,,
머쉬맘,SkillDesc_Active_C30011,"TakingDamageRate,SkillDescCoef_10",피해량 (최대 체력 비례),"hp,0.2/0.2/0.22,ad",SkillDescCoef_29,기절 지속시간,"int,1.2/1.2/1.6,emp",,,,,,,,,,,,,,,,SE0004,,
파우스트,SkillDesc_Active_C30012,"SkillDescCoef_108,SkillDescCoef_5",폭발 피해량 (마력 비례),"ap,0.8/0.9/1.0,ap",SkillDescCoef_62,버프 지속시간,"int,4/4/4,int",SkillDescCoef_15,공격 속도 증가량,"int,20/20/20,int",SkillDescCoef_48,마법 방어 약화 지속시간,"int,4/4/4,int",,,,,,,,,,SE0009,,
카이린,SkillDesc_Active_C30013,SkillDescCoef_104,포탄 피해량,"sum,1+2,ad","SkillDescCoef_104,SkillDescCoef_3",포탄 피해량 (공격력 비례),"ad,1.8/2.0/2.2,ad","SkillDescCoef_104,SkillDescCoef_5",포탄 피해량 (마력 비례),"ap,0.3/0.3/0.3,ap",SkillDescCoef_64,불태우기 피해량,"sum,4+5,ap","SkillDescCoef_64,SkillDescCoef_3",불태우기 피해량 (공격력 비례),"ad,0.7/0.8/1.0,ad","SkillDescCoef_64,SkillDescCoef_5",불태우기 피해량 (마력 비례),"ap,0.4/0.4/0.5,ap",,,,,,
호걸,SkillDesc_Active_C30014,SkillDescCoef_15,공격 속도 증가량,"int,30/40/50,emp",SkillDescCoef_80,이동 속도 증가량,"int,50/70/100,emp",SkillDescCoef_82,저지불가 지속시간,"int,4/5/6,emp",,,,,,,,,,,,,SE0016,,
자동경비시스템,SkillDesc_Active_C30015,SkillDescCoef_68,상대 스탯 감소 및 자신의 마력 증가량,"ap,0.05/0.05/0.05,ap",SkillDescCoef_48,마법 방어 약화 지속시간,"int,5/5/5,int",,,,,,,,,,,,,,,,SE0009,,
바람수호령,SkillDesc_Active_C30016,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,3.0/3.1/3.2,ap",SkillDescCoef_52,무장해제 지속시간,"int,2/2/2,int",,,,,,,,,,,,,,,,SE0006,,
정체불명포장마차,SkillDesc_Active_C30017,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,3.2/3.4/3.6,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.3/0.35/0.4,ap",SkillDescCoef_114,화상 지속시간,"int,5/5/5,int",,,,,,,,,,SE0017,,
설산의마녀,SkillDesc_Active_C30018,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,3.0/3.1/3.2,ap",SkillDescCoef_29,기절 지속시간,"int,1/1/1,int",,,,,,,,,,,,,,,,SE0004,,
웨어울프,SkillDesc_Active_C30019,SkillDescCoef_62,버프 지속시간,"int,5/5/5,int",SkillDescCoef_15,공격 속도 증가량,"int,25/25/30,as",SkillDescCoef_122,흡혈 증가량,"int,25/25/30,emp",,,,,,,,,,,,,,,
판스,SkillDesc_Active_C30020,SkillDescCoef_63,보호막 획득량,"sum,1+2,emp","SkillDescCoef_120,SkillDescCoef_5",획득량 (마력 비례),"ap,2.0/2.0/2.2,ap","SkillDescCoef_120,SkillDescCoef_10",획득량 (최대 체력 비례),"hp,0.1/0.11/0.12,hp","SkillDescCoef_60,SkillDescCoef_5",방어력 증가량 (마력 비례),"ap,0.15/0.15/0.15,ap",SkillDescCoef_128,방어력 증가 지속시간,"int,5/5/5,int",SkillDescCoef_38,도발 지속시간,"int,5/5/5,int",,,,SE0020,,
바이킹베어,SkillDesc_Active_C30021,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,3.5/3.6/3.7,ap",SkillDescCoef_29,기절 지속시간,"int,1/1/1,int",,,,,,,,,,,,,,,,SE0004,,
팔라딘,SkillDesc_Active_C40001,SkillDescCoef_63,보호막 획득량,"sum,1+2,emp",SkillDescCoef_123,기본 획득량,"int,150/200/300,int","SkillDescCoef_120,SkillDescCoef_10",획득량 (최대 체력 비례),"hp,0.1/0.15/0.2,hp","SkillDescCoef_95,SkillDescCoef_3",추가 피해량 (공격력 비례),"ad,0.3/0.5/0.7,ad",,,,,,,,,,,,
하인즈,SkillDesc_Active_C40002,SkillDescCoef_47,마력 증가량,"int,10/15/20,ap",,,,,,,,,,,,,,,,,,,SE0010,,
오즈,SkillDesc_Active_C40003,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,2.4/2.7/3.0,ap",,,,,,,,,,,,,,,,,,,,,
타이머,SkillDesc_Active_C40004,"SkillDescCoef_79,SkillDescCoef_5",음파 피해량 (마력 비례),"ap,3.7/3.8/4.0,ap","SkillDescCoef_99,SkillDescCoef_10",충돌 피해량 (최대 체력 비례),"hp,0.12/0.12/0.12,ap",,,,,,,,,,,,,,,,,,
나인하트,SkillDesc_Active_C40005,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,4.5/4.7/5.5,ap",SkillDescCoef_111,피해 무효화 지속시간,"int,1.5/1.5/1.5,int",,,,,,,,,,,,,,,,,,
주니어발록,SkillDesc_Active_C40006,"TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,2.5/2.9/3.3,ad",SkillDescCoef_28,기절 및 방어 약화 지속시간,"int,1.2/1.6/2.4,emp",,,,,,,,,,,,,,,,SE0004,SE0008,SE0009
윈드브레이커,SkillDesc_Active_C40007,"SkillDescCoef_89,SkillDescCoef_3",첫 번째 화살 피해량 (공격력 비례),"ad,2.2/2.4/3.0,ad",SkillDescCoef_40,두 번째 화살 피해량,"sum,2+3,emp","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,1.0/1.4/2.0,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.55/0.55/0.6,ap",,,,,,,,,,,,
섀도어,SkillDesc_Active_C40008,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,1.33/1.44/1.66,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.2/0.2/0.2,ap",,,,,,,,,,,,,,,
엘리쟈,SkillDesc_Active_C40009,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,4.2/4.5/4.8,ap",,,,,,,,,,,,,,,,,,,SE0015,,
스노우맨,SkillDesc_Active_C40010,TakingDamageRate,피해량,"sum,1+2,ap","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.7/0.7/0.8,ap","TakingDamageRate,SkillDescCoef_10",피해량 (최대 체력 비례),"hp,0.2/0.22/0.3,hp",SkillDescCoef_42,디버프 지속 시간,"int,1.6/1.6/1.6,int",,,,,,,,,,SE0004,SE0014,
스트라이커,SkillDesc_Active_C40011,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,1.0/1.2/1.5,ad","TakingDamageRate,SkillDescCoef_10",피해량 (최대 체력 비례),"hp,0.10/0.12/0.15,hp",,,,,,,,,,,,,,,
이리나,SkillDesc_Active_C40012,"TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,0.35/0.35/0.35,ad","SkillDescCoef_45,SkillDescCoef_5",마나 회복량 (마력 비례),"ap,0.2/0.2/0.2,emp",SkillDescCoef_59,발사 화살 수,"sum,3+4,emp",SkillDescCoef_25,기본 화살 수,"int,8/10/15,int","SkillDescCoef_127,SkillDescCoef_2",화살 수 (공격 속도 비례),"as,1.6/2.4/4,as",,,,,,,,,
캡틴,SkillDesc_Active_C40013,"TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,2.0/2.3/2.8,ad",SkillDescCoef_88,처형 조건,"sum,2+3,ap",SkillDescCoef_23,기본 처형 조건,"int,4/7/11,int","SkillDescCoef_88,SkillDescCoef_5",처형 조건 (마력 비례),"ap,0.04/0.06/0.08,ap",,,,,,,,,,,,
구미호,SkillDesc_Active_C40014,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,3.5/3.5/3.7,ap",SkillDescCoef_42,디버프 지속시간,"int,4/4/4,int",SkillDescCoef_78,은신 지속시간,"int,2/2/2,int",,,,,,,,,,,,,SE0017,SE0006,SE0002
루루모,SkillDesc_Active_C40015,"SkillDescCoef_118,SkillDescCoef_5",회복량 (마력 비례),"ap,1.8/2.0/2.5,hp","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,3.0/3.1/3.2,ap",SkillDescCoef_100,침묵 지속시간,"int,2/2.5/3,emp",,,,,,,,,,,,,SE0003,,
하늘수호령,SkillDesc_Active_C40016,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,3.0/3.1/3.2,ap",SkillDescCoef_42,디버프 지속시간,"int,2/2/2,int",,,,,,,,,,,,,,,,SE0003,SE0005,
변형된리본돼지,SkillDesc_Active_C40017,"TakingDamageRate,SkillDescCoef_4","피해량 (공격력 비례, 1회당)","ad,1.3/1.3/1.4,ad","SkillDescCoef_118,SkillDescCoef_5",회복량 (마력 비례),"ap,1.2/1.3/1.5,ap",,,,,,,,,,,,,,,,,,
타르가,SkillDesc_Active_C40018,SkillDescCoef_92,최대 체력 흡수량,"sum,1+2,hp",SkillDescCoef_27,기본 흡수량,"int,2/2/3,int","SkillDescCoef_121,SkillDescCoef_10",흡수량 (최대 체력 비례),"hp,0.001/0.001/0.001,hp",,,,,,,,,,,,,,,
핑크빈,SkillDesc_Active_C50001,SkillDescCoef_50,마트료시카 수,"int,2/3/5,int",SkillDescCoef_51,마트료시카 지속 데미지,"ap,0.5/0.6/1.0,ap",SkillDescCoef_29,기절 지속시간,"int,0.4/0.8/1.6,emp","SkillDescCoef_108,SkillDescCoef_5",폭발 피해량 (마력 비례),"ap,2.0/2.2/3.0,ap",,,,,,,,,,SE0004,,
자쿰,SkillDesc_Active_C50002,SkillDescCoef_53,무적 인원 수,"int,1/2/4,emp",SkillDescCoef_54,무적 지속시간,"int,1/2/4,emp","SkillDescCoef_61,SkillDescCoef_10",방어력 획득량 (최대 체력 비례),"hp,0.01/0.015/0.04,hp",,,,,,,,,,,,,SE0001,,
미하일,SkillDesc_Active_C50003,SkillDescCoef_63,보호막 획득량,"hp,0.2/0.25/0.5,emp","SkillDescCoef_65,SkillDescCoef_3",빛의 검 고정 피해 비율 (공격력 비례),"ad,0.06/0.08/0.12,emp","SkillDescCoef_67,SkillDescCoef_3",빛의 검 주변 피해량 (공격력 비례),"ad,1.0/1.1/1.2,ad",SkillDescCoef_66,빛의 검 낙하 주기,"int,0.4/0.4/0.4,int",,,,,,,,,,,,
시그너스,SkillDesc_Active_C50004,SkillDescCoef_117,회복 대상 수,"int,1/2/3,emp","SkillDescCoef_118,SkillDescCoef_5",회복량 (마력 비례),"ap,1.8/2.0/2.5,ap",SkillDescCoef_16,공격력 및 마력 증가량,"int,10/15/22,emp",,,,,,,,,,,,,,,
루시드,SkillDesc_Active_C50005,"SkillDescCoef_31,SkillDescCoef_5",나비 피해량 (마력 비례),"ap,2.5/2.7/3.0,ap",SkillDescCoef_93,소환 나비 수,"int,3/4/6,emp",,,,,,,,,,,,,,,,,,
크림슨발록,SkillDesc_Active_C50006,"SkillDescCoef_105,SkillDescCoef_3",포효 피해량 (공격력 비례),"ad,3.0/3.6/6.0,ad",SkillDescCoef_29,기절 지속시간,"int,1.2/1.6/3.2,emp","SkillDescCoef_63,SkillDescCoef_5",보호막 획득량 (마력 비례),"ap,3.0/3.0/4.0,emp",,,,,,,,,,,,,SE0004,,
