ItemID,Type,Tags,Name,RUID,Guide,Guide(ko),SpecialAbility,StatusEffect_1,StatusEffect_2,PhysicalAttack,MagicalAttack,MaxHP,MaxMP,MP,Defence,MagicalResistance,AttackSpeed,AttackRange,CriticalPercent,CriticalDamagePercent,BloodAbsorptionPercent,MoveSpeed
NI10007,NormalItem,"MI10001,MI10006",뿅망치,thumbnail://08171bf93fac4ad4a914409d44865283,ItemGuide_37,"마나 과부하, 가해량 증가",물리 공격 적중 시 20% 확률로 대상을 마나 과부하 상태로 만듭니다. 이 효과로 적을 마나 과부하 상태로 만들 때마다 전투 종료 시까지 최종 가해량이 4% 증가합니다. (중첩 가능),SE0013,,15,0,0,0,15,0,0,0,0,0,0,0,0
NI10008,NormalItem,"MI10001,MI10002",붉은 채찍,thumbnail://a9a329f2760e469bbbc4e87dcba14e20,ItemGuide_23,추가 물리 피해,기본 공격 적중 3회마다 대상 주변 1칸 내 모든 적에게 35%의 추가 물리 피해,,,15,0,0,0,0,0,0,15,0,0,0,0,0
NI10009,NormalItem,"MI10002,MI10002",신속의 날개,thumbnail://13812e94424b4f5da77beb6d60bea108,ItemGuide_24,공격속도 점차 증가,기본 공격 시 공격속도 +3% (중첩 가능),,,0,0,0,0,0,0,0,20,0,0,0,0,0
NI10010,NormalItem,"MI10002,MI10003",냄비 뚜껑,thumbnail://cac1c0e955b541ca9e7c766a9a4b57c5,StatusEffect_Name_SE0008,물리 방어 약화,"기본 공격 및 스킬 적중 대상을 4초간 물리 방어 약화 상태로 만듭니다. 물리 방어 약화 상태인 적을 공격 시, 8%의 추가 고정 피해를 입힙니다.",SE0008,,0,0,0,0,0,20,0,20,0,0,0,0,0
NI10011,NormalItem,"MI10002,MI10004",화이트 네쉐르,thumbnail://20466263d9b845509f1f2cc9dd898357,StatusEffect_Name_SE0009,마법 방어 약화,"기본 공격 및 스킬 적중 대상을 4초간 마법 방어 약화 상태로 만듭니다. 마법 방어 약화 상태인 적을 공격 시, 6%의 추가 고정 피해를 입힙니다.",SE0009,,0,0,0,0,0,0,20,20,0,0,0,0,0
NI10012,NormalItem,"MI10002,MI10005",드래곤 샤인 보우,thumbnail://ed83963681d448f08ecad5d78292d08e,ItemGuide_25,추가 마법 피해,스킬 사용 후 다음 기본 공격시 마력의 200%에 해당하는 추가 마법 피해를 줍니다.,,,0,15,0,0,0,0,0,15,0,0,0,0,0
NI10013,NormalItem,"MI10002,MI10008",자유로운 궁수의 귀고리,thumbnail://eac268b5e37d4f3399cea164d1810023,ItemGuide_26,"사거리 증가,크리티컬 확률 증가",공격 사거리 +1,,,0,0,0,0,0,0,0,15,0,20,0,0,0
NI10014,NormalItem,"MI10002,MI10006",공작 깃털 망토,thumbnail://c805ef092a4540ccbc8010fab4bc7d23,ItemGuide_31,마나 획득 증가,기본 공격 시 추가 마나 5 획득,,,0,0,0,0,15,0,0,20,0,0,0,0,0
NI10015,NormalItem,"MI10002,MI10007",파란색 권투 글러브,thumbnail://24c8cc2941a047fa9c3e9797c1f7dc82,ItemGuide_27,"공격력,주문력,공격속도 점차 증가","공격하거나 피해를 받으면 입는 피해량 -0.4%, 가해량 +0.8% (최대 25스택)",,,0,0,300,0,0,0,0,10,0,0,0,0,0
NI10016,NormalItem,"MI10003,MI10003",미스릴 타워 실드,thumbnail://0ba40d2cb18e4f10996ffef8d7f6b58b,ItemGuide_28,물리 방어 특화,입는 피해량 -10%,,,0,0,0,0,0,65,0,0,0,0,0,0,0
NI10017,NormalItem,"MI10003,MI10004",에스터 실드,thumbnail://cf9c4cf00867437a972e6bdfd6727274,ItemGuide_29,아군 보호 특화,"전투 시작: 본인을 제외한 주변 1칸 내 아군에게 물리 방어력 +20, 마법방어력 +20 제공 ",,,0,0,0,0,0,20,20,0,0,0,0,0,0
NI10018,NormalItem,"MI10003,MI10005",표고 버섯,thumbnail://e9b775b98f2b4dcb98897b32d0746e68,ItemGuide_21,"흡혈, 생존","흡혈 +20%, 체력이 60%가 되면 2초간 은신 및 무적",SE0001,SE0002,0,20,0,0,0,25,0,0,0,0,0,0,0
NI10019,NormalItem,"MI10003,MI10008",타임리스 귀고리,thumbnail://03ba11c060cf420b94593e0da2d7aef1,ItemGuide_30,"추가 물리 피해, 물리 방어 감소","2초마다 파동을 일으켜 주변 2칸 내 무작위 적 하나에게 60의 물리 피해를 입히고, 6초간 물리 방어 약화 적용",SE0008,,0,0,0,0,0,30,0,0,0,20,0,0,0
NI10020,NormalItem,"MI10003,MI10006",에르다의 빛,thumbnail://1a4bb6c262674eea8d6f57ad7bca04d6,ItemGuide_31,마나 획득 증가,"피격 시 얻는 MP +1, 스킬 사용 시 4초 동안 최대 마나의 100%만큼 보호막 획득",,,0,0,0,0,30,20,0,0,0,0,0,0,0
NI10021,NormalItem,"MI10003,MI10007",파란색 가운,thumbnail://3981fe513b8a43e1a1f0b58807aa7792,ItemGuide_32,회복,2초마다 최대 체력의 3% 회복,,,0,0,300,0,0,20,0,0,0,0,0,0,0
NI10022,NormalItem,"MI10004,MI10004",자쿰의 투구,thumbnail://81c8cb83df334a599bc6ef68b63a894b,ItemGuide_33,마법 방어 특화,입는 피해량 -10%,,,0,0,0,0,0,0,65,0,0,0,0,0,0
NI10023,NormalItem,"MI10004,MI10005",백의의 서,thumbnail://da6f85e824e74a9da16e4766bfb17228,ItemGuide_20,"흡혈, 치유","흡혈 +20%, 가해량의 20%만큼 체력 비율이 가장 낮은 아군 치유",,,0,15,0,0,0,0,20,0,0,0,0,0,0
NI10024,NormalItem,"MI10004,MI10008",사파이어 귀고리,thumbnail://2193c7293fb244d4a4b1d91e7a6004d9,ItemGuide_34,"추가 마법 피해, 마법 방어 감소","2초마다 마법 폭발을 일으켜 주변 2칸 내 무작위 적 하나에게 60의 마법 피해를 입히고, 6초간 마법 방어 약화 적용",SE0009,,0,0,0,0,0,0,30,0,0,20,0,0,0
NI10025,NormalItem,"MI10004,MI10006",플루토 플레임 망토,thumbnail://daf62e96c7d842deb49c4af92a7a3a2f,ItemGuide_31,마나 획득 증가,"피격 시 얻는 MP +1, 스킬 사용 시 4초 동안 최대 마나의 100%만큼 보호막 획득",,,0,0,0,0,30,0,20,0,0,0,0,0,0
NI10026,NormalItem,"MI10004,MI10007",하트 팔찌,thumbnail://df4eda9614314971bf31a4d643b468f9,ItemGuide_32,회복,2초마다 최대 체력의 3% 회복,,,0,0,300,0,0,0,20,0,0,0,0,0,0
NI10027,NormalItem,"MI10005,MI10005",자쿰의 나뭇가지,thumbnail://66f0427e33a04e7dbfa280ec19541452,ItemGuide_35,마력 증폭,전투 시작 후 5초마다 마력 +15% (중첩 가능),,,0,30,0,0,0,0,0,0,0,0,0,0,0
NI10028,NormalItem,"MI10005,MI10008",레드 해골 귀고리,thumbnail://3c47c4b9711448f0b0a14b03ed076118,ItemGuide_36,"화상, 회복력 감소",기본 공격 및 스킬로 피해를 입힌 대상을 6초동안 화상 및 회복력 감소 상태로 만듭니다. 화상 상태인 적을 공격시 6%의 추가 고정 피해를 입힙니다.,SE0010,SE0017,0,10,0,0,0,0,0,0,0,20,0,0,0
NI10029,NormalItem,"MI10005,MI10006",다이몬의 완드,thumbnail://39fb76eb3831486395bba411dea379eb,ItemGuide_37,"마나 과부하, 가해량 증가",마법 공격 적중 시 30% 확률로 대상을 마나 과부하 상태로 만듭니다. 이 효과로 적을 마나 과부하 상태로 만들 때마다 전투 종료 시까지 최종 가해량이 4% 증가합니다. (중첩 가능),SE0013,,0,30,0,0,20,0,0,0,0,0,0,0,0
NI10030,NormalItem,"MI10005,MI10007",별빛 팔찌,thumbnail://4cc43431cf914b98ae761aba2535e840,ItemGuide_19,"상태이상 면역, 보호막","전투 시작 후 15초간 저지 불가. 전투 당 1번, 남은 체력이 30%가 되면 최대 체력의 20%만큼 보호막 획득.",SE0016,,0,15,300,0,0,0,0,0,0,0,0,0,0
NI10031,NormalItem,"MI10008,MI10008",커맨더 포스 귀고리,thumbnail://56b026a6768b4f1cab7f0b50b39f4b7f,ItemGuide_38,크리티컬 데미지 증가,크리티컬 데미지 +25%,,,0,0,0,0,0,0,0,0,0,50,0,0,0
NI10032,NormalItem,"MI10006,MI10008",골드 드롭 귀고리,thumbnail://029a0890fa9e4884ad28a7c66da3be78,ItemGuide_39,크리티컬 확률 증가,스킬 사용 시 MP MAX의 30%만큼 크리티컬 확률 증가 (중첩 가능),,,0,0,0,0,15,0,0,0,0,20,0,0,0
NI10033,NormalItem,"MI10007,MI10008",산타 장갑,thumbnail://01e390ebbe744c8cab3e336b71466c9a,ItemGuide_40,랜덤 아이템 2개 장착,무작위 아이템 2개를 장착. 이 아이템 착용 시 다른 아이템 장착 불가.,,,0,0,150,0,0,0,0,0,0,20,0,0,0
NI10034,NormalItem,"MI10006,MI10006",스피릿 나인테일,thumbnail://5ca691d611de4e1b8373a2bbb500926d,ItemGuide_41,MP 공급,"스킬 사용 시, 가장 가까운 아군 1명 및 자신에게 MP 10 제공",,,10,10,0,0,30,0,0,0,0,0,0,0,0
NI10035,NormalItem,"MI10006,MI10007",파란색 날개 가방,thumbnail://a8766bd395974c13a586ebc05b3b1735,ItemGuide_42,보호막,"스킬 사용 시, 자신을 제외한 체력 비율이 가장 낮은 아군에게 4초간 소모한 마나의 200%만큼 보호막 부여",,,0,0,300,0,15,0,0,0,0,0,0,0,0
NI10036,NormalItem,"MI10007,MI10007",하트 타투 글로브,thumbnail://dc101f7119e04fbda189cdf674ca5efc,Status_MaxHP,최대 체력,최대 체력 +9%,,,0,0,600,0,0,0,0,0,0,0,0,0,0
EI10001,Emblem,,마스코트 상징,52a92954026b441b8fd61afac12e0440,ItemGuide_43,상징,장착한 유닛이 마스코트 시너지를 얻습니다. 이미 마스코트 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10002,Emblem,,수호대 상징,47cf9bba06c740b587f9f02e24262f37,ItemGuide_43,상징,장착한 유닛이 수호대 시너지를 얻습니다. 이미 수호대 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10003,Emblem,,선봉장 상징,bd8b548c7d4f4b97a89596d80f9f0fe4,ItemGuide_43,상징,장착한 유닛이 선봉장 시너지를 얻습니다. 이미 선봉장 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10004,Emblem,,마법사 상징,c946cf2994084762a74592ba0d6d9272,ItemGuide_43,상징,장착한 유닛이 마법사 시너지를 얻습니다. 이미 마법사 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10005,Emblem,,책사 상징,4a95515bf5384a4cbc55c60b5fd19d2b,ItemGuide_43,상징,장착한 유닛이 책사 시너지를 얻습니다. 이미 책사 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10006,Emblem,,사냥꾼 상징,ad97acb3e9e64c6383f049fc40b0455c,ItemGuide_43,상징,장착한 유닛이 사냥꾼 시너지를 얻습니다. 이미 사냥꾼 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10008,Emblem,,추격자 상징,e9fb7f86abe640c9a4e9ab116657d084,ItemGuide_43,상징,장착한 유닛이 추격자 시너지를 얻습니다. 이미 추격자 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10009,Emblem,,싸움꾼 상징,b48765da501547e6bad911f573691bce,ItemGuide_43,상징,장착한 유닛이 싸움꾼 시너지를 얻습니다. 이미 싸움꾼 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10010,Emblem,,저격수 상징,272fafb29e67409ab2e143b2bd301906,ItemGuide_43,상징,장착한 유닛이 저격수 시너지를 얻습니다. 이미 저격수 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10011,Emblem,,방해꾼 상징,d904892571144689a127696590e607dd,ItemGuide_43,상징,장착한 유닛이 방해꾼 시너지를 얻습니다. 이미 방해꾼 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10015,Emblem,,시간의 신전 상징,a4e356abeb6e44219d019aaec5b0cd16,ItemGuide_43,상징,장착한 유닛이 시간의 신전 시너지를 얻습니다. 이미 시간의 신전 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10016,Emblem,,엘나스 상징,9f069b75ff544317be68c7eedb004144,ItemGuide_43,상징,장착한 유닛이 엘나스 시너지를 얻습니다. 이미 엘나스 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10017,Emblem,,빅토리아아일랜드 상징,5a15f7a25b834d3abc825e81ab20c22e,ItemGuide_43,상징,장착한 유닛이 빅토리아아일랜드 시너지를 얻습니다. 이미 빅토리아아일랜드 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10018,Emblem,,슬리피우드 상징,c6b02a5bb88448b38e446d50d5906da5,ItemGuide_43,상징,장착한 유닛이 슬리피우드 시너지를 얻습니다. 이미 슬리피우드 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10019,Emblem,,루디브리엄 상징,03833fe422ab46a5b15755fb7402051a,ItemGuide_43,상징,장착한 유닛이 루디브리엄 시너지를 얻습니다. 이미 루디브리엄 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10021,Emblem,,오르비스 상징,0cd46b5631a74a1090856dee6dd2c179,ItemGuide_43,상징,장착한 유닛이 오르비스 시너지를 얻습니다. 이미 오르비스 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10022,Emblem,,시그너스 상징,feb4f029702843a6ab2862538fed408b,ItemGuide_43,상징,장착한 유닛이 시그너스 시너지를 얻습니다. 이미 시그너스 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10023,Emblem,,모험가 상징,6d6dbf3ec820492ca1b424abaa68aa0e,ItemGuide_43,상징,장착한 유닛이 모험가 시너지를 얻습니다. 이미 모험가 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10025,Emblem,,기사단장 상징,f9c8d41643f64345b135356a2609a916,ItemGuide_43,상징,장착한 유닛이 기사단장 시너지를 얻습니다. 이미 기사단장 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10031,Emblem,,아랫마을 상징,a48c7d20cada41e485aa1d965b13f89f,ItemGuide_43,상징,장착한 유닛이 아랫마을 시너지를 얻습니다. 이미 아랫마을 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10032,Emblem,,마가티아 상징,80f550924f4847ac8b4622d2b79e26a3,ItemGuide_43,상징,장착한 유닛이 마가티아 시너지를 얻습니다. 이미 마가티아 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10033,Emblem,,미우미우 상징,98e256e1616d425fb09fa56d29446f6d,ItemGuide_43,상징,장착한 유닛이 미우미우 시너지를 얻습니다. 이미 미우미우 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10034,Emblem,,처형자 상징,0d4039292f794cd2ab7b7f022abb36c8,ItemGuide_43,상징,장착한 유닛이 처형자 시너지를 얻습니다. 이미 처형자 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10035,Emblem,,결투가 상징,b0837ae53c8944319b69c6a913f9de5e,ItemGuide_43,상징,장착한 유닛이 결투가 시너지를 얻습니다. 이미 결투가 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
EI10036,Emblem,,판타스틱 테마파크 상징,6106964e40774e57a5f0b0e7e4f17139,ItemGuide_43,상징,장착한 유닛이 판타스틱 테마파크 시너지를 얻습니다. 이미 판타스틱 테마파크 시너지를 갖고 있는 캐릭터에게는 장착할 수 없습니다.,,,0,0,0,0,0,0,0,0,0,0,0,0,0
SI10001,SynergyItem,,방해꾼의 가면,72054909b43947e593d12b43d7cea4df,ItemGuide_44,"은신, 그리고 은신",아군 방해꾼 캐릭터 중 하나에게 가면을 줄 수 있습니다. 전투 시작 시 가면을 가진 아군 캐릭터와 반대편에 있는 적 캐릭터가 서로 위치를 바꿉니다. 위치를 바꾼 아군 방해꾼은 <b>은신</b> 상태가 됩니다.,SE0002,,0,0,0,0,0,0,0,0,0,0,0,0,0
SI10002,SynergyItem,,분노의 옥석,a3ab9993bee449b9a4dd62b573879d5f,ItemGuide_45,불사,"죽기 직전, 체력 0인 상태로 3초간 무적",SE0001,,0,0,0,0,0,0,0,0,0,20,10,0,50
