Name,IconRUID,FlavorText,Grade
RelicName_42,0026509cf3074bb8a1b412e4d30f6927,RelicDesc_42,Grade_3
RelicName_43,0054f08e0e6d40ff9c9c02ef1242a8da,RelicDesc_43,Grade_3
RelicName_44,00c0f8a957ff4e9395a0d25637271a05,RelicDesc_44,Grade_3
RelicName_45,00e5ee0ecdfa42d8805fe08c87e6cacd,RelicDesc_45,Grade_3
RelicName_46,01098650942b4db0bf39bf8112a01450,RelicDesc_46,Grade_3
RelicName_47,01449bdfeed44ae0b26da07860dbdfc3,RelicDesc_47,Grade_3
RelicName_48,018aadc3859d4e04bcf47d0c697815fe,RelicDesc_48,Grade_3
RelicName_49,01b6c65d845f42df86e8562218ea1a96,RelicDesc_49,Grade_3
RelicName_50,01c5466ef49a4f368b8a437418e2961e,RelicDesc_50,Grade_3
RelicName_51,02149e3aab404fcaa3a7ab86a1acec35,RelicDesc_51,Grade_3
RelicName_52,02a07cc613b54aa9a7047f9e86773ff7,RelicDesc_52,Grade_3
RelicName_53,02c78417418e4711bfab834a213cbd18,RelicDesc_53,Grade_3
RelicName_54,02e9f9db35fc4ff78a0039c40ab461d7,RelicDesc_54,Grade_3
RelicName_55,0337d7f6f3a34930b82f8b914d47b0c3,RelicDesc_55,Grade_3
RelicName_56,01c7a4cf016d4079add9aaebb1bbc148,RelicDesc_56,Grade_3
RelicName_57,03f59b2c4eca40d187fb4ef452ba5904,RelicDesc_57,Grade_3
RelicName_58,040eefd321b1437ab2a3036d30c426cb,RelicDesc_58,Grade_4
RelicName_59,049ae02acecf45b7bc8287295568fb2b,RelicDesc_59,Grade_4
RelicName_60,0642f94dbcfe49fabe81570e11ae06b3,RelicDesc_60,Grade_4
RelicName_61,06c6aabd62eb41e28efb7faa9bba0fff,RelicDesc_61,Grade_4
RelicName_62,078c9ac138c345fdaa923e5d94c91f63,RelicDesc_62,Grade_4
RelicName_63,071d1d72b5434b86b348fe55fe322d8f,RelicDesc_63,Grade_4
RelicName_64,0724f3a1cb594038820cd43741bedd6c,RelicDesc_64,Grade_4
RelicName_65,087fe2ab5b2841d29cd41f75498ce4cd,RelicDesc_65,Grade_4
RelicName_66,08b6bdf6f8a44eb9ac23a3b97b3c906d,RelicDesc_66,Grade_4
RelicName_67,0865f41dfa5a4a82862b2ce16771b9aa,RelicDesc_67,Grade_4
RelicName_68,08b4355dc9494e08b6ec48e1c7b87fb7,RelicDesc_68,Grade_4
RelicName_69,095a6220885a42cdbf007e33b1b12daa,RelicDesc_69,Grade_4
RelicName_70,09bd1b7b6ea645bca729c3176016fbd9,RelicDesc_70,Grade_4
RelicName_71,09ce54e6dda040dcac8a2cdf2d558579,RelicDesc_71,Grade_4
RelicName_72,0a0a800bf0924ff7bba89d7642881ac2,RelicDesc_72,Grade_4
RelicName_73,0b19e3a846a5429b8563cbcae8a7c42d,RelicDesc_73,Grade_4
RelicName_74,0a38f00362b54c7987043014bfe56b05,RelicDesc_74,Grade_4
RelicName_75,0a7b7a5e50f24717a6e664d6aa737124,RelicDesc_75,Grade_5
RelicName_76,0b67b8c69856445487b7821c7d91fdff,RelicDesc_76,Grade_5
RelicName_77,0d1e42f5065848768e855303853a4b1e,RelicDesc_77,Grade_5
RelicName_78,0f44ff3b0f5942b48d43d8240f765048,RelicDesc_78,Grade_5
RelicName_79,0f7789cdf77e4ab5b82246b5acf9f57c,RelicDesc_79,Grade_5
RelicName_80,0f876f666fa944aaaed6aeaa558b82a4,RelicDesc_80,Grade_5
RelicName_81,10065a54041448ebbc109325160bc39e,RelicDesc_81,Grade_5
RelicName_82,12b73fdc998c4db49dfb9235c82fb376,RelicDesc_82,Grade_5
RelicName_83,13122cb6462d4124b69434c90d9a92fd,RelicDesc_83,Grade_5
RelicName_84,13428b0d06654176b4032975083ac8f9,RelicDesc_84,Grade_5
RelicName_85,13d36094a6ca487bb2b41444dbaf3b62,RelicDesc_85,Grade_5
RelicName_86,15e6bf4685634c6981c2c1d6963e95fa,RelicDesc_86,Grade_5
RelicName_87,1628bc75180049d5b4c556b325f87895,RelicDesc_87,Grade_5
RelicName_88,162c79878ef54f0db85101b160ade8d0,RelicDesc_88,Grade_5
RelicName_89,170f7fc467024c368554de2b4700fbb7,RelicDesc_89,Grade_5
RelicName_90,17921719640f430db24d5382f2f5b951,RelicDesc_90,Grade_5
