dropId,dropType,dropRate,itemId,itemCount,itemPercent
900011,monster,10000,100_000165/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072,1/1/1/2/6/1/1/1/1/1/1/1/1,0.032/0.095/0.0065/0.033/0.0115/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008
900012,monster,10000,100_000166/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072,1/1/1/2/8/1/1/1/1/1/1/1/1,0.084/0.095/0.0065/0.033/0.009/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008
900013,monster,10000,100_000166/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072,1/1/1/2/8/1/1/1/1/1/1/1/1,0.1/0.115/0.0065/0.033/0.009/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008
900014,monster,10000,100_000167/100_000060/999_999999/105_000001/100_000137/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072,1/1/1/2/11/1/1/1/1/1/1/1/1,0.042/0.125/0.0065/0.033/0.0072/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008
900015,monster,10000,100_000167/100_000060/999_999999/105_000001/100_000137/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072,1/1/1/2/11/1/1/1/1/1/1/1/1,0.054/0.16/0.0065/0.033/0.0072/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008
900016,monster,10000,100_000168/100_000060/999_999999/105_000001/100_000137/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072,1/1/1/2/16/1/1/1/1/1/1/1/1,0.088/0.265/0.0065/0.033/0.013/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008
900017,eliteBoss,10000,100_000160/100_000122/999_999999/105_000001/100_000133/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000074/100_000075/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.07/0.2/0.0065/0.033/0.2/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.165/0.15/0.008/0.02
900018,eliteBoss,10000,100_000160/100_000122/999_999999/105_000001/100_000133/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000074/100_000075/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.07/0.2/0.0065/0.033/0.2/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.165/0.15/0.008/0.02
900019,eliteBoss,10000,100_000160/100_000122/999_999999/105_000001/100_000133/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000074/100_000075/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.07/0.2/0.0065/0.033/0.2/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.165/0.15/0.008/0.02
900020,eliteBoss,10000,100_000160/100_000122/999_999999/105_000001/100_000133/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000074/100_000075/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.07/0.2/0.0065/0.033/0.2/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.165/0.15/0.008/0.02
900021,eliteBoss,10000,100_000160/100_000122/999_999999/105_000001/100_000133/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000074/100_000075/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.1/0.3/0.0065/0.033/0.2/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.23/0.135/0.09/0.02
900022,eliteBoss,10000,100_000160/100_000122/999_999999/105_000001/100_000133/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000074/100_000075/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.1/0.3/0.0065/0.033/0.2/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.23/0.135/0.09/0.02
900023,eliteBoss,10000,100_000160/100_000122/999_999999/105_000001/100_000133/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000074/100_000075/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.1/0.3/0.0065/0.033/0.2/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.23/0.135/0.09/0.02
900024,eliteBoss,10000,100_000160/100_000122/999_999999/105_000001/100_000133/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000074/100_000075/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.1/0.3/0.0065/0.033/0.2/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.23/0.135/0.09/0.02
900025,eliteBoss,10000,100_000161/100_000122/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000075/100_000076/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.066/0.3/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.065/0.033/0.035/0.02
900026,eliteBoss,10000,100_000161/100_000122/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000075/100_000076/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.066/0.3/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.065/0.033/0.035/0.02
900027,eliteBoss,10000,100_000161/100_000122/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000075/100_000076/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.066/0.3/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.065/0.033/0.035/0.02
900028,eliteBoss,10000,100_000161/100_000122/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000075/100_000076/999_999998,5/5/5/5/2/5/5/5/5/5/5/5/5/5/5/5/1,0.066/0.3/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.065/0.033/0.035/0.02
900029,eliteBoss,10000,100_000162/100_000125/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000075/100_000076/100_000077/100_000078/999_999998,5/5/5/5/4/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.027/0.052/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.2/0.0177/0.02/0.035/0.006/0.02
900030,eliteBoss,10000,100_000162/100_000125/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000075/100_000076/100_000077/100_000078/999_999998,5/5/5/5/4/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.027/0.052/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.2/0.0177/0.02/0.035/0.006/0.02
900031,eliteBoss,10000,100_000162/100_000125/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000075/100_000076/100_000077/100_000078/999_999998,5/5/5/5/4/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.027/0.052/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.2/0.0177/0.02/0.035/0.006/0.02
900032,eliteBoss,10000,100_000162/100_000125/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000075/100_000076/100_000077/100_000078/999_999998,5/5/5/5/4/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.027/0.052/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.2/0.0177/0.02/0.035/0.006/0.02
900033,eliteBoss,10000,100_000162/100_000125/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000076/100_000077/100_000078/999_999998,5/5/5/5/4/5/5/5/5/5/5/5/5/5/5/5/5/1,0.035/0.045/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.055/0.011/0.02/0.025/0.02
900034,eliteBoss,10000,100_000162/100_000125/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000076/100_000077/100_000078/999_999998,5/5/5/5/4/5/5/5/5/5/5/5/5/5/5/5/5/1,0.035/0.045/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.055/0.011/0.02/0.025/0.02
900035,eliteBoss,10000,100_000162/100_000125/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000076/100_000077/100_000078/999_999998,5/5/5/5/4/5/5/5/5/5/5/5/5/5/5/5/5/1,0.035/0.045/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.055/0.011/0.02/0.025/0.02
900036,eliteBoss,10000,100_000162/100_000125/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000076/100_000077/100_000078/999_999998,5/5/5/5/4/5/5/5/5/5/5/5/5/5/5/5/5/1,0.035/0.045/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.055/0.011/0.02/0.025/0.02
900037,eliteBoss,10000,100_000163/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000077/100_000078/100_000079/100_000080/999_999998,5/5/5/5/6/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.03/0.09/0.0065/0.033/0.024/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.065/0.011/0.02/0.03/0.0027/0.02
900038,eliteBoss,10000,100_000163/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000077/100_000078/100_000079/100_000080/999_999998,5/5/5/5/6/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.03/0.09/0.0065/0.033/0.024/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.065/0.011/0.02/0.03/0.0027/0.02
900039,eliteBoss,10000,100_000163/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000077/100_000078/100_000079/100_000080/999_999998,5/5/5/5/6/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.03/0.09/0.0065/0.033/0.024/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.065/0.011/0.02/0.03/0.0027/0.02
900040,eliteBoss,10000,100_000163/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000077/100_000078/100_000079/100_000080/999_999998,5/5/5/5/6/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.03/0.09/0.0065/0.033/0.024/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.065/0.011/0.02/0.03/0.0027/0.02
900041,eliteBoss,10000,100_000163/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000078/100_000079/100_000080/100_000081/999_999998,5/5/5/5/6/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.032/0.095/0.0065/0.033/0.024/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.05/0.007/0.02/0.018/0.007/0.02
900042,eliteBoss,10000,100_000163/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000078/100_000079/100_000080/100_000081/999_999998,5/5/5/5/6/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.032/0.095/0.0065/0.033/0.024/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.05/0.007/0.02/0.018/0.007/0.02
900043,eliteBoss,10000,100_000163/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000078/100_000079/100_000080/100_000081/999_999998,5/5/5/5/6/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.032/0.095/0.0065/0.033/0.024/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.05/0.007/0.02/0.018/0.007/0.02
900044,eliteBoss,10000,100_000163/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000078/100_000079/100_000080/100_000081/999_999998,5/5/5/5/6/5/5/5/5/5/5/5/5/5/5/5/5/5/1,0.032/0.095/0.0065/0.033/0.024/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.05/0.007/0.02/0.018/0.007/0.02
900045,eliteBoss,10000,100_000164/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000080/100_000081/999_999998,5/5/5/5/10/5/5/5/5/5/5/5/5/5/5/5/1,0.016/0.095/0.0065/0.033/0.016/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.055/0.025/0.03/0.02
900046,eliteBoss,10000,100_000164/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000080/100_000081/999_999998,5/5/5/5/10/5/5/5/5/5/5/5/5/5/5/5/1,0.016/0.095/0.0065/0.033/0.016/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.055/0.025/0.03/0.02
900047,eliteBoss,10000,100_000164/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000080/100_000081/999_999998,5/5/5/5/10/5/5/5/5/5/5/5/5/5/5/5/1,0.016/0.095/0.0065/0.033/0.016/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.055/0.025/0.03/0.02
900048,eliteBoss,10000,100_000164/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000080/100_000081/999_999998,5/5/5/5/10/5/5/5/5/5/5/5/5/5/5/5/1,0.016/0.095/0.0065/0.033/0.016/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.055/0.025/0.03/0.02
900049,eliteBoss,10000,100_000164/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/10/5/5/5/5/5/5/5/5/1,0.025/0.095/0.0065/0.033/0.016/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900050,eliteBoss,10000,100_000164/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/10/5/5/5/5/5/5/5/5/1,0.025/0.095/0.0065/0.033/0.016/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900051,eliteBoss,10000,100_000164/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/10/5/5/5/5/5/5/5/5/1,0.025/0.095/0.0065/0.033/0.016/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900052,eliteBoss,10000,100_000164/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/10/5/5/5/5/5/5/5/5/1,0.025/0.095/0.0065/0.033/0.016/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900053,eliteBoss,10000,100_000165/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/12/5/5/5/5/5/5/5/5/1,0.028/0.085/0.0065/0.033/0.0115/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900054,eliteBoss,10000,100_000165/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/12/5/5/5/5/5/5/5/5/1,0.028/0.085/0.0065/0.033/0.0115/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900055,eliteBoss,10000,100_000165/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/12/5/5/5/5/5/5/5/5/1,0.028/0.085/0.0065/0.033/0.0115/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900056,eliteBoss,10000,100_000165/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/12/5/5/5/5/5/5/5/5/1,0.028/0.085/0.0065/0.033/0.0115/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900057,eliteBoss,10000,100_000165/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/12/5/5/5/5/5/5/5/5/1,0.032/0.095/0.0065/0.033/0.0115/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900058,eliteBoss,10000,100_000165/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/12/5/5/5/5/5/5/5/5/1,0.032/0.095/0.0065/0.033/0.0115/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900059,eliteBoss,10000,100_000165/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/12/5/5/5/5/5/5/5/5/1,0.032/0.095/0.0065/0.033/0.0115/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900060,eliteBoss,10000,100_000165/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/12/5/5/5/5/5/5/5/5/1,0.032/0.095/0.0065/0.033/0.0115/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900061,eliteBoss,10000,100_000166/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/16/5/5/5/5/5/5/5/5/1,0.084/0.095/0.0065/0.033/0.009/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900062,eliteBoss,10000,100_000166/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/16/5/5/5/5/5/5/5/5/1,0.084/0.095/0.0065/0.033/0.009/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900063,eliteBoss,10000,100_000166/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/16/5/5/5/5/5/5/5/5/1,0.084/0.095/0.0065/0.033/0.009/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900064,eliteBoss,10000,100_000166/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/16/5/5/5/5/5/5/5/5/1,0.084/0.095/0.0065/0.033/0.009/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900065,eliteBoss,10000,100_000166/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/16/5/5/5/5/5/5/5/5/1,0.1/0.115/0.0065/0.033/0.009/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900066,eliteBoss,10000,100_000166/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/16/5/5/5/5/5/5/5/5/1,0.1/0.115/0.0065/0.033/0.009/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900067,eliteBoss,10000,100_000166/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/16/5/5/5/5/5/5/5/5/1,0.1/0.115/0.0065/0.033/0.009/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900068,eliteBoss,10000,100_000166/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/16/5/5/5/5/5/5/5/5/1,0.1/0.115/0.0065/0.033/0.009/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900069,eliteBoss,10000,100_000167/100_000060/999_999999/105_000001/100_000137/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/22/5/5/5/5/5/5/5/5/1,0.042/0.125/0.0065/0.033/0.0072/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900070,eliteBoss,10000,100_000167/100_000060/999_999999/105_000001/100_000137/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/22/5/5/5/5/5/5/5/5/1,0.042/0.125/0.0065/0.033/0.0072/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900071,eliteBoss,10000,100_000167/100_000060/999_999999/105_000001/100_000137/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/22/5/5/5/5/5/5/5/5/1,0.042/0.125/0.0065/0.033/0.0072/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900072,eliteBoss,10000,100_000167/100_000060/999_999999/105_000001/100_000137/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/22/5/5/5/5/5/5/5/5/1,0.042/0.125/0.0065/0.033/0.0072/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900073,eliteBoss,10000,100_000167/100_000060/999_999999/105_000001/100_000137/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/22/5/5/5/5/5/5/5/5/1,0.054/0.16/0.0065/0.033/0.0072/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
900074,eliteBoss,10000,100_000167/100_000060/999_999999/105_000001/100_000137/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/999_999998,5/5/5/5/22/5/5/5/5/5/5/5/5/1,0.054/0.16/0.0065/0.033/0.0072/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.02
