RecipeId,ItemName,ItemId,ItemCategory,ItemType,ItemGrade,ingredient_1,quantity_1,ingredient_2,quantity_2,ingredient_3,quantity_3,ingredient_4,quantity_4,ingredient_5,quantity_5,ingredient_6,quantity_6,ingredient_7,quantity_7,ingredient_8,quantity_8,ingredient_9,quantity_9,ingredient_10,quantity_10
10016,은,100_000032,ingredient,magicstone,epic,100_000031,2,100_000088,2,,,,,,,,,,,,,,,,
10017,오리할콘,100_000034,ingredient,magicstone,epic,100_000033,2,100_000088,2,,,,,,,,,,,,,,,,
10018,강철,100_000036,ingredient,magicstone,epic,100_000035,2,100_000088,2,,,,,,,,,,,,,,,,
10019,청동,100_000038,ingredient,magicstone,epic,100_000037,2,100_000088,2,,,,,,,,,,,,,,,,
10020,아다만티움,100_000040,ingredient,magicstone,epic,100_000039,2,100_000088,2,,,,,,,,,,,,,,,,
10021,미스릴,100_000042,ingredient,magicstone,epic,100_000041,2,100_000088,2,,,,,,,,,,,,,,,,
10022,금,100_000044,ingredient,magicstone,epic,100_000043,2,100_000088,2,,,,,,,,,,,,,,,,
10023,보라빛 크리스탈,100_000046,ingredient,magicstone,epic,100_000045,2,100_000088,2,,,,,,,,,,,,,,,,
10024,검은빛 크리스탈,100_000048,ingredient,magicstone,epic,100_000047,2,100_000088,2,,,,,,,,,,,,,,,,
10025,핑크 쥬얼,100_000050,ingredient,magicstone,epic,100_000049,2,100_000088,2,,,,,,,,,,,,,,,,
10026,그린 쥬얼,100_000052,ingredient,magicstone,epic,100_000051,2,100_000088,2,,,,,,,,,,,,,,,,
10027,옐로우 쥬얼,100_000054,ingredient,magicstone,epic,100_000053,2,100_000088,2,,,,,,,,,,,,,,,,
10028,블루 쥬얼,100_000056,ingredient,magicstone,epic,100_000055,2,100_000088,2,,,,,,,,,,,,,,,,
10030,하급 아이템 결정 조각,100_000123,ingredient,crystal,normal,100_000122,5,,,,,,,,,,,,,,,,,,
10031,하급 아이템 결정 덩어리,100_000124,ingredient,crystal,normal,100_000123,3,,,,,,,,,,,,,,,,,,
10033,중급 아이템 결정 조각,100_000126,ingredient,crystal,rare,100_000125,5,,,,,,,,,,,,,,,,,,
10034,중급 아이템 결정 덩어리,100_000127,ingredient,crystal,rare,100_000126,3,,,,,,,,,,,,,,,,,,
10036,상급 아이템 결정 조각,100_000129,ingredient,crystal,epic,100_000128,5,,,,,,,,,,,,,,,,,,
10037,상급 아이템 결정 덩어리,100_000130,ingredient,crystal,epic,100_000129,3,,,,,,,,,,,,,,,,,,
10038,최상급 아이템 결정 덩어리,100_000131,ingredient,crystal,unique,100_000060,15,,,,,,,,,,,,,,,,,,
10039,장신구 계승 주문서(노멀),100_000138,ingredient,scroll,normal,105_000001,10,100_000083,1,,,,,,,,,,,,,,,,
10040,장신구 계승 주문서(레어),100_000139,ingredient,scroll,rare,105_000001,20,100_000084,1,,,,,,,,,,,,,,,,
10041,장신구 계승 주문서(에픽),100_000140,ingredient,scroll,epic,105_000001,30,100_000085,1,,,,,,,,,,,,,,,,
10042,장신구 계승 주문서(유니크),100_000141,ingredient,scroll,unique,105_000001,40,100_000086,1,,,,,,,,,,,,,,,,
10043,장신구 계승 주문서(레전더리),100_000142,ingredient,scroll,legendary,105_000001,50,100_000087,1,,,,,,,,,,,,,,,,
10044,황금 망치,100_000143,ingredient,goldhammer,normal,105_000001,10,100_000132,1,,,,,,,,,,,,,,,,
10045,소울 에그 (Lv. 1 ~ 5),3_000001,etc,soulegg,normal,100_000074,1,100_000073,1,,,,,,,,,,,,,,,,
10046,소울 에그 (Lv. 6 ~ 10),3_000002,etc,soulegg,normal,100_000075,1,100_000073,1,,,,,,,,,,,,,,,,
10047,소울 에그 (Lv. 11 ~ 15),3_000003,etc,soulegg,rare,100_000076,1,100_000073,1,,,,,,,,,,,,,,,,
10048,소울 에그 (Lv. 16 ~ 20),3_000004,etc,soulegg,rare,100_000077,1,100_000073,1,,,,,,,,,,,,,,,,
10049,소울 에그 (Lv. 21 ~ 25),3_000005,etc,soulegg,epic,100_000078,1,100_000073,1,,,,,,,,,,,,,,,,
10050,소울 에그 (Lv. 26 ~ 30),3_000006,etc,soulegg,epic,100_000079,1,100_000073,1,,,,,,,,,,,,,,,,
10051,소울 에그 (Lv. 31 ~ 35),3_000007,etc,soulegg,unique,100_000080,1,100_000073,1,,,,,,,,,,,,,,,,
10052,소울 에그 (Lv. 36 ~ 40),3_000008,etc,soulegg,unique,100_000081,1,100_000073,1,,,,,,,,,,,,,,,,
10054,하급 체력 물약,104_000001,consume,potion,normal,100_000066,1,100_000061,1,,,,,,,,,,,,,,,,
10055,중급 체력 물약,104_000002,consume,potion,rare,100_000068,1,100_000062,1,,,,,,,,,,,,,,,,
10056,고급 체력 물약,104_000003,consume,potion,epic,100_000070,1,100_000063,1,,,,,,,,,,,,,,,,
10057,최고급 체력 물약,104_000004,consume,potion,unique,100_000072,1,100_000064,1,,,,,,,,,,,,,,,,
10058,하급 마나 물약,104_000005,consume,potion,normal,100_000065,1,100_000061,1,,,,,,,,,,,,,,,,
10059,중급 마나 물약,104_000006,consume,potion,rare,100_000067,1,100_000062,1,,,,,,,,,,,,,,,,
10060,고급 마나 물약,104_000007,consume,potion,epic,100_000069,1,100_000063,1,,,,,,,,,,,,,,,,
10061,최고급 마나 물약,104_000008,consume,potion,unique,100_000071,1,100_000064,1,,,,,,,,,,,,,,,,
10062,숲의 물약,104_000009,consume,potion,normal,105_000002,10,100_000061,1,100_000144,1,,,,,,,,,,,,,,
10063,우거진 숲의 물약,104_000010,consume,potion,rare,105_000003,10,100_000061,1,100_000145,1,,,,,,,,,,,,,,
10064,사막의 물약,104_000011,consume,potion,normal,105_000004,10,100_000061,1,100_000146,1,,,,,,,,,,,,,,
10065,황량한 사막의 물약,104_000012,consume,potion,rare,105_000005,10,100_000061,1,100_000147,1,,,,,,,,,,,,,,
10066,해적의 물약,104_000013,consume,potion,normal,105_000006,10,100_000062,1,100_000148,1,,,,,,,,,,,,,,
10067,거친 해적의 물약,104_000014,consume,potion,rare,105_000007,10,100_000062,1,100_000149,1,,,,,,,,,,,,,,
10068,공장의 물약,104_000015,consume,potion,normal,105_000008,10,100_000062,1,100_000150,1,,,,,,,,,,,,,,
10069,과부화된 공장의 물약,104_000016,consume,potion,rare,105_000009,10,100_000062,1,100_000151,1,,,,,,,,,,,,,,
10070,쿠키의 물약,104_000017,consume,potion,normal,105_000010,10,100_000063,1,100_000152,1,,,,,,,,,,,,,,
10071,달콤한 쿠키의 물약,104_000018,consume,potion,rare,105_000011,10,100_000063,1,100_000153,1,,,,,,,,,,,,,,
10072,겨울의 물약,104_000019,consume,potion,normal,105_000012,10,100_000063,1,100_000154,1,,,,,,,,,,,,,,
10073,혹독한 겨울의 물약,104_000020,consume,potion,rare,105_000013,10,100_000063,1,100_000155,1,,,,,,,,,,,,,,
10074,신전의 물약,104_000021,consume,potion,normal,105_000014,10,100_000064,1,100_000156,1,,,,,,,,,,,,,,
10075,신비한 신전의 물약,104_000022,consume,potion,rare,105_000015,10,100_000064,1,100_000157,1,,,,,,,,,,,,,,
10076,온천의 물약,104_000023,consume,potion,normal,105_000016,10,100_000064,1,100_000158,1,,,,,,,,,,,,,,
10077,뜨끈한 온천의 물약,104_000024,consume,potion,rare,105_000017,10,100_000064,1,100_000159,1,,,,,,,,,,,,,,
10078,오닉스 링,101_000001,accessory,ring,normal,100_000124,1,100_000088,1,100_000092,1,100_000160,10,,,,,,,,,,,,
10079,레전드 링,101_000002,accessory,ring,normal,100_000124,2,100_000088,1,100_000093,1,100_000160,10,,,,,,,,,,,,
10080,엔젤릭 블레스,101_000003,accessory,ring,rare,100_000124,3,100_000088,1,100_000094,1,100_000161,10,,,,,,,,,,,,
10081,앱솔루트 링,101_000004,accessory,ring,rare,100_000127,1,100_000089,1,100_000095,1,100_000162,10,,,,,,,,,,,,
10082,코스모스 링,101_000005,accessory,ring,epic,100_000127,2,100_000089,1,100_000096,1,100_000163,10,,,,,,,,,,,,
10083,다크 엔젤릭 블레스,101_000006,accessory,ring,epic,100_000127,3,100_000089,1,100_000097,1,100_000164,10,,,,,,,,,,,,
10084,화이트 엔젤릭 블레스,101_000007,accessory,ring,unique,100_000130,2,100_000090,1,100_000098,1,100_000165,10,,,,,,,,,,,,
10085,결속의 반지,101_000008,accessory,ring,unique,100_000130,3,100_000090,1,100_000099,1,100_000166,10,,,,,,,,,,,,
10086,카오스링,101_000009,accessory,ring,legendary,100_000131,2,100_000091,1,100_000100,1,100_000167,10,,,,,,,,,,,,
10087,테네브리스 원정대 반지,101_000010,accessory,ring,legendary,100_000131,2,100_000091,1,100_000101,1,100_000168,10,,,,,,,,,,,,
10088,나뭇잎 귀고리,102_000001,accessory,earring,normal,100_000124,1,100_000088,1,100_000102,1,100_000160,10,,,,,,,,,,,,
10089,에메랄드 귀고리,102_000002,accessory,earring,normal,100_000124,2,100_000088,1,100_000103,1,100_000160,10,,,,,,,,,,,,
10090,별 귀고리,102_000003,accessory,earring,rare,100_000124,3,100_000088,1,100_000104,1,100_000161,10,,,,,,,,,,,,
10091,홀리윙 이어링,102_000004,accessory,earring,rare,100_000127,1,100_000089,1,100_000105,1,100_000162,10,,,,,,,,,,,,
10092,새콤달콤 귀고리,102_000005,accessory,earring,epic,100_000127,2,100_000089,1,100_000106,1,100_000163,10,,,,,,,,,,,,
10093,세인트 세이버 이어링,102_000006,accessory,earring,epic,100_000127,3,100_000089,1,100_000107,1,100_000164,10,,,,,,,,,,,,
10094,찬란한 알테어 이어링,102_000007,accessory,earring,unique,100_000130,2,100_000090,1,100_000108,1,100_000165,10,,,,,,,,,,,,
10095,미스틱 이어링,102_000008,accessory,earring,unique,100_000130,3,100_000090,1,100_000109,1,100_000166,10,,,,,,,,,,,,
10096,타임리스 이어링,102_000009,accessory,earring,legendary,100_000131,2,100_000091,1,100_000110,1,100_000167,10,,,,,,,,,,,,
10097,데아 시두스 이어링,102_000010,accessory,earring,legendary,100_000131,2,100_000091,1,100_000111,1,100_000168,10,,,,,,,,,,,,
10098,포도알 펜던트,103_000001,accessory,necklace,normal,100_000124,1,100_000088,1,100_000112,1,100_000160,10,,,,,,,,,,,,
10099,오닉스 펜던트,103_000002,accessory,necklace,normal,100_000124,2,100_000088,1,100_000113,1,100_000160,10,,,,,,,,,,,,
10100,호루스의 눈,103_000003,accessory,necklace,rare,100_000124,3,100_000088,1,100_000114,1,100_000161,10,,,,,,,,,,,,
10101,레볼루션 펜던트,103_000004,accessory,necklace,rare,100_000127,1,100_000089,1,100_000115,1,100_000162,10,,,,,,,,,,,,
10102,템페스트 펜던트,103_000005,accessory,necklace,epic,100_000127,2,100_000089,1,100_000116,1,100_000163,10,,,,,,,,,,,,
10103,얼티밋 펜던트,103_000006,accessory,necklace,epic,100_000127,3,100_000089,1,100_000117,1,100_000164,10,,,,,,,,,,,,
10104,미스틱 펜던트,103_000007,accessory,necklace,unique,100_000130,2,100_000090,1,100_000118,1,100_000165,10,,,,,,,,,,,,
10105,매커네이터 펜던트,103_000008,accessory,necklace,unique,100_000130,3,100_000090,1,100_000119,1,100_000166,10,,,,,,,,,,,,
10106,타임리스 펜던트,103_000009,accessory,necklace,legendary,100_000131,2,100_000091,1,100_000120,1,100_000167,10,,,,,,,,,,,,
10107,데이브레이크 펜던트,103_000010,accessory,necklace,legendary,100_000131,2,100_000091,1,100_000121,1,100_000168,10,,,,,,,,,,,,
