UpgradeLevel1,UpgradeLevel2,UpgradeLevel3,UpgradeLevel4,UpgradeLevel5,UpgradeLevel6,UpgradeLevel7,UpgradeLevel8,UpgradeLevel9,UpgradeLevel10,UpgradeLevel11,UpgradeLevel12,UpgradeLevel13,UpgradeLevel14,UpgradeLevel15,UpgradeLevel16,UpgradeLevel17
,,,,,,,Facility_7_3,Facility_7_3,Facility_7_3,Facility_7_3,Facility_7_3,Facility_7_3,Facility_7_3,Facility_7_3,Facility_7_3,
,,,,,,,Facility_6,Facility_6,Facility_6,Facility_6,Facility_6,Facility_6,Facility_6,Facility_6,Facility_6,
,,,,,,,Facility_6_2,Facility_6_2,Facility_6_2,Facility_6_2,Facility_6_2,Facility_6_2,Facility_6_2,Facility_6_2,Facility_6_2,
,,,,,,,,Table_5,Table_5,Table_5,Table_5,Table_5,Table_5,Table_5,Table_5,
,,,,,,,,Table_6,Table_6,Table_6,Table_6,Table_6,Table_6,Table_6,Table_6,
,,,,,,,,Storage_3,Storage_3,Storage_3,Storage_3,Storage_3,Storage_3,Storage_3,Storage_3,
,,,,,,,,Storage_4,Storage_4,Storage_4,Storage_4,Storage_4,Storage_4,Storage_4,Storage_4,
,,,,,,,,Flowerpot_5,Flowerpot_5,Flowerpot_5,Flowerpot_5,Flowerpot_5,Flowerpot_5,Flowerpot_5,Flowerpot_5,
,,,,,,,,Flowerpot_6,Flowerpot_6,Flowerpot_6,Flowerpot_6,Flowerpot_6,Flowerpot_6,Flowerpot_6,Flowerpot_6,
,,,,,,,,,PartTime_1_2,PartTime_1_2,PartTime_1_2,PartTime_1_2,PartTime_1_2,PartTime_1_2,PartTime_1_2,
,,,,,,,,,PartTime_1_3,PartTime_1_3,PartTime_1_3,PartTime_1_3,PartTime_1_3,PartTime_1_3,PartTime_1_3,
,,,,,,,,,,Facility_3_2,Facility_3_2,Facility_3_2,Facility_3_2,Facility_3_2,Facility_3_2,
,,,,,,,,,,Facility_4_3,Facility_4_3,Facility_4_3,Facility_4_3,Facility_4_3,Facility_4_3,
,,,,,,,,,,Facility_3_3,Facility_3_3,Facility_3_3,Facility_3_3,Facility_3_3,Facility_3_3,
,,,,,,,,,,Facility_1_3,Facility_1_3,Facility_1_3,Facility_1_3,Facility_1_3,Facility_1_3,
,,,,,,,,,,,Carpet_3,Carpet_3,Carpet_3,Carpet_3,Carpet_3,
,,,,,,,,,,,Carpet_4,Carpet_4,Carpet_4,Carpet_4,Carpet_4,
,,,,,,,,,,,Carpet_5,Carpet_5,Carpet_5,Carpet_5,Carpet_5,
,,,,,,,,,,,StandingBoard_3,StandingBoard_3,StandingBoard_3,StandingBoard_3,StandingBoard_3,
,,,,,,,,,,,StandingBoard_4,StandingBoard_4,StandingBoard_4,StandingBoard_4,StandingBoard_4,
,,,,,,,,,,,,PartTime_2,PartTime_2,PartTime_2,PartTime_2,
,,,,,,,,,,,,PartTime_2_2,PartTime_2_2,PartTime_2_2,PartTime_2_2,
,,,,,,,,,,,,PartTime_2_3,PartTime_2_3,PartTime_2_3,PartTime_2_3,
,,,,,,,,,,,,,Facility_9_2,Facility_9_2,Facility_9_2,
,,,,,,,,,,,,,Facility_9,Facility_9,Facility_9,
,,,,,,,,,,,,,Facility_5_2,Facility_5_2,Facility_5_2,
,,,,,,,,,,,,,Facility_6_3,Facility_6_3,Facility_6_3,
,,,,,,,,,,,,,,Facility_8,Facility_8,
,,,,,,,,,,,,,,Facility_1_4,Facility_1_4,
,,,,,,,,,,,,,,Facility_9_3,Facility_9_3,
,,,,,,,,,,,,,,Facility_8_2,Facility_8_2,
,,,,,,,,,,,,,,Facility_6_4,Facility_6_4,
,,,,,,,,,,,,,,Table_9,Table_9,
,,,,,,,,,,,,,,Table_10,Table_10,
,,,,,,,,,,,,,,,Chandelier_1,
,,,,,,,,,,,,,,,Chandelier_2,
,,,,,,,,,,,,,,,Chandelier_3,
,,,,,,,,,,,,,,,Chandelier_4,
,,,,,,,,,,,,,,,Chandelier_5,
