WorldVersion,SeasonID,RankSeason,Year,Month,Day,Hour,Minute,RankCriteria,B1,B2,B3,S2,S3,G1,G2,G3,P1,P2,P3,P4,D1,D2,D3,D4,M1,M2,M3,M4,C
0.2.1,1.19,1.2,2026,2,3,0,0,CT10013,PEN10002,PEN20004,PEN30003,PEN10003,PEN10003,PEN20002,PEN20008,PEN30009,PEN20002,PEN20007,PEN30016,PEN30009,PEN20008,PEN20002,PEN30009,PEN30013,PEN20008,PEN20002,PEN30010,PEN30002,PEN40001
0.2.1,1.20,1.0,2026,2,17,0,0,CT10015,PEN10006,PEN20011,PEN30011,PEN10006,PEN10006,PEN20004,PEN20010,PEN30013,PEN20009,PEN20012,PEN30007,PEN30009,PEN20003,PEN20007,PEN30011,PEN30011,PEN20006,PEN20009,PEN30010,PEN30010,PEN40001
0.2.1,1.21,1.1,2026,3,3,0,0,CT10009,PEN10008,PEN20001,PEN30001,PEN10005,PEN10007,PEN20005,PEN20003,PEN30003,PEN20007,PEN20014,PEN30004,PEN30001,PEN20014,PEN20003,PEN30011,PEN30013,PEN20010,PEN20015,PEN30012,PEN30003,PEN40001
0.2.1,1.22,1.2,2026,3,17,0,0,CT10009,PEN10001,PEN20014,PEN30012,PEN10001,PEN10003,PEN20004,PEN20008,PEN30015,PEN20016,PEN20013,PEN30015,PEN30015,PEN20009,PEN20012,PEN30010,PEN30008,PEN20007,PEN20003,PEN30015,PEN30015,PEN40001
0.2.1,1.23,1.0,2026,3,31,0,0,CT10016,PEN10001,PEN20011,PEN30002,PEN10006,PEN10006,PEN20007,PEN20004,PEN30007,PEN20012,PEN20005,PEN30014,PEN30003,PEN20004,PEN20016,PEN30004,PEN30008,PEN20012,PEN20012,PEN30002,PEN30001,PEN40001
0.2.1,1.24,1.2,2026,4,14,0,0,CT10002,PEN10001,PEN20009,PEN30005,PEN10005,PEN10002,PEN20004,PEN20010,PEN30014,PEN20008,PEN20008,PEN30005,PEN30005,PEN20012,PEN20011,PEN30009,PEN30005,PEN20014,PEN20009,PEN30003,PEN30012,PEN40001
0.2.1,1.25,1.0,2026,4,28,0,0,CT10014,PEN10001,PEN20012,PEN30015,PEN10003,PEN10006,PEN20010,PEN20006,PEN30002,PEN20005,PEN20006,PEN30007,PEN30011,PEN20016,PEN20016,PEN30001,PEN30005,PEN20003,PEN20003,PEN30016,PEN30014,PEN40001
0.2.1,1.26,1.0,2026,5,12,0,0,CT10011,PEN10006,PEN20005,PEN30004,PEN10002,PEN10003,PEN20014,PEN20007,PEN30012,PEN20016,PEN20015,PEN30011,PEN30015,PEN20007,PEN20008,PEN30008,PEN30003,PEN20009,PEN20009,PEN30016,PEN30014,PEN40001
0.2.1,1.27,1.2,2026,5,26,0,0,CT10011,PEN10003,PEN20016,PEN30016,PEN10007,PEN10008,PEN20006,PEN20016,PEN30005,PEN20011,PEN20010,PEN30007,PEN30016,PEN20001,PEN20005,PEN30012,PEN30011,PEN20012,PEN20005,PEN30011,PEN30010,PEN40001
0.2.1,1.28,1.2,2026,6,9,0,0,CT10014,PEN10007,PEN20008,PEN30005,PEN10002,PEN10003,PEN20014,PEN20015,PEN30006,PEN20003,PEN20012,PEN30014,PEN30002,PEN20008,PEN20004,PEN30012,PEN30009,PEN20016,PEN20008,PEN30008,PEN30001,PEN40001
0.2.1,1.29,1.1,2026,6,23,0,0,CT10014,PEN10008,PEN20014,PEN30010,PEN10007,PEN10008,PEN20006,PEN20013,PEN30010,PEN20012,PEN20002,PEN30013,PEN30005,PEN20001,PEN20001,PEN30010,PEN30015,PEN20012,PEN20008,PEN30008,PEN30016,PEN40001
0.2.1,1.30,1.1,2026,7,7,0,0,CT10013,PEN10007,PEN20012,PEN30003,PEN10005,PEN10005,PEN20016,PEN20010,PEN30003,PEN20009,PEN20004,PEN30007,PEN30016,PEN20003,PEN20001,PEN30003,PEN30007,PEN20007,PEN20010,PEN30007,PEN30010,PEN40001
0.2.1,1.31,1.1,2026,7,21,0,0,CT10003,PEN10006,PEN20003,PEN30003,PEN10005,PEN10008,PEN20008,PEN20003,PEN30010,PEN20001,PEN20005,PEN30011,PEN30004,PEN20005,PEN20003,PEN30015,PEN30006,PEN20010,PEN20005,PEN30001,PEN30005,PEN40001
0.2.1,1.32,1.1,2026,8,4,0,0,CT10001,PEN10007,PEN20004,PEN30009,PEN10008,PEN10004,PEN20007,PEN20006,PEN30014,PEN20003,PEN20002,PEN30011,PEN30007,PEN20006,PEN20005,PEN30014,PEN30003,PEN20016,PEN20007,PEN30012,PEN30007,PEN40001
0.2.1,1.33,1.0,2026,8,18,0,0,CT10011,PEN10001,PEN20011,PEN30012,PEN10003,PEN10007,PEN20010,PEN20010,PEN30010,PEN20006,PEN20010,PEN30004,PEN30016,PEN20014,PEN20002,PEN30015,PEN30006,PEN20012,PEN20013,PEN30009,PEN30014,PEN40001
0.2.1,1.34,1.2,2026,9,1,0,0,CT10008,PEN10003,PEN20009,PEN30013,PEN10003,PEN10002,PEN20004,PEN20012,PEN30015,PEN20004,PEN20011,PEN30016,PEN30009,PEN20008,PEN20006,PEN30005,PEN30001,PEN20003,PEN20016,PEN30008,PEN30015,PEN40001
0.2.1,1.35,1.1,2026,9,15,0,0,CT10011,PEN10004,PEN20002,PEN30016,PEN10003,PEN10004,PEN20004,PEN20007,PEN30003,PEN20014,PEN20004,PEN30008,PEN30015,PEN20016,PEN20013,PEN30003,PEN30010,PEN20008,PEN20006,PEN30005,PEN30010,PEN40001
0.2.1,1.36,1.1,2026,9,29,0,0,CT10007,PEN10003,PEN20001,PEN30001,PEN10003,PEN10005,PEN20004,PEN20011,PEN30001,PEN20009,PEN20012,PEN30012,PEN30014,PEN20008,PEN20004,PEN30015,PEN30012,PEN20006,PEN20013,PEN30011,PEN30014,PEN40001
0.2.1,1.37,1.0,2026,10,13,0,0,CT10010,PEN10002,PEN20003,PEN30001,PEN10002,PEN10007,PEN20006,PEN20007,PEN30014,PEN20007,PEN20005,PEN30015,PEN30007,PEN20012,PEN20013,PEN30014,PEN30014,PEN20011,PEN20004,PEN30010,PEN30014,PEN40001
0.2.1,1.38,1.1,2026,10,27,0,0,CT10007,PEN10003,PEN20004,PEN30012,PEN10005,PEN10003,PEN20004,PEN20012,PEN30006,PEN20006,PEN20004,PEN30010,PEN30014,PEN20008,PEN20003,PEN30002,PEN30001,PEN20013,PEN20010,PEN30001,PEN30005,PEN40001
0.2.1,1.39,1.2,2026,11,10,0,0,CT10005,PEN10006,PEN20015,PEN30009,PEN10006,PEN10008,PEN20012,PEN20012,PEN30011,PEN20006,PEN20007,PEN30008,PEN30005,PEN20010,PEN20002,PEN30005,PEN30016,PEN20015,PEN20001,PEN30008,PEN30014,PEN40001
0.2.1,1.40,1.1,2026,11,24,0,0,CT10015,PEN10003,PEN20002,PEN30013,PEN10004,PEN10006,PEN20001,PEN20005,PEN30002,PEN20005,PEN20015,PEN30011,PEN30012,PEN20001,PEN20007,PEN30003,PEN30013,PEN20012,PEN20009,PEN30011,PEN30016,PEN40001
0.2.1,1.41,1.2,2026,12,8,0,0,CT10004,PEN10002,PEN20013,PEN30002,PEN10004,PEN10002,PEN20012,PEN20003,PEN30001,PEN20014,PEN20016,PEN30005,PEN30007,PEN20001,PEN20007,PEN30002,PEN30014,PEN20009,PEN20007,PEN30010,PEN30006,PEN40001
0.2.1,1.42,1.2,2026,12,22,0,0,CT10008,PEN10001,PEN20003,PEN30014,PEN10006,PEN10002,PEN20010,PEN20003,PEN30011,PEN20014,PEN20016,PEN30006,PEN30010,PEN20006,PEN20006,PEN30007,PEN30011,PEN20009,PEN20008,PEN30005,PEN30012,PEN40001
0.2.1,1.43,1.1,2027,1,5,0,0,CT10010,PEN10002,PEN20008,PEN30007,PEN10008,PEN10007,PEN20011,PEN20013,PEN30005,PEN20002,PEN20005,PEN30006,PEN30003,PEN20001,PEN20007,PEN30016,PEN30016,PEN20015,PEN20014,PEN30008,PEN30009,PEN40001
0.2.1,1.44,1.2,2027,1,19,0,0,CT10002,PEN10004,PEN20009,PEN30002,PEN10003,PEN10005,PEN20011,PEN20002,PEN30001,PEN20014,PEN20016,PEN30011,PEN30005,PEN20009,PEN20011,PEN30015,PEN30008,PEN20004,PEN20015,PEN30008,PEN30003,PEN40001
0.2.1,1.45,1.2,2027,2,2,0,0,CT10012,PEN10004,PEN20005,PEN30012,PEN10003,PEN10001,PEN20013,PEN20004,PEN30011,PEN20011,PEN20015,PEN30006,PEN30013,PEN20015,PEN20010,PEN30011,PEN30013,PEN20016,PEN20001,PEN30003,PEN30007,PEN40001
0.2.1,1.46,1.2,2027,2,16,0,0,CT10009,PEN10006,PEN20009,PEN30010,PEN10006,PEN10004,PEN20012,PEN20010,PEN30002,PEN20008,PEN20015,PEN30011,PEN30003,PEN20016,PEN20012,PEN30012,PEN30002,PEN20002,PEN20001,PEN30001,PEN30003,PEN40001
0.2.1,1.47,1.1,2027,3,2,0,0,CT10004,PEN10008,PEN20014,PEN30009,PEN10002,PEN10005,PEN20002,PEN20001,PEN30006,PEN20003,PEN20005,PEN30016,PEN30005,PEN20002,PEN20002,PEN30002,PEN30008,PEN20009,PEN20002,PEN30001,PEN30007,PEN40001
0.2.1,1.48,1.2,2027,3,16,0,0,CT10001,PEN10006,PEN20016,PEN30014,PEN10006,PEN10006,PEN20006,PEN20003,PEN30010,PEN20005,PEN20011,PEN30007,PEN30016,PEN20016,PEN20012,PEN30012,PEN30012,PEN20006,PEN20002,PEN30010,PEN30008,PEN40001
0.2.1,1.49,1.0,2027,3,30,0,0,CT10002,PEN10007,PEN20007,PEN30004,PEN10008,PEN10001,PEN20011,PEN20006,PEN30005,PEN20001,PEN20013,PEN30006,PEN30012,PEN20010,PEN20003,PEN30002,PEN30004,PEN20014,PEN20001,PEN30009,PEN30014,PEN40001
0.2.1,1.50,1.0,2027,4,13,0,0,CT10013,PEN10003,PEN20009,PEN30005,PEN10005,PEN10002,PEN20001,PEN20008,PEN30015,PEN20012,PEN20008,PEN30010,PEN30007,PEN20013,PEN20011,PEN30016,PEN30005,PEN20012,PEN20001,PEN30013,PEN30012,PEN40001
0.2.1,1.51,1.0,2027,4,27,0,0,CT10002,PEN10003,PEN20007,PEN30001,PEN10002,PEN10004,PEN20004,PEN20008,PEN30010,PEN20011,PEN20016,PEN30012,PEN30008,PEN20003,PEN20012,PEN30015,PEN30002,PEN20015,PEN20005,PEN30005,PEN30016,PEN40001
0.2.1,1.52,1.2,2027,5,11,0,0,CT10007,PEN10005,PEN20007,PEN30012,PEN10002,PEN10001,PEN20010,PEN20003,PEN30013,PEN20014,PEN20014,PEN30001,PEN30001,PEN20008,PEN20014,PEN30003,PEN30007,PEN20009,PEN20003,PEN30011,PEN30009,PEN40001
0.2.1,1.53,1.2,2027,5,25,0,0,CT10006,PEN10003,PEN20005,PEN30012,PEN10007,PEN10008,PEN20007,PEN20014,PEN30009,PEN20005,PEN20010,PEN30011,PEN30002,PEN20012,PEN20002,PEN30016,PEN30002,PEN20013,PEN20002,PEN30014,PEN30014,PEN40001
0.2.1,1.54,1.2,2027,6,8,0,0,CT10003,PEN10002,PEN20003,PEN30014,PEN10004,PEN10002,PEN20016,PEN20006,PEN30001,PEN20004,PEN20003,PEN30013,PEN30007,PEN20016,PEN20007,PEN30009,PEN30015,PEN20011,PEN20011,PEN30006,PEN30014,PEN40001
0.2.1,1.55,1.0,2027,6,22,0,0,CT10005,PEN10002,PEN20012,PEN30007,PEN10006,PEN10006,PEN20011,PEN20003,PEN30014,PEN20001,PEN20008,PEN30003,PEN30015,PEN20001,PEN20010,PEN30006,PEN30011,PEN20009,PEN20010,PEN30016,PEN30008,PEN40001
0.2.1,1.56,1.1,2027,7,6,0,0,CT10008,PEN10001,PEN20011,PEN30010,PEN10004,PEN10005,PEN20001,PEN20007,PEN30006,PEN20014,PEN20003,PEN30016,PEN30016,PEN20005,PEN20007,PEN30009,PEN30007,PEN20002,PEN20008,PEN30014,PEN30007,PEN40001
0.2.1,1.57,1.1,2027,7,20,0,0,CT10009,PEN10001,PEN20003,PEN30005,PEN10001,PEN10008,PEN20015,PEN20003,PEN30014,PEN20009,PEN20006,PEN30006,PEN30007,PEN20007,PEN20003,PEN30005,PEN30004,PEN20004,PEN20003,PEN30003,PEN30015,PEN40001
0.2.1,1.58,1.0,2027,8,3,0,0,CT10004,PEN10001,PEN20008,PEN30004,PEN10002,PEN10008,PEN20004,PEN20016,PEN30005,PEN20014,PEN20008,PEN30002,PEN30007,PEN20007,PEN20012,PEN30009,PEN30013,PEN20013,PEN20005,PEN30011,PEN30003,PEN40001
0.2.1,1.59,1.0,2027,8,17,0,0,CT10001,PEN10007,PEN20011,PEN30005,PEN10002,PEN10004,PEN20001,PEN20002,PEN30015,PEN20014,PEN20004,PEN30002,PEN30006,PEN20006,PEN20008,PEN30013,PEN30005,PEN20002,PEN20001,PEN30006,PEN30002,PEN40001
0.2.1,1.60,1.2,2027,8,31,0,0,CT10005,PEN10001,PEN20007,PEN30006,PEN10005,PEN10007,PEN20006,PEN20006,PEN30015,PEN20006,PEN20014,PEN30014,PEN30010,PEN20002,PEN20003,PEN30002,PEN30006,PEN20002,PEN20015,PEN30006,PEN30006,PEN40001
0.2.1,1.61,1.0,2027,9,14,0,0,CT10013,PEN10008,PEN20005,PEN30013,PEN10006,PEN10006,PEN20004,PEN20015,PEN30013,PEN20006,PEN20004,PEN30010,PEN30011,PEN20012,PEN20005,PEN30005,PEN30011,PEN20005,PEN20006,PEN30010,PEN30016,PEN40001
0.2.1,1.62,1.1,2027,9,28,0,0,CT10011,PEN10007,PEN20007,PEN30006,PEN10001,PEN10008,PEN20009,PEN20005,PEN30013,PEN20005,PEN20005,PEN30015,PEN30009,PEN20013,PEN20008,PEN30004,PEN30007,PEN20006,PEN20001,PEN30016,PEN30008,PEN40001
0.2.1,1.63,1.1,2027,10,12,0,0,CT10007,PEN10005,PEN20014,PEN30005,PEN10008,PEN10008,PEN20002,PEN20009,PEN30014,PEN20003,PEN20011,PEN30003,PEN30009,PEN20001,PEN20002,PEN30007,PEN30001,PEN20013,PEN20007,PEN30002,PEN30005,PEN40001
0.2.1,1.64,1.2,2027,10,26,0,0,CT10006,PEN10006,PEN20007,PEN30004,PEN10005,PEN10002,PEN20008,PEN20015,PEN30005,PEN20010,PEN20015,PEN30012,PEN30002,PEN20004,PEN20002,PEN30002,PEN30005,PEN20002,PEN20004,PEN30005,PEN30005,PEN40001
0.2.1,1.65,1.0,2027,11,9,0,0,CT10004,PEN10001,PEN20010,PEN30008,PEN10003,PEN10001,PEN20003,PEN20006,PEN30013,PEN20007,PEN20013,PEN30015,PEN30005,PEN20010,PEN20012,PEN30003,PEN30013,PEN20002,PEN20002,PEN30003,PEN30003,PEN40001
0.2.1,1.66,1.0,2027,11,23,0,0,CT10013,PEN10004,PEN20011,PEN30004,PEN10008,PEN10008,PEN20004,PEN20001,PEN30006,PEN20012,PEN20013,PEN30015,PEN30012,PEN20007,PEN20005,PEN30003,PEN30007,PEN20002,PEN20005,PEN30004,PEN30003,PEN40001
0.2.1,1.67,1.1,2027,12,7,0,0,CT10006,PEN10003,PEN20002,PEN30007,PEN10001,PEN10006,PEN20010,PEN20015,PEN30001,PEN20002,PEN20015,PEN30005,PEN30001,PEN20002,PEN20013,PEN30009,PEN30015,PEN20007,PEN20006,PEN30016,PEN30013,PEN40001
0.2.1,1.68,1.2,2027,12,21,0,0,CT10010,PEN10001,PEN20001,PEN30005,PEN10003,PEN10008,PEN20016,PEN20006,PEN30008,PEN20014,PEN20016,PEN30004,PEN30016,PEN20004,PEN20009,PEN30004,PEN30011,PEN20010,PEN20012,PEN30012,PEN30004,PEN40001
0.2.1,1.69,1.2,2028,1,4,0,0,CT10016,PEN10004,PEN20002,PEN30012,PEN10005,PEN10001,PEN20011,PEN20003,PEN30009,PEN20005,PEN20009,PEN30007,PEN30008,PEN20004,PEN20012,PEN30016,PEN30012,PEN20016,PEN20011,PEN30003,PEN30016,PEN40001
0.2.1,1.70,1.1,2028,1,18,0,0,CT10013,PEN10002,PEN20001,PEN30009,PEN10001,PEN10002,PEN20007,PEN20014,PEN30011,PEN20008,PEN20004,PEN30003,PEN30005,PEN20001,PEN20005,PEN30005,PEN30013,PEN20007,PEN20004,PEN30005,PEN30009,PEN40001
0.2.1,1.71,1.2,2028,2,1,0,0,CT10001,PEN10001,PEN20001,PEN30015,PEN10008,PEN10002,PEN20010,PEN20008,PEN30001,PEN20005,PEN20006,PEN30015,PEN30001,PEN20013,PEN20002,PEN30016,PEN30016,PEN20011,PEN20012,PEN30004,PEN30015,PEN40001
0.2.1,1.72,1.0,2028,2,15,0,0,CT10010,PEN10003,PEN20015,PEN30002,PEN10006,PEN10007,PEN20010,PEN20004,PEN30005,PEN20004,PEN20014,PEN30013,PEN30016,PEN20002,PEN20005,PEN30006,PEN30006,PEN20008,PEN20011,PEN30011,PEN30015,PEN40001
0.2.1,1.73,1.0,2028,2,29,0,0,CT10011,PEN10008,PEN20004,PEN30010,PEN10004,PEN10003,PEN20012,PEN20008,PEN30013,PEN20009,PEN20002,PEN30009,PEN30001,PEN20015,PEN20014,PEN30009,PEN30010,PEN20007,PEN20011,PEN30003,PEN30005,PEN40001
0.2.1,1.74,1.1,2028,3,14,0,0,CT10005,PEN10002,PEN20009,PEN30003,PEN10001,PEN10004,PEN20012,PEN20011,PEN30010,PEN20015,PEN20016,PEN30012,PEN30006,PEN20001,PEN20004,PEN30003,PEN30010,PEN20006,PEN20012,PEN30006,PEN30008,PEN40001
0.2.1,1.75,1.2,2028,3,28,0,0,CT10003,PEN10004,PEN20002,PEN30002,PEN10006,PEN10008,PEN20009,PEN20011,PEN30016,PEN20015,PEN20007,PEN30016,PEN30005,PEN20008,PEN20001,PEN30014,PEN30012,PEN20004,PEN20016,PEN30001,PEN30015,PEN40001
0.2.1,1.76,1.0,2028,4,11,0,0,CT10009,PEN10002,PEN20012,PEN30014,PEN10004,PEN10003,PEN20006,PEN20008,PEN30013,PEN20008,PEN20007,PEN30011,PEN30006,PEN20013,PEN20003,PEN30014,PEN30007,PEN20008,PEN20006,PEN30010,PEN30006,PEN40001
0.2.1,1.77,1.0,2028,4,25,0,0,CT10008,PEN10003,PEN20006,PEN30001,PEN10006,PEN10008,PEN20003,PEN20005,PEN30016,PEN20009,PEN20009,PEN30015,PEN30014,PEN20009,PEN20007,PEN30001,PEN30002,PEN20012,PEN20002,PEN30001,PEN30010,PEN40001
0.2.1,1.78,1.2,2028,5,9,0,0,CT10015,PEN10008,PEN20003,PEN30014,PEN10004,PEN10001,PEN20014,PEN20011,PEN30010,PEN20005,PEN20016,PEN30006,PEN30004,PEN20012,PEN20015,PEN30004,PEN30002,PEN20011,PEN20015,PEN30009,PEN30006,PEN40001
0.2.1,1.79,1.1,2028,5,23,0,0,CT10012,PEN10003,PEN20001,PEN30003,PEN10002,PEN10007,PEN20006,PEN20012,PEN30005,PEN20005,PEN20016,PEN30009,PEN30005,PEN20007,PEN20012,PEN30013,PEN30009,PEN20010,PEN20011,PEN30011,PEN30011,PEN40001
0.2.1,1.80,1.2,2028,6,6,0,0,CT10006,PEN10006,PEN20013,PEN30013,PEN10004,PEN10008,PEN20009,PEN20003,PEN30015,PEN20014,PEN20005,PEN30010,PEN30008,PEN20009,PEN20001,PEN30005,PEN30016,PEN20009,PEN20008,PEN30016,PEN30001,PEN40001
0.2.1,1.81,1.2,2028,6,20,0,0,CT10009,PEN10001,PEN20004,PEN30013,PEN10007,PEN10008,PEN20009,PEN20016,PEN30014,PEN20003,PEN20003,PEN30008,PEN30002,PEN20005,PEN20013,PEN30014,PEN30009,PEN20013,PEN20010,PEN30002,PEN30009,PEN40001
0.2.1,1.82,1.0,2028,7,4,0,0,CT10002,PEN10007,PEN20001,PEN30004,PEN10004,PEN10001,PEN20006,PEN20013,PEN30013,PEN20003,PEN20014,PEN30012,PEN30016,PEN20012,PEN20013,PEN30004,PEN30001,PEN20006,PEN20016,PEN30004,PEN30011,PEN40001
0.2.1,1.83,1.2,2028,7,18,0,0,CT10007,PEN10007,PEN20003,PEN30001,PEN10007,PEN10005,PEN20003,PEN20007,PEN30003,PEN20006,PEN20011,PEN30001,PEN30010,PEN20009,PEN20012,PEN30011,PEN30015,PEN20012,PEN20012,PEN30004,PEN30006,PEN40001
0.2.1,1.84,1.1,2028,8,1,0,0,CT10002,PEN10001,PEN20009,PEN30003,PEN10001,PEN10007,PEN20005,PEN20013,PEN30004,PEN20009,PEN20013,PEN30009,PEN30011,PEN20002,PEN20005,PEN30006,PEN30009,PEN20014,PEN20004,PEN30004,PEN30005,PEN40001
0.2.1,1.85,1.2,2028,8,15,0,0,CT10016,PEN10004,PEN20005,PEN30006,PEN10006,PEN10003,PEN20009,PEN20012,PEN30015,PEN20013,PEN20001,PEN30001,PEN30013,PEN20014,PEN20012,PEN30001,PEN30014,PEN20005,PEN20002,PEN30005,PEN30013,PEN40001
0.2.1,1.86,1.2,2028,8,29,0,0,CT10004,PEN10004,PEN20005,PEN30006,PEN10001,PEN10008,PEN20001,PEN20005,PEN30005,PEN20008,PEN20009,PEN30003,PEN30004,PEN20004,PEN20015,PEN30016,PEN30007,PEN20003,PEN20015,PEN30011,PEN30008,PEN40001
0.2.1,1.87,1.2,2028,9,12,0,0,CT10014,PEN10007,PEN20008,PEN30001,PEN10007,PEN10005,PEN20002,PEN20014,PEN30006,PEN20013,PEN20009,PEN30012,PEN30003,PEN20011,PEN20013,PEN30003,PEN30010,PEN20011,PEN20010,PEN30004,PEN30016,PEN40001
0.2.1,1.88,1.2,2028,9,26,0,0,CT10014,PEN10006,PEN20010,PEN30001,PEN10007,PEN10005,PEN20007,PEN20006,PEN30012,PEN20014,PEN20012,PEN30007,PEN30005,PEN20002,PEN20011,PEN30013,PEN30003,PEN20010,PEN20007,PEN30005,PEN30013,PEN40001
