CategoryLocalKey,Style,RuleDesc
TeamLevel,MainText,IngameRules_TeamLevel_001
TeamLevel,SubTitle,TeamLevel
TeamLevel,DescText,IngameRules_TeamLevel_002
TeamLevel,SubTitle,Exp
TeamLevel,DescText,IngameRules_TeamLevel_003
TeamLevel,SubTitle,UserAct_BuyEXP
TeamLevel,DescText,IngameRules_TeamLevel_004
TeamLevel,SubTitle,LevelUpTiming
TeamLevel,DescText,IngameRules_TeamLevel_005
Shop,MainText,IngameRules_Shop_001
Shop,SubTitle,Shop
Shop,DescText,IngameRules_Shop_002
Shop,SubTitle,Buy
Shop,DescText,IngameRules_Shop_003
Shop,SubTitle,UserAct_SellChar
Shop,DescText,IngameRules_Shop_004
UserAct_Reroll,MainText,IngameRules_Reroll_001
UserAct_Reroll,SubTitle,UserAct_Reroll
UserAct_Reroll,DescText,IngameRules_Reroll_002
UserAct_Reroll,SubTitle,IngameRules_Reroll_003
UserAct_Reroll,DescText,IngameRules_Reroll_004
Shop_Character,MainText,IngameRules_CharShop_001
Shop_Character,SubTitle,Shop_Character
Shop_Character,DescText,IngameRules_CharShop_002
Shop_Character,SubTitle,Upgrade
Shop_Character,DescText,IngameRules_CharShop_003
Shop_Character,SubTitle,Cost
Shop_Character,DescText,IngameRules_CharShop_004
Shop_Character,SubTitle,Character_Amount
Shop_Character,DescText,IngameRules_CharShop_005
Shop_Character,SubTitle,Lock
Shop_Character,DescText,IngameRules_CharShop_006
Shop_Item,MainText,IngameRules_ItemShop_001
Shop_Item,SubTitle,IngameRules_ItemShop_002
Shop_Item,DescText,IngameRules_ItemShop_003
Shop_Item,SubTitle,IngameRules_ItemShop_004
Shop_Item,DescText,IngameRules_ItemShop_005
Shop_RuneCard,MainText,IngameRules_RuneCardShop_001
Shop_RuneCard,SubTitle,Shop_RuneCard
Shop_RuneCard,DescText,IngameRules_RuneCardShop_002
Shop_RuneCard,SubTitle,RuneCard_Rarity
Shop_RuneCard,DescText,IngameRules_RuneCardShop_003
Battle,MainText,IngameRules_Battle_001
Battle,SubTitle,PhaseType_Battle
Battle,DescText,IngameRules_Battle_002
Battle,SubTitle,PhaseType_Clean
Battle,DescText,IngameRules_Battle_003
Battle,SubTitle,IngameRules_Battle_004
Battle,DescText,IngameRules_Battle_005
Battle,SubTitle,Overtime
Battle,DescText,IngameRules_Battle_006
StatusEffect,MainText,IngameRules_StatusEffect_001
StatusEffect,SubTitle,StatusEffect
StatusEffect,DescText,IngameRules_StatusEffect_002
StatusEffect,SubTitle,Buff
StatusEffect,DescText,IngameRules_StatusEffect_003
StatusEffect,SubTitle,DeBuff
StatusEffect,DescText,IngameRules_StatusEffect_004
StatusEffect,SubTitle,Control
StatusEffect,DescText,IngameRules_StatusEffect_005
StatusEffect,SubTitle,StatusEffect_Name_SE0001
StatusEffect,DescText,IngameRules_StatusEffect_006
StatusEffect,SubTitle,StatusEffect_Name_SE0002
StatusEffect,DescText,IngameRules_StatusEffect_007
StatusEffect,SubTitle,StatusEffect_Name_SE0016
StatusEffect,DescText,IngameRules_StatusEffect_008
StatusEffect,SubTitle,StatusEffect_Name_SE0003
StatusEffect,DescText,IngameRules_StatusEffect_009
StatusEffect,SubTitle,StatusEffect_Name_SE0004
StatusEffect,DescText,IngameRules_StatusEffect_010
StatusEffect,SubTitle,StatusEffect_Name_SE0005
StatusEffect,DescText,IngameRules_StatusEffect_011
StatusEffect,SubTitle,StatusEffect_Name_SE0006
StatusEffect,DescText,IngameRules_StatusEffect_012
StatusEffect,SubTitle,StatusEffect_Name_SE0007
StatusEffect,DescText,IngameRules_StatusEffect_013
StatusEffect,SubTitle,StatusEffect_Name_SE0008
StatusEffect,DescText,IngameRules_StatusEffect_014
StatusEffect,SubTitle,StatusEffect_Name_SE0009
StatusEffect,DescText,IngameRules_StatusEffect_015
StatusEffect,SubTitle,StatusEffect_Name_SE0010
StatusEffect,DescText,IngameRules_StatusEffect_016
StatusEffect,SubTitle,StatusEffect_Name_SE0013
StatusEffect,DescText,IngameRules_StatusEffect_017
StatusEffect,SubTitle,StatusEffect_Name_SE0014
StatusEffect,DescText,IngameRules_StatusEffect_018
StatusEffect,SubTitle,StatusEffect_Name_SE0015
StatusEffect,DescText,IngameRules_StatusEffect_019
StatusEffect,SubTitle,StatusEffect_Name_SE0017
StatusEffect,DescText,StatusEffect_Desc_SE0017
StatusEffect,SubTitle,StatusEffect_Name_SE0018
StatusEffect,DescText,IngameRules_StatusEffect_021
ItemGuide_42,MainText,IngameRules_Shield_001
ItemGuide_42,SubTitle,ItemGuide_42
ItemGuide_42,DescText,IngameRules_Shield_002
ItemGuide_42,SubTitle,IngameRules_Shield_003
ItemGuide_42,DescText,IngameRules_Shield_004
Coach,MainText,IngameRules_Coach_001
Coach,SubTitle,Coach
Coach,DescText,IngameRules_Coach_002
Coach,SubTitle,Cost
Coach,DescText,IngameRules_Coach_003
Coach,SubTitle,Coach_Minus
Coach,DescText,IngameRules_Coach_004
Dictionary,MainText,IngameRules_Dictionary_001
Dictionary,SubTitle,Dictionary
Dictionary,DescText,IngameRules_Dictionary_002
Dictionary,SubTitle,Favorites
Dictionary,DescText,IngameRules_Dictionary_003
Statistics,MainText,IngameRules_Statistics_001
Statistics,SubTitle,Statistics
Statistics,DescText,IngameRules_Statistics_002
Statistics,SubTitle,BattleStatUI_001
Statistics,DescText,IngameRules_Statistics_003
Statistics,SubTitle,BattleStatUI_002
Statistics,DescText,IngameRules_Statistics_004
TeamPowerBoost,MainText,IngameRules_TeamPowerBoost_001
TeamPowerBoost,SubTitle,IngameRules_TeamPowerBoost_002
TeamPowerBoost,DescText,IngameRules_TeamPowerBoost_003
TeamPowerBoost,SubTitle,IngameRules_TeamPowerBoost_004
TeamPowerBoost,DescText,IngameRules_TeamPowerBoost_005
TeamPowerBoost,SubTitle,IngameRules_TeamPowerBoost_006
TeamPowerBoost,DescText,IngameRules_TeamPowerBoost_007
TeamPowerBoost,SubTitle,IngameRules_TeamPowerBoost_008
TeamPowerBoost,DescText,IngameRules_TeamPowerBoost_009
TeamPowerBoost,SubTitle,IngameRules_TeamPowerBoost_010
TeamPowerBoost,DescText,IngameRules_TeamPowerBoost_011
TeamPowerBoost,SubTitle,IngameRules_TeamPowerBoost_012
TeamPowerBoost,DescText,IngameRules_TeamPowerBoost_013
