id,name,description,subInfo,category,questType,requiredLevel,objectiveType,objectiveId,objectiveNum,rewardType,rewardId,rewardNum,dialogId,stageGuide,npcDialogueId
12,점액질 범벅이 된 숲,"소울칼리버 조각을 먹은 걸로 의심되는 강한 몬스터가 없는지 정보가 필요했다. 경비병에게 주변에서 엄청나게 강한 몬스터를 본 적 없는지 물었더니, 큰 보라색 슬라임을 봤다고 한다. 소울을 잔뜩 데리고 있는 게 분명해. 경비병은 내가 위험해질까 봐 얌전히 마을에 있으라고 했지만, 어림도 없지! 캡틴도 있으니 슬라임 정도야 어떻게든 잡을 수 있을 거고 경비대가 소울들을 발견하게 둘 수 없어. 경비병이 알려준 슬라임을 빨리 잡으러 가보자.",소울 과다섭취 몬스터,main,objective,1,killBoss,Boss_slime,1,soulPiece/item/diamond,151001/3_100003/0,1/1/300,quest_12_completed,10005,
13,또 다른 소울,"경비병이 알려줬던 슬라임은 생각보다 무시무시한 몬스터였다. 소울을 얼마나 흡수한 건지 소울 에그를 우수수 떨어뜨리는 모습에 경악을 금치 못했다. 으~! 그런데 소울 에그 말고도 소울 피스를 하나 떨어뜨렸는데, 아쉽게도 캡틴의 소울 피스는 아닌 것 같다. 이렇게 파편화된 소울은 소울 에그로 다시 태어나지도 못하고 조각난 상태 그대로 남는가 본데, 좀 안타깝네... 그나저나 캡틴처럼 덩치 큰 소울이 더 있었구나. 대화해보고 도와주기 위해선 내가 이 소울 피스를 흡수하는 수밖에 없겠어. 이 소울도 이제 내 머릿속으로 넣고... 살펴봐야겠다.",머릿속에 소울이 하나 더,main,objective,1,openUI,soul_151001,1,meso,0,400,quest_13_completed,,ui_soul_2
14,자양강장제 재료 조달,"흡수한 소울의 이름은 섀도어! 단검의 소울이라고 한다. 섀도어는 말수가 아주 적은 것 같은데도 머릿속에 2명이 있으니 정신이 없어. 섀도어와도 캡틴처럼 서로 도와주기로 했는데, 내가 강해지게 돕는 건 한 번에 한 소울이면 충분할 것 같다! 아무래도 내 몸은 하나니까...? 그런데 내가 섀도어, 캡틴과 대화를 하는 걸 보고 혼잣말을 하는 이상한 사람으로 오해했는지 웬 할아버지가 혀를 찼어. 모험가의 정보를 갱신하는 사람인 것 같은데, 내가 멀쩡한 모험가가 아닌 것 같다며 정보를 삭제하려고 한다...! 잘 싸울 수 있다는 걸 증명하기 위해서 자양강장제 재료인 푸른 샘의 물을 지키고 있는 정령들을 잡아보라는데, 뭔가 이용당하는 기분이...",제 정보 지우지 마세요...,main,objective,1,killMonster,Blue Spring Sprite,200,meso/item/diamond,0/6_000002/0,500/3/150,quest_14_completed,10008_10009_10010,
15,집채만 한 독거미,내가 멀쩡하고 강한 모험가라는 걸 증명했어! 다행히도 모험가 정보록에서 이름이 지워지는 일은 없었다. 모험가정보관 할아버지가 내 힘을 인정하면서 숲의 가장 깊은 곳에 집채만 한 독거미가 있으니 신규 모험가들이 혹시나 마주치지 않게 잡아달라고 부탁한다. 거미가 그렇게 크다고...? 진짜 징그럽겠다... 그 정도 크기라면 소울칼리버 조각을 많이 먹은 게 틀림없어. 얼른 물리치고 오자!,새싹 모험가 보호를 위해,main,objective,1,killBoss,Boss_Giant Spider,1,item/item/weaponScroll/diamond,3_000002/3_100003/0/0,1/1/20/300,quest_15_completed,10010,
16,사막에서 조각 찾기,"소울을 많이 흡수하면 독거미도 이렇게까지 무시무시할 수 있구나. 내가 해치웠으니 신규 모험가들이 마주치는 일은 없을 거야. 역시나 이 몬스터도 소울 에그를 많이 떨어뜨리긴 했는데, 아직 한참 모자라다. 소울칼리버에 있던 소울의 수는 지금까지 내가 모은 소울의 수보다 훨씬 많아. 숲에 있는 소울은 이 정도면 거의 다 모은 것 같은데... 소울칼리버 조각이 숲 밖으로까지 퍼진 게 틀림 없어! 숲에서 멀리 벗어나면 사막이라 고되겠지만, 그래도 흩어진 소울들을 구할 수 있다면 가봐야지! 출발~!",소울칼리버 조각이 어디까지!?,main,objective,1,stageClear,20001,1,weaponScroll/diamond,0/0,40/150,quest_16_completed,20001,
17,보물찾기,"던전에 들어가면 힘이 빠지는 게 그 숲이 이상해서 그런 줄 알았는데 사막에 와도 여전해! 섀도어에게 듣기론, 몬스터에게 흡수된 소울은 모험가를 약하게 하는 저주에 억지로 가담하게 된다고 한다. 힘이 약해지는 증상의 원인도 알아냈고 이 증상이 있으면 근처에 소울이 존재한다는 힌트도 알게 됐어. 소울들이 고통받지 않게 하루 빨리 몬스터에게서 구해야겠다고 마음먹었지...만! 사막은 예상보다도 훨씬 뜨겁고 모래에 발도 빠져서 걷기도 힘드네, 휴. 그래서 만약 나에게 숨길 보물이 있다면 이런 사막에 묻어 둘 것 같다고 농담했는데, 웬 갑옷 입은 아저씨가 맞장구를 쳤다. 들으라고 한 얘기는 아닌데... 우선 뭐하는 사람인지 대화해보자.",탐색대장의 노고,main,objective,1,npc,patrol,1,meso,0,600,,,patrol_1
18,탐색 지역 확보,갑자기 말을 건네 온 사람은 탐색대장 파트로스였다. 탐색대는 마을 밖에서 자원이 될 만한 것을 찾아와 모험가를 지원한다고 한다. 탐색대가 안전하게 자원을 가져올 수 있게 도와주면 자원 일부를 나눠준다고 하는데... 거절할 이유가 없지! 어떻게 도우면 될지 한번 들어보자.,마을의 탄탄한 재정을 위해!,main,objective,1,openUI,gathering,1,meso/item,0/3_100004,700/1,quest_18_completed,,ui_gathering
19,지역 소탕,"탐색대가 활동할 수 있는 안전한 지역을 확보하는 데에 시간을 투자하면 그만큼 자원을 나눠 준다고 한다! 나야 어차피 던전을 모험해야 하니, 종종 파트로스에게 현황을 보고하는 귀찮음만 감수하면 자원이 굴러 들어오겠어. 그런데 갑자기 나를 탐색대원 취급하네...? 탐색에 대해 알려줬으니 탐색대원으로서 첫 임무라며 사막의 안전 구역을 만들어 오라고 한다. 어이가 없지만 돈을 벌 수 있으니 그냥 넘어가고 시킨 일이나 하고 오자.",사막에 안전 지역 만들기,main,objective,1,stageClear/killMonster,20003/Gale Fox,2/300,weaponScroll/diamond,0/0,50/150,quest_19_completed,20003/20003,
20,펫 홀릭,탐색대의 안전을 위해 꼼꼼하게 확인하려다 보니 같은 곳을 여러 번 둘러보게 되었다. 자원을 나눠 준다고 하니 열심히 하긴 했지만 너무 지루해... 이 지루함을 해결하기 위해서 모험을 펫과 함께 해보라고?! 솔깃하다...!,귀여운 게 최고야,main,objective,1,npc,pet,1,pet,2_005,1,,,pet_1
21,펫과 함께 모험을,"펫을 입양해주는 펫 상인 유타에게 펫의 장점을 들었어! 버프나 디버프를 걸 수도 있고 던전에서의 귀찮은 잡일도 대신 해주기도 한다는데, 펫과 같이 하지 않을 이유는 없어!! 어떻게 펫과 함께 모험할 수 있는지 자세한 설명을 해준다고 하니 집중해서 들어야겠어.",반복되는 모험에 환기를,main,objective,1,openUI,myInfo_pet,1,meso/item,0/6_000003,800/1,quest_21_completed,,ui_pet
22,포악해진 펫,"펫을 선물해 준 유타가 부탁한다면 무시할 수 없지. 얼마 전 말썽꾸러기 강아지 한 마리와 산책하다가 마을 밖에서 잃어버렸다고 한다. 그리고 며칠 만에 극적으로 다시 만났더니, 흉포한 모습으로 변해있었다고 한다. 모험가를 돕는 역할인 펫이 오히려 모험가를 죽이게 생겼으니 큰일이다. 내가 가서 한번 제압해보자.",귀여운 강아지...였던 것,main,objective,1,killBoss,Boss_Elite Bloodfang,1,item/item/diamond,3_000002/3_100005/0,2/1/150,quest_22_completed,20005,
23,스릴을 즐기는 편,강아지가 어떻게 이리 흉포해질 수 있나 했더니 소울칼리버 조각을 뭣 모르고 많이 먹었나 보다. 길을 잃고 당황해서 안 그래도 사나워진 상태에서 소울들을 흡수하고 그렇게 변해버린 것 같아. 너무 불쌍해... 그런데 그 강아지 꽤 강했는데 캡틴과 섀도어의 소울 피스를 가지고 있진 않았어. 캡틴은 본인의 소울 피스를 먹은 거면 훨씬 강했을 거라며 자신감을 보인다. 약간 재수 없긴 하지만 혹시 캡틴 말이 사실이라면 더 강한 몬스터를 찾아야 해. 이런 걸 잘 알 것 같은 아저씨가 있지! 다이달 아저씨에게 물어보자.,주변인 속 썩이기 전문가,main,objective,1,npc,limitLand,1,meso,0,1000,,,limitLand_1
24,한계의 땅,"오랜만에 만난 다이달 아저씨에게 강한 몬스터가 많은 곳을 아시는지 여쭤봤다. 단번에 그런 곳을 알고 있다며 소개해줬어. 역시 다이달 아저씨! 모험가를 한계까지 밀어붙인다고 해서 '한계의 땅'이라고 이름 붙였다는데, 어떤 곳일지 너무 궁금해! 다이달 아저씨에게 마저 설명을 듣자.",나의 한계는 어디까지?!,main,objective,1,openUI,limitLand,1,meso/diamond,0/0,1500/150,quest_24_completed,,ui_limitLand
25,무더위 견디기,"한계의 땅에서 누가 누가 잘 버티는지 경쟁하는 게 모험가들 사이에서 유행이라고 한다. 순위에 따라 상품도 있으니 재미로 도전해봐도 괜찮을 것 같아! 물론 쓰러진 사람을 다이달 아저씨가 일일이 데려오느라 하루에 입장 횟수 제한이 있어서 아쉽긴 하네...! 사실 한계의 땅은 다이달 아저씨가 직접 만든 땅이라는 사실을 듣고 조금 오해를 할 뻔했어. 혹시나 소울들을 이용해서 만든 땅인가 싶었는데, 어림도 없었다! 한계의 땅이 만들어진 지 5년 정도 됐다고 하니... 그냥 내가 모험에 빠져서 아저씨의 역마살이 풀린 걸 몰랐네. 허탕을 쳤으니 사막이나 마저 둘러봐야겠어. 많이 더울 테니... 부채를 꼭 챙기자.",바람 한 점의 소중함,main,objective,1,equipWeapon,fan,1,meso/diamond,0/0,2000/150,quest_25_completed,,
26,수집벽,"소울이 든 무기를 고작 부채로 사용하고 있는 건 미안하지만, 너무 더워서 어쩔 수 없어! 근데 웬 녀석이 이 부채가 평범하지 않다는 걸 어떻게 알아챘는지 다가온다. 부채랑 내 다른 무기들을 노리며 거래를 하자는데, 소울이 든 무기들을 넘길 생각은 없지만 심심하니까 무슨 얘기를 하는지 들어나 볼까?",도감을 채워야 마음이 편해,main,objective,1,npc,collector,1,item/item,3_000002/6_000002,1/5,,,collector_1
27,센밀의 장비 컬렉션,뭐하는 녀석인가 했더니 장비를 모아서 도감을 완성하려고 하는 녀석이었다. 장비를 주면 그만큼 능력치를 올려주는 주문을 걸어준다고 한다. 방어구야 상관없지만 내가 가진 무기들은 소울이 들어있어서 넘기기 좀 그렇단 말이지. 하지만 내가 사용할 수 있는 무기의 수에도 한계가 있어서 갈수록 방치되는 무기도 늘어나긴 할 거야. 그러니까 무기를 가만히 묵혀두는 게 아니라 매일 사용해준다는 조건으로 센밀에게 넘겨주고 능력치를 올려볼까? 센밀이 장비 도감에 대해 더 자세히 설명해 준다고 하니 들어보자.,제 장비 잘 돌봐 주세요...,main,objective,1,openUI,collection,1,essence,0,40,quest_27_completed,,ui_collection
28,무기 부자,"센밀에게 장비를 가져가서 도감을 채우면 컬렉션이 완성될 때마다 능력치를 올릴 수 있다. 무기들을 꾸준히 사용해주는 조건으로 거래하였으니, 우선은 잘 따라주리라 믿자. 센밀이 거래 성립 기념으로 몬스터에 대한 정보를 줬다. 사막 끝자락에서 많은 수의 칼을 들고 있고 심지어 잘 다루기까지 하는 몬스터를 보았다고 한다. 왠지 이번에야말로 소울 피스가 있을 것 같은 예감이 들어.",저 많은 칼을 어디서 난 걸까?,main,objective,1,killBoss,Boss_Sandblade Marauder,1,soulPiece/item/diamond,141003/3_100006/0,1/1/300,quest_28_completed,20010,
29,해적선으로!,"몬스터가 많은 칼을 잘 다루는 게 신기하다 싶더라니 역시나! 데몬 소드의 소울, 데몬어벤져를 흡수하고 있었다. 데몬어벤져는 아주 거만한 성격의 소울이지만, 본인의 소울 피스를 찾게 도와주겠다고 하니 도움되는 정보를 잘 알려주었어. 모래 칼날 약탈자는 해적 본거지에서 데몬어벤져를 삼키고 강해졌으며, 강해지자 약탈지를 넓히겠다며 사막까지 넘어온 것이라고 한다. 칼을 더 많이 갖고 싶었던 걸까? 아무튼 소울칼리버 조각이 해적들에게까지 퍼진 것 같으니 해적들을 소탕해버리자!",소울들이 해적의 손에...?!,main,objective,1,stageClear,30001,1,item/item/diamond,3_000002/3_000003/0,5/1/150,quest_29_completed,30001,
30,해적이 없는 해적선,해적선에 정작 해적은 없고 바다 생물들만 돌아다니고 있었다. 소울칼리버 조각이 바람을 타고 하필 해적선에 떨어져서 이 바다 몬스터들이 흡수했을 가능성은 아주 낮아. 소울을 흡수하면 강해진다는 걸 눈치챈 해적들이 옮긴 것 아닐까? 해적들이 어느 해적선에 숨어있나 다 찾아보고 소울들을 회수해야 해!,어디 어디 숨었나,main,objective,1,stageClear,30002,1,weaponScroll/diamond,0/0,150/150,quest_30_completed,30002,
31,몸보신엔 역시 거북탕,"비린내가 온 몸에 밴 것 같은 기분이었는데, 기분만이 아니었나 보다. 모험가정보관 할아버지가 나에게서 바다 냄새를 맡았다. 30년 전에 마지막으로 바다에 갔을 때 거북이로 탕을 끓여 먹고 이후 몇 년을 활기차게 보냈다고 한다. 하지만 다시 바다에 갈 기운이 없어서 못 먹고 있으니 대신 재료를 모아와 달라고 한다. 그럼 내 모험가 정보에 '참 잘했어요' 도장을 찍어준다고?! 아무런 의미 없지만... 왠지 탐나잖아! 거북이를 잔뜩 잡아다 드리자.","참 잘했어요 도장, 탐난다!",main,objective,1,killMonster,Tortie,500,essence/diamond,0/0,80/150,quest_31_completed,30003_30004,
32,이번엔 대하구이?!,"그 정도 양의 거북이면 1000년은 건강하게 살 수 있겠다며 만족한 모험가정보관 할아버지가 '참 잘했어요' 도장을 찍어줬다. 오예! 내가 거북이를 잡았던 곳 근처에서 모험가정보관 할아버지가 옛날에 엄청나게 잘 싸우던 새우를 봤다고 한다. 이 얘기를 꺼낸 이유가 새우를 먹고 싶어서인지, 진짜로 행방이 궁금해서인지는 모르겠지만... 원래도 잘 싸우던 몬스터가 혹시나 소울을 흡수했다면 위험할 게 뻔하니, 내가 찾아봐야겠어.",아니면 칠리 새우로 먹을까,main,objective,1,killBoss,Boss_Crip,1,meso/diamond,0/0,4500/400,quest_32_completed,30005,
33,해적들의 전투력은?,삐쭉 튀어나온 입과 통통거리는 모습이 아주 얄밉고 화나는 몬스터였어. 이렇게 이상하고 강한 몬스터들 사이에서 살아온 해적들이라면 몬스터들보다 더 강하겠지? 해적들의 전투력이 어느 정도인지 궁금하다. 순위기록관에게 물어보고 오자.,"어디 보자, 전투력이... 헉!",main,objective,1,npc,rank,1,meso,0,7000,,,rank_1
34,해적들을 능가하는 힘,순위기록관에게 물어보니 해적들의 전투력은 대체로 11000 정도는 되는 것 같다고 한다. 해적선을 다 장악하기 위해선 이런 해적들을 다 이길 수 있어야 해. 해적들을 이길 수 있을 만한 힘을 갖추는 만반의 준비를 하자.,이 정도면 해적은 한 주먹거리,main,objective,1,reachBattlePower,battlePower,11000,item/item,6_000002/6_000003,10/5,quest_34_completed,,
35,해적 소탕 대작전,이 정도 전투력이면 이제 해적들을 이길 수 있을 것 같다! 해적선을 마저 수색해서 해적들을 찾아내고 소울들을 돌려받아야 해. 그럼 해적들을 소탕하러 가보자고~!,약탈해 간 소울 돌려줘!,main,objective,1,killMonster/killMonster/killMonster/killMonster,Kru/Captain/Gold Captain/Pirate King Barbosa,100/100/100/100,weaponScroll/essence/diamond,0/0/0,200/100/200,quest_35_completed,30007_30008_30009/30007_30008/30008_30009/30008_30009_30010,
36,해적왕의 애완동물,"해적왕 바르보사를 붙잡아 두고 이런저런 정보를 캐냈다. 해적들은 사막에서 우연히 소울 에그를 주워서 먹어봤고, 강해지는 것을 느꼈다고 한다. 그렇게 얻은 힘으로 더욱 약탈에 박차를 가하고 큰돈을 벌었다고 한다. 그렇게 번 막대한 양의 돈과 남은 소울 에그들은 투자 목적으로 공장에 보내버렸다는데, 공장에서 소울 에그에게  뭔 짓을 하기 전에 빨리 회수해야겠어. 근데 그 전에 잡아야 할 몬스터가 있다! 해적왕 바르보사의 애완동물인 우파루파에게 소울 에그로 요리를 해서 먹였다고 한다. 잡지 않으면 해적선을 뚫고 공장으로 갈 수 없을 거야.",우파루파에게 달걀 요리를?,main,objective,1,stageClear,30010,1,soulPiece/diamond,111001/0,1/200,quest_36_completed,30010,
37,공장에 보내진 소울들?!,"해적들의 애완동물이었던 우파루파를 처치했다. 소울 에그로 만든 요리를 많이 먹었다더니 정말로 이렇게 큰 우파루파는 처음 보긴 했지... 잡는 데에 애를 먹긴 했지만, 드디어 캡틴의 소울 피스를 하나 찾았어! 이렇게 군데군데에 퍼졌겠구나... 어떻게든 다 모아주고 싶네. 그러기 위해선 모험을 멈출 수 없지! 공장으로 가는 길을 막던 것도 사라졌으니 어서 가보자.",무슨 짓을 하려고,main,objective,1,stageClear,40001,1,meso/diamond,0/0,15000/200,quest_37_completed,40001,
38,기분 나쁜 공장,"아주 기분 나쁜 분위기의 공장이었는데, 무슨 목적의 공장인지 파악이 되지를 않는다. 어쨌든 간에 공장은 뭘 만드는 곳이니 비슷한 일을 하는 대장장이라면 알 수 있지도 않을까? 한번 스미티아에게 물어보고 오자.",무슨 공장인 걸까?,main,objective,1,npc,crafter,1,meso,0,17000,,,crafter_2
39,공장 부품 샘플 채취,"스미티아에게 그간의 일을 설명해주고 공장의 정체를 물어보았다. 놀랍게도 스미티아가 과거에 무기에 관한 공부를 하려고 여행을 다니던 중 가본 적 있는 공장이라고 한다. 그래서 대박이다 싶었는데... 그 공장에서 있는 아주 위험한 감시자로부터 황급하게 도망치느라 공장을 조사할 수 없었다고 한다. 그래서 스미티아의 과거 행적이 공장의 정체를 밝히는 데에 큰 도움은 못 되었지만, 그래도 줄 수 있는 도움은 주겠다고 하니 받아볼까? 공장에서 어떤 부품을 쓰는지 보면 알 수 있을지도 모르니 샘플로 여러 몬스터를 잡아와 보기! 아주 쉽지.", 이걸 가져가면 공장의 정체가...?,main,objective,1,killMonster/killMonster/killMonster/killMonster,MovingRobot/PollutedTrainingRobot/Porcupine/Nutria,100/100/100/100,item/diamond,3_000004/0,3/200,quest_39_completed,40001_40002/40001_40002/40002_40003/40003_40004,
40,소울 블렌더,"기껏 샘플들을 모아서 갔는데 스미티아가 전혀 감을 못 잡겠다고 하는 어처구니 없는 상황이 벌어졌다. 여행을 다닌 게 맞는지조차 의심이 가려고 하는 시점에 '소울 블렌더'라는 도구를 보여줬다. 그 공장에서 감시자와 마주치기 전에 폐기물 더미에서 주워왔다고 한다. 소울 블렌더로 소울칼리버도 만들었었고 지금도 소울들을 돕는 데에 사용한다고 한다. 감시자에게서 도망치느라 사용법이 적힌 쪽지가 찢어지고 일부만 남아 이름만 겨우 알아냈지만, 여러 실험을 통해 어느 정도 사용법을 터득했다고 한다. 쉬운 설명을 위해 공장에서 잡동사니를 좀 주워다 달라는데 사용법이 궁금하니 얼른 주워오자.",설명하는 데 잡동사니를 대체 왜,main,objective,1,killMonster/killMonster/killMonster,LiquidTrash/SafetyRobotW/SentryRobot,200/200/200,item/item/diamond,3_000004/3_000005/0,10/5/200,quest_40_completed,40003_40004/40004_40005_40006/40004_40005,
41,사용설명서 찾기,"소울 블렌더에 아무 물건이나 넣었다 뺐다 반복하더니 갑자기 펑 소리가 나며 소울이 든 무기가 생겼다. 어떤 조건의 물건으로 동작하는지는 모르겠지만 이렇게 간단히 무기가 생긴다니, 엄청나잖아? 심지어는 소울이 든 무기 2개를 소울 블렌더에 넣고 동작시키면 한 무기에 소울들이 다 들어간다. 다른 무기는 소멸하지만...! 이 방식으로 내 무기도 강화해주는 것이라고 한다. 하지만 다른 종류의 소울들을 한 무기에 넣으면 점차 불안정해진다고 하는데, 소울칼리버가 그 대표 예시다. 소울칼리버와 같은 사태가 다시 일어나지 않게 찢어진 사용법 쪽지의 나머지 부분을 읽고 싶다고 한다. 나도 궁금하니까 감시자를 처치하고 찾아보자.",이렇게 엄청난 도구가 있다고?,main,objective,1,stageClear,40005,1,meso/weaponScroll/essence/diamond,0/0/0/0,20000/650/250/400,quest_41_completed,40005,
