userLevel,gold,scroll,essence,diamond
80,65782725 ,14168,1632,0
81,65782725 ,14168,1632,0
82,65782725 ,14168,1632,0
83,65782725 ,14168,1632,0
84,65782725 ,14168,1632,0
85,65782725 ,14168,1632,0
86,65782725 ,14168,1632,0
87,65782725 ,14168,1632,0
88,65782725 ,14168,1632,0
89,65782725 ,14168,1632,0
90,65782725 ,14168,1632,0
91,65782725 ,14168,1632,0
92,65782725 ,14168,1632,0
93,65782725 ,14168,1632,0
94,65782725 ,14168,1632,0
95,65782725 ,14168,1632,0
96,65782725 ,14168,1632,0
97,65782725 ,14168,1632,0
98,65782725 ,14168,1632,0
99,65782725 ,14168,1632,0
100,65782725 ,14168,1632,0
101,65782725 ,14168,1632,0
102,65782725 ,14168,1632,0
103,65782725 ,14168,1632,0
104,65782725 ,14168,1632,0
105,65782725 ,14168,1632,0
106,65782725 ,14168,1632,0
107,65782725 ,14168,1632,0
108,65782725 ,14168,1632,0
109,65782725 ,14168,1632,0
110,65782725 ,14168,1632,0
111,65782725 ,14168,1632,0
112,65782725 ,14168,1632,0
113,65782725 ,14168,1632,0
114,65782725 ,14168,1632,0
115,65782725 ,14168,1632,0
116,65782725 ,14168,1632,0
117,65782725 ,14168,1632,0
118,65782725 ,14168,1632,0
119,65782725 ,14168,1632,0
120,65782725 ,14168,1632,0
121,65782725 ,14168,1632,0
122,65782725 ,14168,1632,0
123,65782725 ,14168,1632,0
124,65782725 ,14168,1632,0
125,65782725 ,14168,1632,0
126,65782725 ,14168,1632,0
127,65782725 ,14168,1632,0
128,65782725 ,14168,1632,0
129,65782725 ,14168,1632,0
130,65782725 ,14168,1632,0
131,65782725 ,14168,1632,0
132,65782725 ,14168,1632,0
133,65782725 ,14168,1632,0
134,65782725 ,14168,1632,0
135,65782725 ,14168,1632,0
136,65782725 ,14168,1632,0
137,65782725 ,14168,1632,0
138,65782725 ,14168,1632,0
139,65782725 ,14168,1632,0
140,65782725 ,14168,1632,0
141,65782725 ,14168,1632,0
142,65782725 ,14168,1632,0
143,65782725 ,14168,1632,0
144,65782725 ,14168,1632,0
145,65782725 ,14168,1632,0
146,65782725 ,14168,1632,0
147,65782725 ,14168,1632,0
148,65782725 ,14168,1632,0
149,65782725 ,14168,1632,0
150,65782725 ,14168,1632,0
151,65782725 ,14168,1632,0
152,65782725 ,14168,1632,0
153,65782725 ,14168,1632,0
154,65782725 ,14168,1632,0
155,65782725 ,14168,1632,0
156,65782725 ,14168,1632,0
157,65782725 ,14168,1632,0
158,65782725 ,14168,1632,0
159,65782725 ,14168,1632,0
160,65782725 ,14168,1632,0
161,65782725 ,14168,1632,0
162,65782725 ,14168,1632,0
163,65782725 ,14168,1632,0
164,65782725 ,14168,1632,0
165,65782725 ,14168,1632,0
166,65782725 ,14168,1632,0
167,65782725 ,14168,1632,0
168,65782725 ,14168,1632,0
169,65782725 ,14168,1632,0
170,65782725 ,14168,1632,0
171,65782725 ,14168,1632,0
172,65782725 ,14168,1632,0
173,65782725 ,14168,1632,0
174,65782725 ,14168,1632,0
175,65782725 ,14168,1632,0
176,65782725 ,14168,1632,0
177,65782725 ,14168,1632,0
178,65782725 ,14168,1632,0
179,65782725 ,14168,1632,0
180,65782725 ,14168,1632,0
181,65782725 ,14168,1632,0
182,65782725 ,14168,1632,0
183,65782725 ,14168,1632,0
184,65782725 ,14168,1632,0
185,65782725 ,14168,1632,0
186,65782725 ,14168,1632,0
187,65782725 ,14168,1632,0
188,65782725 ,14168,1632,0
189,65782725 ,14168,1632,0
190,65782725 ,14168,1632,0
191,65782725 ,14168,1632,0
192,65782725 ,14168,1632,0
193,65782725 ,14168,1632,0
194,65782725 ,14168,1632,0
195,65782725 ,14168,1632,0
196,65782725 ,14168,1632,0
197,65782725 ,14168,1632,0
198,65782725 ,14168,1632,0
199,65782725 ,14168,1632,0
200,65782725 ,14168,1632,0
201,65782725 ,14168,1632,0
202,65782725 ,14168,1632,0
203,65782725 ,14168,1632,0
204,65782725 ,14168,1632,0
205,65782725 ,14168,1632,0
206,65782725 ,14168,1632,0
207,65782725 ,14168,1632,0
208,65782725 ,14168,1632,0
209,65782725 ,14168,1632,0
210,65782725 ,14168,1632,0
211,65782725 ,14168,1632,0
212,65782725 ,14168,1632,0
213,65782725 ,14168,1632,0
214,65782725 ,14168,1632,0
215,65782725 ,14168,1632,0
216,65782725 ,14168,1632,0
217,65782725 ,14168,1632,0
218,65782725 ,14168,1632,0
219,65782725 ,14168,1632,0
220,65782725 ,14168,1632,0
221,65782725 ,14168,1632,0
222,65782725 ,14168,1632,0
223,65782725 ,14168,1632,0
224,65782725 ,14168,1632,0
225,65782725 ,14168,1632,0
226,65782725 ,14168,1632,0
227,65782725 ,14168,1632,0
228,65782725 ,14168,1632,0
229,65782725 ,14168,1632,0
230,65782725 ,14168,1632,0
231,65782725 ,14168,1632,0
232,65782725 ,14168,1632,0
233,65782725 ,14168,1632,0
234,65782725 ,14168,1632,0
235,65782725 ,14168,1632,0
236,65782725 ,14168,1632,0
237,65782725 ,14168,1632,0
238,65782725 ,14168,1632,0
239,65782725 ,14168,1632,0
240,65782725 ,14168,1632,0
241,65782725 ,14168,1632,0
242,65782725 ,14168,1632,0
243,65782725 ,14168,1632,0
244,65782725 ,14168,1632,0
245,65782725 ,14168,1632,0
246,65782725 ,14168,1632,0
247,65782725 ,14168,1632,0
248,65782725 ,14168,1632,0
249,65782725 ,14168,1632,0
250,65782725 ,14168,1632,0
251,65782725 ,14168,1632,0
252,65782725 ,14168,1632,0
253,65782725 ,14168,1632,0
254,65782725 ,14168,1632,0
255,65782725 ,14168,1632,0
256,65782725 ,14168,1632,0
257,65782725 ,14168,1632,0
258,65782725 ,14168,1632,0
259,65782725 ,14168,1632,0
260,65782725 ,14168,1632,0
261,65782725 ,14168,1632,0
262,65782725 ,14168,1632,0
263,65782725 ,14168,1632,0
264,65782725 ,14168,1632,0
265,65782725 ,14168,1632,0
266,65782725 ,14168,1632,0
267,65782725 ,14168,1632,0
268,65782725 ,14168,1632,0
269,65782725 ,14168,1632,0
270,65782725 ,14168,1632,0
271,65782725 ,14168,1632,0
272,65782725 ,14168,1632,0
273,65782725 ,14168,1632,0
274,65782725 ,14168,1632,0
275,65782725 ,14168,1632,0
276,65782725 ,14168,1632,0
277,65782725 ,14168,1632,0
278,65782725 ,14168,1632,0
279,65782725 ,14168,1632,0
280,65782725 ,14168,1632,0
281,65782725 ,14168,1632,0
282,65782725 ,14168,1632,0
283,65782725 ,14168,1632,0
284,65782725 ,14168,1632,0
285,65782725 ,14168,1632,0
286,65782725 ,14168,1632,0
287,65782725 ,14168,1632,0
288,65782725 ,14168,1632,0
289,65782725 ,14168,1632,0
290,65782725 ,14168,1632,0
291,65782725 ,14168,1632,0
292,65782725 ,14168,1632,0
293,65782725 ,14168,1632,0
294,65782725 ,14168,1632,0
295,65782725 ,14168,1632,0
296,65782725 ,14168,1632,0
297,65782725 ,14168,1632,0
298,65782725 ,14168,1632,0
299,65782725 ,14168,1632,0
300,65782725 ,14168,1632,0
