Key,Source,type,ko,en,es,zh-cn,zh-tw
1_007001_SpecialBuffDescription,검 폭탄이 떨어지고 곧 폭발합니다.,,검 폭탄이 떨어지고 곧 폭발합니다.,Drops a sword bomb that detonates after a short delay.,Lanza una bomba espada que detona pronto.,投下剑弹，马上爆炸。,掉落劍之暴彈，馬上爆炸。
1_008001_SpecialBuffDescription,미사일이 떨어지며 광범위한 폭발을 일으킵니다.,,미사일이 떨어지며 광범위한 폭발을 일으킵니다.,Drops missiles that cause a wide-ranging explosion.,Lanza misiles que causan una gran explosión.,发射的导弹落地后造成广范围爆炸。,導彈掉落後，引發廣範圍的爆炸。
1_009001_SpecialBuffDescription,바닥에서 드래곤이 나와 불을 뿜습니다.,,바닥에서 드래곤이 나와 불을 뿜습니다.,Summons a dragon from the ground that breathes fire.,Invoca a un dragón que aparece del suelo y escupe fuego.,地面出现龙，并喷射火焰。,地面出現龍後，噴射火焰。
1_010001_SpecialBuffDescription,주변에 번개가 치며 몬스터가 기절합니다.,,주변에 번개가 치며 몬스터가 기절합니다.,Strikes the area with lightning and stuns enemies.,Un rayo cae cerca y aturde al enemigo.,周围电闪雷鸣，怪物晕倒。,周圍降下閃電並讓怪物暈眩。
1_011001_SpecialBuffDescription,주변으로 많은 양의 음파를 연달아 날립니다.,,주변으로 많은 양의 음파를 연달아 날립니다.,Shoots a continuous stream of sound waves.,Dispara continuamente una gran cantidad de ondas sonoras.,对周围连续发射大量声波。,對周圍連續發射大量聲波。
1_012001_SpecialBuffDescription,내 위치에 중력장을 펼칩니다.,,내 위치에 중력장을 펼칩니다.,Sets a gravity field at your location.,Crea un campo gravitatorio en tu ubicación.,在我的位置展开重力场。,在自己位置展開重力場。
1_013001_SpecialBuffDescription,불이 붙은 망치가 충격파를 크게 일으킵니다.,,불이 붙은 망치가 충격파를 크게 일으킵니다.,Summons a flaming hammer to cause a great shock wave.,Invoca un martillo en llamas que provoca una gran onda expansiva.,燃烧的锤子造成大规模的冲击波。,燃燒的錘子造成大規模的衝擊波。
1_014001_SpecialBuffDescription,이볼브를 소환해 몬스터를 유혹합니다.,,이볼브를 소환해 몬스터를 유혹합니다.,Summons Fury of the Wild to charm the enemy.,Invoca Furia de la naturaleza para tentar al enemigo.,召唤伊博弗，迷惑怪物。,召喚演變，迷惑怪物。
1_015001_SpecialBuffDescription,화면을 휘젓고 다니는 저주의 검을 소환합니다.,,화면을 휘젓고 다니는 저주의 검을 소환합니다.,Summons a cursed sword that attacks across the screen.,Invoca una espada maldita que ataca por toda la pantalla.,召唤满屏乱飞的诅咒之剑。,召喚會在螢幕飛竄的詛咒之劍。
1_001001_SpecialBuffAdd,분신이 추가됩니다.,,분신이 추가됩니다.,Adds a clone.,Agrega un clon.,额外生成分身。,增加分身。
1_002001_SpecialBuffAdd,팽이가 하나 추가됩니다.,,팽이가 하나 추가됩니다.,Adds another top.,Agrega otra peonza.,额外生成一个陀螺。,額外增加一個陀螺。
1_003001_SpecialBuffAdd,바위가 더 크고 강력해집니다.,,바위가 더 크고 강력해집니다.,Makes the boulder bigger and stronger.,La roca se hace más grande y fuerte.,岩石变得更大且更强。,岩石變得更大且更強力。
1_005001_SpecialBuffAdd,더 많고 강력한 화살 비를 내립니다.,,더 많고 강력한 화살 비를 내립니다.,Rains down even more and even stronger arrows.,Hace llover más flechas y más fuertes.,降下更多且更强力的箭雨。,降下更多且強力的箭雨。
1_006001_SpecialBuffAdd,태풍이 하나 추가됩니다.,,태풍이 하나 추가됩니다.,Adds another typhoon.,Agrega otro tifón.,额外形成一个台风。,額外形成一個颱風。
1_007001_SpecialBuffAdd,검 폭탄이 더 강력해집니다.,,검 폭탄이 더 강력해집니다.,Makes the sword bomb stronger.,La espada bomba se hace más fuerte.,剑弹变得更强。,劍之暴彈變得更強。
1_008001_SpecialBuffAdd,미사일이 더 많이 떨어집니다.,,미사일이 더 많이 떨어집니다.,Drops even more missiles.,Caen más misiles.,投下更多导弹。,掉落更多導彈。
1_009001_SpecialBuffAdd,드래곤이 하나 더 소환됩니다.,,드래곤이 하나 더 소환됩니다.,Summons another dragon.,Invoca otro dragón.,额外召唤一只龙。,額外召喚一隻龍。
1_010001_SpecialBuffAdd,번개가 더 많이 칩니다.,,번개가 더 많이 칩니다.,Generates even more lightning.,Genera aun más relámpagos.,形成更多闪电。,形成更多閃電。
1_012001_SpecialBuffAdd,내 위치의 중력장이 더 강력해집니다.,,내 위치의 중력장이 더 강력해집니다.,Makes the gravity field at your location stronger.,El campo gravitatorio en tu ubicación se vuelve más fuerte.,我的位置的重力场变得更强。,自己位置的重力場變得更強大。
1_013001_SpecialBuffAdd,충격파가 더 멀리 퍼지며 공격이 강력해집니다.,,충격파가 더 멀리 퍼지며 공격이 강력해집니다.,Sends the shock wave further and makes the attack stronger.,La onda de choque se propaga más y el ataque se hace más potente.,扩大冲击波范围，攻击变得更强。,衝擊波範圍擴大，攻擊變得更強力。
1_014001_SpecialBuffAdd,이볼브가 하나 더 소환됩니다.,,이볼브가 하나 더 소환됩니다.,Summons another Fury of the Wild.,Invoca otra Furia de la naturaleza.,额外召唤一个伊博弗。,額外召喚一個演變。
1_015001_SpecialBuffAdd,저주의 검이 추가됩니다.,,저주의 검이 추가됩니다.,Adds a cursed sword.,Agrega una espada maldita.,额外召唤一把诅咒之剑。,額外召喚詛咒之劍。
ui_open_weapon,무기 창고,,무기 창고,Weapon Storage,Almacenamiento de armas,武器仓库,武器倉庫
ui_open_characteristic,특성,,특성,Attributes,Atributos,天赋,特性
ui_open_myInfo_armor,인벤토리 - 방어구,,인벤토리 - 방어구,Inventory - Armor,Inventario - Armadura,背包 - 防具,背包 - 防具
ui_open_soul_111001,소울 - 캡틴 (소울 레벨업),,소울 - 캡틴 (소울 레벨업),Soul - Corsair (Soul Level Up),Alma - Corsario (Sube el nivel de alma),灵魂 - 船长（升级灵魂）,靈魂 - 槍神(升級靈魂)
ui_open_soul_151001,소울 - 섀도어 (소울 레벨업),,소울 - 섀도어 (소울 레벨업),Soul - Shadower (Soul Level Up),Alma - Sombrío (Sube el nivel de alma),灵魂 - 侠盗（升级灵魂）,靈魂 - 暗影神偷(升級靈魂)
ui_open_gathering,탐색대,,탐색대,Search Party,Grupo de búsqueda,探索队,探索隊
ui_open_myInfo_pet,인벤토리 - 펫,,인벤토리 - 펫,Inventory - Pet,Inventario - Mascota,背包 - 宠物,背包 - 寵物
ui_open_collection,도감,,도감,Codex,Códice,图鉴,圖鑑
ui_open_limitLand,한계의 땅,,한계의 땅,Land of Limits,Tierra de límites,极限之地,極限之地
ui_open_randomBoss,균열,,균열,Crevasse,Grieta,龟裂,龜裂
cashShop,상점,,상점,Shop,Tienda,商店,商店
attackSpeed,공격 속도,,공격 속도,ATK SPD,VEL de ATQ,攻击速度,攻擊速度
criticalPercent,치명타 확률,,치명타 확률,Crit Chance,Oportunidad Crít,暴击率,致命攻擊率
criticalDamage,치명타 대미지,,치명타 대미지,Crit DMG,DAÑ Crít,暴击伤害,致命攻擊傷害
physicalDamage,물리 대미지,,물리 대미지,PHY DMG,DAÑ FÍS,物理伤害,物理傷害
magicalDamage,마법 대미지,,마법 대미지,MAG DMG,DAÑ MÁG,魔法伤害,魔法傷害
maxHp,최대 체력,,최대 체력,Max HP,PV máx.,最大血量,最大體力
range,사거리,,사거리,Range,Alcance,射程,射程
totalDamage,대미지,,대미지,DMG,DAÑ,伤害,傷害
bossDamage,보스에게 주는 대미지,,보스에게 주는 대미지,Boss DMG,DAÑ contra jefes,对首领造成的伤害,給予BOSS的傷害
hpRecovery,회복력,,회복력,Heal Power,Recuperación,恢复力,恢復力
evade,회피율,,회피율,EVD,EVA,回避率,迴避率
speed,이동 속도,,이동 속도,SPD,VEL,移动速度,移動速度
hitDamage,받는 피해,,받는 피해,DMG Taken,DAÑ recibido,受到的伤害,受到的傷害
accessory,장신구,,장신구,Accessory,Accesorio,饰品,飾品
consume,소모품,,소모품,Consumables,Consumibles,消耗品,消耗品
ingredient,재료,,재료,Material,Material,材料,材料
etc,기타,,기타,Misc.,Varios,其他,其他
magicstone,마법석,,마법석,Magic Rock,Roca mágica,魔法石,魔法石
crystal,결정,,결정,Crystal,Cristal,结晶,結晶
goldhammer,황금 망치,,황금 망치,Golden Hammer,Martillo de oro,黄金锤子,黃金鎚
weapon,무기,,무기,Weapon,Arma,武器,武器
armor,방어구,,방어구,Armor,Armadura,防具,防具
scroll,주문서,,주문서,Scroll,Pergamino,咒语书,卷軸
potion,포션,,포션,Potion,Poción,药水,藥水
ring,반지,,반지,Ring,Anillo,戒指,戒指
earring,귀걸이,,귀걸이,Earrings,Pendientes,耳环,耳環
necklace,목걸이,,목걸이,Necklace,Collar,项链,項鍊
soulegg,소울 에그,,소울 에그,Soul Egg,Huevo álmico,灵魂蛋,靈魂蛋
npc_name_guard,경비병 가드릭,,경비병 가드릭,Guard Goderich,Guardia Goderich,警卫兵嘉德利,警衛兵加德利
npc_name_crafter,대장장이 스미티아,,대장장이 스미티아,Blacksmith Smithia,Smitia la herrera,铁匠史米迪亚,鐵匠史米迪亞
npc_name_instructor,특성교관 마이,,특성교관 마이,Attribute Instructor Mai,"Mai, instructor de atributo",天赋教官迈伊,特性教官麥加
npc_name_collector,장비수집가 센밀,,장비수집가 센밀,Weapon Collector Serge,"Serge, el recolector de equipo",装备收藏家森米尔,裝備收藏家森密爾
npc_name_patrol,탐색대장 파트로스,,탐색대장 파트로스,Search Captain Patros,"Patros, capitán de exploración",探索队长帕特罗斯,探索隊隊長派特羅斯
npc_name_cashShop,명품상인 골드리치,,명품상인 골드리치,Luxury Merchant Gold Richie,"Richie Dorado, el mejor comerciante",名品商人金富翁,名品商人黃金富豪
npc_name_limitLand,개척자 다이달,,개척자 다이달,Pioneer Daedal,"Daidal, el pionero",开拓者戴达,開拓者戴達爾
npc_name_rank,순위기록관 레나리우,,순위기록관 레나리우,Rank Archivist Lenario,"Lenario, el registrador de rangos",排名记录官雷纳利乌,排名記錄官雷娜里歐
npc_name_info,모험가정보관 부클러만,,모험가정보관 부클러만,Intelligence Officer Illiad,"Illiad, el oficial de inteligencia",冒险家信息官布克罗曼,冒險家資訊官布克羅曼
npc_name_attendance,출석관리자 피엥,,출석관리자 피엥,Attendance Manager Pietta,El administrador de asistencia Pietta,签到管理员皮翁,簽到管理員皮翁
npc_name_pet,펫상인 유타,,펫상인 유타,Pet Merchant Utah,El comerciante de mascotas Utah,宠物商人尤塔,寵物商人猶他
npc_name_quest,소울칼리버 칼자루,,소울칼리버 칼자루,Soul Brand Hilt,Empuñadura de Cálibur álmica,剑魂剑柄,劍魂劍柄
npc_name_barbosa,해적왕 바르보사,,해적왕 바르보사,"Calico Mack, the Pirate King",El rey pirata Calico Mack,海盗王巴博萨,海賊王巴船長
npc_name_chestnutMouse,밤도둑 서생원,,밤도둑 서생원,Chestnut Robber Mouse,Ratón ladrón de castañas,黑夜鼠贼,夜賊鼠
npc_name_yeti,예티와 페페,,예티와 페페,Yeti and Pepe,Yeti y pepe,白雪人和佩佩,雪吉拉與企鵝王
npc_name_seren,선택받은 세렌:여명,,선택받은 세렌:여명,Chosen Seren: Dawn,Seren elegida: Dawn,选中之人塞壬：黎明,神選者塞倫：黎明
npc_name_soulDust,의문의 연구원,,의문의 연구원,Mysterious Researcher,Investigador misterioso,神秘的研究员,可疑的研究員
npc_name_cygnus,시그너스,,시그너스,Cygnus,Cygnus,希纳斯,西格諾斯
npc_name_monk,추억의 사제,,추억의 사제,Memory Monk,Monje del recuerdo,记忆中的祭司,回憶的祭司
npc_name_pontiff,후회의 신관,,후회의 신관,Qualm Monk Trainee,Monje del recelo aprendiz,懊悔的神官,悔恨的神官
npc_name_executor,어둠의 집행자,,어둠의 집행자,Dark Executor,Ejecutor oscuro,黑暗执行者,暗之執行者
npc_name_EmergencyRobotL,비상용 경비 로봇 L,,비상용 경비 로봇 L,Emergency Guard Robot L,Robot guardia de emergencia L,应急用警卫机器人L,緊急對應警備機器人L
npc_name_WildMonkey,시나운 원숭이,,사나운 원숭이,Wild Monkey,Simio salvaje,凶恶的猴子,凶暴猴子
npc_name_kingSageCat,요괴선사,,요괴선사,King Sage Cat,Rey gato sabio,妖怪禅师,喵怪仙人
npc_name_guardianAngelSlime,가디언 엔젤 슬라임,,가디언 엔젤 슬라임,Guardian Angel Slime,Ángel guardián baba,守护天使绿水灵,守護天使綠水靈
npc_name_frog,개구리,,개구리,Frog,Rana,青蛙,青蛙
npc_name_2402Shop,놀부,,놀부,Nolbu,Nolbu,孬夫,樂夫
npc_name_pilot,조종사 어빈,,조종사 어빈,Pilot Irvin,Irvin el piloto,驾驶员欧文,駕駛員爾灣
npc_name_fieldMerchant,상인 도르,,상인 도르,Merchant Thorr,Comerciante Thorr,商人多尔,商人多爾
npc_text_guard,마을 밖은 위험합니다.,,마을 밖은 위험합니다.,It's dangerous outside of town.,Es peligroso fuera del pueblo.,村庄外很危险。,村莊外面很危險。
npc_text_crafter,강력한 무기를 만들어 달라고?,,강력한 무기를 만들어 달라고?,You want me to make you a powerful weapon?,¿Quieres que fabrique un arma poderosa?,要让我制作强大的武器？,要讓我製作強大的武器？
npc_text_instructor,강해지기 위해선 혹독한 훈련이 필요한 법!!!!!!,,강해지기 위해선 혹독한 훈련이 필요한 법!!!!!!,You need intense training to become strong!,"Para ser fuerte, necesitas un entrenamiento riguroso.",为了变强，就需要残酷的训练！,為了變強，就需要殘酷的訓練！！！！！！
npc_text_soldier1,갑시다!!,,갑시다!!,Let's go!,¡Vamos!,走吧！,走吧！
npc_text_soldier2,으쌰!!,,으쌰!!,Let's do this!,¡Hagámoslo!,加油！,加油！
npc_text_soldier3,넵!,,넵!,Okay!,¡Entendido!,是！,是！
npc_text_soldier4,알겠습니다!,,알겠습니다!,Understood!,¡Entendido!,明白！,我知道了！
npc_text_soldier5,가보자고~!,,가보자고~!,Let's get going!,¡Vamos!,上吧！,去看看吧！
npc_text_soldier6,충성!,,충성!,Salute!,¡Señor!,敬礼！,忠誠！
npc_text_collector,장비 도감을 완벽하게 채우고 싶은 강박증이~!,,장비 도감을 완벽하게 채우고 싶은 강박증이~!,Let nothing stop you from filling up the Equipment Codex!,¡Que nada te detenga para completar a la perfección el Códice de equipo!,我有要完美填满整个装备图鉴的强迫症！,我有要完美填滿整個裝備圖鑑的強迫症！
npc_text_patrol,마을에 도움이 될 만한 물건이 있으면 들고 온다. 알겠나?,,마을에 도움이 될 만한 물건이 있으면 들고 온다. 알겠나?,Bring us any item that could possibly be helpful to the town. Got it?,Trae cualquier cosa que pueda ser útil para el pueblo. ¿Entendido?,只要发现对村庄有帮助的物品就带过来，明白了吗？,只要發現對村莊有幫助的物品就帶過來。知道了嗎？
npc_text_cashShop,내가 더 부자가 되도록 많이 사가거라~,,내가 더 부자가 되도록 많이 사가거라~,Buy enough to make me rich!,Compra mucho para que pueda hacerme rico.,帮我多买点，让我变富翁吧！,請幫我多買點，讓我變富翁吧！
npc_text_limitLand,한계의 땅에 발을 들였다간 뼈도 못 추려!,,한계의 땅에 발을 들였다간 뼈도 못 추려!,You will be completely destroyed if you step foot in the Land of Limits!,"Si pones un pie en la Tierra de los límites, ¡ni siquiera podrás recoger tus huesos!",不慎踏入极限之地的话就没命了！,不小心踏入極限之地的話，就會沒命了！
npc_text_rank,순위를 보고 싶으신가요?,,순위를 보고 싶으신가요?,Do you want to see the ranks?,¿Quieres ver la clasificación?,想查看排名？,想查看排名嗎？
npc_text_info,자네의 정보는 내가 잘 관리하고 있지...,,자네의 정보는 내가 잘 관리하고 있지...,I'm taking good care of your information...,Estoy cuidando bien tu información...,我这边在妥善管理着你的信息……,我這邊有好好地管理你的資訊…
npc_text_attendance,이 모험가님이... 오늘 출석하셨었나...?,,이 모험가님이... 오늘 출석하셨었나...?,This adventurer... Did you check their attendance?,Este explorador... ¿estaba presente hoy?,这位冒险家……今天签到了吗？,這位冒險家…今天簽到了嗎…？
npc_text_pet,귀여운 펫 입양해 가세요~!,,귀여운 펫 입양해 가세요~!,Adopt a cute pet today!,¡Adopta a una mascota adorable!,快来领养可爱的宠物！,快來領養可愛的寵物！
npc_text_quest,...,,...,...,...,……,…
npc_text_soulDust,소울 더스트가 필요해..,,소울 더스트가 필요해..,Need Soul Dust...,Necesito polvo álmico...,需要灵魂尘埃……,需要靈魂塵埃……
npc_text_2402Shop,거기 너!! 가서 복조리 좀 가져오너라.,,거기 너!! 가서 복조리 좀 가져오너라.,"Hey, you! Go get a Luck Sack.","¡Oye, tú! Ve y trae el saco de la suerte.",喂，你！去拿来福笊篱。,喂，你！！去把福笊籬拿過來。
npc_text_pilot,어디로 가고 싶다고?,,어디로 가고 싶다고?,Where did you say you wanted to go?,¿Dónde quieres ir?,想去哪里来着？,想去哪裡呢？
npc_text_fieldMerchant,얼마까지 알아보고 왔어?,,얼마까지 알아보고 왔어?,How much did you find out?,¿Cuánto has averiguado?,多少钱能接受？,多少錢可以接受？
