Key,Source,Note,ko,en,es,zh-cn,zh-tw
SkillDesc_Active_C00001,"손을 든 채 3초 동안 힘을 모읍니다. 힘을 모으는 동안 받는 피해량을 기록합니다. 이후 바닥을 내리찍어 주변 1칸 내 모든 적들에게 {0}({1}+{2}와 받은 데미지의 {3}%만큼의 물리 피해를 입히고, {4}초동안 <b>기절</b> 상태로 만듭니다. 이 공격의 피해량은 힘을 모으는 동안 기록한 피해량에 비례합니다.",Default Text,"손을 든 채 3초 동안 힘을 모읍니다. 힘을 모으는 동안 받는 피해량을 기록합니다. 이후 바닥을 내리찍어 주변 1칸 내 모든 적들에게 {0}({1}+{2}와 받은 데미지의 {3}%만큼의 물리 피해를 입히고, {4}초동안 <b>기절</b> 상태로 만듭니다. 이 공격의 피해량은 힘을 모으는 동안 기록한 피해량에 비례합니다.","Raising their hands, they gather their power for 3 sec. Remembers any damage taken during this time. Afterward, strikes the ground to deal {0} ({1}+{2}) Physical Damage plus {3}% of the damage taken to enemies within 1 tile, and <b>Stuns</b> them for {4} sec. The damage of this attack is proportional to the damage taken while gathering power.","Levanta las manos para acumular su energía durante 3 s. Recuerda todo el daño que haya recibido en ese tiempo. Luego, impacta el terreno para infligir {0} ({1}+{2}) de Daño físico más un {3} % del daño recibido a los enemigos en un radio de 1 casilla y los <b>aturde</b> durante {4} s. El daño de este ataque es proporcional al daño recibido al acumular energía.",举起手并在3秒内聚集力量。聚集力量的期间，记录受到的伤害量。此后重拍地面，对周围1格内的所有敌人造成{0}（{1}+{2}）加上所受伤害{3}%的物理伤害，并在{4}秒内使其陷入<b>眩晕</b>状态。此攻击的伤害量与聚集力量时所记录的伤害量成正比。,舉手蓄力3秒。蓄力期間，會累積受到的傷害量。隨後猛擊地面，對周圍1格內所有敵人造成相當於{0}({1}+{2}和受到傷害{3}%的物理傷害，並使其陷入<b>暈眩</b>狀態{4}秒。該攻擊的傷害量和蓄力期間累積的傷害量成正比。
SkillDesc_Active_C00002,"{0}만큼의 보호막을 얻고, 주변에 폭발을 일으켜 {1}칸 내 모든 적에게 {2}만큼의 마법 피해를 입힙니다. 그리고 6초동안 <b>마법 방어 약화</b> 상태로 만듭니다.",Default Text,"{0}만큼의 보호막을 얻고, 주변에 폭발을 일으켜 {1}칸 내 모든 적에게 {2}만큼의 마법 피해를 입힙니다. 그리고 6초동안 <b>마법 방어 약화</b> 상태로 만듭니다.",Gains {0} Barrier and unleashes an explosion to deal {2} Magic Damage to all enemies within {1} tiles. Inflicts <b>Magic Defense Down</b> for 6 sec.,Obtiene {0} de Barrera y libera una explosión que inflige {2} de Daño mágico a todos los enemigos en un radio de {1} casillas. Reduce la <b>Defensa mágica</b> durante 6 s.,获得{0}屏障并引发爆炸，对周围{1}格内的所有敌人造成{2}魔法伤害。此后，在6秒内使其陷入<b>魔法防御弱化</b>状态。,獲得{0}的護盾，並在周圍引起爆炸，對{1}格內所有敵人造成{2}的魔法傷害。同時使其陷入<b>魔法防禦弱化</b>狀態6秒。
SingleMode_LevelText,{0}단계,Default Text,{0}단계,Level {0},Nivel {0},第{0}阶段,階段{0}
SkillDesc_Active_C00004,"남은 전투 동안 공격력을 {0}({1}+{2}, 공격속도를 {3}%만큼 증가시킵니다.",Default Text,"남은 전투 동안 공격력을 {0}({1}+{2}, 공격속도를 {3}%만큼 증가시킵니다.",Increases Attack Power by {0} ({1}+{2}) and Attack Speed by {3}% for the rest of the battle.,Aumenta el Poder de ataque en {0} ({1}+{2}) y la Velocidad de ataque un {3} % por el resto de la batalla.,在剩下的战斗中，攻击力增加{0}（{1}+{2}），攻击速度增加{3}%。,剩餘戰鬥期間攻擊力增加{0}({1}+{2}、攻擊速度增加{3}。
SkillDesc_Active_C00005,가장 많은 적을 타격할 수 있는 위치로 순간 이동합니다. 그 후 2칸 내 모든 적에게 {0}만큼의 마법 피해를 입히고 {1}초동안 <b>기절</b>상태로 만듭니다.,Default Text,가장 많은 적을 타격할 수 있는 위치로 순간 이동합니다. 그 후 2칸 내 모든 적에게 {0}만큼의 마법 피해를 입히고 {1}초동안 <b>기절</b>상태로 만듭니다.,"Teleports to the location that has the most enemies in range, then deals {0} Magic Damage to enemies within 2 tiles and inflicts <b>Stun</b> for {1} sec.","Se teletransporta a la ubicación que tenga más enemigos al alcance, luego inflige {0} de Daño mágico a los enemigos en un rango de 2 casillas y los <b>aturde</b> durante {1} s.",瞬间移动至可以打击最多敌人的位置上。此后，对2格内的所有敌人造成{0}魔法伤害，并在{1}秒内使其陷入<b>眩晕</b>状态。,傳送到能打擊最多敵人的位置。隨後對周圍2格內所有敵人造成{0}的魔法傷害，並使其陷入<b>暈眩</b>狀態{1}秒。
Item_NI10006_SpecialAbility,기본 공격 및 스킬로 피해를 입힌 대상을 6초동안 <b>화상</b> 및 <b>회복력 감소</b> 상태로 만듭니다. 화상 상태인 적을 공격 시 8%의 추가 고정 피해를 입힙니다.,Default Text,기본 공격 및 스킬로 피해를 입힌 대상을 6초동안 <b>화상</b> 및 <b>회복력 감소</b> 상태로 만듭니다. 화상 상태인 적을 공격 시 8%의 추가 고정 피해를 입힙니다.,Basic attacks and skills inflict <b>Burn</b> and <b>Heal Power Down</b> for 6 sec. Deals 8% extra Fixed Damage when attacking enemies suffering from Burn.,Los ataques básicos y habilidades provocan <b>Quemaduras</b> y una <b>reducción de poder de curación</b> durante 6 s. Inflige un 8 % adicional de daño fijo cuando se ataca a enemigos que sufren de Quemaduras.,受到普通攻击和技能伤害的目标在6秒内陷入<b>烧伤</b>及<b>恢复力减少</b>状态。攻击处于烧伤状态的敌人时，对其额外造成8%的固定伤害。,基本攻擊和技能對目標造成傷害時，會使其在6秒內陷入<b>燒傷</b>與<b>恢復力減少</b>狀態。攻擊燒傷狀態的敵人時，造成8%的追加固定傷害。
Item_NI10028_SpecialAbility,기본 공격 및 스킬로 피해를 입힌 대상을 6초동안 <b>화상</b> 및 <b>회복력 감소</b> 상태로 만듭니다. 화상 상태인 적을 공격시 8%의 추가 고정 피해를 입힙니다.,Default Text,기본 공격 및 스킬로 피해를 입힌 대상을 6초동안 <b>화상</b> 및 <b>회복력 감소</b> 상태로 만듭니다. 화상 상태인 적을 공격시 8%의 추가 고정 피해를 입힙니다.,Basic attacks and skills inflict <b>Burn</b> and <b>Heal Power Down</b> for 6 sec. Deals 8% extra Fixed Damage when attacking enemies suffering from Burn.,Los ataques básicos y habilidades provocan <b>Quemaduras</b> y una <b>reducción de poder de curación</b> durante 6 s. Inflige un 8 % adicional de daño fijo cuando se ataca a enemigos que sufren de Quemaduras.,受到普通攻击和技能伤害的目标在6秒内陷入<b>烧伤</b>及<b>恢复力减少</b>状态。攻击处于烧伤状态的敌人时，对其额外造成8%的固定伤害。,基本攻擊和技能對目標造成傷害時，會使其在6秒內陷入<b>燒傷</b>與<b>恢復力減少</b>狀態。攻擊燒傷狀態的敵人時，造成8%的追加固定傷害。
SkillDesc_Active_C10001,물컹한 액체를 적에게 날려 {0}의 마법 피해를 입히고 {1}초간 <b>기절</b>시킵니다.,Default Text,물컹한 액체를 적에게 날려 {0}의 마법 피해를 입히고 {1}초간 <b>기절</b>시킵니다.,Flings mushy liquid at the enemy to deal {0} Magic Damage and <b>Stun</b> them for {1} sec.,Arroja un líquido pastoso al enemigo e inflige {0} de Daño mágico y los <b>aturde</b> durante {1} s.,向敌人飞出绿液球，造成{0}魔法伤害，使其在{1}秒内陷入<b>眩晕</b>。,將黏糊的液體扔向敵人，造成{0}的魔法傷害，並使其<b>暈眩</b>{1}秒。
SkillDesc_Active_C10002,높이 뛰어오른 후 착지하면서 충격파를 일으킵니다. 주변 1칸 내 모든 적에게 {0}({1}+{2})의 물리 피해를 입히고 {3}초동안 <b>회복력 감소</b> 상태로 만듭니다.,Default Text,높이 뛰어오른 후 착지하면서 충격파를 일으킵니다. 주변 1칸 내 모든 적에게 {0}({1}+{2})의 물리 피해를 입히고 {3}초동안 <b>회복력 감소</b> 상태로 만듭니다.,"Jumps up high and comes crashing down, causing an impact wave. Deals {0} ({1}+{2}) Physical Damage to all enemies within a 1 tile radius and inflicts <b>Heal Power Down</b> for {3} sec.","Salta alto y baja de un golpe, lo que provoca una ola de daño. Inflige {0} ({1}+{2}) de daño físico a todos los enemigos dentro de un radio de 1 casilla y provoca <b>reducción de poder de curación</b> durante {3} s.",高高跳起后，落地时引发冲击波。对周围1格内的所有敌人造成{0}（{1}+{2}）物理伤害，在{3}秒内使其陷入<b>恢复力减少</b>状态。,跳到高處後，藉由落地造成衝擊波。對周圍1格內所有敵人造成{0}({1}+{2})的物理傷害，並使其陷入<b>恢復力減少</b>狀態{3}秒。
SkillDesc_Active_C10003,7초간 지속되는 보호막을 {0}만큼 얻습니다. 다음 기본 공격시 {1}만큼의 물리 피해를 입힙니다.,Default Text,7초간 지속되는 보호막을 {0}만큼 얻습니다. 다음 기본 공격시 {1}만큼의 물리 피해를 입힙니다.,"Gains {0} Barrier for 7 sec. On the next basic attack, deals {1} Physical Damage.",Obtiene {0} Barrera durante 7 s. En el siguiente ataque básico inflige {1} de Daño físico.,获得持续7秒的{0}屏障。下次发动普通攻击时，造成{1}物理伤害。,獲得護盾{0}持續7秒。下次基本攻擊時，造成{1}的物理傷害。
SkillDesc_Active_C10004,현재 대상을 강하게 타격하여 {0}만큼의 마법 피해를 입힙니다.,Default Text,현재 대상을 강하게 타격하여 {0}만큼의 마법 피해를 입힙니다.,Smites the current target to deal {0} Magic Damage.,Golpea al objetivo actual e inflige {0} de Daño mágico.,强力打击当前目标，造成{0}魔法伤害。,強力打擊目標，造成相當{0}的魔法傷害。
IngameRules_StatusEffect_004,"<color=""#ffd400"">디버프</color>에 해당하는 상태이상은 적용중인 유닛에게 해로운 효과를 부여합니다.\n<color=""#ffd400"">물리/마법방어 약화, 회복력 감소, 마나 과부하, 둔화, 낙인, 화상, 마나 획득 불가</color>가 해당됩니다.",Default Text,"<color=""#ffd400"">디버프</color>에 해당하는 상태이상은 적용중인 유닛에게 해로운 효과를 부여합니다.\n<color=""#ffd400"">물리/마법방어 약화, 회복력 감소, 마나 과부하, 둔화, 낙인, 화상, 마나 획득 불가</color>가 해당됩니다.","Some abnormal statuses act as <color=""#ffd400"">debuffs</color> that apply harmful effects to the unit, such as: <color=""#ffd400"">Physical/Magic Defense Down</color>, <color=""#ffd400"">Heal Power Down</color>, <color=""#ffd400"">Mana Overload</color>, <color=""#ffd400"">Slow</color>, <color=""#ffd400"">Mark</color>, <color=""#ffd400"">Burn</color>, or <color=""#ffd400"">Mana Stop</color>.","Algunos parámetros anormales actúan como <color=""#ffd400"">debilitaciones</color> que aplican efectos dañinos a la unidad, como: <color=""#ffd400"">Reducción de defensa Mágica/Física</color>, <color=""#ffd400"">Reducción de recuperación</color>, <color=""#fd400"">Sobrecarga de maná</color>, <color=""#ffd400"">Ralentización</color>, <color=""#ffd400"">Marca</color>, <color=""#ffd400»>Quemaduras</color> o <color=""#ffd400"">Interrupción de maná</color>.","属于<color=""#ffd400"">减益</color>类的状态异常对已适用的单位赋予不利的效果。\n具体有<color=""#ffd400"">物理/魔法防御弱化、恢复力减少、魔量超载、迟缓、烙印、烧伤和无法获得魔量</color>等。","當施加在英雄的狀態異常為<color=""#ffd400"">減益效果</color>時，將會造成有害的效果，\n<color=""#ffd400"">物理/魔法防禦弱化、減少恢復力、法力超載、遲緩、烙印、燒傷、無法獲得魔力</color>為該類型。"
SkillDesc_Active_C10006,"잠시동안 공격을 멈추고 시스템을 업그레이드합니다. 체력이 {0}({1}+{2})만큼 회복되며, 공격력이 {3}만큼 증가합니다.",Default Text,"잠시동안 공격을 멈추고 시스템을 업그레이드합니다. 체력이 {0}({1}+{2})만큼 회복되며, 공격력이 {3}만큼 증가합니다.",Temporarily stop attacking and upgrade the system. Heals {0} ({1}+{2}) HP and increases Attack Power by {3}.,Detener el ataque temporalmente y actualizar el sistema. Cura {0} ({1}+{2}) PV y aumenta el Poder de ataque en {3}.,暂时停止攻击并升级系统。血量恢复{0}（{1}+{2}），攻击力增加{3}。,停止攻擊2秒，升級系統。體力恢復{0}({1}+{2})，並增加{3}攻擊力。
SkillDesc_Active_C10007,별을 5개 생성해 정해진 확률로 선택된 적에게 날려 {0}만큼의 마법 피해를 줍니다. 스킬을 다시 사용할 때마다 생성하는 별의 개수가 1개씩 증가합니다.,Default Text,별을 5개 생성해 정해진 확률로 선택된 적에게 날려 {0}만큼의 마법 피해를 줍니다. 스킬을 다시 사용할 때마다 생성하는 별의 개수가 1개씩 증가합니다.,"Creates 5 stars and launches them at random targets to deal {0} Magic Damage. Each time this skill is used, the number of stars increases by 1.","Genera 5 estrellas y las lanza a objetivos al azar e inflige {0} de Daño mágico. Cada vez que se utiliza esta habilidad, la cantidad de estrellas aumenta en 1.",生成5颗星星并根据指定概率向所选敌人抛射，造成{0}魔法伤害。每当重新使用技能时，生成的星星数量增加1颗。,生成5個星星，根據指定機率飛向選出的目標，給予{0}的魔法傷害。每當再次使用技能時，生成的星星數量各增加1個。
Item_CI0009_SpecialAbility,사용한 캐릭터는 남은 경기동안 상점에서 등장하지 않습니다.,Default Text,사용한 캐릭터는 남은 경기동안 상점에서 등장하지 않습니다.,Use this on a character to prevent them from appearing in the shop again for the remainder of the match.,Utilízalo en un personaje para evitar que ese personaje aparezca en la tienda por lo que reste de la partida.,已使用的角色在剩下的比赛中不会出现在商店。,對目標角色使用後，剩餘比賽期間將不再出現在商店中。
SkillDesc_Active_C10008,현재 대상 위치에 에너지 폭발을 일으켜 주변 1칸 내 모든 적에게 {0}만큼의 마법 피해를 입힙니다.,Default Text,현재 대상 위치에 에너지 폭발을 일으켜 주변 1칸 내 모든 적에게 {0}만큼의 마법 피해를 입힙니다.,Blasts the target's location to deal {0} Magic Damage to all enemies within 1 tile.,Hace explotar la ubicación del objetivo e inflige {0} de Daño mágico a todos los enemigos en el radio de 1 casilla.,在当前目标位置上引发能量爆炸，对周围1格内的所有敌人造成{0}魔法伤害。,在目標當前位置引發能量爆炸，對周圍1格內所有敵人造成{0}魔法傷害。
SkillDesc_Active_C10009,현재 대상에게 {0}({1}+{2})만큼의 물리 피해를 입힙니다.,Default Text,현재 대상에게 {0}({1}+{2})만큼의 물리 피해를 입힙니다.,Deals {0} ({1}+{2}) Physical Damage to the current target.,Inflige {0} ({1}+{2}) de Daño físico al objetivo actual.,对当前目标造成{0}（{1}+{2}）物理伤害。,對當前目標造成{0}({1}+{2})物理傷害。
Status_MagicalAttack_Desc,마법 공격 시 상대에게 입히는 피해량입니다.,Default Text,마법 공격 시 상대에게 입히는 피해량입니다.,Damage dealt to opponents when making a magic attack.,Daño infligido a los oponentes al realizar un ataque mágico.,此为发动魔法攻击时对目标造成的伤害量。,對敵人造成魔法傷害的量。
Status_PhysicalAttack_Desc,물리 공격 시 상대에게 입히는 피해량입니다. 기본 공격은 물리 공격으로 적용됩니다.,Default Text,물리 공격 시 상대에게 입히는 피해량입니다. 기본 공격은 물리 공격으로 적용됩니다.,Damage dealt to opponents when making a physical attack. Basic attacks count as physical attacks.,Daño infligido a los oponentes al realizar un ataque físico. Los ataques básicos cuentan como ataque físico.,此为发动物理攻击时造成的伤害量。普通攻击会适用物理攻击。,"對敵人造成物理傷害的量。基本攻擊會被視為物理攻擊。
"
SkillDesc_Active_C10010,대상에게 거대한 달팽이 껍질을 던져 {0}({1}+{2})만큼의 물리 피해를 입힙니다. 대상에게 적중하면 대상 주변 1칸 내 적에게 껍질 파편이 튀어 {3}만큼의 추가 피해를 입힙니다.,Default Text,대상에게 거대한 달팽이 껍질을 던져 {0}({1}+{2})만큼의 물리 피해를 입힙니다. 대상에게 적중하면 대상 주변 1칸 내 적에게 껍질 파편이 튀어 {3}만큼의 추가 피해를 입힙니다.,"Throws a huge snail shell at the target to deal {0} ({1}+{2}) Physical Damage. Landing the shell on the target causes it to break into shards, hitting enemies within 1 tile for {3} additional damage.",Arroja un caracol gigante hacia el objetivo e inflige {0} ({1}+{2}) de Daño físico. Hacer caer el caracol en el objetivo provoca que este se rompa en pedazos y golpee a los enemigos dentro del rango de 1 casilla con {3} de daño adicional.,向目标扔出巨大的蜗牛壳，造成{0}（{1}+{2}）物理伤害。如果目标被击中，则蜗牛碎片会溅到目标周围1格内的敌人身上，额外造成{3}伤害。,向目標扔擲巨大的嫩寶殼後造成{0}({1}+{2})的物理傷害。命中目標時，其周圍1格內的敵人會被飛出的碎殼擊中，造成相當{3}的追加傷害。
S10011RuneDesc,"방해꾼의 가면 효과 지속시간 +{0}%, 방해꾼의 가면을 장착한 유닛과 같은 행에서 전투를 시작하는 적들을 마나 과부하 상태로 만듦",Default Text,"방해꾼의 가면 효과 지속시간 +{0}%, 방해꾼의 가면을 장착한 유닛과 같은 행에서 전투를 시작하는 적들을 마나 과부하 상태로 만듦","Heckler's Mask duration +{0}%, afflicts enemies in the same row as the unit with Heckler's Mask with Mana Overload",+{0} % de duración de la máscara de Latoso y afecta a los enemigos de la misma fila que la unidad con la máscara de Latoso con sobrecarga de maná,捣蛋鬼面具效果的持续时间+{0}%，和佩戴捣蛋鬼面具的单位在同一行上开始战斗的敌方单位陷入魔量超载状态,搗亂者的面具效果持續時間+{0}%，會對和裝備搗亂者面具的英雄位於同行開始戰鬥的敵軍造成法力超載的狀態。
SkillDesc_Active_C10011,거리가 가장 먼 적에게 유령 헥터를 돌진시켜 {0}만큼의 마법 피해를 주고 위협 상태로 만듭니다. 이미 위협 상태인 적에게 다시 스킬을 적중하면 {1}만큼의 마법 피해를 줍니다.,Default Text,거리가 가장 먼 적에게 유령 헥터를 돌진시켜 {0}만큼의 마법 피해를 주고 위협 상태로 만듭니다. 이미 위협 상태인 적에게 다시 스킬을 적중하면 {1}만큼의 마법 피해를 줍니다.,Hector the Ghost charges at the furthest enemy to deal {0} Magic Damage and inflict Threaten. Landing the skill again on a Threatened enemy will deal {1} Magic Damage.,Hector el Fantasma acomete hacia el enemigo más lejano e inflige {0} de Daño mágico y causa Amenaza. Hacer caer la habilidad nuevamente en un objetivo con Amenaza inflige {1} de Daño mágico.,幽灵野狼向距离最远的敌人突进，造成{0}魔法伤害并使其陷入威胁状态。如果对已处于威胁状态的敌人重新发动技能，则造成{1}魔法伤害。,幽靈野狼對距離最遠的敵人突進後，給予{0}的魔法傷害並造成威脅狀態。對已經是威脅狀態的敵人再次命中技能時，給予相當{1}的魔法傷害。
RepechagePopupTitle,탈락 위기입니다!\n패자부활권을 사용해 탈락을 모면하세요!,Default Text,탈락 위기입니다!\n패자부활권을 사용해 탈락을 모면하세요!,You are in danger of being eliminated!\nUse a Consolation Match Ticket to avoid failing!,¡Te están por eliminar!\n¡Usa un boleto de partida de consuelo para evitar fallar!,你快被淘汰了！\n使用败者复活券扭转局势，避免淘汰吧！,淘汰危機！\n請使用復活券避免被淘汰！
SkillDesc_Active_C10013,다음 기본 공격이 {0}({1}+{2})만큼의 추가 물리 피해를 입힙니다.,Default Text,다음 기본 공격이 {0}({1}+{2})만큼의 추가 물리 피해를 입힙니다.,The next basic attack will deal {0} ({1}+{2}) extra Physical Damage.,En el próximo ataque básico inflige {0} ({1}+{2}) de Daño físico adicional.,下一次普通攻击会额外造成{0}（{1}+{2}）物理伤害。,下次基本攻擊造成{0}({1}+{2})的追加物理傷害。
PurchaseOnlyOne,둘 중 하나만 구매 가능,Default Text,둘 중 하나만 구매 가능,Only one can be purchased,Solo se puede comprar uno,两件中仅可购买一件,兩者擇一購買
PlayerEXP_Desc,"경험치를 모으고, 감독 레벨을 올리세요. 레벨이 오르면 시럽, 코치, 패자부활권, 챌린지 모드 입장 권한 등을 보상으로 얻습니다!",Default Text,"경험치를 모으고, 감독 레벨을 올리세요. 레벨이 오르면 시럽, 코치, 패자부활권, 챌린지 모드 입장 권한 등을 보상으로 얻습니다!","Earn EXP and increase your Director Level. As your level increases, you will get Syrup, Coaches, Consolation Match Tickets, and Challenge Mode entries as a reward!","Gana EXP y aumenta tu nivel de director. ¡A medida que aumente tu nivel, recibirás jarabe, entrenadores, boletos de partidas de consuelo y entradas al modo desafío como premio!",积累经验值，提升主教练等级！每次升级都能获得奖励，其中包括糖浆、教练、败者复活券、挑战模式入场权限等！,累積經驗值，提升監督等級吧。等級提升後，將獲得糖漿、教練、復活券、挑戰模式入場權限等獎勵！
