id,name,description,ruid,offsetX,offsetY,wealthType,price,rewardType,rewardId,limitPurchaseCount,mapFilter
31,포도알 펜던트 제작 레시피,노멀 목걸이인 포도알 펜던트 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1000,item,100_000112,0,1
32,오닉스 펜던트 제작 레시피,노멀 목걸이인 오닉스 펜던트 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1000,item,100_000113,0,"1,2"
33,호루스의 눈 제작 레시피,레어 목걸이인 호루스의 눈 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1500,item,100_000114,0,2
34,레볼루션 펜던트 제작 레시피,레어 목걸이인 레볼루션 펜던트 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1500,item,100_000115,0,"2,3"
35,템페스트 펜던트 제작 레시피,에픽 목걸이인 템페스트 펜던트 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2000,item,100_000116,0,"3,4"
36,얼티밋 펜던트 제작 레시피,에픽 목걸이인 얼티밋 펜던트 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2000,item,100_000117,0,"4,5"
37,미스틱 펜던트 제작 레시피,유니크 목걸이인 미스틱 펜던트 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2500,item,100_000118,0,"5,6"
38,매커네이터 펜던트 제작 레시피,유니크 목걸이인 매커네이터 펜던트 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2500,item,100_000119,0,"6,7"
39,타임리스 펜던트 제작 레시피,레전더리 목걸이인 타임리스 펜던트 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2750,item,100_000120,0,"7,8"
40,데이브레이크 펜던트 제작 레시피,레전더리 목걸이인 데이브레이크 펜던트 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2750,item,100_000121,0,8
41,하급 연마제,일반 또는 레어 장신구와 마법석 제작에 사용됩니다.,551a0f42e72e4eea8d0e19ae572e78f7,,,FieldGem,700,item,100_000088,0,
42,중급 연마제,레어 또는 에픽 장신구 제작에 사용됩니다.,73a5179e581d486b9d67c15edffcae64,,,FieldGem,800,item,100_000089,0,
43,고급 연마제,유니크 장신구 제작에 사용됩니다.,d85da773fb7046429fdae1fe2d126b72,,,FieldGem,900,item,100_000090,0,
44,최고급 연마제,레전더리 장신구 제작에 사용됩니다.,9ccc9e7908f34658bea063aa789f774c,,,FieldGem,1000,item,100_000091,0,
45,낡은 두루마리,노멀 장신구 계승 주문서를 제작하는 데 사용됩니다.,a43d9b1794a54b2aa48ed84f2c61f768,,,FieldGem,200,item,100_000083,0,
46,초급 두루마리,레어 장신구 계승 주문서를 제작하는 데 사용됩니다.,292663a8b8244144ac1491bdc3da107b,,,FieldGem,4000,item,100_000084,0,
47,중급 두루마리,에픽 장신구 계승 주문서를 제작하는 데 사용됩니다.,4c1273f109bf4fde9caedef310c301e5,,,FieldGem,6000,item,100_000085,0,
48,상급 두루마리,유니크 장신구 계승 주문서를 제작하는 데 사용됩니다.,ec172b1a5c4b4859a2440cd193f035d0,,,FieldGem,8000,item,100_000086,0,
49,최상급 두루마리,레전더리 장신구 계승 주문서를 제작하는 데 사용됩니다.,5332ebe4ae274710980905c80c3b6d82,,,FieldGem,10000,item,100_000087,0,
50,하급 유리병,하급 물약을 제작하는 데 사용됩니다.,6f5edddb6be8450aba87132ceb4af073,,,FieldGem,20,item,100_000061,0,
51,중급 유리병,중급 물약을 제작하는 데 사용됩니다.,5e716107f0b54014bba94016feee7a90,,,FieldGem,50,item,100_000062,0,
52,고급 유리병,고급 물약을 제작하는 데 사용됩니다.,f8b38031343449698f408bec60bb841f,,,FieldGem,100,item,100_000063,0,
53,최고급 유리병,최고급 물약을 제작하는 데 사용됩니다.,a6dd02dda27a47b0996e032ddec1e14a,,,FieldGem,500,item,100_000064,0,
54,황금 망치 레시피,황금 망치 제작에 사용됩니다.,723c97d7136549ca983bbb842fe0baca,,,FieldGem,1000,item,100_000132,0,
55,숲의 물약 레시피,숲의 물약을 만들 때 사용하는 노멀 등급의 레시피입니다.,6518f3ea8a3e4f1595dfdf7e920f34d3,,,FieldGem,200,item,100_000144,0,
56,우거진 숲의 물약 레시피,우거진 숲의 물약을 만들 때 사용하는 레어 등급의 레시피입니다.,0371a4b768274e8195ed499d96588c5f,,,FieldGem,500,item,100_000145,0,
57,사막의 물약 레시피,사막의 물약을 만들 때 사용하는 노멀 등급의 레시피입니다.,6518f3ea8a3e4f1595dfdf7e920f34d3,,,FieldGem,300,item,100_000146,0,
58,황량한 사막의 물약 레시피,황량한 사막의 물약을 만들 때 사용하는 레어 등급의 레시피입니다.,0371a4b768274e8195ed499d96588c5f,,,FieldGem,600,item,100_000147,0,
59,해적의 물약 레시피,해적의 물약을 만들 때 사용하는 노멀 등급의 레시피입니다.,6518f3ea8a3e4f1595dfdf7e920f34d3,,,FieldGem,200,item,100_000148,0,
60,거친 해적의 물약 레시피,거친 해적의 물약을 만들 때 사용하는 레어 등급의 레시피입니다.,0371a4b768274e8195ed499d96588c5f,,,FieldGem,300,item,100_000149,0,
61,공장의 물약 레시피,공장의 물약을 만들 때 사용하는 노멀 등급의 레시피입니다.,6518f3ea8a3e4f1595dfdf7e920f34d3,,,FieldGem,600,item,100_000150,0,
62,과부하된 공장의 물약 레시피,과부하된 공장의 물약을 만들 때 사용하는 레어 등급의 레시피입니다.,0371a4b768274e8195ed499d96588c5f,,,FieldGem,1300,item,100_000151,0,
63,쿠키의 물약 레시피,쿠키의 물약을 만들 때 사용하는 노멀 등급의 레시피입니다.,6518f3ea8a3e4f1595dfdf7e920f34d3,,,FieldGem,300,item,100_000152,0,
64,달콤한 쿠키의 물약 레시피,달콤한 쿠키의 물약을 만들 때 사용하는 레어 등급의 레시피입니다.,0371a4b768274e8195ed499d96588c5f,,,FieldGem,600,item,100_000153,0,
65,겨울의 물약 레시피,겨울의 물약을 만들 때 사용하는 노멀 등급의 레시피입니다.,6518f3ea8a3e4f1595dfdf7e920f34d3,,,FieldGem,700,item,100_000154,0,
66,혹독한 겨울의 물약 레시피,혹독한 겨울의 물약을 만들 때 사용하는 레어 등급의 레시피입니다.,0371a4b768274e8195ed499d96588c5f,,,FieldGem,1200,item,100_000155,0,
67,신전의 물약 레시피,신전의 물약을 만들 때 사용하는 노멀 등급의 레시피입니다.,6518f3ea8a3e4f1595dfdf7e920f34d3,,,FieldGem,1500,item,100_000156,0,
68,신비한 신전의 물약 레시피,신비한 신전의 물약을 만들 때 사용하는 레어 등급의 레시피입니다.,0371a4b768274e8195ed499d96588c5f,,,FieldGem,2500,item,100_000157,0,
69,온천의 물약 레시피,온천의 물약을 만들 때 사용하는 노멀 등급의 레시피입니다.,6518f3ea8a3e4f1595dfdf7e920f34d3,,,FieldGem,700,item,100_000158,0,
70,뜨끈한 온천의 물약 레시피,뜨끈한 온천의 물약을 만들 때 사용하는 레어 등급의 레시피입니다.,0371a4b768274e8195ed499d96588c5f,,,FieldGem,1200,item,100_000159,0,
