id,bundleId,bundleType,bundleDescription,itemType,itemId,itemNum
44,19,free,(구) 출석 2일차 보상,item,6_000002,5
45,19,free,(구) 출석 2일차 보상,weaponScroll,　,3
46,20,free,(구) 출석 3일차 보상,diamond,　,100
47,20,free,(구) 출석 3일차 보상,item,6_000002,5
48,20,free,(구) 출석 3일차 보상,essence,　,1
49,21,free,(구) 출석 4일차 보상,diamond,　,100
50,21,free,(구) 출석 4일차 보상,item,6_000002,5
51,21,free,(구) 출석 4일차 보상,item,6_000001,1
52,22,free,(구) 출석 5일차 보상,diamond,　,100
53,22,free,(구) 출석 5일차 보상,item,6_000002,10
54,23,free,(구) 출석 6일차 보상,diamond,　,100
55,23,free,(구) 출석 6일차 보상,item,6_000002,10
56,24,free,(구) 출석 7일차 보상,diamond,　,200
57,24,free,(구) 출석 7일차 보상,item,6_000002,5
58,24,free,(구) 출석 7일차 보상,item,6_000001,3
59,25,free,신규 유저 지원 패키지,diamond,　,300
60,25,free,신규 유저 지원 패키지,item,6_000003,1
61,25,free,신규 유저 지원 패키지,item,5_000071,1
62,25,free,신규 유저 지원 패키지,item,5_000072,1
63,26,cash,초보자 패키지 1,item,3_000002,5
64,26,cash,초보자 패키지 1,item,6_000018,1
65,26,cash,초보자 패키지 1,item,2_102002,1
66,26,cash,초보자 패키지 1,item,2_201002,1
67,26,cash,초보자 패키지 1,item,2_302002,1
68,26,cash,초보자 패키지 1,item,2_401002,1
69,26,cash,초보자 패키지 1,meso,　,2000
70,26,cash,초보자 패키지 1,essence,　,5
71,26,cash,초보자 패키지 1,weaponScroll,　,40
72,27,cash,전투 패키지 1,item,3_000004,5
73,27,cash,전투 패키지 1,item,6_000019,1
74,27,cash,전투 패키지 1,item,2_102004,1
75,27,cash,전투 패키지 1,item,2_201004,1
76,27,cash,전투 패키지 1,item,2_302004,1
77,27,cash,전투 패키지 1,item,2_401004,1
78,27,cash,전투 패키지 1,meso,　,40000
79,27,cash,전투 패키지 1,essence,　,100
80,27,cash,전투 패키지 1,weaponScroll,　,800
81,28,cash,숙련 패키지 1,item,3_000007,5
82,28,cash,숙련 패키지 1,item,6_000020,1
83,28,cash,숙련 패키지 1,item,2_102006,1
84,28,cash,숙련 패키지 1,item,2_201006,1
85,28,cash,숙련 패키지 1,item,2_302006,1
86,28,cash,숙련 패키지 1,item,2_401006,1
87,28,cash,숙련 패키지 1,meso,　,10000000
88,28,cash,숙련 패키지 1,essence,　,2000
89,28,cash,숙련 패키지 1,weaponScroll,　,14000
90,29,cash,방어구 성장 패키지 (숲),weaponScroll,　,15
91,29,cash,방어구 성장 패키지 (숲),item,6_000002,5
92,29,cash,방어구 성장 패키지 (숲),meso,　,5000
93,30,cash,방어구 성장 패키지 (사막),weaponScroll,　,65
94,30,cash,방어구 성장 패키지 (사막),item,6_000002,5
95,30,cash,방어구 성장 패키지 (사막),meso,　,30000
96,31,cash,방어구 성장 패키지 (해적),weaponScroll,　,155
97,31,cash,방어구 성장 패키지 (해적),item,6_000002,10
98,31,cash,방어구 성장 패키지 (해적),meso,　,100000
99,32,cash,방어구 성장 패키지 (공장),weaponScroll,　,290
100,32,cash,방어구 성장 패키지 (공장),item,6_000002,10
101,32,cash,방어구 성장 패키지 (공장),meso,　,250000
102,33,cash,방어구 성장 패키지 (쿠키),weaponScroll,　,460
103,33,cash,방어구 성장 패키지 (쿠키),item,6_000002,15
104,33,cash,방어구 성장 패키지 (쿠키),meso,　,450000
105,34,cash,방어구 성장 패키지 (겨울),weaponScroll,　,675
106,34,cash,방어구 성장 패키지 (겨울),item,6_000002,15
107,34,cash,방어구 성장 패키지 (겨울),meso,　,700000
108,35,cash,방어구 성장 패키지 (신전),weaponScroll,　,925
109,35,cash,방어구 성장 패키지 (신전),item,6_000002,20
110,35,cash,방어구 성장 패키지 (신전),meso,　,1000000
111,36,cash,소울 성장 패키지 (숲),essence,　,10
112,36,cash,소울 성장 패키지 (숲),item,6_000002,10
113,36,cash,소울 성장 패키지 (숲),meso,　,20000
114,37,cash,소울 성장 패키지 (사막),essence,　,30
115,37,cash,소울 성장 패키지 (사막),item,6_000002,10
116,37,cash,소울 성장 패키지 (사막),meso,　,150000
117,38,cash,소울 성장 패키지 (해적),essence,　,80
118,38,cash,소울 성장 패키지 (해적),item,6_000002,20
119,38,cash,소울 성장 패키지 (해적),meso,　,450000
120,39,cash,소울 성장 패키지 (공장),essence,　,130
121,39,cash,소울 성장 패키지 (공장),item,6_000002,20
122,39,cash,소울 성장 패키지 (공장),meso,　,1000000
123,40,cash,소울 성장 패키지 (쿠키),essence,　,230
124,40,cash,소울 성장 패키지 (쿠키),item,6_000002,30
125,40,cash,소울 성장 패키지 (쿠키),meso,　,1800000
126,41,cash,소울 성장 패키지 (겨울),essence,　,340
127,41,cash,소울 성장 패키지 (겨울),item,6_000002,30
128,41,cash,소울 성장 패키지 (겨울),meso,　,2300000
129,42,cash,소울 성장 패키지 (신전),essence,　,460
130,42,cash,소울 성장 패키지 (신전),item,6_000002,40
131,42,cash,소울 성장 패키지 (신전),meso,　,4200000
132,43,free,한계의 땅 주간 돌파 보상 (5 웨이브),diamond,　,20
133,43,free,한계의 땅 주간 돌파 보상 (5 웨이브),item,6_000002,1
134,44,free,한계의 땅 주간 돌파 보상 (10 웨이브),diamond,　,20
135,44,free,한계의 땅 주간 돌파 보상 (10 웨이브),item,6_000002,1
136,45,free,한계의 땅 주간 돌파 보상 (15 웨이브),diamond,　,50
137,45,free,한계의 땅 주간 돌파 보상 (15 웨이브),item,6_000002,1
138,46,free,한계의 땅 주간 돌파 보상 (20 웨이브),diamond,　,50
139,46,free,한계의 땅 주간 돌파 보상 (20 웨이브),item,6_000002,1
140,47,free,한계의 땅 주간 돌파 보상 (25 웨이브),diamond,　,80
141,47,free,한계의 땅 주간 돌파 보상 (25 웨이브),item,6_000002,1
142,48,free,한계의 땅 주간 돌파 보상 (30 웨이브),diamond,　,80
143,48,free,한계의 땅 주간 돌파 보상 (30 웨이브),item,6_000002,2
144,49,free,한계의 땅 주간 돌파 보상 (35 웨이브),diamond,　,100
145,49,free,한계의 땅 주간 돌파 보상 (35 웨이브),item,6_000002,2
146,50,free,한계의 땅 주간 돌파 보상 (40 웨이브),diamond,　,100
147,50,free,한계의 땅 주간 돌파 보상 (40 웨이브),item,6_000002,2
148,51,free,한계의 땅 주간 돌파 보상 (45 웨이브),diamond,　,100
149,51,free,한계의 땅 주간 돌파 보상 (45 웨이브),item,6_000002,2
150,52,free,한계의 땅 주간 돌파 보상 (50 웨이브),diamond,　,100
151,52,free,한계의 땅 주간 돌파 보상 (50 웨이브),item,6_000002,3
152,53,free,한계의 땅 주간 돌파 보상 (55 웨이브),diamond,　,150
153,53,free,한계의 땅 주간 돌파 보상 (55 웨이브),item,6_000002,3
154,54,free,한계의 땅 주간 돌파 보상 (60 웨이브),diamond,　,150
155,54,free,한계의 땅 주간 돌파 보상 (60 웨이브),item,6_000002,3
156,55,free,한계의 땅 주간 돌파 보상 (65 웨이브),diamond,　,150
157,55,free,한계의 땅 주간 돌파 보상 (65 웨이브),item,6_000002,3
158,56,free,한계의 땅 주간 돌파 보상 (70 웨이브),diamond,　,250
159,56,free,한계의 땅 주간 돌파 보상 (70 웨이브),item,6_000002,5
160,57,free,한계의 땅 주간 랭킹 보상 - 1000위 이내,diamond,　,500
161,58,cash,방어구 성장 패키지 1,weaponScroll,　,400
162,58,cash,방어구 성장 패키지 1,item,6_000002,10
163,58,cash,방어구 성장 패키지 1,meso,　,5000
164,59,cash,방어구 성장 패키지 2,weaponScroll,　,2800
165,59,cash,방어구 성장 패키지 2,item,6_000002,15
166,59,cash,방어구 성장 패키지 2,meso,　,100000
167,60,cash,방어구 성장 패키지 3,weaponScroll,　,16000
168,60,cash,방어구 성장 패키지 3,item,6_000002,20
169,60,cash,방어구 성장 패키지 3,meso,　,1500000
170,61,cash,소울 성장 패키지 1,essence,　,100
171,61,cash,소울 성장 패키지 1,item,6_000002,10
172,61,cash,소울 성장 패키지 1,meso,　,20000
173,62,cash,소울 성장 패키지 2,essence,　,700
174,62,cash,소울 성장 패키지 2,item,6_000002,15
175,62,cash,소울 성장 패키지 2,meso,　,400000
176,63,cash,소울 성장 패키지 3,essence,　,4000
177,63,cash,소울 성장 패키지 3,item,6_000002,20
178,63,cash,소울 성장 패키지 3,meso,　,6000000
179,64,cash,초보자 패키지 2,item,3_000003,5
180,64,cash,초보자 패키지 2,item,6_000018,1
181,64,cash,초보자 패키지 2,item,2_102002,1
182,64,cash,초보자 패키지 2,item,2_201002,1
183,64,cash,초보자 패키지 2,item,2_302002,1
184,64,cash,초보자 패키지 2,item,2_401002,1
185,64,cash,초보자 패키지 2,meso,　,10000
186,64,cash,초보자 패키지 2,essence,　,30
187,64,cash,초보자 패키지 2,weaponScroll,　,400
188,65,cash,초보자 패키지 3,item,3_000003,10
189,65,cash,초보자 패키지 3,item,6_000018,2
190,65,cash,초보자 패키지 3,item,2_102003,1
191,65,cash,초보자 패키지 3,item,2_201003,1
192,65,cash,초보자 패키지 3,item,2_302003,1
193,65,cash,초보자 패키지 3,item,2_401003,1
194,65,cash,초보자 패키지 3,meso,　,25000
195,65,cash,초보자 패키지 3,essence,　,80
196,65,cash,초보자 패키지 3,weaponScroll,　,600
197,66,free,출석 1일차 보상,diamond,　,200
198,66,free,출석 1일차 보상,item,6_000002,5
199,66,free,출석 1일차 보상,meso,　,3000
200,67,free,출석 2일차 보상,diamond,　,200
201,67,free,출석 2일차 보상,item,6_000002,5
202,67,free,출석 2일차 보상,weaponScroll,　,3
203,68,free,출석 3일차 보상,diamond,　,200
204,68,free,출석 3일차 보상,item,6_000002,5
205,68,free,출석 3일차 보상,essence,　,1
206,69,free,출석 4일차 보상,diamond,　,200
207,69,free,출석 4일차 보상,item,6_000002,5
208,69,free,출석 4일차 보상,item,6_000001,1
209,70,free,출석 5일차 보상,diamond,　,200
210,70,free,출석 5일차 보상,item,6_000002,10
211,71,free,출석 6일차 보상,diamond,　,200
212,71,free,출석 6일차 보상,item,6_000002,10
213,72,free,출석 7일차 보상,diamond,　,300
214,72,free,출석 7일차 보상,item,6_000002,5
215,72,free,출석 7일차 보상,item,6_000001,3
226,73,cash,전투 패키지 2,item,3_000005,5
227,73,cash,전투 패키지 2,item,6_000019,2
228,73,cash,전투 패키지 2,item,2_102005,1
229,73,cash,전투 패키지 2,item,2_201005,1
230,73,cash,전투 패키지 2,item,2_302005,1
231,73,cash,전투 패키지 2,item,2_401005,1
232,73,cash,전투 패키지 2,meso,,500000
233,73,cash,전투 패키지 2,essence,,650
234,73,cash,전투 패키지 2,weaponScroll,,9000
235,74,cash,숙련 패키지 2,item,3_000008,5
236,74,cash,숙련 패키지 2,item,6_000020,2
237,74,cash,숙련 패키지 2,item,2_102007,1
238,74,cash,숙련 패키지 2,item,2_201007,1
239,74,cash,숙련 패키지 2,item,2_302007,1
240,74,cash,숙련 패키지 2,item,2_401007,1
241,74,cash,숙련 패키지 2,meso,,32000000
242,74,cash,숙련 패키지 2,essence,,8000
243,74,cash,숙련 패키지 2,weaponScroll,,85000
244,75,free,한계의 땅 주간 돌파 보상 (75 웨이브),diamond,　,250
245,75,free,한계의 땅 주간 돌파 보상 (75 웨이브),item,6_000002,5
246,76,free,한계의 땅 주간 돌파 보상 (80 웨이브),diamond,　,250
247,76,free,한계의 땅 주간 돌파 보상 (80 웨이브),item,6_000002,5
248,77,free,일일 미션 전체 완료 보상,item,6_000001,5
249,77,free,일일 미션 전체 완료 보상,diamond,,80
250,78,free,주간 미션 전체 완료 보상,item,6_000001,15
251,78,free,주간 미션 전체 완료 보상,diamond,,200
252,79,free,설날 출석 1일차 보상,item,6_000045,1
253,79,free,설날 출석 1일차 보상,item,6_000002,10
254,79,free,설날 출석 1일차 보상,item,9_000016,200
255,79,free,설날 출석 1일차 보상,diamond,,300
256,80,free,설날 출석 2일차 보상,item,6_000045,1
257,80,free,설날 출석 2일차 보상,item,6_000002,10
258,80,free,설날 출석 2일차 보상,item,9_000016,200
259,80,free,설날 출석 2일차 보상,diamond,,300
260,81,free,설날 출석 3일차 보상,item,6_000045,1
261,81,free,설날 출석 3일차 보상,item,6_000047,5
262,81,free,설날 출석 3일차 보상,item,9_000016,200
263,81,free,설날 출석 3일차 보상,diamond,,300
264,82,free,설날 출석 4일차 보상,item,6_000045,1
265,82,free,설날 출석 4일차 보상,item,6_000049,5
266,82,free,설날 출석 4일차 보상,item,9_000016,200
267,82,free,설날 출석 4일차 보상,diamond,,300
268,83,free,설날 출석 5일차 보상,item,6_000045,1
269,83,free,설날 출석 5일차 보상,item,6_000048,5
270,83,free,설날 출석 5일차 보상,item,9_000016,200
271,83,free,설날 출석 5일차 보상,diamond,,300
272,84,free,설날 출석 6일차 보상,item,6_000045,1
273,84,free,설날 출석 6일차 보상,item,6_000050,5
274,84,free,설날 출석 6일차 보상,item,9_000016,200
275,84,free,설날 출석 6일차 보상,diamond,,300
276,85,free,설날 출석 7일차 보상,item,6_000045,1
277,85,free,설날 출석 7일차 보상,item,6_000050,5
278,85,free,설날 출석 7일차 보상,item,9_000016,200
279,85,free,설날 출석 7일차 보상,pet,2_001,1
280,85,free,설날 출석 7일차 보상,diamond,,300
281,86,free,연 날리기 이벤트 일반 여의주,diamond,,100
282,87,free,연 날리기 이벤트 특별 여의주,diamond,,2024
283,88,free,2/7 미션 초기화 시점 개선 보상,diamond,,650
284,88,free,2/7 미션 초기화 시점 개선 보상,item,6_000001,20
