id,name,mergeLevel,grade,sellingPrice,buyingPrice,category,detailCategory,mergePercent,maxLevel,nextEquipment,effectSound,minLevel,mergeGroup,mergeId,maxStar,star,scale,ruid,ruid_pc_only,outglow
1_003002,fireStaff02,2,rare,800,0,weapon,,100000,5,1_003003,0a658c2cc44243d68e8f572e7b177d68,2,3,1_003001,4,0,2,f8d2686ac3f5422d8204ecc5092d3e96,e108ae3620824401996b0f7a7bbaf3c4,
1_003003,fireStaff03,3,epic,6400,0,weapon,,100000,13,1_003004,0a658c2cc44243d68e8f572e7b177d68,6,3,1_003001,4,0,2,8f7a88825c4849eebbcd950649413636,6f1d2bf0c6a14ca1b1df3c40c4f030ac,
1_003004,fireStaff04,4,unique,102400,0,weapon,,100000,29,1_003005,0a658c2cc44243d68e8f572e7b177d68,14,3,1_003001,4,0,2,771d7909ccae4f5cae30fac6f3424a9a,0a562c84d2414969a05a46885e8bbfa8,
1_003005,fireStaff05,5,legendary,3276800,0,weapon,,100000,50,,0a658c2cc44243d68e8f572e7b177d68,30,3,1_003001,4,0,2,71de20010bc44b16a64dd1af68aa93cd,8d29f8388ab8478dbcedcfa072f3fb94,
1_004001,polearm01,1,normal,200,0,weapon,,100000,1,1_004002,393ccc35eeef45eea92b9d66fdbc45b9,1,4,1_004001,4,0,2,,,
1_004002,polearm02,2,rare,800,0,weapon,,100000,5,1_004003,393ccc35eeef45eea92b9d66fdbc45b9,2,4,1_004001,4,0,2,,,
1_004003,polearm03,3,epic,6400,0,weapon,,100000,13,1_004004,393ccc35eeef45eea92b9d66fdbc45b9,6,4,1_004001,4,0,2,,,
1_004004,polearm04,4,unique,102400,0,weapon,,100000,29,1_004005,393ccc35eeef45eea92b9d66fdbc45b9,14,4,1_004001,4,0,2,,,
1_004005,polearm05,5,legendary,3276800,0,weapon,,100000,50,,393ccc35eeef45eea92b9d66fdbc45b9,30,4,1_004001,4,0,2,,,
1_005001,bow01,1,normal,200,0,weapon,,100000,1,1_005002,1bef9ea35b4b4837b73537c2033ba197,1,5,1_005001,4,0,2,c539bc3d534149359ebea706c7a1eaf6,98bc6871d6cc4f6d991c54c6ef07ee92,
1_005002,bow02,2,rare,800,0,weapon,,100000,5,1_005003,1bef9ea35b4b4837b73537c2033ba197,2,5,1_005001,4,0,2,72b3d748a26040e4a670da2d7efb4987,d58a7ea6cdae4c22bf1aae1fe291010e,
1_005003,bow03,3,epic,6400,0,weapon,,100000,13,1_005004,1bef9ea35b4b4837b73537c2033ba197,6,5,1_005001,4,0,2,be4b4258f2fc4e86a953a73092225649,2c850f0d3fb742e984a41943f24b0e1b,
1_005004,bow04,4,unique,102400,0,weapon,,100000,29,1_005005,1bef9ea35b4b4837b73537c2033ba197,14,5,1_005001,4,0,2,8112f2b06f8c4ab5acced156ad9c6c04,b7c1bd1ad0b749c89c22941b1dc0a148,
1_005005,bow05,5,legendary,3276800,0,weapon,,100000,50,,1bef9ea35b4b4837b73537c2033ba197,30,5,1_005001,4,0,2,a3e3ddbf04264027beebea8054841ceb,29f4207deba0486dbbd462807e04642e,
1_006001,fan01,1,normal,200,0,weapon,,100000,1,1_006002,2386cafd38144496a28882a12efeb016,1,6,1_006001,4,0,2,67511069ac6d442a89b5ac36e6c62fcf,ee69e79a44f0497c815198137ed09071,c8954b3b0d764e8ebb3747e50f47aa55
1_006002,fan02,2,rare,800,0,weapon,,100000,5,1_006003,2386cafd38144496a28882a12efeb016,2,6,1_006001,4,0,2,c2ceb49c177b4c9387ff2977d65cf3f7,ed044b8019234f5d93a7ae0d9e6cf93e,d42451f898084221ad72b6205400aab6
1_006003,fan03,3,epic,6400,0,weapon,,100000,13,1_006004,2386cafd38144496a28882a12efeb016,6,6,1_006001,4,0,2,43401a49d61e4687b6a6b6a95ee7148f,b46919044bce4aa6b888682b0561b294,2f1eae680b964aa8999b56296bd83709
1_006004,fan04,4,unique,102400,0,weapon,,100000,29,1_006005,2386cafd38144496a28882a12efeb016,14,6,1_006001,4,0,2,64ca8473b700415292530625c9847d4a,23197089ebac4c92b978cfaaf4331298,3288266055104adbaccf14f1f17a4e17
1_006005,fan05,5,legendary,3276800,0,weapon,,100000,50,,2386cafd38144496a28882a12efeb016,30,6,1_006001,4,0,2,7e5d9ecd90c7483ea890faacca74dc88,5e71e713747f45b483385a7f1d7ce2c5,201d6239f6434e02a266c1a2d2be6fd6
1_007001,demonSword01,1,normal,200,0,weapon,,100000,1,1_007002,,1,7,1_007001,4,0,2,3e06cb70335e407dbe190117345e7375,29be127fd34f48c8b2c00600a00cb471,
1_007002,demonSword02,2,rare,800,0,weapon,,100000,5,1_007003,,2,7,1_007001,4,0,2,7593a46f6c774030b67db570ad34307a,03e4986e8b86419d9b9ee604c14058ba,
1_007003,demonSword03,3,epic,6400,0,weapon,,100000,13,1_007004,,6,7,1_007001,4,0,2,5c419e4e006e4b37b4738f7293b3197a,b4205df9575841bf9eec48f7fc399656,
1_007004,demonSword04,4,unique,102400,0,weapon,,100000,29,1_007005,,14,7,1_007001,4,0,2,ee3d08daa3164da3a08caaa7642df98f,4f443fc720c64a27874a73bbc5d3d19e,
1_007005,demonSword05,5,legendary,3276800,0,weapon,,100000,50,,,30,7,1_007001,4,0,2,9c0ef8c6cc9c4189979e263f7c9c3409,455a174eef294475a61634baad5552dc,
1_008001,cannon01,1,normal,200,0,weapon,,100000,1,1_008002,69107b23a3264b62a11db04d3b93a13c,1,8,1_008001,4,0,2,,,
1_008002,cannon02,2,rare,800,0,weapon,,100000,5,1_008003,69107b23a3264b62a11db04d3b93a13c,2,8,1_008001,4,0,2,,,
1_008003,cannon03,3,epic,6400,0,weapon,,100000,13,1_008004,69107b23a3264b62a11db04d3b93a13c,6,8,1_008001,4,0,2,,,
1_008004,cannon04,4,unique,102400,0,weapon,,100000,29,1_008005,69107b23a3264b62a11db04d3b93a13c,14,8,1_008001,4,0,2,,,
1_008005,cannon05,5,legendary,3276800,0,weapon,,100000,50,,69107b23a3264b62a11db04d3b93a13c,30,8,1_008001,4,0,2,,,
1_009001,breathShooter01,1,normal,200,0,weapon,,100000,1,1_009002,69107b23a3264b62a11db04d3b93a13c,1,9,1_009001,4,0,2,,,
1_009002,breathShooter02,2,rare,800,0,weapon,,100000,5,1_009003,69107b23a3264b62a11db04d3b93a13c,2,9,1_009001,4,0,2,,,
1_009003,breathShooter03,3,epic,6400,0,weapon,,100000,13,1_009004,69107b23a3264b62a11db04d3b93a13c,6,9,1_009001,4,0,2,,,
1_009004,breathShooter04,4,unique,102400,0,weapon,,100000,29,1_009005,69107b23a3264b62a11db04d3b93a13c,14,9,1_009001,4,0,2,,,
1_009005,breathShooter05,5,legendary,3276800,0,weapon,,100000,50,,69107b23a3264b62a11db04d3b93a13c,30,9,1_009001,4,0,2,,,
1_010001,lightningWand01,1,normal,200,0,weapon,,100000,1,1_010002,44d8048003ac4ed69097e98bcbdc7842,1,10,1_010001,4,0,1.5,4a635df90c784fa9aaff4a3ea774d6f3,346714d558a447c485659df4cf5f3f53,
1_010002,lightningWand02,2,rare,800,0,weapon,,100000,5,1_010003,44d8048003ac4ed69097e98bcbdc7842,2,10,1_010001,4,0,1.5,89d24bc80ba64ede8c2ea9b56484524a,0baacc959b6e49ba9746457ed554fa27,
1_010003,lightningWand03,3,epic,6400,0,weapon,,100000,13,1_010004,44d8048003ac4ed69097e98bcbdc7842,6,10,1_010001,4,0,1.5,0a1834a063a54a9c92aa74b2448c67c1,916b332fd77c422fb0cb7ca859e0f612,
1_010004,lightningWand04,4,unique,102400,0,weapon,,100000,29,1_010005,44d8048003ac4ed69097e98bcbdc7842,14,10,1_010001,4,0,1.5,24bb40493bef425797f88c9559f14009,74826fe3b8314ef5af8ba48eba74f1f6,
1_010005,lightningWand05,5,legendary,3276800,0,weapon,,100000,50,,44d8048003ac4ed69097e98bcbdc7842,30,10,1_010001,4,0,1.5,a6fd587994854b6caacc95c8aa37fc1c,6749d89ae4d94d14b9c1ae60fadb9259,
1_011001,soundShooter01,1,normal,200,0,weapon,,100000,1,1_011002,6f0de9a350f24663bcbe5a42d16ba994,1,11,1_011001,4,0,2,,,
1_011002,soundShooter02,2,rare,800,0,weapon,,100000,5,1_011003,6f0de9a350f24663bcbe5a42d16ba994,2,11,1_011001,4,0,2,,,
1_011003,soundShooter03,3,epic,6400,0,weapon,,100000,13,1_011004,6f0de9a350f24663bcbe5a42d16ba994,6,11,1_011001,4,0,2,,,
1_011004,soundShooter04,4,unique,102400,0,weapon,,100000,29,1_011005,6f0de9a350f24663bcbe5a42d16ba994,14,11,1_011001,4,0,2,,,
1_011005,soundShooter05,5,legendary,3276800,0,weapon,,100000,50,,6f0de9a350f24663bcbe5a42d16ba994,30,11,1_011001,4,0,2,,,
1_012001,chessPiece01,1,normal,200,0,weapon,,100000,1,1_012002,ca4f802052184c0ba47f6971fde80bd0,1,12,1_012001,4,0,1.5,,,
1_012002,chessPiece02,2,rare,800,0,weapon,,100000,5,1_012003,ca4f802052184c0ba47f6971fde80bd0,2,12,1_012001,4,0,1.5,,,
1_012003,chessPiece03,3,epic,6400,0,weapon,,100000,13,1_012004,ca4f802052184c0ba47f6971fde80bd0,6,12,1_012001,4,0,1.5,,,
1_012004,chessPiece04,4,unique,102400,0,weapon,,100000,29,1_012005,ca4f802052184c0ba47f6971fde80bd0,14,12,1_012001,4,0,1.5,,,
1_012005,chessPiece05,5,legendary,3276800,0,weapon,,100000,50,,ca4f802052184c0ba47f6971fde80bd0,30,12,1_012001,4,0,1.5,,,
1_013001,hammer01,1,normal,200,0,weapon,,100000,1,1_013002,396049e7a70c45688dc9d0f7bc3a47d0,1,13,1_013001,4,0,2,,,
1_013002,hammer02,2,rare,800,0,weapon,,100000,5,1_013003,396049e7a70c45688dc9d0f7bc3a47d0,2,13,1_013001,4,0,2,,,
1_013003,hammer03,3,epic,6400,0,weapon,,100000,13,1_013004,396049e7a70c45688dc9d0f7bc3a47d0,6,13,1_013001,4,0,2,,,
1_013004,hammer04,4,unique,102400,0,weapon,,100000,29,1_013005,396049e7a70c45688dc9d0f7bc3a47d0,14,13,1_013001,4,0,2,,,
1_013005,hammer05,5,legendary,3276800,0,weapon,,100000,50,,396049e7a70c45688dc9d0f7bc3a47d0,30,13,1_013001,4,0,2,,,
1_014001,birdBow01,1,normal,200,0,weapon,,100000,1,1_014002,410d432196b4429c8915aef1ac10f4f1,1,14,1_014001,4,0,1.5,5f7fb0261b814aad9f40ac5ff1a1954f,d68adee8448548fb83e99378979878ce,87d6f8d7232649bb9a895b55e5c57eb9
1_014002,birdBow02,2,rare,800,0,weapon,,100000,5,1_014003,410d432196b4429c8915aef1ac10f4f1,2,14,1_014001,4,0,1.5,e3292038a8ab49e994cdeb00d1d36a3b,b15a1c2dad2d479dbc163fbff1af0845,269d5b5489af4613993e8c5dc21594ec
1_014003,birdBow03,3,epic,6400,0,weapon,,100000,13,1_014004,410d432196b4429c8915aef1ac10f4f1,6,14,1_014001,4,0,1.5,fb2b1282a4764fb0a2710e57cdd830a0,e669b255e61942b68536843eaaa6e97d,b1a825ec8bfe4fd788a43b4043f1766c
1_014004,birdBow04,4,unique,102400,0,weapon,,100000,29,1_014005,410d432196b4429c8915aef1ac10f4f1,14,14,1_014001,4,0,1.5,bb21b818092d4c79a1d02d6199f825fb,c75a9d22b7f54c3689612fe64b91bfc1,d6fde48653704108bd7299cbeb58eb58
1_014005,birdBow05,5,legendary,3276800,0,weapon,,100000,50,,410d432196b4429c8915aef1ac10f4f1,30,14,1_014001,4,0,1.5,87226b2ea35e4bf69b004b94bcd7ad76,7a0d71809ffc41339773820f5ea488e5,f69a590ad5eb43ce85af014a4ff75f76
1_015001,dagger01,1,normal,200,0,weapon,,100000,1,1_015002,e307923af3d94f00afeba4eb0ef44f68,1,15,1_015001,4,0,2,,,
1_015002,dagger02,2,rare,800,0,weapon,,100000,5,1_015003,e307923af3d94f00afeba4eb0ef44f68,2,15,1_015001,4,0,2,,,
1_015003,dagger03,3,epic,6400,0,weapon,,100000,13,1_015004,e307923af3d94f00afeba4eb0ef44f68,6,15,1_015001,4,0,2,,,
1_015004,dagger04,4,unique,102400,0,weapon,,100000,29,1_015005,e307923af3d94f00afeba4eb0ef44f68,14,15,1_015001,4,0,2,,,
1_015005,dagger05,5,legendary,3276800,0,weapon,,100000,50,,e307923af3d94f00afeba4eb0ef44f68,30,15,1_015001,4,0,2,,,
2_101001,Helmet_Warrior,1,normal,200,0,armor,helmet,100000,10,2_101002,,1,101,2_101001,4,0,1.5,thumbnail://2b98d365fe424a749994fb98f0e2ab8e,,
2_101002,Helmet_Warrior,2,rare,800,0,armor,helmet,100000,20,2_101003,,10,101,2_101001,4,0,1.5,thumbnail://1cbb4e3ee8c2493d93a32cee1e0f9abd,,
2_101003,Helmet_Warrior,3,rare_1,6400,0,armor,helmet,100000,28,2_101004,,20,101,2_101001,4,1,1.5,thumbnail://1cbb4e3ee8c2493d93a32cee1e0f9abd,,
2_101004,Helmet_Warrior,4,epic,102400,0,armor,helmet,100000,36,2_101005,,28,101,2_101001,4,0,1.5,thumbnail://19874ef1dc374cdd9eab981d176fb6b4,,
2_101005,Helmet_Warrior,5,epic_1,3276800,0,armor,helmet,100000,44,2_101006,,36,101,2_101001,4,1,1.5,thumbnail://19874ef1dc374cdd9eab981d176fb6b4,,
2_101006,Helmet_Warrior,6,unique,200,0,armor,helmet,100000,52,2_101007,,44,102,2_102001,4,0,1.5,thumbnail://6e745317e4b64a67b70d7f4d4227d15c,,
2_101007,Helmet_Warrior,7,unique_1,800,0,armor,helmet,100000,60,2_101008,,52,102,2_102001,4,1,1.5,thumbnail://6e745317e4b64a67b70d7f4d4227d15c,,
2_101008,Helmet_Warrior,8,unique_2,6400,0,armor,helmet,100000,68,2_101009,,60,102,2_102001,4,2,1.5,thumbnail://6e745317e4b64a67b70d7f4d4227d15c,,
2_101009,Helmet_Warrior,9,legendary,102400,0,armor,helmet,100000,76,2_101010,,68,102,2_102001,4,0,1.5,thumbnail://cff79f326604462cbecfb6d7af8c30e1,,
2_101010,Helmet_Warrior,10,legendary_1,3276800,0,armor,helmet,100000,84,2_101011,,76,102,2_102001,4,1,1.5,thumbnail://cff79f326604462cbecfb6d7af8c30e1,,
2_101011,Helmet_Warrior,11,legendary_2,200,0,armor,helmet,100000,92,2_101012,,84,103,2_103001,4,2,1.5,thumbnail://cff79f326604462cbecfb6d7af8c30e1,,
2_101012,Helmet_Warrior,12,legendary_3,800,0,armor,helmet,100000,100,,,92,103,2_103001,4,3,1.5,thumbnail://cff79f326604462cbecfb6d7af8c30e1,,
2_102001,Helmet_Sniper,1,normal,6400,0,armor,helmet,100000,10,2_102002,,1,103,2_103001,4,0,1.5,thumbnail://71d91acf5acc4f21b7b23b259ed3d7a2,,
2_102002,Helmet_Sniper,2,rare,102400,0,armor,helmet,100000,20,2_102003,,10,103,2_103001,4,0,1.5,thumbnail://48c44ce512724270802df64235c49dc4,,
2_102003,Helmet_Sniper,3,rare_1,3276800,0,armor,helmet,100000,28,2_102004,,20,103,2_103001,4,1,1.5,thumbnail://48c44ce512724270802df64235c49dc4,,
2_102004,Helmet_Sniper,4,epic,200,0,armor,helmet,100000,36,2_102005,,28,104,2_104001,4,0,1.5,thumbnail://e86edb95d9934c4c9ebe8a233596ee77,,
2_102005,Helmet_Sniper,5,epic_1,800,0,armor,helmet,100000,44,2_102006,,36,104,2_104001,4,1,1.5,thumbnail://e86edb95d9934c4c9ebe8a233596ee77,,
2_102006,Helmet_Sniper,6,unique,6400,0,armor,helmet,100000,52,2_102007,,44,104,2_104001,4,0,1.5,thumbnail://f8b533047c8844b39eb5648b236e6ed9,,
2_102007,Helmet_Sniper,7,unique_1,102400,0,armor,helmet,100000,60,2_102008,,52,104,2_104001,4,1,1.5,thumbnail://f8b533047c8844b39eb5648b236e6ed9,,
2_102008,Helmet_Sniper,8,unique_2,3276800,0,armor,helmet,100000,68,2_102009,,60,104,2_104001,4,2,1.5,thumbnail://f8b533047c8844b39eb5648b236e6ed9,,
2_102009,Helmet_Sniper,9,legendary,200,0,armor,helmet,100000,76,2_102010,,68,105,2_105001,4,0,1.5,thumbnail://30a1928450fa4bf5bb09964716acbc1f,,
2_102010,Helmet_Sniper,10,legendary_1,800,0,armor,helmet,100000,84,2_102011,,76,105,2_105001,4,1,1.5,thumbnail://30a1928450fa4bf5bb09964716acbc1f,,
2_102011,Helmet_Sniper,11,legendary_2,6400,0,armor,helmet,100000,92,2_102012,,84,105,2_105001,4,2,1.5,thumbnail://30a1928450fa4bf5bb09964716acbc1f,,
2_102012,Helmet_Sniper,12,legendary_3,102400,0,armor,helmet,100000,100,,,92,105,2_105001,4,3,1.5,thumbnail://30a1928450fa4bf5bb09964716acbc1f,,
2_103001,Helmet_Shark,1,normal,3276800,0,armor,helmet,100000,10,2_103002,,1,105,2_105001,4,0,1.5,thumbnail://6d212427fa4b438998211244f33733f0,,
2_103002,Helmet_Shark,2,rare,200,0,armor,helmet,100000,20,2_103003,,10,201,2_201001,4,0,1.5,thumbnail://0516947e3f304b44963c445ada9d0806,,
2_103003,Helmet_Shark,3,rare_1,800,0,armor,helmet,100000,28,2_103004,,20,201,2_201001,4,1,1.5,thumbnail://0516947e3f304b44963c445ada9d0806,,
2_103004,Helmet_Shark,4,epic,6400,0,armor,helmet,100000,36,2_103005,,28,201,2_201001,4,0,1.5,thumbnail://282e749e638240ab9f7bfc711e1a757a,,
2_103005,Helmet_Shark,5,epic_1,102400,0,armor,helmet,100000,44,2_103006,,36,201,2_201001,4,1,1.5,thumbnail://282e749e638240ab9f7bfc711e1a757a,,
2_103006,Helmet_Shark,6,unique,3276800,0,armor,helmet,100000,52,2_103007,,44,201,2_201001,4,0,1.5,thumbnail://0bb495573d5e4d9ca16781a957833106,,
2_103007,Helmet_Shark,7,unique_1,200,0,armor,helmet,100000,60,2_103008,,52,202,2_202001,4,1,1.5,thumbnail://0bb495573d5e4d9ca16781a957833106,,
2_103008,Helmet_Shark,8,unique_2,800,0,armor,helmet,100000,68,2_103009,,60,202,2_202001,4,2,1.5,thumbnail://0bb495573d5e4d9ca16781a957833106,,
2_103009,Helmet_Shark,9,legendary,6400,0,armor,helmet,100000,76,2_103010,,68,202,2_202001,4,0,1.5,thumbnail://54365fb6ab06429496f62ebb5a8129d3,,
2_103010,Helmet_Shark,10,legendary_1,102400,0,armor,helmet,100000,84,2_103011,,76,202,2_202001,4,1,1.5,thumbnail://54365fb6ab06429496f62ebb5a8129d3,,
2_103011,Helmet_Shark,11,legendary_2,3276800,0,armor,helmet,100000,92,2_103012,,84,202,2_202001,4,2,1.5,thumbnail://54365fb6ab06429496f62ebb5a8129d3,,
2_103012,Helmet_Shark,12,legendary_3,200,0,armor,helmet,100000,100,,,92,203,2_203001,4,3,1.5,thumbnail://54365fb6ab06429496f62ebb5a8129d3,,
2_104001,Helmet_Angel,1,normal,800,0,armor,helmet,100000,10,2_104002,,1,203,2_203001,4,0,1.5,thumbnail://61445c814c3c41afa36ca02ee0c9a334,,
2_104002,Helmet_Angel,2,rare,6400,0,armor,helmet,100000,20,2_104003,,10,203,2_203001,4,0,1.5,thumbnail://c23ad9898d294552989659184c835775,,
2_104003,Helmet_Angel,3,rare_1,102400,0,armor,helmet,100000,28,2_104004,,20,203,2_203001,4,1,1.5,thumbnail://c23ad9898d294552989659184c835775,,
2_104004,Helmet_Angel,4,epic,3276800,0,armor,helmet,100000,36,2_104005,,28,203,2_203001,4,0,1.5,thumbnail://f0250c3e628046bc92755f96066efc8a,,
2_104005,Helmet_Angel,5,epic_1,200,0,armor,helmet,100000,44,2_104006,,36,204,2_204001,4,1,1.5,thumbnail://f0250c3e628046bc92755f96066efc8a,,
2_104006,Helmet_Angel,6,unique,800,0,armor,helmet,100000,52,2_104007,,44,204,2_204001,4,0,1.5,thumbnail://1cb70749254448b59d001f53e0b149e3,,
2_104007,Helmet_Angel,7,unique_1,6400,0,armor,helmet,100000,60,2_104008,,52,204,2_204001,4,1,1.5,thumbnail://1cb70749254448b59d001f53e0b149e3,,
2_104008,Helmet_Angel,8,unique_2,102400,0,armor,helmet,100000,68,2_104009,,60,204,2_204001,4,2,1.5,thumbnail://1cb70749254448b59d001f53e0b149e3,,
2_104009,Helmet_Angel,9,legendary,3276800,0,armor,helmet,100000,76,2_104010,,68,204,2_204001,4,0,1.5,thumbnail://f3e976b55662482b9f5d23dc39f9c93f,,
2_104010,Helmet_Angel,10,legendary_1,200,0,armor,helmet,100000,84,2_104011,,76,205,2_205001,4,1,1.5,thumbnail://f3e976b55662482b9f5d23dc39f9c93f,,
2_104011,Helmet_Angel,11,legendary_2,800,0,armor,helmet,100000,92,2_104012,,84,205,2_205001,4,2,1.5,thumbnail://f3e976b55662482b9f5d23dc39f9c93f,,
2_104012,Helmet_Angel,12,legendary_3,6400,0,armor,helmet,100000,100,,,92,205,2_205001,4,3,1.5,thumbnail://f3e976b55662482b9f5d23dc39f9c93f,,
2_201001,Suit_Martial,1,normal,102400,0,armor,suit,100000,10,2_201002,,1,205,2_205001,4,0,1.5,thumbnail://b65cd1ce99344dc197af10d0c806196f,,
2_201002,Suit_Martial,2,rare,3276800,0,armor,suit,100000,20,2_201003,,10,205,2_205001,4,0,1.5,thumbnail://6a7281865e104c2ebcb6f016e7240823,,
2_201003,Suit_Martial,3,rare_1,200,0,armor,suit,100000,28,2_201004,,20,301,2_301001,4,1,1.5,thumbnail://6a7281865e104c2ebcb6f016e7240823,,
2_201004,Suit_Martial,4,epic,800,0,armor,suit,100000,36,2_201005,,28,301,2_301001,4,0,1.5,thumbnail://577aedb211664d1b923d4436ea44059a,,
2_201005,Suit_Martial,5,epic_1,6400,0,armor,suit,100000,44,2_201006,,36,301,2_301001,4,1,1.5,thumbnail://577aedb211664d1b923d4436ea44059a,,
2_201006,Suit_Martial,6,unique,102400,0,armor,suit,100000,52,2_201007,,44,301,2_301001,4,0,1.5,thumbnail://5a677a60ba6c467e9d1c5fd4c43918f0,,
2_201007,Suit_Martial,7,unique_1,3276800,0,armor,suit,100000,60,2_201008,,52,301,2_301001,4,1,1.5,thumbnail://5a677a60ba6c467e9d1c5fd4c43918f0,,
2_201008,Suit_Martial,8,unique_2,200,0,armor,suit,100000,68,2_201009,,60,302,2_302001,4,2,1.5,thumbnail://5a677a60ba6c467e9d1c5fd4c43918f0,,
2_201009,Suit_Martial,9,legendary,800,0,armor,suit,100000,76,2_201010,,68,302,2_302001,4,0,1.5,thumbnail://6e679a8002d941079c247b832278c8e7,,
2_201010,Suit_Martial,10,legendary_1,6400,0,armor,suit,100000,84,2_201011,,76,302,2_302001,4,1,1.5,thumbnail://6e679a8002d941079c247b832278c8e7,,
2_201011,Suit_Martial,11,legendary_2,102400,0,armor,suit,100000,92,2_201012,,84,302,2_302001,4,2,1.5,thumbnail://6e679a8002d941079c247b832278c8e7,,
2_201012,Suit_Martial,12,legendary_3,3276800,0,armor,suit,100000,100,,,92,302,2_302001,4,3,1.5,thumbnail://6e679a8002d941079c247b832278c8e7,,
2_202001,Suit_Poor,1,normal,102400,0,armor,suit,100000,10,2_202002,,1,205,2_205001,4,0,1.5,thumbnail://d8f7cbcfc7ac4404a6ae8378fdd41c43,,
2_202002,Suit_Poor,2,rare,3276800,0,armor,suit,100000,20,2_202003,,10,205,2_205001,4,0,1.5,thumbnail://a007ae3c7b2b4cd2827386c37f3e4a67,,
2_202003,Suit_Poor,3,rare_1,200,0,armor,suit,100000,28,2_202004,,20,301,2_301001,4,1,1.5,thumbnail://a007ae3c7b2b4cd2827386c37f3e4a67,,
2_202004,Suit_Poor,4,epic,800,0,armor,suit,100000,36,2_202005,,28,301,2_301001,4,0,1.5,thumbnail://6559d81952b34d43851881dafb9df691,,
2_202005,Suit_Poor,5,epic_1,6400,0,armor,suit,100000,44,2_202006,,36,301,2_301001,4,1,1.5,thumbnail://6559d81952b34d43851881dafb9df691,,
2_202006,Suit_Poor,6,unique,102400,0,armor,suit,100000,52,2_202007,,44,301,2_301001,4,0,1.5,thumbnail://f96bbf8b91974820869b68fd7a041bed,,
2_202007,Suit_Poor,7,unique_1,3276800,0,armor,suit,100000,60,2_202008,,52,301,2_301001,4,1,1.5,thumbnail://f96bbf8b91974820869b68fd7a041bed,,
2_202008,Suit_Poor,8,unique_2,200,0,armor,suit,100000,68,2_202009,,60,302,2_302001,4,2,1.5,thumbnail://f96bbf8b91974820869b68fd7a041bed,,
2_202009,Suit_Poor,9,legendary,800,0,armor,suit,100000,76,2_202010,,68,302,2_302001,4,0,1.5,thumbnail://f5f1d287a1214e48b0105f06aef2564f,,
2_202010,Suit_Poor,10,legendary_1,6400,0,armor,suit,100000,84,2_202011,,76,302,2_302001,4,1,1.5,thumbnail://f5f1d287a1214e48b0105f06aef2564f,,
2_202011,Suit_Poor,11,legendary_2,102400,0,armor,suit,100000,92,2_202012,,84,302,2_302001,4,2,1.5,thumbnail://f5f1d287a1214e48b0105f06aef2564f,,
2_202012,Suit_Poor,12,legendary_3,3276800,0,armor,suit,100000,100,,,92,302,2_302001,4,3,1.5,thumbnail://f5f1d287a1214e48b0105f06aef2564f,,
2_203001,Suit_Shield,1,normal,102400,0,armor,suit,100000,10,2_203002,,1,205,2_205001,4,0,1.5,thumbnail://8a17bd71486540fa8ab485290f1a17aa,,
2_203002,Suit_Shield,2,rare,3276800,0,armor,suit,100000,20,2_203003,,10,205,2_205001,4,0,1.5,thumbnail://b85e99ecafd24879af6ad8470127cf48,,
2_203003,Suit_Shield,3,rare_1,200,0,armor,suit,100000,28,2_203004,,20,301,2_301001,4,1,1.5,thumbnail://b85e99ecafd24879af6ad8470127cf48,,
2_203004,Suit_Shield,4,epic,800,0,armor,suit,100000,36,2_203005,,28,301,2_301001,4,0,1.5,thumbnail://b8913abcec79441fbb78298e4c05076f,,
