id,name,grade,gradeLevel,stars,sellScrollValue,type,class,ruid,outglow,mainStatus,maxHp,attack,reductDamage,speed,attackSpeed,addMaxHpRate,addAttackRate,criticalRate,criticalDamageRate,range,evade,hpRecovery,bossDamage,reductMeleeDamage,reductProjectileDamage
2_103007,Helmet_Shark,unique_1,7,1,80,helmet,none,thumbnail://0bb495573d5e4d9ca16781a957833106,fef205e418b7437fb049d913db7ad466,hp,640,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_103008,Helmet_Shark,unique_2,8,2,100,helmet,none,thumbnail://0bb495573d5e4d9ca16781a957833106,fef205e418b7437fb049d913db7ad466,hp,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_103009,Helmet_Shark,legendary,9,0,200,helmet,none,thumbnail://54365fb6ab06429496f62ebb5a8129d3,77c90d8086f24fb08d395459a1f089d6,hp,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_103010,Helmet_Shark,legendary_1,10,1,250,helmet,none,thumbnail://54365fb6ab06429496f62ebb5a8129d3,77c90d8086f24fb08d395459a1f089d6,hp,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_103011,Helmet_Shark,legendary_2,11,2,300,helmet,none,thumbnail://54365fb6ab06429496f62ebb5a8129d3,77c90d8086f24fb08d395459a1f089d6,hp,10240,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_103012,Helmet_Shark,legendary_3,12,3,400,helmet,none,thumbnail://54365fb6ab06429496f62ebb5a8129d3,77c90d8086f24fb08d395459a1f089d6,hp,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_104001,Helmet_Angel,normal,1,0,10,helmet,none,thumbnail://61445c814c3c41afa36ca02ee0c9a334,0e2c673c5e7c400aa8b2388d64a77dc1,hp,10,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0
2_104002,Helmet_Angel,rare,2,0,20,helmet,none,thumbnail://c23ad9898d294552989659184c835775,075e3b4073274902bdc87a1ad93ecf64,hp,20,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0
2_104003,Helmet_Angel,rare_1,3,1,30,helmet,none,thumbnail://c23ad9898d294552989659184c835775,075e3b4073274902bdc87a1ad93ecf64,hp,40,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0
2_104004,Helmet_Angel,epic,4,0,40,helmet,none,thumbnail://f0250c3e628046bc92755f96066efc8a,c9ee80695ef14fcd8a3718e66fa58abd,hp,80,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_104005,Helmet_Angel,epic_1,5,1,50,helmet,none,thumbnail://f0250c3e628046bc92755f96066efc8a,c9ee80695ef14fcd8a3718e66fa58abd,hp,160,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_104006,Helmet_Angel,unique,6,0,60,helmet,none,thumbnail://1cb70749254448b59d001f53e0b149e3,04e484a85406466397fc968a03f6b8e3,hp,320,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_104007,Helmet_Angel,unique_1,7,1,80,helmet,none,thumbnail://1cb70749254448b59d001f53e0b149e3,04e484a85406466397fc968a03f6b8e3,hp,640,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_104008,Helmet_Angel,unique_2,8,2,100,helmet,none,thumbnail://1cb70749254448b59d001f53e0b149e3,04e484a85406466397fc968a03f6b8e3,hp,1280,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_104009,Helmet_Angel,legendary,9,0,200,helmet,none,thumbnail://f3e976b55662482b9f5d23dc39f9c93f,b506d9f4cbef46f889ada84d7ce9839b,hp,2560,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_104010,Helmet_Angel,legendary_1,10,1,250,helmet,none,thumbnail://f3e976b55662482b9f5d23dc39f9c93f,b506d9f4cbef46f889ada84d7ce9839b,hp,5120,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_104011,Helmet_Angel,legendary_2,11,2,300,helmet,none,thumbnail://f3e976b55662482b9f5d23dc39f9c93f,b506d9f4cbef46f889ada84d7ce9839b,hp,10240,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_104012,Helmet_Angel,legendary_3,12,3,400,helmet,none,thumbnail://f3e976b55662482b9f5d23dc39f9c93f,b506d9f4cbef46f889ada84d7ce9839b,hp,20480,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_201001,Suit_Martial,normal,1,0,10,suit,none,thumbnail://b65cd1ce99344dc197af10d0c806196f,f77b682014664f1eb716f68b58c00807,hp,10,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0
2_201002,Suit_Martial,rare,2,0,20,suit,none,thumbnail://6a7281865e104c2ebcb6f016e7240823,929f162a08714a57a6c89a497f50220b,hp,20,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0
2_201003,Suit_Martial,rare_1,3,1,30,suit,none,thumbnail://6a7281865e104c2ebcb6f016e7240823,929f162a08714a57a6c89a497f50220b,hp,40,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0
2_201004,Suit_Martial,epic,4,0,40,suit,none,thumbnail://577aedb211664d1b923d4436ea44059a,0fc50958cea64a41acd1cf7e93eb13dd,hp,80,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_201005,Suit_Martial,epic_1,5,1,50,suit,none,thumbnail://577aedb211664d1b923d4436ea44059a,0fc50958cea64a41acd1cf7e93eb13dd,hp,160,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_201006,Suit_Martial,unique,6,0,60,suit,none,thumbnail://5a677a60ba6c467e9d1c5fd4c43918f0,03cbb146604b4e4dab025c91f66ba05e,hp,320,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_201007,Suit_Martial,unique_1,7,1,80,suit,none,thumbnail://5a677a60ba6c467e9d1c5fd4c43918f0,03cbb146604b4e4dab025c91f66ba05e,hp,640,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_201008,Suit_Martial,unique_2,8,2,100,suit,none,thumbnail://5a677a60ba6c467e9d1c5fd4c43918f0,03cbb146604b4e4dab025c91f66ba05e,hp,1280,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_201009,Suit_Martial,legendary,9,0,200,suit,none,thumbnail://6e679a8002d941079c247b832278c8e7,0fd1204c805b4ae0920f5f90a71312e1,hp,2560,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_201010,Suit_Martial,legendary_1,10,1,250,suit,none,thumbnail://6e679a8002d941079c247b832278c8e7,0fd1204c805b4ae0920f5f90a71312e1,hp,5120,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_201011,Suit_Martial,legendary_2,11,2,300,suit,none,thumbnail://6e679a8002d941079c247b832278c8e7,0fd1204c805b4ae0920f5f90a71312e1,hp,10240,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_201012,Suit_Martial,legendary_3,12,3,400,suit,none,thumbnail://6e679a8002d941079c247b832278c8e7,0fd1204c805b4ae0920f5f90a71312e1,hp,20480,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
2_202001,Suit_Poor,normal,1,0,10,suit,none,thumbnail://d8f7cbcfc7ac4404a6ae8378fdd41c43,f77b682014664f1eb716f68b58c00807,hp,10,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0
2_202002,Suit_Poor,rare,2,0,20,suit,none,thumbnail://a007ae3c7b2b4cd2827386c37f3e4a67,929f162a08714a57a6c89a497f50220b,hp,20,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0
2_202003,Suit_Poor,rare_1,3,1,30,suit,none,thumbnail://a007ae3c7b2b4cd2827386c37f3e4a67,929f162a08714a57a6c89a497f50220b,hp,40,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0
2_202004,Suit_Poor,epic,4,0,40,suit,none,thumbnail://6559d81952b34d43851881dafb9df691,0fc50958cea64a41acd1cf7e93eb13dd,hp,80,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
2_202005,Suit_Poor,epic_1,5,1,50,suit,none,thumbnail://6559d81952b34d43851881dafb9df691,0fc50958cea64a41acd1cf7e93eb13dd,hp,160,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
2_202006,Suit_Poor,unique,6,0,60,suit,none,thumbnail://f96bbf8b91974820869b68fd7a041bed,03cbb146604b4e4dab025c91f66ba05e,hp,320,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
2_202007,Suit_Poor,unique_1,7,1,80,suit,none,thumbnail://f96bbf8b91974820869b68fd7a041bed,03cbb146604b4e4dab025c91f66ba05e,hp,640,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
2_202008,Suit_Poor,unique_2,8,2,100,suit,none,thumbnail://f96bbf8b91974820869b68fd7a041bed,03cbb146604b4e4dab025c91f66ba05e,hp,1280,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
2_202009,Suit_Poor,legendary,9,0,200,suit,none,thumbnail://f5f1d287a1214e48b0105f06aef2564f,0fd1204c805b4ae0920f5f90a71312e1,hp,2560,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
2_202010,Suit_Poor,legendary_1,10,1,250,suit,none,thumbnail://f5f1d287a1214e48b0105f06aef2564f,0fd1204c805b4ae0920f5f90a71312e1,hp,5120,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
2_202011,Suit_Poor,legendary_2,11,2,300,suit,none,thumbnail://f5f1d287a1214e48b0105f06aef2564f,0fd1204c805b4ae0920f5f90a71312e1,hp,10240,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
2_202012,Suit_Poor,legendary_3,12,3,400,suit,none,thumbnail://f5f1d287a1214e48b0105f06aef2564f,0fd1204c805b4ae0920f5f90a71312e1,hp,20480,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
2_203001,Suit_Shield,normal,1,0,10,suit,none,thumbnail://8a17bd71486540fa8ab485290f1a17aa,f77b682014664f1eb716f68b58c00807,hp,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0
2_203002,Suit_Shield,rare,2,0,20,suit,none,thumbnail://b85e99ecafd24879af6ad8470127cf48,929f162a08714a57a6c89a497f50220b,hp,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0
2_203003,Suit_Shield,rare_1,3,1,30,suit,none,thumbnail://b85e99ecafd24879af6ad8470127cf48,929f162a08714a57a6c89a497f50220b,hp,40,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0
2_203004,Suit_Shield,epic,4,0,40,suit,none,thumbnail://b8913abcec79441fbb78298e4c05076f,0fc50958cea64a41acd1cf7e93eb13dd,hp,80,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_203005,Suit_Shield,epic_1,5,1,50,suit,none,thumbnail://b8913abcec79441fbb78298e4c05076f,0fc50958cea64a41acd1cf7e93eb13dd,hp,160,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_203006,Suit_Shield,unique,6,0,60,suit,none,thumbnail://57f0920519954a5899867fe0e634ac0f,03cbb146604b4e4dab025c91f66ba05e,hp,320,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_203007,Suit_Shield,unique_1,7,1,80,suit,none,thumbnail://57f0920519954a5899867fe0e634ac0f,03cbb146604b4e4dab025c91f66ba05e,hp,640,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_203008,Suit_Shield,unique_2,8,2,100,suit,none,thumbnail://57f0920519954a5899867fe0e634ac0f,03cbb146604b4e4dab025c91f66ba05e,hp,1280,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_203009,Suit_Shield,legendary,9,0,200,suit,none,thumbnail://b83f426ebf0b4c39a98da3df2488d90d,0fd1204c805b4ae0920f5f90a71312e1,hp,2560,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_203010,Suit_Shield,legendary_1,10,1,250,suit,none,thumbnail://b83f426ebf0b4c39a98da3df2488d90d,0fd1204c805b4ae0920f5f90a71312e1,hp,5120,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_203011,Suit_Shield,legendary_2,11,2,300,suit,none,thumbnail://b83f426ebf0b4c39a98da3df2488d90d,0fd1204c805b4ae0920f5f90a71312e1,hp,10240,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_203012,Suit_Shield,legendary_3,12,3,400,suit,none,thumbnail://b83f426ebf0b4c39a98da3df2488d90d,0fd1204c805b4ae0920f5f90a71312e1,hp,20480,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_204001,Suit_Chicken,normal,1,0,10,suit,none,thumbnail://35897ffa46244d72933d85c43c81eda4,f77b682014664f1eb716f68b58c00807,hp,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025
2_204002,Suit_Chicken,rare,2,0,20,suit,none,thumbnail://8b798067b720470a90a6485730a08f54,929f162a08714a57a6c89a497f50220b,hp,20,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025
2_204003,Suit_Chicken,rare_1,3,1,30,suit,none,thumbnail://8b798067b720470a90a6485730a08f54,929f162a08714a57a6c89a497f50220b,hp,40,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025
2_204004,Suit_Chicken,epic,4,0,40,suit,none,thumbnail://fc7b2aa847564ecbbeaef918a562c63d,0fc50958cea64a41acd1cf7e93eb13dd,hp,80,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_204005,Suit_Chicken,epic_1,5,1,50,suit,none,thumbnail://fc7b2aa847564ecbbeaef918a562c63d,0fc50958cea64a41acd1cf7e93eb13dd,hp,160,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_204006,Suit_Chicken,unique,6,0,60,suit,none,thumbnail://d1289c2ec6e0451a9112aeb1e88d1b16,03cbb146604b4e4dab025c91f66ba05e,hp,320,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_204007,Suit_Chicken,unique_1,7,1,80,suit,none,thumbnail://d1289c2ec6e0451a9112aeb1e88d1b16,03cbb146604b4e4dab025c91f66ba05e,hp,640,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_204008,Suit_Chicken,unique_2,8,2,100,suit,none,thumbnail://d1289c2ec6e0451a9112aeb1e88d1b16,03cbb146604b4e4dab025c91f66ba05e,hp,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_204009,Suit_Chicken,legendary,9,0,200,suit,none,thumbnail://3ca752b0cfd645d1919eab37dbeff9be,0fd1204c805b4ae0920f5f90a71312e1,hp,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_204010,Suit_Chicken,legendary_1,10,1,250,suit,none,thumbnail://3ca752b0cfd645d1919eab37dbeff9be,0fd1204c805b4ae0920f5f90a71312e1,hp,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_204011,Suit_Chicken,legendary_2,11,2,300,suit,none,thumbnail://3ca752b0cfd645d1919eab37dbeff9be,0fd1204c805b4ae0920f5f90a71312e1,hp,10240,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_204012,Suit_Chicken,legendary_3,12,3,400,suit,none,thumbnail://3ca752b0cfd645d1919eab37dbeff9be,0fd1204c805b4ae0920f5f90a71312e1,hp,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_301001,Glove_Wing,normal,1,0,10,glove,none,thumbnail://3bc1272d181d4bc999e56acdd71c1de5,48ad71a0c956495c84cd59fd2b95eb39,attack,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.025
2_301002,Glove_Wing,rare,2,0,20,glove,none,thumbnail://cfba9949fe4045afa226c6fca69f03f4,4bf7d8307f41407a94d9d940cebdcd7d,attack,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,-0.025
2_301003,Glove_Wing,rare_1,3,1,30,glove,none,thumbnail://cfba9949fe4045afa226c6fca69f03f4,4bf7d8307f41407a94d9d940cebdcd7d,attack,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,-0.025
2_301004,Glove_Wing,epic,4,0,40,glove,none,thumbnail://f05a35544bb54e21bbfc2aec5167b898,d113232f89e241b7a58f061f80877f46,attack,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,-0.05
2_301005,Glove_Wing,epic_1,5,1,50,glove,none,thumbnail://f05a35544bb54e21bbfc2aec5167b898,d113232f89e241b7a58f061f80877f46,attack,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,-0.05
2_301006,Glove_Wing,unique,6,0,60,glove,none,thumbnail://d62f6ddb6bfd429d9080afdab5dbb691,c3f8d6ea3d724bd0ac463a7fddfe91e5,attack,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,-0.05
2_301007,Glove_Wing,unique_1,7,1,80,glove,none,thumbnail://d62f6ddb6bfd429d9080afdab5dbb691,c3f8d6ea3d724bd0ac463a7fddfe91e5,attack,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,-0.05
2_301008,Glove_Wing,unique_2,8,2,100,glove,none,thumbnail://d62f6ddb6bfd429d9080afdab5dbb691,c3f8d6ea3d724bd0ac463a7fddfe91e5,attack,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,-0.05
2_301009,Glove_Wing,legendary,9,0,200,glove,none,thumbnail://f898e326f6bf4d599303f69773e12e0a,0a14c08f52b94e02ae1142c554106d98,attack,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,-0.05
2_301010,Glove_Wing,legendary_1,10,1,250,glove,none,thumbnail://f898e326f6bf4d599303f69773e12e0a,0a14c08f52b94e02ae1142c554106d98,attack,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,-0.05
2_301011,Glove_Wing,legendary_2,11,2,300,glove,none,thumbnail://f898e326f6bf4d599303f69773e12e0a,0a14c08f52b94e02ae1142c554106d98,attack,0,0,0,0,0,0,4,0,0,0,0,0,0,0,-0.05
2_301012,Glove_Wing,legendary_3,12,3,400,glove,none,thumbnail://f898e326f6bf4d599303f69773e12e0a,0a14c08f52b94e02ae1142c554106d98,attack,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,-0.05
2_302001,Glove_Boxer,normal,1,0,10,glove,none,thumbnail://db1d59bfb4ce41eba98014159c7f67ea,48ad71a0c956495c84cd59fd2b95eb39,attack,0,0,0,0,0,0,1,0,0,0,0.025,0,0,0,0
2_302002,Glove_Boxer,rare,2,0,20,glove,none,thumbnail://24c8cc2941a047fa9c3e9797c1f7dc82,4bf7d8307f41407a94d9d940cebdcd7d,attack,0,0,0,0,0,0,1.3,0,0,0,0.025,0,0.05,0,0
2_302003,Glove_Boxer,rare_1,3,1,30,glove,none,thumbnail://24c8cc2941a047fa9c3e9797c1f7dc82,4bf7d8307f41407a94d9d940cebdcd7d,attack,0,0,0,0,0,0,1.6,0,0,0,0.025,0,0.05,0,0
2_302004,Glove_Boxer,epic,4,0,40,glove,none,thumbnail://f5d83f8d4eb9415e9bcb1f2c4713edd5,d113232f89e241b7a58f061f80877f46,attack,0,0,0,0,0,0,1.9,0,0,0,0.05,0,0.05,0,0
2_302005,Glove_Boxer,epic_1,5,1,50,glove,none,thumbnail://f5d83f8d4eb9415e9bcb1f2c4713edd5,d113232f89e241b7a58f061f80877f46,attack,0,0,0,0,0,0,2.2,0,0,0,0.05,0,0.05,0,0
2_302006,Glove_Boxer,unique,6,0,60,glove,none,thumbnail://ba209507783d4663adeb8f4e180ed685,c3f8d6ea3d724bd0ac463a7fddfe91e5,attack,0,0,0,0,0,0,2.5,0,0,0,0.05,0,0.15,0,0
2_302007,Glove_Boxer,unique_1,7,1,80,glove,none,thumbnail://ba209507783d4663adeb8f4e180ed685,c3f8d6ea3d724bd0ac463a7fddfe91e5,attack,0,0,0,0,0,0,2.8,0,0,0,0.05,0,0.15,0,0
2_302008,Glove_Boxer,unique_2,8,2,100,glove,none,thumbnail://ba209507783d4663adeb8f4e180ed685,c3f8d6ea3d724bd0ac463a7fddfe91e5,attack,0,0,0,0,0,0,3.1,0,0,0,0.05,0,0.15,0,0
2_302009,Glove_Boxer,legendary,9,0,200,glove,none,thumbnail://60ceb9ee59c94a2aadbc8c8a1358c42a,0a14c08f52b94e02ae1142c554106d98,attack,0,0,0,0,0,0,3.4,0,0,0,0.05,0,0.2,0,0
2_302010,Glove_Boxer,legendary_1,10,1,250,glove,none,thumbnail://60ceb9ee59c94a2aadbc8c8a1358c42a,0a14c08f52b94e02ae1142c554106d98,attack,0,0,0,0,0,0,3.7,0,0,0,0.05,0,0.2,0,0
