id,ruid,category,color,offsetX,offsetY,exception,제외 사유
5_000056,bebefc948bf54b25bc2798b6e7caa4fe,nameTag,#FFFFFFFF,-0.02,0.03,,
5_000057,45ec108d7eb74990b9c10690ccba10ef,chatBalloon,#1D3193FF,,,,
5_000059,2e090805f6174f6bac22ed213e2edd64,nameTag,#FFFFFFFF,0.03,-0.01,,
5_000060,141038e128dc4acdb19bf3eefb91e708,chatBalloon,#FFFFFFFF,0.02,,,
5_000062,2d9bc9cc2d52421a85ecaa37d2028ddb,nameTag,#76C4EBFF,,,,
5_000063,b1f725ac96ac408eabf08188adef2780,chatBalloon,#FFF1A6FF,0.01,-0.01,,
5_000065,686bfaa73d2949cfb23b06a881853d18,nameTag,#A35100FF,,,,
5_000066,90c0ff6201444cb38045a9ed4a7279f6,chatBalloon,#A35100FF,,-0.01,,
5_000068,30cb970a6f864bda92e98e11fc891f73,nameTag,#D74962FF,0.02,-0.01,,
5_000069,806802e6e024418a881b8d96bfe6e2fa,chatBalloon,#D74962FF,,-0.01,,
5_000070,34cfb6dfd8864e4dbcdb6d19b1eceea1,damageSkin,,,,,
5_000071,cdd5f0e6edbb484ea2da8f2c46b9519d,nameTag,#00B515FF,-0.01,-0.01,,
5_000072,384cf2ff2a81404a84a703919d6909c2,chatBalloon,#FF6B08FF,,,,
5_000073,4b894dd1b1164baa99800ca7e6f7ad9e,damageSkin,,,,,
5_000074,12690f5c753d4aa09e626b801f7cbf9f,nameTag,#FFFFDBFF,-0.01,0.01,,
5_000075,7f4d45f5d48c4fc2a9ede4f266138d9f,chatBalloon,#FFFFDBFF,,-0.01,,
5_000077,755f1ce9393b4474a0cfe8db5aa999b4,nameTag,#5139E4FF,-0.01,-0.01,,
5_000078,72fac5a2da4748d8bd06a152759ddd7f,chatBalloon,#5139E4FF,,-0.02,,
5_000079,7f361b5c9f344750a4af98075dc9a007,damageSkin,,,,1,크리스마스 시즌성 아이템
5_000080,1e84414e6dab4143ab482214a9acb73d,nameTag,#000000FF,-0.01,-0.01,1,크리스마스 시즌성 아이템
5_000081,c5b0047d269c4177a9e1629e3952659f,chatBalloon,#000000FF,,-0.01,1,크리스마스 시즌성 아이템
5_000083,329c81fd71f84be98d3d1a7ed5a7dcb4,nameTag,#000000FF,-0.01,0.015,,
5_000084,2c62140cbd49413abe1f6af16f35b1e1,chatBalloon,#000000FF,,-0.01,,
5_000086,b2253d04f85244d68e9f018695f42d6e,nameTag,#000000FF,-0.005,-0.01,,
5_000087,d46ae021006245cfacef2198b83acf1f,chatBalloon,#008BBFFF,,,,
5_000089,e45a1dc2c70645bc9e33bc36b8c12bf3,nameTag,#FF3393FF,-0.01,0.01,,
5_000090,6ab5ebe9f4d6471d893ab6767a0ff993,chatBalloon,#FFF0DCFF,,-0.02,,
5_000092,a9013f7927274957a00611cee0944e43,nameTag,#5F4735FF,,-0.01,,
5_000093,cfdd63f71ae74917a75a90cfbd0a8b12,chatBalloon,#5F4735FF,,,,
5_000094,ec80e92f02ab4567b38d006a70ebc612,damageSkin,,,,,
5_000095,184ccf65048740a7b12a0ea952f01bd8,nameTag,#9B1F3CFF,-0.01,,,
5_000096,7b6ec1ba34be43618a0c2dae58233f71,chatBalloon,#9B1F3CFF,,,,
5_000097,68af3a3ea131436188efd7cacfd06ed7,damageSkin,,,,1,한계의 땅 2위 보상
5_000098,3cbb51c32d434a349956a33471a13b8d,nameTag,#07D3F0FF,-0.01,,1,한계의 땅 2위 보상
5_000099,2cf68d717fd84d36a47e25cd21ebfb6b,chatBalloon,#07D3F0FF,,-0.01,1,한계의 땅 2위 보상
5_000101,237216a0dd06496981a4911d953b543e,nameTag,#FFFFFFFF,-0.06,-0.01,,
5_000104,3f025dce1bc8420498d6cceb58b99478,nameTag,#FFFFFFFF,-0.01,0.01,,
5_000105,8a109a12b72748a5bbdca59ed5e86ce6,chatBalloon,#FFFFFFFF,,-0.01,,
5_000107,495d26648d3a42bab2c86c1f41c66b06,nameTag,#00000000,,,,
5_000108,a694e124829c4fc19e8d4ffd30a4d4b8,chatBalloon,#00000000,,,,
5_000109,907f7a7785b0451ba9f096618b4155d3,damageSkin,,,,,
5_000110,0110cfebe577473a90f7a9ec88ea947a,nameTag,#FFF0DCFF,,0.01,,
5_000111,c0fb807207c5423cb431fd822a8ec74c,chatBalloon,#FFFC00FF,,-0.01,,
5_000113,d5e9f779bf184cb384684773a69bc893,nameTag,#D11F4BFF,,0.01,,
5_000114,a9afbb8ccc7645e7b7026e00b00e6f6f,chatBalloon,#FFFFFFFF,,-0.01,,
5_000116,f60dcaeb6c3a41989164567d8cb8d6c9,nameTag,#232034FF,,-0.01,,
5_000117,9fad6f0d8b9f4d1489976e33b899a715,chatBalloon,#232034FF,,,,
5_000119,ecadcf4dd051411a91c89ef0f7ac8962,nameTag,#FFFFFFFF,-0.01,0.005,,
5_000120,24108a4dc0014ca2b90af4b88d395339,chatBalloon,#03286DFF,,-0.02,,
5_000122,285bd98f29794838a7e03013f8fd3383,nameTag,#FFFFFFFF,-0.01,,,
5_000123,f4701249bee0490c86520e15574f19cb,chatBalloon,#FFFFFFFF,,-0.01,,
5_000124,327f82e2c2f9414a989a88ca8487d865,damageSkin,,,,,
5_000125,52c02892dbac4e28867ed43ad52115d0,nameTag,#FFF98AFF,,-0.01,,
5_000126,2d7fd406cb4f4c7885bc348b9a65c841,chatBalloon,#FFF98AFF,,-0.01,,
5_000128,eee2cb7487a04d8aabfc290f489eb5ad,nameTag,#FFFFFFFF,,,,
5_000129,3679a051812b4a83b75ac5cf37308505,chatBalloon,#FFFFFFFF,,,,
5_000131,83743c75c671416b8e7e69f323cd1bba,nameTag,#FFA7CBFF,-0.01,0.01,,
5_000132,cb68bf819a504914be14db6dacbbc907,chatBalloon,#CA028FFF,,-0.01,,
5_000134,6e7980a66fe442beb590dc6d6b59c229,nameTag,#FFFFFFFF,0.01,0.01,,
5_000135,f139d70379d042b49361bad3f931a68f,chatBalloon,#FFFFFFFF,,-0.02,,
5_000136,99407e98a439429580c09f135d3faa31,damageSkin,,,,1,한계의 땅 3위 보상
5_000137,81939f8da689419991a903a313f00b33,nameTag,#FEFFB3FF,,,1,한계의 땅 3위 보상
5_000138,c129c767ac5d4430a36a505edf90d419,chatBalloon,#FEFFB3FF,,,1,한계의 땅 3위 보상
5_000140,0abccca276564500b7dfd542e734a547,nameTag,#FFFFFFFF,0.01,,,
5_000141,cb00069d9f4249829499633c5c9c3369,chatBalloon,#FFFFFFFF,,0.01,,
5_000143,e7a64ddc252e44c1bcff5dbfff62221a,nameTag,#FF0036FF,0.02,0.01,,
5_000144,e44e64977bcc4b109ec3179d928cf407,chatBalloon,#FF0036FF,-0.01,0.01,,
5_000146,eea532b2dafa45d883690ed9082d7b37,nameTag,#FF0000FF,,,,
5_000147,171251820fbf40f38e9e7d5f07bab907,chatBalloon,#FF0000FF,,,,
5_000149,fbe166f978854a019f254a64a1a0ef7a,nameTag,#000000FF,-0.02,-0.02,,
5_000150,5187e8b0c71e4f35bc226f29755f68ec,chatBalloon,#000000FF,,,,
5_000151,a4fe66c5d7ac43a9a57ed2d2ea6ab43b,damageSkin,,,,,
5_000152,d9263eb7a81e4d6cae2ac00cebbb6173,damageSkin,,,,,
5_000153,085dee85cb044114937ca8b1d08dddb0,damageSkin,,,,,
5_000154,a98e121a135e4e2e835e88ab732a6d9e,damageSkin,,,,,
5_000155,dab96d4ea9a84df4898641ae15154ce9,damageSkin,,,,,
5_000156,4519a6e127d148d984d565f4bb0d176b,damageSkin,,,,,
5_000157,a0aa37f649574c99ae2071b69ec80c8e,damageSkin,,,,,
5_000158,8ebc7885b6ed44a1b7fa9dab53981ca1,damageSkin,,,,,
5_000159,7b388b675aaf454eba79b078a4e21760,damageSkin,,,,,
5_000160,663f01e9feca4c8db4d0c489d387115a,damageSkin,,,,,
5_000161,3501b37e0f4d467d854a1383922275e3,damageSkin,,,,,
5_000162,1fa795999df241cf872e8aacb8e7ec55,damageSkin,,,,,
5_000163,1d90e99a6a86495b8549e0deb2a41a67,damageSkin,,,,,
5_000164,79706e3005aa4de0b695c8fbe92eb90f,damageSkin,,,,,
5_000165,619b51d317ef4dc99ff032091ddaba74,damageSkin,,,,,
5_000166,c164b69ff9764c50aef03c0dfa48c56d,damageSkin,,,,,
5_000167,14f9c2fb452a41ada364564e02fde7c7,damageSkin,,,,,
5_000168,f51d1d24662341149b4ac0d15b3ce0a5,damageSkin,,,,,
5_000169,51de2db67e7f46289d2052f946960044,damageSkin,,,,,
5_000170,3359eb5022f4404a9d65959b9a769126,damageSkin,,,,,
5_000171,7f1b61dfab9941bebe373da640423227,damageSkin,,,,,
5_000172,e05429caf85246c8a5a61b50eec000a3,damageSkin,,,,,
5_000173,d943bd8debfe4a27be27fa7e7b703f5e,damageSkin,,,,,
5_000174,4d61995625ce4d009f5f7ae28c9270b8,damageSkin,,,,,
5_000175,7886e9009a1343eba34e7e72908ff407,damageSkin,,,,,
5_000176,ae0390221e3a482d918c19565f7fcf96,damageSkin,,,,,
5_000177,c46e2d6cb708483fa1220c23e12a49c3,damageSkin,,,,,
5_000178,c57898880119435682575107bd289801,damageSkin,,,,,
5_000179,5215ba8d1fa84025881a8483e21cdfb7,damageSkin,,,,1,오류 있는 RUID (아직 제작 안됨)
5_000180,262ffcf291174e0583474906d321a45d,damageSkin,,,,,
5_000181,6b4eb93cd0944749be37718950288590,damageSkin,,,,,
5_000182,ccb6ad6fe7b04735b24d1c64f1229148,damageSkin,,,,,
5_000183,9c7989104a5942808b62bba926e24ade,damageSkin,,,,,
5_000184,0910d8fa5eac47dbbff4f30e9fb07a50,damageSkin,,,,,
5_000185,b377365c98a24ecaa9ea5855812cef90,damageSkin,,,,,
5_000186,9ee82ca3f35a4914bb4dcc2c98b79243,damageSkin,,,,,
5_000187,0f56a89d14e94702bf58456399159849,damageSkin,,,,,
5_000188,267030df083e40a18518dcebc3c15cf4,damageSkin,,,,,
5_000189,4ad2dc65dfb34ec8a262fa8d087b0c3f,damageSkin,,,,,
5_000190,ea6cd5e141194bf1b26c6f8b82f98c62,damageSkin,,,,,
5_000191,ce18963fa3424ca78818f6863e8f0219,damageSkin,,,,,
5_000192,6ba67548f43f48f29eb23dafd0766383,damageSkin,,,,,
5_000193,dc850f71005949f098b7680a656538cd,damageSkin,,,,,
5_000194,3fe8ef46e23f4aa580681d3467ee6f8f,damageSkin,,,,,
5_000195,074f8bccdfab414b9c665b54f81ffd00,damageSkin,,,,,
5_000196,c63f2e224fd3402f906dde68bf577ee4,damageSkin,,,,,
5_000197,6abe7df8d5694d27b23402b11d2ff47e,damageSkin,,,,,
5_000198,88fe48da46d2482ea3dfe76ed492faa4,damageSkin,,,,1,오류 있는 RUID (아직 제작 안됨)
5_000199,aa340db0d8c0454796c2e800c88badfe,damageSkin,,,,1,추석 시즌성 아이템
5_000200,ae1d26bd76f4424fb91c161563255d3e,damageSkin,,,,,
5_000201,262ffcf291174e0583474906d321a45d,damageSkin,,,,1,2024 설 이벤트 아이템
