CharID,Name,Scale,MoveSpeed,IDLE,MOVE,JUMP,ATTACK,ATTACK_WAIT
C10019,구피,1,0.4,46c85b7ebc9b4777985fa978a1b36b17,bd2f33d84c8c458d9a883e4f4c7f8d89,9e7c2124ac0f4079bec4faff4564167d,bdb9ded2807e46dc9b0103ccf7aeda99,46c85b7ebc9b4777985fa978a1b36b17
C10020,스톰,1,0.2,b1b4b15281664ae08be0c006ad62e8e1,b1b4b15281664ae08be0c006ad62e8e1,-,10c1ada9a2fc49f2bec31523cb51850a,b1b4b15281664ae08be0c006ad62e8e1
C10021,밸리베어,1,0.5,d32dc6002caf4fca9471e096c9ac3a95,b53085b63c1c47608c9eda80b09c7ab5,-,eb09c083263743e3aea5bf3fbd66f33d,d32dc6002caf4fca9471e096c9ac3a95
C20001,호크아이,1,0.5,e25353ad64ae471cbf4e15f5df882e8c,36b15569e4674e99ad6fe40daa425cd0,769740e137b441168143c6aa49b7891d,af4569e3fcc14d78a7fc9c9056fb1352,e25353ad64ae471cbf4e15f5df882e8c
C20002,페페,1,0.6,ef58b452747b4d978e161fea24d1bc00,c61ec21a479f4c6583fe3c3811deffe5,-,500a3b84153f4b9998f9bd610b39e372,ef58b452747b4d978e161fea24d1bc00
C20003,망각의 수호병,0.5,0.3,28625b5aca7043fba543107b73955683,07d5a0aa910f4aeb883ceeb46d6543e3,-,370e73eaee0d43e38d2e4dc03510a30c,28625b5aca7043fba543107b73955683
C20004,주먹펴고 일어서,0.8,0.5,90d3525b282a4d809ff6b9fe0dbbc788,379f269bc65143a88ced5fcfbbd7205c,-,a5211c8a395d47bf91a5aba840df5a8b,90d3525b282a4d809ff6b9fe0dbbc788
C20005,후회의 신관,0.5,0.3,a7f6aea0c45545abbccba5058edd6706,9d743923062040368336418b1037c286,-,27101c74c45d4158a905369c3a635d05,a7f6aea0c45545abbccba5058edd6706
C20006,M.소울테니,0.75,0.3,7a2df75866914c8689cd66c061eb3535,3ae4b90af48c425491af62f64289dc2c,-,3d437d732fb548bf8293416ff23c5477,7a2df75866914c8689cd66c061eb3535
C20007,이카르트,1,0.5,81d4042923c047daa07ad834fb103e4e,49d3f7544bf54c8b8c6f4320b40010b0,7a1ce9fc8c344af98335770adf3c88c3,432a6b403bf14ec2b581ef40983eb850,81d4042923c047daa07ad834fb103e4e
C20008,라이오너,1.2,0.6,c1b7e43b37444b008a6d81170ca45be0,59ba998f09c1441f88377f0db1980d9c,97c0215a5e6c4056b8d9e3c5ff7e3228,37fe9a2d0ab441c98af57e704fd200fe,c1b7e43b37444b008a6d81170ca45be0
C20009,불독,1,0.2,56be642e8efc4f1b853791423de0d9f7,c21d5441b8fd46d09a6f32191760c795,-,8216350375de40f2a3a4bac373f9d238,56be642e8efc4f1b853791423de0d9f7
C20010,아이스 드레이크,0.75,0.3,8f12a3c0576744008aae43dabea883eb,226fb6dcb7a844e18088ed8b988549dc,-,69f45a6720b348dcbec982c324e4d182,8f12a3c0576744008aae43dabea883eb
C20011,사수,1,1,e389a6e6dff64ec996add2b5720c4f58,2bcf2dcc60134a2191a9db6edb3eb60b,dd4e8d2ca8d3448aaf22a4a3d093d8a1,e7044f987c7c4cbdb99292cc2180506f,e389a6e6dff64ec996add2b5720c4f58
C20012,아잘린,1,0.2,6b7e71f453b6442898206a5ddb1bc802,b2d12d6e89d44943b81439221c369657,0df62c25656a4241818ec8be90fb2914,3a247eefaa1b483581ef21461c6b4747,6b7e71f453b6442898206a5ddb1bc802
C20013,몽키록,0.75,0.6,b930707b6bd94e68be5a2895691d91c1,7d1881a0818348508faf7f3c7cd9dcb9,693ae0ad36bc44f8ba420ca3ea401b8c,3488cd7123a44856942d1ce56ed273d0,b930707b6bd94e68be5a2895691d91c1
C20014,깨비,1,0.3,55c0080330314f2fad7a10756958171d,44bd9deeeecf4ef1af99204516247b2c,,f1931926fd1446e894259b1945b242dc,55c0080330314f2fad7a10756958171d
C20015,삼미호,1,0.25,b87a500e22c94cd3a885f09b49fced3c,7f559bbec51a46899e8024a1d31291c7,60f91a5d3fb44b86b927e819c137583e,ec03b13bb852406fa00df6e897640510,b87a500e22c94cd3a885f09b49fced3c
C20016,디트와 로이,1,0.25,7468ef1995cc4808833ac99c331f0a41,1c83f9e0a6c54d2bb2b8a5d093d33790,-,b86c55de8dc041ce839716dfc01b9100,7468ef1995cc4808833ac99c331f0a41
C20017,호문스페큘러,0.9,0.3,48a47baf04b44abba907c983148b6e98,48a47baf04b44abba907c983148b6e98,-,6e87c2a605d143a0a61ef0e9f19678d8,48a47baf04b44abba907c983148b6e98
C20018,폼폼나무,0.8,0.15,1625a440e62f4ca7a99f0f326504d719,1625a440e62f4ca7a99f0f326504d719,-,f1c0fc8bae5d4261ad8e82c387a2dca8,1625a440e62f4ca7a99f0f326504d719
C20019,캡틴 블랙 슬라임,0.7,0.25,6b9f733917014a9fb726da7f28a10152,6b9f733917014a9fb726da7f28a10152,-,4b8df409b99d4f6d9a71e7728c94bef9,6b9f733917014a9fb726da7f28a10152
C20020,샘의 정령,1.1,0.5,882af790938d427591cef1fce348e53e,3a4775167ab94ba8a997b3253dcaa925,-,749a66cdcd094179bc3b0e961c00c900,749a66cdcd094179bc3b0e961c00c900
C20021,장난감 흑기사,0.9,0.4,1f7e33c15b854c37a81ee686acc9b477,1bb2aa578025450281a897025dd79f47,-,fe542056f3544c20b700dfdfcaa0ab22,1f7e33c15b854c37a81ee686acc9b477
C20022,플라잉 리오,1,0.6,50bb58572a444d29bcbfcacbd8419c4b,92e4ae051b314faf84161dc9da7f559d,92e4ae051b314faf84161dc9da7f559d,037b4a555bc540cfbbe32d50a2d0e0e7,50bb58572a444d29bcbfcacbd8419c4b
C30001,예티,0.75,0.2,4b11d32e26f44358a16e4fa28a0f72d3,e7e996beb9464b43ad8eb72636703876,82395b29a27b4d59a360302d8fb5be4a,238d6137a8a0442fae2f2112829d0428,4b11d32e26f44358a16e4fa28a0f72d3
C30002,C. 시간의 수호대장,0.5,0.3,37029c8ec9f04e60be228b0bb378c896,44817332bc544c1dbe693bf7d704c516,-,bbd0eb4ae3e04e1f83dc745e29727064,37029c8ec9f04e60be228b0bb378c896
C30003,롬바드,0.5,0.2,b41def4288404055b3b8850daa99cfbf,041d85c246e04fc7a92959175e434d4c,-,921caf97260c40e28320b761c34a011c,b41def4288404055b3b8850daa99cfbf
C30004,타우로스피어,0.6,0.6,2d67591d75ef429d98414cd123499dfe,6ac5e72c53934afb9277c39f533f8de0,-,1250eeb55f64486988c1ccbc880d6d85,2d67591d75ef429d98414cd123499dfe
C30005,소울마스터,1,1,a4ed29de4056439f8ad04b513dd61c43,5a6a5f988cdf4bbba504b29f4736a4c5,086f8eca6bc44ea6a8814b070375ed04,ee2f23a124cc4fe69f045123616fdbe9,a4ed29de4056439f8ad04b513dd61c43
C30006,플레임위자드,1,1,d1852723e3b044e089a1fb5884a6d385,2122b4dcb80c4608bbe03be29f5be4a9,61ce27884c834c41945a2f5d0b2e7492,ad5d8418769944fc8d3a16070d86d1d2,d1852723e3b044e089a1fb5884a6d385
C30007,프리스트,1,1,dd371c2848eb43bf8693b3f0e93c35b3,7f87731cbb504cb282c2a8a1228896e5,0f274912de8c483a9a9648ba1ed5fc99,52f849ea54274d03b2973dc8f8a11308,dd371c2848eb43bf8693b3f0e93c35b3
C30008,라이칸스로프,0.5,0.4,5219154913ba4df99221b7514b30250a,d37568da26134b0faa5ad1d3e5a8655c,-,1b700956ede948e09849ce43b63672f3,5219154913ba4df99221b7514b30250a
C30009,나이트워커,1,1,32041c2a6b404e84ae6ef7e91c927f6d,49501101db754ed6ad5faed539f5871b,d468b36881034863a2aa467a013702df,26b48315f6f74543a93b8fc45514e192,32041c2a6b404e84ae6ef7e91c927f6d
C30010,다크로드,1,0.5,241ced8df8354044b49840fdd548bb9e,e7f24fc83f74400893c385345f0fd61e,-,f0f882330dd3405c9aee592fdc158a22,cca3c4890ce4471d9e33609c9877c074
C30011,머쉬맘,0.6,0.3,826abc40a1814a8eac6de1a8d2a3f848,55c8fd46dee44707beae55f22ba0ba17,143baa55b3d443d19db8a651fc0f7f95,9410745fe39245388c6cb184730fe642,826abc40a1814a8eac6de1a8d2a3f848
C30012,파우스트,0.5,0.2,f7be8b50fd7743eb92b1235ab68ab3f0,f0b1b3ee713444e2873711317f5de60d,-,95b69d3223ce4a6c86e45a0557e6d392,f7be8b50fd7743eb92b1235ab68ab3f0
C30013,카이린,0.8,0.5,0df9db5df04f4c98bcec881860a5f791,fe5ed9be5e4c4aff89e13035b4f22525,-,cdb8e31b43a043248a0af298a742db9a,0df9db5df04f4c98bcec881860a5f791
C30014,호걸,1,0.25,539eba2c0ab24c03be29dae8ed4274a2,1f298f48d11c4dd5afdf3c0e82e15134,237b5c3e729a4144932ff4dd1433cea0,4643ba0ebc6c4adb9342d2ae3ad3afe9,539eba2c0ab24c03be29dae8ed4274a2
C30015,자동경비시스템,1,0.1,decf2b41a0a64551b44b7bd69b953f4f,decf2b41a0a64551b44b7bd69b953f4f,-,1aa2b30a3ce443289c6b00dc8e87c382,decf2b41a0a64551b44b7bd69b953f4f
C30016,바람 수호령,1,0.15,d3ae399c30f140c79d2b9ca6f9dbaf8c,d3ae399c30f140c79d2b9ca6f9dbaf8c,-,636c7f3217284e6fa3a6d113894bcf93,d3ae399c30f140c79d2b9ca6f9dbaf8c
C30017,정체불명 포장마차,0.7,0.2,e6f78d5227364cbb91005d587b90c77a,70118a1f365e48c2b0a1d75cd4c06a61,-,9752d7535891482db8eebabc2e350571,e6f78d5227364cbb91005d587b90c77a
C30018,설산의 마녀,0.8,0.2,69d8926419c64e34ab209ef4e57c1784,69d8926419c64e34ab209ef4e57c1784,-,b9f4da1c23334e2c872c765b9da1a516,69d8926419c64e34ab209ef4e57c1784
C30019,웨어울프,0.5,0.4,4c76d0760b974bf580a53c5a82ab73f7,750b29d57efb44f7bd166080ab78ff6d,-,6824b56591304427a6c59e55daa9d7e7,4c76d0760b974bf580a53c5a82ab73f7
C30020,판스,0.8,0.3,322886fbcdc9450db1db05c961c6feaf,b735dc692baa4874b503fa6400073fbe,-,2785ed7c20a4490daf0c84c514c82619,322886fbcdc9450db1db05c961c6feaf
C30021,바이킹베어,1,0.2,3514331d6db344f586092322c77f5d0b,e75822dedaf2430a8edaf0d6e79a735a,a448b31668084f1395ce337ec1e51ece,4ee40542696f45c78e597b28f4d6de28,3514331d6db344f586092322c77f5d0b
C40001,팔라딘,1,1,60939c45ebf64c5fb5deb18ccb6a7405,32f6656829b54049af389f7462bd18ca,69dfb453da4c41d99caecc7e353a6239,478f5d26319f4c9b816daaeabed39ab6,60939c45ebf64c5fb5deb18ccb6a7405
C40002,하인즈,0.8,0.5,e6a61c5e853c44849cfcf72cd16968d8,c07901900a4b475bb7f33142f4617909,-,f744063cb635419d81920c67006109a8,e6a61c5e853c44849cfcf72cd16968d8
C40003,오즈,1,0.5,3f4bf5ffe2f04ffe801a657cb1c41bd5,1bf753555e6546bbb393661e18912b98,-,8c4ba182c12f4822b2192ac265816221,3f4bf5ffe2f04ffe801a657cb1c41bd5
C40004,타이머,0.5,0.3,b3b243ca15a443b8ab79ccd6f948ad48,e4ec700db43d421ca9e42ff7c862d36a,-,f69aed6c97c24474950817be8474af12,b3b243ca15a443b8ab79ccd6f948ad48
C40005,나인하트,0.8,0.1,ec37ec91c7284ab89ee370e3e66627a7,3cb87a1c06754739bcbc3aa7337876d8,05683d49077b416c82771f842ae3c6eb,0c3ee937e9c040b2b2ecef8718d3f3ed,ec37ec91c7284ab89ee370e3e66627a7
C40006,주니어발록,0.5,0.5,041a0b28ffcb4739bbb3f2aefddc9c79,a0c87da041bd49a3b548f9db4b55d746,-,42a4d1a39eb841b9a426532e283a68ff,041a0b28ffcb4739bbb3f2aefddc9c79
C40007,윈드브레이커,1,1,44735454327649559133fefa6b989c28,19f856e9bb6440659e344f8c993db6f8,3d5ade963edb42a6a33c39f627b81d15,81cbb59c0ee94527b339ef2e77ffc25e,44735454327649559133fefa6b989c28
C40008,섀도어,1,1,ea78f78c215e4b1fb0657c03d7a4d9f5,7cea509518c64e5e973e02633330e659,63497553350b4262ace7f8f45a1fa57b,2df20d694ddf4cff81f27cc8e87046a0,ea78f78c215e4b1fb0657c03d7a4d9f5
C40009,엘리쟈,0.6,0.6,f7ccfbbe554e418f9d434b09a6ac0e72,e4e1fb8384994d8890b786f7b9df93a3,-,d46e81729811461a8450b67644c1ae80,f7ccfbbe554e418f9d434b09a6ac0e72
C40010,스노우맨,0.5,0.4,97238ee139a24a9ba2980595a90f42a7,c1baf10e5cbe4354aadfc09dc4cdf6d5,-,a3dcfe43b79640788cf2bf138b70abb1,97238ee139a24a9ba2980595a90f42a7
C40011,스트라이커,1,1,5555be86a2f8449c9f5218312a90c131,25dbe94d1d8147829d456b5ce9d08216,c8b883d4b18c4b67a09a3dd53e03b66e,fd9260ead86c4507bf60e0b6f9312a73,5555be86a2f8449c9f5218312a90c131
C40012,이리나,1,0.5,b13ff57a24ee42e8ba810129ddf1fbf2,3e8edd5b7dbe4508b7c6e3ef9eb203d1,-,26729bf05dfb47fea60b25d3a01d9d6f,b13ff57a24ee42e8ba810129ddf1fbf2
C40013,캡틴,1,1,d94e6ffc1f95498b85882dff47007bef,06e256fe49ad4e2e9916436ec8d9dbcc,f3a0562db14842a296996f43daacd480,f9399042c902464ba6cee656a2dce6a4,d94e6ffc1f95498b85882dff47007bef
C40014,구미호,0.75,0.35,2cb5a5b5ef574f19adf0093611a49bbb,697fa049404042568277a93b6a73781d,376ac705a0454f3899002f43be9a5461,9a62de4f9d9648b9904717ebc6496bc1,2cb5a5b5ef574f19adf0093611a49bbb
C40015,루루모,0.9,0.3,4b9724ec31ed4fb8b240a3686d6ff41c,5a11731895764a6b9d4f2911804eb909,-,f43ee82f0a6b44e7950bfb6f703b0808,4b9724ec31ed4fb8b240a3686d6ff41c
C40016,하늘 수호령,0.6,0.15,f68ae919f0eb4076906a358dc0d52dd0,f68ae919f0eb4076906a358dc0d52dd0,-,d7fe0f46b6e945eb95771e13cecea02c,f68ae919f0eb4076906a358dc0d52dd0
C40017,변형된 리본돼지,0.8,0.25,b2b98be5ac1f45909155ad99dce3a71f,507424b0fd70487ab84818a34be6a461,b2b98be5ac1f45909155ad99dce3a71f,30af059348584a72a568850c8bee3387,b2b98be5ac1f45909155ad99dce3a71f
C40018,타르가,0.8,0.2,ae9a3c478a184a52804c5a2734845df6,504c68c2af884dae85707d5e9a52a634,504c68c2af884dae85707d5e9a52a634,7abb6dea619b401f921673c288f901b0,ae9a3c478a184a52804c5a2734845df6
C50001,핑크빈,0.8,0.6,639342e552b84205a5380e6f311d35d1,50e0254126604938856b55154cc73635,d532616355cc46dc82f32dc40f2d6881,dfc841797d65473d93bb70bf6148aea7,639342e552b84205a5380e6f311d35d1
C50002,자쿰,1,0.6,1a5e4d545c4e40088c357e0c5509e681,33fbf278915c482dbb9658a26367c4ec,-,ef6b659e9dd447dab3cf65966f963d94,1a5e4d545c4e40088c357e0c5509e681
C50003,미하일,1,1,67ef9303c9184724b3ca78e96fa55fc0,01a8f001060c4149b568d0b028b6b500,084cf63983ae4b708c4c15bd84aa9faa,1a5cd686372c4999957f49e11c5176e3,67ef9303c9184724b3ca78e96fa55fc0
C50004,시그너스,1,0.5,040ddaf4eae04277ab19a75c122fe7eb,c2bb94d42d794de8a27dccf8f8c9fcd8,-,6abfe8fc0a2140c48b774ccb1d4cc603,040ddaf4eae04277ab19a75c122fe7eb
C50005,루시드,0.6,0.8,ce0945fe526a4bf0b810f33bffd174f5,ce0945fe526a4bf0b810f33bffd174f5,ce0945fe526a4bf0b810f33bffd174f5,f4c436458e964829ac2638883965e5c9,ce0945fe526a4bf0b810f33bffd174f5
C50006,크림슨발록,0.4,0.5,fa0858627f9d4774b1d46cb2cbc50b53,996d6baa5d3a4aa19dc394b39ce757db,f90685acf1f447c7a8afe4ad0e516054,f2b9f507d538413cb92a3e0a9623b640,fa0858627f9d4774b1d46cb2cbc50b53
C50007,헬레나,1,0.5,1bd5c855725840608f4297f1b13e6df8,26b0416379d94f67a95914047428117a,7806ca2e2e9b4956848ca517cc9e446a,57fff13dd41f462181ac6e8e30cc45c1,1bd5c855725840608f4297f1b13e6df8
C50008,파풀라투스,0.4,0.4,96f34dc356b240a4b6bb11a01e17e505,8ca0ae51bcab4fd2b1d9c9b2ff4baa35,-,6ac1b133ec674f09aefdc5558ec46c85,96f34dc356b240a4b6bb11a01e17e505
C50009,도깨비,1,0.4,aea1efcb9aa345c99afe976ba6e1e7d5,5d43811ab9d64dad88ee77de7af2c0a9,-,6f345045cbb143d88f50e76dbfc7488a,aea1efcb9aa345c99afe976ba6e1e7d5
C50010,프랑켄로이드,0.8,0.3,9ce4c9e51d7d40da906953424b89d930,377b3333d1db403a8e40d7f1b175adc6,-,6941cd1bfd7a443a82dccca210f28ef3,9ce4c9e51d7d40da906953424b89d930
C50011,시노,0.8,0.15,d68520e3b84a4a44b22344f8dd4f4c23,f93e956494ae4f3684bb97254eb20c38,,e7abbfba5ba342b2bbd2057830d15eb1,28e41789706a4708a9c37843e0cd7b73
C50012,게이트 키퍼,0.7,0.2,1e1265c453ad4ed7a9b7780ca40d7d48,ee458018a61344e59e59ef65f0f4908c,-,61cb1144c0f340bebc4f12429d804465,1e1265c453ad4ed7a9b7780ca40d7d48
C50013,스칼리온,0.8,0.2,0192d6f4cf12438dbcb4ea9ff48484c9,6d2f8a8ff3cd415fb8e69acf0bdd5df4,-,727601f6e8fd4cef832fa87de44a6d43,0192d6f4cf12438dbcb4ea9ff48484c9
