EventType,Location,GroupID,SceneRUID,Title,Title (참고),Description,Description (참고),op1_ID,op1_description,op1_description (참고),op2_ID,op2_description,op2_description (참고),op3_ID,op3_description,op3_description (참고),reward_Ratio
,,4,,,,Event_description_4_2,흠..그런데 이 정체불명의 씨앗은 무엇일까?\n\n이미 말라 죽은 듯한 모습에 크기는 작아서\n제대로 자랄 수 있는 건지도 모르겠다.\n\n이런 씨앗은 난생 처음이다. ,19,Event_skip_page,넘기기,,,,,,,
,,4,,,,Event_description_4_3,하지만 푸리의 얼굴을 보니 기대감이 가득해 보인다.\n\n분명 한입 먹으면 녹아내릴 정도로\n아주 단 맛이 날 거란다.\n\n이 씨앗이 얼마나 대단한 과일이 될지\n손짓 발짓 다 해가면서 설명을 하고 있다.,20,Event_dialogue_9,외래종인 것 같다.,21,Event_dialogue_10,더 살펴본다.,22,Event_dialogue_11,밑져야 본전!,
,,4,,,,Event_description_4_4,"""이건 외래종이잖아?!""\n\n외래종을 함부로 농장에 들여오면 안 된다.\n\n몬스터들에게 치명적인 알레르기를 일으키는 꽃의 씨앗이라는 이야기를 들은 적이 있다.\n\n역시 돌다리도 두드려보고 건너자.",,,,,,,,,,100
,,4,,,,Event_description_4_5,"푸리에게 씨앗을 건네받으려는 찰나에\n봉투를 놓쳐서 전부 쏟고 말았다.\n\n깜짝 놀랐는지 푸리가 왈칵 눈물을 쏟고 있다.\n\n""요리라도 해주면서 달래볼까..?""",,,,,,,,,,
,,4,,,,Event_description_4_6,"""망설일 필요 없지!""\n\n화분에 흙을 담고 물도 가득 준다.\n\n""쳇...""\n\n분명 햇빛이 쨍쨍한 곳에 두었는데도\n새싹조차 자라지 않았다. ",,,,,,,,,,
surprise,mail,5,e2b1c4cac65a4203a7072f82798a2e2d,Event_title_5,수상한 상인,Event_description_5_1,"수상한 상인이 농장을 방문했다.\n\n""허허허, 아주 좋은 물건을 가져왔소.\n내 단돈 100원에 팔 테니 구매하겠소?""\n\n100원이라구?!\n\n솔직히 이 정도 가격이면 속는 셈 치고 사더라도\n손해 볼 것 없는 금액이다.",24,Event_skip_page,넘기기,,,,,,,
,,5,,,,Event_description_5_2,"""음.. 그런데 찜찜하단 말이지.\n어디서 많이 본 것 같은데…?""\n\n상인이 내 생각을 읽었는지 다급하게 말한다. \n\n""그런데 말이오. 곡식창고에 문제가 없는지\n먼저 살펴봐야 하오.""\n\n""이 물건이 농장과 어울리는지 \n확인해야 하기 때문이지..허허""",25,Event_skip_page,넘기기,,,,,,,
,,5,,,,Event_description_5_3,이런!! 드디어 생각났다.'\n\n요즘 농장을 돌며 사기를 치고 다닌다던\n사기꾼이 아닌가!! \n\n'감히 날 바보로 알았겠다..!',26,Event_dialogue_12,유인한다.,27,Event_dialogue_13,신고한다.,28,Event_dialogue_14,궁금한데..,
,,5,,,,Event_description_5_4,"""창고는 이쪽입니다~ 따라오시죠.""\n\n상인을 창고로 유인한 후\n구경에 정신이 팔려있을 때 문을 잠가버렸다.\n\n""당신, 내가 모를 줄 알았어?!""\n\n얼마 지나지 않아 경찰이 도착했고\n용감한 시민 상을 받았다. ",,,,,,,,,,100
,,5,,,,Event_description_5_5,몰래 전화받는 척을 하면서\n\n경찰에 신고를 하려는 찰나..\n\n눈치 빠른 상인이 도망가고 말았다. ,,,,,,,,,,
,,5,,,,Event_description_5_6,"""이런..!!""\n\n상인이 판 물건을 확인해보니 그저 독특한 포장지에 감싸져 있을 뿐\n어디서나 볼 수 있는 흔한 사탕이었다.\n\n""곡식도 털리고.. 난 망했다!""",,,,,,,,,,
surprise,fence,6,32c16417f42b444f97c3986392f97cf2,Event_title_6,비가 올까?,Event_description_6_1,"""이번 주 내내 날씨가 좋았던 것 같은데..""\n\n""혹시라도 비가 온다면 어제 쌓아둔 건초 더미가 엉망이 될 거야!!""\n\n""곧 해가 질 텐데 이를 어쩐다..?""",30,Event_skip_page,넘기기,,,,,,,
,,6,,,,Event_description_6_2,"뉴스를 틀어 일기예보를 확인했다. \n\n""앗! 비가 올 확률이 상대적으로 낮다고 하는데\n말이지..""\n\n오잉? 같이 뉴스를 보던 푸리가 내일은 비가 온다고 한다. \n'믿어볼까?'",31,Event_dialogue_15,푸리를 믿어!,32,Event_dialogue_16,귀찮은데..,,,,
,,6,,,,Event_description_6_3,"""난 푸리를 믿어. 건초 더미를 옮기는 거야!""\n\n그리고 밤새도록 비가 내렸다.\n\n나중에 들은 거지만 푸리 종족만이 아는 \n방법이 있다고 한다.\n\n고대 푸리 종족에게는 비를 내리는 마법의 힘이 \n있다나 뭐라나.",,,,,,,,,,100
,,6,,,,Event_description_6_4,"""에라 모르겠다!!""\n\n농장일을 뒤로 미룬 채 집으로 걸어가는데\n하늘에 구멍이라도 뚫린 듯 비가 쏟아졌다.\n\n""푸리 말을 들을 걸 그랬나..흑흑.."" ",,,,,,,,,,
surprise,ground,7,e147208e675a4798992692bb41e8bde7,Event_title_7,병원은 무서워!,Event_description_7_1,"푸리가 오늘따라 조용하다. \n\n""아픈 것 같기도 하고.. 잠을 못 잤나..?""\n\n몬스터들을 정성을 담아 돌보는 것도\n농장주의 소양 중 하나다.\n\n""음.. 하지만 몬스터 수가 많아서 일손이 상당히 부족한데 말이야..""",34,Event_skip_page,넘기기,,,,,,,
,,7,,,,Event_description_7_2,"""푸리야. 어디 아픈 곳 있니? 혹시 고민이 있는 거라면….""\n\n말을 끝나기도 전에 푸리가 외쳤다. \n\n""그냥 자다 일어나서 피곤한 것 뿐이에요! 신경 쓰지 마세요!""\n\n그리고는 재빠르게 뛰어갔다. \n푸리가 점점 멀어지고 있다. 뒤쫓아야 할까?",35,Event_dialogue_16,귀찮은데..,36,Event_dialogue_18,쫓아간다.,37,Event_dialogue_19,풀푸리는 알까?,
,,7,,,,Event_description_7_3,"""푸리에게 관심을 줄 걸 그랬어.."" \n\n점점 말이 없어지더니 나쁜 푸리로 변했다.",,,,,,,,,,
,,7,,,,Event_description_7_4,"푸리 왈,\n먹지 말라고 했던 사탕을 몰래 먹다가 \n이빨이 부러졌다고 한다. \n\n혼날까 봐 숨겼다나 뭐라나.\n\n""시시해~""",,,,,,,,,,100
,,7,,,,Event_description_7_5,"""혹시 나한테 말하고 싶지 않은 걸지도..""\n\n푸리의 단짝인 풀푸리에게 넌지시 물어본다. \n\n""난 몰라요, 몰라! 푸리가 아무한테도\n이야기하지 말라고 했다고요!""\n\n모르겠다. 사춘기라도 온 걸까.",,,,,,,,,,
surprise,fence,8,c98a4cc36b1b49e7b86a51fa11a93295,Event_title_8,수상한 방문인 ,Event_description_8_1,"모자를 푹 눌러 쓴 나그네가 문을 두드린다.\n\n""배가 고파 길을 헤매다 여기까지 왔다네.""\n \n""뭐라도 좋으니 먹을 것을 나누어줄 수 있겠소?""\n\n먹을 것을 찾아볼까?",39,Event_dialogue_20,나도 배고파!,40,Event_dialogue_21,찾아본다.,,,,
,,8,,,,Event_description_8_2,"""몬스터가 먹을 음식도 없어요!"" \n\n썩 물러가라 호통친다. \n\n나그네는 화를 내며 저 멀리 사라졌다.",,,,,,,,,,
,,8,,,,Event_description_8_3,"점심으로 싸온 빵을 나그네에게 건네준다. \n\n허겁지겁 먹더니 만족한 듯한 미소를 띤다.\n\n""이건 당신의 점심이었을 텐데 나눠주다니.. \n정말이지, 고맙소.""",,,,,,,,,,100
surprise,ground,9,cd4e0e69e7f64708bb5f37e97f1e1a77,Event_title_9,보물지도?,Event_description_9_1,"쪽지를 주웠다. \n\n커다란 나무가 그려져 있고 그 밑에\n'X' 표시가 보인다. \n\n""누군가가 떨어트린 보물지도가 틀림없어!""",42,Event_skip_page,넘기기,,,,,,,
,,9,,,,Event_description_9_2,"그런데 주변에 나무가 많아도 너무 많다.\n\n""다른 힌트는 없을까?""\n\n""나무 밑을 전부 파볼 수도 없고..""",43,Event_dialogue_22,다시 내려둔다.,44,Event_dialogue_23,쪽지에 비밀이?,45,Event_dialogue_24,나무를 살핀다.,
,,9,,,,Event_description_9_3,"""남의 것에 손대는 건 좋은 행동이 아니야.""\n\n""누군가의 소중한 물건일 수도 있고..""\n\n쪽지를 다시 내려놓았다.",,,,,,,,,,
,,9,,,,Event_description_9_4,쪽지를 살펴보는데\n풀푸리가 다가와서 말을 건다.\n\n자기들끼리 보물찾기 놀이를 할 때 썼단다.\n\n'에이 싱거워~',,,,,,,,,,
,,9,,,,Event_description_9_5,"아홉 번째 나무 밑을 살펴보다가\n반짝이는 보석을 발견했다!\n\n\n""야호, 이게 웬 횡재야?!""",,,,,,,,,,100
surprise,fence,10,a14c43f9401c4b43a48cc050033ac87f,Event_title_10,마지막 주사위 ,Event_description_10_1,"푸리와 벼리가 윷놀이를 하고 있다.\n\n""과연 누가 이길까?""\n\n다른 말이 전부 도착했고\n각자 하나씩만을 남겨두고 있다.",47,Event_skip_page,넘기기,,,,,,,
,,10,,,,Event_description_10_2,"벼리가 힘차게 윷을 던졌다.\n\n한 칸, 두 칸, 세 칸 이동해서 '도'만 나오더라도 골인할 수 있는 상태!\n\n푸리가 다급하게 외쳤다.\n\n""찬스 찬스~, 대신 좀 던져주라!"" \n\n푸리가 내게 윷을 내민다.",48,Event_dialogue_25,힘껏 던진다.,49,Event_dialogue_26,운명에 맡긴다.,,,,
,,10,,,,Event_description_10_3,"""도!""\n\n""에잇, 조금 살살 던져볼 걸 그랬나..""\n\n푸리의 표정을 보니, 무척 실망한 듯 하다.",,,,,,,,,,
,,10,,,,Event_description_10_4,"모가 나와서 한 번 더! 그리고 빽도까지!\n\n푸리의 말이 벼리의 말을 잡았다.\n\n""푸리의 승리!""",,,,,,,,,,100
surprise,mail,11,9771312bf6354d49b4b86a4efe7a2c38,Event_title_11,제3의 눈,Event_description_11_1,"푸리가 다가와서 문제를 낸다.\n\n""요즘 유행하는 텔레파시 테스트야~""\n\n""우리가 소울메이트인지 아닌지 알 수 있대.""",51,Event_skip_page,넘기기,,,,,,,
,,11,,,,Event_description_11_2,"""자~ 나는 숫자를 하나 생각해뒀어.""\n\n""1, 2, 3 중에 하나만 고르면 돼!""\n\n음, 고민이 된다. 어떤 숫자를 고를까?",52,Event_dialogue_27,정답은 1,53,Event_dialogue_28,더 고민한다.,54,Event_dialogue_29,5?,
,,11,,,,Event_description_11_3,"""와아! 우리 통했다~ 맞아, 1이야!""\n\n""흐음..하지만 조금은 아쉬운데..""\n\n푸리가 원하던 대답이 아닌 것 같다.",,,,,,,,,,
,,11,,,,Event_description_11_4,"""헤헤, 사실 이 문제는 얼마나 신중하게\n대답하는지가 더 중요한 테스트지롱~""\n\n""오래 고민을 하다니, 날 소중하게 생각하고 있구나!""\n\n푸리가 매우 기뻐보인다.",,,,,,,,,,100
,,11,,,,Event_description_11_5,"""꼭 1, 2, 3 중에 하나를 고를 필요는 없잖아?""\n\n당당하게 이야기 했다.\n\n푸리가 조금 시무룩해 보이는 건 기분 탓일까?",,,,,,,,,,
surprise,ground,12,ee2b022e4da7440da2eadb761df12766,Event_title_12,두 양파,Event_description_12_1,"푸리에게 착한 양파와 나쁜 양파를 선물했다.\n\n""잘 키워주렴~어떤 양파가 더 잘 자라는지 삼 주 뒤에 확인해볼까?""\n\n그런데 웬걸! 나쁜 양파가 더 잘 자라고 있는 게 아닌가.\n\n남은 기간은 6일..\n그 사이에 큰 변화가 있을 것 같진 않다. ",56,Event_skip_page,넘기기,,,,,,,
,,12,,,,Event_description_12_2,"""나쁜 양파가 색도 더 푸르고 윤기가 흐르는 것 같은데..""\n\n착한 양파가 더 잘 자랄 수 밖에 없다는 교훈을\n주고 싶었지만..\n\n이대로라면 오히려 잘못된 신념을\n심어주게 될 것 같다. \n ",57,Event_dialogue_30,이름표를 바꾸자.,58,Event_dialogue_31,기다려보자.,59,Event_dialogue_32,양파를 맞바꾸자.,
,,12,,,,Event_description_12_3,"푸리 몰래 이름표를 바꾸려고 하는 찰나!\n\n푸리에게 제대로 들켰다.\n\n""날 속이려고!""\n\n푸리를 화나게 만들었다.",,,,,,,,,,
,,12,,,,Event_description_12_4,"며칠 뒤, 나쁜 양파의 이파리가 시드는 것 같더니 어느덧 말라버렸다.\n\n푸리에게도 좋은 교훈을 알려줄 수 있었다. ",,,,,,,,,,100
,,12,,,,Event_description_12_5,두 양파를 맞바꾸려는 순간에\n푸리가 말을 걸었고 깜짝 놀라 양파를 떨어트렸다. \n\n푸리에게 교훈을 줄 순 없었지만\n그래도 안 걸려서 다행이다. ,,,,,,,,,,
surprise,ground,13,ae051d5562f8444aa7d492a30a0ad612,Event_title_13,커피 사탕 ,Event_description_13_1,"""사탕 하나 주면 안 잡아먹지~""\n\n푸리가 흰색 천을 두르고 유령이 되어 나타났다. \n\n누가 봐도 푸리인데 다르게 보이는 줄 아나 보다.",61,Event_skip_page,넘기기,,,,,,,
,,13,,,,Event_description_13_2,"""나는 딸기 사탕을 좋아하는 유령이다. 무섭지이~""\n\n빨리 뭐라도 주고 보내야겠다.\n\n서랍을 찾아보니 사탕이 두 개 나왔다.\n\n어떤 사탕을 줄까?",62,Event_dialogue_33,안 줄래!,63,Event_dialogue_34,분홍색 사탕,64,Event_dialogue_35,흰색 사탕,
,,13,,,,Event_description_13_3,"""유령의 저주가 찾아올 것이다~~""\n\n푸리가 어디론가 사라졌다.\n\n몸이 으슬으슬한 게 조금 추운 것 같기도..?",,,,,,,,,,
,,13,,,,Event_description_13_4,"""까꿍~ 사실 난 푸리지롱~ 사탕 잘 먹을게!""\n\n푸리가 신난 발걸음으로 되돌아갔다.",,,,,,,,,,100
,,13,,,,Event_description_13_5,"알고 보니 흰색 사탕은 우유 맛 사탕이었다.\n\n푸리는 유당불내증이 있어 배탈이 나고 말았다.\n\n""아이고~ 배야~""",,,,,,,,,,
surprise,ground,14,8a497f6bb8894474b1feabef44f67b46,Event_title_14,의문의 메모장,Event_description_14_1,"""오늘은 어떤 음식을 만들까?""\n\n레시피가 적힌 노트를 열어 훑어보던 중\n읽기 어려운 단어를 발견했다.",66,Event_skip_page,넘기기,,,,,,,
,,14,,,,Event_description_14_2,"""H워얼V'\n\n무슨 뜻인지 모르겠다.\n\n과거의 기억을 떠올려 보자.\n\n뭐라고 쓴 걸까?",67,Event_dialogue_36,더 생각한다.,68,Event_dialogue_37,모르겠어.,69,Event_dialogue_38,혹시..?,
,,14,,,,Event_description_14_3,아무리 생각해 봐도 모르겠다.\n\n대신 다른 게 떠올랐다. \n\n그건 바로 이웃 마이크가 전화로 알려준 레시피! \n\n오늘은 몬스터들에게 더 맛난 요리를 해줄 수 있겠다.,,,,,,,,,,100
,,14,,,,Event_description_14_4,"""그냥 배고프다는 낙서가 아닐까?""\n\n노트를 덮었고 아무 일도 일어나지 않았다.",,,,,,,,,,
,,14,,,,Event_description_14_5,ㅅ..ㅏ..ㄹ..사랑..해!'\n\n얼마 전 푸리가 글 쓰는 법을 배웠다며\n오밀조밀 써주고 간 기억이 난다!\n\n마음이 따뜻해졌다.,,,,,,,,,,100
main,,15,5cedcbf1eb684362a947bef3eb04b8d0,Event_title_15,첫 걸음 떼기,Event_description_15_1,"""와! 반가워~ 네가 이번에 새로 온 농장 주인이구나.""\n\n""적응하느라 바쁘지?""\n\n""내가 퀴즈를 하나 낼게. 맞추면 선물도 줄 거야!""",71,Event_skip_page,넘기기,,,,,,,
,,15,,,,Event_description_15_2,"""상점에서 구매 가능한 몬스터의 종류는\n얼마나 될까?""\n\n이 정도 난이도라면 자신 있다.",72,Event_dialogue_39,네 종류,73,Event_dialogue_40,다섯 종류,74,Event_dialogue_41,몰라!,
,,15,,,,Event_description_15_3,"""흠..아쉽네~ 정답은 다섯 종이야.""\n\n맞출 수 있었는데 아쉽다!\n\n""세상에 얼마나 많은 몬스터가 더 있을까\n궁금하지 않니.""\n\n그래도 열심히 문제를 풀었으니 선물을 줄게~""",,,,,,,,,,100
,,15,,,,Event_description_15_4,"""정답~ 다섯 종의 몬스터를 구매할 수 있다는 말씀!""\n\n정답을 맞춰서 기분이 좋아졌다.\n\n""다른 몬스터들도 빨리 만나고 싶지 않니?""\n\n""앞으로의 농장 생활도 기대할게!""",,,,,,,,,,100
,,15,,,,Event_description_15_5,"""몰라도 괜찮아~""\n\n""총 다섯 종의 몬스터를 상점에서 구매할 수 있어.""\n\n""궁금하면 한 번 들어가 보는 것도 좋겠네.""\n\n""그래도 열심히 문제를 풀었으니 선물을 줄게~""",,,,,,,,,,100
main,,16,7a45062f32c440e3a7caf911f25bc2f1,Event_title_16,푸리를 위한 선물,Event_description_16_1,"농장을 위해 열심히 일한 푸리에게\n선물을 해주고 싶다.\n\n""뭘 좋아하는지 모르겠는데..""\n\n푸리에게 직접 물어볼까? ",76,Event_skip_page,넘기기,,,,,,,
,,16,,,,Event_description_16_2,"""작은 손수건을 가지고 싶어요.""\n\n여름에 땀을 많이 흘리는 푸리에게\n꼭 필요한 선물 같다.\n\n""음..하지만 손수건을 어디서 구하지?""",77,Event_dialogue_42,사서 선물한다.,78,Event_dialogue_43,만들어준다.,79,Event_dialogue_44,중고를 선물한다.,
,,16,,,,Event_description_16_3,"""음..이왕 선물하는 거라면..""\n\n백화점에서 파는 비싼 손수건을 선물했다.\n\n""난 이런 걸 바라지 않았어요!""\n\n푸리는 정성이 담긴 손수건을 원했던 것 같다.",,,,,,,,,,
,,16,,,,Event_description_16_4,"직접 천을 오리고 다듬어서 손수건을 만들었다.\n\n""푸리야, 여기 선물~""\n\n푸리의 미소는 언제 봐도 귀엽다.",,,,,,,,,,100
,,16,,,,Event_description_16_5,"쓰던 걸 잘 포장해서 주기로 했다.\n\n""푸리야, 여기 선물~""\n\n아뿔싸, 손수건에 작은 얼룩이 묻어있었다.\n\n푸리의 얼굴에 섭섭함이 가득했다.",,,,,,,,,,
main,,17,763961e7b2e54f27b6fd6d36ecec799c,Event_title_17,두 걸음 딛기,Event_description_17_1,"""안녕~ 즐거운 퀴즈 시간이야.\n자! 문제를 낼게~""\n\n""상위 조합 재료인 캔디를 얻을 수 없다면\n어떻게 해야 할까?""",81,Event_dialogue_45,요리를 한다.,82,Event_dialogue_46,조합을 한다.,,,,
,,17,,,,Event_description_17_2,"""틀렸어! 요리는 몬스터의 레벨을 올릴 때\n하는 거야~""\n\n""조합을 통해 얻은 몬스터만 캔디를 만들어~""\n\n""즉, 조합을 해야 한다구!""\n\n상점에서 파는 몬스터를 조합해 볼까.",,,,,,,,,,
,,17,,,,Event_description_17_3,"""정답! 조합을 통해 얻은 몬스터만\n캔디를 만들 수 있다구~""\n\n""당장 조합을 해봐~""\n\n상점에서 파는 몬스터를 조합해 볼까.",,,,,,,,,,100
main,,18,8af53da94c384210aed664b451f296d6,Event_title_18,라면 끓이기,Event_description_18_1,"열심히 몬스터 요리를 만들다 보니 배가 고프다. \n\n""나도 배고프다구..""\n\n간단하게 만들어 먹을 요리가 없을까? ",84,Event_skip_page,넘기기,,,,,,,
,,18,,,,Event_description_18_2,"수납장에서 라면을 발견했다. \n\n'물 500ml를 넣고 끓인 후 스프와 면을 넣어 조리하세요.'\n\n잠깐, 스프를 먼저 넣을까 아니면 면 먼저?",85,Event_dialogue_47,면이 먼저!,86,Event_dialogue_48,스프가 먼저!,,,,
,,18,,,,Event_description_18_3,"""바로 이 맛이지~~""\n\n면발이 쫄깃하니 너무나도 맛있다.\n\n""요리 대성공이다~""",,,,,,,,,,100
,,18,,,,Event_description_18_4,"으악! 스프를 넣자마자 물이 확 넘치고 말았다.\n\n""오늘 요리는 망했어~~""\n\n배가 너무나도 고프지만.. 굶지 뭐~",,,,,,,,,,100
main,,19,e15dbfc2485448d0a8c5c85e3e531345,Event_title_19,밥 투정,Event_description_19_1,몬스터의 레벨을 올리기 위해 요리를 만들었다.\n\n하지만 이런 내 마음을 모르는지\n푸리가 밥 먹기 싫다고 난리다. ,88,Event_skip_page,넘기기,,,,,,,
,,19,,,,Event_description_19_2,"""먹고 싶은 거 있니?""\n\n""말해보렴~ 만들어 줄게.""\n\n기분이 좋아진 푸리가 말했다.\n\n""느끼하지 않고 가벼운데 건강한 맛을 원해!""\n\n어떤 요리를 해줄까?",89,Item_92,짜장면,90,Event_dialogue_50,샌드위치,91,Event_dialogue_51,국밥,
,,19,,,,Event_description_19_3,"짜장면을 만들어서 푸리에게 건네주었다.\n\n푸리의 기분이 안 좋아 보인다.\n\n""이건 너무 느끼하잖아! 안 먹어!""\n\n결국 내가 다 먹었다.",,,,,,,,,,
,,19,,,,Event_description_19_4,"샌드위치를 만들어서 푸리에게 건네주었다.\n\n푸리의 기분이 좋아 보인다.\n\n""내가 딱 먹고 싶었던 요리야. 잘 먹을게~""",,,,,,,,,,100
,,19,,,,Event_description_19_5,"국밥을 만들어 푸리에게 건네주었다.\n\n푸리의 기분이 안 좋아 보인다.\n\n""건강하기만 하면 뭐해! 가볍지가 않은데!""\n\n결국 내가 다 먹었다.",,,,,,,,,,
main,,20,219f7f9e6ac4457f95538db18415cd96,Event_title_20,앗! 도둑이다~,Event_description_20_1,"창고에서 부스럭거리는 소리가 난다.\n\n""설마 도둑이 든 건가!?""\n\n""감히 내 물건을 훔치려 하다니 가만 안 둬!""",93,Event_skip_page,넘기기,,,,,,,
,,20,,,,Event_description_20_2,"막상 도둑을 마주할 생각을 하니 조금 무섭다.\n\n""누..누구 있어요?""\n\n뭐라도 챙겨가는 게 좋겠다.",94,Event_dialogue_52,"핍아, 도와줘!",95,Event_dialogue_53,주걱을 든다.,96,Event_dialogue_54,노크한다.,
,,20,,,,Event_description_20_3,"핍이 창고 문에 귀를 대고 소리를 듣고 있다.\n\n""코를 고는 소리가 들려!""\n\n조용히 문을 열었다.\n\n푸리가 깃털을 베고 누워 잠을 자고 있었다.\n\n""너무 귀엽잖아!""",,,,,,,,,,100
,,20,,,,Event_description_20_4,"주걱으로 도둑을 제압하자.'\n\n조용히 문을 열었다.\n\n작은 쥐가 건초 더미에서 튀어나와 도망갔다.\n\n""뭐야, 별거 아니네!""",,,,,,,,,,
,,20,,,,Event_description_20_5,"""안에 누구 있어요?""\n\n노크를 하고 들어가 보니 아무것도 없었다.\n\n노크 소리를 듣고 도망친 걸지도.",,,,,,,,,,
main,,21,d4140c6fba1a4b93919e8720952c6833,Event_title_21,꼬미꼬의 마법,Event_description_21_1,"""난 꼬미꼬야~ 날 수 있는 마법을 걸어줄게.\n대신 하나만 조심해줘~"" \n\n""한 번에 너무 오래 비행을 하면 안 돼!""",98,Event_skip_page,넘기기,,,,,,,
,,21,,,,Event_description_21_2,"""우리 꼬미꼬 종족은 무조건 지키는\n약속이라구~알겠지?""\n\n고개를 끄덕인다.\n\n""자 그럼 마법을 걸어줄게~""",99,Event_skip_page,넘기기,,,,,,,
