AdviceID,Desc,AdviceText,AdviceCharImageRUID,Category,MaxCount
AD105_4,,TutorialPinkbeanMessage_0010,0afe382d19c54a1f988513b21d1be98c,AD105,5
AD105_5,,TutorialPinkbeanMessage_0011,f89484391a4f4a5580c2117c91a7163f,AD105,5
AD106_1,전투 종료 후,TutorialPinkbeanMessage_0092,e8100818a63b4ea1859cd45966f39ede,AD106,4
AD106_2,,TutorialPinkbeanMessage_0012,e8100818a63b4ea1859cd45966f39ede,AD106,4
AD106_3,,TutorialPinkbeanMessage_0013,dbfe20ec1aa34acc8b76c3127d02fdd8,AD106,4
AD106_4,,TutorialPinkbeanMessage_0014,dbfe20ec1aa34acc8b76c3127d02fdd8,AD106,4
AD107_1,1-2 진입,TutorialPinkbeanMessage_0018,f89484391a4f4a5580c2117c91a7163f,AD107,4
AD107_2,,TutorialPinkbeanMessage_0019,dbfe20ec1aa34acc8b76c3127d02fdd8,AD107,4
AD107_3,,TutorialPinkbeanMessage_0093,e8100818a63b4ea1859cd45966f39ede,AD107,4
AD107_4,,TutorialPinkbeanMessage_0020,0afe382d19c54a1f988513b21d1be98c,AD107,4
AD108_1,시너지용 캐릭터 구매,TutorialPinkbeanMessage_0021,f89484391a4f4a5580c2117c91a7163f,AD108,1
AD109_1,시너지 첫 활성화,TutorialPinkbeanMessage_0022,e8100818a63b4ea1859cd45966f39ede,AD109,4
AD109_2,,TutorialPinkbeanMessage_0094,0afe382d19c54a1f988513b21d1be98c,AD109,4
AD109_3,,TutorialPinkbeanMessage_0095,f89484391a4f4a5580c2117c91a7163f,AD109,4
AD109_4,,TutorialPinkbeanMessage_0023,0afe382d19c54a1f988513b21d1be98c,AD109,4
AD110_1,스톤골렘 구매,TutorialPinkbeanMessage_0024,0afe382d19c54a1f988513b21d1be98c,AD110,1
AD111_1,빅토리아 시너지 활성화,TutorialPinkbeanMessage_0025,e8100818a63b4ea1859cd45966f39ede,AD111,1
AD112_1,1-3 진입,TutorialPinkbeanMessage_0026,f89484391a4f4a5580c2117c91a7163f,AD112,4
AD112_2,,TutorialPinkbeanMessage_0027,dbfe20ec1aa34acc8b76c3127d02fdd8,AD112,4
AD112_3,,TutorialPinkbeanMessage_0096,dbfe20ec1aa34acc8b76c3127d02fdd8,AD112,4
AD112_4,,TutorialPinkbeanMessage_0028,0afe382d19c54a1f988513b21d1be98c,AD112,4
AD113_1,캐릭터 넷 배치 (초보자),TutorialPinkbeanMessage_0029,e8100818a63b4ea1859cd45966f39ede,AD113,3
AD113_2,,TutorialPinkbeanMessage_0030,0afe382d19c54a1f988513b21d1be98c,AD113,3
AD113_3,,TutorialPinkbeanMessage_0031,dbfe20ec1aa34acc8b76c3127d02fdd8,AD113,3
AD114_1,캐릭터 모두 구매 후,TutorialPinkbeanMessage_0032,0afe382d19c54a1f988513b21d1be98c,AD114,2
AD114_2,,TutorialPinkbeanMessage_0033,f89484391a4f4a5580c2117c91a7163f,AD114,2
AD115_1,첫 새로고침 후,TutorialPinkbeanMessage_0034,e8100818a63b4ea1859cd45966f39ede,AD115,1
AD116_1,2성 처음으로 만든 후,TutorialPinkbeanMessage_0035,e8100818a63b4ea1859cd45966f39ede,AD116,2
AD116_2,,TutorialPinkbeanMessage_0036,dbfe20ec1aa34acc8b76c3127d02fdd8,AD116,2
AD117_1,2-1 진입,TutorialPinkbeanMessage_0037,e8100818a63b4ea1859cd45966f39ede,AD117,5
AD117_2,,TutorialPinkbeanMessage_0097,f89484391a4f4a5580c2117c91a7163f,AD117,5
AD117_3,,TutorialPinkbeanMessage_0038,0afe382d19c54a1f988513b21d1be98c,AD117,5
AD117_4,,TutorialPinkbeanMessage_0039,dbfe20ec1aa34acc8b76c3127d02fdd8,AD117,5
AD117_5,,TutorialPinkbeanMessage_0040,f89484391a4f4a5580c2117c91a7163f,AD117,5
AD117_1_1,경험치 구매 한번 더,TutorialPinkbeanMessage_0098,f89484391a4f4a5580c2117c91a7163f,AD117_1,1
AD118_1,팀 레벨 5 달성,TutorialPinkbeanMessage_0099,e8100818a63b4ea1859cd45966f39ede,AD118,2
AD118_2,,TutorialPinkbeanMessage_0041,0afe382d19c54a1f988513b21d1be98c,AD118,2
AD118_1_1,노블레스 배치,TutorialPinkbeanMessage_0042,e8100818a63b4ea1859cd45966f39ede,AD118,3
AD118_1_2,,TutorialPinkbeanMessage_0100,0afe382d19c54a1f988513b21d1be98c,AD118,3
AD118_1_3,,TutorialPinkbeanMessage_0043,f89484391a4f4a5580c2117c91a7163f,AD118,3
AD119_1,카알 대검 구매,TutorialPinkbeanMessage_0044,f89484391a4f4a5580c2117c91a7163f,AD119,3
AD119_2,,TutorialPinkbeanMessage_0045,dbfe20ec1aa34acc8b76c3127d02fdd8,AD119,3
AD119_3,,TutorialPinkbeanMessage_0046,0afe382d19c54a1f988513b21d1be98c,AD119,3
AD120_1,추억의 사제 구매,TutorialPinkbeanMessage_0047,0afe382d19c54a1f988513b21d1be98c,AD120,1
AD121_1,아이템 장착,TutorialPinkbeanMessage_0048,e8100818a63b4ea1859cd45966f39ede,AD121,3
AD121_2,,TutorialPinkbeanMessage_0049,0afe382d19c54a1f988513b21d1be98c,AD121,3
AD121_3,,TutorialPinkbeanMessage_0050,f89484391a4f4a5580c2117c91a7163f,AD121,3
AD122_1,추억의 사제 판매,TutorialPinkbeanMessage_0051,0afe382d19c54a1f988513b21d1be98c,AD122,4
AD122_2,,TutorialPinkbeanMessage_0101,dbfe20ec1aa34acc8b76c3127d02fdd8,AD122,4
AD122_3,,TutorialPinkbeanMessage_0102,f89484391a4f4a5580c2117c91a7163f,AD122,4
AD122_4,주황버섯에게 카알 대검 주기,TutorialPinkbeanMessage_0052,0afe382d19c54a1f988513b21d1be98c,AD122,4
AD122_1_1,,TutorialPinkbeanMessage_0103,dbfe20ec1aa34acc8b76c3127d02fdd8,AD122_1,1
AD122_2_1,주황버섯 우클릭,TutorialPinkbeanMessage_0104,e8100818a63b4ea1859cd45966f39ede,AD122_1,2
AD122_2_2,,TutorialPinkbeanMessage_0105,f89484391a4f4a5580c2117c91a7163f,AD122_2,2
AD122_3_1,추천 아이템에 마우스 오버,TutorialPinkbeanMessage_0106,dbfe20ec1aa34acc8b76c3127d02fdd8,AD122_3,1
AD122_4_1,유닛 정보 팝업 닫기,TutorialPinkbeanMessage_0053,0afe382d19c54a1f988513b21d1be98c,AD122_4,1
AD123_1,2-2 진입,TutorialPinkbeanMessage_0054,0afe382d19c54a1f988513b21d1be98c,AD123,2
AD123_2,,TutorialPinkbeanMessage_0055,dbfe20ec1aa34acc8b76c3127d02fdd8,AD123,2
AD124_1,고깔 모자 구매,TutorialPinkbeanMessage_0056,0afe382d19c54a1f988513b21d1be98c,AD124,1
AD125_1,아이템 합성,TutorialPinkbeanMessage_0057,e8100818a63b4ea1859cd45966f39ede,AD125,4
AD125_2,,TutorialPinkbeanMessage_0107,0afe382d19c54a1f988513b21d1be98c,AD125,4
AD125_3,,TutorialPinkbeanMessage_0058,dbfe20ec1aa34acc8b76c3127d02fdd8,AD125,4
AD125_4,,TutorialPinkbeanMessage_0059,f89484391a4f4a5580c2117c91a7163f,AD125,4
AD125_1_1,카르마의 가위 사용,TutorialPinkbeanMessage_0060,e8100818a63b4ea1859cd45966f39ede,AD125_1,3
AD125_1_2,,TutorialPinkbeanMessage_0108,0afe382d19c54a1f988513b21d1be98c,AD125_1,3
AD125_1_3,,TutorialPinkbeanMessage_0061,dbfe20ec1aa34acc8b76c3127d02fdd8,AD125_1,3
AD125_2_1,아이템 장착,TutorialPinkbeanMessage_0062,dbfe20ec1aa34acc8b76c3127d02fdd8,AD125_2,1
AD126_1,2-3 진입,TutorialPinkbeanMessage_0063,0afe382d19c54a1f988513b21d1be98c,AD126,2
AD126_2,,TutorialPinkbeanMessage_0064,f89484391a4f4a5580c2117c91a7163f,AD126,2
AD127_1,룬카드 구매 후,TutorialPinkbeanMessage_0065,e8100818a63b4ea1859cd45966f39ede,AD127,7
AD127_2,,TutorialPinkbeanMessage_0066,dbfe20ec1aa34acc8b76c3127d02fdd8,AD127,7
AD127_3,,TutorialPinkbeanMessage_0109,f89484391a4f4a5580c2117c91a7163f,AD127,7
AD127_4,,TutorialPinkbeanMessage_0067,dbfe20ec1aa34acc8b76c3127d02fdd8,AD127,7
AD127_5,,TutorialPinkbeanMessage_0068,f89484391a4f4a5580c2117c91a7163f,AD127,7
AD127_6,,TutorialPinkbeanMessage_0110,0afe382d19c54a1f988513b21d1be98c,AD127,7
AD127_7,,TutorialPinkbeanMessage_0069,0afe382d19c54a1f988513b21d1be98c,AD127,7
AD128_1,3-1 진입,TutorialPinkbeanMessage_0070,f89484391a4f4a5580c2117c91a7163f,AD128,2
AD128_2,,TutorialPinkbeanMessage_0071,0afe382d19c54a1f988513b21d1be98c,AD128,2
AD129_1,사전 UI 오픈,TutorialPinkbeanMessage_0072,e8100818a63b4ea1859cd45966f39ede,AD129,2
AD129_2,,TutorialPinkbeanMessage_0073,0afe382d19c54a1f988513b21d1be98c,AD129,2
AD130_1,사전 UI 닫기,TutorialPinkbeanMessage_0074,0afe382d19c54a1f988513b21d1be98c,AD130,2
AD130_2,,TutorialPinkbeanMessage_0075,f89484391a4f4a5580c2117c91a7163f,AD130,2
AD131_1,통계 UI 오픈,TutorialPinkbeanMessage_0076,e8100818a63b4ea1859cd45966f39ede,AD131,2
AD131_2,,TutorialPinkbeanMessage_0077,0afe382d19c54a1f988513b21d1be98c,AD131,2
AD132_1,통계 UI 닫기,TutorialPinkbeanMessage_0078,0afe382d19c54a1f988513b21d1be98c,AD132,4
AD132_2,,TutorialPinkbeanMessage_0111,f89484391a4f4a5580c2117c91a7163f,AD132,4
AD132_3,,TutorialPinkbeanMessage_0079,e8100818a63b4ea1859cd45966f39ede,AD132,4
AD132_4,,TutorialPinkbeanMessage_0079,e8100818a63b4ea1859cd45966f39ede,AD132,4
AD133_1,클리어 후 다시 왔을 경우,TutorialPinkbeanMessage_0082,0afe382d19c54a1f988513b21d1be98c,AD134,4
AD133_2,,TutorialPinkbeanMessage_0001,0afe382d19c54a1f988513b21d1be98c,AD134,4
AD133_3,,TutorialPinkbeanMessage_0002,dbfe20ec1aa34acc8b76c3127d02fdd8,AD134,4
AD133_4,,TutorialPinkbeanMessage_0003,0afe382d19c54a1f988513b21d1be98c,AD134,4
ADUN1_1,패배했을 때,TutorialPinkbeanMessage_0015,0afe382d19c54a1f988513b21d1be98c,ADUN1,4
ADUN1_2,,TutorialPinkbeanMessage_0016,f89484391a4f4a5580c2117c91a7163f,ADUN1,4
ADUN1_3,,TutorialPinkbeanMessage_0112,dbfe20ec1aa34acc8b76c3127d02fdd8,ADUN1,4
ADUN1_4,,TutorialPinkbeanMessage_0017,0afe382d19c54a1f988513b21d1be98c,ADUN1,4
ADUN2_1,연장전 진입,TutorialPinkbeanMessage_0081,f89484391a4f4a5580c2117c91a7163f,ADUN2,1
ADUN3_1,전투 종료 시,TutorialPinkbeanMessage_0083,0afe382d19c54a1f988513b21d1be98c,ADUN3,1
