Id,Type,TypeValue,Condition,RewardType,RewardAmount
10003029,10003,90000,,G0001,400000
10003030,10003,100000,,G0001,400000
10003031,10003,120000,,G0001,400000
10003032,10003,140000,,G0001,500000
10003033,10003,160000,,G0001,500000
10003034,10003,180000,,G0001,500000
10003035,10003,200000,,G0001,500000
10003036,10003,220000,,G0001,500000
10003037,10003,240000,,G0001,1000000
10003038,10003,260000,,G0001,1000000
10003039,10003,280000,,G0001,1000000
10003040,10003,300000,,G0001,1000000
10003041,10003,320000,,G0001,1000000
10004001,10004,10,,G0001,1000
10004002,10004,50,,G0001,10000
10004003,10004,100,,G0001,10000
10004004,10004,150,,G0001,10000
10004005,10004,200,,G0001,10000
10004006,10004,300,,G0001,10000
10004007,10004,400,,G0001,10000
10004008,10004,600,,G0001,20000
10004009,10004,800,,G0001,20000
10004010,10004,1000,,G0001,20000
10004011,10004,1500,,G0001,20000
10004012,10004,2000,,G0001,50000
10004013,10004,2500,,G0001,50000
10004014,10004,3000,,G0001,50000
10004015,10004,4000,,G0001,50000
10004016,10004,5000,,G0001,100000
10004017,10004,6000,,G0001,100000
10004018,10004,8000,,G0001,100000
10004019,10004,10000,,G0001,100000
10004020,10004,15000,,G0001,100000
10004021,10004,20000,,G0001,100000
10004022,10004,25000,,G0001,100000
10004023,10004,30000,,G0001,200000
10004024,10004,40000,,G0001,200000
10004025,10004,50000,,G0001,200000
10004026,10004,60000,,G0001,200000
10004027,10004,70000,,G0001,400000
10004028,10004,80000,,G0001,400000
10004029,10004,90000,,G0001,400000
10004030,10004,100000,,G0001,400000
10004031,10004,120000,,G0001,400000
10004032,10004,140000,,G0001,500000
10004033,10004,160000,,G0001,500000
10004034,10004,180000,,G0001,500000
10004035,10004,200000,,G0001,500000
10004036,10004,220000,,G0001,500000
10004037,10004,240000,,G0001,1000000
10004038,10004,260000,,G0001,1000000
10004039,10004,280000,,G0001,1000000
10004040,10004,300000,,G0001,1000000
10004041,10004,320000,,G0001,1000000
10005001,10005,10,,G0001,1000
10005002,10005,50,,G0001,10000
10005003,10005,100,,G0001,10000
10005004,10005,150,,G0001,10000
10005005,10005,200,,G0001,10000
10005006,10005,300,,G0001,10000
10005007,10005,400,,G0001,10000
10005008,10005,600,,G0001,20000
10005009,10005,800,,G0001,20000
10005010,10005,1000,,G0001,20000
10005011,10005,1500,,G0001,20000
10005012,10005,2000,,G0001,50000
10005013,10005,2500,,G0001,50000
10005014,10005,3000,,G0001,50000
10005015,10005,4000,,G0001,50000
10005016,10005,5000,,G0001,100000
10005017,10005,6000,,G0001,100000
10005018,10005,8000,,G0001,100000
10005019,10005,10000,,G0001,100000
10005020,10005,15000,,G0001,100000
10005021,10005,20000,,G0001,100000
10005022,10005,25000,,G0001,100000
10005023,10005,30000,,G0001,200000
10005024,10005,40000,,G0001,200000
10005025,10005,50000,,G0001,200000
10005026,10005,60000,,G0001,200000
10005027,10005,70000,,G0001,400000
10005028,10005,80000,,G0001,400000
10005029,10005,90000,,G0001,400000
10005030,10005,100000,,G0001,400000
10005031,10005,120000,,G0001,400000
10005032,10005,140000,,G0001,500000
10005033,10005,160000,,G0001,500000
10005034,10005,180000,,G0001,500000
10005035,10005,200000,,G0001,500000
10005036,10005,220000,,G0001,500000
10005037,10005,240000,,G0001,1000000
10005038,10005,260000,,G0001,1000000
10005039,10005,280000,,G0001,1000000
10005040,10005,300000,,G0001,1000000
10005041,10005,320000,,G0001,1000000
10006001,10006,10,,G0001,1000
10006002,10006,50,,G0001,10000
10006003,10006,100,,G0001,10000
10006004,10006,150,,G0001,10000
10006005,10006,200,,G0001,10000
10006006,10006,300,,G0001,10000
10006007,10006,400,,G0001,10000
10006008,10006,600,,G0001,20000
10006009,10006,800,,G0001,20000
10006010,10006,1000,,G0001,20000
10006011,10006,1500,,G0001,20000
10006012,10006,2000,,G0001,50000
10006013,10006,2500,,G0001,50000
10006014,10006,3000,,G0001,50000
10006015,10006,4000,,G0001,50000
10006016,10006,5000,,G0001,100000
10006017,10006,6000,,G0001,100000
10006018,10006,8000,,G0001,100000
10006019,10006,10000,,G0001,100000
10006020,10006,15000,,G0001,100000
10006021,10006,20000,,G0001,100000
10006022,10006,25000,,G0001,100000
10006023,10006,30000,,G0001,200000
10006024,10006,40000,,G0001,200000
10006025,10006,50000,,G0001,200000
10006026,10006,60000,,G0001,200000
10006027,10006,70000,,G0001,400000
10006028,10006,80000,,G0001,400000
10006029,10006,90000,,G0001,400000
10006030,10006,100000,,G0001,400000
10006031,10006,120000,,G0001,400000
10006032,10006,140000,,G0001,500000
10006033,10006,160000,,G0001,500000
10006034,10006,180000,,G0001,500000
10006035,10006,200000,,G0001,500000
10006036,10006,220000,,G0001,500000
10006037,10006,240000,,G0001,1000000
10006038,10006,260000,,G0001,1000000
10006039,10006,280000,,G0001,1000000
10006040,10006,300000,,G0001,1000000
10006041,10006,320000,,G0001,1000000
10007001,10007,200,,G0001,1000
10007002,10007,300,,G0001,10000
10007003,10007,400,,G0001,10000
10007004,10007,600,,G0001,10000
10007005,10007,800,,G0001,10000
10007006,10007,1000,,G0001,20000
10007007,10007,1200,,G0001,20000
10007008,10007,1400,,G0001,20000
10007009,10007,1600,,G0001,20000
10007010,10007,1800,,G0001,20000
10007011,10007,2000,,G0001,20000
10007012,10007,2500,,G0001,20000
10007013,10007,3000,,G0001,50000
10007014,10007,3500,,G0001,50000
10007015,10007,4000,,G0001,50000
10007016,10007,6000,,G0001,50000
10007017,10007,8000,,G0001,100000
10007018,10007,10000,,G0001,100000
10007019,10007,15000,,G0001,100000
10007020,10007,20000,,G0001,200000
10007021,10007,25000,,G0001,200000
10007022,10007,30000,,G0001,200000
10007023,10007,35000,,G0001,200000
10007024,10007,40000,,G0001,200000
10007025,10007,50000,,G0001,200000
10007026,10007,60000,,G0001,200000
10007027,10007,70000,,G0001,200000
10007028,10007,80000,,G0001,200000
10007029,10007,90000,,G0001,500000
10007030,10007,100000,,G0001,500000
10007031,10007,150000,,G0001,500000
10007032,10007,200000,,G0001,500000
10007033,10007,250000,,G0001,500000
10007034,10007,300000,,G0001,500000
10007035,10007,350000,,G0001,500000
10008001,10008,3,,G0001,1000
10008002,10008,6,,G0001,10000
10008003,10008,9,,G0001,20000
10008004,10008,12,,G0001,20000
10008005,10008,15,,G0001,20000
10008006,10008,18,,G0001,50000
10008007,10008,21,,G0001,50000
10008008,10008,24,,G0001,50000
10008009,10008,27,,G0001,100000
10008010,10008,30,,G0001,100000
10008011,10008,33,,G0001,100000
10008012,10008,36,,G0001,100000
10008013,10008,39,,G0001,100000
10008014,10008,42,,G0001,100000
10008015,10008,45,,G0001,200000
10009001,10009,3,,G0005,10
10009002,10009,9,,G0005,25
10009003,10009,18,,G0005,50
10009004,10009,27,,G0005,50
10009005,10009,36,,G0005,75
10009006,10009,45,,G0005,75
10009007,10009,54,,G0005,75
10009008,10009,63,,G0005,100
10009009,10009,72,,G0005,100
10009010,10009,81,,G0005,100
10009011,10009,90,,G0005,200
10009012,10009,100,,G0005,200
10009013,10009,110,,G0005,200
10009014,10009,120,,G0005,200
10009015,10009,130,,G0005,200
10009016,10009,140,,G0005,200
10009017,10009,150,,G0005,200
10009018,10009,160,,G0005,200
10009019,10009,170,,G0005,300
10009020,10009,180,,G0005,300
10009021,10009,190,,G0005,300
10009022,10009,200,,G0005,300
10009023,10009,210,,G0005,300
10009024,10009,220,,G0005,300
10009025,10009,230,,G0005,300
10009026,10009,240,,G0005,300
10009027,10009,250,,G0005,300
10009028,10009,260,,G0005,300
10010001,10010,10,,G0004,10
10010002,10010,20,,G0004,20
10010003,10010,30,,G0004,20
10010004,10010,40,,G0004,20
10010005,10010,50,,G0004,30
10010006,10010,60,,G0004,30
10010007,10010,70,,G0004,30
10010008,10010,80,,G0004,30
10010009,10010,90,,G0004,30
10010010,10010,100,,G0004,40
10010011,10010,110,,G0004,40
10010012,10010,120,,G0004,40
10010013,10010,130,,G0004,40
10010014,10010,140,,G0004,40
10010015,10010,150,,G0004,50
10010016,10010,160,,G0004,50
10010017,10010,170,,G0004,50
10010018,10010,180,,G0004,70
10010019,10010,190,,G0004,70
10010020,10010,200,,G0004,70
10010021,10010,210,,G0004,70
10010022,10010,220,,G0004,70
10010023,10010,230,,G0004,70
10010024,10010,240,,G0004,70
10010025,10010,250,,G0004,70
10010026,10010,260,,G0004,70
10010027,10010,270,,G0004,70
10010028,10010,280,,G0004,70
10010029,10010,290,,G0004,70
10010030,10010,300,,G0004,70
10010031,10010,310,,G0004,70
10010032,10010,320,,G0004,70
10010033,10010,330,,G0004,70
10010034,10010,340,,G0004,70
10010035,10010,350,,G0004,70
10010036,10010,360,,G0004,100
10010037,10010,370,,G0004,100
10010038,10010,380,,G0004,100
10010039,10010,390,,G0004,100
10010040,10010,400,,G0004,100
10010041,10010,410,,G0004,100
10010042,10010,420,,G0004,100
10010043,10010,430,,G0004,100
10010044,10010,440,,G0004,100
10010045,10010,450,,G0004,100
10010046,10010,460,,G0004,100
10011001,10011,2,,G0004,40
10011002,10011,3,,G0004,60
10011003,10011,4,,G0004,80
10011004,10011,5,,G0004,100
10011005,10011,6,,G0004,140
10012001,10012,1,,G0004,20
10012002,10012,2,,G0004,40
10012003,10012,3,,G0004,60
10012004,10012,4,,G0004,80
10012005,10012,5,,G0004,100
10012006,10012,6,,G0004,140
10013001,10013,250,,G0004,10
10013002,10013,500,,G0004,10
10013003,10013,1000,,G0004,20
10013004,10013,2000,,G0004,20
10013005,10013,4000,,G0004,20
10013006,10013,7000,,G0004,20
10013007,10013,10000,,G0004,30
10013008,10013,15000,,G0004,30
10013009,10013,20000,,G0004,30
10013010,10013,30000,,G0004,30
10013011,10013,40000,,G0004,40
10013012,10013,50000,,G0004,40
10013013,10013,60000,,G0004,40
10013014,10013,80000,,G0004,40
10013015,10013,100000,,G0004,40
10013016,10013,150000,,G0004,40
10013017,10013,200000,,G0004,40
10013018,10013,250000,,G0004,50
10013019,10013,300000,,G0004,50
10013020,10013,400000,,G0004,50
10013021,10013,500000,,G0004,50
10013022,10013,600000,,G0004,50
10013023,10013,700000,,G0004,70
10013024,10013,800000,,G0004,70
10013025,10013,900000,,G0004,70
10013026,10013,1000000,,G0004,70
10013027,10013,1500000,,G0004,70
10013028,10013,2000000,,G0004,70
10013029,10013,2500000,,G0004,70
10013030,10013,3000000,,G0004,70
10013031,10013,3500000,,G0004,70
10013032,10013,4000000,,G0004,70
10013033,10013,4500000,,G0004,70
10013034,10013,5000000,,G0004,70
10013035,10013,5500000,,G0004,100
10013036,10013,6000000,,G0004,100
10013037,10013,6500000,,G0004,100
10013038,10013,7000000,,G0004,100
10013039,10013,7500000,,G0004,100
10013040,10013,8000000,,G0004,100
10013041,10013,8500000,,G0004,100
10013042,10013,9000000,,G0004,100
10013043,10013,9500000,,G0004,100
10013044,10013,10000000,,G0004,100
10014001,10014,1,,G0001,1000
10014002,10014,2,,G0001,5000
10014003,10014,3,,G0001,5000
10014004,10014,4,,G0001,10000
10014005,10014,5,,G0001,10000
10014006,10014,6,,G0001,20000
10014007,10014,7,,G0001,20000
10014008,10014,8,,G0001,50000
10014009,10014,9,,G0001,50000
10014010,10014,10,,G0001,50000
10014011,10014,11,,G0001,100000
10014012,10014,12,,G0001,100000
10014013,10014,13,,G0001,100000
10014014,10014,14,,G0001,200000
10014015,10014,15,,G0001,200000
10014016,10014,16,,G0001,400000
20001001,20001,3,,G0001,1000
20001002,20001,6,,G0001,5000
20001003,20001,8,,G0001,5000
20001004,20001,10,,G0001,10000
20001005,20001,13,,G0001,10000
20001006,20001,15,,G0001,10000
20001007,20001,18,,G0001,10000
20001008,20001,22,,G0001,10000
20001009,20001,25,,G0001,10000
20001010,20001,30,,G0001,10000
20001011,20001,32,,G0001,10000
20001012,20001,34,,G0001,25000
20001013,20001,36,,G0001,25000
20001014,20001,38,,G0001,25000
20001015,20001,40,,G0001,25000
20001016,20001,42,,G0001,25000
20001017,20001,44,,G0001,50000
20001018,20001,46,,G0001,50000
20001019,20001,48,,G0001,50000
20001020,20001,50,,G0001,50000
20001021,20001,52,,G0001,50000
20001022,20001,54,,G0001,100000
20001023,20001,56,,G0001,100000
20001024,20001,58,,G0001,100000
20001025,20001,59,,G0001,100000
20001026,20001,60,,G0001,200000
20001027,20001,62,,G0001,200000
20001028,20001,64,,G0001,200000
20001029,20001,68,,G0001,200000
20001030,20001,70,,G0001,200000
20001031,20001,72,,G0001,400000
20001032,20001,75,,G0001,400000
20001033,20001,77,,G0001,400000
20001034,20001,80,,G0001,400000
20001035,20001,82,,G0001,400000
20002001,20002,3,,G0001,1000
20002002,20002,6,,G0001,5000
20002003,20002,9,,G0001,5000
20002004,20002,12,,G0001,10000
20002005,20002,15,,G0001,10000
20002006,20002,18,,G0001,20000
20002007,20002,21,,G0001,20000
20002008,20002,24,,G0001,25000
20002009,20002,27,,G0001,25000
20002010,20002,30,,G0001,25000
20002011,20002,33,,G0001,25000
20002012,20002,36,,G0001,100000
20002013,20002,39,,G0001,100000
20002014,20002,42,,G0001,100000
20002015,20002,45,,G0001,100000
20002016,20002,48,,G0001,100000
20002017,20002,51,,G0001,100000
20002018,20002,54,,G0001,100000
20002019,20002,57,,G0001,100000
20002020,20002,60,,G0001,200000
20002021,20002,63,,G0001,200000
20002022,20002,66,,G0001,200000
20002023,20002,69,,G0001,200000
20002024,20002,72,,G0001,400000
20002025,20002,75,,G0001,400000
20002026,20002,78,,G0001,400000
20002027,20002,81,,G0001,400000
20003001,20003,4,,G0005,20
20003002,20003,6,,G0005,50
20003003,20003,8,,G0005,50
20003004,20003,10,,G0005,100
20003005,20003,12,,G0005,100
20003006,20003,14,,G0005,100
20003007,20003,16,,G0005,150
20003008,20003,18,,G0005,150
20003009,20003,20,,G0005,150
20003010,20003,22,,G0005,200
20003011,20003,24,,G0005,200
20003012,20003,26,,G0005,200
20003013,20003,28,,G0005,400
20003014,20003,30,,G0005,400
20004001,20004,1,,G0004,100
20004002,20004,2,,G0004,150
20004003,20004,3,,G0004,200
20004004,20004,4,,G0004,250
20004005,20004,5,,G0004,350
20005001,20005,2000,,G0001,1000
20005002,20005,4000,,G0001,10000
20005003,20005,5000,,G0001,10000
20005004,20005,6000,,G0001,20000
20005005,20005,7000,,G0001,20000
20005006,20005,8000,,G0001,20000
20005007,20005,9000,,G0001,50000
20005008,20005,9500,,G0001,50000
20005009,20005,9750,,G0001,50000
20005010,20005,9900,,G0001,100000
20005011,20005,9950,,G0001,100000
20005012,20005,9975,,G0001,100000
20005013,20005,9990,,G0001,200000
20005014,20005,9999,,G0001,200000
20006001,20006,3,,G0001,1000
20006002,20006,6,,G0001,10000
20006003,20006,9,,G0001,20000
20006004,20006,12,,G0001,50000
20006005,20006,15,,G0001,100000
20006006,20006,18,,G0001,200000
20006007,20006,21,,G0001,400000
20007001,20007,5,,G0004,10
20007002,20007,10,,G0004,10
20007003,20007,15,,G0004,10
20007004,20007,20,,G0004,20
20007005,20007,25,,G0004,20
20007006,20007,30,,G0004,20
20007007,20007,35,,G0004,20
20007008,20007,40,,G0004,20
20007009,20007,45,,G0004,20
20007010,20007,50,,G0004,30
20007011,20007,55,,G0004,30
20007012,20007,60,,G0004,30
20007013,20007,65,,G0004,30
20007014,20007,70,,G0004,30
20007015,20007,75,,G0004,30
20007016,20007,80,,G0004,40
20007017,20007,85,,G0004,40
20007018,20007,90,,G0004,40
20007019,20007,95,,G0004,40
20007020,20007,100,,G0004,40
20007021,20007,105,,G0004,40
20007022,20007,110,,G0004,40
20007023,20007,115,,G0004,50
20007024,20007,120,,G0004,50
20007025,20007,125,,G0004,50
20007026,20007,130,,G0004,50
20007027,20007,135,,G0004,50
20007028,20007,140,,G0004,50
20007029,20007,145,,G0004,50
20007030,20007,150,,G0004,50
20007031,20007,155,,G0004,70
20007032,20007,160,,G0004,70
20007033,20007,165,,G0004,70
20007034,20007,170,,G0004,70
20007035,20007,175,,G0004,70
20007036,20007,180,,G0004,70
20007037,20007,185,,G0004,70
20007038,20007,190,,G0004,70
20007039,20007,195,,G0004,70
20007040,20007,200,,G0004,70
20008001,20008,2,,G0001,1000
20008002,20008,3,,G0001,1000
20008003,20008,4,,G0001,10000
20008004,20008,5,,G0001,10000
20008005,20008,6,,G0001,20000
20008006,20008,7,,G0001,10000
20008007,20008,8,,G0001,10000
20008008,20008,9,,G0001,25000
20008009,20008,10,,G0001,25000
20008010,20008,11,,G0001,25000
20008011,20008,12,,G0001,25000
20008012,20008,13,,G0001,50000
20008013,20008,14,,G0001,50000
20008014,20008,15,,G0001,50000
20008015,20008,16,,G0001,50000
20008016,20008,17,,G0001,100000
20008017,20008,18,,G0001,100000
20008018,20008,19,,G0001,100000
20008019,20008,20,,G0001,100000
20009001,20009,100,,G0005,10
20009002,20009,200,,G0005,10
20009003,20009,300,,G0005,25
20009004,20009,400,,G0005,25
20009005,20009,500,,G0005,25
20009006,20009,600,,G0005,25
20009007,20009,700,,G0005,50
20009008,20009,800,,G0005,50
20009009,20009,900,,G0005,50
20009010,20009,1000,,G0005,75
20009011,20009,1200,,G0005,75
20009012,20009,1200,,G0005,75
20009013,20009,1400,,G0005,75
20009014,20009,1600,,G0005,75
20009015,20009,1800,,G0005,75
20009016,20009,2000,,G0005,75
20009017,20009,2500,,G0005,100
20009018,20009,3000,,G0005,100
20009019,20009,4000,,G0005,100
20009020,20009,5000,,G0005,100
20009021,20009,6000,,G0005,100
20009022,20009,7000,,G0005,200
20009023,20009,8000,,G0005,200
20009024,20009,9000,,G0005,200
20009025,20009,10000,,G0005,200
20009026,20009,12000,,G0005,200
20009027,20009,14000,,G0005,200
20009028,20009,16000,,G0005,200
20009029,20009,18000,,G0005,200
20009030,20009,20000,,G0005,200
20009031,20009,22500,,G0005,200
20009032,20009,25000,,G0005,200
20009033,20009,27500,,G0005,300
20009034,20009,30000,,G0005,300
20009035,20009,32500,,G0005,300
20009036,20009,35000,,G0005,300
20009037,20009,37500,,G0005,300
20009038,20009,40000,,G0005,300
20009039,20009,42500,,G0005,300
20009040,20009,45000,,G0005,300
20009041,20009,70000,,G0005,300
20009042,20009,80000,,G0005,600
20009043,20009,90000,,G0005,600
20009044,20009,100000,,G0005,600
20009045,20009,110000,,G0005,600
20009046,20009,120000,,G0005,600
20009047,20009,130000,,G0005,600
20009048,20009,140000,,G0005,600
20009049,20009,150000,,G0005,600
30001001,30001,10,,G0005,10
30001002,30001,20,,G0005,10
30001003,30001,30,,G0005,25
30001004,30001,50,,G0005,25
30001005,30001,75,,G0005,25
30001006,30001,100,,G0005,50
30001007,30001,150,,G0005,50
30001008,30001,200,,G0005,50
30001009,30001,250,,G0005,50
30001010,30001,300,,G0005,75
30001011,30001,350,,G0005,75
30001012,30001,400,,G0005,75
30001013,30001,500,,G0005,75
30001014,30001,600,,G0005,75
30001015,30001,700,,G0005,100
30001016,30001,800,,G0005,100
30001017,30001,900,,G0005,100
30001018,30001,1000,,G0005,100
30001019,30001,1100,,G0005,100
30001020,30001,1200,,G0005,200
30001021,30001,1300,,G0005,200
30001022,30001,1400,,G0005,200
30001023,30001,1500,,G0005,200
30001024,30001,1600,,G0005,300
30001025,30001,1700,,G0005,300
30001026,30001,1800,,G0005,300
30002001,30002,5,,M3001,1
30002002,30002,10,,M3001,3
30002003,30002,15,,M3001,3
30002004,30002,20,,M3001,5
30002005,30002,25,,M3001,5
30002006,30002,30,,M3001,5
30002007,30002,35,,M3001,10
30002008,30002,40,,M3001,10
30002009,30002,45,,M3001,15
30002010,30002,50,,M3001,15
30002011,30002,55,,M3001,20
30002012,30002,60,,M3001,20
30002013,30002,65,,M3001,30
30002014,30002,70,,M3001,30
30005001,30005,5,,M3002,1
30005002,30005,10,,M3002,3
30005003,30005,15,,M3002,3
30005004,30005,20,,M3002,5
30005005,30005,25,,M3002,5
30005006,30005,30,,M3002,5
30005007,30005,35,,M3002,10
30005008,30005,40,,M3002,10
30005009,30005,45,,M3002,15
30005010,30005,50,,M3002,15
30005011,30005,55,,M3002,20
30005012,30005,60,,M3002,20
30005013,30005,65,,M3002,30
30005014,30005,70,,M3002,30
30003001,30003,5,,G0005,250
30003002,30003,10,,G0005,500
30003003,30003,15,,G0005,750
30003004,30003,20,,G0005,1000
30003005,30003,25,,G0005,2000
30003006,30003,30,,G0005,3000
30004001,30004,500,,G0005,10
30004002,30004,1000,,G0005,10
30004003,30004,3000,,G0005,10
30004004,30004,5000,,G0005,10
30004005,30004,10000,,G0005,10
30004006,30004,20000,,G0005,10
30004007,30004,30000,,G0005,10
30004008,30004,50000,,G0005,25
30004009,30004,100000,,G0005,25
30004010,30004,150000,,G0005,25
30004011,30004,200000,,G0005,25
30004012,30004,300000,,G0005,25
30004013,30004,400000,,G0005,25
30004014,30004,500000,,G0005,25
30004015,30004,1000000,,G0005,25
30004016,30004,1500000,,G0005,50
30004017,30004,2000000,,G0005,50
30004018,30004,2500000,,G0005,50
30004019,30004,3000000,,G0005,50
30004020,30004,4000000,,G0005,50
