Type,Category,ValueType,InitialValue,NameKey,DescKey,UIOrder
10009,1,,,AchiName10009,AchiDesc10009,11
10010,1,,,AchiName10010,AchiDesc10010,3
10011,1,,1,AchiName10011,AchiDesc10011,12
10012,1,,,AchiName10012,AchiDesc10012,13
10013,1,,,AchiName10013,AchiDesc10013,2
10014,1,,,AchiName10014,AchiDesc10014,14
20001,2,,,AchiName20001,AchiDesc20001,1
20002,2,,,AchiName20002,AchiDesc20002,2
20003,2,,,AchiName20003,AchiDesc20003,5
20004,2,ManagementLevel,,AchiName20004,AchiDesc20004,3
20005,2,Ranking,,AchiName20005,AchiDesc20005,4
20006,2,,,AchiName20006,AchiDesc20006,7
20007,2,,1,AchiName20007,AchiDesc20007,9
20008,2,,,AchiName20008,AchiDesc20008,8
20009,2,,,AchiName20009,AchiDesc20009,6
30001,3,,,AchiName30001,AchiDesc30001,1
30002,3,,,AchiName30002,AchiDesc30002,2
30003,3,,,AchiName30003,AchiDesc30003,4
30004,3,,,AchiName30004,AchiDesc30004,5
30005,3,,,AchiName30005,AchiDesc30005,3
40001,4,,,AchiName40001,AchiDesc40001,1
40002,4,,,AchiName40002,AchiDesc40002,2
40003,4,,,AchiName40003,AchiDesc40003,3
40004,4,,,AchiName40004,AchiDesc40004,4
40005,4,,,AchiName40005,AchiDesc40005,5
40006,4,,,AchiName40006,AchiDesc40006,6
40007,4,,,AchiName40007,AchiDesc40007,7
50001,5,TasteGrade,,AchiName50001,AchiDesc50001,1
50002,5,,,AchiName50002,AchiDesc50002,2
50003,5,,,AchiName50003,AchiDesc50003,3
50004,5,,,AchiName50004,AchiDesc50004,4
50005,5,,,AchiName50005,AchiDesc50005,5
50006,5,,,AchiName50006,AchiDesc50006,6
50007,5,,,AchiName50007,AchiDesc50007,7
50008,5,,,AchiName50008,AchiDesc50008,8
50009,5,,,AchiName50009,AchiDesc50009,9
50010,5,,,AchiName50010,AchiDesc50010,10
