id,monsterType,stageStep,reward,rewardCount,rewardPercent
2_0021,boss,17,3_000001/3_000002,1/1,100000/100000
2_0022,monster,18,3_000001/3_000002,1/1,538/389
2_0023,elite,18,3_000001/3_000002,2/1,100000/100000
2_0024,boss,18,3_000001/3_000002,2/1,100000/100000
2_0025,monster,19,3_000001/3_000002,1/1,582/419
2_0026,elite,19,3_000001/3_000002,2/1,100000/100000
2_0027,boss,19,3_000001/3_000002,2/1,100000/100000
2_0028,monster,20,3_000001/3_000002,1/1,981/676
2_0029,elite,20,3_000001/3_000002,2/2,100000/100000
2_0030,boss,20,3_000001/3_000002,2/2,100000/100000
3_0001,monster,21,3_000002/3_000003,1/1,179/154
3_0002,elite,21,3_000002/3_000003,1/1,100000/100000
3_0003,boss,21,3_000002/3_000003,1/1,100000/100000
3_0004,monster,22,3_000002/3_000003,1/1,287/254
3_0005,elite,22,3_000002/3_000003,1/1,100000/100000
3_0006,boss,22,3_000002/3_000003,1/1,100000/100000
3_0007,monster,23,3_000002/3_000003,1/1,214/190
3_0008,elite,23,3_000002/3_000003,1/1,100000/100000
3_0009,boss,23,3_000002/3_000003,1/1,100000/100000
3_0010,monster,24,3_000002/3_000003,1/1,239/213
3_0011,elite,24,3_000002/3_000003,1/1,100000/100000
3_0012,boss,24,3_000002/3_000003,1/1,100000/100000
3_0013,monster,25,3_000002/3_000003,1/1,437/527
3_0014,elite,25,3_000002/3_000003,2/2,100000/100000
3_0015,boss,25,3_000002/3_000003,2/2,100000/100000
3_0016,monster,26,3_000002/3_000003,1/1,301/268
3_0017,elite,26,3_000002/3_000003,1/1,100000/100000
3_0018,boss,26,3_000002/3_000003,1/1,100000/100000
3_0019,monster,27,3_000002/3_000003,1/1,334/298
3_0020,elite,27,3_000002/3_000003,1/1,100000/100000
3_0021,boss,27,3_000002/3_000003,1/1,100000/100000
3_0022,monster,28,3_000002/3_000003,1/1,459/433
3_0023,elite,28,3_000002/3_000003,2/1,100000/100000
3_0024,boss,28,3_000002/3_000003,2/1,100000/100000
3_0025,monster,29,3_000002/3_000003,1/1,456/405
3_0026,elite,29,3_000002/3_000003,2/2,100000/100000
3_0027,boss,29,3_000002/3_000003,2/2,100000/100000
3_0028,monster,30,3_000002/3_000003,1/1,777/683
3_0029,elite,30,3_000002/3_000003,2/3,100000/100000
3_0030,boss,30,3_000002/3_000003,2/3,100000/100000
4_0001,monster,31,3_000002/3_000003/3_000004/3_000005,1/1/1/1,51/169/169/47
4_0002,elite,31,3_000002/3_000003/3_000004,1/1/1,100000/100000/100000
4_0003,boss,31,3_000002/3_000003/3_000004,1/1/1,100000/100000/100000
4_0004,monster,32,3_000002/3_000003/3_000004/3_000005,1/1/1/1,103/228/227/50
4_0005,elite,32,3_000002/3_000003/3_000004,1/1/1,100000/100000/100000
4_0006,boss,32,3_000002/3_000003/3_000004,1/1/1,100000/100000/100000
4_0007,monster,33,3_000002/3_000003/3_000004/3_000005,1/1/1/1,111/247/247/54
4_0008,elite,33,3_000002/3_000003/3_000004,1/1/1,100000/100000/100000
4_0009,boss,33,3_000002/3_000003/3_000004,1/1/1,100000/100000/100000
4_0010,monster,34,3_000002/3_000003/3_000004/3_000005,1/1/1/1,80/178/178/23
4_0011,elite,34,3_000002/3_000003/3_000004,1/1/1,100000/100000/100000
4_0012,boss,34,3_000002/3_000003/3_000004,1/1/1,100000/100000/100000
4_0013,monster,35,3_000002/3_000003/3_000004/3_000005,1/1/1/1,191/407/395/87
4_0014,elite,35,3_000002/3_000003/3_000004,2/2/3,100000/100000/100000
4_0015,boss,35,3_000002/3_000003/3_000004,2/2/3,100000/100000/100000
4_0016,monster,36,3_000002/3_000003/3_000004/3_000005,1/1/1/1,97/212/211/45
4_0017,elite,36,3_000002/3_000003/3_000004,1/1/1,100000/100000/100000
4_0018,boss,36,3_000002/3_000003/3_000004,1/1/1,100000/100000/100000
4_0019,monster,37,3_000002/3_000003/3_000004/3_000005,1/1/1/1,102/236/254/54
4_0020,elite,37,3_000002/3_000003/3_000004,2/2/1,100000/100000/100000
4_0021,boss,37,3_000002/3_000003/3_000004,2/2/1,100000/100000/100000
4_0022,monster,38,3_000002/3_000003/3_000004/3_000005,1/1/1/1,182/406/426/89
4_0023,elite,38,3_000002/3_000003/3_000004,2/2/1,100000/100000/100000
4_0024,boss,38,3_000002/3_000003/3_000004,2/2/1,100000/100000/100000
4_0025,monster,39,3_000002/3_000003/3_000004/3_000005,1/1/1/1,154/346/365/76
4_0026,elite,39,3_000002/3_000003/3_000004,2/2/1,100000/100000/100000
4_0027,boss,39,3_000002/3_000003/3_000004,2/2/1,100000/100000/100000
4_0028,monster,40,3_000002/3_000003/3_000004/3_000005,1/1/1/1,356/711/711/134
4_0029,elite,40,3_000002/3_000003/3_000004/3_000005,1/2/2/1,100000/100000/100000/100000
4_0030,boss,40,3_000002/3_000003/3_000004/3_000005,1/2/2/1,100000/100000/100000/100000
5_0001,monster,41,3_000003/3_000004/3_000005/3_000006,1/1/1/1,35/114/193/15
5_0002,elite,41,3_000003/3_000004/3_000005,1/1/1,100000/100000/100000
5_0003,boss,41,3_000003/3_000004/3_000005,1/1/1,100000/100000/100000
5_0004,monster,42,3_000003/3_000004/3_000005/3_000006,1/1/1/1,90/201/313/22
5_0005,elite,42,3_000003/3_000004/3_000005,1/1/1,100000/100000/100000
5_0006,boss,42,3_000003/3_000004/3_000005,1/1/1,100000/100000/100000
5_0007,monster,43,3_000003/3_000004/3_000005/3_000006,1/1/1/1,102/225/350/25
5_0008,elite,43,3_000003/3_000004/3_000005,1/1/1,100000/100000/100000
5_0009,boss,43,3_000003/3_000004/3_000005,1/1/1,100000/100000/100000
5_0010,monster,44,3_000003/3_000004/3_000005/3_000006,1/1/1/1,36/279/300/21
5_0011,elite,44,3_000003/3_000004/3_000005,1/2/1,100000/100000/100000
5_0012,boss,44,3_000003/3_000004/3_000005,1/2/1,100000/100000/100000
5_0013,monster,45,3_000003/3_000004/3_000005/3_000006,1/1/1/1,138/446/595/46
5_0014,elite,45,3_000003/3_000004/3_000005,2/1/3,100000/100000/100000
5_0015,boss,45,3_000003/3_000004/3_000005,2/1/3,100000/100000/100000
5_0016,monster,46,3_000003/3_000004/3_000005/3_000006,1/1/1/1,92/184/307/21
5_0017,elite,46,3_000003/3_000004/3_000005,1/2/1,100000/100000/100000
5_0018,boss,46,3_000003/3_000004/3_000005,1/2/1,100000/100000/100000
5_0019,monster,47,3_000003/3_000004/3_000005/3_000006,1/1/1/1,557/300/408/34
5_0020,elite,47,3_000003/3_000004/3_000005,2/2/1,100000/100000/100000
5_0021,boss,47,3_000003/3_000004/3_000005,2/2/1,100000/100000/100000
5_0022,monster,48,3_000003/3_000004/3_000005/3_000006,1/1/1/1,131/298/353/35
5_0023,elite,48,3_000003/3_000004/3_000005,2/2/1,100000/100000/100000
5_0024,boss,48,3_000003/3_000004/3_000005,2/2/1,100000/100000/100000
5_0025,monster,49,3_000003/3_000004/3_000005/3_000006,1/1/1/1,158/355/439/40
5_0026,elite,49,3_000003/3_000004/3_000005,2/2/1,100000/100000/100000
5_0027,boss,49,3_000003/3_000004/3_000005,2/2/1,100000/100000/100000
5_0028,monster,50,3_000003/3_000004/3_000005/3_000006,1/1/1/1,223/843/1213/69
5_0029,elite,50,3_000003/3_000004/3_000005/3_000006,1/2/2/1,100000/100000/100000/100000
5_0030,boss,50,3_000003/3_000004/3_000005/3_000006,1/2/2/1,100000/100000/100000/100000
6_0001,monster,51,3_000004/3_000005/3_000006/3_000007,1/1/1/1,27/87/148/17
6_0002,elite,51,3_000004/3_000005/3_000006,1/1/1,100000/100000/100000
6_0003,boss,51,3_000004/3_000005/3_000006,1/1/1,100000/100000/100000
6_0004,monster,52,3_000004/3_000005/3_000006/3_000007,1/1/1/1,106/213/373/40
6_0005,elite,52,3_000004/3_000005/3_000006,1/2/1,100000/100000/100000
6_0006,boss,52,3_000004/3_000005/3_000006,1/2/1,100000/100000/100000
6_0007,monster,53,3_000004/3_000005/3_000006/3_000007,1/1/1/1,49/207/356/38
6_0008,elite,53,3_000004/3_000005/3_000006,1/2/1,100000/100000/100000
6_0009,boss,53,3_000004/3_000005/3_000006,1/2/1,100000/100000/100000
6_0010,monster,54,3_000004/3_000005/3_000006/3_000007,1/1/1/1,77/140/265/16
6_0011,elite,54,3_000004/3_000005/3_000006,1/3/1,100000/100000/100000
6_0012,boss,54,3_000004/3_000005/3_000006,1/3/1,100000/100000/100000
6_0013,monster,55,3_000004/3_000005/3_000006/3_000007,1/1/1/1,162/367/550/47
6_0014,elite,55,3_000004/3_000005/3_000006/3_000007,3/2/3/1,100000/100000/100000/100000
6_0015,boss,55,3_000004/3_000005/3_000006/3_000007,3/2/3/1,100000/100000/100000/100000
6_0016,monster,56,3_000004/3_000005/3_000006/3_000007,1/1/1/1,94/172/297/33
6_0017,elite,56,3_000004/3_000005/3_000006,1/3/2,100000/100000/100000
6_0018,boss,56,3_000004/3_000005/3_000006,1/3/2,100000/100000/100000
6_0019,monster,57,3_000004/3_000005/3_000006/3_000007,1/1/1/1,87/190/321/34
6_0020,elite,57,3_000004/3_000005/3_000006,2/3/2,100000/100000/100000
6_0021,boss,57,3_000004/3_000005/3_000006,2/3/2,100000/100000/100000
6_0022,monster,58,3_000004/3_000005/3_000006/3_000007,1/1/1/1,141/282/482/54
6_0023,elite,58,3_000004/3_000005/3_000006,2/4/3,100000/100000/100000
6_0024,boss,58,3_000004/3_000005/3_000006,2/4/3,100000/100000/100000
6_0025,monster,59,3_000004/3_000005/3_000006/3_000007,1/1/1/1,100/200/340/38
6_0026,elite,59,3_000004/3_000005/3_000006,2/4/3,100000/100000/100000
6_0027,boss,59,3_000004/3_000005/3_000006,2/4/3,100000/100000/100000
6_0028,monster,60,3_000004/3_000005/3_000006/3_000007,1/1/1/1,230/497/754/62
6_0029,elite,60,3_000004/3_000005/3_000006/3_000007,4/4/5/2,100000/100000/100000/100000/100000
6_0030,boss,60,3_000004/3_000005/3_000006/3_000007,4/4/5/2,100000/100000/100000/100000/100000
7_0001,monster,61,3_000005/3_000006/3_000007/3_000008,1/1/1/1,30/166/95/67
7_0002,elite,61,3_000005/3_000006/3_000007,1/1/2,100000/100000/100000
7_0003,boss,61,3_000005/3_000006/3_000007,1/1/2,100000/100000/100000
7_0004,monster,62,3_000005/3_000006/3_000007/3_000008,1/1/1/1,85/276/224/106
7_0005,elite,62,3_000005/3_000006/3_000007,1/2/2,100000/100000/100000
7_0006,boss,62,3_000005/3_000006/3_000007,1/2/2,100000/100000/100000
7_0007,monster,63,3_000005/3_000006/3_000007/3_000008,1/1/1/1,61/252/205/96
7_0008,elite,63,3_000005/3_000006/3_000007,2/2/2,100000/100000/100000
7_0009,boss,63,3_000005/3_000006/3_000007,2/2/2,100000/100000/100000
7_0010,monster,64,3_000005/3_000006/3_000007/3_000008,1/1/1/1,56/214/186/85
7_0011,elite,64,3_000005/3_000006/3_000007,2/3/2,100000/100000/100000
7_0012,boss,64,3_000005/3_000006/3_000007,2/3/2,100000/100000/100000
7_0013,monster,65,3_000005/3_000006/3_000007/3_000008,1/1/1/1,173/588/484/196
7_0014,elite,65,3_000005/3_000006/3_000007/3_000008,3/3/3/1,100000/100000/100000/100000
7_0015,boss,65,3_000005/3_000006/3_000007/3_000008,3/3/3/1,100000/100000/100000/100000
7_0016,monster,66,3_000005/3_000006/3_000007/3_000008,1/1/1/1,93/373/289/112
7_0017,elite,66,3_000005/3_000006/3_000007/3_000008,2/1/2/1,100000/100000/100000/100000
7_0018,boss,66,3_000005/3_000006/3_000007/3_000008,2/1/2/1,100000/100000/100000/100000
7_0019,monster,67,3_000005/3_000006/3_000007/3_000008,1/1/1/1,76/250/196/76
7_0020,elite,67,3_000005/3_000006/3_000007/3_000008,1/1/2/1,100000/100000/100000/100000
7_0021,boss,67,3_000005/3_000006/3_000007/3_000008,1/1/2/1,100000/100000/100000/100000
7_0022,monster,68,3_000005/3_000006/3_000007/3_000008,1/1/1/1,128/387/302/123
7_0023,elite,68,3_000005/3_000006/3_000007/3_000008,1/2/3/1,100000/100000/100000/100000
7_0024,boss,68,3_000005/3_000006/3_000007/3_000008,1/2/3/1,100000/100000/100000/100000
7_0025,monster,69,3_000005/3_000006/3_000007/3_000008,1/1/1/1,98/345/270/98
7_0026,elite,69,3_000005/3_000006/3_000007/3_000008,2/2/3/2,100000/100000/100000/100000
7_0027,boss,69,3_000005/3_000006/3_000007/3_000008,2/2/3/2,100000/100000/100000/100000
7_0028,monster,70,3_000005/3_000006/3_000007/3_000008,1/1/1/1,226/662/544/218
7_0029,elite,70,3_000005/3_000006/3_000007/3_000008,1/5/5/2,100000/100000/100000/100000
7_0030,boss,70,3_000005/3_000006/3_000007/3_000008,1/5/5/2,100000/100000/100000/100000
8_0001,monster,71,3_000007/3_000008,1/1,117/164
8_0002,elite,71,3_000007/3_000008,1/1,100000/100000
8_0003,boss,71,3_000007/3_000008,1/1,100000/100000
8_0004,monster,72,3_000007/3_000008,1/1,129/251
8_0005,elite,72,3_000007/3_000008,2/1,100000/100000
8_0006,boss,72,3_000007/3_000008,2/1,100000/100000
8_0007,monster,73,3_000007/3_000008,1/1,127/222
8_0008,elite,73,3_000007/3_000008,2/2,100000/100000
8_0009,boss,73,3_000007/3_000008,2/2,100000/100000
8_0010,monster,74,3_000007/3_000008,1/1,140/182
8_0011,elite,74,3_000007/3_000008,2/2,100000/100000
8_0012,boss,74,3_000007/3_000008,2/2,100000/100000
8_0013,monster,75,3_000007/3_000008,1/1,338/329
8_0014,elite,75,3_000007/3_000008,3/5,100000/100000
8_0015,boss,75,3_000007/3_000008,3/5,100000/100000
8_0016,monster,76,3_000007/3_000008,1/1,167/224
8_0017,elite,76,3_000007/3_000008,3/3,100000/100000
8_0018,boss,76,3_000007/3_000008,3/3,100000/100000
8_0019,monster,77,3_000007/3_000008,1/1,127/158
8_0020,elite,77,3_000007/3_000008,3/4,100000/100000
8_0021,boss,77,3_000007/3_000008,3/4,100000/100000
8_0022,monster,78,3_000007/3_000008,1/1,211/255
8_0023,elite,78,3_000007/3_000008,4/5,100000/100000
8_0024,boss,78,3_000007/3_000008,4/5,100000/100000
8_0025,monster,79,3_000007/3_000008,1/1,150/179
8_0026,elite,79,3_000007/3_000008,4/5,100000/100000
8_0027,boss,79,3_000007/3_000008,4/5,100000/100000
8_0028,monster,80,3_000007/3_000008,1/1,469/457
8_0029,elite,80,3_000007/3_000008,5/8,100000/100000
8_0030,boss,80,3_000007/3_000008,5/8,100000/100000
