id,categoryId,order,name,description,ruid,offsetX,offsetY,wealthType,price,rewardType,rewardId,rewardNum,limitPurchaseCount,initInterval,minAccountLevel,maxAccountLevel,displayMinStage,displayMaxStage,mainDisplayMinStage,mainDisplayMaxStage
8CJPSJGT4,6,20,토끼 명찰,"착용 시, 토끼 명찰이 적용됩니다.",26314c51c215408c81e23bdc0452354b,-16,-16,worldCoin,120,item,5_000041,1,0,,0,100000,0,100000,100000,100000
25ACU8HBJ,6,20,개구리 명찰,"착용 시, 개구리 명찰이 적용됩니다.",4eb642497d7946e5a34dc3e2d312a655,-16,-16,worldCoin,120,item,5_000077,1,0,,0,100000,0,100000,100000,100000
G8TTYINB3,6,20,진지한 명찰,"착용 시, 진지한 명찰이 적용됩니다.",869be1515d9546a981f0cfb4587d6b8c,-16,-16,worldCoin,120,item,5_000092,1,0,,0,100000,0,100000,100000,100000
2R957JGLW,6,20,럭셔리 진주 명찰,"착용 시, 럭셔리 진주 명찰이 적용됩니다.",961c06d1e46e407a95d16bb7ac0c4f6d,-16,-16,worldCoin,120,item,5_000104,1,0,,0,100000,0,100000,100000,100000
BCHIJLFA2,6,20,ARK 명찰,"착용 시, ARK 명찰이 적용됩니다.",ab6563bd61974e8c82299f1c3a3b2a26,-16,-16,worldCoin,120,item,5_000110,1,0,,0,100000,0,100000,100000,100000
N7EB9D5F2,6,20,콧수염 명찰,"착용 시, 콧수염 명찰이 적용됩니다.",ba04d1cc6ebb4e84ac6f6be493d0aff3,-16,-16,worldCoin,120,item,5_000116,1,0,,0,100000,0,100000,100000,100000
7U45K1B85,6,20,붉은 장미 명찰,"착용 시, 붉은 장미 명찰이 적용됩니다.",dd0f26628f5044b086ef3d1ece56df21,-16,-16,worldCoin,120,item,5_000134,1,0,,0,100000,0,100000,100000,100000
AHNAYJ247,6,20,꿈속의 설경 명찰,"장착 시, 꿈속의 설경 명찰이 적용됩니다.",36d2bfc6563e45c9815c97b560a4c348,-16,-16,worldCoin,120,item,5_000056,1,0,,0,100000,0,100000,100000,100000
17CKJKQN1,6,20,크리스마스 리스 명찰,"착용 시, 크리스마스 리스 명찰이 적용됩니다.",04f63d9abe14446fb94b5dca654cb480,-16,-16,worldCoin,120,item,5_000011,1,0,,0,100000,0,100000,100000,100000
KP35ZRGGA,6,21,수박 말풍선,"착용 시, 수박 말풍선이 적용됩니다.",491c73810b7744a295087d7a0f43bbb0,-16,-16,worldCoin,120,item,5_000021,1,0,,0,100000,0,100000,100000,100000
RH4ADOLP9,6,21,파도 말풍선,"착용 시, 파도 말풍선이 적용됩니다.",13b03db187d54c5bb6a73b606eff349c,-16,-16,worldCoin,120,item,5_000024,1,0,,0,100000,0,100000,100000,100000
3UDKPOIBX,6,21,파인애플 말풍선,"착용 시, 파인애플 말풍선이 적용됩니다.",1d09daab3d674935a4728161666f2a62,-16,-16,worldCoin,120,item,5_000033,1,0,,0,100000,0,100000,100000,100000
3TYFQG032,6,21,토끼 말풍선,"착용 시, 토끼 말풍선이 적용됩니다.",3c3727c28f6543fab5986758c213b69b,-16,-16,worldCoin,120,item,5_000042,1,0,,0,100000,0,100000,100000,100000
JB4DFENBZ,6,21,개구리 말풍선,"착용 시, 개구리 말풍선이 적용됩니다.",14f207d5670e44049fa12cebdd009f2a,-16,-16,worldCoin,120,item,5_000078,1,0,,0,100000,0,100000,100000,100000
N8YJLJ9Z7,6,21,진지한 말풍선,"착용 시, 진지한 말풍선이 적용됩니다.",c0fe35592cca4034b56847fc6c05bc9e,-16,-16,worldCoin,120,item,5_000093,1,0,,0,100000,0,100000,100000,100000
5GZ0S7ST9,6,21,럭셔리 진주 말풍선,"착용 시, 럭셔리 진주 말풍선이 적용됩니다.",93f5dc8ad2b34442a70a52a6db36fcef,-16,-16,worldCoin,120,item,5_000105,1,0,,0,100000,0,100000,100000,100000
M98D1EIMD,6,21,ARK 말풍선,"착용 시, ARK 말풍선이 적용됩니다.",f3eb77a342894f34961ba08a64da6158,-16,-16,worldCoin,120,item,5_000111,1,0,,0,100000,0,100000,100000,100000
COEL7XDN7,6,21,콧수염 말풍선,"착용 시, 콧수염 말풍선이 적용됩니다.",4b9ca490b77948b3a97a647588600e5b,-16,-16,worldCoin,120,item,5_000117,1,0,,0,100000,0,100000,100000,100000
821QAAVAC,6,21,붉은 장미 말풍선,"착용 시, 붉은 장미 말풍선이 적용됩니다.",0ba716ff639a42d6991f6f1084bed1fd,-16,-16,worldCoin,120,item,5_000135,1,0,,0,100000,0,100000,100000,100000
7XM6M40QO,6,21,꿈속의 설경 말풍선,"장착 시, 꿈속의 설경 말풍선이 적용됩니다.",3de325c785274f0f8d93a2b1c499c6f1,-16,-16,worldCoin,120,item,5_000057,1,0,,0,100000,0,100000,100000,100000
WKZQ8DC9E,6,21,크리스마스 리스 말풍선,"착용 시, 크리스마스 리스 말풍선이 적용됩니다.",2d1ac29f6c784b1b8dd5cbf959c60e3d,-16,-16,worldCoin,120,item,5_000012,1,0,,0,100000,0,100000,100000,100000
