Name,Ruid
Eff_Welcome,0c7daf178019426f91a556a7378b439c
Open_Collection,7bf7f0d2eb99460faafe4ece120155bb
Open_Management,924eea94dee0408b9dc747e5116b4c3c
Open_Management_Short,19a3549cc4f248fd9b1b41b2473286eb
Open_Reputation,f710a55e52ab4ceb9d8ffa4b9388a5fa
Open_ResultPopup_v2,a52e77bed3e34c36adde37944da200d4
Open_Reward,f8c705ef0c1a4d44acdaa7ef8a1db67e
Popup_Congratulation,7b3cf31717d847a18accdc5841bc67d7
Popup_FailEvent_v1,be5f0bc4b1c1488faa73a5f0270b3373
Popup_FailEvent_v2,11c34f795d2349c19a300b4e71c07d70
Popup_TrendEnd,29c70f8bb3594ab7a49c663196b89a54
Popup_TrendStart,b363857c7c7945b3a65562c549293939
Close,fb287390862c4e748f50991e5cb329fb
System_Bingo_LineComplete_01,4ec5e57ac67044d9b78dd6f58ffcb176
System_HeroTrophy_Get,7be92d5d3c074c569e40aefe4dd5e6b2
System_cinematic_get_01,f9382741ed5a44019a881d28df0ecdcb
System_Bingo_UI_01,36e910b3049b4f84be1f51a2d829c508
System_QuestBookOpen_01,b8d5acd95be948c882fd414587ec84a0
System_AttendGift_Stamp_01,9d34a5f8ef19430f9e963e2689430373
System_CashShop_Buy_01,659a19c9e1054e5c97cb2109930f0d7d
System_Dice_GetItem_02,2c94c5fffa4f4ec280379e98849711ca
System_Dice_GetItem_03,8ca9a0f7cab64357af6f7a8e1016736d
System_BattleField_Win,b28c4c0ff68348449dfb338b25010291
Eff_PetEquipPurchase,72b6365da1d9413cb32538f36345da5d
AMB_Town_01,276581d4290a42a9a2b7ac4f84113a9c
Eff_TrainingSpinFail,cb8d567c14884fa4846139e234c7d6bd
Eff_TrainingSpinSuccess,e14fc190e5c145b48727f3c0f2acd314
Eff_CarMoving,130ce78f03c24919af317220b5eeb42c
Amb_Crowd,53edf6ea6ed84e918ee7ac0bc5786473
System_StoryBook_Next_01,9aef5bd7b5394b42a4885a1f4c5bace4
System_StoryBook_Close_01,ad8530c3df5e464884eda246ab4527dc
System_BlackMarket_Ready_01,29201d78b63e475e94beaeecd613f8f5
System_Shift_Click_01,54d96aa425564ce3b024692b667693f2
System_BuildShop_01,216f443d9ef84b2bbb4a82c77c63a525
System_Trophy_Over_01,f71bd80536d0475cafc024ac014325e6
System_Gemstone_Button_01,34256b06fc4947c398e21c280fd62f98
Skill_Thief_MesoGuard_Invoke_01,272036d662ec45c6a95a548fc5461391
System_BlastFurnace_NormalOpen_01,079aa268a2fa4876be51a65e1b69eec3
System_LulluOpenBox_Open_01,2135dfc213944492b9340d6f9effc4b9
System_SubButton_Click_01,ca6f4c94e4d14bcb997f6bc7c6adf240
System_BlackMarket_Sell,367185ce8eca484c82e7fc9ff14f1c8c
System_PremiumShop_Cart_01,3022583f450c4f23bbba248d99be7f98
System_PremiumShop_Favorite_01,862601753bd842978c206c478abcb8f3
placeholder_alert,10231d1575a24dacae99735771fdfa04
System_NoticeUI,9ba36add86854a768f6b4c46f8049c3f
Click,7eda004ded944e459f1fbb16c7f0f3f4
Close_old,de344b5f1bb444189d57dc52fca2bb14
ShowIllust,e84d19c15f394713a45ada26ace12e82
ShowLight_TChar,54da9a7be69645a0a75fd4e738020a2b
ShowLight_SChar,2131ad1113b64403a46280180900bba7
ShowFish_1,3f3282eb9b02433a9691bf3de3bdee7a
ShowFish_2,10a95382eab94dc88fc54b90df247962
ShowFlower_1,0ffd663930bb4d7caeb7414fa218b199
ShowFlower_2,4f2b76edbb1d43c583d35b05d2d3a807
ShowGachaResult,d6f9f5c4e0554e06a9c87f24c4025647
ShowHintPaper,a057d99306ad4f36a6bd5502409e89c8
Buff,0630596bb6cb448882ad169b8a77fc14
Debuff,44089d20bbe54c4b86e736c4cb607287
Search,59f78241596544f088e006ec30ca67b5
RemoveBuff,23eca498b2b245129aa309087463eb37
Refuel,f6a452d252e041619320e6dbea7afa2c
Sleep,2dc0873221254e9cbc0fc1e48d3d5bec
Awake,1245ac1cdd9b46d2bccb4e0809e0b64a
RewardLog,2dd6d2e65fb049749e697bc1bc26c154
Car,971cd8c15a974b93b97c19a33b80ee1c
CarArrival,0ea0e2e1021a4168b7ee7859ac92e8d5
Start,04ca8c287bad49e286bc0feb17cb8824
TrialAction,20f89c647dda4025b7ae5720bcd8ba4d
TrialSkill,17d088efc6e94b8aae8332b065f3f06b
TrialFail,7e1745bb0cbe4dc08d1e05b143202855
Whistle,cdbf65e7805b4d3ba8366b95c91bb560
Audience,9e6eace67b76468493e164bb33e44967
Firework,fcbb684e0f214019a07e34a0fb8a8afe
WinVoice,3735800e190c415cb3cc4a756a676e0a
LoseVoice,48e2eb74094a4bf7811a1f16c8587d49
TrialLose,b85872d33d3648f8b08904ce1f3ad299
NumFall,7c5cf8cb85d4449a921f21c98e0352af
NumSlider,68755857123b40158a189f70466e7250
NumCount,652025e1107345aaa52a2e06681f284c
IconDrop,1eae1b0a4468419fb966bf761c1747e4
Bell,6c50d14909014552b6be4fbaa2b16cee
Snap,8a80108853c94959ab3ae65cc78d8541
Fanfare,401ca227c0c844569422a53bd21ab647
StickTo,d2ae0f66928942d0bf029e014996b12a
DrumShort,ee315f25fcd94b88b4ed945ccf681786
GameD,734d73fd4767477d99dad7681d85683c
Drink,3dce2af52fba4589a220c7a9fdfa3137
ShowResult,09095a7760b94ad3a55d669fa2880346
LionTalk,4e3fc086cf314917956d341ae2e056a5
Click3,64400d09df1441d58e66a056b765c980
WrongBeep,630ffcd759624653a0213b41d77439cd
ThrowWind,3ea2cfd8c1bc4fccaa754b558b496a64
GetItem,205510b33adf4509b1565ccd4c77d98b
LevelUp,0350ad2d1d5944f8ae6e0bd2f930648a
BurgerPriceUp,85009f4dcc7d4536b732aa54b76d05c9
BurgerPriceDown,3522602059be4376a95c47c981ec0099
Bingle,142617d399d64257b2f2710cead39633
Bingle_Good,2e1b79ab613447c6bf332fa0adbfbaf4
Bingle_Bad,084cc8da78ad4d50ae55a69a50880142
Thunder,21fe0f20d2f1410c9d3cf06575248d22
Coin,21600ec9d3a04cfeb69c6fe0c50e197c
ItemHintDrop,cd0bd46d7f454640b82c9dfff0c6677b
ArrivalSubscription,1ba7fbd6ca84484fafd310d0f0b719ec
KeyboardTyping,3866e399004f44cd93d9868f1a8bb139
System_Item_Small_01,522cf84cb61141f7836c4c776dccf353
BtnClick_Cute,8c73cfbaf3584aefb42f4021d3dc621d
BtnLock,fd6f5f00cb10455298f5ec324822a36a
