PCRUID,MobileRUID
0a8b71555e7a4f1a8f08a2abdc7320dc,04ea264e71fb4d3c8fa849926a928d32
336dfb63714b4e93ad569d6df6a4a1bf,ba9ca0952077497bb4ef61dea78e2a51
9feb35e9ffb640d58d787caf2c6e68cc,40314418be73418a8c6a76b2e9799c7c
9d3314d29f934a21a441c1df68052643,41a271f2f0c54d9fb1693440b8692a49
9772c701cd2e4d3b8a3c4b75a72a5883,c822e32447b94393a09f512e4e35d759
f6ee2a9ea8b54bdaa6e73631f934c16d,83ce88514d39485585062f7307950dd3
b4c96d1bbdff417386d14b4fe4725e96,dc2384323fe34013aad35e4b6c24cb82
4184ec29bb484cc7b2725ded576519c6,14ca5740579b42a082b2737687250477
3b67c275a98941a08eb492353b89f841,5e7adb514fe849bca162cfc7150bc5ed
010c7b4120fd4482985e35143c4fe6f4,c6c1386a5a034cbf94affaaca3260681
b66704b056dc4285859a093cf3620c6e,381fb2352bc949e99a63e9c8257b2905
71c49fa004574bb984ce7d3ce8038f90,4ea23bf2051c424caffb5f06756fa15e
45576f8ea8a442f0993306b79870af5a,9b047a87c8c44bba877de953f3d41de8
042dad0ce0404fc6935b4152d7865ee2,1b8d4dd66bcb43238286a9abf7bcda76
e745f87c6930445da55f64f387708fde,93e390d2583e457fa5416d960c183436
aab10070ec8f4a28afc3873b41d58d23,b2febb88833144a0a91af3f72d37324d
b763bc59fdda4faebcf04301fd95e00d,e7bb5958770c47ac8c2e1e298021ad89
76b8299e76f04d59b0778eef04e9be03,2214a836d92647e0a61c7461ae49866b
e31febf3171240a0838761be4996c1e2,0db277bfc0014938b6a1415c3985d388
143119f09a8f420bb0f19d83b201b6a8,32b8d79a1dd34a1d97f49a031866c3ee
1c1971de502945d9867aa8eeb7f16473,32c3b89927da4b80b17808f275e12887
d07b40433d474676b8b0558f8efd165b,15f02ba845e14070902093a317f44d8e
afbe5271e68549938f920a17dfcb685a,4bcfedd9dab545db857b4cc062de1492
ac86599ac9a94654abe4d32e8ce7fd38,d10da999f0964a15b19c80dc41488964
974636e027a043a5a173120c6aa6d4d0,c53a7a2ab051471ebdb26338a96927b1
19f13ac7c99045598772bc57c7d9a2ab,95aa6e651edf45e889446a365dfeb650
e5e8bcf6dfc04cf4a7f133ccc31d2b74,3502be7e0f51466dac83a678bb31d833
02a6be5490ab476fa15c34d6f280bb9a,d3abb6ff0e864ae1acc4dd7d4767854d
4e16a5113c284a628734b16b4d8086b0,a5436051a4fe49d69a336a6dd9ca7801
78fcb26e884941ed937c755e18ca8740,61ad2860ce514f1dbb0b37a5c4566b64
ffb4524535ad472c9e3a471871203830,55c369d9e0ad4c44a546837c4a9cce31
d69ae94326724a1d8974229e4acf5ee4,5a3272a1701a476ab5bb22141114b547
dc03e1df68fb401985529f8c61c7e609,de7d5b136f53492b9f686dfe88c69139
6dba7e8252344752956df0362eb66a40,c805283f56f5417da523ef9ca7737fb0
35b39e963996470abc99fb9643f1c495,b9c44054292e43ebaf808da6e1544bf8
9c902c18a72649cc8e9222f3adfa2ed2,20655b444f6d4998ba4a17fa5e6f7f38
c9decf8789a44ea78c16bf814fcbf249,39c4dfb234af434484349317bb6a19a1
359648cbde3e428b9ca355a220b45502,530ddc0d0e22427295688867dfbc3d28
66bb809786ba49ec89f5848776297de8,f4deac6c18944b9b83cd4ec0dcc3202c
1ac285c9a85647a9bce40c6220c9151a,ce78f27802b149919d2a4f482fec97ff
aea5716c84b5435fa9561596f1e58f5c,6cff64bff0504f9b98f0e5a469c63ab6
5a09900bc0a8498eb6059b7bb5e34c0e,3a47cdb47a3843f294f5a216a4ee42b3
f6d8889074d84985b25b50288c63d431,5376f6c3601c46f791ba77fce71ac928
2527fb23e30446d4a8aa2d81e602b534,b360c0b8a0f74041837dfab0eb1dd014
3cb14795df6247c181263e38207aa55e,437d76c0876440b5bb30f41423e54cd8
0afab185dc2a480eb382156628752887,36646b9a7325420b87dbfa34cacc1117
0c993a3d85b94370a6adf080aa2ec1a0,26933fbe2c234fb8951442f98e772a90
f3c80968406245aa917b3affcb030914,e7edd10ef66b4e8a820a2a5eb0a1cd6c
8c74bf2cfc0949f18d0db4e77af060a0,5bfb31e8b8b94fbf974178203b65daf1
