id,level,name,description,type,amount,drawCount,drawOption,drawWeight,rare,ruid,pivotX,pivotY,scale
100039,2,집중,치명타 확률 <color=#B5FA4D>30% 증가</color>,buff,30,1,,1,1,4daab9a42ad041ab83a8e982e8dbd20d,0,-10,1
100040,1,공학 이해도,설치형 오브젝트의 대미지 10% 증가,buff,10,0,,0,0,53803621b86e45a99c91d48efec05a1b,0,-10,1
100041,2,공학 이해도,설치형 오브젝트의 대미지 20% 증가,buff,20,0,,0,0,53803621b86e45a99c91d48efec05a1b,0,-10,1
100042,3,공학 이해도,설치형 오브젝트의 대미지 30% 증가,buff,30,0,,0,0,53803621b86e45a99c91d48efec05a1b,0,-10,1
100043,1,결정타 증폭,치명타 대미지 <color=#B5FA4D>15% 증가</color>,buff,15,3,,10,0,c2de1c322a25463a903de490fc680cac,0,-10,1
100045,2,결정타 증폭,치명타 대미지 <color=#B5FA4D>40% 증가</color>,buff,40,1,,1,1,c2de1c322a25463a903de490fc680cac,0,-10,1
100046,1,끈적이,플레이어가 지나간 자리에 몬스터에게 슬로우 디버프를 거는 점액질이 뿌려집니다,buff,1,1,,0,0,89a629e1eb4c4e3bb96dd59b59865812,0,-10,1
100047,1,소닉붐,대시 후 주변의 몬스터를 밀어냅니다,buff,1,1,,0,0,003698afe94c48c0af40a16c126be607,0,-10,1
100048,1,패기,"차징 시, 주위 적을 밀어냅니다",buff,1,1,,0,0,7de8ece17986497ca8a17bb0557fc6f5,0,-10,1
100049,1,테러리스트,"공격 시, 05% 확률로 폭탄을 부착합니다 폭탄은 2초 후 터집니다",buff,1,1,,0,0,a85255e82ef34b7dab9cc7d1dcc12531,0,-10,1
100050,1,눈속임,"대시 시, 2초 동안 몬스터들의 타겟에서 해제 됩니다",buff,1,1,,0,0,ae9b9ccfa6cf4480bab98c8bc5409f85,0,-10,1
100051,1,고도의 집중력,공격 속도 <color=#B5FA4D>20% 증가</color>\n이동 속도 <color=#FF6868>10% 감소</color>,buff,1,3,,10,0,81a2546206964a7a9d3c97c2736fef3b,0,-10,1
100052,1,계약,현재 체력의 <color=#FF6868>20%를 소모</color>하여 <color=#B5FA4D>선택지를 새로고침</color>,buff,1,0,,10,0,2230ac54b9584a8aa9a307a0ddf1500d,0,-10,1
100053,1,예열,공격 속도와 이동 속도가 15% 증가 \n<color=#FF6868>움직임 없을 시 3%의 피해</color>,buff,0,0,,0,0,1361e88cb9fc4175b52dd56a8c7b02c7,0,-10,1
100054,1,역전의 기회,장착한 장비 중 1개를 버리고 2개의 장비를 새로 뽑습니다,weapon,1,0,weapon_remain_2,0,0,a31482dd002e4a909d371438109489a9,0,-10,1
100055,1,핑거 스냅,필드 위 모든 몬스터의 체력에 30% 피해를 입힙니다,consume,30,0,,0,0,6c91a21fc8944fdd95c1bf6e018da2b0,0,-10,1
100057,3,암전,필드 위 모든 몬스터 즉시 사망,consume,100,1,,5,0,b59b04e1cbcb4eb0bc8f33c151d58e94,0,-10,1
100058,1,마지막 잎새,"<color=#B5FA4D>30초 동안 무적 상태</color>\n이후, <color=#FF6868>체력은 1로 감소</color>",timeout_30,1,0,,10,0,c18f83d03435459dbb8bcadca4bb7286,0,-10,1
100059,1,고진감래,<color=#FF6868>20초 동안 체력이 1로 감소</color>하였다가 <color=#B5FA4D>100% 체력 회복 및 최대 체력 30% 증가</color>,timeout_20,1,1,,10,0,e86e12c750894bc1b8075df8546f19b7,0,-10,1
100060,1,금강불괴,"가만히 멈춰있으면, 피격 데미지가 50% 감소합니다",buff,1,1,,0,0,2bab8bcce8c9401ba583c65605802fa8,0,-10,1
100061,1,심안,물리 무기 대미지 <color=#B5FA4D>70% 증가</color>\n마법 무기 <color=#FF6868>대미지 50% 감소</color>,buff,1,1,,1,1,93b515ed31154b71b69014e0fe949211,0,-10,1
100062,1,리플렉트,40초 동안 모든 투사체를 반사합니다,timeout_40,1,1,,0,0,43345b96ec9f499bb1041c3da64d9415,0,-10,1
100063,1,슈퍼 러시,대시 거리가 2배가 됩니다,buff,1,1,,0,1,192b7e7ad9f04101a93514fdcc262467,0,-10,1
100064,1,다재다능,등록한 무기 중 다른 종류의 무기 개수(n)만큼 총합 대미지가 3 * n% 증가합니다,buff,1,1,,0,0,2a21757fbec040f887207e98406523fa,0,-10,1
100065,1,거인화,플레이어 캐릭터가 커집니다 물리 대미지가 100% 증가하고 공격 속도가 30% 감소합니다,buff,1,1,,0,0,c07a84a241c0489a98f2171eb0ab8070,0,-10,1
100066,1,희열,10킬당 공격 속도가 <color=#B5FA4D>1%씩 증가</color> (최대 200%),buff,1,1,,3,1,13e2d20773154dcb9b5a29f3305939fd,0,-10,1
100067,1,원한,보스에게 주는 피해 <color=#B5FA4D>50% 증가</color>\n받는 피해 <color=#FF6868>30% 증가</color>,buff,1,1,,10,0,0c890a73ae8a4c0288b963f4ab9899a4,0,-10,1
100068,1,먹보,최대 체력 <color=#B5FA4D>30% 증가</color>\n이동 속도 <color=#FF6868>10% 감소</color>,buff,1,1,,10,0,a5f3769e2c22421eb34b23f94aa1e44f,0,-10,1
100069,1,소인화,플레이어 캐릭터가 작아지고 이동 속도가 30% 증가합니다,buff,1,1,,0,0,94dce55b59f54f03bf73be73cead999c,0,-10,1
100070,1,승승장구,"매 웨이브 클리어 시, 대미지 <color=#B5FA4D>5% 증가</color>",buff,1,1,,10,0,1a4c66aec05d4371914e1f11de741358,0,-10,1
100071,1,예리한 감각,"매 웨이브 클리어 시, 치명타 확률 <color=#B5FA4D>7% 증가</color>",buff,1,1,,10,0,437b0700796e45c1b28c9b9ba1c5f08a,0,-10,1
100072,1,보호막 발동,매 웨이브의 첫 피격을 막아주는 <color=#B5FA4D>보호막 발동</color>,buff,1,1,,10,0,b8d1dfdb2fe54004b8be74c8acf82237,0,-10,1
100073,2,보호막,"보호막이 파괴되면, 플레이어 주변에 폭발이 일어납니다",buff,1,1,,0,0,36983cdfbd19464c95399834ffe81dab,0,-10,1
100074,1,무방비,전체 무기 대미지 <color=#B5FA4D>15% 증가</color>\n받는 피해량 <color=#FF6868>20% 증가</color>,buff,1,1,,10,0,ff835efbf43e4388b365b590b2bc9e7e,0,-10,1
100075,1,암살,치명타 확률 <color=#B5FA4D>40% 증가</color>\n전체 무기 대미지 <color=#FF6868>20% 감소</color> 및 받는 피해량 <color=#FF6868>30% 증가</color>,buff,1,1,,3,1,6390ef7bad3a4e4a9f713674f47ac3c0,0,-10,1
100076,1,전장의 방패,<color=#B5FA4D>방패가 소환</color>되어 몬스터의 투사체 방어,buff,1,3,,10,0,b208dfadcb1243e4b85a3708d866d497,0,-10,1
100077,1,진화의 법칙,장착한 무기 중 랜덤한 무기 1개를 진화시킵니다(전투가 끝나면 초기화됩니다),weapon,1,0,,0,1,10fc5ce9363542d2b3b71dbc2a5937f5,0,-10,1
100078,1,레플리카,장착한 무기 중 랜덤한 무기 1개를 복제합니다(복제한 무기는 절반의 대미지을 가집니다),weapon,1,0,weapon_remain_1,0,0,016be7d68d974fb49a1c1868e85c2167,0,-10,1
100079,1,다시 돌아갈래,장착한 무기 중 한개의 무기를 진화 전 상태의 두 개의 무기로 분해합니다(전투가 끝나면 초기화됩니다),weapon,1,0,not_max_equip,0,0,073055d206b84addb0d4dd97572c28b4,0,-10,1
100080,1,환불 원정대,장착 중인 무기를 모두 버리고 버린 만큼 다시 무기를 소환합니다,weapon,1,0,not_max_equip,0,0,0dcc6c67daff4b3198346c992387fa84,0,-10,1
100081,1,등가 교환,현재 체력의 50% 를 바쳐 무기 2개 획득,weapon,5,0,weapon_remain_2,0,0,0a8bb75486bf49b6b06671120a69e096,0,-10,1
100082,1,토사구팽,장착한 무기 중 1개를 제물로 바쳐 체력 100% 회복,consume,1,0,equip_over_1,0,0,5c11db9e878741e9b173e5374d7d1e63,0,-10,1
100083,1,바람의 정령,15초에 한 번씩 바람의 정령을 소환하여 몬스터를 밀어냄,buff,15,1,,5,0,d04f2bb00b8a4208ae9e763131953c25,0,-10,1
100084,1,초강력 휩쓸기,5초에 한 번씩 몬스터를 한 방향으로 밀기,buff,2,1,,1,1,b4f316cb228f474f9eb33230bfedd63a,0,-10,1
100085,1,콩닭콩닭 무기 소환,한번에 보유 무기 중 랜덤하게 2개의 무기 소환,weapon,0,0,weapon_remain_2,0,1,ccc037a759994349ac2d7f7680ac02ec,0,-10,1
100086,1,역장,플레이어 주위의 몬스터 이동 속도 감소,buff,0,1,,1,1,68f5f0b0ae394c7798c8cc96e8fd5c0a,0,-10,1
100087,1,슈퍼 모드,30초간 무적 및 속도 상승,buff,0,0,,0,1,573c7f316f0348c49f43fe67eab6885c,0,-10,1
100088,1,감옥,15초마다 몬스터들을 가두는 장벽 생성,buff,0,0,,0,1,99ba8ae91d894b90aff7968c94c59dc9,0,-10,1
100089,1,영역 전개,"맵 크기 한 칸 넓히기 (보스 등장 시, 초기화)",buff,1,3,except_boss,5,0,56d9f8676b15489c85a40f54ce1e62ba,0,-10,1
100090,1,현자의 돌,마법 무기 대미지 <color=#B5FA4D>70% 증가</color>\n물리 무기 대미지 <color=#FF6868>50% 감소</color>,buff,1,1,,1,1,b9301c4512684400901b7ceb9b39bfd6,0,-10,1
100091,1,하이브리드,종합 대미지 10% 증가,buff,0,0,,0,1,93b515ed31154b71b69014e0fe949211,0,-10,1
100092,1,소집,<color=#B5FA4D>아직 불러내지 못한 무기를 모두 소환</color>\n현재 체력의 <color=#FF6868>50% 감소</color>,buff,1,1,,1,1,e5ddcfc36bf64708b924466c4a1bd306,0,-10,1
100093,1,결투,보스에게 주는 피해 <color=#B5FA4D>10% 증가</color>\n회피율 <color=#FF6868>5% 감소</color>,buff,10,3,,3,0,c336cf5726604e7dab39229a62e8399f,0,-10,1
100094,1,핑크빈의 저주,물리 대미지 <color=#B5FA4D>1 ~ 20% 증가</color>\n치명타 확률 <color=#FF6868>5% 감소</color>,buff,5,1,,3,0,c26ad428d20d4a24a637056e430ac3f5,0,-10,1
100095,1,블랙빈의 저주,마법 대미지 <color=#B5FA4D>1 ~ 20% 증가</color>\n치명타 확률 <color=#FF6868>5% 감소</color>,buff,5,1,,3,0,04594e9b5f0144cca03c40c3bbda44b3,0,-10,1
100096,1,독이 든 성배,"사망 시, <color=#B5FA4D>체력의 20%로 1회 부활</color>\n<color=#FF6868>부활 시, 모든 이로운 효과 50% 감소</color>",buff,0,1,,2,1,dbc79e1e776e4ec6a49c77ad85cbc553,0,-10,1
100097,1,수상한 물약,랜덤한 능력치가 증가 혹은 감소 \n(<color=#FF6868>-20%</color> 혹은 <color=#B5FA4D>+20%</color>),buff,0,3,,3,0,cf6f26034882457d969d40c93b22accf,0,-10,1
100098,1,헤롱헤롱,대쉬 충전 속도 <color=#B5FA4D>20% 증가</color>\n무기 사거리 <color=#FF6868>30% 감소</color>,buff,0,3,,3,0,b816cc26da4a43ab85b6dc9232ec679e,0,-10,1
100099,1,대가,일반 몬스터 공격력 <color=#B5FA4D>15% 감소</color>\n회복력 <color=#FF6868>1% 감소</color>,buff,0,1,,3,0,4e36c42ec2414c6aac4db6b3e8cc7b42,0,-10,1
100100,1,분개,치명타 확률 <color=#B5FA4D>15% 증가</color>\n경험치 획득량 <color=#FF6868>20% 감소</color>,buff,0,1,,3,0,33a3971afa54459e95dc7f674a4b6ab9,0,-10,1
100101,1,전장의 깃발,깃발 범위 내에서 전체 무기 대미지 <color=#B5FA4D>40% 증가</color>\n일반 몬스터 <color=#FF6868>체력 10% 상승</color>,buff,0,1,,3,1,cf3e4d4430a9470e83c5ed8a9e2a1f60,0,-10,1
100102,1,산화,소환된 <color=#B5FA4D>모든 무기 1회 강화</color>\n<color=#FF6868>웨이브 종료마다 최대 체력 5% 감소</color>,buff,5,1,,3,0,3d0665d6fb724a7aba9b300961ef40da,0,-10,1
100103,1,무작위 가속,"매 웨이브 종료 시, 이동 속도가 증가 혹은 감소 \n(<color=#FF6868>-10%</color> 혹은 <color=#B5FA4D>+20%</color>)",buff,0,1,,2,1,ddf7fff8b6ed4f6a847cea87b25f3556,0,-10,1
100104,1,제물,일반 몬스터 이동 속도 <color=#B5FA4D>15% 감소</color>\n받는 피해 <color=#FF6868>10% 증가</color>,buff,0,1,,3,0,c669399fdb3c484ea048b21f785c7071,0,-10,1
100105,1,빙의,치명타 확률 및 치명타 대미지 <color=#B5FA4D>20% 증가</color>\n<color=#FF6868>10초마다 최대 체력의 1%만큼 피해</color>,buff,0,1,,3,0,cd24646af99d4cbc8ff1fcd822c72e70,0,-10,1
100106,1,위협,보스에게 주는 피해 <color=#B5FA4D>15% 증가</color>\n일반 몬스터 <color=#FF6868>이동 속도 10% 증가</color>,buff,0,1,,3,0,615e3f5a42f843beb658071f64a3f533,0,-10,1
100107,1,발현,날아다니는 몬스터 처치 시에도 경험치 구슬 드롭,buff,0,1,,5,0,90eda8b58e9643e4823384230484ffe5,0,-10,1
100108,1,희생,"체력이 모두 소진될 때, <color=#FF6868>임의의 소환된 무기를 파괴</color>하여 <color=#B5FA4D>사망 회피</color> (사망 회피 이후, 체력 1)",buff,0,1,,1,1,21dd534c17c348d99a694701e7da43cf,0,-10,1
100109,1,변이,일반 몬스터의 스킬 사용 간격 2배 증가\n<color=#FF6868>일반 몬스터 이동 속도 50% 증가,buff,0,1,,0,0,2a9705483f19402c8d42f97ad9ec174a,0,-10,1
