ItemID,Name,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7
NI10004,도깨비 방망이,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10005,드래곤 레이지,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10006,소드 귀고리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10007,뿅망치,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10008,붉은 채찍,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10009,신속의 날개,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10010,냄비 뚜껑,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10011,화이트 네쉐르,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10012,드래곤 샤인 보우,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10013,자유로운 궁수의 귀고리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10014,공작 깃털 망토,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10015,파란색 권투 글러브,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10016,미스릴 타워 실드,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10017,에스터 실드,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10018,표고 버섯,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10019,타임리스 귀고리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10020,에르다의 빛,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10021,파란색 가운,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10022,자쿰의 투구,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10023,백의의 서,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10024,사파이어 귀고리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10025,플루토 플레임 망토,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10026,하트 팔찌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10027,자쿰의 나뭇가지,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10028,레드 해골 귀고리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10029,다이몬의 완드,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10030,별빛 팔찌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10031,커맨더 포스 귀고리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10032,골드 드롭 귀고리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10033,산타 장갑,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10034,스피릿 나인테일,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10035,파란색 날개 가방,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10036,하트 타투 글로브,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10001,마스코트 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10002,수호대 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10003,선봉장 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10004,마법사 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10005,책사 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10006,사냥꾼 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10008,추격자 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10009,싸움꾼 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10010,저격수 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10011,방해꾼 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10015,시간의 신전 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10016,엘나스 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10017,빅토리아아일랜드 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10018,슬리피우드 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10019,루디브리엄 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10021,오르비스 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10022,시그너스 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10023,모험가 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10025,기사단장 상징,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EI10031,아랫마을 상징,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
EI10032,마가티아 상징,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
EI10033,미우미우 상징,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
EI10034,처형자 상징,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
EI10035,결투가 상징,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
EI10036,판타스틱 테마파크 상징,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
SI10001,방해꾼의 가면,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SI10002,분노의 옥석,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SI10003,질투의 옥석,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SI10004,식탐의 옥석,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SI10005,후회의 옥석,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SI10006,나태의 옥석,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SI10007,탐욕의 옥석,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SI10008,시기의 옥석,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
