SynergyID,Name,NeedCount_step1,NeedCount_step2,NeedCount_step3,NeedCount_step4,NeedCount_step5,IconRUID,Desc,DescCoef,DescText,Detail_step1,Detail_step1Coef,Detail_step1Text,Detail_step2,Detail_step2Coef,Detail_step2Text,Detail_step3,Detail_step3Coef,Detail_step3Text,Detail_step4,Detail_step4Coef,Detail_step4Text,RelatedRuneID,RuneDesc,RuneDescText,RuneDescCoef_1,RuneDescCoef_2
S10011,방해꾼,3,5,-,7,9,d904892571144689a127696590e607dd,S10011Desc,-,방해꾼의 가면 아이템을 얻습니다. 아군 방해꾼 캐릭터 중 하나에게 가면을 줄 수 있습니다. 전투 시작 시 가면을 가진 아군 캐릭터와 반대편에 있는 적 캐릭터가 서로 위치를 바꿉니다. 위치를 바꾼 아군 방해꾼은 은신 상태가 됩니다.,S10011Detail_step1,3,은신 지속시간 4초,S10011Detail_step2,"4.5,50","은신 지속시간 6초, 위치를 바꾼 대상의 물리 방어력 및 마법 방어력의 50%를 강탈",S10011Detail_step3,"6,2","은신 지속시간 8초, 적을 처치하면 2초간 은신",S10011Detail_step4,"3,1,3","모든 아군이 처치될 때까지 은신, 3초마다 주변 1칸 내 적들을 3초간 둔화 상태로 만듭니다.",RC20066,S10011RuneDesc,"방해꾼의 가면 효과 지속시간 +{0}%, 방해꾼의 가면을 장착한 캐릭터와 같은 행에서 전투를 시작하는 적들을 마나 과부하 상태로 만듦",50,-
S10012,숭고한 영혼,-,-,1,-,-,bb81411d129649b0a539d64e956f6e63,-,-,-,S10012Detail_step1,"15,2.4,1,2,4","미하일은 전투 시작 시, 그리고 15초 후에 가장 가까운 아군을 3초동안 무적 상태로 만듭니다. 미하일의 별 등급에 따라 대상 수가 증가합니다.\n1성 - 1명\n2성 - 2명\n3성 - 4명",-,-,-,-,-,-,-,-,-,-,-,-,-,-
S10013,전설의 궁수,-,-,1,-,-,9bd2067a4d3340fdb4ed33281531dcd2,-,-,-,S10013Detail_step1,"1,9",스킬을 사용할 때마다 적들로부터 가장 먼 칸으로 이동합니다. 대상과의 거리 1칸 당 헬레나의 피해량이 9% 증가합니다.,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S10014,여제,-,-,1,-,-,86c276715b8547119c6a23a17452e742,-,-,-,S10014Detail_step1,4,적 유닛을 처치할 때마다 모든 아군의 상태 이상을 해제하고 공격속도를 4% 증가시킵니다.,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S10015,시간의 신전,3,5,-,7,10,a4e356abeb6e44219d019aaec5b0cd16,S10015Desc,7,"전투 시작 7초 뒤, 적이 가장 많은 위치에 도도를 소환합니다. 도도는 소환하면서 주변 적들을 기절시키고 도발합니다. 시간의 신전 캐릭터들의 별 등급에 따라 도도의 체력 및 마력이 추가로 강화됩니다.",S10015Detail_step1,1,1성 도도,S10015Detail_step1,2,2성 도도,S10015Detail_step1,3,3성 도도,S10015Detail_step4,30,"도도가 소환될 때, 주변 적들의 스탯을 먹습니다. 최대 체력, 물리 방어력, 마법 방어력, 공격속도, 크리티컬 확률을 각각 30%씩 훔칩니다.",RC20045,S10015RuneDesc,"도도 등장시간 -{0}초, 등장 직후 모든 적 3초간 기절",3,-
S10016,엘나스,2,4,-,6,10,9f069b75ff544317be68c7eedb004144,S10016Desc,"0.4,20",엘나스 유닛이 피해를 입거나 입히면 대상에게 냉기를 가해 고정 피해를 입힙니다(쿨타임 0.4초). 냉기 피해를 20번 받은 적에게는 추가 효과를 부여합니다.,S10016Detail_step1,"10,20,4","냉기 피해 10, 냉기 피해 20번 중첩 시 4초간 둔화",S10016Detail_step2,"20,20,1.2","냉기 피해 20, 냉기 피해 20번 중첩 시 1.5초간 기절",S10016Detail_step3,"33,20,1.2,20","냉기 피해 33, 냉기 피해 20번 중첩 시 1.5초간 기절 및 최대 체력 20%만큼 고정 피해",S10016Detail_step3,"66,20,1.6,33","냉기 피해 66, 냉기 피해 20번 중첩 시 2초간 기절 및 최대 체력 33%만큼 고정 피해",RC20046,S10016RuneDesc,냉기 중첩 추가+{0}회,1,-
S10017,빅토리아아일랜드,3,5,-,7,10,5a15f7a25b834d3abc825e81ab20c22e,S10017Desc,30,"빅토리아 아일랜드 캐릭터는 전투에서 처음 사망 시 부활합니다. 부활 후 입는 피해, 흡혈, 이동속도가 30% 증가합니다.",S10017Detail_step1,30,부활 시 체력 30%,S10017Detail_step1,60,부활 시 체력 60%,S10017Detail_step3,"100,30","부활 시 체력 100%, 부활 후 최대 체력의 30%만큼 보호막 획득",S10017Detail_step4,"100,100,100","부활 시 체력 100%, 부활 후 공격력/마력 100% 증가 및 최대 체력의 100%만큼 보호막 획득",RC20047,S10017RuneDesc,가장 마지막까지 살아남은 빅토리아 아일랜드 유닛이 {0}번 더 부활,1,-
S10018,슬리피우드,2,-,-,4,6,c6b02a5bb88448b38e446d50d5906da5,S10018Desc,3,모든 적에게 저주를 내려 3초마다 최대 체력에 비례한 고정 피해를 입힙니다. 적이 처치될 때마다 슬리피우드 캐릭터들이 체력을 회복합니다.,S10018Detail_step1,"2,120","2% 체력 비례 피해, 체력 회복 120",S10018Detail_step1,"3,240","3% 체력 비례 피해, 체력 회복 240",S10018Detail_step1,"5,480","5% 체력 비례 피해, 체력 회복 480",-,-,-,RC20048,S10018RuneDesc,"저주 간격 -{0}초, 적 처치 시 최대 체력의 {1}%만큼 추가 회복",0.5,5
S10019,루디브리엄,2,-,-,4,7,03833fe422ab46a5b15755fb7402051a,S10019Desc,-,"전투 시작 시, 아군이 장착한 아이템 수에 비례하여 루디브리엄 캐릭터들이 최대 체력 및 마력을 얻습니다. 루디브리엄 캐릭터가 처치되면 가지고 있던 아이템 중 하나를 복사해 아이템이 없는 무작위 아군에게 장착시킵니다.",S10019Detail_step1,"1,3",아이템 1개당 최대 체력 및 마력 +3%,S10019Detail_step1,"1,5",아이템 1개당 최대 체력 및 마력 +5%,S10019Detail_step3,"1,9,25","아이템 1개당 최대 체력 및 마력 +9%, 복사할 때 25% 확률로 재료 아이템 획득",-,-,-,RC20049,S10019RuneDesc,"아이템을 전달받은 유닛은 {0}초간 공격력, 마력, 공격 속도 +{1}%",4,30
S10020,아케인 리버,1,2,-,3,4,7e57d7c5117e42fbae91ab7b15981cd8,S10020Desc,"0.8,15","고유 : 아케인리버 캐릭터들은 기본 공격을 사용하지 않습니다. 대신 1초마다 마나를 15 획득합니다. \n아케인 리버 유닛이 적을 처치하면, 대상과 가장 가까운 다른 적들에게 마력에 비례한 추가 마법 피해를 입힙니다.",S10020Detail_step1,"2,10,45","적 2명, 피해량 10 + 마력의 45%",S10020Detail_step1,"2,20,60","적 2명, 피해량 20 + 마력의 60%",S10020Detail_step1,"2,30,80","적 2명, 피해량 30 + 마력의 80%",S10020Detail_step1,"3,30,80","적 3명, 피해량 30 + 마력의 80%",RC20050,S10020RuneDesc,고유 효과로 얻는 마나 +{0},5,-
S10021,오르비스,3,5,-,7,10,0cd46b5631a74a1090856dee6dd2c179,S10021Desc,"20,3,66","오르비스 마법석을 활성화합니다. 원하는 칸에 마법석을 자유롭게 배치할 수 있습니다. 마법석 근처의 아군 유닛은 전투 시작 시, 최종 데미지가 20% 증가하고 전투 중 3초마다 50만큼의 보호막을 얻습니다. 이 효과는 중첩됩니다.",S10021Detail_step1,1,마법석 1개 소환,S10021Detail_step1,2,마법석 2개 소환,S10021Detail_step1,3,마법석 3개 소환,S10021Detail_step4,"3,50","마법석 3개 소환, 각 마법석으로부터 얻는 효과 +50%",RC20051,S10021RuneDesc,"마법석 적용 범위 +{0}칸, 보호막 제공 간격 6초로 감소",1,2
S10022,시그너스,2,5,-,8,11,feb4f029702843a6ab2862538fed408b,S10022Desc,4,시그너스 캐릭터들은 스킬 사용 시 여제의 축복을 받아 4초동안 방어력과 공격속도가 증가합니다.,S10022Detail_step1,"25,25","방어력 +25, 공격속도 +25%",S10022Detail_step1,"50,50","방어력 +50, 공격속도 +50%",S10022Detail_step1,"90,90","방어력 +90, 공격속도 +90%",S10022Detail_step4,"140,140,30","방어력 +140, 공격속도 +140%, 아군 유닛이 처치되면 생존한 모든 아군 유닛이 MP 30 회복",RC20052,S10022RuneDesc,"방어력 +{0}, 공격속도 +{1}% 추가 획득",50,50
S10023,모험가,3,5,-,7,9,6d6dbf3ec820492ca1b424abaa68aa0e,S10023Desc,2,전투 참여 시 2의 경험치를 얻습니다. 팀 레벨에 비례하여 아군 모험가들이 추가 능력치를 얻습니다.,S10023Detail_step1,"3,2","레벨 당 공격력, 마력 +3%, 최대 체력 +2%",S10023Detail_step1,"5,4","레벨 당 공격력, 마력 +5%, 최대 체력 +4%",S10023Detail_step1,"7,6","레벨 당 공격력, 마력 +7%, 최대 체력 +6%",S10023Detail_step4,"10,9,50,1","레벨 당 공격력, 마력 +10%, 최대 체력 +9%, 적 처치 시 50% 확률로 1 코인 획득",RC20053,S10023RuneDesc,"최대 체력 증가 효과 +{0}%, 적 처치 시 20% 확률로 1코인 획득",100,-
S10024,전직교관,1,-,-,5,-,1f025646b4c84584adef9226d6a1918b,S10024Desc,"15,15,15,75,15,8","아군에게 고유 보너스 효과를 부여합니다. 이 효과는 전직 교관이 정확히 하나 또는 각기 다섯 있을 때에만 활성화됩니다. \n주먹펴고 일어서 : 물리 방어력 및 마법 방어력+15\n다크로드 : 공격 속도 +15%\n카이린 : 공격력 및 마력 +15%\n하인즈 : 최대체력 +75, 시작 마나+15\n헬레나 : 전투 시작 후 8초간 저지 불가",S10024Detail_step1,1,전장에 배치한 전직 교관 1명의 보너스 활성화,S10024Detail_step2,150,모든 보너스 활성화 및 효과 150% 적용,-,-,-,-,-,-,RC20054,S10024RuneDesc,모든 효과 +{0}% 추가 적용,50,-
S10025,기사단장,2,4,-,6,9,f9c8d41643f64345b135356a2609a916,S10025Desc,"1,15",아군 영역 중 무작위 1칸이 성역으로 지정됩니다. 성역 위에 놓여진 캐릭터는 전투 시작 후 15초동안 중첩되는 버프 효과를 얻습니다.,S10025Detail_step1,"4,15","4초마다 최대 체력, 공격력, 마력 +15%",S10025Detail_step1,"2,15","2초마다 최대 체력, 공격력, 마력 +15%",S10025Detail_step1,"1,15","1초마다 최대 체력, 공격력, 마력 +15%",S10025Detail_step4,"0.5,15,10","0.5초마다 최대 체력, 공격력, 마력 +15%, 전투 참여 시 10초동안 저지 불가",RC20055,S10025RuneDesc,"성역 위 유닛이 버프를 얻을 때마다 기사단장 유닛들의 최대 체력, 공격력, 마력 +{0}%",5,-
S10026,예티와 페페,-,-,2,-,-,dc987ae03c17427293e7de27d6d612e0,S10026Desc,0,"전투에 참여하는 페페와 예티가 하나 이상 있다면, 협력합니다. 페페가 예티의 등에 탑승하여 '예티와 페페'가 되며, 탑승한 상태에서 체력이 0이 되면 다시 '예티'와 '페페'로 분리됩니다.",S10026Detail_step1,50,분리 후 체력은 최대 체력의 50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S10027,발록,-,-,2,-,-,22d9fc3c2824457a8509a06adbfe5707,S10027Desc,-,아군이 처치될 때마다 발록이 최대 체력을 얻습니다.,S10027Detail_step1,4,최대 체력 +4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S10028,악마의 나무,-,-,1,-,-,9dfcf709b7f940279d7e18166813f006,-,-,-,S10028Detail_step1,"40,999","전투 중 한번, 체력이 40% 미만이 되면 거대한 자쿰으로 변신합니다. 자리에서 움직일 수 없으며 사거리가 999가 되고, 잃은 체력에 비례한 보호막을 얻습니다.",-,-,-,-,-,-,-,-,-,-,-,-,-,-
S10029,악몽의 지배자,-,-,1,-,-,9fb458e0cc014b6587f5382e9ef63023,-,-,-,S10029Detail_step1,"1,5","루시드가 플레이어 대상 전투에 참여하면 꿈의 조각을 얻습니다. 전투 시작 시, 꿈의 조각 수만큼 무작위 아군 1명이 MP를 5 얻습니다. 이 효과는 같은 아군에게 지급될 수도 있습니다.",-,-,-,-,-,-,-,-,-,-,-,-,-,-
S10030,시계탑의 근원,-,-,1,-,-,5cbb0b2c427b4584bedb137adf735355,-,-,-,S10030Detail_step1,"1,50,1","전투 시작 시, 거대한 괘종시계에 탑승합니다. 탑승 중 기본 공격 시 양손으로 내려 찍어 주변 1칸 내 적에게 물리 피해를 입힙니다. 체력이 50% 미만이 되면 비상 탈출하면서 괘종 시계를 터뜨려 주변 1칸 내 모든 적에게 고정 피해를 입힙니다.",-,-,-,-,-,-,-,-,-,-,-,-,-,-
S10031,아랫마을,3,5,-,8,10,a48c7d20cada41e485aa1d965b13f89f,S10031Desc,100,"시너지의 수에 따라 옥석 아이템을 획득합니다. 각자 고유 능력을 지니고 있으며 아랫마을 유닛이 옥석 아이템을 장착한 경우, 추가로 100의 최대 체력을 얻습니다.",S10031Detail_step1,1,옥석 아이템 1개 획득,S10031Detail_step1,2,옥석 아이템 추가 2개 획득,S10031Detail_step1,3,옥석 아이템 추가 3개 획득,S10031Detail_step4,,시기의 옥석 획득,RC20067,S10031RuneDesc,"옥석 장착 유닛 추가 체력 개당 +200, 라운드마다 시너지 활성화 수만큼 스택이 쌓입니다. 10스택마다 갖고 있는 아랫마을 유닛 중 하나 랜덤 획득",200,10
S10032,마가티아,3,5,-,7,10,80f550924f4847ac8b4622d2b79e26a3,S10032Desc,-,마가티아의 연금술은 생명체를 만들고 생명을 연장시키는 기술을 연구하고 있습니다. 연구도가 높아질수록 아군 유닛의 최대 체력 및 방어력이 증가합니다. 연구도는 마가티아 유닛의 별 합계에 따라 높아집니다.,S10032Detail_step1,"10,3","별 당 체력 +10, 방어력 +3",S10032Detail_step1,"20,5","체력 +20, 방어력 +5",S10032Detail_step3,"35,10,20,5","체력 +35, 방어력 +10, 마가티아 유닛은 추가로 체력 +20, 방어력 +5",S10032Detail_step3,"60,20,40,15","체력 +60, 방어력 +20, 마가티아 유닛은 추가로 체력 +40, 방어력 +15",RC20068,S10032RuneDesc,"마가티아 2개의 파 중 하나에 가입됩니다. 제뉴미스트는 시너지 효과로 공격력과 마력도 증가, 알카드노는 전투 시작 후 8초마다 랜덤 아군 유닛에게 완성 아이템 장착",-,-
S10033,미우미우,3,5,-,7,9,98e256e1616d425fb09fa56d29446f6d,S10033Desc,10,"여우신의 가호를 받습니다. 미우미우 유닛은 전투 시작 후 받는 피해가 10% 감소하며, 처음으로 스킬을 사용하면 마나 소모량이 감소합니다. 또한, 미우미우 유닛이 제공하는 버프/디버프의 지속 시간이 증가합니다.",S10033Detail_step1,"10,1","마나량 10% 감소, 지속 시간 1초 증가",S10033Detail_step1,"20,1.5","마나량 20% 감소, 지속 시간 1.5초 증가",S10033Detail_step1,"30,2","마나량 30% 감소, 지속 시간 2초 증가",S10033Detail_step1,"50,3","마나량 50% 감소, 지속 시간 3초 증가",RC20069,-,-,-,-
S10034,처형자,2,4,-,6,8,0d4039292f794cd2ab7b7f022abb36c8,S10034Desc,-,처형자는 추가 크리티컬 확률을 얻습니다. 처형자의 스킬로 피해를 입은 유닛의 최대 체력이 일정 비율 이하로 내려가면 해당 유닛은 처형됩니다.,S10034Detail_step1,"10,3","크리티컬 확률 + 10%, 체력 비율 3% 이하 처형",S10034Detail_step1,"20,6","크리티컬 확률 + 20%, 체력 비율 6% 이하 처형",S10034Detail_step3,"35,10,10","크리티컬 확률 + 35%, 크리티컬 피해 +10%, 체력 비율 10% 이하 처형",S10034Detail_step3,"70,30,25","크리티컬 확률 + 70%, 크리티컬 피해 +30%, 체력 비율 25% 이하 처형",RC20070,-,-,-,-
S10035,결투가,2,4,-,6,8,b0837ae53c8944319b69c6a913f9de5e,S10035Desc,12,결투가는 기본 공격할 때마다 공격 속도가 최대 12회까지 증가합니다. 12회가 중첩되면 추가로 공격력 및 마력을 획득합니다.,S10035Detail_step1,"3,10","공격 속도 3% 증가, 추가 공격력 및 마력 10%",S10035Detail_step1,"5,15","공격 속도 5% 증가, 추가 공격력 및 마력 15%",S10035Detail_step1,"7,25","공격 속도 7% 증가, 추가 공격력 및 마력 25%",S10035Detail_step4,"12,40,50","공격 속도 12% 증가, 추가 공격력 및 마력 40%, 기본 공격 적중 시 추가 고정 피해 50",RC20071,-,-,-,-
S10036,판타스틱 테마파크,3,5,-,7,9,6106964e40774e57a5f0b0e7e4f17139,S10036Desc,10,퍼레이드가 열렸습니다! 매 주기마다 다양한 효과를 받습니다. 퍼레이드의 효과는 전투에 참여한 아군 판타스틱 테마파크 유닛의 레벨당 10%씩 더 강해집니다.,S10036Detail_step1,3,"3초 주기, 퍼레이드가 시작됩니다!",S10036Detail_step2,2.5,"2.5초 주기, 사람들이 점점 모여들고 있습니다!",S10036Detail_step3,2,"2초 주기, 모두가 신나게 퍼레이드를 즐기고 있습니다!",S10036Detail_step4,"1,100","1초 주기, 모든 기본 효과 100% 증가, 드디어 하이라이트입니다! 이 상황을 즐기세요!",RC20072,-,-,-,-
S10037,분노,-,-,1,-,-,766f59812e7f4e5fbdb73081f1b7c5d2,S10037Desc,-,"아군이 둘 이상 죽으면 도깨비가 분노합니다. 전투가 끝날 때까지 저지 불가 상태에 돌입하며, 이동 속도와 공격 속도가 증가합니다.",S10037Detail_step1,"100,50","이동 속도 +100%, 공격 속도 +50%",-,-,-,-,-,-,-,-,-,-,-,-,-,-
S10038,여우신의 가호,-,-,1,-,-,b00efb06c0514039ac4c8ff704242670,S10038Desc,3,전투가 끝날 때까지 랑의 영혼이 3초마다 가장 체력 비율이 낮은 아군에게 이동하며 머뭅니다. 머물러 있는 동안 그 유닛은 여우신의 가호를 받습니다.,S10038Detail_step1,"20,1","피해량 20% 감소, 머물고 있는 유닛의 체력을 초당 최대 체력의 1%씩 회복",-,-,-,-,-,-,-,-,-,-,-,-,-,-
S10039,보물찾기,-,-,1,-,-,8d0c1b4bcbba4b03bdaae52dfa018eaa,S10039Desc,"500,1","스킬을 사용해 돌리온이 튀어나올 때마다, 최대 체력 500당 1%의 확률로 보상을 얻습니다.",S10039Detail_step1,"30,1 경험치,30,1 코인, 20,3 코인,10.랜덤 조합 아이템 1개,10,랜덤 소모품 1개","획득할 경우 얻는 보상 리스트
- 30% : 1 경험치
- 30% : 1 코인
- 20% : 3 코인
- 10% : 랜덤 조합 아이템 1개
- 10% : 랜덤 소모품 1개",-,-,-,-,-,-,-,-,-,-,-,-,-,-
