CharID,Name,BattleOnly,SynergyCount,Synergy_1,Synergy_2,Synergy_3,SynergyName_1,SynergyName_2,SynergyName_3
C20005,후회의 신관,FALSE,2,S10015,S10004,,시간의 신전,마법사,
C20006,M.소울테니,FALSE,3,S10019,S10007,S10004,루디브리엄,그림자,마법사
C20007,이카르트,FALSE,2,S10025,S10007,,기사단장,그림자,
C20008,라이오너,FALSE,2,S10021,S10008,,오르비스,추격자,
C20009,불독,FALSE,2,S10016,S10009,,엘나스,싸움꾼,
C20010,다크드레이크,FALSE,2,S10018,S10009,,슬리피우드,싸움꾼,
C20011,사수,FALSE,2,S10023,S10010,,모험가,저격수,
C20012,아잘린,FALSE,2,S10020,S10011,,아케인 리버,방해꾼,
C20013,몽키록,FALSE,2,S10020,S10011,,아케인 리버,방해꾼,
C20014,깨비,FALSE,2,S10031,S10003,,아랫마을,선봉장,
C20015,삼미호,FALSE,2,S10031,S10004,,아랫마을,마법사,
C20016,디트와 로이,FALSE,2,S10032,S10006,,마가티아,사냥꾼,
C20017,호문스페큘러,FALSE,2,S10032,S10005,,마가티아,책사,
C20018,폼폼나무,FALSE,2,S10033,S10002,,미우미우,수호대,
C20019,캡틴 블랙 슬라임,FALSE,2,S10017,S10034,,빅토리아 아일랜드,처형자,
C20020,샘의 정령,FALSE,2,S10017,S10035,,빅토리아 아일랜드,결투가,
C20021,장난감 흑기사,FALSE,2,S10019,S10035,,루디브리엄,결투가,
C20022,플라잉 리오,FALSE,2,S10036,S10010,,판타스틱 테마파크,저격수,
C30001,예티,FALSE,3,S10016,S10001,S10026,엘나스,마스코트,예티와 페페
C30002,타락한 시간의 수호대장,FALSE,2,S10015,S10002,,시간의 신전,수호대,
C30003,롬바드,FALSE,2,S10019,S10002,,루디브리엄,수호대,
C30004,타우로스피어,FALSE,2,S10018,S10003,,슬리피우드,선봉장,
C30005,소울마스터,FALSE,2,S10022,S10003,,시그너스,선봉장,
C30006,플레임위자드,FALSE,2,S10022,S10004,,시그너스,마법사,
C30007,프리스트,FALSE,2,S10023,S10004,,모험가,마법사,
C30008,라이칸스로프,FALSE,2,S10016,S10006,,엘나스,사냥꾼,
C30009,나이트워커,FALSE,2,S10022,S10007,,시그너스,그림자,
C30010,다크로드,FALSE,2,S10024,S10007,,전직교관,그림자,
C30011,머쉬맘,FALSE,2,S10017,S10009,,빅토리아 아일랜드,싸움꾼,
C30012,파우스트,FALSE,2,S10017,S10011,,빅토리아 아일랜드,방해꾼,
C30013,카이린,FALSE,2,S10024,S10010,,전직교관,저격수,
C30014,호걸,FALSE,2,S10031,S10009,,아랫마을,싸움꾼,
C30015,자동경비시스템,FALSE,2,S10032,S10008,,마가티아,추격자,
C30016,바람 수호령,FALSE,2,S10033,S10004,,미우미우,마법사,
C30017,정체불명 포장마차,FALSE,2,S10018,S10034,,슬리피우드,처형자,
C30018,설산의 마녀,FALSE,2,S10016,S10034,,엘나스,처형자,
C30019,웨어울프,FALSE,2,S10016,S10035,,엘나스,결투가,
C30020,판스,FALSE,2,S10036,S10003,,판타스틱 테마파크,선봉장,
C30021,바이킹베어,FALSE,2,S10036,S10011,,판타스틱 테마파크,방해꾼,
C40001,팔라딘,FALSE,2,S10023,S10002,,모험가,수호대,
C40002,하인즈,FALSE,2,S10024,S10004,,전직교관,마법사,
C40003,오즈,FALSE,2,S10025,S10004,,기사단장,마법사,
C40004,타이머,FALSE,2,S10019,S10005,,루디브리엄,책사,
C40005,나인하트,FALSE,2,S10022,S10005,,시그너스,책사,
C40006,주니어발록,FALSE,3,S10018,S10006,S10027,슬리피우드,사냥꾼,발록
C40007,윈드브레이커,FALSE,3,S10022,S10006,S10011,시그너스,사냥꾼,방해꾼
C40008,섀도어,FALSE,2,S10023,S10007,,모험가,그림자,
C40009,엘리쟈,FALSE,2,S10021,S10008,,오르비스,추격자,
C40010,스노우맨,FALSE,2,S10016,S10009,,엘나스,싸움꾼,
C40011,스트라이커,FALSE,2,S10022,S10009,,시그너스,싸움꾼,
C40012,이리나,FALSE,2,S10025,S10006,,기사단장,사냥꾼,
C40013,캡틴,FALSE,2,S10023,S10010,,모험가,저격수,
C40014,구미호,FALSE,2,S10031,S10011,,아랫마을,방해꾼,
C40015,루루모,FALSE,2,S10032,S10003,,마가티아,선봉장,
C40016,하늘 수호령,FALSE,2,S10033,S10005,,미우미우,책사,
C40017,변형된 리본돼지,FALSE,2,S10015,S10035,,시간의 신전,결투가,
C40018,타르가,FALSE,2,S10036,S10009,,판타스틱 테마파크,싸움꾼,
C50001,핑크빈,FALSE,2,S10015,S10001,,시간의 신전,마스코트,
C50002,자쿰,FALSE,3,S10016,S10002,S10028,엘나스,수호대,악마의 나무
C50003,미하일,FALSE,3,S10025,S10003,S10012,기사단장,선봉장,숭고한 영혼
C50004,시그너스,FALSE,3,S10022,S10004,S10014,시그너스,마법사,여제
C50005,루시드,FALSE,3,S10020,S10005,S10029,아케인 리버,책사,악몽의 지배자
C50006,크림슨발록,FALSE,3,S10021,S10006,S10027,오르비스,사냥꾼,발록
C50007,헬레나,FALSE,3,S10024,S10006,S10013,전직교관,사냥꾼,전설의 궁수
C50008,파풀라투스,FALSE,3,S10019,S10009,S10030,루디브리엄,싸움꾼,시계탑의 근원
C50009,도깨비,FALSE,2,S10031,S10037,,아랫마을,분노,
C50010,프랑켄로이드,FALSE,2,S10032,S10009,,마가티아,싸움꾼,
C50011,시노,FALSE,2,S10033,S10038,,미우미우,여우신의 가호,
C50012,게이트 키퍼,FALSE,2,S10019,S10034,,루디브리엄,처형자,
C50013,스칼리온,FALSE,2,S10036,S10039,,판타스틱 테마파크,보물찾기,
C00001,예티와페페,TRUE,1,S10016,,,,,
C00002,도도,TRUE,0,,,,,,
C00003,오르비스 마법석,TRUE,0,,,,,,
C00004,무공,TRUE,0,,,,,,
C00005,미르,TRUE,0,,,,,,
C90001,초보 전사,TRUE,0,,,,,,
C90002,초보 마법사,TRUE,0,,,,,,
C90003,반 레온,TRUE,0,,,,,,
C90004,붉은 피에르,TRUE,0,,,,,,
C90005,푸른 피에르,TRUE,0,,,,,,
C90006,가디언 엔젤 슬라임,TRUE,0,,,,,,
C90007,윌,TRUE,0,,,,,,
C90008,검은 마법사,TRUE,0,,,,,,
C00000,허수아비,TRUE,0,,,,,,
