id,type,value,desc
GAMEMODE_BASIC,number,1,게임 모드 (일반)
GAMEMODE_LIMITLAND,number,2,게임 모드 (한계의 땅)
GAMEMODE_RANDOMBOSS,number,3,게임 모드 (균열)
GAMEMODE_FIELD,number,4,게임 모드 (필드)
GAMEMODE_BENCHMARK,number,99,게임 모드 (밴치마크용)
RANDOMBOSS_MONSTER_HP,number,30000000,균열 모드 - 몬스터 체력
RANDOMBOSS_BOSS_HP,number,30000000,균열 모드 - 보스 체력
RANDOMBOSS_MONSTER_ATK,number,4500,균열 모드 - 몬스터 공격력
RANDOMBOSS_BOSS_ATK,number,4500,균열 모드 - 보스 공격력
RANDOMBOSS_ENTER_COST,number,100000,균열 모드 - 입장 요구 골드
RANDOMBOSS_DROP_BESTPERCENT,number,0.6675,균열 모드 - 가장 좋은 아이템 드롭 확률
RANDOMBOSS_DROP_GOODPERCENT,number,15.5,균열 모드 - 좋은 아이템 드롭 확률
RANDOMBOSS_DROP_BESTID,string,6_000019,균열 모드 - 가장 좋은 아이템 ID
RANDOMBOSS_DROP_GOODID,string,6_000017,균열 모드 - 좋은 아이템 ID
RANDOMBOSS_DROP_DEFAULTID,string,6_000016,균열 모드 - 기본 아이템 ID
RANDOMBOSS_POSSIBLECOUNT,number,10,균열 모드 - 일일 입장 제한
RUID_MESO,string,bdac712ae9564f6c88e1bb2c7387d61a,메소 RUID
RUID_ESSENCE,string,f70af980ea3c40a986f7615d53501b5e,정수 RUID
RUID_SCROLL,string,065d2794b61842539640a7d71992809d,스크롤 RUID
RUID_DIAMOND,string,cba4f8c4a4104443862d7db244848cf4,다이아몬드 RUID
RUID_WORLDCOIN,string,a8f3146382c07494d8dbce9b93c1a5c3,월드 코인 RUID
RUID_FIELDGEM,string,c65ac390fbfd4e97963c711c05ebaac5,필드젬 RUID
LIMIT_WEAPONSLOT,number,72,기본 무기 개수 제한
LIMIT_ARMORSLOT,number,100,기본 방어구 개수 제한
LIMIT_ACCESSORYSLOT,number,100,기본 장신구 개수
LIMIT_PETSLOT,number,100,기본 펫 마수 제한
LIMIT_STORAGESLOT,number,1000,"기본 스토리지 개수 제한 (알, 무기, 방어구 등 각각의 유니크 키마다 1개로 카운팅)"
LIMIT_DECORATIONSLOT,number,100,기본 치장 스토리지 개수 제한
LIMIT_CONSUMESLOT,number,100,"기본 소모품 스토리지 개수 제한 (소모품, 치장 쿠폰)"
LIMIT_ETCSLOT,number,100,기본 기타 스토리지 개수 제한
WEAPON_GRAPH_MAX_VALUE,number,10,무기그래프마스터값
WEAPON_SELLING_RATIO,number,0.05,"무기 판매 시, 메소 환산 비율"
SPEED_MASTER,number,0.8,"플레이어,몬스터이속 마스터값"
FIELD_AVAILABLE,bool,true,필드 컨텐츠 공개 여부
FIELD_AREA_WIDTH,number,8.5,필드 최적화 너비
FIELD_AREA_HEIGHT,number,4.75,필드 최적화 높이
FIELD_MONSTER_ALIVE_TIME,number,10,서버 live time
