key,name,text,event,option,thumb,emotion,theOtherName,theOtherThumb,localizationKey
main_0,player,"흠, 나쁘지 않을 거래군. 내가 뭘 도와주면 되지?",,,avatar,,111001,soul,dialog_16
main_0,111001,부서진 소울칼리버 조각들을 모아주기만 하면 돼. 아주 쉽지?,,,soul,,,,dialog_17
main_0,player,"쉽긴 무슨, 그걸 어떻게 찾아?!",,,avatar,분노,111001,soul,dialog_18
main_0,player,음...! 일단은 소울칼리버를 찾았던 숲으로 다시 가보자.,,,avatar,,111001,soul,dialog_19
stage_1_1,player,왠지 힘이 많이 약해진 것 같아... 왜지...?,,,avatar,창백,,,dialog_20
stage_1_1,player,무기 들기도 벅차잖아...?,shake,,avatar,창백,,,dialog_21
stage_1_1,111001,지금 그럴 때가 아냐! 저기 몬스터들이 몰려온다고!!,,,soul,,,,dialog_22
stage_1_1,111001,권총의 소울인 이 내가 권총 쓰는 건 도와주지! 얼른 싸울 준비해!!,,,soul,,,,dialog_23
quest_1_completed,player,"휴, 험난하구먼.",,,avatar,좌절,,,dialog_24
quest_1_completed,player,"처음에 힘이 약해진 기분이었는데, 몬스터를 잡으니까 서서히 돌아온 기분인걸.",,,avatar,,,,dialog_25
quest_1_completed,111001,"오, 엄청난 성장 속도네. 생각보다 너 잠재력이 어마 무시한 인간이구나?",,,soul,,,,dialog_26
quest_1_completed,player,아니. 성장한 게 아니고 나는 원래 세거든?,,,avatar,,111001,soul,dialog_27
quest_1_completed,111001,그나저나 몬스터를 쓰러뜨리니까 뭘 떨어뜨리던데... 확인해봤어?,,,soul,,,,dialog_28
quest_1_completed,player,"아, 맞아. 몬스터가 알을 떨어뜨리길래 주워왔어. 확인해보자!",,,avatar,반짝,111001,soul,dialog_29
quest_2_completed,111001,어...? 알에서 동족의 기운이...!! 알에 소울이 잠들어있는 것 같아.,,,soul,,,,dialog_30
quest_2_completed,111001,왜 소울칼리버 조각이 아니라 이런 알 안에 있는 거지?!,,,soul,,,,dialog_31
quest_2_completed,player,"아, 소울칼리버 조각에 소울이 있을 거라 모아달라고 했던 거야?",,,avatar,,111001,soul,dialog_32
quest_2_completed,111001,"그래, 소울칼리버에 같이 있던 동료 소울들이 이도 저도 아닌 상태로 떠돌게 될 게 걱정됐거든.",,,soul,,,,dialog_33
quest_2_completed,111001,"흠, 맘에 안 들긴 하지만 소울에 대해 잘 아는 녀석이 있어. 이 알에 있는 소울을 도울 방법을 찾을 수 있을 거야!",,,soul,,,,dialog_34
quest_2_completed,player,"오, 내가 대화해볼게. 누구야?",,,avatar,초롱,111001,soul,dialog_35
quest_2_completed,111001,이 마을에 있는 대장장이야. 소울칼리버를 만든 장본인이니까 가장 우리를 잘 알고 있지 않을까?,,,soul,,,,dialog_36
quest_2_completed,player,뭐라고???? 소울칼리버 제작자가 여기 있다고 왜 이제 말해?!,,,avatar,분노,111001,soul,dialog_37
quest_2_completed,111001,정신이 없어서 까먹었네. 하하... 어쨌든 얼른 얘기해 봐!,,,soul,,,,dialog_38
crafter_1,crafter,"자네, 좋은 장비를 갖고 싶나?! 그럴 땐 스미티아 대장간에 의뢰를~!!",,,npc,,,,dialog_39
crafter_1,player,물론...이지만 그것 때문에 온 건 아니고요. 이 알 좀 보세요! 혹시 소울에 대해 아시나요?,,,avatar,,crafter,npc,dialog_40
crafter_1,crafter,아니...! 소울을 어떻게 알지...?,,,npc,,,,dialog_41
crafter_1,player,(그간의 일을 설명한다.)\n.........소울칼리버.......산산조각..................캡틴.......몬스터.......알..............어쩌구......저쩌구..............이러쿵......저러쿵...........,,,avatar,,crafter,npc,dialog_42
crafter_1,crafter,검 하나에 소울을 너무 마구잡이로 많이 넣었더니 그 불안정한 힘을 감당할 수가 없어서 숲에 봉인해뒀었다네.,,,npc,,,,dialog_43
crafter_1,crafter,소울칼리버의 소울들이 무기로서 활약하지 못하고 있단 사실에 좌절하고 있었다니...!,,,npc,,,,dialog_44
crafter_1,crafter,소울들에 대한 사죄의 뜻으로 소울들에게 도움이 되는 일이라면 얼마든지 도와주지!,,,npc,,,,dialog_45
crafter_1,player,어떻게요?,,,avatar,,crafter,npc,dialog_46
crafter_1,crafter,몬스터를 잡았더니 이 알을 얻었단 말이지? 내 생각엔...,,,npc,,,,dialog_47
crafter_1,crafter,"소울칼리버 조각을 먹은 몬스터가 쓰러지면, 그 안에 들어있던 소울들이 알로 다시 태어나는 것 같네.",,,npc,,,,dialog_48
crafter_1,crafter,몬스터가 우글거리는 숲이었으니 대부분 조각은 몬스터가 먹었겠구먼.,,,npc,,,,dialog_49
crafter_1,crafter,소울이 든 알이니 '소울 에그'라고 부르면 되려나? 자네가 소울 에그를 모아와 주면 좋겠네.,,,npc,,,,dialog_50
crafter_1,player,소울 에그로 또 무슨 짓을 하시려는 거죠?,,,avatar,흐음,crafter,npc,dialog_51
crafter_1,crafter,소울을 돕고 싶을 뿐이네. 소울 에그 안의 소울을 무기로 다시 만들어 줄 테니 자네가 전장에서 많이 사용해주기만 하면 돼.,,,npc,,,,dialog_52
crafter_1,crafter,그럼 소울이 든 무기에 대해 내가 아는 걸 알려줄 테니 들어보게!,,,npc,,,,dialog_53
quest_3_completed,111001,"저 대장장이, 나쁜 녀석은 아니었군. 흩어진 동료를 구할 수 있겠어!",,,soul,,,,dialog_54
quest_3_completed,player,소울칼리버처럼 좋은 무기를 얻게 해준다는 게 이런 방식이었어?,,,avatar,,111001,soul,dialog_55
quest_3_completed,111001,소울칼리버 조각을 찾아 다시 모일 소울들의 힘을 네가 사용하면 딱이겠다 싶었지.,,,soul,,,,dialog_56
quest_3_completed,111001,이젠 소울칼리버 조각이 아니라 소울 에그를 모으는 거긴 하겠지만 말이야.,,,soul,,,,dialog_57
quest_3_completed,111001,너라면 우리 소울들의 힘이 깃든 무기를 잘 써줄 것 같아. 저 대장장이보다는 네가 훨씬 강해 보이거든!,,,soul,,,,dialog_58
quest_3_completed,player,아주 날 유용하게 이용하는구나?,,,avatar,흐음,111001,soul,dialog_59
quest_3_completed,player,"뭐, 너흰 무기로 활약하고 싶은 거고 나는 강해지고 싶은 거니 얼마든지 이용당해주지!",,,avatar,꺄오,111001,soul,dialog_60
quest_3_completed,player,우선 스미티아가 소울과 무기에 대해 알려준다니 한번 들어보자.,,,avatar,,111001,soul,dialog_61
ui_weapon,crafter,소울 에그를 가져오면 그 안의 소울로 무기를 만들어주겠네.,,,npc,,,,dialog_62
ui_weapon,crafter,무슨 무기의 소울인지는 확인해봐야 알겠지만 말이야.,,,npc,,,,dialog_63
ui_weapon,crafter,그리고 소울들이 계속 전장을 누비게 해주려면 그만큼 강한 무기여야 할 테지?,,,npc,,,,dialog_64
ui_weapon,crafter,같은 종류의 무기는 합쳐서 한 무기에 여러 소울이 존재하게 할 수 있어.,,,npc,,,,dialog_65
ui_weapon,crafter,무기에 소울이 많을수록 아주 강해지지!,,,npc,,,,dialog_66
ui_weapon,crafter,근데 다른 종류의 소울들이 들어가면 소울칼리버처럼 불안정해지더라고.,,,npc,,,,dialog_67
ui_weapon,player,같은 종류의 무기를 잔뜩 모아오면 되겠네요!,,,avatar,꺄오,crafter,npc,dialog_68
ui_weapon,crafter,하하! 그렇다네. 그럼 소울 에그를 최대한 모아보게나. 얼마든지 무기로 만들어줄 테니!,,,npc,,,,dialog_69
ui_weapon,crafter,자네가 소울 에그를 가져오면 어떻게 무기로 만들고 강화하면 될지 알려주겠네.,,,npc,,,,dialog_70
quest_4_completed,crafter,다시 무기로 태어난 소울의 데뷔전을 열어주자고!!,,,npc,,,,dialog_71
quest_4_completed,crafter,그런 의미에서 염치없지만 겸사겸사 부탁 하나만 합세.,,,npc,,,,dialog_72
quest_4_completed,player,부탁이요?,,,avatar,,crafter,npc,dialog_73
quest_4_completed,crafter,마을 밖에 웬 토끼들이 토기에 들어간 상태로 이리저리 돌아다니고 있을 걸세.,,,npc,,,,dialog_74
quest_4_completed,crafter,그놈들이 덜그럭거리며 다니니까 시끄러워서 마을 사람들이 잠을 잘 수가 없어서 불만이 아주 많아.,,,npc,,,,dialog_75
quest_4_completed,crafter,사람들이 밤에 편안하게 잘 수 있게 그 토끼들을 20마리 정도만 잡아 줘.,,,npc,,,,dialog_76
quest_4_completed,player,"그 정도야 간단하죠. 가보자, 소울들아~!",,,avatar,반짝,crafter,npc,dialog_77
quest_5_completed,111001,역시 토끼 정도는 가뿐하지!,,,soul,,,,dialog_78
quest_5_completed,player,이 무기들도 그렇고 캡틴 너도 그렇고...,shake,,avatar,,111001,soul,dialog_79
quest_5_completed,player,아주 쓸만하잖아?!,,,avatar,,111001,soul,dialog_80
quest_5_completed,111001,물론이지! 이대로만 한다면 흩어진 소울들을 금방 찾을 거야.,,,soul,,,,dialog_81
quest_5_completed,player,이대로만 한다면 금방 아주 강해질 거야!!!!,,,avatar,반짝,111001,soul,dialog_82
quest_5_completed,instructor,아니??!!?? 이대로는!!!!!! 모자라다!!!!!!!!!,,,npc,,,,dialog_83
quest_5_completed,player,"아, 깜짝이야! 뭐하시는 분이세요...?",,,avatar,당황,instructor,npc,dialog_84
quest_5_completed,instructor,강해지기 위해선!!!!! 혹독한 훈련이 필요한 법!!!!!!! 이 교관이 얼마든지 도와주지!!!,,,npc,,,,dialog_85
quest_5_completed,player,음... 어... 네...?,,,avatar,당황,instructor,npc,dialog_86
instructor_1,instructor,훈련병!!!!!!!!! 강해지고 싶나?!??!?!?!?!?!??!?,,,npc,,,,dialog_87
instructor_1,player,네!,,,avatar,,instructor,npc,dialog_88
instructor_1,instructor,목소리가 작다!!!!!!!!!!!!,,,npc,,,,dialog_89
instructor_1,player,네!!!!!!!!!!!!!!!!!!!!!,,,avatar,분노,instructor,npc,dialog_90
instructor_1,instructor,좋다!!!!!!!!! 강해지는 법을 알려주도록 하지!!!!!!!!!,,,npc,,,,dialog_91
instructor_1,instructor,특성이란 걸 알고 있나!??!??!??,,,npc,,,,dialog_92
instructor_1,player,잘 모르겠습니다!!!!!!!!!!,,,avatar,분노,instructor,npc,dialog_93
instructor_1,instructor,지금부터 알려줄 테니 잘 듣는다!!!!! 알았나?!?!?!??,,,npc,,,,dialog_94
instructor_1,player,알겠습니다!!!!!!!!!,,,avatar,분노,instructor,npc,dialog_95
instructor_1,player,"(아, 목 아파.)",,,avatar,흐음,instructor,npc,dialog_96
ui_characteristic,instructor,모험을 하다 보면!!!!!! 자연스레 성장하게 되지!!!!!!,,,npc,,,,dialog_97
ui_characteristic,instructor,훈련병!!!!!!!! 자네의 레벨이 오르면!!!!! 특성 코인을 얻는다!!!!!!,,,npc,,,,dialog_98
ui_characteristic,player,오!!!!!!! 특성 코인!!!!!!!,,,avatar,분노,instructor,npc,dialog_99
ui_characteristic,instructor,이번에는 이 교관이 특별히!!!!!! 특성 코인을 하나 주었다!!!!!!!,,,npc,,,,dialog_100
ui_characteristic,instructor,그 특성 코인으로!!!!!! 특성을 개방할 수 있다!!!!!!,,,npc,,,,dialog_101
ui_characteristic,instructor,특성이 있다면!!!!!!! 더 잘 싸울 수 있지!!!!!!!!,,,npc,,,,dialog_102
ui_characteristic,player,오!!!!!! 특성 개방!!!!!!!!!!!,,,avatar,분노,instructor,npc,dialog_103
ui_characteristic,instructor,그럼 실습 준비됐나!?!??! 훈련병!!!!!!!!,,,npc,,,,dialog_104
ui_characteristic,player,네!!!!!!!!!!!!!,,,avatar,분노,instructor,npc,dialog_105
quest_7_completed,player,아... 아... 목소리가... 잘 안 나는... 것... 같...기도...,,,avatar,한숨,instructor,npc,dialog_106
quest_7_completed,111001,"저렇게 시끄러운 녀석이 있다니, 대단한 기세군.",,,soul,,,,dialog_107
quest_7_completed,instructor,정신 차려라!!! 훈련병!!!!!,,,npc,,,,dialog_108
quest_7_completed,instructor,훈련 시작이다!!!! 라이벌을 이겨라!!!!!!!!,,,npc,,,,dialog_109
quest_7_completed,player,라이벌이 누구입니까...!??!?!,,,avatar,,instructor,npc,dialog_110
quest_7_completed,instructor,숲에 가면 지옥 훈련을 받고 있는 벌레가 있다!!!!!!!!!,,,npc,,,,dialog_111
quest_7_completed,player,벌레요............?,,,avatar,당황,instructor,npc,dialog_112
quest_7_completed,instructor,벌레라고 얕보지 않는다!!!!!!!!! 이기고 돌아와라!!!!!!!!,,,npc,,,,dialog_113
quest_7_completed,player,어... 넵!!!!!!!!!!,,,avatar,분노,instructor,npc,dialog_114
quest_8_completed,instructor,이기고 왔나!!!!!!!,,,npc,,,,dialog_115
quest_8_completed,player,네!!!!!!!!!!,,,avatar,,instructor,npc,dialog_116
quest_8_completed,instructor,본 교관의 가르침만 기억한다면!!!!! 얼마든지 강해질 수 있을 거다!!!!!!!,,,npc,,,,dialog_117
quest_8_completed,player,음? 훈련 끝입니까?,,,avatar,당황,instructor,npc,dialog_118
quest_8_completed,instructor,내 훈련 커리큘럼은!!!!!!! 간결하고 완벽하지!!!!!!!!,,,npc,,,,dialog_119
quest_8_completed,instructor,수료를 축하한다!!!!!!!,,,npc,,,,dialog_120
quest_8_completed,player,(완전 돌팔이네.),,,avatar,흐음,instructor,npc,dialog_121
quest_8_completed,player,아무튼 감사합니다!!!!!!,,,avatar,꺄오,instructor,npc,dialog_122
quest_8_completed,111001,어때? 좀 강해진 기분이야?,,,soul,,,,dialog_123
quest_8_completed,player,누구든 물리칠 수 있을 것 같은 기분이지...만 문제가 있어.,,,avatar,,111001,soul,dialog_124
quest_8_completed,111001,무슨 문제?,,,soul,,,,dialog_125
quest_8_completed,player,"몬스터를 한 대만에 잡을 수 있을 것 같은 기분인데, 문제는 나도 몬스터에게 한 대만에 죽을 것 같아.",,,avatar,좌절,111001,soul,dialog_126
quest_8_completed,111001,그렇다면 튼튼한 방어구를 껴!,,,soul,,,,dialog_127
quest_8_completed,player,"그치, 역시 방어구가 튼튼해야지~!",,,avatar,,111001,soul,dialog_128
ui_myInfo_armor,player,어디 보자. 내 방어구가...,,,avatar,,111001,soul,dialog_129
ui_myInfo_armor,111001,하나도 안 튼튼해 보여.,,,soul,,,,dialog_130
ui_myInfo_armor,player,"크흠, 메소와 주문서를 모아서 방어구를 레벨을 올리면 쓸만해 질 거야.",,,avatar,,111001,soul,dialog_131
ui_myInfo_armor,111001,내가 한 가지 팁을 아는데.,,,soul,,,,dialog_132
ui_myInfo_armor,player,뭔데?,,,avatar,반짝,111001,soul,dialog_133
ui_myInfo_armor,111001,방어구를 합성하면 더 좋은 방어구로 승급해!,,,soul,,,,dialog_134
ui_myInfo_armor,player,그 정도는 나도 알아.,,,avatar,,111001,soul,dialog_135
ui_myInfo_armor,111001,"참나, 알면 됐어.",,,soul,,,,dialog_136
quest_9_completed,player,"그보다 너, 분명 처음에 나를 강하게 만들어 준댔잖아.",,,avatar,,111001,soul,dialog_137
quest_9_completed,111001,"아, 까먹고 있었네.",,,soul,,,,dialog_138
quest_9_completed,111001,좋은 장비도 중요하지만 네 머릿속에는 소울인 내가 있다는 걸 잊지 마.,,,soul,,,,dialog_139
quest_9_completed,player,네가 권총을 잘 다루게 해준다며. 뭔가 더 있는 거야?,,,avatar,,111001,soul,dialog_140
ui_soul,111001,내가 어떤 도움을 주고 있는지 봐.,,,soul,,,,dialog_141
ui_soul,111001,네 스탯을 올려주고 있기도 하고! 나는 권총의 소울이니까 네가 권총을 더 잘 다룰 수 있게도 해주고 있어.,,,soul,,,,dialog_142
ui_soul,player,"왠지 평소보다 조금 더 세진 것 같더라니, 기분 탓이 아니었구나.",,,avatar,꺄오,111001,soul,dialog_143
ui_soul,111001,모험 중에 에너지 스톤을 얻으면 나에게 줘 봐. 그걸로 레벨을 올리면 네 스탯을 더 많이 올려주도록 힘쓸 수 있어!,,,soul,,,,dialog_144
ui_soul,111001,근데 이게 내 온전한 힘은 아냐. 나는 사실 덩치가 아~주 큰 소울이거든.,,,soul,,,,dialog_145
ui_soul,player,다이어트가 필요하다는 소리야?,,,avatar,,111001,soul,dialog_146
ui_soul,111001,아니!! 그게 아니고! 소울칼리버가 조각날 때 나도 파편화돼서 여러 조각에 나누어졌어...,,,soul,,,,dialog_147
ui_soul,111001,나처럼 대단한 소울이 조각 하나에 다 들어갈 수 있을 리 없지!,,,soul,,,,dialog_148
ui_soul,111001,"그래서 말인데, 어디로 간지 모를 내 소울 피스도 찾아 줘.",,,soul,,,,dialog_149
ui_soul,111001,내 소울 피스를 얻으면 내가 한계 돌파를 할 수 있어. 그럼 내가 권총을 더! 더! 더! 잘 다룰 수 있게 해줄 수 있지!,,,soul,,,,dialog_150
ui_soul,111001,에너지 스톤도 더 많이 받아들일 수 있어서 그만큼 스탯도 많이 올려줄 수 있지.,,,soul,,,,dialog_151
ui_soul,player,아하~ 그게 본 목적이었구나.,,,avatar,,111001,soul,dialog_152
quest_10_completed,111001,에너지 스톤과 소울 피스를 모으면 나도 강해지고 너도 강해지는 상부상조야! 알았지?,,,soul,,,,dialog_153
quest_10_completed,player,"흩어진 소울들을 찾아서 다시 무기로 만들어주고, 네 파편도 찾고, 덤으로 나도 강해지려면...",,,avatar,,,,dialog_154
quest_10_completed,player,소울칼리버 조각을 먹은 몬스터들을 잡으러 다녀야겠군!,,,avatar,반짝,111001,soul,dialog_155
quest_10_completed,111001,그렇지. 의심스러운 몬스터가 있는지 알아보자!,,,soul,,,,dialog_156
quest_10_completed,player,마을 경비병에게 물어보면 뭘 좀 알고 있으려나?,,,avatar,,111001,soul,dialog_157
guard_1,player,혹시 주변에서 엄청 강한 몬스터 못 보셨나요?,,,avatar,,guard,npc,dialog_158
guard_1,guard,마을 밖 숲에서 엄청 크고 엄청 보라색이고 엄청 끈적거리는 슬라임을 보긴 했지. 점액질을 흩뿌리고 다니더군.,,,npc,,,,dialog_159
guard_1,guard,그런데 뭘 하려는 거지? 위험하니 경비대가 처치하길 마을에서 기다려.,,,npc,,,,dialog_160
guard_1,player,네~!,,,avatar,,guard,npc,dialog_161
guard_1,player,"슬라임 사냥이다, 캡틴!",,,avatar,꺄오,guard,npc,dialog_162
guard_1,111001,오! 소울 냄새가 나는 것 같아!,,,soul,,,,dialog_163
guard_1,guard,"아니, 위험하다니까?!",,,npc,,,,dialog_164
quest_12_completed,player,소울을 대체 얼마나 흡수한 거야? 소울 에그를 아주 우수수 떨어뜨리던데...,,,avatar,당황,111001,soul,dialog_165
quest_12_completed,111001,"한 525172382개 정도 떨어뜨리던데, 어후!",,,soul,,,,dialog_166
quest_12_completed,player,그건 좀...,,,avatar,흐음,111001,soul,dialog_167
quest_12_completed,player,근데 혹시 이게 소울 피스야? 소울 에그로 다시 태어나지 않고 조각 상태 그대로 남아 있는 것 같아.,,,avatar,,111001,soul,dialog_168
quest_12_completed,111001,"오, 맞아! 맞긴 한데...",,,soul,,,,dialog_169
quest_12_completed,111001,"내 소울 피스는 아니네. 왠지 나랑 같은 처지의 소울인 것 같은데, 한번 네가 흡수해 봐!",,,soul,,,,dialog_170
quest_12_completed,player,그래도 되는 거야?!,,,avatar,분노,111001,soul,dialog_171
ui_soul_2,151001,...뭐지?,,,soul,,,,dialog_172
ui_soul_2,player,"안녕, 이름이 뭐야?",,,avatar,,151001,soul,dialog_173
ui_soul_2,151001,섀도어...,,,soul,,,,dialog_174
ui_soul_2,player,너도 파편화된 소울인 것 같아서 내가 일단 흡수했어. 내가 네 소울 피스도 모아줄게!,,,avatar,,151001,soul,dialog_175
ui_soul_2,151001,왜 돕는 거지...?,,,soul,,,,dialog_176
ui_soul_2,player,너랑 같은 처지인 소울을 이미 돕고 있거든. 캡틴이라고 먼저 흡수된 선배가 있으니 인사해.,,,avatar,,151001,soul,dialog_177
ui_soul_2,111001,"반갑다. 내 이름은 캡틴, 권총의 소울이지!",,,soul,,,,dialog_178
ui_soul_2,151001,난 단검의 소울이다...,,,soul,,,,dialog_179
ui_soul_2,player,"머릿속에서 이제 2명이 말하네. 정신없어, 휴.",,,avatar,,151001,soul,dialog_180
ui_soul_2,111001,이 모험가가 우리 소울 피스를 찾아줄 거야. 그러니까 우리도 쟤가 강해지도록 도와야 해.,,,soul,,,,dialog_181
ui_soul_2,151001,알겠다... 근데 이미 네가 돕고 있어서 낄 수가 없을 것 같은데...,,,soul,,,,dialog_182
ui_soul_2,111001,"엥?! 나약하구나, 메소전사! 멀티태스킹 할 줄 몰라?",,,soul,,,,dialog_183
ui_soul_2,player,그 구린 호칭 좀 안 쓰면 안 되니?,,,avatar,분노,111001,soul,dialog_184
ui_soul_2,player,그리고 멀티태스킹이 쉽게 되겠냐고... 어쩔 수 없지! 상황에 따라 필요한 소울의 도움을 받을게.,,,avatar,,111001,soul,dialog_185
quest_13_completed,player,먹여 살릴 소울이 하나 또 늘어버렸네. 그래도 그만큼 다양한 무기를 잘 다룰 수 있지!,,,avatar,,111001,soul,dialog_186
quest_13_completed,player,"나만 믿어라, 소울들아!",,,avatar,반짝,111001,soul,dialog_187
quest_13_completed,info,에구구... 젊은 양반이 벌써부터 혼잣말을 하고... 저 나이에 오락가락하면 어쩐담...,,,npc,,,,dialog_188
quest_13_completed,info,쯧쯧... 모험가로 활동하긴 힘들겠구먼... 그럼 모험가 정보록에서 이름을 빼야...,,,npc,,,,dialog_189
quest_13_completed,player,에헤이~! 잠시만요! 제 이름을 왜 지우나요?,,,avatar,분노,info,npc,dialog_190
quest_13_completed,info,모험가 정보록에는 멀쩡한 모험가만 올려야 혀...,,,npc,,,,dialog_191
quest_13_completed,player,저 멀쩡한데요...?,,,avatar,당황,info,npc,dialog_192
quest_13_completed,info,못 믿겠는데... 몬스터를 잘 잡는다는 걸 증명할 수 있겠나...?,,,npc,,,,dialog_193
quest_13_completed,player,당연하죠. 뭐 잡아드려요?,,,avatar,,info,npc,dialog_194
quest_13_completed,info,요즘 기운이 없는 게 자양강장제가 필요한데 말이여...,,,npc,,,,dialog_195
quest_13_completed,info,푸른 샘의 물로 만들 수 있을 겨... 근데 그 샘을 지키고 있는 정령들이 있어서 이 늙은이는 갈 수가 없구먼...,,,npc,,,,dialog_196
quest_13_completed,player,푸른 샘의 정령이요? 왕창 잡아드리죠. 제 이름 빼지 말고 기다리세요!,,,avatar,꺄오,info,npc,dialog_197
quest_13_completed,151001,...너 아주 단순하구나...,,,soul,,,,dialog_198
quest_13_completed,111001,모험가 다루기에 능한 인간이군.,,,soul,,,,dialog_199
quest_14_completed,player,푸른 샘의 정령 200마리... 잡아왔습니다...,,,avatar,,info,npc,dialog_200
quest_14_completed,info,이걸 진짜 하ㄴ... 크흠...! 아주 훌륭한 모험가였구먼... 오해해서 미안혀...,,,npc,,,,dialog_201
quest_14_completed,player,제 정보 안 지우셨죠?!,,,avatar,분노,info,npc,dialog_202
quest_14_completed,info,잘 남겨두었으니 걱정하지 말게나... 강한 모험가인 걸 알게 되었으니 부탁 좀 합세...,,,npc,,,,dialog_203
quest_14_completed,111001,오... 아주 기회다 싶어 뽕 뽑아먹네?,,,soul,,,,dialog_204
quest_14_completed,151001,...,,,soul,,,,dialog_205
quest_14_completed,player,일단 들어나 보자...! 무슨 부탁인가요?,,,avatar,,info,npc,dialog_206
quest_14_completed,info,숲의 가장 깊은 곳에서 집채만 한 독거미 한 마리가 발견됐다고 혀...,,,npc,,,,dialog_207
quest_14_completed,info,자라나는 새싹 모험가들이... 뭣도 모르고 들어갔다가 죽어나가지 않게 잡아줄 수 있겠나...?,,,npc,,,,dialog_208
quest_14_completed,player,"헉! 그렇게 크다고요? 으, 작은 것도 징그러운데 집채만 하다니...",,,avatar,눈치,info,npc,dialog_209
quest_14_completed,111001,소울칼리버 조각으로 폭식한 게 분명하다! 가자! ,,,soul,,,,dialog_210
quest_14_completed,player,"내가 해결해야겠군. 그 독거미, 제가 물리치고 오겠습니다!",,,avatar,꺄오,111001,soul,dialog_211
quest_15_completed,player,독거미가 그렇게까지 무시무시할 수 있다니... 소울을 많이도 흡수했네.,,,avatar,좌절,,,dialog_212
quest_15_completed,111001,확실히 신규 모험가들이 마주치기라도 했으면 큰일 났을 거야.,,,soul,,,,dialog_213
quest_15_completed,player,역시 나야. 내가 없으면 안 될 마을이군.,,,avatar,반짝,111001,soul,dialog_214
quest_15_completed,151001,자아도취가 심하구나...,,,soul,,,,dialog_215
quest_15_completed,111001,그나저나 이 정도면 숲에 있는 소울은 어느 정도 다 모은 것 같은데 수가 한참 모자라잖아?!,,,soul,,,,dialog_216
quest_15_completed,player,소울칼리버에 578178943개의 소울이 있었댔지? 지금까지 모은 소울의 수를 생각하면 택도 없네.,,,avatar,,111001,soul,dialog_217
quest_15_completed,player,"숲에서 더 멀리 벗어나면 사막인데, 설마 그까지 소울칼리버 조각이 날아간 걸까?!",,,avatar,한숨,111001,soul,dialog_218
quest_15_completed,111001,지금으로서는 그런 경우의 수까지 고려해야겠지.,,,soul,,,,dialog_219
quest_15_completed,151001,덥겠다...,,,soul,,,,dialog_220
quest_15_completed,111001,"어쩔 수 없어! 사막으로 가자! 메소전사, 출동~!",,,soul,,,,dialog_221
quest_15_completed,player,척박한 곳이라 힘들겠지만 그래도 가보자고~!,,,avatar,꺄오,111001,soul,dialog_222
quest_15_completed,player,근데 메소전사라고 부르지 좀 마. 부끄럽잖아.,,,avatar,분노,111001,soul,dialog_223
stage_2_1,111001,땅이 아주 메말라 있군. 험난한 모험이 예상되지만 우린 끄떡없지!,,,soul,,,,dialog_224
stage_2_1,player,"아주 끄떡없...진 않은 것 같은데, 음.",,,avatar,창백,111001,soul,dialog_225
stage_2_1,player,던전에 들어오면 힘이 쭉 빠지는 게 이전의 그 숲에서만 그러는 게 아니었어. 지금도 그러네.,,,avatar,창백,111001,soul,dialog_226
stage_2_1,151001,...몬스터의 저주야...,,,soul,,,,dialog_227
stage_2_1,player,"오, 몬스터가 저주를 건 거라고?",,,avatar,,151001,soul,dialog_228
stage_2_1,151001,소울을 흡수한 몬스터는 더 흉포해지기만 하는 게 아냐...,,,soul,,,,dialog_229
