EventGroupId,Index,EventDialogType,TitleInfo,DialogInfoKey,IsReferKey,Arguments
T1006,2,TalkDialog,,EventT1006DL2,,
T1006,3,Tutorial,T1006_1,,,
T1006,4,TalkDialog,,EventT1006DL4,,
T1006,5,GetItem,"G0001,1000",EventT1006DL5,,
T1006,6,Tutorial,T1006_2,EventT1006DL6,,
T1006,7,TalkDialog,,EventT1006DL7,,
T1006,8,Tutorial,T1006_3,EventT1006DL8,,
T1006,9,TalkDialog,,EventT1006DL9,,
T1006,10,TalkDialog,,EventT1006DL10,,
T1006,11,GetItem,"G0004,400",EventT1006DL11,,
T1006,12,Tutorial,T1006_4,EventT1006DL12,,
T1006,13,Tutorial,T1006_5,EventT1006DL13,,
T1006,14,Tutorial,T1006_6,EventT1006DL14,,
T1006,15,TalkDialog,,EventT1006DL15,,
T1006,16,GetItem,"G0001,2500",EventT1006DL16,,
T1006,17,TalkDialog,,EventT1006DL17,,
T1006,18,Tutorial,T1006_7,EventT1006DL18,,
T1006,19,NewEmployee,"ReferKey,Stand",EventT1006DL19,,
T1006,20,TalkDialog,,EventT1006DL20,,
T1006,21,Tutorial,T1006_8,EventT1006DL21,,
T1006,22,TalkDialog,,EventT1006DL22,,
T1006,23,Tutorial,T1006_9,EventT1006DL23,,
T1006,24,TalkDialog,,EventT1006DL24,,
T1006,25,Tutorial,T1006_10,EventT1006DL25,,
T1006,26,TalkDialog,,EventT1006DL26,,
T1101,1,Tutorial,T1101_1,EventT1101DL1,,
T1101,2,TalkDialog,,EventT1101DL2,,
T1101,3,OpenFunction,Recipe,EventT1101DL3,,
T1101,4,Tutorial,T1101_2,EventT1101DL4,,
T1101,5,Tutorial,T1101_3,EventT1101DL5,,
T1101,6,TalkDialog,,EventT1101DL6,,
T1101,7,GetItem,"G0001,2000",EventT1101DL7,,
T1101,8,Tutorial,T1101_4,EventT1101DL8,,
T1101,9,Tutorial,T1101_5,EventT1101DL9,,
T1101,10,Tutorial,T1101_6,EventT1101DL10,,
T1101,11,Tutorial,T1101_7,EventT1101DL11,,
T1101,12,TalkDialog,,EventT1101DL12,,
T1101,13,TalkDialog,,EventT1101DL13,,
T1101,14,TalkDialog,,EventT1101DL14,,
T1101,15,Tutorial,T1101_8,EventT1101DL15,,
T1101,16,Tutorial,T1101_9,EventT1101DL16,,
T1101,17,Tutorial,T1101_10,EventT1101DL17,,
T1101,18,Tutorial,T1101_11,EventT1101DL18,,
T1101,19,Tutorial,T1101_12,EventT1101DL19,,
T1102,1,TalkDialog,,EventT1102DL1,,
T1102,2,Tutorial,T1102_1,,,
T1102,3,Tutorial,T1102_2,,,
T1102,4,Tutorial,T1102_3,EventT1102DL4,,
T1102,5,Tutorial,T1102_4,EventT1102DL5,,
T1102,6,Tutorial,T1102_5,EventT1102DL6,,
T1103,1,TalkDialog,,EventT1103DL1,,
T1103,2,Tutorial,T1103_1,EventT1103DL2,,
T1103,3,Tutorial,T1103_2,EventT1103DL3,,
T1103,4,TalkDialog,,EventT1103DL4,,
T1201,1,InfoDialog,"EventT1201TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventT1201DL1,,PlayerShopName
T1301,1,TalkDialog,,EventT1301DL1,,PlayerShopName
T1301,2,Tutorial,T1301_1,EventT1301DL2,,
T1301,3,TalkDialog,,EventT1301DL3,,
T1301,4,TalkDialog,,EventT1301DL4,,
T1301,5,TalkDialog,,EventT1301DL5,,
T1301,6,TalkDialog,,EventT1301DL6,,
T1301,7,OpenFunction,Training,EventT1301DL7,,
T1301,8,TalkDialog,,EventT1301DL8,,
T1301,9,GetItem,"G0002,10",EventT1301DL9,,
T1301,10,TalkDialog,,EventT1301DL10,,
T1302,1,Tutorial,T1302_1,EventT1302DL1,,
T1302,2,Tutorial,T1302_2,EventT1302DL2,,
T1302,3,Tutorial,T1302_3,EventT1302DL3,,
T1303,1,TalkDialog,Ruby,EventT1303DL1,,
T1303,2,TalkDialog,,EventT1303DL2,,
T1303,3,TalkDialog,Ruby,EventT1303DL3,,Player
T1303,4,TalkDialog,Ruby,EventT1303DL4,,
T1303,5,TalkDialog,,EventT1303DL5,,
T1303,6,Tutorial,T1303_1,,,
T1303,7,Tutorial,T1303_2,EventT1303DL7,,
T1303,8,Tutorial,T1303_3,EventT1303DL8,,
T1303,9,Tutorial,T1303_4,EventT1303DL9,,
T1304,1,Tutorial,T1304_5,EventT1304DL1,,
T1304,2,Tutorial,T1304_6,EventT1304DL2,,
T1305,1,Tutorial,T1305_7,EventT1305DL1,,
T1306,1,TalkDialog,,EventT1306DL1,,
T1306,2,TalkDialog,,EventT1306DL2,,
T1306,3,Tutorial,T1306_1,EventT1306DL3,,
T1306,4,Tutorial,T1306_2,,,
T1306,5,TalkDialog,,EventT1306DL5,,
T1306,6,Tutorial,T1306_3,EventT1306DL6,,
T1306,7,TalkDialog,,EventT1306DL7,,
T1306,8,Tutorial,T1306_4,EventT1306DL8,,
T1306,9,TalkDialog,,EventT1306DL9,,
T1401,1,TalkDialog,,EventT1401DL1,,
T1401,2,OpenFunction,Management,EventT1401DL2,,
T1401,3,Tutorial,T1401_1,EventT1401DL3,,
T1401,4,Tutorial,T1401_2,,,
T1401,5,TalkDialog,,EventT1401DL5,,
T1401,6,TalkDialog,,EventT1401DL6,,
T1402,1,Tutorial,T1402_1,EventT1402DL1,,
T1501,1,TalkDialog,,EventT1501DL1,,
T1501,2,TalkDialog,,EventT1501DL2,,PlayerShopName
T1501,3,OpenFunction,Trial,EventT1501DL3,,
T1501,4,Tutorial,T1501_1,EventT1501DL4,,
T1501,5,Tutorial,T1501_2,EventT1501DL5,,
T1501,6,Tutorial,T1501_3,,,
T1501,7,TalkDialog,,EventT1501DL7,,
T1501,8,TalkDialog,,EventT1501DL8,,
T1501,9,TalkDialog,,EventT1501DL9,,
T1501,10,TalkDialog,,EventT1501DL10,,
T1501,11,TalkDialog,,EventT1501DL11,,
T1502,1,Tutorial,T1502_1,EventT1502DL1,,
T1502,2,Tutorial,T1502_2,EventT1502DL2,,
T1503,1,TalkDialog,,EventT1503DL1,,
T1503,2,Tutorial,T1503_1,,,
T1503,3,Tutorial,T1503_2,EventT1503DL3,,
T1503,4,Tutorial,T1503_3,EventT1503DL4,,
T1601,1,TalkDialog,Pibik,EventT1601DL1,,
T1601,2,TalkDialog,Pibik,EventT1601DL2,,
T1601,3,TalkDialog,Pibik,EventT1601DL3,,PlayerShopName
T1601,4,OpenFunction,VIPOrder,EventT1601DL4,,
T1602,1,TalkDialog,Pimi,EventT1602DL1,,
T1602,2,TalkDialog,Pimi,EventT1602DL2,,
T1602,3,Tutorial,T1602_1,EventT1602DL3,,
T1602,4,Tutorial,T1602_2,EventT1602DL4,,
T1602,5,Tutorial,T1602_3,EventT1602DL5,,
T1602,6,Tutorial,T1602_4,EventT1602DL6,,
T1602,7,TalkDialog,Pimi,EventT1602DL7,,
T1602,8,TalkDialog,Pimi,EventT1602DL8,,
T1602,9,Tutorial,T1602_5,EventT1602DL9,,
T1602,10,TalkDialog,Pimi,EventT1602DL10,,
T1603,1,Tutorial,T1603_1,EventT1603DL1,,
T1603,2,Tutorial,T1603_2,EventT1603DL2,,
T1701,1,Tutorial,T1701_1,EventT1701DL1,,
T1701,2,Tutorial,T1701_2,,,
T1701,3,TalkDialog,,EventT1701DL3,,
T1701,4,TalkDialog,,EventT1701DL4,,
T1701,5,Tutorial,T1701_3,EventT1701DL5,,
T1701,6,Tutorial,T1701_4,EventT1701DL6,,
T1701,7,Tutorial,T1701_5,EventT1701DL7,,
T1702,1,Tutorial,T1702_1,EventT1702DL1,,
T1702,2,Tutorial,T1702_2,EventT1702DL2,,
T1702,3,Tutorial,T1702_3,EventT1702DL3,,
T1801,1,Tutorial,T1801_1,EventT1801DL1,,
T1801,2,Tutorial,T1801_2,,,
T1801,3,TalkDialog,,EventT1801DL3,,
T1801,4,TalkDialog,,EventT1801DL4,,
T1801,5,TalkDialog,,EventT1801DL5,,
T1801,6,OpenFunction,Interior,EventT1801DL6,,
T1802,1,TalkDialog,,EventT1802DL1,,
T1802,2,TalkDialog,,EventT1802DL2,,
T1802,3,OpenFunction,Expansion,EventT1802DL3,,
T1803,1,TalkDialog,,EventT1803DL1,,
T1803,2,OpenFunction,Deco,EventT1803DL2,,
T1803,3,TalkDialog,,EventT1803DL3,,
T5101,1,Tutorial,T5101_1,EventT5101DL1,,
T5101,2,Tutorial,T5101_2,EventT5101DL2,,
T5101,3,TalkDialog,,EventT5101DL3,,
T5101,4,Tutorial,T5101_3,,,
T5101,5,TalkDialog,,EventT5101DL5,,
T5102,1,Tutorial,T5102_1,EventT5102DL1,,
T5102,2,Tutorial,T5102_2,EventT5102DL2,,
T5102,3,Tutorial,T5102_3,EventT5102DL3,,
T5103,1,TalkDialog,,EventT5103DL1,,
T5103,2,TalkDialog,,EventT5103DL2,,
T5103,3,TalkDialog,,EventT5103DL3,,
T5104,1,TalkDialog,,EventT5104DL1,,
T5104,2,TalkDialog,,EventT5104DL2,,
T5104,3,TalkDialog,,EventT5104DL3,,
T5104,4,TalkDialog,,EventT5104DL4,,
T5104,5,TalkDialog,,EventT5104DL5,,
T5301,1,TalkDialog,,EventT5301DL1,,
T5301,2,OpenFunction,AutoTraining,EventT5301DL2,,
T5302,1,TalkDialog,,EventT5302DL1,,
T5302,2,TalkDialog,,EventT5302DL2,,
T5302,3,GetItem,ReferKey,EventT5302DL3,,
T5302,4,TalkDialog,,EventT5302DL4,,
T5302,5,TalkDialog,,EventT5302DL5,,
T5302,6,OpenFunction,AutoTraining,EventT5302DL6,,
T5401,1,TalkDialog,,EventT5401DL1,,
T5401,2,Tutorial,T5401_1,EventT5401DL2,,
T5401,3,Tutorial,T5401_2,EventT5401DL3,,
T5401,4,TalkDialog,,EventT5401DL4,,
T5401,5,Tutorial,T5401_3,EventT5401DL5,,
T5401,6,TalkDialog,,EventT5401DL6,,
T5701,1,TalkDialog,,EventT5701DL1,,
T5701,2,Tutorial,T5701_1,EventT5701DL2,,
T5701,3,Tutorial,T5701_2,,,
T5701,4,TalkDialog,,EventT5701DL4,,
T5701,5,TalkDialog,,EventT5701DL5,,
T5701,6,Tutorial,T5701_3,EventT5701DL6,,
T5702,1,TalkDialog,,EventT5702DL1,,
T5702,2,TalkDialog,,EventT5702DL2,,
T5702,3,TalkDialog,,EventT5702DL3,,
T5801,1,TalkDialog,,EventT5801DL1,,
T5801,2,TalkDialog,,EventT5801DL2,,
T5801,3,Tutorial,T5801_1,EventT5801DL3,,
T5801,4,Tutorial,T5801_2,,,
T5801,5,TalkDialog,,EventT5801DL5,,
T5901,1,TalkDialog,,EventT5901DL1,,
T5901,2,Tutorial,T5901_1,EventT5901DL2,,
T5901,3,TalkDialog,,EventT5901DL3,,
T5901,4,Tutorial,T5901_2,EventT5901DL4,,
T5901,5,TalkDialog,,EventT5901DL5,,
T5901,6,GetItem,"ReferKey,ReferKey",EventT5901DL6,,
T5901,7,TalkDialog,,EventT5901DL7,,
T5901,8,Tutorial,T5901_3,EventT5901DL8,,
T5901,9,Tutorial,T5901_4,EventT5901DL9,,
T5901,10,TalkDialog,,EventT5901DL10,,
T5902,1,TalkDialog,,EventT5902DL1,,
T5902,2,TalkDialog,,EventT5902DL2,,
T5902,3,TalkDialog,,EventT5902DL3,,
T5902,4,TalkDialog,,EventT5902DL4,,
T5902,5,TalkDialog,,EventT5902DL5,,
T5902,6,Tutorial,T5902_1,EventT5902DL6,,
T5902,7,Tutorial,T5902_2,,,
T5902,8,TalkDialog,,EventT5902DL8,,
T5903,1,TalkDialog,,EventT5903DL1,,
T5903,2,Tutorial,T5903_1,,,
T5903,3,TalkDialog,,EventT5903DL3,,
T5903,4,Tutorial,T5903_2,,,
T5903,5,TalkDialog,,EventT5903DL5,,
T5903,6,Tutorial,T5903_3,,,
T5903,7,TalkDialog,,EventT5903DL7,,
T5903,8,TalkDialog,,EventT5903DL8,,
T5903,9,Tutorial,T5903_4,,,
T5903,10,TalkDialog,,EventT5903DL10,,
T5903,11,GetItem,"M4002,8",EventT5903DL11,,
T5903,12,GetItem,"M4003,8",EventT5903DL12,,
T5903,13,Tutorial,T5903_5,EventT5903DL13,,
T6001,1,TalkDialog,Simia,EventT6001DL1,,
T6001,2,Tutorial,T6001_1,EventT6001DL2,,
T6001,3,TalkDialog,Simia,EventT6001DL3,,
T6001,4,TalkDialog,Simia,EventT6001DL4,,
T6001,5,Tutorial,T6001_2,EventT6001DL5,,
T6002,1,TalkDialog,Simia,EventT6002DL1,,
T6002,2,TalkDialog,Simia,EventT6002DL2,,
T6002,3,Tutorial,T6002_1,EventT6002DL3,,
T6002,4,TalkDialog,Simia,EventT6002DL4,,
T6002,5,Tutorial,T6002_2,EventT6002DL5,,
T6003,1,TalkDialog,Simia,EventT6003DL1,,
T6003,2,TalkDialog,"Player,Troubled",EventT6003DL2,,
T6003,3,TalkDialog,Simia,EventT6003DL3,,
T6003,4,TalkDialog,"Player,Troubled",EventT6003DL4,,
T6003,5,TalkDialog,Simia,EventT6003DL5,,
T6003,6,TalkDialog,"Player,Glitter",EventT6003DL6,,
T6003,7,TalkDialog,Simia,EventT6003DL7,,
T6003,8,OpenFunction,Exchange,EventT6003DL8,,
T2001,1,TalkDialog,,EventT2001DL1,,
T2001,2,TalkDialog,,EventT2001DL2,,
T2001,3,Tutorial,T2001_1,EventT2001DL3,,
T2001,4,TalkDialog,,EventT2001DL4,,
T2001,5,TalkDialog,,EventT2001DL5,,
T2001,6,Tutorial,T2001_2,EventT2001DL6,,
T2003,1,Tutorial,T2003_1,EventT2003DL1,,
T2003,2,Tutorial,T2003_2,EventT2003DL2,,
T2003,3,TalkDialog,,EventT2003DL3,,
T2003,4,Tutorial,T2003_3,EventT2003DL4,,
T2003,5,TalkDialog,,EventT2003DL5,,
T2003,6,Tutorial,T2003_4,EventT2003DL6,,
T2003,7,TalkDialog,,EventT2003DL7,,
T2003,8,Tutorial,T2003_5,EventT2003DL8,,
T2003,9,Tutorial,T2003_6,EventT2003DL9,,
T2003,10,Tutorial,T2003_7,EventT2003DL10,,
T2003,11,Tutorial,T2003_8,EventT2003DL11,,
T2003,12,Tutorial,T2003_9,EventT2003DL12,,
T2003,13,TalkDialog,,EventT2003DL13,,
T2003,14,TalkDialog,,EventT2003DL14,,
T2003,15,Tutorial,T2003_10,EventT2003DL15,,
T2003,16,Tutorial,T2003_11,EventT2003DL16,,
T2003,17,TalkDialog,,EventT2003DL17,,
T2003,18,Tutorial,T2003_12,EventT2003DL18,,
T2003,19,Tutorial,T2003_13,EventT2003DL19,,
T2004,1,Tutorial,T2004_1,EventT2004DL1,,
T3001,1,TalkDialog,,EventT3001DL1,,
T3001,2,TalkDialog,,EventT3001DL2,,
T3001,3,OpenFunction,Ranking,EventT3001DL3,,
T3001,4,TalkDialog,,EventT3001DL4,,
T3001,5,TalkDialog,,EventT3001DL5,,
T3001,6,TalkDialog,,EventT3001DL6,,
M0001,1,InfoDialog,"EventM0001TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventM0001DL1,,PlayerShopName
M0002,1,InfoDialog,"EventM0002TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventM0002DL1,,PlayerShopName
M1001,1,InfoDialog,"EventM1001TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventM1001DL1,,PlayerShopName
M1002,1,InfoDialog,"EventM1002TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventM1002DL1,,PlayerShopName/PlayerShopName
M1003,1,InfoDialog,"EventM1003TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventM1003DL1,,PlayerShopName/PlayerShopName
M1004,1,InfoDialog,"EventM1004TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventM1004DL1,,PlayerShopName/PlayerShopName
M1005,1,InfoDialog,"EventM1005TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventM1005DL1,,PlayerShopName/PlayerShopName
M2001,1,InfoDialog,"EventM2001TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventM2001DL1,,PlayerShopName
M2002,1,InfoDialog,"EventM2002TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventM2002DL1,,PlayerShopName/PlayerShopName
M3001,1,InfoDialog,"EventM3001TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventM3001DL1,,PlayerShopName
M3002,1,InfoDialog,"EventM3002TitleInfo1,66f59e3dffa3489282735cc79041cff0",EventM3002DL1,,PlayerShopName/PlayerShopName
T7001,1,TalkDialog,VD20306,EventT7001DL1,,
T7001,2,TalkDialog,"Player,Bewildered",EventT7001DL2,,
T7001,3,TalkDialog,VD20306,EventT7001DL3,,
T7001,4,TalkDialog,"Player,Troubled",EventT7001DL4,,
T7001,5,TalkDialog,VD20306,EventT7001DL5,,
T7001,6,TalkDialog,"Player,Troubled",EventT7001DL6,,
T7001,7,TalkDialog,Simia,EventT7001DL7,,
T7001,8,TalkDialog,"Player,Bewildered",EventT7001DL8,,
T7001,9,TalkDialog,Simia,EventT7001DL9,,
T7001,10,TalkDialog,"Player,Shine",EventT7001DL10,,
T7001,11,TalkDialog,VD20306,EventT7001DL11,,
T7001,12,OpenFunction,IngreSynth,EventT7001DL12,,
T7001,13,Tutorial,T7001_1,EventT7001DL13,,
T7001,14,Tutorial,T7001_2,EventT7001DL14,,
T7001,15,TalkDialog,VD20306,EventT7001DL15,,
T7001,16,TalkDialog,VD20306,EventT7001DL16,,
T7001,17,Tutorial,T7001_3,EventT7001DL17,,
T7001,18,TalkDialog,VD20306,EventT7001DL18,,
T7001,19,Tutorial,T7001_4,EventT7001DL19,,
T7001,20,Tutorial,T7001_5,EventT7001DL20,,
T7001,21,Tutorial,T7001_6,EventT7001DL21,,
T7001,22,TalkDialog,"Player,Troubled",EventT7001DL22,,
T7001,23,TalkDialog,VD20306,EventT7001DL23,,
T7001,24,TalkDialog,VD20306,EventT7001DL24,,
T7001,25,TalkDialog,"Player,Troubled",EventT7001DL25,,
T7001,26,TalkDialog,VD20306,EventT7001DL26,,
T7001,27,Tutorial,T7001_7,EventT7001DL27,,
T7001,28,TalkDialog,VD20306,EventT7001DL28,,
T7001,29,Tutorial,T7001_8,EventT7001DL29,,
