PresetID,UnitCount,CharID_1,CharID_2,CharID_3,CharID_4,CharID_5,CharID_6,CharID_7,CharID_8,CharID_9,CharID_10,CharID_11,CharID_12,NeedSynergy,UseRuneType,Explain
PR20032,2,C10001,C10002,,,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal,3 빅토리아 아일랜드
PR20033,2,C10001,C10005,,,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal,3 빅토리아 아일랜드
PR20034,2,C10001,C10013,,,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal,3 빅토리아 아일랜드
PR20035,2,C10002,C10005,,,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal,3 빅토리아 아일랜드
PR20036,2,C10002,C10013,,,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal,3 빅토리아 아일랜드
PR20037,2,C10005,C10013,,,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal,3 빅토리아 아일랜드
PR20038,2,C10004,C20012,,,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add,2 아케인리버
PR20039,2,C10004,C20013,,,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add,2 아케인리버
PR20040,2,C20012,C20013,,,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add,2 아케인리버
PR20041,2,C10006,C10007,,,,,,,,,,,S10021_Rune,Battle/Synergy_S10021_Normal,3 오르비스
PR20042,2,C10006,C10012,,,,,,,,,,,S10021_Rune,Battle/Synergy_S10021_Normal,3 오르비스
PR20043,2,C10006,C20008,,,,,,,,,,,S10021_Rune,Battle/Synergy_S10021_Normal,3 오르비스
PR20044,2,C10007,C10012,,,,,,,,,,,S10021_Rune,Battle/Synergy_S10021_Normal,3 오르비스
PR20045,2,C10007,C20008,,,,,,,,,,,S10021_Rune,Battle/Synergy_S10021_Normal,3 오르비스
PR20046,2,C10012,C20008,,,,,,,,,,,S10021_Rune,Battle/Synergy_S10021_Normal,3 오르비스
PR20047,2,C10009,C20012,,,,,,,,,,,-,Battle/Synergy_S10022_Normal,2 시그너스
PR20048,2,C10010,C20011,,,,,,,,,,,S10023_Rune,Battle/Synergy_S10023_Normal,3 모험가
PR20049,2,C20001,C20007,,,,,,,,,,,-,Battle/Synergy_S10025_Normal,2 기사단장
PR30001,3,C10001,C10002,C10004,,,,,,,,,,-,Battle/Synergy_S10001_Normal/Synergy_S10017_Add,3 마스코트
PR30002,3,C10001,C10002,C20002,,,,,,,,,,-,Battle/Synergy_S10001_Normal/Synergy_S10017_Add,3 마스코트
PR30003,3,C10001,C10004,C20002,,,,,,,,,,-,Battle/Synergy_S10001_Normal,3 마스코트
PR30004,3,C10002,C10004,C20002,,,,,,,,,,-,Battle/Synergy_S10001_Normal,3 마스코트
PR30005,3,C10005,C20003,C20004,,,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"3 수호대, 1 전직교관"
PR30006,3,C10003,C10006,C20004,,,,,,,,,,-,Battle/Synergy_S10003_Normal/Synergy_S10024_Normal,"2 선봉장, 1 전직교관"
PR30007,3,C10003,C10006,C10008,,,,,,,,,,-,Battle/Synergy_S10003_Normal,"2 선봉장, 1 책사"
PR30008,3,C10007,C20005,C20006,,,,,,,,,,-,Battle/Synergy_S10004_Normal/Synergy_S10019_Add,3 마법사
PR30009,3,C10009,C10010,C20012,,,,,,,,,,-,Battle/Synergy_S10006_Normal/Synergy_S10022_Normal,"2 사냥꾼, 2 시그너스"
PR30010,3,C10009,C10010,C20004,,,,,,,,,,-,Battle/Synergy_S10006_Normal/Synergy_S10024_Normal,"2 사냥꾼, 1 전직교관"
PR30011,3,C10008,C10009,C10010,,,,,,,,,,-,Battle/Synergy_S10006_Normal,"2 사냥꾼, 1 책사"
PR30012,3,C10011,C20002,C20008,,,,,,,,,,-,Battle/Synergy_S10008_Normal/Synergy_S10016_Normal,"2 추격자, 2 엘나스"
PR30013,3,C10011,C20008,C20009,,,,,,,,,,-,Battle/Synergy_S10008_Normal/Synergy_S10016_Normal,"2 추격자, 2 엘나스"
PR30014,3,C10011,C20004,C20008,,,,,,,,,,-,Battle/Synergy_S10008_Normal/Synergy_S10024_Normal,"2 추격자, 1 전직교관"
PR30015,3,C10008,C10011,C20008,,,,,,,,,,-,Battle/Synergy_S10008_Normal,"2 추격자, 1 책사"
PR30016,3,C20001,C20009,C20010,,,,,,,,,,-,Battle/Synergy_S10009_Normal,3 싸움꾼
PR30017,3,C10012,C20004,C20011,,,,,,,,,,-,Battle/Synergy_S10010_Normal/Synergy_S10024_Normal,"2 저격수, 1 전직교관"
PR30018,3,C10008,C10012,C20011,,,,,,,,,,-,Battle/Synergy_S10010_Normal,"2 저격수, 1 책사"
PR30019,3,C10013,C20012,C20013,,,,,,,,,,-,Battle/Synergy_S10011_Normal,"3 방해꾼, 2 아케인리버"
PR30020,3,C10003,C10008,C20003,,,,,,,,,,-,Battle/Synergy_S10015_Normal,"3 시간의 신전, 1 책사"
PR30021,3,C10003,C10008,C20005,,,,,,,,,,-,Battle/Synergy_S10015_Normal,"3 시간의 신전, 1 책사"
PR30022,3,C10003,C20003,C20005,,,,,,,,,,-,Battle/Synergy_S10015_Normal,3 시간의 신전
PR30023,3,C10008,C20003,C20005,,,,,,,,,,-,Battle/Synergy_S10015_Normal,"3 시간의 신전, 1 책사"
PR30024,3,C10011,C20002,C20009,,,,,,,,,,S10016_Rune,Battle/Synergy_S10016_Normal,4 엘나스
PR30025,3,C10011,C20002,C20004,,,,,,,,,,-,Battle/Synergy_S10016_Normal/Synergy_S10024_Normal,"2 엘나스, 1 전직교관"
PR30026,3,C10011,C20004,C20009,,,,,,,,,,-,Battle/Synergy_S10016_Normal/Synergy_S10024_Normal,"2 엘나스, 1 전직교관"
PR30027,3,C20002,C20004,C20009,,,,,,,,,,-,Battle/Synergy_S10016_Normal/Synergy_S10024_Normal,"2 엘나스, 1 전직교관"
PR30028,3,C10008,C10011,C20002,,,,,,,,,,-,Battle/Synergy_S10016_Normal,"2 엘나스, 1 책사"
PR30029,3,C10008,C10011,C20009,,,,,,,,,,-,Battle/Synergy_S10016_Normal,"2 엘나스, 1 책사"
PR30030,3,C10008,C20002,C20009,,,,,,,,,,-,Battle/Synergy_S10016_Normal,"2 엘나스, 1 책사"
PR30031,3,C10001,C10002,C10005,,,,,,,,,,-,Battle/Synergy_S10017_Normal/Synergy_S10001_Add,3 빅토리아 아일랜드
PR30032,3,C10001,C10002,C10013,,,,,,,,,,-,Battle/Synergy_S10017_Normal/Synergy_S10001_Add,3 빅토리아 아일랜드
PR30033,3,C10001,C10005,C10013,,,,,,,,,,-,Battle/Synergy_S10017_Normal,3 빅토리아 아일랜드
PR30034,3,C10002,C10005,C10013,,,,,,,,,,-,Battle/Synergy_S10017_Normal,3 빅토리아 아일랜드
PR30035,3,C10008,C20004,C20006,,,,,,,,,,S10019_All,Battle/Synergy_S10019_Normal/Synergy_S10024_Normal,"2 루디브리엄, 1 전직교관, 1 책사"
PR30036,3,C10004,C20012,C20013,,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add/Synergy_S10011_Add,3 아케인리버
PR30037,3,C10004,C10009,C20012,,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add,"2 아케인리버, 2 시그너스"
PR30038,3,C10009,C20012,C20013,,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add/Synergy_S10011_Add,"2 아케인리버, 2 시그너스"
PR30039,3,C20004,C20012,C20013,,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add/Synergy_S10011_Add/Synergy_S10024_Normal,"2 아케인리버, 1 전직교관"
PR30040,3,C10008,C20012,C20013,,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add/Synergy_S10011_Add,"2 아케인리버, 1 책사"
PR30041,3,C10006,C10007,C10012,,,,,,,,,,-,Battle/Synergy_S10021_Normal,3 오르비스
PR30042,3,C10006,C10007,C20008,,,,,,,,,,-,Battle/Synergy_S10021_Normal,3 오르비스
PR30043,3,C10006,C10012,C20008,,,,,,,,,,-,Battle/Synergy_S10021_Normal,3 오르비스
PR30044,3,C10007,C10012,C20008,,,,,,,,,,-,Battle/Synergy_S10021_Normal,3 오르비스
PR30045,3,C10009,C10010,C20011,,,,,,,,,,S10023_All,Battle/Synergy_S10023_Normal,"3 모험가, 2 사냥꾼"
PR30046,3,C10010,C10012,C20011,,,,,,,,,,S10023_All,Battle/Synergy_S10023_Normal,"3 모험가, 2 저격수"
PR30047,3,C10010,C20004,C20011,,,,,,,,,,S10023_All,Battle/Synergy_S10023_Normal/Synergy_S10024_Normal,"3 모험가, 1 전직교관"
PR30048,3,C10008,C10010,C20011,,,,,,,,,,S10023_All,Battle/Synergy_S10023_Normal,"3 모험가, 1 책사"
PR30049,3,C20001,C20004,C20007,,,,,,,,,,-,Battle/Synergy_S10025_Normal/Synergy_S10024_Normal,"2 기사단장, 1 전직교관"
PR30050,3,C10008,C20001,C20007,,,,,,,,,,-,Battle/Synergy_S10025_Normal,"2 기사단장, 1 책사"
PR40001,4,C10001,C10002,C10004,C20002,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal/Synergy_S10017_Add,5 마스코트
PR40002,4,C10001,C10002,C10004,C30001,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal/Synergy_S10017_Add,5 마스코트
PR40003,4,C10001,C10002,C20002,C30001,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal/Synergy_S10017_Add,"5 마스코트, 2 예티와페페, 2 엘나스"
PR40004,4,C10001,C10004,C20002,C30001,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal,"5 마스코트, 2 예티와페페, 2 엘나스"
PR40005,4,C10002,C10004,C20002,C30001,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal,"5 마스코트, 2 예티와페페, 2 엘나스"
PR40006,4,C10005,C20003,C20004,C30002,,,,,,,,,S10002_Rune,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"5 수호대, 1 전직교관"
PR40007,4,C10005,C20003,C20004,C30003,,,,,,,,,S10002_Rune,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"5 수호대, 1 전직교관"
PR40008,4,C10005,C20003,C30002,C30003,,,,,,,,,S10002_Rune,Battle/Synergy_S10002_Normal,5 수호대
PR40009,4,C10005,C20004,C30002,C30003,,,,,,,,,S10002_Rune,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"5 수호대, 1 전직교관"
PR40010,4,C20003,C20004,C30002,C30003,,,,,,,,,S10002_Rune,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"5 수호대, 1 전직교관"
PR40011,4,C10003,C10006,C30004,C30005,,,,,,,,,-,Battle/Synergy_S10003_Normal,4 선봉장
PR40012,4,C10007,C20005,C20006,C30006,,,,,,,,,S10004_Rune,Battle/Synergy_S10004_Normal,5 마법사
PR40013,4,C10007,C20005,C20006,C30007,,,,,,,,,S10004_Rune,Battle/Synergy_S10004_Normal,5 마법사
PR40014,4,C10007,C20005,C30006,C30007,,,,,,,,,S10004_Rune,Battle/Synergy_S10004_Normal,5 마법사
PR40015,4,C10007,C20006,C30006,C30007,,,,,,,,,S10004_Rune,Battle/Synergy_S10004_Normal,5 마법사
PR40016,4,C20005,C20006,C30006,C30007,,,,,,,,,S10004_Rune,Battle/Synergy_S10004_Normal,5 마법사
PR40017,4,C10009,C10010,C20012,C30008,,,,,,,,,-,Battle/Synergy_S10006_Normal,"3 사냥꾼, 2 시그너스"
PR40018,4,C10009,C10010,C30005,C30008,,,,,,,,,-,Battle/Synergy_S10006_Normal,"3 사냥꾼, 2 시그너스"
PR40019,4,C10009,C10010,C30006,C30008,,,,,,,,,-,Battle/Synergy_S10006_Normal,"3 사냥꾼, 2 시그너스"
PR40020,4,C10009,C10010,C30008,C30009,,,,,,,,,-,Battle/Synergy_S10006_Normal,"3 사냥꾼, 2 시그너스"
PR40021,4,C10009,C10010,C10011,C30008,,,,,,,,,-,Battle/Synergy_S10006_Normal,"3 사냥꾼, 2 엘나스"
PR40022,4,C10009,C10010,C20002,C30008,,,,,,,,,-,Battle/Synergy_S10006_Normal,"3 사냥꾼, 2 엘나스"
PR40023,4,C10009,C10010,C20009,C30008,,,,,,,,,-,Battle/Synergy_S10006_Normal,"3 사냥꾼, 2 엘나스"
PR40024,4,C10009,C10010,C30001,C30008,,,,,,,,,-,Battle/Synergy_S10006_Normal,"3 사냥꾼, 2 엘나스"
PR40025,4,C20006,C20007,C30003,C30009,,,,,,,,,-,Battle/Synergy_S10007_Normal,"3 그림자, 2 루디브리엄"
PR40026,4,C20001,C20006,C20007,C30009,,,,,,,,,-,Battle/Synergy_S10007_Normal,"3 그림자, 2 기사단장"
PR40027,4,C10009,C20006,C20007,C30009,,,,,,,,,-,Battle/Synergy_S10007_Normal,"3 그림자, 2 시그너스"
PR40028,4,C20006,C20007,C20012,C30009,,,,,,,,,-,Battle/Synergy_S10007_Normal,"3 그림자, 2 시그너스"
PR40029,4,C20006,C20007,C30005,C30009,,,,,,,,,-,Battle/Synergy_S10007_Normal,"3 그림자, 2 시그너스"
PR40030,4,C20006,C20007,C30006,C30009,,,,,,,,,-,Battle/Synergy_S10007_Normal,"3 그림자, 2 시그너스"
PR40031,4,C20006,C20007,C30003,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 루디브리엄, 1 전직교관"
PR40032,4,C20001,C20006,C20007,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 기사단장, 1 전직교관"
PR40033,4,C20006,C30003,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 루디브리엄, 1 전직교관"
PR40034,4,C10009,C20006,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 시그너스, 1 전직교관"
PR40035,4,C20006,C20012,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 시그너스, 1 전직교관"
PR40036,4,C20006,C30005,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 시그너스, 1 전직교관"
PR40037,4,C20006,C30006,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 시그너스, 1 전직교관"
PR40038,4,C20001,C20007,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 기사단장, 1 전직교관"
PR40039,4,C10009,C20007,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 시그너스, 1 전직교관"
PR40040,4,C20007,C20012,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 시그너스, 1 전직교관"
PR40041,4,C20007,C30005,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 시그너스, 1 전직교관"
PR40042,4,C20007,C30006,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"3 그림자, 2 시그너스, 1 전직교관"
PR40043,4,C20001,C20009,C20010,C30011,,,,,,,,,S10009_Rune,Battle/Synergy_S10009_Normal,5 싸움꾼
PR40044,4,C10008,C10012,C20011,C30013,,,,,,,,,S10010_All,Battle/Synergy_S10010_Normal/Synergy_S10024_Normal,"4 저격수, 1 전직교관, 1 책사"
PR40045,4,C10013,C20012,C20013,C30012,,,,,,,,,S10011_Rune,Battle/Synergy_S10011_Normal/Synergy_S10017_Add,"5 방해꾼, 2 아케인리버"
PR40046,4,C10003,C10008,C20003,C20005,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal,"5 시간의 신전, 1 책사"
PR40047,4,C10003,C10008,C20003,C30002,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal/Synergy_S10002_Add,"5 시간의 신전, 1 책사"
PR40048,4,C10003,C10008,C20005,C30002,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal,"5 시간의 신전, 1 책사"
PR40049,4,C10003,C20003,C20005,C30002,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal/Synergy_S10002_Add,5 시간의 신전
PR40050,4,C10008,C20003,C20005,C30002,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal/Synergy_S10002_Add,"5 시간의 신전, 1 책사"
PR40051,4,C10011,C20002,C20009,C30001,,,,,,,,,-,Battle/Synergy_S10016_Normal/Synergy_S10001_Add,"4 엘나스, 2 예티와 페페"
PR40052,4,C10011,C20002,C20009,C30008,,,,,,,,,-,Battle/Synergy_S10016_Normal,4 엘나스
PR40053,4,C10011,C20002,C30001,C30008,,,,,,,,,-,Battle/Synergy_S10016_Normal/Synergy_S10001_Add,"4 엘나스, 2 예티와 페페"
PR40054,4,C10011,C20009,C30001,C30008,,,,,,,,,-,Battle/Synergy_S10016_Normal,4 엘나스
PR40055,4,C20002,C20009,C30001,C30008,,,,,,,,,-,Battle/Synergy_S10016_Normal/Synergy_S10001_Add,"4 엘나스, 2 예티와 페페"
PR40056,4,C10001,C10002,C10005,C10013,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal/Synergy_S10001_Add,5 빅토리아 아일랜드
PR40057,4,C10001,C10002,C10005,C30011,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal/Synergy_S10001_Add,5 빅토리아 아일랜드
PR40058,4,C10001,C10002,C10005,C30012,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal/Synergy_S10001_Add,5 빅토리아 아일랜드
PR40059,4,C10001,C10002,C10013,C30011,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal/Synergy_S10001_Add,5 빅토리아 아일랜드
PR40060,4,C10001,C10002,C10013,C30012,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal/Synergy_S10001_Add/Synergy_S10011_Add,5 빅토리아 아일랜드
PR40061,4,C10001,C10002,C30011,C30012,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal/Synergy_S10001_Add,5 빅토리아 아일랜드
PR40062,4,C10001,C10005,C10013,C30011,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal,5 빅토리아 아일랜드
PR40063,4,C10001,C10005,C10013,C30012,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal/Synergy_S10011_Add,5 빅토리아 아일랜드
PR40064,4,C10001,C10005,C30011,C30012,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal,5 빅토리아 아일랜드
PR40065,4,C10001,C10013,C30011,C30012,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal/Synergy_S10011_Add,5 빅토리아 아일랜드
PR40066,4,C10002,C10005,C10013,C30011,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal,5 빅토리아 아일랜드
PR40067,4,C10002,C10005,C10013,C30012,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal/Synergy_S10011_Add,5 빅토리아 아일랜드
PR40068,4,C10002,C10005,C30011,C30012,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal,5 빅토리아 아일랜드
PR40069,4,C10002,C10013,C30011,C30012,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal/Synergy_S10011_Add,5 빅토리아 아일랜드
PR40070,4,C10005,C10013,C30011,C30012,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal/Synergy_S10011_Add,5 빅토리아 아일랜드
PR40071,4,C10004,C10013,C20012,C20013,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add/Synergy_S10011_Normal,"3 아케인리버, 3 방해꾼"
PR40072,4,C10004,C20012,C20013,C30012,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add/Synergy_S10011_Normal,"3 아케인리버, 3 방해꾼"
PR40073,4,C10004,C20004,C20012,C20013,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add/Synergy_S10024_Normal,"3 아케인리버, 1 전직교관"
PR40074,4,C10004,C20012,C20013,C30010,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add/Synergy_S10024_Normal,"3 아케인리버, 1 전직교관"
PR40075,4,C10004,C20012,C20013,C30013,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add/Synergy_S10024_Normal,"3 아케인리버, 1 전직교관"
PR40076,4,C10004,C10008,C20012,C20013,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add,"3 아케인리버, 1 책사"
PR40077,4,C10006,C10007,C10012,C20008,,,,,,,,,S10021_Rune,Battle/Synergy_S10021_Normal,5 오르비스
PR40078,4,C10009,C20012,C30005,C30006,,,,,,,,,S10022_Rune,Battle/Synergy_S10022_Normal,5 시그너스
PR40079,4,C10009,C20012,C30005,C30009,,,,,,,,,S10022_Rune,Battle/Synergy_S10022_Normal,5 시그너스
PR40080,4,C10009,C20012,C30006,C30009,,,,,,,,,S10022_Rune,Battle/Synergy_S10022_Normal,5 시그너스
PR40081,4,C10009,C30005,C30006,C30009,,,,,,,,,S10022_Rune,Battle/Synergy_S10022_Normal,5 시그너스
PR40082,4,C20012,C30005,C30006,C30009,,,,,,,,,S10022_Rune,Battle/Synergy_S10022_Normal,5 시그너스
PR40083,4,C10010,C20004,C20011,C30007,,,,,,,,,-,Battle/Synergy_S10023_Normal/Synergy_S10024_Normal,"3 모험가, 1 전직교관"
PR40084,4,C10010,C20011,C30007,C30010,,,,,,,,,-,Battle/Synergy_S10023_Normal/Synergy_S10024_Normal,"3 모험가, 1 전직교관"
PR40085,4,C10010,C20011,C30007,C30013,,,,,,,,,-,Battle/Synergy_S10023_Normal/Synergy_S10024_Normal,"3 모험가, 1 전직교관"
PR40086,4,C10008,C10010,C20011,C30007,,,,,,,,,-,Battle/Synergy_S10023_Normal,"3 모험가, 1 책사"
PR50001,5,C10001,C10002,C10004,C20002,C30001,,,,,,,,-,Battle/Synergy_S10001_Normal/Synergy_S10017_Add,"5 마스코트, 2 예티와 페페, 2 엘나스"
PR50002,5,C10005,C20003,C20004,C30002,C30003,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal/Synergy_S10015_Add,"5 수호대, 1 전직교관"
PR50003,5,C10005,C20003,C20004,C30002,C40001,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal/Synergy_S10015_Add,"5 수호대, 1 전직교관"
PR50004,5,C10005,C20003,C20004,C30003,C40001,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"5 수호대, 1 전직교관"
PR50005,5,C10005,C20003,C30002,C30003,C40001,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10015_Add,5 수호대
PR50006,5,C10005,C20004,C30002,C30003,C40001,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"5 수호대, 1 전직교관"
PR50007,5,C20003,C20004,C30002,C30003,C40001,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal/Synergy_S10015_Add,"5 수호대, 1 전직교관"
PR50008,5,C10003,C10006,C30004,C30005,C40006,,,,,,,,-,Battle/Synergy_S10003_Normal/Synergy_S10018_Normal/Synergy_S10018_Add,"4 선봉장, 2 슬리피우드"
PR50009,5,C10003,C10006,C30004,C30005,C30006,,,,,,,,-,Battle/Synergy_S10003_Normal,"4 선봉장, 2 시그너스"
PR50010,5,C10003,C10006,C30004,C30005,C30009,,,,,,,,-,Battle/Synergy_S10003_Normal,"4 선봉장, 2 시그너스"
