RecipeKey,BugerName,TasteScore,BalancePoint,SpicyPoint,Cost,Tag,TrialSkillBonus
40,골드 보통2 R12,1554,0,0,1800,Seafood,0
41,골드 보통2 R12,1554,0,0,1800,Chicken,0
42,골드 보통2 R12,1554,0,15,1800,Spicy,0
43,골드 보통2 R12,1554,0,0,1800,Mixed,0
44,골드 높음1 R13,1925,0,0,2039,Meat,0
45,골드 높음1 R13,1925,0,0,2039,Veggie,0
46,골드 높음1 R13,1925,0,0,2039,Seafood,0
47,골드 높음1 R13,1925,0,0,2039,Chicken,0
48,골드 높음1 R13,1925,0,15,2039,Spicy,0
49,골드 높음1 R13,1925,0,0,2039,Mixed,0
50,골드 높음2 R14,2125,0,0,2240,Meat,0
51,골드 높음2 R14,2125,0,0,2240,Veggie,0
52,골드 높음2 R14,2125,0,0,2240,Seafood,0
53,골드 높음2 R14,2125,0,0,2240,Chicken,0
54,골드 높음2 R14,2125,0,15,2240,Spicy,0
55,골드 높음2 R14,2125,0,0,2240,Mixed,0
56,루비 낮음 R16,2315,0,0,2400,Meat,0
57,루비 낮음 R16,2315,0,0,2400,Veggie,0
58,루비 낮음 R16,2315,0,0,2400,Seafood,0
59,루비 낮음 R16,2315,0,0,2400,Chicken,0
60,루비 낮음 R16,2315,0,15,2400,Spicy,0
61,루비 낮음 R16,2315,0,0,2400,Mixed,0
62,루비 보통 R18,2728,0,0,2640,Meat,0
63,루비 보통 R18,2728,0,0,2640,Veggie,0
64,루비 보통 R18,2728,0,0,2640,Seafood,0
65,루비 보통 R18,2728,0,0,2640,Chicken,0
66,루비 보통 R18,2728,0,15,2640,Spicy,0
67,루비 보통 R18,2728,0,0,2640,Mixed,0
68,루비 높음 R22,3570,0,0,3238,Meat,0
69,루비 높음 R22,3570,0,0,3238,Veggie,0
70,루비 높음 R22,3570,0,0,3238,Seafood,0
71,루비 높음 R22,3570,0,0,3238,Chicken,0
72,루비 높음 R22,3570,0,15,3238,Spicy,0
73,루비 높음 R22,3570,0,0,3238,Mixed,0
74,플래티넘 낮음 R23,3788,0,0,3420,Meat,0
75,플래티넘 낮음 R23,3788,0,0,3420,Veggie,0
76,플래티넘 낮음 R23,3788,0,0,3420,Seafood,0
77,플래티넘 낮음 R23,3788,0,0,3420,Chicken,0
78,플래티넘 낮음 R23,3788,0,15,3420,Spicy,0
79,플래티넘 낮음 R23,3788,0,0,3420,Mixed,0
80,플래티넘 보통1 R25,4477,0,0,3515,Meat,0
81,플래티넘 보통1 R25,4477,0,0,3515,Veggie,0
82,플래티넘 보통1 R25,4477,0,0,3515,Seafood,0
83,플래티넘 보통1 R25,4477,0,0,3515,Chicken,0
84,플래티넘 보통1 R25,4477,0,15,3515,Spicy,0
85,플래티넘 보통1 R25,4477,0,0,3515,Mixed,0
86,플래티넘 보통2 R26,4821,0,0,3610,Meat,0
87,플래티넘 보통2 R26,4821,0,0,3610,Veggie,0
88,플래티넘 보통2 R26,4821,0,0,3610,Seafood,0
89,플래티넘 보통2 R26,4821,0,0,3610,Chicken,0
90,플래티넘 보통2 R26,4821,0,15,3610,Spicy,0
91,플래티넘 보통2 R26,4821,0,0,3610,Mixed,0
92,플래티넘 높음1 R27,5166,0,0,3800,Meat,0
93,플래티넘 높음1 R27,5166,0,0,3800,Veggie,0
94,플래티넘 높음1 R27,5166,0,0,3800,Seafood,0
95,플래티넘 높음1 R27,5166,0,0,3800,Chicken,0
96,플래티넘 높음1 R27,5166,0,15,3800,Spicy,0
97,플래티넘 높음1 R27,5166,0,0,3800,Mixed,0
98,플래티넘 높음2 R30,5785,0,0,4180,Meat,0
99,플래티넘 높음2 R30,5785,0,0,4180,Veggie,0
100,플래티넘 높음2 R30,5785,0,0,4180,Seafood,0
101,플래티넘 높음2 R30,5785,0,0,4180,Chicken,0
102,플래티넘 높음2 R30,5785,0,15,4180,Spicy,0
103,플래티넘 높음2 R30,5785,0,0,4180,Mixed,0
104,플래티넘 높음3 R31,6199,0,0,4560,Meat,0
105,플래티넘 높음3 R31,6199,0,0,4560,Veggie,0
106,플래티넘 높음3 R31,6199,0,0,4560,Seafood,0
107,플래티넘 높음3 R31,6199,0,0,4560,Chicken,0
108,플래티넘 높음3 R31,6199,0,15,4560,Spicy,0
109,플래티넘 높음3 R31,6199,0,0,4560,Mixed,0
110,플래티넘 높음4 R32,6642,0,0,4940,Meat,0
111,플래티넘 높음4 R32,6642,0,0,4940,Veggie,0
112,플래티넘 높음4 R32,6642,0,0,4940,Seafood,0
113,플래티넘 높음4 R32,6642,0,0,4940,Chicken,0
114,플래티넘 높음4 R32,6642,0,15,4940,Spicy,0
115,플래티넘 높음4 R32,6642,0,0,4940,Mixed,0
116,최고 등급 S5+ Meat,7500,0,0,5320,Meat,0
117,최고 등급 S5+ Veggie,7500,0,0,5320,Veggie,0
118,최고 등급 S5+ Seafood,7500,0,0,5320,Seafood,0
119,최고 등급 S5+ Chicken,7500,0,0,5320,Chicken,0
120,최고 등급 S5+ Spicy,7500,0,0,5320,Spicy,0
121,최고 등급 S5+ Mixed,7500,0,0,5320,Mixed,0
