NameTagID,Name,Rank,ImageRUID,Description,NameTagOffsetY,FontOffsetY,FontColor,Category,etc
NT10013,NameTagName14,2,0ef319554d3547948dedc94982682a2b,업적 '발도장 3' 달성,,-0.02,#FFFFFF,Achievement_General,달리어 훈장 - 노련한 사냥꾼
NT10014,NameTagName15,2,0d4acec412d847ce8aa6fc386ad6e15f,업적 '마나 폭풍 1' 달성,,0,#FFFFFF,,"펫 이름표 ""쁘띠 웡키"""
NT10015,NameTagName16,2,0beffe46b3974d00966c06ee47551acd,현재 사용처 미정,,0,#FFFFFF,,"펫 이름표 ""마족 모스"""
NT10016,NameTagName17,2,78a957d8216d42959947746c3018a61d,업적 '멈추지 않는 도전 1' 달성,,0,#5d1313,Achievement_General,"펫 이름표 ""쁘띠 데미안"""
NT10017,NameTagName18,2,49a6424ca4924f2a9cbce609aefaa7a3,업적 '여유 있는 승리' 달성,,0,#FFFFFF,Achievement_Single,"펫 이름표 ""반짝"""
NT10018,NameTagName19,2,3e718b177402453aa1ceeb7ea1ef8f97,업적 '생사의 경계에서 살아남다' 달성,,0,#FFFFFF,Achievement_Rank,"펫 이름표 ""하스"""
NT10019,NameTagName20,2,340a34a471534c71ada38f593afc6fbf,현재 사용처 미정,,0,#FFFFFF,,"펫 이름표 ""프린스 마린"""
NT10020,NameTagName21,2,2239912e1ad146b7bc9e8639574d9424,현재 사용처 미정,,0,#FFFFFF,,"펫 이름표 ""프린스 핑크"""
NT10021,NameTagName22,2,befe5db062b5415aa9953717dbafca4e,업적 '폭풍 성장' 달성,,0,#FFFFFF,Achievement_Rank,"펫 이름표 ""쁘띠 팬텀"""
NT10022,NameTagName23,2,aeab5d038c40492da084affac38d9dfe,업적 '멈추지 않는 도전 2' 달성,,0,#cc8100,Achievement_General,"펫 이름표 ""허니비"""
NT10023,NameTagName24,2,02b05bed49224b3ab62f5ed14bae1ce8,현재 사용처 미정,,-0.02,#FFFFFF,,"달리어 훈장 ""몬스터 박사"""
NT10024,NameTagName25,2,78126ebe6a9f4c0b892fa36b03cec9ec,업적 '티끌모아 태산' 달성,,0,#FFFFFF,Achievement_Single,"펫 이름표 ""황금 멍뭉이"""
NT10025,NameTagName26,3,3cbb51c32d434a349956a33471a13b8d,업적 '랭크 정복자 2' 달성,,0,#FFFFFF,Achievement_Rank,"명찰 반지 ""V 네온"""
NT10026,NameTagName27,3,07fd8c560de74afcb70cb3410d4eb1aa,업적 '한계 돌파 5' 달성,,-0.02,#a7ffa1,Achievement_Single,"무릉도장 칭호 ""1갑자의 내공을 가진 자"""
NT10027,NameTagName28,3,23c073e525744c39816c894cda9bcf3a,업적 '캐릭터 도전과제 첫 걸음' 달성,,0,#0099b8,Achievement_General,"펫 이름표 ""펭펭이"""
NT10028,NameTagName29,3,aae1ea71383b4241b8e5476700618c2c,업적 '올스타리그 셀러브리티 3' 달성,,0,#f3bc5e,Achievement_BattleExpert,"펫 이름표 ""피에르"""
NT10029,NameTagName30,3,eb89996105fa4ad6bdee68cdbfb6b11a,업적 '맥시멀리즘' 달성,,0,#FFFFFF,Achievement_Single,"펫 이름표 ""돌의 정령"""
NT10030,RuneCard_RC30011_Name,3,567f3f9b640a435eabed6f67571ece29,업적 '약한 자들의 연대' 달성,,-0.02,#FFFFFF,Achievement_Single,"이벤트 칭호 ""챌린지 월드 시즌 1 레전드"""
NT10031,S10026_Name,3,b5f2cb92fa1d4624b917246ed3a3bf7a,업적 '시너지 [예티와 페페] 사용하기 3' 달성,,-0.02,#FFFFFF,Achievement_SynergyExpert,"칭호 ""돌고래 돌보미"""
NT10032,Coin,3,d05f22ee6d1c4162929873307167db15,업적 '공평한 분배' 달성,,0,#FFFFFF,Achievement_BattleExpert,"명찰반지 ""전광판"""
NT10033,NameTagName32,3,713e72bbc32547148f1434ddbf845a99,업적 '저축왕' 달성,,0,#FFFFFF,Achievement_BattleExpert,"이벤트 칭호 ""출석왕"""
NT10034,NameTagName33,3,7610153ac383430aa592daeadd5578a6,업적 '이길 수 있었는데!' 달성,,0,#FFFFFF,Achievement_Rank,"이벤트 훈장 ""메이플 하트브레이커"""
NT10035,NameTagName34,4,0c03abf0a95e4dd49cac28cb3ebc03f5,업적 '살아있는 백과사전' 달성,,0,#FFFFFF,Achievement_General,"명찰 반지 ""미스터 수염"""
NT10036,NameTagName35,4,00979fba88d44334919ffae68082369d,업적 '하트 지킴이' 달성,,0,#FFFFFF,Achievement_Rank,"대난투 칭호 ""최강의 투사"""
NT10037,NameTagName36,4,4c20e1f926db4855b7c976ff4528f2f5,업적 '없는 게 없습니다' 달성,,0,#FFFFFF,Achievement_Rank,"도전 훈장 ""탐험가"""
NT10038,NameTagName37,4,f205220d4c564114b414f2f59a93bd1c,업적 '랭크 정복자 3' 달성,,0,#FFFFFF,Achievement_General,"펫 이름표 ""어항 속 상어"""
NT10039,NameTagName38,4,a1849fdcb9ad4a19823b08b128e548be,업적 '시너지 [마스코트] 마스터' 달성,,0,#FFFFFF,Achievement_SynergyExpert,"이벤트 훈장 ""털었다, 완소 메이플 스토어"""
NT10040,NameTagName39,4,55d3a18f00624009a2f35f96c30569d9,업적 '시너지 [방해꾼] 마스터' 달성,,0,#696107,Achievement_SynergyExpert,"보스 훈장 ""카오스 피에르 킬러"""
NT10041,NameTagName40,4,630a8df4fa0a4c4ab3fb53f8425e2f1e,업적 '시너지 [마법사] 마스터' 달성,,-0.02,#FFFFFF,Achievement_SynergyExpert,"몬스터 컬렉션 훈장 ""미나르숲의 수집가"""
NT10042,NameTagName41,4,943f5dc7c9bd4f5a9e038effb5a09583,업적 '시너지 [저격수] 마스터' 달성,,-0.02,#FFFFFF,Achievement_SynergyExpert,"제로 훈장 ""그림자 기사"""
NT10043,NameTagName42,4,4453b2aba3c64bd79e3656b213b7f06b,업적 '시너지 [전직교관] 마스터' 달성,,-0.02,#FFFFFF,Achievement_SynergyExpert,"이벤트 훈장 ""다섯 영웅의 완성"""
NT10044,NameTagName43,4,ae7fe8f6eb4b47f7bb5eb936dbf533a5,업적 '시너지 [오르비스] 마스터' 달성,,-0.02,#FFFFFF,Achievement_SynergyExpert,오르비스 훈장 '구름 위의 조력자'
NT10045,NameTagName44,4,9abb8add704749c082c48d2991d876ae,업적 '시너지 [슬리피우드] 마스터' 달성,,0,#362a11,Achievement_SynergyExpert,슬리피우드 훈장 '위험을 쫓는 자'
NT10046,NameTagName45,4,41605e1855bd4b2ab97c266568138e06,업적 '시너지 [엘나스] 마스터' 달성,,-0.02,#05628a,Achievement_SynergyExpert,엘나스 훈장 '설원의 탐험가'
NT10047,NameTagName46,4,659cacb1b66a46b58d608a9e1d97f423,업적 '시너지 [사냥꾼] 마스터' 달성,,0,#8a4505,Achievement_SynergyExpert,현상금 사냥꾼 훈장 '폴로의 친구'
NT10048,NameTagName47,4,7d8cf08049234d5a829b08dd037d03ff,업적 '시너지 [루디브리엄] 마스터' 달성,,-0.02,#db0000,Achievement_SynergyExpert,"루디브리엄 훈장 ""루디브리엄 보안관"""
NT10049,NameTagName48,4,e1bac8f9a9b846628721f996c0ff2f4c,업적 '시너지 [책사] 마스터' 달성,,-0.02,#665c47,Achievement_SynergyExpert,"세르니움 훈장 ""검의 주인을 기다리며"""
NT10050,NameTagName49,4,7ee2b29d6f6f4ec9b72ea296a23087af,업적 '시너지 [싸움꾼] 마스터' 달성,,0,#FFFFFF,Achievement_SynergyExpert,"이벤트 훈장 ""무신강림"""
NT10051,NameTagName50,4,45e66ed5cdd24c42a4d965121241abfd,업적 '시너지 [수호대] 마스터' 달성,,-0.02,#FFFFFF,Achievement_SynergyExpert,"프렌즈스토리 훈장 ""이카르트의 절친"""
NT10052,NameTagName51,4,d0cbafd71a174812a16b2d602c6fac05,업적 '시너지 [아케인 리버] 마스터' 달성,,-0.02,#004857,Achievement_SynergyExpert,"몬스터 컬렉션 훈장 ""아케인리버의 수집가"""
NT10053,NameTagName52,4,79d2ce5374b146e4bcb9a6208bc42c30,업적 '시너지 [선봉장] 마스터' 달성,,-0.01,#FFFFFF,Achievement_SynergyExpert,"이벤트 훈장 ""럭셔리 유저"""
NT10054,NameTagName53,4,4d07044936024802a6dac56a4a92787f,업적 '빈손의 챔피언' 달성,,-0.01,#FFFFFF,Achievement_BattleExpert,"우르스 훈장 ""우르스의 악력기"""
NT10055,NameTagName54,4,7a5cae3f65bd4791b0ea5eac11aa0d4a,업적 '시너지 [악몽의 지배자] 사용하기 3' 달성,,0,#f825a0,Achievement_SynergyExpert,"루시드 훈장 ""악몽의 주인 격파자"""
NT10056,NameTagName55,4,171d97df56664f38a0d0299859733eb9,업적 '시너지 [악마의 나무] 사용하기 3' 달성,,-0.01,#FFFFFF,Achievement_SynergyExpert,"이벤트 훈장 ""가위바위보 참 쉽쿰"""
NT10057,NameTagName56,4,ab1d451f0a7c4cc4a44923174d3348a3,업적 '시너지 [숭고한 영혼] 사용하기 3' 달성,,0,#FFFFFF,Achievement_SynergyExpert,"미하일 훈장 ""빛의 기사단장"""
NT10058,NameTagName57,4,7c53a7eac6e241aab43ee2437f8383ec,업적 '시너지 [시간의 신전] 마스터' 달성,,-0.02,#41112d,Achievement_SynergyExpert,"핑크빈 캐릭터 칭호 ""요요좀 던져봤음"""
NT10059,NameTagName58,4,1a17c10321264db79523a2811e826efc,업적 '시너지 [빅토리아 아일랜드] 마스터' 달성,,-0.02,#0d3554,Achievement_SynergyExpert,"몬스터 컬렉션 훈장 ""빅토리아의 수집가"""
NT10060,NameTagName59,4,a26a5c8daab843e8af12a04b73ec936d,업적 '싱글 모드 매니아 3' 달성,,-0.02,#FFFFFF,Achievement_General,"고통의 미궁 훈장 ""영원의 늪에서 일어난 빛"""
NT10061,NameTagName60,4,69fc52fbe8644f899350126d843d9f0e,업적 '압도적인 승리' 달성,,-0.02,#FFFFFF,Achievement_Rank,"진 힐라 훈장 ""미궁의 깊이를 아는 자"""
NT10062,NameTagName61,4,57b2191c25d1464ea9788de782d79151,업적 '시너지 [추격자] 마스터' 달성,,0,#080d11,Achievement_SynergyExpert,"명찰반지 ""베에모트"""
NT10063,NameTagName62,5,8d433faf942545228ea8aca6e4668707,업적 '시너지 [모험가] 마스터' 달성,,-0.02,#000000,Achievement_SynergyExpert,"모험가 훈장 ""마스터 모험가"""
NT10064,NameTagName63,5,df5aff603e4244fba645f422dd4e440e,업적 '시너지 [그림자] 마스터' 달성,,0,#FFFFFF,Achievement_SynergyExpert,"이벤트 훈장 ""예전의 내가 아니야"""
NT10065,NameTagName64,5,651a9207bd184142bfb7e118e00b029d,업적 '올스타리그 셀러브리티 5' 달성,,0,#FFFFFF,Achievement_BattleExpert,"이벤트 훈장 ""메이플스토리전을 함께한"""
NT10066,NameTagName65,5,e9c9716b066f4c499d81736d7cf16b70,"업적 ""해치웠나?"" 달성",,0,#d2cca2,Achievement_BattleExpert,"파괴된 헤네시스 ""페허에서 일어나다"""
NT10067,NameTagName66,5,4972d308743245b4bb1bccbe4fb38ada,업적 '메달 수집가' 달성,,-0.02,#FFFFFF,Achievement_BattleExpert,"메르세데스 훈장 ""에우렐의 엘프"""
NT10068,NameTagName67,5,1948fcc13ccd4ec3baa031b1bdfe223b,업적 '내가 제일 강해 3' 달성,,-0.02,#FFFFFF,Achievement_BattleExpert,"카인 훈장 ""분노의 심판자"""
NT10069,NameTagName68,5,c2ca0a4e69714b6e87e8b20372957550,업적 '시너지 [시계탑의 근원] 사용하기 3' 달성,,-0.02,#382c00,Achievement_SynergyExpert,"이벤트 훈장 ""미니게임의 달인"""
NT10070,S10032_Name,5,8a0916d177084194ab22dfe47f8687d4,업적 '마나 폭풍 3' 달성,,0,#FFFFFF,Achievement_BattleExpert,"마가티아 훈장 ""마가티아의 연금술사"""
NT10071,NameTagName70,5,ff07cb6738574da694e7d6becd38e058,현재 사용처 미정,,-0.02,#002e45,,"몬스터 컬렉션 훈장 ""엘나스 산맥의 수집가"""
NT10072,NameTagName71,5,ea5ca3e0df3643b79bb73c5067d287bf,업적 '한계 돌파 6' 달성,,-0.02,#FFFFFF,Achievement_Single,"호영 훈장 ""천지인의 도"""
NT10073,NameTagName72,5,ce81b30a70ba42179b11a51208cf7d9c,업적 '추격자 스페셜리스트' 달성,,0,#8a4505,,"현상금 사냥꾼 훈장 ""프리토의 친구"""
NT10074,NameTagName73,5,11825d6c135244d398097f02a7ad1b5a,업적 '운명을 믿는 자' 달성,,-0.02,#FFFFFF,Achievement_BattleExpert,"힐라 훈장 ""아스완의 불사조"""
NT10075,NameTagName74,5,caddcc19a9394dffb4e0a5bfdc50bafb,업적 '시너지 [발록] 사용하기 3' 달성,,-0.02,#FFFFFF,Achievement_SynergyExpert,"발록 훈장 ""트리스탄 후계자"""
NT10076,NameTagName75,5,7ffefca575e447639484ca41fc619e68,업적 '랭크 정복자 4' 달성,,-0.02,#FFFFFF,Achievement_Rank,"명찰 반지 ""수묵화"""
NT10077,NameTagName76,5,2d9bc9cc2d52421a85ecaa37d2028ddb,업적 '타임어택' 달성,,0,#FFFFFF,Achievement_Single,"명찰 반지 ""태엽의 기사"""
NT10078,NameTagName77,6,dce3e6be07cc48c0a982f4f14d419fe1,업적 '랭크 정복자 5' 달성,,0,#000000,Achievement_Rank,"커닝타워 훈장 ""대박엔터 공동대표"""
NT10079,NameTagName78,6,2cfa1be138c54702b8869cd9be55d98c,알파 테스터 전용 칭호,,-0.005,#FFFFFF,,"지구방위본부 훈장 ""메소레인저 화이트"""
NT10080,NameTagName79,6,6896f5ab1c29420baca4711260bdfeef,업적 '모든 이름을 가진 자' 달성,,0,#FFFFFF,Achievement_General,"이벤트 칭호 ""R.E.D"""
NT10081,NameTagName80,6,49cfcd18951c4dd7b5422fe72f428e64,업적 '시너지 [시그너스] 마스터' 달성,,-0.02,#FFFFFF,Achievement_SynergyExpert,"시그너스 훈장 ""상급기사"""
NT10082,NameTagName81,6,70c1bc76c4ad4e4f82daf338302fef51,업적 '시너지 [기사단장] 마스터' 달성,,-0.02,#FFFFFF,Achievement_SynergyExpert,"차원의 도서관 훈장 ""여제 메이커"""
NT10083,NameTagName82,6,cbe51876e8b445e48ceaf37a26e85f01,업적 '원기옥' 달성,,-0.01,#cc9028,Achievement_RuneCard,"히어로즈 업적 ""아란의 행동력"""
NT10084,NameTagName83,6,0ff62bfeae904e5cb607282c24d46a90,업적 '전설의 위엄' 달성,,-0.01,#cc9028,Achievement_RuneCard,"히어로즈 업적 ""메르세데스의 추진력"""
NT10085,NameTagName84,6,6053b4c5462c48df9b95907caef69891,업적 '하늘 아래 두마리의 용' 달성,,-0.01,#cc9028,Achievement_RuneCard,"히어로즈 업적 ""팬텀의 자유로움"""
NT10086,NameTagName85,6,2e3ca6ebf3d349bb8898b4015132bfaf,업적 '빛과 어둠의 힘' 달성,,-0.01,#cc9028,Achievement_RuneCard,"히어로즈 업적 ""루미너스의 집중력"""
NT10087,NameTagName86,6,a723626855084a0caadb66d1c6032954,업적 '든든한 내친구' 달성,,-0.01,#cc9028,Achievement_RuneCard,"히어로즈 업적 ""프리드의 리더십"""
NT10088,NameTagName87,7,495d26648d3a42bab2c86c1f41c66b06,업적 '랭크 정복자 6' 달성,,0,#FFFFFF,Achievement_Rank,히어로즈 설귀도 명찰 반지
NT10089,NameTagName88,7,8eecc3aecf9344b7a02fbfdf714945ab,업적 '기본 공격은 거들 뿐' 달성,,-0.02,#FFFFFF,Achievement_BattleExpert,셀라스 훈장 '별을 삼킨 고래'
NT10090,NameTagName89,7,9c762737edee4b7892130c39d823df8e,업적 '재산 증식' 달성,,0,#FFFFFF,Achievement_RuneCard,"명찰반지 ""MVP 골드"""
NT10091,NameTagName90,7,1083f03d6d3e43ccb3e9f0594d744202,업적 '한계 돌파 7' 달성,,-0.02,#FFFFFF,Achievement_Single,"칭호 ""샤이닝 스타"""
NT10092,NameTagName91,8,02c47e8512124f3b9507eeea3cfa28b5,현재 사용처 미정,,0,#FFFFFF,Achievement_Rank,"카데나 훈장 ""두 세계의 그림자"""
NT10093,NameTagName92,8,52c1c1f560074f41b669501467228a3b,업적 '멈추지 않는 도전 3' 달성,,0,#ff1f1f,Achievement_General,"버닝 이벤트 칭호 ""Eternal Flame"""
NT10094,NameTagName93,8,0abccca276564500b7dfd542e734a547,업적 '다다익선' 달성,,0,#FFFFFF,Achievement_General,"명찰반지 ""별하늘 난초"""
NT10095,NameTagName94,8,e7a64ddc252e44c1bcff5dbfff62221a,업적 '한계 돌파 8' 달성,,0,#f05e5e,Achievement_Single,"명찰 반지 ""블러드"""
NT10096,NameTagName98,9,29aa897749524646856b3010170fdc5c,현재 사용처 미정,,0,#FF0000,,"명찰 반지 ""히어로즈 검은 마법사"""
NT10097,NameTagName95,9,365b87dd6c5247efb9668716089f89b5,업적 '랭크 정복자 7' 달성,,0,#FFFFFF,Achievement_Rank,"블랙헤븐 훈장 ""메이플 월드의 구원자"""
NT10098,NameTagName96,9,285bd98f29794838a7e03013f8fd3383,현재 사용처 미정,,0,#d03e3e,,"명찰 반지 ""동백검"""
NT10099,NameTagName97,9,709ceb23d48741d88e4bd6c05e243577,업적 '자체 하드모드' 달성,,0,#cb32cd,Achievement_General,"명찰 반지 ""히어로즈 초월석"""
